irac_class_id,active_ingredient,level1,level1_description,level2,level2_description,level3,level3_description,level4,irac_code
158,PHOXIM,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B49,1B
159,PIRIMIPHOS-METHYL,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B50,1B
160,PROFENOFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B51,1B
161,PROPETAMPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B52,1B
162,PROTHIOFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B53,1B
163,PYRACLOFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B54,1B
164,PYRIDAPHENTHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B55,1B
165,QUINALPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B56,1B
166,SULFOTEP,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B57,1B
167,TEBUPIRIMFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B58,1B
168,TEMEPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B59,1B
169,TERBUFOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B60,1B
170,TETRACHLORVINPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B61,1B
171,THIOMETON,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B62,1B
172,TRIAZOPHOS,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B63,1B
173,TRICHLORFON,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B64,1B
174,VAMIDOTHION,A,NERVE ACTION,A1,ACETYLCHOLINESTERASE (ACHE) INHIBITORS,A11B,ORGANOPHOSPHATES,A11B65,1B
175,CHLORDANE,A,NERVE ACTION,A2,GABA-GATED CHLORIDE CHANNEL ANTAGONISTS,A22A,CYCLODIENE ORGANOCHLORINES,A22A1,2A
176,ENDOSULFAN,A,NERVE ACTION,A2,GABA-GATED CHLORIDE CHANNEL ANTAGONISTS,A22A,CYCLODIENE ORGANOCHLORINES,A22A2,2A
177,ETHIPROLE,A,NERVE ACTION,A2,GABA-GATED CHLORIDE CHANNEL ANTAGONISTS,A22B,PHENYLPYRAZOLES (FIPROLES),A22B1,2B
178,FIPRONIL,A,NERVE ACTION,A2,GABA-GATED CHLORIDE CHANNEL ANTAGONISTS,A22B,PHENYLPYRAZOLES (FIPROLES),A22B2,2B
179,ACRINATHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A1,3A
180,ALLETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A2,3A
181,D-CIS-TRANS ALLETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A3,3A
182,D-TRANS ALLETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A4,3A
183,BIFENTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A5,3A
184,BIOALLETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A6,3A
185,BIOALLETHRIN S-CYCLOPENTENYL ISOMER,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A7,3A
186,BIORESMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A8,3A
187,CYCLOPROTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A9,3A
188,CYFLUTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A10,3A
189,BETA-CYFLUTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A11,3A
190,CYHALOTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A12,3A
191,LAMBDA-CYHALOTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A13,3A
192,GAMMA-CYHALOTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A14,3A
193,CYPERMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A15,3A
194,ALPHA-CYPERMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A16,3A
195,BETA-CYPERMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A17,3A
196,THETA-CYPERMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A18,3A
197,ZETA-CYPERMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A19,3A
198,CYPHENOTHRIN [(1R)-TRANS-ISOMERS],A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A20,3A
199,DELTAMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A21,3A
200,EMPENTHRIN [(EZ)-(1R)-ISOMERS],A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A22,3A
201,ESFENVALERATE,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A23,3A
202,ETOFENPROX,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A24,3A
203,FENPROPATHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A25,3A
204,FENVALERATE,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A26,3A
205,FLUCYTHRINATE,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A27,3A
206,FLUMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A28,3A
207,TAU-FLUVALINATE,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A29,3A
208,HALFENPROX,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A30,3A
209,IMIPROTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A31,3A
210,KADETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A32,3A
211,PERMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A33,3A
212,PHENOTHRIN [(1R)-TRANS- ISOMER],A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A34,3A
213,PRALLETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A35,3A
214,PYRETHRINS,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A36,3A
215,RESMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A37,3A
216,SILAFLUOFEN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A38,3A
217,TEFLUTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A39,3A
218,TETRAMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A40,3A
219,TETRAMETHRIN [(1R)-ISOMERS],A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A41,3A
220,TRALOMETHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A42,3A
221,TRANSFLUTHRIN,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33A,"PYRETHROIDS, PYRETHRINS",A33A43,3A
222,DDT,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33B,"DDT, METHOXYCHLOR",A33B1,3B
223,METHOXYCHLOR,A,NERVE ACTION,A3,SODIUM CHANNEL MODULATORS,A33B,"DDT, METHOXYCHLOR",A33B2,3B
224,ACETAMIPRID,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44A,NEONICOTINOIDS,A44A1,4A
225,CLOTHIANIDIN,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44A,NEONICOTINOIDS,A44A2,4A
226,DINOTEFURAN,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44A,NEONICOTINOIDS,A44A3,4A
227,IMIDACLOPRID,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44A,NEONICOTINOIDS,A44A4,4A
228,NITENPYRAM,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44A,NEONICOTINOIDS,A44A5,4A
229,THIACLOPRID,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44A,NEONICOTINOIDS,A44A6,4A
230,THIAMETHOXAM,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44A,NEONICOTINOIDS,A44A7,4A
231,NICOTINE,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44B,NICOTINE,A44B1,4B
232,SULFOXAFLOR,A,NERVE ACTION,A4,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) AGONISTS,A44C,SULFOXAFLOR,A44C1,4C
233,SPINETORAM,A,NERVE ACTION,A5,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) ALLOSTERIC ACTIVATORS,A55A,SPINOSYNS,A55A1,5
234,SPINOSAD,A,NERVE ACTION,A5,NICOTINIC ACETYLCHOLINE RECEPTOR (NACHR) ALLOSTERIC ACTIVATORS,A55A,SPINOSYNS,A55A2,5
235,ABAMECTIN,B,NERVE AND MUSCLE ACTION,B6,CHLORIDE CHANNEL ACTIVATORS,B66A,"AVERMECTINS, MILBEMYCINS",B66A1,6
236,EMAMECTIN BENZOATE,B,NERVE AND MUSCLE ACTION,B6,CHLORIDE CHANNEL ACTIVATORS,B66A,"AVERMECTINS, MILBEMYCINS",B66A2,6
237,LEPIMECTIN,B,NERVE AND MUSCLE ACTION,B6,CHLORIDE CHANNEL ACTIVATORS,B66A,"AVERMECTINS, MILBEMYCINS",B66A3,6
238,MILBEMECTIN,B,NERVE AND MUSCLE ACTION,B6,CHLORIDE CHANNEL ACTIVATORS,B66A,"AVERMECTINS, MILBEMYCINS",B66A4,6
239,HYDROPRENE,C,GROWTH REGULATION,C7,JUVENILE HORMONE MIMICS,C77A,JUVENILE HORMONE ANALOGUES,C77A1,7A
240,KINOPRENE,C,GROWTH REGULATION,C7,JUVENILE HORMONE MIMICS,C77A,JUVENILE HORMONE ANALOGUES,C77A2,7A
241,METHOPRENE,C,GROWTH REGULATION,C7,JUVENILE HORMONE MIMICS,C77A,JUVENILE HORMONE ANALOGUES,C77A3,7A
242,FENOXYCARB,C,GROWTH REGULATION,C7,JUVENILE HORMONE MIMICS,C77B,FENOXYCARB,C77B1,7B
243,PYRIPROXYFEN,C,GROWTH REGULATION,C7,JUVENILE HORMONE MIMICS,C77C,PYRIPROXYFEN,C77C1,7C
244,METHYL BROMIDE,M,MISCELLANEOUS,M8,MISCELLANEOUS NONSPECIFIC (MULTI-SITE) INHIBITORS,M88A,ALKYL HALIDES,M88A1,8A
245,CHLOROPICRIN,M,MISCELLANEOUS,M8,MISCELLANEOUS NONSPECIFIC (MULTI-SITE) INHIBITORS,M88B,CHLOROPICRIN,M88B1,8B
246,SULFURYL FLUORIDE,M,MISCELLANEOUS,M8,MISCELLANEOUS NONSPECIFIC (MULTI-SITE) INHIBITORS,M88C,SULFURYL FLUORIDE,M88C1,8C
247,BORAX,M,MISCELLANEOUS,M8,MISCELLANEOUS NONSPECIFIC (MULTI-SITE) INHIBITORS,M88D,BORAX,M88D1,8D
248,TARTAR EMETIC,M,MISCELLANEOUS,M8,MISCELLANEOUS NONSPECIFIC (MULTI-SITE) INHIBITORS,M88E,TARTAR EMETIC,M88E1,8E
249,PYMETROZINE,A,NERVE ACTION,A9,SELECTIVE HOMOPTERAN FEEDING BLOCKERS,A99B,PYMETROZINE,A99B1,9B
250,FLONICAMID,A,NERVE ACTION,A9,SELECTIVE HOMOPTERAN FEEDING BLOCKERS,A99C,FLONICAMID,A99C1,9C
251,CLOFENTEZINE,C,GROWTH REGULATION,C10,MITE GROWTH INHIBITORS,C1010A,"CLOFENTEZINE, HEXYTHIAZOX, DIFLOVIDAZIN",C1010A1,10A
