go_id,parent_go_id,pref_name,class_level,aspect,path
GO:0046677,GO:0009636,response to antibiotic,2,P,biological_process  response to toxic substance  response to antibiotic
GO:0046789,GO:0005102,host cell surface receptor binding,3,F,molecular_function  protein binding  receptor binding  host cell surface receptor binding
GO:0046982,GO:0005515,protein heterodimerization activity,2,F,molecular_function  protein binding  protein heterodimerization activity
GO:0047372,GO:0016298,acylglycerol lipase activity,5,F,"molecular_function  catalytic activity  hydrolase activity  hydrolase activity, acting on ester bonds  lipase activity  acylglycerol lipase activity"
GO:0047499,GO:0004623,calcium-independent phospholipase A2 activity,7,F,"molecular_function  catalytic activity  hydrolase activity  hydrolase activity, acting on ester bonds  lipase activity  phospholipase activity  phospholipase A2 activity  calcium-independent phospholipase A2 activity"
GO:0047704,GO:0008146,bile-salt sulfotransferase activity,4,F,molecular_function  catalytic activity  transferase activity  sulfotransferase activity  bile-salt sulfotransferase activity
GO:0047894,GO:0008146,flavonol 3-sulfotransferase activity,4,F,molecular_function  catalytic activity  transferase activity  sulfotransferase activity  flavonol 3-sulfotransferase activity
GO:0048018,GO:0005102,receptor agonist activity,3,F,molecular_function  protein binding  receptor binding  receptor agonist activity
GO:0048646,GO:0008150,anatomical structure formation involved in morphogenesis,1,P,biological_process  anatomical structure formation involved in morphogenesis
GO:0048856,GO:0008150,anatomical structure development,1,P,biological_process  anatomical structure development
GO:0048870,GO:0040011,cell motility,2,P,biological_process  locomotion  cell motility
GO:0050294,GO:0008146,steroid sulfotransferase activity,4,F,molecular_function  catalytic activity  transferase activity  sulfotransferase activity  steroid sulfotransferase activity
GO:0050790,GO:0008150,regulation of catalytic activity,1,P,biological_process  regulation of catalytic activity
GO:0050821,GO:0008150,protein stabilization,1,P,biological_process  protein stabilization
GO:0050840,GO:0003674,extracellular matrix binding,1,F,molecular_function  extracellular matrix binding
GO:0050877,GO:0008150,neurological system process,1,P,biological_process  neurological system process
GO:0051082,GO:0005515,unfolded protein binding,2,F,molecular_function  protein binding  unfolded protein binding
GO:0051186,GO:0008152,cofactor metabolic process,2,P,biological_process  metabolic process  cofactor metabolic process
GO:0051219,GO:0005515,phosphoprotein binding,2,F,molecular_function  protein binding  phosphoprotein binding
GO:0051276,GO:0008150,chromosome organization,1,P,biological_process  chromosome organization
GO:0051287,GO:0000166,NAD binding,2,F,molecular_function  nucleotide binding  NAD binding
GO:0051301,GO:0008150,cell division,1,P,biological_process  cell division
GO:0051400,GO:0019904,BH domain binding,3,F,molecular_function  protein binding  protein domain specific binding  BH domain binding
GO:0051428,GO:0005102,peptide hormone receptor binding,3,F,molecular_function  protein binding  receptor binding  peptide hormone receptor binding
GO:0051434,GO:0051400,BH3 domain binding,4,F,molecular_function  protein binding  protein domain specific binding  BH domain binding  BH3 domain binding
GO:0051604,GO:0008152,protein maturation,2,P,biological_process  metabolic process  protein maturation
GO:0051992,GO:0016772,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity",4,F,"molecular_function  catalytic activity  transferase activity  transferase activity, transferring phosphorus-containing groups  UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity"
GO:0052654,GO:0016740,L-leucine transaminase activity,3,F,molecular_function  catalytic activity  transferase activity  L-leucine transaminase activity
GO:0052655,GO:0016740,L-valine transaminase activity,3,F,molecular_function  catalytic activity  transferase activity  L-valine transaminase activity
GO:0052656,GO:0016740,L-isoleucine transaminase activity,3,F,molecular_function  catalytic activity  transferase activity  L-isoleucine transaminase activity
GO:0055036,GO:0016020,virion membrane,2,C,cellular_component  membrane  virion membrane
GO:0055085,GO:0006810,transmembrane transport,2,P,biological_process  transport  transmembrane transport
GO:0061024,GO:0008150,membrane organization,1,P,biological_process  membrane organization
GO:0065003,GO:0022607,macromolecular complex assembly,2,P,biological_process  cellular component assembly  macromolecular complex assembly
GO:0070290,GO:0004620,N-acylphosphatidylethanolamine-specific phospholipase D activity,6,F,"molecular_function  catalytic activity  hydrolase activity  hydrolase activity, acting on ester bonds  lipase activity  phospholipase activity  N-acylphosphatidylethanolamine-specific phospholipase D activity"
GO:0070324,GO:0042562,thyroid hormone binding,2,F,molecular_function  hormone binding  thyroid hormone binding
GO:0070628,GO:0032403,proteasome binding,3,F,molecular_function  protein binding  protein complex binding  proteasome binding
GO:0070976,GO:0019904,TIR domain binding,3,F,molecular_function  protein binding  protein domain specific binding  TIR domain binding
GO:0070989,GO:0008152,oxidative demethylation,2,P,biological_process  metabolic process  oxidative demethylation
GO:0071554,GO:0008150,cell wall organization or biogenesis,1,P,biological_process  cell wall organization or biogenesis
GO:0071941,GO:0008152,nitrogen cycle metabolic process,2,P,biological_process  metabolic process  nitrogen cycle metabolic process
