molregno,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,cx_most_apka,cx_most_bpka,cx_logp,cx_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations
207,300.30,-1.52,7,1,122.46,3,N,0,2.86,0.75,-1.40,-4.89,ACID,300.30,1,20,0.67,300.0528,C10H12N4O5S,9,1,0
208,397.46,-0.98,8,2,134.49,5,N,0,2.58,10.46,-3.22,-3.22,ZWITTERION,397.46,1,27,0.61,397.1420,C16H23N5O5S,10,2,0
209,406.42,-0.04,8,2,142.69,4,N,0,2.97,0.09,0.51,-2.97,ACID,406.42,2,28,0.67,406.0947,C17H18N4O6S,10,2,0
210,369.34,1.70,5,1,65.78,4,N,0,5.32,5.99,0.98,-0.09,ACID,369.34,2,26,0.89,369.1300,C17H18F3N3O3,6,1,0
211,365.38,1.95,5,2,74.57,5,N,0,5.35,10.33,-0.65,-0.65,ZWITTERION,365.38,2,26,0.85,365.1551,C18H21F2N3O3,6,2,0
212,433.50,3.92,5,2,74.57,6,N,0,5.72,10.33,1.15,1.15,ZWITTERION,433.50,2,31,0.72,433.2177,C23H29F2N3O3,6,2,0
213,457.56,3.72,6,3,105.90,6,N,0,9.66,10.64,2.55,1.22,BASE,457.56,4,33,0.18,457.1572,C25H23N5O2S,7,4,0
214,408.41,0.39,7,1,122.46,4,N,0,2.97,0.09,0.95,-2.53,ACID,408.41,2,28,0.73,408.0904,C17H17FN4O5S,9,1,0
215,405.44,-0.16,8,2,148.48,4,N,0,2.95,4.24,-1.30,-3.47,ACID,405.44,2,28,0.53,405.1107,C17H19N5O5S,10,3,0
216,463.52,-0.46,9,3,168.71,7,N,0,2.58,8.93,-2.14,-2.15,ZWITTERION,463.52,2,32,0.46,463.1526,C20H25N5O6S,11,4,1
217,441.56,3.80,4,1,56.03,6,N,0,9.71,,-0.74,-0.71,NEUTRAL,441.56,4,33,0.37,441.2285,C27H29N4O2+,6,1,0
219,439.52,3.81,5,3,105.90,7,N,0,9.71,12.88,1.78,0.67,BASE,439.52,4,33,0.18,439.2008,C26H25N5O2,7,4,0
221,426.52,3.65,5,1,59.27,6,N,0,9.99,9.39,2.80,1.18,BASE,426.52,4,32,0.48,426.2056,C26H26N4O2,6,1,0
222,398.47,3.05,5,2,82.05,5,N,0,9.61,10.41,1.69,-0.05,BASE,398.47,4,30,0.51,398.1743,C24H22N4O2,6,3,0
223,379.41,2.43,5,2,74.57,6,N,0,5.46,10.33,-0.29,-0.29,ZWITTERION,379.41,2,27,0.81,379.1707,C19H23F2N3O3,6,2,0
224,391.42,2.75,5,2,74.57,6,N,0,5.46,10.33,-0.18,-0.18,ZWITTERION,391.42,2,28,0.79,391.1707,C20H23F2N3O3,6,2,0
225,440.51,2.36,5,3,120.43,6,N,0,9.70,11.55,0.95,-0.16,BASE,440.51,4,33,0.18,440.1961,C25H24N6O2,8,5,0
226,390.42,0.25,7,1,122.46,4,N,0,2.97,0.09,0.81,-2.67,ACID,390.42,2,27,0.74,390.0998,C17H18N4O5S,9,1,0
227,298.32,-0.10,5,1,115.54,3,N,0,2.96,,-0.11,-3.59,ACID,298.32,0,20,0.57,298.0623,C12H14N2O5S,7,1,0
228,331.35,-0.45,6,1,118.05,4,N,0,3.14,,0.04,-3.41,ACID,331.35,0,22,0.42,331.0726,C13H17NO7S,8,1,0
229,433.38,2.98,5,2,74.57,6,N,0,5.22,10.33,0.31,0.31,ZWITTERION,433.38,2,30,0.69,433.1425,C19H20F5N3O3,6,2,0
230,385.42,2.69,5,2,76.26,4,N,0,9.71,,2.66,2.65,NEUTRAL,385.42,4,29,0.53,385.1426,C23H19N3O3,6,2,0
231,399.45,3.08,5,2,76.26,5,N,0,9.71,,2.72,2.71,NEUTRAL,399.45,4,30,0.51,399.1583,C24H21N3O3,6,2,0
232,413.48,3.47,5,2,76.26,6,N,0,9.71,,3.23,3.23,NEUTRAL,413.48,4,31,0.38,413.1739,C25H23N3O3,6,2,0
233,427.50,3.86,5,2,76.26,7,N,0,9.71,,3.68,3.67,NEUTRAL,427.50,4,32,0.35,427.1896,C26H25N3O3,6,2,0
234,412.49,3.31,5,2,68.06,6,N,0,9.63,10.46,2.07,0.26,BASE,412.49,4,31,0.38,412.1899,C25H24N4O2,6,2,0
235,291.35,3.57,4,0,39.94,3,N,0,,3.18,3.04,3.04,NEUTRAL,291.35,3,22,0.74,291.1372,C18H17N3O,4,0,0
236,295.42,2.84,8,1,77.58,3,N,0,,0.49,3.48,3.48,NEUTRAL,295.42,3,18,0.75,295.0020,C10H9N5S3,5,2,0
237,334.35,0.76,6,2,77.81,3,N,0,5.62,6.45,-0.10,-0.83,ACID,334.35,2,24,0.86,334.1441,C16H19FN4O3,7,2,0
238,180.23,1.96,4,1,46.01,1,N,0,12.21,0.40,2.67,2.67,NEUTRAL,180.23,2,12,0.73,180.0357,C8H8N2OS,3,1,0
239,426.52,3.83,5,2,82.05,7,N,0,9.59,10.33,2.71,0.97,BASE,426.52,4,32,0.35,426.2056,C26H26N4O2,6,3,0
240,412.49,3.44,5,2,82.05,6,N,0,9.59,10.33,2.27,0.53,BASE,412.49,4,31,0.38,412.1899,C25H24N4O2,6,3,0
241,331.35,1.58,5,2,74.57,3,N,0,5.56,8.68,-0.85,-0.85,ZWITTERION,331.35,2,24,0.89,331.1332,C17H18FN3O3,6,2,0
242,159.23,2.06,1,1,12.03,1,Y,0,,9.59,1.97,-0.19,BASE,159.23,1,12,0.66,159.1048,C11H13N,1,1,0
243,405.45,2.82,5,2,74.57,7,N,0,5.55,10.33,0.13,0.13,ZWITTERION,405.45,2,29,0.74,405.1864,C21H25F2N3O3,6,2,0
244,380.40,1.59,6,3,86.60,6,N,0,5.43,10.33,-0.94,-0.95,ZWITTERION,380.40,2,27,0.71,380.1660,C18H22F2N4O3,7,3,0
245,189.26,2.42,1,0,23.06,1,Y,0,,3.93,1.23,1.23,NEUTRAL,189.26,1,14,0.49,189.1154,C12H15NO,2,0,0
246,319.34,1.27,5,2,74.57,3,N,0,5.58,8.68,-0.96,-0.96,ZWITTERION,319.34,2,23,0.89,319.1332,C16H18FN3O3,6,2,0
247,471.59,4.11,6,3,105.90,7,N,0,9.66,10.64,3.07,1.74,BASE,471.59,4,34,0.16,471.1729,C26H25N5O2S,7,4,0
248,397.40,2.38,5,2,74.57,7,N,0,5.50,10.33,-0.45,-0.45,ZWITTERION,397.40,2,28,0.75,397.1613,C19H22F3N3O3,6,2,0
249,385.38,4.23,5,2,97.33,4,N,0,3.75,4.55,3.05,0.73,ACID,385.38,4,29,0.55,385.1063,C22H15N3O4,7,2,0
250,377.44,4.68,3,1,58.64,4,N,0,11.91,5.16,3.14,3.14,NEUTRAL,377.44,4,27,0.56,377.0998,C21H16FN3OS,4,1,0
251,305.34,3.29,5,0,49.17,2,N,0,,3.14,2.82,2.82,NEUTRAL,305.34,3,23,0.73,305.1164,C18H15N3O2,5,0,0
255,297.36,3.86,4,0,30.71,2,N,0,,1.44,3.87,3.87,NEUTRAL,297.36,3,21,0.72,297.0736,C16H12FN3S,3,0,0
256,279.32,3.70,3,0,30.71,2,N,0,,3.16,3.34,3.34,NEUTRAL,279.32,3,21,0.72,279.1172,C17H14FN3,3,0,0
257,297.36,3.86,4,0,30.71,2,N,0,,4.04,3.49,3.48,NEUTRAL,297.36,3,21,0.72,297.0736,C16H12FN3S,3,0,0
258,279.32,3.70,3,0,30.71,2,N,0,,5.56,2.95,2.95,NEUTRAL,279.32,3,21,0.72,279.1172,C17H14FN3,3,0,0
259,434.47,2.86,7,2,87.46,6,N,0,5.11,10.33,0.40,0.40,ZWITTERION,434.47,3,30,0.62,434.1224,C20H20F2N4O3S,7,2,0
260,427.45,3.40,5,2,74.57,6,N,0,5.57,10.33,1.06,1.05,ZWITTERION,427.45,3,31,0.63,427.1707,C23H23F2N3O3,6,2,0
261,405.45,3.14,5,2,74.57,6,N,0,5.55,10.33,0.26,0.26,ZWITTERION,405.45,2,29,0.77,405.1864,C21H25F2N3O3,6,2,0
262,405.45,2.92,5,2,74.57,6,N,0,5.55,10.33,0.10,0.10,ZWITTERION,405.45,2,29,0.77,405.1864,C21H25F2N3O3,6,2,0
263,485.50,2.19,7,3,149.58,7,N,0,9.68,7.31,2.41,2.14,NEUTRAL,485.50,4,36,0.09,485.1812,C25H23N7O4,11,4,1
265,198.68,2.91,3,0,25.78,1,Y,0,,0.10,3.21,3.21,NEUTRAL,198.68,2,12,0.66,198.0018,C8H7ClN2S,2,0,0
266,294.43,3.56,7,0,51.56,3,N,0,,0.52,3.75,3.75,NEUTRAL,294.43,3,18,0.69,294.0068,C11H10N4S3,4,0,0
267,277.38,3.16,7,1,63.59,3,N,0,6.26,2.63,3.00,1.95,ACID,277.38,3,18,0.80,277.0456,C11H11N5S2,5,1,0
268,300.41,3.85,4,1,55.98,3,N,0,13.81,3.10,3.32,3.32,NEUTRAL,300.41,3,20,0.80,300.0391,C15H12N2OS2,3,2,0
269,300.41,3.85,4,1,55.98,3,N,0,13.67,1.36,3.68,3.68,NEUTRAL,300.41,3,20,0.80,300.0391,C15H12N2OS2,3,2,0
270,265.33,2.80,4,1,61.55,4,N,0,13.71,,2.29,2.29,NEUTRAL,265.33,2,18,0.92,265.0773,C13H15NO3S,4,2,0
271,359.36,4.64,3,2,78.87,4,N,0,3.75,4.55,3.57,1.25,ACID,359.36,4,27,0.56,359.1070,C21H14FN3O2,5,2,0
272,366.38,4.41,5,1,83.82,3,N,0,11.05,4.39,4.13,4.13,NEUTRAL,366.38,4,28,0.58,366.1117,C22H14N4O2,6,1,0
273,384.40,3.63,5,2,103.12,4,N,0,10.90,2.44,3.12,3.12,NEUTRAL,384.40,4,29,0.56,384.1222,C22H16N4O3,7,3,0
274,371.40,4.03,5,2,80.26,4,N,0,10.99,2.49,3.50,3.50,NEUTRAL,371.40,4,28,0.57,371.1270,C22H17N3O3,6,2,0
275,359.36,4.64,3,2,78.87,4,N,0,3.60,5.22,2.76,0.99,ACID,359.36,4,27,0.56,359.1070,C21H14FN3O2,5,2,0
276,384.44,2.66,5,2,82.05,4,N,0,10.00,9.40,1.92,0.33,BASE,384.44,4,29,0.53,384.1586,C23H20N4O2,6,3,0
277,443.53,3.33,6,3,105.90,5,N,0,9.66,10.63,2.34,1.00,BASE,443.53,4,32,0.25,443.1416,C24H21N5O2S,7,4,0
278,485.61,4.50,6,3,105.90,8,N,0,9.66,10.64,3.51,2.18,BASE,485.61,4,35,0.15,485.1885,C27H27N5O2S,7,4,0
279,287.41,4.25,4,1,33.12,3,N,0,,3.42,3.70,3.70,NEUTRAL,287.41,3,19,0.78,287.0439,C15H13NOS2,2,1,0
280,314.44,4.16,4,1,55.98,3,N,0,13.81,3.10,3.83,3.83,NEUTRAL,314.44,3,21,0.79,314.0548,C16H14N2OS2,3,2,0
281,314.44,4.16,4,1,55.98,3,N,0,13.81,3.10,3.83,3.83,NEUTRAL,314.44,3,21,0.79,314.0548,C16H14N2OS2,3,2,0
282,300.41,3.85,4,1,55.98,3,N,0,13.81,3.10,3.32,3.32,NEUTRAL,300.41,3,20,0.80,300.0391,C15H12N2OS2,3,2,0
283,300.41,3.85,4,1,55.98,3,N,0,13.81,3.10,3.32,3.32,NEUTRAL,300.41,3,20,0.80,300.0391,C15H12N2OS2,3,2,0
284,286.38,3.55,4,1,55.98,3,N,0,13.81,3.10,2.80,2.80,NEUTRAL,286.38,3,19,0.80,286.0235,C14H10N2OS2,3,2,0
285,358.44,4.19,6,1,71.78,6,N,0,2.84,4.01,3.44,0.70,ACID,358.44,3,24,0.53,358.0446,C17H14N2O3S2,5,1,0
286,390.53,6.31,5,0,34.48,6,N,1,,3.32,6.29,6.29,NEUTRAL,390.53,4,27,0.29,390.0861,C22H18N2OS2,3,0,1
287,376.51,6.17,5,0,34.48,5,N,1,,3.32,6.22,6.22,NEUTRAL,376.51,4,26,0.31,376.0704,C21H16N2OS2,3,0,1
288,300.41,4.56,5,1,45.48,3,N,0,8.65,3.32,4.19,4.16,NEUTRAL,300.41,3,20,0.44,300.0391,C15H12N2OS2,3,1,0
289,212.66,2.05,3,1,55.98,1,Y,0,13.77,2.09,1.22,1.22,NEUTRAL,212.66,2,13,0.79,211.9811,C8H5ClN2OS,3,2,0
290,314.44,4.95,5,1,45.48,3,N,0,8.95,3.30,4.03,4.02,NEUTRAL,314.44,3,21,0.42,314.0548,C16H14N2OS2,3,1,0
291,357.46,3.59,6,1,77.57,6,N,0,,3.32,3.24,3.24,NEUTRAL,357.46,3,24,0.54,357.0606,C17H15N3O2S2,5,2,0
292,525.52,3.75,8,3,158.79,9,N,1,2.95,1.79,4.59,1.32,ACID,525.52,4,39,0.17,525.1648,C28H23N5O6,11,3,2
293,315.42,3.36,5,2,68.01,3,N,0,13.70,3.21,3.02,3.02,NEUTRAL,315.42,3,21,0.44,315.0500,C15H13N3OS2,4,3,0
294,315.42,4.54,5,0,39.19,3,N,0,,2.98,4.47,4.47,NEUTRAL,315.42,3,21,0.67,315.0388,C16H13NO2S2,3,0,0
295,301.39,4.45,4,1,50.19,3,N,0,3.49,2.82,3.71,0.71,ACID,301.39,3,20,0.78,301.0231,C15H11NO2S2,3,1,0
296,361.49,5.99,4,0,29.96,4,N,1,,3.14,5.93,5.93,NEUTRAL,361.49,4,25,0.42,361.0595,C21H15NOS2,2,0,1
297,299.42,4.96,4,0,29.96,3,N,0,,3.17,4.02,4.02,NEUTRAL,299.42,3,20,0.64,299.0439,C16H13NOS2,2,0,0
298,285.39,4.57,4,0,29.96,3,N,0,,3.19,4.18,4.18,NEUTRAL,285.39,3,19,0.66,285.0282,C15H11NOS2,2,0,0
299,342.45,3.17,4,2,94.36,3,N,0,,6.24,2.65,2.62,NEUTRAL,342.45,3,23,0.56,342.0609,C16H14N4OS2,5,4,0
300,427.60,4.21,6,1,54.46,7,N,0,,6.90,3.40,3.28,NEUTRAL,427.60,3,29,0.57,427.1388,C22H25N3O2S2,5,1,0
301,285.44,5.32,3,0,12.89,3,N,1,,3.59,5.42,5.42,NEUTRAL,285.44,3,19,0.65,285.0646,C16H15NS2,1,0,1
302,330.43,4.05,5,1,51.22,4,N,0,10.79,3.06,3.69,3.69,NEUTRAL,330.43,3,22,0.73,330.0497,C16H14N2O2S2,4,1,0
303,344.46,4.39,5,0,42.43,4,N,0,,3.06,3.92,3.92,NEUTRAL,344.46,3,23,0.66,344.0653,C17H16N2O2S2,4,0,0
304,287.37,2.94,5,1,68.87,3,N,0,13.81,3.17,2.18,2.18,NEUTRAL,287.37,3,19,0.80,287.0187,C13H9N3OS2,4,2,0
305,362.48,5.21,4,1,55.98,4,N,1,13.81,3.10,4.45,4.45,NEUTRAL,362.48,4,25,0.54,362.0548,C20H14N2OS2,3,2,1
306,316.41,3.56,5,1,65.21,4,N,0,13.81,3.10,2.65,2.65,NEUTRAL,316.41,3,21,0.80,316.0340,C15H12N2O2S2,4,2,0
307,365.28,4.31,4,1,55.98,3,N,0,13.81,3.10,3.57,3.57,NEUTRAL,365.28,3,20,0.75,363.9340,C14H9BrN2OS2,3,2,0
308,355.27,4.85,4,1,55.98,3,N,0,13.81,3.10,4.01,4.01,NEUTRAL,355.27,3,21,0.73,353.9455,C14H8Cl2N2OS2,3,2,0
309,320.83,4.20,4,1,55.98,3,N,0,13.81,3.10,3.41,3.41,NEUTRAL,320.83,3,20,0.79,319.9845,C14H9ClN2OS2,3,2,0
316,374.49,2.84,6,3,82.45,6,N,0,13.80,3.09,2.22,2.22,NEUTRAL,374.49,3,25,0.62,374.0759,C18H18N2O3S2,5,3,0
317,410.95,6.66,4,1,41.99,4,N,1,13.84,3.07,6.16,6.16,NEUTRAL,410.95,4,27,0.41,410.0314,C21H15ClN2OS2,3,1,1
318,316.48,5.01,4,2,36.74,3,N,1,7.97,6.07,4.56,4.54,NEUTRAL,316.48,3,20,0.40,316.0163,C15H12N2S3,2,1,1
319,585.96,7.84,2,2,40.46,5,N,2,6.73,,8.44,7.40,NEUTRAL,585.96,2,24,0.38,581.8040,C18H18Br4O2,2,2,2
321,460.57,3.33,7,1,99.13,4,N,0,6.82,,2.52,1.84,NEUTRAL,460.57,0,33,0.39,460.2461,C26H36O7,7,1,0
322,212.25,3.03,2,1,37.91,1,N,0,13.54,6.15,1.85,1.82,NEUTRAL,212.25,3,16,0.67,212.0950,C13H12N2O,3,1,0
323,251.13,2.58,1,2,27.82,0,Y,0,,9.07,2.36,0.70,BASE,251.13,2,14,0.74,250.0106,C11H11BrN2,2,2,0
324,249.11,2.91,1,1,28.15,0,Y,0,,7.61,2.75,2.33,NEUTRAL,249.11,2,14,0.74,247.9949,C11H9BrN2,2,1,0
325,711.95,3.21,7,7,212.74,20,N,2,4.08,10.50,0.42,-1.65,ZWITTERION,711.95,2,51,0.10,711.4683,C38H61N7O6,13,9,3
326,826.06,0.80,9,11,289.75,23,N,2,4.08,11.73,-1.10,-4.61,ZWITTERION,826.06,2,59,0.04,825.5225,C41H67N11O7,18,13,3
327,257.38,4.76,3,0,12.89,2,N,0,,3.57,4.33,4.33,NEUTRAL,257.38,3,17,0.66,257.0333,C14H11NS2,1,0,0
328,430.54,3.35,6,1,89.90,2,N,0,6.37,,2.74,1.67,ACID,430.54,0,31,0.68,430.2355,C25H34O6,6,1,0
329,288.36,4.92,2,2,40.46,5,N,0,8.67,,5.51,5.49,NEUTRAL,288.36,2,21,0.82,288.1526,C18H21FO2,2,2,0
331,200.24,2.15,2,1,37.38,1,Y,0,,8.24,1.82,0.92,NEUTRAL,200.24,2,15,0.75,200.0950,C12H12N2O,3,1,0
332,317.35,0.37,5,4,132.76,1,N,0,11.33,9.10,0.24,-1.39,BASE,317.35,1,23,0.44,317.1488,C15H19N5O3,8,5,0
333,448.56,3.37,7,2,102.29,2,N,0,6.83,,2.75,2.08,NEUTRAL,448.56,0,32,0.62,448.2461,C25H36O7,7,2,0
334,423.29,2.96,6,2,95.42,4,N,0,5.62,4.57,3.40,2.74,ACID,423.29,3,25,0.67,422.0048,C16H15BrN4O3S,7,2,0
335,586.75,6.61,7,1,77.10,10,N,2,6.20,8.89,5.13,5.09,ZWITTERION,586.75,3,42,0.27,586.2501,C34H38N2O5S,7,1,2
336,475.55,4.12,7,2,91.24,7,N,0,12.85,2.59,4.57,4.57,NEUTRAL,475.55,4,34,0.39,475.1478,C25H22FN5O2S,7,2,0
339,224.20,-1.03,3,6,131.46,5,N,1,0.01,12.55,-3.18,-3.26,ZWITTERION,224.20,0,14,0.15,224.1038,C6H17N4O3P,7,7,1
340,316.36,0.84,5,3,106.74,1,N,0,11.38,8.41,0.57,-0.46,NEUTRAL,316.36,1,23,0.53,316.1535,C16H20N4O3,7,3,0
341,493.54,4.53,6,2,102.14,7,N,0,12.87,1.68,5.70,5.70,NEUTRAL,493.54,4,37,0.37,493.1914,C29H24FN5O2,7,2,0
342,394.25,3.20,5,1,81.18,4,N,0,5.57,,3.02,2.12,ACID,394.25,3,23,0.74,392.9783,C15H12BrN3O3S,6,1,0
343,200.24,2.15,2,1,37.38,1,Y,0,,8.37,1.82,0.81,NEUTRAL,200.24,2,15,0.75,200.0950,C12H12N2O,3,1,0
344,202.26,1.82,2,2,37.05,1,Y,0,,9.08,1.43,-0.25,BASE,202.26,2,15,0.74,202.1106,C12H14N2O,3,2,0
345,475.55,4.12,7,2,91.24,7,N,0,12.84,2.31,4.60,4.60,NEUTRAL,475.55,4,34,0.39,475.1478,C25H22FN5O2S,7,2,0
346,210.17,-1.50,3,5,147.95,5,N,0,-0.27,11.88,-3.63,-3.71,ZWITTERION,210.17,0,13,0.16,210.0882,C5H15N4O3P,7,8,1
347,194.17,-1.21,3,4,127.72,5,N,0,0.22,11.90,-2.34,-4.33,ZWITTERION,194.17,0,12,0.19,194.0933,C5H15N4O2P,6,7,1
348,316.41,2.87,4,1,73.05,3,N,0,13.78,0.74,1.94,1.94,NEUTRAL,316.41,3,21,0.81,316.0340,C15H12N2O2S2,4,2,0
349,253.31,1.57,5,2,99.07,2,N,0,13.79,2.86,0.36,0.36,NEUTRAL,253.31,2,16,0.79,252.9980,C9H7N3O2S2,5,4,0
350,334.85,4.34,4,1,55.98,4,N,0,13.83,3.21,3.47,3.47,NEUTRAL,334.85,3,21,0.72,334.0001,C15H11ClN2OS2,3,2,0
351,202.26,1.82,2,2,37.05,1,Y,0,,9.08,1.43,-0.24,BASE,202.26,2,15,0.74,202.1106,C12H14N2O,3,2,0
352,202.26,1.82,2,2,37.05,1,Y,0,,9.12,1.43,-0.28,BASE,202.26,2,15,0.74,202.1106,C12H14N2O,3,2,0
354,481.51,4.12,7,2,121.49,8,N,0,12.82,1.82,5.16,5.16,NEUTRAL,481.51,4,36,0.22,481.1750,C27H23N5O4,9,2,0
356,292.43,3.82,4,1,55.98,3,N,0,13.83,3.21,2.83,2.83,NEUTRAL,292.43,2,19,0.94,292.0704,C14H16N2OS2,3,2,0
357,290.37,3.45,5,1,69.12,3,N,0,13.81,3.08,2.14,2.14,NEUTRAL,290.37,3,19,0.80,290.0184,C13H10N2O2S2,4,2,0
358,308.41,2.71,7,1,81.76,3,N,0,13.80,2.95,1.39,1.39,NEUTRAL,308.41,3,19,0.80,307.9860,C11H8N4OS3,5,2,0
361,436.52,4.21,5,2,78.35,7,N,0,12.82,1.82,5.20,5.20,NEUTRAL,436.52,4,33,0.42,436.1899,C27H24N4O2,6,2,0
362,314.44,4.16,4,1,55.98,3,N,0,13.81,3.10,3.83,3.83,NEUTRAL,314.44,3,21,0.79,314.0548,C16H14N2OS2,3,2,0
364,826.10,1.28,10,9,278.17,24,N,2,6.39,13.26,0.87,-5.47,ZWITTERION,826.10,2,59,0.03,825.5589,C42H71N11O6,17,13,3
365,798.09,2.35,10,8,239.79,24,N,2,11.94,10.49,2.11,-5.13,BASE,798.09,2,57,0.06,797.5527,C42H71N9O6,15,11,3
366,418.53,2.76,6,2,93.06,3,N,0,6.83,,2.08,1.41,NEUTRAL,418.53,0,30,0.54,418.2355,C24H34O6,6,2,0
367,306.35,5.06,2,2,40.46,5,N,1,8.38,,5.65,5.61,NEUTRAL,306.35,2,22,0.81,306.1431,C18H20F2O2,2,2,1
368,396.27,5.39,2,2,40.46,5,N,1,8.62,,6.29,6.27,NEUTRAL,396.27,2,21,0.67,396.0586,C18H21IO2,2,2,1
369,465.62,3.59,4,2,92.50,8,N,0,10.11,9.22,3.31,1.76,BASE,465.62,3,33,0.53,465.2086,C26H31N3O3S,6,3,0
370,299.42,4.46,3,1,43.09,3,N,0,13.90,,4.53,4.53,NEUTRAL,299.42,3,20,0.78,299.0439,C16H13NOS2,2,2,0
373,506.59,4.16,9,1,117.59,3,N,1,6.82,,3.81,3.13,NEUTRAL,506.59,0,36,0.44,506.2516,C27H38O9,9,1,1
374,374.44,3.03,5,2,78.35,6,N,0,12.82,1.83,3.82,3.82,NEUTRAL,374.44,3,28,0.65,374.1743,C22H22N4O2,6,2,0
375,522.16,5.99,2,2,40.46,5,N,2,8.33,,7.22,7.17,NEUTRAL,522.16,2,22,0.47,521.9553,C18H20I2O2,2,2,2
377,432.30,3.13,6,1,98.98,4,N,0,4.19,4.83,2.30,1.99,ACID,432.30,3,26,0.68,431.0052,C17H14BrN5O2S,7,1,0
378,208.20,-0.74,3,5,111.23,5,N,0,0.32,12.59,-1.73,-3.76,ZWITTERION,208.20,0,13,0.18,208.1089,C6H17N4O2P,6,6,1
379,170.21,2.14,1,1,28.15,0,Y,0,,8.64,1.98,0.72,BASE,170.21,2,13,0.63,170.0844,C11H10N2,2,1,0
380,407.29,3.26,5,1,75.19,4,N,0,5.88,4.60,2.73,2.07,ACID,407.29,3,24,0.72,406.0099,C16H15BrN4O2S,6,1,0
381,362.84,3.15,5,1,75.19,4,N,0,5.93,4.60,2.59,1.93,ACID,362.84,3,24,0.77,362.0604,C16H15ClN4O2S,6,1,0
382,655.84,1.79,7,7,212.74,16,N,2,4.08,10.20,-0.65,-1.37,ZWITTERION,655.84,2,47,0.13,655.4057,C34H53N7O6,13,9,3
386,507.06,7.07,2,2,40.46,5,N,2,7.01,,7.67,7.11,NEUTRAL,507.06,2,23,0.45,503.8935,C18H19Br3O2,2,2,2
387,255.17,-1.67,5,5,177.10,6,N,0,-0.27,9.88,-3.47,-3.46,ZWITTERION,255.17,0,16,0.09,255.0733,C5H14N5O5P,10,7,1
388,251.13,2.58,1,2,27.82,0,Y,0,,9.05,2.36,0.71,BASE,251.13,2,14,0.74,250.0106,C11H11BrN2,2,2,0
389,251.13,2.58,1,2,27.82,0,Y,0,,9.07,2.36,0.69,BASE,251.13,2,14,0.74,250.0106,C11H11BrN2,2,2,0
390,767.98,1.06,7,9,289.50,20,N,2,4.08,11.43,-0.65,-2.69,ZWITTERION,767.98,2,55,0.05,767.4806,C38H61N11O6,17,13,3
391,770.03,1.88,9,9,250.79,25,N,2,4.08,10.50,-0.97,-4.99,ZWITTERION,770.03,2,55,0.07,769.5214,C40H67N9O6,15,12,3
392,783.07,3.42,9,7,213.77,24,N,2,11.94,10.49,3.30,-3.58,BASE,783.07,2,56,0.06,782.5418,C42H70N8O6,14,9,3
393,423.29,3.24,6,2,93.21,5,N,0,5.58,4.04,2.36,1.60,ACID,423.29,3,25,0.65,422.0048,C16H15BrN4O3S,7,2,0
394,372.45,2.81,6,1,84.42,5,N,0,5.67,4.58,2.06,1.40,ACID,372.45,3,26,0.74,372.1256,C18H20N4O3S,7,1,0
395,1574.97,,,,,,,,,,,,,1574.97,,,,1573.7792,C67H111N23O15S3,,,
396,1070.15,,,,,,,,,,,,,1070.15,,,,1069.4611,C42H67N15O16S,,,
398,239.17,-1.39,5,4,156.87,6,N,0,0.22,9.54,-2.72,-3.06,ZWITTERION,239.17,0,15,0.11,239.0783,C5H14N5O4P,9,6,1
399,281.15,2.58,2,2,37.05,1,Y,0,,9.06,2.20,0.54,BASE,281.15,2,16,0.84,280.0211,C12H13BrN2O,3,2,0
400,648.06,6.60,2,2,40.46,5,N,2,7.49,,8.15,7.89,NEUTRAL,648.06,2,23,0.36,647.8519,C18H19I3O2,2,2,2
401,270.37,4.79,2,2,40.46,5,N,0,9.93,,5.37,5.36,NEUTRAL,270.37,2,20,0.82,270.1620,C18H22O2,2,2,0
402,251.13,2.58,1,2,27.82,0,Y,0,,9.07,2.36,0.69,BASE,251.13,2,14,0.74,250.0106,C11H11BrN2,2,2,0
403,186.26,1.82,2,1,16.96,0,Y,0,,9.03,1.81,0.19,BASE,186.26,2,14,0.66,186.1157,C12H14N2,2,1,0
405,300.41,3.85,4,1,55.98,3,N,0,13.92,1.44,3.91,3.91,NEUTRAL,300.41,3,20,0.80,300.0391,C15H12N2OS2,3,2,0
406,269.37,3.87,4,1,37.81,4,N,0,,3.96,4.18,4.18,NEUTRAL,269.37,3,19,0.78,269.0987,C15H15N3S,3,1,0
407,273.39,3.80,5,0,38.67,3,N,0,,2.32,4.54,4.54,NEUTRAL,273.39,3,18,0.68,273.0394,C13H11N3S2,3,0,0
408,249.11,2.91,1,1,28.15,0,Y,0,,7.58,2.75,2.35,NEUTRAL,249.11,2,14,0.74,247.9949,C11H9BrN2,2,1,0
409,249.11,2.91,1,1,28.15,0,Y,0,,7.58,2.75,2.35,NEUTRAL,249.11,2,14,0.74,247.9949,C11H9BrN2,2,1,0
410,469.52,4.06,6,2,91.24,7,N,0,12.86,4.14,4.77,4.77,NEUTRAL,469.52,4,35,0.40,469.1914,C27H24FN5O2,7,2,0
411,275.31,1.06,4,3,94.38,1,N,0,13.20,,0.46,0.46,NEUTRAL,275.31,1,20,0.71,275.1270,C14H17N3O3,6,3,0
