assay_class_id,l1,l2,l3,class_type,bao_id,source
183,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Cerebral Blood Flow and in Ischemic Skeletal Muscle in Rats Laser Doppler Effect,In vivo efficacy,,Vogel_2008
184,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Contractile Force of Ischemic Muscle,In vivo efficacy,,Vogel_2008
185,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Mesenteric Blood Flow in Rats,In vivo efficacy,,Vogel_2008
186,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Peripheral Blood Flow in Rats,In vivo efficacy,,Vogel_2008
187,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Forebrain Ischemia in Rats,In vivo efficacy,,Vogel_2008
188,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,General Ischemia Reperfusion,In vivo efficacy,,phenotype
189,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Hypoxia Tolerance Test in Rats,In vivo efficacy,,Hock_2016
190,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Measurement of Local Cerebral Blood Flow and Glucose Utilization in Rats,In vivo efficacy,,Vogel_2008
191,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Mesenteric Window Angiogenesis Model,In vivo efficacy,,Vogel_2008
192,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Microdialysis and Neuroprotection Experiments After Global Ischemia in Rats,In vivo efficacy,,Vogel_2008
193,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Middle Cerebral Artery Occlusion,In vivo efficacy,,Hock_2016
194,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Perfused Hindquarter Preparation with Sympathetic Nerve Stimulation in Rats,In vivo efficacy,,Vogel_2008
195,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Photochemically Induced Focal Cerebral Ischemia in Rats,In vivo efficacy,,Hock_2016
196,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Subcutaneous Air Sac Model for Angiogenesis.,In vivo efficacy,,Hock_2016
197,CARDIOVASCULAR SYSTEM,Effects on Blood Supply and on Arterial and Venous Tonus,Traumatic Brain Injury,In vivo efficacy,,Hock_2016
198,CARDIOVASCULAR SYSTEM,Experimental Hypertension,DOCA Salt Induced Hypertension,In vivo efficacy,,Hock_2016
199,CARDIOVASCULAR SYSTEM,Experimental Hypertension,Fructose Induced Hypertension in Rats,In vivo efficacy,,Vogel_2008
200,CARDIOVASCULAR SYSTEM,Experimental Hypertension,"Genetic Hypertension in Rats: Genetically hypertensive rat (GH), Spontaneously hypertensive rat (Akamoto-Aoki, SHR) or Wistar-Kyoto Rat (WKY), Salt-hypertension-sensitivity and Salt-hypertension-resistant (RD), Dahl Salt-Sensitive rat (S), Sabra strain, Milan hypertensive strain (MHS), Lyon, Stroke-prone strain (SHR=SHRSP), transgenic rat with hypertension,  TGR or TGR(mREN2)27, double transgenic rat (dTGR), genetically hypertensive mouse",In vivo efficacy,,Vogel_2008
201,CARDIOVASCULAR SYSTEM,Experimental Hypertension,Hypertension Induced by Chronic NO Synthase Inhibition,In vivo efficacy,,Vogel_2008
202,CARDIOVASCULAR SYSTEM,Experimental Hypertension,Portal Hypertension in Rats,In vivo efficacy,,Vogel_2008
203,CARDIOVASCULAR SYSTEM,Experimental Hypertension,Pulmonary Hypertension Induced by Monocrotaline,In vivo efficacy,,Hock_2016
204,CARDIOVASCULAR SYSTEM,Experimental Hypertension,Renal Hypertension,In vivo efficacy,,Hock_2016
205,CARDIOVASCULAR SYSTEM,Induction of Experimental Atherosclerosis,Cholesterol Diet Induced Atherosclerosis,In vivo efficacy,,Vogel_2008
206,CARDIOVASCULAR SYSTEM,Induction of Experimental Atherosclerosis,General Atherosclerosis Activity,In vivo efficacy,,phenotype
207,CARDIOVASCULAR SYSTEM,Induction of Experimental Atherosclerosis,Intimal Reactions After Endothelial Injury,In vivo efficacy,,Vogel_2008
208,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,Fructose Induced Hypertriglyceridemia in Rats,In vivo efficacy,,Vogel_2008
209,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,General Hyperlipidemia Models,In vivo efficacy,,phenotype
210,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,General Lipid Metabolism,In vivo efficacy,,phenotype
211,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,Hypolipidemic Activity in Rats,In vivo efficacy,,Vogel_2008
212,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,Influence on Lipoprotein Lipase Activity,In vivo efficacy,,Vogel_2008
213,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,Intravenous Lipid Tolerance Test in Rats,In vivo efficacy,,Vogel_2008
214,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,Lipid Peroxidation Assay,In vivo efficacy,,Vogel_2008
215,CARDIOVASCULAR SYSTEM,Influence on Lipid Metabolism,Triton Induced Hyperlipidemia,In vivo efficacy,,Vogel_2008
216,CARDIOVASCULAR SYSTEM,Inhibition of Cholesterol Absorption,General Cholesterol Activity,In vivo efficacy,,phenotype
217,CARDIOVASCULAR SYSTEM,Inhibition of Cholesterol Absorption,In Vivo Test for ACAT (Acyl Coenzyme A: Cholesterol Acyltransferase) Inhibitory Activity,In vivo efficacy,,Vogel_2008
218,CARDIOVASCULAR SYSTEM,Inhibition of Cholesterol Absorption,Lymph Fistula Model for Cholesterol Absorption,In vivo efficacy,,Vogel_2008
219,CARDIOVASCULAR SYSTEM,Inhibition of Cholesterol Biosynthesis,Effect of HMG-CoA-Reductase Inhibitors in Vivo (3-Hydroxy-3-methylglutaryl-coenzyme A),In vivo efficacy,,Vogel_2008
220,DERMATOLOGICALS,Acne Models,Acne Activity on Sebaceous Glands of Rats,In vivo efficacy,,Vogel_2008
221,DERMATOLOGICALS,Acne Models,Acne Activity on Sebaceous Glands of the Fuzzy Rat,In vivo efficacy,,Vogel_2008
222,DERMATOLOGICALS,Acne Models,Acne Activity on the Skin of the Rhino Mouse,In vivo efficacy,,Vogel_2008
223,DERMATOLOGICALS,Biomechanics of Skin,Healing of Skin Wounds,In vivo efficacy,,Vogel_2008
224,DERMATOLOGICALS,Biomechanics of Skin,In Vivo Recovery of Skin After Repeated Strain,In vivo efficacy,,Vogel_2008
225,DERMATOLOGICALS,Biomechanics of Skin,Repeated Strain on Skin in Vivo,In vivo efficacy,,Vogel_2008
226,DERMATOLOGICALS,Biomechanics of Skin,Stress-Strain Curves of Skin in Vivo,In vivo efficacy,,Vogel_2008
227,DERMATOLOGICALS,Cutaneous Microcirculation,Laser Doppler Velocimetry for Cutaneous Microcirculation,In vivo efficacy,,Vogel_2008
228,DERMATOLOGICALS,Cutaneous Microcirculation,Measurement of Skin Microcirculation by Reflectance Spectroscopy,In vivo efficacy,,Vogel_2008
229,DERMATOLOGICALS,Erythropoietic Protoporphyria Models,Animal Models for Erythropoietic Protoporphyria,In vivo efficacy,,Vogel_2008
230,DERMATOLOGICALS,Experimental Dermatitis,Contact Hypersensitivity,In vivo efficacy,,Vogel_2008
231,DERMATOLOGICALS,Experimental Dermatitis,General Dermatitis Models,In vivo efficacy,,phenotype
232,DERMATOLOGICALS,Experimental Dermatitis,Motheaten Mice for Spontaneous Dermatitis,In vivo efficacy,,Vogel_2008
233,DERMATOLOGICALS,Experimental Dermatitis,NC/Nga Mouse as Model for Atopic Dermatitis,In vivo efficacy,,Vogel_2008
234,DERMATOLOGICALS,Experimental Dermatitis,Non-Immunologic Contact Urticaria,In vivo efficacy,,Vogel_2008
235,DERMATOLOGICALS,Experimental Dermatitis,Spontaneous Erythema in Hairless Rats,In vivo efficacy,,Vogel_2008
236,DERMATOLOGICALS,Ichthyosis Models,Experimentally Induced Ichthyosis in Mice,In vivo efficacy,,Vogel_2008
237,DERMATOLOGICALS,Influence on Hair Growth,Influence on Hair Growth,In vivo efficacy,,Vogel_2008
238,DERMATOLOGICALS,Pemphigus Models,Experimentally Induced Pemphigus in Mice,In vivo efficacy,,Vogel_2008
239,DERMATOLOGICALS,Protection against UV light,Protection of Skin Against UV Light,In vivo efficacy,,Vogel_2008
240,DERMATOLOGICALS,Pruritus Models,Pruritus and Scratching Behavior,In vivo efficacy,,Hock_2016
241,DERMATOLOGICALS,Psoriasis Models,Asebia (ab/ab) Mouse for Psoriatiform Skin Diseases in Spontaneous Mice Mutations,In vivo efficacy,,Vogel_2008
242,DERMATOLOGICALS,Psoriasis Models,Flaky Skin (fsn) Mouse for Psoriatiform Skin Diseases in Spontaneous Mice Mutations,In vivo efficacy,,Vogel_2008
243,DERMATOLOGICALS,Psoriasis Models,Hyperproliferative Epidermis in Hairless Mice,In vivo efficacy,,Vogel_2008
244,DERMATOLOGICALS,Psoriasis Models,Mouse Tail Model for Psoriasis,In vivo efficacy,,Vogel_2008
245,DERMATOLOGICALS,Psoriasis Models,Rat Ultraviolet Ray B Photodermatitis Model for Psoriasis,In vivo efficacy,,Vogel_2008
246,DERMATOLOGICALS,Psoriasis Models,Xenotransplantation of Human Psoriatic Skin,In vivo efficacy,,Vogel_2008
247,DERMATOLOGICALS,Scleroderma Models,"Scleroderma Models in Mice: tight-skin mouse, WBB6F1-W/WV mouse, MRL/lpr mouse",In vivo efficacy,,Vogel_2008
248,DERMATOLOGICALS,Skin Sensitization Testing,Local Lymph Node Assay for Skin Sensitization,In vivo efficacy,,Vogel_2008
249,DERMATOLOGICALS,Skin Sensitization Testing,Popliteal Lymph Node Hyperplasia Assay,In vivo efficacy,,Vogel_2008
250,DERMATOLOGICALS,Transepidermal Water Loss,Transepidermal Water Loss (TEWL),In vivo efficacy,,Vogel_2008
251,DERMATOLOGICALS,Vitiligo Models,Vitiligo in Mice,In vivo efficacy,,Vogel_2008
252,DERMATOLOGICALS,Xeroderma Models,Experimentally Induced Xeroderma in Mice,In vivo efficacy,,Vogel_2008
253,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Assessment of Glomerular Filtration Rate (GFR) and Renal Blood Flow  (RBF) by Scintigraphic Imaging ,In vivo efficacy,,Vogel_2008
254,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Assessment of Glomerular Filtration Rate (GFR) by Plasma Chemistry,In vivo efficacy,,Hock_2016
255,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Assessment of Medullary Osmolarity and Blood Flow,In vivo efficacy,,Vogel_2008
256,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Assessment of Renal Blood Flow (RBF) by Intravascular Doppler Flow Probes ,In vivo efficacy,,Vogel_2008
257,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Assessment of Tubular Transport Processes using Transport Substrates and Inhibitors,In vivo efficacy,,Vogel_2008
258,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Clearance Methods,In vivo efficacy,,Vogel_2008
259,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Fractional Excretion Methods,In vivo efficacy,,Hock_2016
260,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,General Renal Function Models,In vivo efficacy,,phenotype
261,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Micropuncture Techniques in Rats,In vivo efficacy,,Vogel_2008
262,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Quantitative Electrolyte Excretion,In vivo efficacy,,Vogel_2008
263,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Solute-Free Water Excretion and Reabsorption,In vivo efficacy,,Vogel_2008
264,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Stop Flow Technique,In vivo efficacy,,Vogel_2008
265,GENITO URINARY SYSTEM AND SEX HORMONES,Assessment of Renal Function,Urinalysis,In vivo efficacy,,Hock_2016
266,GENITO URINARY SYSTEM AND SEX HORMONES,Diuretic and Saluretic Activity,Diuretic Activity in Rats Lipschitz Test,In vivo efficacy,,Vogel_2008
267,GENITO URINARY SYSTEM AND SEX HORMONES,Diuretic and Saluretic Activity,Saluretic Activity in Rats,In vivo efficacy,,Vogel_2008
268,GENITO URINARY SYSTEM AND SEX HORMONES,Impaired Renal Function,Chronic Renal Failure in the Rat,In vivo efficacy,,Vogel_2008
269,GENITO URINARY SYSTEM AND SEX HORMONES,Impaired Renal Function,Experimental Nephrosis,In vivo efficacy,,Vogel_2008
270,GENITO URINARY SYSTEM AND SEX HORMONES,Impaired Renal Function,General Nephrotoxic and Nephroprotective Models,In vivo efficacy,,phenotype
271,GENITO URINARY SYSTEM AND SEX HORMONES,Impaired Renal Function,Nephrotoxic Serum Nephritis,In vivo efficacy,,Vogel_2008
272,GENITO URINARY SYSTEM AND SEX HORMONES,Influence on Lower Urinary Tract,Micturition Studies,In vivo efficacy,,Vogel_2008
273,GENITO URINARY SYSTEM AND SEX HORMONES,Ovarian Hormones,Antagonism of Estrogen Effect on Uterus Weight,In vivo efficacy,,Vogel_2008
274,GENITO URINARY SYSTEM AND SEX HORMONES,Ovarian Hormones,Aromatase Inhibition,In vivo efficacy,,Vogel_2008
275,GENITO URINARY SYSTEM AND SEX HORMONES,Ovarian Hormones,Deciduoma Formation Progestional Activity,In vivo efficacy,,Vogel_2008
276,GENITO URINARY SYSTEM AND SEX HORMONES,Ovarian Hormones,General Estrogen or Progestogen Activity,In vivo efficacy,,phenotype
277,GENITO URINARY SYSTEM AND SEX HORMONES,Ovarian Hormones,Pregnancy Maintenance Assay Progestional Activity,In vivo efficacy,,Vogel_2008
278,GENITO URINARY SYSTEM AND SEX HORMONES,Ovarian Hormones,Uterine Weight Assay,In vivo efficacy,,Vogel_2008
279,GENITO URINARY SYSTEM AND SEX HORMONES,Ovarian Hormones,Vaginal Cornification Assay,In vivo efficacy,,Vogel_2008
280,GENITO URINARY SYSTEM AND SEX HORMONES,Testicular Steroid Hormones,General Androgen Activity,In vivo efficacy,,phenotype
281,GENITO URINARY SYSTEM AND SEX HORMONES,Testicular Steroid Hormones,General Hormonal Activity,In vivo efficacy,,phenotype
282,GENITO URINARY SYSTEM AND SEX HORMONES,Testicular Steroid Hormones,Intra-Uterine Feminizing / Virilizing Effect,In vivo efficacy,,Vogel_2008
283,GENITO URINARY SYSTEM AND SEX HORMONES,Testicular Steroid Hormones,Nitrogen Retention Anabolic Agents,In vivo efficacy,,Vogel_2008
284,GENITO URINARY SYSTEM AND SEX HORMONES,Testicular Steroid Hormones,Weight of Androgen-Dependent Organs in Rats,In vivo efficacy,,Vogel_2008
285,GENITO URINARY SYSTEM AND SEX HORMONES,Uricosuric and Hypo-Uricemic Activity,Diuretic and Uricosuric Activity in Mice,In vivo efficacy,,Vogel_2008
286,GENITO URINARY SYSTEM AND SEX HORMONES,Uricosuric and Hypo-Uricemic Activity,Hypouricemic Activity After Allantoxanamide Treatment in Rats,In vivo efficacy,,Vogel_2008
287,GENITO URINARY SYSTEM AND SEX HORMONES,Uricosuric and Hypo-Uricemic Activity,Hypouricemic and Uricosuric Activity After Potassium Oxonate Treatment in Rats,In vivo efficacy,,Vogel_2008
288,GENITO URINARY SYSTEM AND SEX HORMONES,Uricosuric and Hypo-Uricemic Activity,Phenol Red Excretion in Rats,In vivo efficacy,,Vogel_2008
289,MUSCULO-SKELETAL SYSTEM,Anti-Arthrotic Activity,Canine Anterior Cruciate Ligament (ACL) Transection Model,In vivo efficacy,,Vogel_2008
290,MUSCULO-SKELETAL SYSTEM,Anti-Arthrotic Activity,Chymopapain Induced Cartilage Degeneration in the Rabbit,In vivo efficacy,,Hock_2016
291,MUSCULO-SKELETAL SYSTEM,Anti-Arthrotic Activity,General Osteoarthritis Models,In vivo efficacy,,phenotype
292,MUSCULO-SKELETAL SYSTEM,Anti-Arthrotic Activity,Spontaneous Osteoarthritis OA Model in STR/1N Mice,In vivo efficacy,,Hock_2016
293,MUSCULO-SKELETAL SYSTEM,Anti-Arthrotic Activity,Transgenic Mice as Models of Osteoarthritis,In vivo efficacy,,Hock_2016
294,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Cotton Wool Granuloma for Anti-Inflammatory Activity,In vivo efficacy,,Vogel_2008
295,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Croton Oil Ear Edema,In vivo efficacy,,Vogel_2008
296,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,General Anti-Inflammatory Models,In vivo efficacy,,phenotype
297,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,General Granuloma Models,In vivo efficacy,,phenotype
298,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Glass Rod Granuloma for Anti-Inflammatory Activity,In vivo efficacy,,Vogel_2008
299,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Granuloma Pouch Technique,In vivo efficacy,,Hock_2016
300,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Oxazolone Induced Ear Edema in Mice,In vivo efficacy,,Hock_2016
301,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Paw Edema Test,In vivo efficacy,,Hock_2016
302,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Pleurisy Test for Anti-Inflammatory Activity,In vivo efficacy,,Hock_2016
303,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Sponge Implantation Technique for Anti-Inflammatory Activity,In vivo efficacy,,Vogel_2008
304,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Ultraviolet Erythema in Guinea Pigs,In vivo efficacy,,Hock_2016
305,MUSCULO-SKELETAL SYSTEM,Anti-Inflammatory Activity,Vascular Permeability for Anti-Inflammatory Activity,In vivo efficacy,,Vogel_2008
306,MUSCULO-SKELETAL SYSTEM,Neuromuscular Blocking Activity,Evaluation of Neuromuscular Blockade in Anesthetized Mice Neuromuscular Blocking Agent,In vivo efficacy,,Vogel_2008
307,MUSCULO-SKELETAL SYSTEM,Neuromuscular Blocking Activity,Isolated Phrenic Nerve Diaphragm Preparation of the Rat Neuromuscular Blocking Agent,In vivo efficacy,,Vogel_2008
308,NERVOUS SYSTEM,Analgesic Activity,General Analgesic Nociceptic and Allodynic Activity,In vivo efficacy,,phenotype
309,NERVOUS SYSTEM,Animal Models of Neurological Diseases,3-Nitropropionic Acid Animal Model of Huntingtons Disease,In vivo efficacy,,Vogel_2008
310,NERVOUS SYSTEM,Animal Models of Neurological Diseases,Models of Wilsons Disease Copper Metabolism,In vivo efficacy,,Vogel_2008
311,NERVOUS SYSTEM,Animal Models of Neurological Diseases,Quinolinic Acid Rat Model of Huntingtons Disease,In vivo efficacy,,Vogel_2008
312,NERVOUS SYSTEM,Anti-Depressant Activity,5-Hydroxytryptophan Potentiation,In vivo efficacy,,Vogel_2008
313,NERVOUS SYSTEM,Anti-Depressant Activity,Animal Models of Bipolar Disorder,In vivo efficacy,,Vogel_2008
314,NERVOUS SYSTEM,Anti-Depressant Activity,Animal Models of Obsessive Compulsive Disorder,In vivo efficacy,,Hock_2016
315,NERVOUS SYSTEM,Anti-Depressant Activity,Anti-Depressant Like Activity in Differential Reinforcement of Low Rate DRL 72-Second Schedule,In vivo efficacy,,Vogel_2008
316,NERVOUS SYSTEM,Anti-Depressant Activity,Apomorphine Induced Hypothermia in Mice,In vivo efficacy,,Vogel_2008
317,NERVOUS SYSTEM,Anti-Depressant Activity,Behavioral Changes After Neonatal Clomipramine Treatment,In vivo efficacy,,Vogel_2008
318,NERVOUS SYSTEM,Anti-Depressant Activity,Chronic Stress Model of Depression,In vivo efficacy,,Vogel_2008
319,NERVOUS SYSTEM,Anti-Depressant Activity,Compulsive Gnawing in Mice,In vivo efficacy,,Vogel_2008
320,NERVOUS SYSTEM,Anti-Depressant Activity,Despair Swim Test,In vivo efficacy,,Hock_2016
321,NERVOUS SYSTEM,Anti-Depressant Activity,General Anti-Depressant Activity,In vivo efficacy,,phenotype
322,NERVOUS SYSTEM,Anti-Depressant Activity,General Hypothermia,In vivo efficacy,,phenotype
323,NERVOUS SYSTEM,Anti-Depressant Activity,Hypermotility in Olfactory Bulbectomized Rats,In vivo efficacy,,Vogel_2008
324,NERVOUS SYSTEM,Anti-Depressant Activity,Learned Helplessness in Rats,In vivo efficacy,,Vogel_2008
325,NERVOUS SYSTEM,Anti-Depressant Activity,Muricide Behavior in Rats,In vivo efficacy,,Hock_2016
326,NERVOUS SYSTEM,Anti-Depressant Activity,Novelty Induced Hypophagia Test,In vivo efficacy,,Vogel_2008
327,NERVOUS SYSTEM,Anti-Depressant Activity,Potentiation of Norepinephrine Toxicity,In vivo efficacy,,Vogel_2008
328,NERVOUS SYSTEM,Anti-Depressant Activity,Reduction of Submissive Behavior,In vivo efficacy,,Vogel_2008
329,NERVOUS SYSTEM,Anti-Depressant Activity,Reserpine Induced Hypothermia,In vivo efficacy,,Vogel_2008
330,NERVOUS SYSTEM,Anti-Depressant Activity,Serotonin Syndrome in Rats,In vivo efficacy,,Vogel_2008
331,NERVOUS SYSTEM,Anti-Depressant Activity,Sexual Behavior in Male Rats,In vivo efficacy,,Vogel_2008
332,NERVOUS SYSTEM,Anti-Depressant Activity,Tail Suspension Test in Mice,In vivo efficacy,,Hock_2016
333,NERVOUS SYSTEM,Anti-Depressant Activity,Tetrabenazine TBZ Antagonism in Mice,In vivo efficacy,,Vogel_2008
334,NERVOUS SYSTEM,Anti-Depressant Activity,Tryptamine Seizure Potentiation in Rats,In vivo efficacy,,Vogel_2008
335,NERVOUS SYSTEM,Anti-Depressant Activity,Yohimbine Toxicity Enhancement,In vivo efficacy,,Vogel_2008
336,NERVOUS SYSTEM,Anti-Epileptic Activity,3-Nitropropionic Acid Induced Seizures in Mice,In vivo efficacy,,Vogel_2008
337,NERVOUS SYSTEM,Anti-Epileptic Activity,4-Aminopyridine Induced Seizures in Mice,In vivo efficacy,,Vogel_2008
338,NERVOUS SYSTEM,Anti-Epileptic Activity,Bicuculline Test in Rats,In vivo efficacy,,Vogel_2008
339,NERVOUS SYSTEM,Anti-Epileptic Activity,Electroshock in Mice,In vivo efficacy,,Hock_2016
340,NERVOUS SYSTEM,Anti-Epileptic Activity,Epilepsy Induced by Focal Lesions,In vivo efficacy,,Vogel_2008
341,NERVOUS SYSTEM,Anti-Epileptic Activity,General Anti-Convulsant Activity,In vivo efficacy,,phenotype
342,NERVOUS SYSTEM,Anti-Epileptic Activity,General Anti-Epileptic Activity,In vivo efficacy,,phenotype
343,NERVOUS SYSTEM,Anti-Epileptic Activity,"Genetic Animal Models of Epilepsy: Tremor rat (tm/tm), NER rat strain, genetic epileptic WAG/RiJ rat, Genetic Absence Epilepsy Rat (GAERS), epileptic rat mutant, kindling-prone and kindling-resistant rat, Flathead rat (FH), Wakayama epileptic rat (WER), tottering mouse, leaner mutant mouse, quaking mouse, stargazer mutant mouse, lethargic (lh/lh) mouse, audiogenic seizure suceptible mouse, Wistar Audiogenic Rat (WAR), genetically epilepsy-prone rat (GEPR)",In vivo efficacy,,Vogel_2008
344,NERVOUS SYSTEM,Anti-Epileptic Activity,Isoniazid Induced Convulsions,In vivo efficacy,,Hock_2016
345,NERVOUS SYSTEM,Anti-Epileptic Activity,Kindled Rat Seizure Model,In vivo efficacy,,Vogel_2008
346,NERVOUS SYSTEM,Anti-Epileptic Activity,Pentylenetetrazole Metrazol Induced Convulsions,In vivo efficacy,,Hock_2016
347,NERVOUS SYSTEM,Anti-Epileptic Activity,Picrotoxin Induced Convulsions,In vivo efficacy,,Hock_2016
348,NERVOUS SYSTEM,Anti-Epileptic Activity,Pilocarpine Model of Epilepsy,In vivo efficacy,,Hock_2016
349,NERVOUS SYSTEM,Anti-Epileptic Activity,Posthypoxic Myoclonus in Rats,In vivo efficacy,,Vogel_2008
350,NERVOUS SYSTEM,Anti-Epileptic Activity,Rat Kainate Model of Epilepsy,In vivo efficacy,,Vogel_2008
351,NERVOUS SYSTEM,Anti-Epileptic Activity,Rat Model of Cortical Dysplasia,In vivo efficacy,,Hock_2016
352,NERVOUS SYSTEM,Anti-Epileptic Activity,Self-Sustained Status Epilepticus,In vivo efficacy,,Vogel_2008
353,NERVOUS SYSTEM,Anti-Epileptic Activity,Strychnine Induced Convulsions,In vivo efficacy,,Hock_2016
354,NERVOUS SYSTEM,Anti-Epileptic Activity,Yohimbine Induced Convulsions,In vivo efficacy,,Vogel_2008
355,NERVOUS SYSTEM,Anti-Parkinsonism Activity,Circling Behavior in Nigrostriatal Lesioned Rats,In vivo efficacy,,Vogel_2008
356,NERVOUS SYSTEM,Anti-Parkinsonism Activity,Elevated Body Swing Test ,In vivo efficacy,,Vogel_2008
357,NERVOUS SYSTEM,Anti-Parkinsonism Activity,General Anti-Parkinson Activity,In vivo efficacy,,phenotype
358,NERVOUS SYSTEM,Anti-Parkinsonism Activity,"N-methyl4phenyl1,2,3,6tetrahydropyridine MPTP Model of Parkinsons Disease",In vivo efficacy,,Vogel_2008
359,NERVOUS SYSTEM,Anti-Parkinsonism Activity,Reserpine Antagonism,In vivo efficacy,,Hock_2016
360,NERVOUS SYSTEM,Anti-Parkinsonism Activity,Skilled Paw Reaching in Rats,In vivo efficacy,,Vogel_2008
361,NERVOUS SYSTEM,Anti-Parkinsonism Activity,Stepping Test in Rats,In vivo efficacy,,Vogel_2008
362,NERVOUS SYSTEM,Anti-Parkinsonism Activity,Tremorine and Oxotremorine Antagonism,In vivo efficacy,,Vogel_2008
363,NERVOUS SYSTEM,Anti-Pyretic Activity,Anti-Pyretic Testing in Rats,In vivo efficacy,,Hock_2016
364,NERVOUS SYSTEM,Central Analgesic Activity,Chemotherapy Induced Pain for Peripheral Neuropathic Pain,In vivo efficacy,,Vogel_2008
365,NERVOUS SYSTEM,Central Analgesic Activity,Chronic Nerve Constriction Injury for Neuropathic Pain,In vivo efficacy,,Vogel_2008
366,NERVOUS SYSTEM,Central Analgesic Activity,Electrical Stimulation of the Tail for Analgesic Activity,In vivo efficacy,,Vogel_2008
367,NERVOUS SYSTEM,Central Analgesic Activity,Formalin Test for Chronic Pain,In vivo efficacy,,Hock_2016
368,NERVOUS SYSTEM,Central Analgesic Activity,Grid Shock Test,In vivo efficacy,,Hock_2016
369,NERVOUS SYSTEM,Central Analgesic Activity,Haffners Tail Clip Method,In vivo efficacy,,Hock_2016
370,NERVOUS SYSTEM,Central Analgesic Activity,Hot Plate Method,In vivo efficacy,,Hock_2016
371,NERVOUS SYSTEM,Central Analgesic Activity,Peripheral Nerve Injury Model for Neuropathic Pain,In vivo efficacy,,Vogel_2008
372,NERVOUS SYSTEM,Central Analgesic Activity,Radiant Heat Method,In vivo efficacy,,Hock_2016
373,NERVOUS SYSTEM,Central Analgesic Activity,Spared Nerve Injury Model for Persistent Peripheral Neuropathic Pain,In vivo efficacy,,Vogel_2008
374,NERVOUS SYSTEM,Central Analgesic Activity,Spinal Cord Injury for Chronic Central Neuropathic Pain,In vivo efficacy,,Vogel_2008
375,NERVOUS SYSTEM,Central Analgesic Activity,Tail Immersion Test,In vivo efficacy,,Hock_2016
376,NERVOUS SYSTEM,Central Analgesic Activity,Trigeminal Neuropathic Pain Model,In vivo efficacy,,Vogel_2008
377,NERVOUS SYSTEM,Effects on Behavior and Muscle Coordination,Chimney Test,In vivo efficacy,,Hock_2016
