assay_id,doc_id,description,assay_type,assay_test_type,assay_category,assay_organism,assay_tax_id,assay_strain,assay_tissue,assay_cell_type,assay_subcellular_fraction,tid,relationship_type,confidence_score,curated_by,activity_count,assay_source,src_id,src_assay_id,chembl_id,updated_on,updated_by,orig_description,mc_tax_id,mc_organism,mc_target_type,mc_target_name,mc_target_accession,cell_id,bao_format,tissue_id,curation_comment,variant_id,aidx,job_id,log_id,ridx,tid_fixed
150,8249,Compound was evaluated for its inhibitory effect on thymidine [3H]-dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-6,F,,,Homo sapiens,9606,,,CEM/MTX,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615675,2013-12-04 13:50:17,george_spelling,Compound was evaluated for its inhibitiry effect on thymidine (3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc.10e-6,,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
151,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc. 10e-7,F,,,Homo sapiens,9606,,,CCRF-CEM,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615676,2013-12-04 13:50:18,george_spelling,Compound was evaluated for its inhibitiry effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in at conc.10e-7,,,,,,635,BAO_0000219,,,,CLD0,0,0,CLD0,
152,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM cells in culture at conc. 10e-4,F,,,Homo sapiens,9606,,,CCRF-CEM,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615677,2013-12-04 13:50:18,george_spelling,Compound was evaluated for its inhibitiry effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc.10e-4,,,,,,635,BAO_0000219,,,,CLD0,0,0,CLD0,
153,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-5,F,,,Homo sapiens,9606,,,CCRF-CEM,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615678,2013-12-04 13:50:19,george_spelling,Compound was evaluated for its inhibitiry effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc.10e-5,,,,,,635,BAO_0000219,,,,CLD0,0,0,CLD0,
154,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc. 10e-6,F,,,Homo sapiens,9606,,,CCRF-CEM,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615679,2013-12-04 13:50:19,george_spelling,Compound was evaluated for its inhibitiry effect on thymidine ([3H]dThd) incorporation into DNA of CEM cells in culture at conc.10e-6,,,,,,635,BAO_0000219,,,,CLD0,0,0,CLD0,
155,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]-dThd) incorporation into DNA of CEM/MTX cells in at conc. 10e-7.,F,,,Homo sapiens,9606,,,CEM/MTX,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615680,2013-12-04 13:50:20,george_spelling,Compound was evaluated for its inhibitiry effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in at conc.10e-7.,,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
156,8249,Compound was evaluated for its inhibitory effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc. 10e-4,F,,,Homo sapiens,9606,,,CEM/MTX,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615681,2013-12-04 13:50:21,george_spelling,Compound was evaluated for its inhibitiry effect on thymidine ([3H]dThd) incorporation into DNA of CEM/MTX cells in culture at conc.10e-4,,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
157,16992,In vitro binding affinity towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,B,,,,,,,,,104290,H,6,Autocuration,67,ORIGINAL,1,,CHEMBL857972,2006-04-20 15:44:08,admin_actype,In vitro binding affinity of the compound towards (alpha-4)2(beta-2)3 neuronal nicotinic acetylcholine receptor in P2 membrane fractions of rat forebrain,,,,,,,BAO_0000249,,,,CLD0,0,0,CLD0,
158,10543,Minimum inhibitory concentration of compound against Streptococcus pyogenus septicemia in the mouse,F,,,Streptococcus pyogenes,1314,,,,,50264,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL857899,2013-02-14 13:59:31,set organism from tid,Minimum inhibitory concentration of compound against S.pyogenus septicemia in the mouse,,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
159,17833,Antiviral activity against 07/1 strain of thymidine kinase negative (TK-) Varicella-Zoster Virus (VZV),F,,,Human herpesvirus 3,10335,,,,,50527,N,1,Intermediate,4,ORIGINAL,1,,CHEMBL615371,2013-12-04 14:07:07,george_spelling,Antiviral activity of the compound against 07/1 strain of thymidine kinase negetive(TK-) Varicella-Zoster Virus (VZV),,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
160,17290,Antiviral activity against 07/1 strain of VZV in HEL (human erythroleukemia) cells.,F,,,Human herpesvirus 3,10335,,,HEL,,50527,N,1,Expert,20,ORIGINAL,1,,CHEMBL615372,2006-04-20 15:42:24,admin_actype,Antiviral activity of the compound against 07/1 strain of VZV,,,,,,468,BAO_0000218,,,,CLD0,0,0,CLD0,
161,17290,Antiviral activity against 07/1 strain of VZV; ND: No data,F,,,Human herpesvirus 3,10335,,,,,50527,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL615373,2010-10-26 17:10:29,SQL-abbr-desc,Antiviral activity of the compound against 07/1 strain of VZV; ND: No data,,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
162,17290,Antiviral activity against 07/1 strain of VZV; ND=No data,F,,,Human herpesvirus 3,10335,,,,,50527,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL615374,2010-10-26 17:10:29,SQL-abbr-desc,Antiviral activity of the compound against 07/1 strain of VZV; ND=No data,,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
163,10932,"Antibacterial activity was determined against gram negative organism, Enterobacter cloacae (MA2646)",F,,,escherichia cloac,561,,,,,50145,N,1,Intermediate,1,ORIGINAL,1,,CHEMBL615375,2006-11-28 17:05:08,BautoJPO,"Antibacterial activity was determined against gram negative organism, E. cloac(MA2646)",,,,,,,BAO_0000218,,,,CLD0,0,0,CLD0,
164,9707,Ratio of Ki at A2 to Ki at A1 receptors,B,,,,,,,,,22226,U,0,Autocuration,1,ORIGINAL,1,,CHEMBL615376,2004-10-31 12:48:03,admin,Ratio of Ki at A2 to Ki at A1 receptors,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
165,2346,"In vitro inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay.",B,,,Candida albicans,5476,,,,,11143,H,8,Expert,29,ORIGINAL,1,,CHEMBL615377,2006-04-20 15:42:47,admin_actype,"Compound was evaluated in vitro for inhibition of 1,3-beta-glucan synthase in Candida albicans membrane assay",,,,,,,BAO_0000249,,,,CLD0,0,0,CLD0,
166,2205,"Inhibition of 1,3-beta-glucan synthase",B,,,Candida glabrata CBS 138,284593,,,,,18077,H,8,Expert,17,ORIGINAL,1,,CHEMBL615378,2006-04-20 15:42:47,admin_actype,"Concentration required for 50% inhibition of 1,3-beta-glucan synthase compared to control",,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
167,11900,Inhibition of growth of 1-87 human tumor cell line,F,,,Homo sapiens,9606,,,1-87 tumor cell line,,80609,N,1,Intermediate,2,ORIGINAL,1,,CHEMBL615379,2013-02-14 14:00:47,set cell-type from tid,Inhibition of growth of 1-87 human tumor cell line,,,,,,832,BAO_0000219,,,,CLD0,0,0,CLD0,
168,14864,Inhibition of 1-lipoxygenase (LOX)in RBL cells,B,,,Rattus norvegicus,10116,,,RBL,,12166,D,9,Expert,8,ORIGINAL,1,,CHEMBL615380,2006-04-20 15:42:47,admin_actype,The compound was tested for the concentration to inhibit 50% 1-lipoxygenase (LOX),,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
169,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,7,ORIGINAL,1,,CHEMBL615381,2006-04-20 15:42:47,admin_actype,Inhibitory activity against soybean 1-lipoxygenase (SLO),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
170,16474,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,2,ORIGINAL,1,,CHEMBL615382,2006-04-20 15:42:47,admin_actype,Inhibitory activity against soybean 1-lipoxygenase (SLO); no effect,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
171,16474,% inhibition against soybean 1-lipoxygenase (SLO),B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,10,ORIGINAL,1,,CHEMBL615383,2006-04-20 15:43:24,admin_actype,% inhibition against soybean 1-lipoxygenase (SLO),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
172,16474,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,5,ORIGINAL,1,,CHEMBL615384,2006-04-20 15:43:24,admin_actype,percent inhibition against soybean 1-lipoxygenase (SLO);NI is no inhibition,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
173,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615385,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 10:90,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
174,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,2,ORIGINAL,1,,CHEMBL615386,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 1:99,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
175,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615387,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 25:75,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
176,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615388,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 35:65,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
177,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615214,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 50:50,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
178,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL827087,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 76:24,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
179,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615215,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 87:13,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
180,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615216,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 89:11,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
181,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615217,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 95:5,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
182,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615218,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 97:3,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
183,3094,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,B,,,Glycine max,3847,,,,,100171,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615219,2004-10-31 12:48:03,admin,Ratio of proximal to distal region oxidation by 1-lipoxygenase isolated from soybean; Ratio of proximal and distal was 99:1,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
184,10413,Evaluated for inhibitory activity on 10-formyltetrahydrofolate synthetase(L cell) at folate substrate concentration of 100 uM,B,,,Mus musculus,10090,,,,,22226,U,0,Autocuration,2,ORIGINAL,1,,CHEMBL615220,2013-12-04 14:40:30,george_spelling,Evaluated for inhibitory activity on 10-formyltetrahydrofolate syhthetase(L cell) at folate substrate concentration of 100microM,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
185,16929,Cells were harvested and were assayed for luciferase and -galactosidase activities (Transcriptional activity),F,,,Mus musculus,10090,,,C3H 10T1/2,,80049,N,1,Intermediate,5,ORIGINAL,1,,CHEMBL615221,2013-02-14 14:00:47,set cell-type from tid,Cells were harvested and were assayed for luciferase and -galactosidase activities.(Transcriptional activity),,,,,,294,BAO_0000219,,,,CLD0,0,0,CLD0,
186,1229,In vitro anticancer activity against 11 NCI NSCLC cell lines; inactive,F,,,,,,,NSCLC,,22226,U,0,Intermediate,3,ORIGINAL,1,,CHEMBL615222,2013-02-14 14:00:47,set cell-type from tid,In vitro anticancer activity against 11 NSCLC cell line; inactive,,,,,,,BAO_0000219,,,,CLD0,0,0,CLD0,
187,16587,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,,,,,11489,H,8,Autocuration,3,ORIGINAL,1,,CHEMBL615223,2006-04-20 15:42:47,admin_actype,In vitro inhibitory activity against human 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
188,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),B,,,,,,,,,11862,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615224,2006-04-20 15:42:47,admin_actype,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA),,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
189,16587,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,B,,,,,,,,,11862,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615225,2006-04-20 15:42:47,admin_actype,In vitro inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 1 using scintillation proximity assay (SPA).,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
190,16587,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,B,,,,,,,,,11489,H,8,Autocuration,3,ORIGINAL,1,,CHEMBL615226,2006-11-23 12:25:28,BautoJPO,Ability to convert [3H]cortisol to the tritium labeled cortisone in the presence of human 11 beta hydroxysteroid dehydrogenase type 2,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
191,16587,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,B,,,,,,,,,11862,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615227,2004-10-31 12:48:03,admin,Inhibitory activity against mouse 11 beta hydroxysteroid dehydrogenase type 2 at a concentration of 0.2 mM; NI means no inhibition,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
192,8058,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,F,,,Bos taurus,9913,,,,,12347,D,9,Expert,15,ORIGINAL,1,,CHEMBL615228,2006-04-20 15:42:47,admin_actype,Evaluated for inhibition of bovine adrenal cortical mitochondrial 11 beta-hydroxylase,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
193,9065,Effect on adrenal 11-beta-hydroxylase activity at 10e-4 M; No significant effect,B,,,Rattus norvegicus,10116,,,,,100120,D,9,Expert,1,ORIGINAL,1,,CHEMBL615229,2006-11-28 17:05:08,BautoJPO,Compound was evaluated for its effect on adrenal 11 beta hydroxylase activity at 10E-4M; No significant effect,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
194,8865,Inhibition of 11 beta-hydroxylase from rat adrenal gland,B,,,Rattus norvegicus,10116,,Adrenal gland,,,100120,D,9,Expert,7,ORIGINAL,1,,CHEMBL615230,2006-04-20 15:42:47,admin_actype,Compound was tested for inhibition of 11 beta-hydroxylase from rat adrenals,,,,,,,BAO_0000221,2369,,,CLD0,0,0,CLD0,
195,9066,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,Rattus norvegicus,10116,,,,,100120,D,9,Expert,7,ORIGINAL,1,,CHEMBL615231,2006-11-28 16:58:32,BautoJPO,Inhibition of 11beta-hydroxylase from adrenals of rat,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
196,8394,Inhibition of rat adrenal 11-beta-hydroxylase,B,,,Rattus norvegicus,10116,,,,,100120,D,9,Expert,6,ORIGINAL,1,,CHEMBL884520,2006-04-20 15:42:47,admin_actype,Inhibitory activity of the compound was tested against 11 beta- hydroxylase,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
197,8394,Inhibition of rat adrenal 11-beta-hydroxylase at 10e-5 M,B,,,Rattus norvegicus,10116,,,,,100120,D,9,Expert,1,ORIGINAL,1,,CHEMBL615232,2006-11-28 17:05:08,BautoJPO,Inhibitory activity of the compound was tested against 11 beta- hydroxylase at 10E-5 M,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
198,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,B,,,,,,,,,10328,H,8,Autocuration,8,ORIGINAL,1,,CHEMBL615233,2011-01-19 17:04:28,LJB Desc Spelling,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 1 of wistar rat liver cytosol at 10 uM was determined using [3H]cortisone,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
199,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,,,,,11490,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL827088,2011-01-19 17:04:49,LJB Desc Spelling,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
200,6431,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,B,,,,,,,,,11490,H,8,Autocuration,8,ORIGINAL,1,,CHEMBL615234,2011-01-19 17:04:49,LJB Desc Spelling,Percent inhibition against 11-beta-hydroxysteroid dehydrogenase 2 of wistar rat kidney at 10 uM was determined using [3H]cortisol,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
201,9295,Compound was tested for the percent of inhibition against 12-LO at 10 uM,F,,,,,,,,,11134,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615235,2006-11-28 16:58:32,BautoJPO,Compound was tested for the percent of inhibition against 12-LO at 10microM,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
202,10193,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,B,,,,,,,,,12052,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615236,2011-01-19 17:05:01,LJB Desc Spelling,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
203,13622,Compound was tested in vitro for inhibition of 12-LO human platelet,B,,,,,,,,,11134,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615237,2006-04-20 15:42:47,admin_actype,Compound was tested in vitro for inhibition of 12-LO human platelet,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
204,12079,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,,,,,,,11134,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615238,2006-04-20 15:42:47,admin_actype,Inhibitory concentration against human platelet 12-lipooxygenase,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
205,13622,Compound at 100 uM was tested in vitro for inhibition of 12-LO human platelet,B,,,,,,,,,11134,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615239,2011-01-19 17:04:46,LJB Desc Spelling,Compound at 100 uM was tested in vitro for inhibition of 12-LO human platelet,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
206,12079,Inhibitory concentration against human platelet 12-lipoxygenase,F,,,Homo sapiens,9606,,,,,11134,D,9,Autocuration,1,ORIGINAL,1,,CHEMBL615240,2006-04-20 15:42:47,admin_actype,Inhibitory concentration against human platelet 12-lipooxygenase,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
207,13500,Tested for inhibition of 12-LO (12-lipoxygenase) as an inhibitor of 12(S)-HETE biosynthesis in mouse epidermal homogenates,B,,,,,,,,,11835,H,8,Expert,27,ORIGINAL,1,,CHEMBL615241,2006-04-20 15:42:47,admin_actype,Compound was tested for inhibition of 12-LO (12-lipoxygenase) as inhibition of 12(S)-HETE biosynthesis in mouse epidermal homogenates,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
208,13723,Inhibitory activity against conversion of [1-14C]arachidonic acid to 12-HPETE and its reduction product 12-HETE by porcine leukocyte type 12-lipoxygenase,B,,,,,,,,,11601,H,8,Expert,22,ORIGINAL,1,,CHEMBL615242,2006-11-28 17:05:08,BautoJPO,Inhibitory activity of compound against conversion of [1-14C]-archidonic acid to 12-HPETE and its reduction product 12-HETE by porcine leukocyte type 12-lipoxygenase,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
209,16474,Inhibitory activity against human platelet 12-lipoxygenase (12-HLO),B,,,,,,,,,11134,H,8,Autocuration,9,ORIGINAL,1,,CHEMBL615243,2006-04-20 15:42:47,admin_actype,Inhibitory activity against human platelet 12-lipoxygenase (12-HLO),,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
210,1630,Inhibitory activity against human platelet 12-lipoxygenase,B,,,,,,,,,11134,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615244,2010-10-26 17:10:29,SQL-abbr-desc,Inhibitory activity of the compound against human platelet 12-lipoxygenase,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
211,167,Inhibitory activity against human platelet 12-lipoxygenase was evaluated,B,,,,,,,,,11134,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615245,2010-10-26 17:10:29,SQL-abbr-desc,Inhibitory activity of the compound against human platelet 12-lipoxygenase was evaluated,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
212,16474,% inhibition against human platelet 12-lipoxygenase (12-HLO),B,,,,,,,,,11134,H,8,Autocuration,10,ORIGINAL,1,,CHEMBL615246,2006-04-20 15:43:24,admin_actype,% inhibition against human platelet 12-lipoxygenase (12-HLO),,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
213,167,Inhibitory activity against human platelet 12-lipoxygenase was evaluated at 100 uM,B,,,,,,,,,11134,H,8,Autocuration,2,ORIGINAL,1,,CHEMBL615247,2011-01-19 17:04:36,LJB Desc Spelling,Inhibitory activity of the compound against human platelet 12-lipoxygenase was evaluated at 100 uM,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
214,16474,percent inhibition against human platelet 12-lipoxygenase (12-HLO); NI is no inhibition,B,,,,,,,,,11134,H,8,Autocuration,5,ORIGINAL,1,,CHEMBL615248,2006-04-20 15:43:24,admin_actype,percent inhibition against human platelet 12-lipoxygenase (12-HLO); NI is no inhibition,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
215,10091,Inhibitory activity towards porcine 12-lipoxygenase,B,,,,,,,,,11601,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615249,2010-10-26 17:10:29,SQL-abbr-desc,Inhibitory activity of the compound towards porcine 12-lipoxygenase,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
216,11966,Tested for inhibition against porcine 12-LO,B,,,,,,,,,11601,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615250,2006-04-20 15:42:47,admin_actype,Tested for inhibition against porcine 12-LO,,,,,,,BAO_0000357,,,,CLD0,0,0,CLD0,
217,951,Inhibition of 12-lipoxygenase was evaluated in rat platelets stimulated by thrombin up to a concentration of 10 uM; NE means No effect,B,,,,,,,,,12052,H,8,Autocuration,7,ORIGINAL,1,,CHEMBL615251,2006-11-28 16:58:32,BautoJPO,Inhibition of 12-lipoxygenase was evaluated in rat platelets stimulated by thrombin upto a concentration of 10microM; NE means No effect,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
218,10997,Inhibitory activity against 12-lipoxygenase in rat platelet rich plasma,B,,,,,,Plasma,,,12052,H,8,Autocuration,10,ORIGINAL,1,,CHEMBL615252,2010-10-26 17:10:29,SQL-abbr-desc,Inhibitory activity of the compound against 12-lipoxygenase in rat platelet rich plasma,,,,,,,BAO_0000366,1969,,,CLD0,0,0,CLD0,
219,10193,In vitro inhibition of rat platelet 12-lipoxygenase,B,,,,,,,,,12052,H,8,Expert,24,ORIGINAL,1,,CHEMBL828340,2011-01-19 15:40:47,LJB Desc Spelling,Invitro inhibitory activity against rat platelet 12-lipoxygenase,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
220,10193,In vitro inhibitory activity against rat platelet 12-lipoxygenase at 10 uM,B,,,,,,,,,12052,H,8,Autocuration,1,ORIGINAL,1,,CHEMBL615253,2011-01-19 17:05:01,LJB Desc Spelling,Invitro inhibitory activity against rat platelet 12-lipoxygenase at 10 microM,,,,,,,BAO_0000019,,,,CLD0,0,0,CLD0,
