cell_id,cell_name,cell_description,cell_source_tissue,cell_source_organism,cell_source_tax_id,clo_id,efo_id,cellosaurus_id,cl_lincs_id,chembl_id,cell_ontology_id
256,SPC-A4,SPC-A4,Lung Adenocarcinoma,Homo sapiens,9606,,,CVCL_1B41,,CHEMBL3307459,
257,SQ20B,SQ20B,Neck Squamous Cell Adenocarcinoma,Homo sapiens,9606,,,CVCL_7138,,CHEMBL3307460,
258,SW 1116,SW 1116,Colon Carcinoma,Homo sapiens,9606,CLO_0009208,EFO_0002359,CVCL_0544,LCL-1200,CHEMBL3308495,
259,SW 954,SW 954,Vulva Squamous Carcinoma,Homo sapiens,9606,CLO_0009204,EFO_0002376,CVCL_1732,,CHEMBL3307461,
260,SW1353,SW1353,Bone Chondrosarcoma,Homo sapiens,9606,CLO_0009210,EFO_0002360,CVCL_0543,,CHEMBL3307462,
261,SW613,SW613,Colon Carcinoma,Homo sapiens,9606,,,CVCL_F650,,CHEMBL3307463,
262,T222,T222,Lung Carcinoma,Homo sapiens,9606,,,CVCL_S811,,CHEMBL3307464,
263,TCAF-DAX,TCAF-DAX,Lymphoblastic T-cells,Homo sapiens,9606,,,CVCL_K692,,CHEMBL3307465,
264,TCC-SUP,TCC-SUP,Bladder Carcinoma,Homo sapiens,9606,CLO_0009283,,CVCL_1738,,CHEMBL3307466,
265,TE-2,TE-2,Esophageal Carcinoma,Homo sapiens,9606,,,CVCL_4455,,CHEMBL3307467,
266,TE-671,TE-671,rhabdomyosarcoma,Homo sapiens,9606,CLO_0009317,,CVCL_1756,,CHEMBL3307468,
267,TIG-1-20,TIG-1-20,Fetal Lung,Homo sapiens,9606,,,CVCL_3181,,CHEMBL3307469,
268,TLX-5,TLX-5,Lymphoma,Mus musculus,10090,,,CVCL_N032,,CHEMBL3307470,
269,TSGH,TSGH,Glioma,Homo sapiens,9606,,,,,CHEMBL3307471,
270,TSGH 8302,TSGH 8302,Cervical Carcinoma,Homo sapiens,9606,,,CVCL_N030,,CHEMBL3307472,
271,U11 MG,U11 MG,Glioblastoma Astrocytoma,Homo sapiens,9606,,,,,CHEMBL3307473,
273,U373 MG,U373 MG,Glioblastoma Astrocytoma,Homo sapiens,9606,CLO_0009461,EFO_0001255,CVCL_2219,LCL-1360,CHEMBL3307474,
274,UV4,UV4,Ovary,Cricetulus griseus,10029,,,CVCL_S480,,CHEMBL3307475,
275,WI-38 5000,WI-38 5000,Lung Embryonic,Homo sapiens,9606,,,,,CHEMBL3307476,
276,YAC-1,YAC-1,Lymphoma,Mus musculus,10090,CLO_0009710,,CVCL_2244,,CHEMBL3308419,
277,L1210 (DDP5),L1210 (DDP5),"lymphoblast, lymphocytic, leukemia (cis-diamminedi",Mus musculus,10090,,,CVCL_Y422,,CHEMBL3307477,
278,WALKER,WALKER,Breast Carcinoma,Rattus norvegicus,10116,,,,,CHEMBL3307478,
280,NCH89,NCH89,Glioblastoma,Homo sapiens,9606,,,CVCL_S823,,CHEMBL3307480,
281,NHDF,NHDF,Dermal Fibroblasts,Homo sapiens,9606,,,,,CHEMBL3307481,
282,NTERA-2-cl-D1,NTERA-2-cl-D1,Teratocarcinoma,Homo sapiens,9606,CLO_0008207,,CVCL_3407,LCL-1901,CHEMBL3307482,
283,P1534J ,P1534J ,Leukaemia,Mus musculus,10090,,,,,CHEMBL3307483,
284,P388/VCR-20,P388/VCR-20,Leukaemia,Mus musculus,10090,,,CVCL_1B38,,CHEMBL3307484,
285,PAM,PAM,Keratinocytes,Mus musculus,10090,,,,,CHEMBL3307485,
286,PEU,PEU,Embryonic Lung,Homo sapiens,9606,,,,,CHEMBL3307486,
287,X5563,X5563,Myeloma,Mus musculus,10090,,,CVCL_H719,,CHEMBL3307487,
288,DuPro,DuPro,Prostate carcinoma,Homo sapiens,9606,,,CVCL_4738,,CHEMBL3307488,
289,F9,F9,Teratocarcinoma,Mus musculus,10090,CLO_0002988,EFO_0002053,CVCL_0259,,CHEMBL3307489,
290,MAC16,MAC16,colon adenocarcinoma,Mus musculus,10090,,,CVCL_S001,,CHEMBL3307490,
291,MDAY-D2,MDAY-D2,Lymphocyte Sarcoma,Mus musculus,10090,,,CVCL_S411,,CHEMBL3308420,
293,MKN-1 ,MKN-1 ,Gastric Carcinoma,Homo sapiens,9606,,EFO_0002830,CVCL_1415,,CHEMBL3307492,
294,C3H 10T1/2,C3H 10T1/2,Fibroblast,Mus musculus,10090,,EFO_0002816,CVCL_0190,,CHEMBL3307493,
295,CCD 19Lu,CCD 19Lu,Lung,Homo sapiens,9606,CLO_0002310,EFO_0005363,CVCL_2382,,CHEMBL3308347,
296,CEM-4,CEM-4,Blood,Homo sapiens,9606,,,,,CHEMBL3307494,
297,CEM-VCR,CEM-VCR,Blood,Homo sapiens,9606,,,,,CHEMBL3307495,
298,CHO-hD3,CHO-hD3,Ovary,Cricetulus griseus,10029,,,CVCL_1B31,,CHEMBL3307496,
299,GH4-C1,GH4-C1,Pituitary tumor,Rattus norvegicus,10116,CLO_0003490,,CVCL_0276,,CHEMBL3307497,
300,Hs746T,Hs746T,gastric carcinoma,Homo sapiens,9606,CLO_0004094,,CVCL_0333,LCL-1883,CHEMBL3307498,
301,SUP-T1,SUP-T1,Lymphoblastic T-cells,Homo sapiens,9606,CLO_0009164,,CVCL_1714,LCL-1023,CHEMBL3308368,
302,FaDu,FaDu (Pharyngeal carcinoma cells),Pharyngeal carcinoma cells,Homo sapiens,9606,CLO_0002993,EFO_0002178,CVCL_1218,LCL-1201,CHEMBL3307943,
303,NCI-H1299,NCI-H1299 (Non-small cell lung carcinoma),Non-small cell lung carcinoma,Homo sapiens,9606,CLO_0007986,EFO_0003043,CVCL_0060,LCL-1609,CHEMBL3308501,
304,HT-1376,HT-1376 (Bladder carcinoma cells),Bladder carcinoma cells,Homo sapiens,9606,CLO_0004279,EFO_0002203,CVCL_1292,,CHEMBL3308398,
305,SW-620,SW-620 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,CLO_0009221,EFO_0002368,CVCL_0547,LCL-1157,CHEMBL3307944,
306,HCT-15,HCT-15 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,CLO_0003666,EFO_0002188,CVCL_0292,LCL-1178,CHEMBL3307945,
307,L929,L929 (Fibroblast cells),Fibroblast cells,Mus musculus,10090,CLO_0008140,,CVCL_0462,,CHEMBL3307946,
308,HeLa,HeLa (Cervical adenocarcinoma cells),Cervical adenocarcinoma,Homo sapiens,9606,CLO_0003684,EFO_0001185,CVCL_0030,LCL-1512,CHEMBL3308376,
309,HSC-3,HSC-3 (Oral squamous cell carcinoma),Oral squamous cell carcinoma,Homo sapiens,9606,,,CVCL_1288,LCL-1217,CHEMBL3307947,
310,Panel melanoma (Carcinoma cell lines),Panel melanoma (Carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307948,
312,SW-60,SW-60 (Colorectal carcinoma cells),Colorectal carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3307949,
313,Prostatic carcinoma cell,Prostatic carcinoma cells,Prostatic carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3307950,
314,SCG,SCG (Superior cervical ganglion neurones),Superior cervical ganglion neurones,Rattus norvegicus,10116,,,,,CHEMBL3307951,
315,CEM/C2,CEM/C2 (Camptothecin-resistant CEM cells),Camptothecin-resistant CEM cells,Homo sapiens,9606,CLO_0002356,,CVCL_3497,LCL-1035,CHEMBL3307952,
316,FG2,FG2 (Pancreatic carcinoma),Pancreatic carcinoma,Homo sapiens,9606,,,CVCL_N514,,CHEMBL3307953,
318,F2000,F2000 (Skin fibroblast cells),Skin fibroblast cells,Homo sapiens,9606,,,CVCL_2902,,CHEMBL3307954,
319,HSVEC,HSVEC (Human saphenous vein endothelial cells),Human saphenous vein endothelial cells,Homo sapiens,9606,,,,,CHEMBL3307955,
320,BCL1,BCL1 (B-cells),B-cells,Mus musculus,10090,,,CVCL_0166,,CHEMBL3307956,
321,Splenocyte,Splenocytes (Spleen cells),Spleen cells,Mus musculus,10090,,,,,CHEMBL3307957,CL_2000074
322,Panel (Carcinoma cell lines),Panel (Carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307958,
324,KB ,KB/HeLa  (Squamous cell carcinoma),Squamous cell carcinoma,Homo sapiens,9606,CLO_0007074,,CVCL_0372,,CHEMBL3307959,
325,MDA-MB-231,MDA-MB-231 (Breast adenocarcinoma cells),Breast epithelial adenocarcinoma cells,Homo sapiens,9606,CLO_0007634,EFO_0001209,CVCL_0062,LCL-1461,CHEMBL3307960,
326,UACC-903,UACC-903 (Malignant melanoma cells,Malignant melanoma cells,Homo sapiens,9606,,,CVCL_4052,,CHEMBL3307961,
327,RPMI-7951,RPMI-7951 (Malignant melanoma cells),Malignant melanoma cells,Homo sapiens,9606,CLO_0008877,,CVCL_1666,LCL-1254,CHEMBL3307962,
328,Panel renal (Carcinoma cell lines),Panel renal (Carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3307963,
329,RPMI 8402,RPMI 8402 (Pre-T-lymphoblastoid cells),Pre-T-lymphoblastoid cells,Homo sapiens,9606,CLO_0008874,,CVCL_1667,,CHEMBL3307964,
330,LNCaP,LNCaP (Prostate carcinoma),Prostate carcinoma,Homo sapiens,9606,CLO_0007365,EFO_0002071,CVCL_0395,LCL-1298,CHEMBL3307965,
331,Daoy,Daoy (Medulloblastoma cells),Medulloblastoma cells,Homo sapiens,9606,CLO_0002699,,CVCL_1167,LCL-1576,CHEMBL3308510,
332,NCI-H630,NCI-H630 (Colon carcinoma cells),Colon carcinoma cells,Homo sapiens,9606,CLO_0008099,EFO_0002297,CVCL_1572,LCL-1287,CHEMBL3307966,
333,SCLC,SCLC (Small cell lung carcinoma cells),Small cell lung carcinoma cells,,,,,,,CHEMBL3307967,
334,SiHa,SiHa (Cervical squamous cell carcinoma),Cervical squamous cell carcinoma,Homo sapiens,9606,CLO_0009017,EFO_0002379,CVCL_0032,LCL-1542,CHEMBL3307968,
335,SNB-78,SNB-78 (Glioblastoma cells),Glioblastoma cells,Homo sapiens,9606,,,CVCL_B321,,CHEMBL3307969,
336,HFL1,HFL1 (Lung fibroblast cells),Lung fibroblast cells,Homo sapiens,9606,CLO_0003734,EFO_0005368,CVCL_0298,,CHEMBL3307970,
337,Osteoclast,Osteoclasts,Osteoclasts,,,,,,,CHEMBL3307971,CL_0000092
338,TF-1,TF-1 (Bone marrow erythroleukemic cells),Bone marrow erythroleukemic cells,Homo sapiens,9606,CLO_0009326,,CVCL_0559,LCL-1077,CHEMBL3307972,
339,N1E-115,N1E-115 (Neuroblastoma cells),Neuroblastoma cells,Mus musculus,10090,CLO_0007922,,CVCL_0451,,CHEMBL3307973,
340,NSCLC,NSCLC (Non-small cell lung carcinoma cells),Non-small cell lung carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3307974,
341,OVCAR-8,OVCAR-8 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,,EFO_0005444,CVCL_1629,,CHEMBL3307975,
342,PC-12,PC-12 (Adrenal phaeochromacytoma cells),Adrenal phaeochromacytoma cells,Rattus norvegicus,10116,CLO_0008392,EFO_0001225,CVCL_0481,,CHEMBL3307976,
343,RAW264.7,RAW264.7 (Monocytic-macrophage leukemia cells),Monocytic-macrophage leukemia cells,Mus musculus,10090,CLO_0008753,EFO_0001231,CVCL_0493,,CHEMBL3307977,
344,SV-T2,SV-T2 (SV40-transformed BALBc/3T3 fibroblasts),SV40-transformed BALBc/3T3 fibroblasts,Mus musculus,10090,CLO_0009181,,CVCL_4554,,CHEMBL3307978,
345,5637,5637 (Epithelial bladder carcinoma cells),Epithelial bladder carcinoma cells,Homo sapiens,9606,CLO_0001421,EFO_0002096,CVCL_0126,LCL-1702,CHEMBL3308352,
346,CA46,CA46 (Burkitts lymphoma cells),Burkitts lymphoma cells,Homo sapiens,9606,CLO_0002168,EFO_0002124,CVCL_1101,LCL-2017,CHEMBL3308488,
348,Renca,Renca (Renal carcinoma cells),Renal carcinoma cells,Mus musculus,10090,,,CVCL_2174,,CHEMBL3307979,
349,SHP77,SHP77 (Small cell lung carcinoma cells),Small cell lung carcinoma cells,Homo sapiens,9606,CLO_0009013,EFO_0002328,CVCL_1693,LCL-1823,CHEMBL3308363,
350,SW1573,SW1573 (Lung carcinoma cells),Lung carcinoma cells,Homo sapiens,9606,CLO_0009190,EFO_0002363,CVCL_1720,LCL-1799,CHEMBL3307980,
351,L1.2,L1.2 (Pre-B cells),Pre-B cells,Mus musculus,10090,,,CVCL_9576,,CHEMBL3307981,
352,Panel (10 carcinoma cell lines),Panel (10 carcinoma cell lines),Carcinoma cell lines,,,,,,,CHEMBL3307982,
353,Mast cell,mast cells (Bone-marrow mast cells),Bone-marrow mast cells,Mus musculus,10090,,,,,CHEMBL3307983,CL_0000097
354,BNL,BNL (Hepatocellular carconima cells),Hepatocellular carconima cells,Mus musculus,10090,,,,,CHEMBL3307984,
355,IMR-90,IMR-90 (Embryonic lung fibroblast cells),Embryonic lung fibroblast cells,Homo sapiens,9606,CLO_0006951,EFO_0001196,CVCL_0347,,CHEMBL3307985,
356,Macrophage,Macrophages,Macrophages,,,,,,,CHEMBL3307986,CL_0000235
357,MAT-Ly-Lu,MAT-Ly-Lu (Prostate carcinoma cells),Prostate carcinoma cells,Rattus norvegicus,10116,CLO_0007541,,CVCL_3848,,CHEMBL3307987,
358,Melanocyte,Melanocytes,Melanocytes,,,,,,,CHEMBL3307988,CL_0000148
359,MH3924A,MH3924A (Hepatocarcinoma cells),Hepatocarcinoma cells,Rattus norvegicus,10116,,,CVCL_5799,,CHEMBL3307989,
360,Osteoblast,Osteoblasts,Osteoblasts,,,,,,,CHEMBL3307990,CL_0000062
361,Panc1005,Panc1005 (Pancreatic carcinoma cells),Pancreatic carcinoma cells,Homo sapiens,9606,CLO_0008380,,CVCL_1639,,CHEMBL3307991,
362,Panel (12 tumour cell lines),Panel (12 tumour cell lines),Tumour cell lines,Homo sapiens,9606,,,,,CHEMBL3308511,
363,PT-45,PT-45 (Pancreatic carcinoma cells),Pancreatic carcinoma cells,Homo sapiens,9606,,,CVCL_8407,,CHEMBL3307992,
364,WRL68,WRL68 (Embryonic hepatoma cells),Embryonic hepatoma cells,Homo sapiens,9606,CLO_0009633,,CVCL_0581,,CHEMBL3307993,
365,ASPC1,ASPC1 (Pancreatic tumour cell line),Pancreatic tumour cell line,Homo sapiens,9606,CLO_0001756,EFO_0002112,CVCL_0152,LCL-1730,CHEMBL3307994,
366,4T1,4T1 (Mammary carcinoma cells),Mammary carcinoma cells,Mus musculus,10090,CLO_0001401,EFO_0002037,CVCL_0125,,CHEMBL3307995,
367,ARO,ARO (Anaplastic thyroid carcinoma cells),Anaplastic thyroid carcinoma cells,Homo sapiens,9606,,,CVCL_0144,,CHEMBL3307996,
368,BUD-8,BUD-8 (Fibroblast cells),Fibroblast cells,Homo sapiens,9606,CLO_0002051,,CVCL_2321,,CHEMBL3307997,
370,NCI-H295R,NCI-H295R (Adrenal cortex carcinoma cells),Adrenal cortex carcinoma cells,Homo sapiens,9606,CLO_0008082,EFO_0002289,CVCL_0458,,CHEMBL3307998,
371,HL,HL (Lung cells),Lung cells,Homo sapiens,9606,,,CVCL_2492,,CHEMBL3307999,
372,HPAC,HPAC (Pancreatic adenocarcinoma),Pancreatic adenocarcinoma,Homo sapiens,9606,CLO_0003814,EFO_0002197,CVCL_3517,LCL-1735,CHEMBL3308388,
373,Hs 766,Hs 766 (Pancreatic carcinoma cells),Pancreatic carcinoma cells,Homo sapiens,9606,CLO_0004102,,CVCL_0334,,CHEMBL3308000,
374,KHOS/NP,KHOS/NP (Osteosarcoma cells),Osteosarcoma cells,Homo sapiens,9606,CLO_0008725,,CVCL_2546,LCL-1425,CHEMBL3308001,
375,Lymphocyte,Lymphocytes,Lymphocytes,,,,,,,CHEMBL3308002,CL_0000542
376,C2C12,C2C12 (Myoblast cells),Myoblast cells,Mus musculus,10090,CLO_0002071,EFO_0001098,CVCL_0188,,CHEMBL3308003,
377,CWR22R,CWR22R (Prostate carcinoma cells),Prostate carcinoma cells,Homo sapiens,9606,CLO_0001200,EFO_0002095,CVCL_1045,,CHEMBL3308004,
378,SK-MEL-25,SK-MEL-25 (Melanoma cells),Melanoma cells,Homo sapiens,9606,,,CVCL_6028,,CHEMBL3308005,
379,U-937,U-937 (Histiocytic lymphoma cells),Histiocytic lymphoma cells,Homo sapiens,9606,CLO_0009465,EFO_0001257,CVCL_0007,LCL-1125,CHEMBL3308006,
380,U-937/GTB,U-937/GTB (Histiocytic lymphoma cells),Histiocytic lymphoma cells,Homo sapiens,9606,,,CVCL_U631,,CHEMBL3308007,
381,UACC-257,UACC-257 (Melanoma cells),Melanoma cells,Homo sapiens,9606,,EFO_0005376,CVCL_1779,LCL-1283,CHEMBL3308008,
382,WEHI,WEHI (Macrophages),Macrophages,Mus musculus,10090,,,,,CHEMBL3308009,
383,WI-38 VA13,WI-38 VA13 (Embryonic lung fibroblasts),Embryonic lung fibroblasts,Homo sapiens,9606,CLO_0009599,,CVCL_2759,,CHEMBL3308010,
384,WIL2,WIL2 (Lymphoblastoid cells),Lymphoblastoid cells,Homo sapiens,9606,,,CVCL_6544,,CHEMBL3308011,
385,WIL2-NS,WIL2-NS (Lymphoblastoid cells),Lymphoblastoid cells,Homo sapiens,9606,CLO_0009604,,CVCL_2761,,CHEMBL3308012,
386,WISH,WISH (Amniotic epithelial cells),Amniotic epithelial cells,Homo sapiens,9606,CLO_0009609,,CVCL_1909,,CHEMBL3308013,
387,YOSHIDA,YOSHIDA (Sarcoma cells),Sarcoma cells,Rattus norvegicus,10116,,,CVCL_G359,,CHEMBL3308014,
388,2008,2008 (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,,,CVCL_0473,,CHEMBL3308015,
389,2008/S,2008/S (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3308016,
390,Panel (56 tumour cell lines),Panel (56 tumour cell lines),Tumour cell lines,,,,,,,CHEMBL3308017,
391,786-0,786-0 (Renal carcinoma cells),Renal carcinoma cells,Homo sapiens,9606,CLO_0001486,,CVCL_1051,,CHEMBL3308018,
392,9L,9L (Glioma cells),Glioma cells,Rattus norvegicus,10116,,,CVCL_1928,,CHEMBL3308019,
393,A121,A121 (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,,,CVCL_G294,,CHEMBL3308020,
394,PBMC,PBMC (Peripheral blood mononuclear cells),Peripheral blood mononuclear cells,Homo sapiens,9606,,,,,CHEMBL3308021,CL_2000001
395,Hepatocyte,Hepatocytes,Liver,,,,,,,CHEMBL3308022,CL_0000182
396,Lu1,Lu1 (Lung carcinoma cells),Lung carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3308512,
397,LAPC4,LAPC4 (Prostate carcinoma cells),Prostate carcinoma cells,Homo sapiens,9606,,EFO_0005392,CVCL_4744,,CHEMBL3308023,
398,MeWo,MeWo (Melanoma cells),Melanoma cells,Homo sapiens,9606,CLO_0007688,,CVCL_0445,LCL-1253,CHEMBL3308024,
399,Monocyte,Monocytes,Monocytes,,,,,,,CHEMBL3308025,CL_0000576
400,Thymocyte,Thymocytes,Thymocytes,,,,,,,CHEMBL3308026,CL_0000893
401,Hepatocyte,Hepatocytes,Liver,Rattus norvegicus,10116,,,,,CHEMBL3308027,CL_0000182
402,Hippocampal CA1 neurone,Hippocampal CA1 neurones,Hippocampal CA1 neurones,Rattus norvegicus,10116,,,,,CHEMBL3308028,
403,Hippocampal CA3 neurone,Hippocampal CA3 neurones,Hippocampal CA3 neurones,Rattus norvegicus,10116,,,,,CHEMBL3308029,
404,A2058,A2058 (Melanoma cells),Melanoma cells,Homo sapiens,9606,CLO_0001566,,CVCL_1059,LCL-1237,CHEMBL3308030,
405,Calu-1,Calu-1 (Non-small cell lung carcinoma cells),Non-small cell lung carcinoma cells,Homo sapiens,9606,CLO_0002191,EFO_0002151,CVCL_0608,LCL-1580,CHEMBL3308031,
406,CFPAC-1,CFPAC-1 (Pancreatic carcinoma cells),Pancreatic carcinoma cells,Homo sapiens,9606,CLO_0002395,,CVCL_1119,LCL-1748,CHEMBL3308032,
407,CV-1,CV-1 (Kidney cells),Kidney cells,Chlorocebus aethiops,9534,CLO_0002640,,CVCL_0229,,CHEMBL3308033,
408,DU-145,DU-145 (Prostate carcinoma),Prostate carcinoma,Homo sapiens,9606,CLO_0002840,EFO_0005441,CVCL_0105,,CHEMBL3308034,
409,HCT-8,HCT-8 (Ileocecal adenocarcinoma),Ileocecal adenocarcinoma,Homo sapiens,9606,CLO_0003667,EFO_0002189,CVCL_2478,LCL-1198,CHEMBL3308035,
410,S91,S91 (Hepatoma cells),Hepatoma cells,Mus musculus,10090,,,CVCL_J817,,CHEMBL3308036,
411,XF498,XF498 (Glioma cells),Glioma cells,Homo sapiens,9606,,,CVCL_8928,,CHEMBL3308037,
412,BJAB,BJAB (Burkitts lymphoma cells),Burkitts lymphoma cells,Homo sapiens,9606,,EFO_0002815,CVCL_5711,,CHEMBL3308492,
413,C180-13S,C180-13S (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,,,CVCL_1B28,,CHEMBL3308038,
414,CD4+ve Th,CD4+ve Th (CD4 positive Th cells),CD4 positive Th cells,,,,,,,CHEMBL3308039,CL_0000492
415,INS1,INS1 (Insulinoma cells),Insulinoma cells,Rattus norvegicus,10116,,,CVCL_0352,,CHEMBL3308040,
416,ABAE,ABAE (Fibroblast cells),Fibroblast cells,Homo sapiens,9606,,,,,CHEMBL3308041,
417,MLF,MLF (Lung fibroblast cells),Lung fibroblast cells,Mus musculus,10090,,,,,CHEMBL3308513,
418,PASMC,PASMC (Porcine aorta smooth muscle cells),Porcine aorta smooth muscle cells,Sus scrofa,9823,,,,,CHEMBL3308042,
419,Hepatocyte,Hepatocytes,Liver,Homo sapiens,9606,,,,,CHEMBL3308043,CL_0000182
420,Hippocampal neurone,Hippocampal neurones,Hippocampal neurones,Rattus norvegicus,10116,,,,,CHEMBL3308044,CL_0002608
421,Peritoneal macrophage cell,Peritoneal macrophage cells,Peritoneal macrophage cells,,,,,,,CHEMBL3308045,CL_0000581
422,MX1,MX1 (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,,,CVCL_4774,LCL-2072,CHEMBL3308046,
423,Neuron,Neurons,Neurons,,,,,,,CHEMBL3308047,CL_0000540
424,PMNL,PMNL (Polymorphonuclear leukocytes),Polymorphonuclear leukocytes,,,,,,,CHEMBL3308048,CL_0000094
425,NSC,NSC (Neural stem cells),Neural stem cells,Rattus norvegicus,10116,,,,,CHEMBL3308049,CL_0000047
426,W4,W4 (Lymphoma cells),Lymphoma cells,Mus musculus,10090,,,CVCL_H588,,CHEMBL3308050,
427,Mast cell,Mast cells (Mast cells),Mast cells,,,,,,,CHEMBL3308051,CL_0000097
428,Neutrophil,Neutrophils,Neutrophils,,,,,,,CHEMBL3308052,CL_0000775
429,SUD4,SUD4 (B-cells),B-cells,Homo sapiens,9606,,,CVCL_0539,,CHEMBL3308053,
430,Y79,Y79 (Retinoblastoma cells),Retinoblastoma cells,Homo sapiens,9606,CLO_0009709,EFO_0002392,CVCL_1893,,CHEMBL3308054,
431,CNE,CNE (Nasopharyngeal carcinoma cells),Nasopharyngeal carcinoma cells,Homo sapiens,9606,,,CVCL_6888,,CHEMBL3308055,
432,Dendritic cell,Dendritic cells,Dendritic cells,,,,,,,CHEMBL3308056,CL_0000451
433,NG108-15,NG108-15 (Neuroblastoma-glioma hybrid cells),Neuroblastoma-glioma hybrid cells,Murinae,39107,CLO_0008162,,CVCL_0464,,CHEMBL3308514,
434,NCI/ADR-RES,NCI/ADR-RES (Breast metastasis of ovarian carcinoma cells,Breast metastasis of ovarian carcinoma cells,Homo sapiens,9606,,,CVCL_1452,,CHEMBL3308057,
435,Panel NCI-62 (62 carcinoma cell lines),Panel NCI-62 (62 carcinoma cell lines),Carcinoma cell lines,Homo sapiens,9606,,,,,CHEMBL3308058,
436,SMMC-7721,SMMC-7721 (Hepatocellular carcinoma cells),Hepatocellular carcinoma cells,Homo sapiens,9606,,,CVCL_0534,,CHEMBL3308059,
437,UXF1139,UXF1139 (Uterine carcinoma cells),Uterine carcinoma cells,Homo sapiens,9606,,,,,CHEMBL3308060,
438,JY,JY (EBV-transformed B-lymphoblastoid cells),EBV-transformed B-lymphoblastoid cells,Homo sapiens,9606,,,CVCL_0108,,CHEMBL3308061,
439,SK-BR-3,SK-BR-3 (Breast adenocarcinoma),Breast adenocarcinoma,Homo sapiens,9606,CLO_0009034,EFO_0001236,CVCL_0033,LCL-1475,CHEMBL3308062,
440,MV4-11,MV4-11 (Myeloid leukemia cells),Myeloid leukemia cells,Homo sapiens,9606,CLO_0007906,EFO_0002242,CVCL_0064,,CHEMBL3308063,
441,TPC1,TPC1 (Papillary thyroid carinoma cells),Papillary thyroid carinoma cells,Homo sapiens,9606,,,CVCL_6298,,CHEMBL3308064,
442,Fibroblast,Fibroblasts (Fibroblast cells),Fibroblast cells,,,,,,,CHEMBL3308065,CL_0000057
443,H3396,H3396 (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,,,CVCL_D348,,CHEMBL3308066,
445,Cortical neurone,Cortical neurones,Cortical neurones,,,,,,,CHEMBL3308068,CL_0002609
446,Bcap37,Bcap37 (Breast carcinoma cells),Breast carcinoma cells,Homo sapiens,9606,,,CVCL_0164,,CHEMBL3308069,
447,BP8,BP8 (Ascites sarcoma cells),Ascites sarcoma cells,Mus musculus,10090,,,CVCL_F952,,CHEMBL3308070,
448,CAKI-2,CAKI-2 (Renal carcinoma cells),Renal carcinoma cells,Homo sapiens,9606,CLO_0002177,EFO_0002150,CVCL_0235,,CHEMBL3308071,
449,CHO,CHO (Ovarian cells),Ovarian cells,Cricetulus griseus,10029,CLO_0002421,,CVCL_0213,,CHEMBL3308072,
450,COR-L23,COR-L23 (Lung carcinoma cells),Lung carcinoma cells,Homo sapiens,9606,CLO_0002585,EFO_0002142,CVCL_1139,LCL-1780,CHEMBL3308073,
451,HCC 2998,HCC 2998 (Colon adenocarcinoma cells),Colon adenocarcinoma cells,Homo sapiens,9606,,EFO_0005370,CVCL_1266,,CHEMBL3308074,
452,AEC,AEC (Aortic endothelial cells),Aortic endothelial cells,,,,,,,CHEMBL3308075,
454,1A9/ptx-22,1A9/ptx-22 (Ovarian adenocarcinoma cells),Ovarian adenocarcinoma cells,Homo sapiens,9606,,,CVCL_H621,,CHEMBL3308076,
455,A-375,A-375 (Malignant melanoma cells),Malignant melanoma cells,Homo sapiens,9606,CLO_0001582,EFO_0002103,CVCL_0132,LCL-1235,CHEMBL3308077,
456,AGS,AGS (Gastric adenocarcinoma cells),Gastric adenocarcinoma cells,Homo sapiens,9606,CLO_0001686,EFO_0002109,CVCL_0139,LCL-1893,CHEMBL3308078,
457,CT26,CT26 (Colon carcinoma cells),Colon carcinoma cells,Mus musculus,10090,,,CVCL_7254,,CHEMBL3308079,
458,13762,13762 (Mammary adenocarcinoma cells),Mammary adenocarcinoma cells,Rattus norvegicus,10116,CLO_0001076,,CVCL_3475,,CHEMBL3308080,
459,KYSE-510,KYSE-510 (Esophageal squamous cell carcinoma),Esophageal squamous cell carcinoma,Homo sapiens,9606,CLO_0007135,,CVCL_1354,LCL-1555,CHEMBL3308081,
460,HEY,HEY (Ovarian carcinoma cells),Ovarian carcinoma cells,Homo sapiens,9606,,,CVCL_0297,,CHEMBL3308082,
