hrac_class_id,active_ingredient,level1,level1_description,level2,level2_description,level3,hrac_code
186,CARBETAMIDE,K2,INHIBITION OF MITOSIS / MICROTUBULE ORGANISATION,K21,CARBAMATE,K213,K2
187,ACETOCHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K31,CHLOROACETAMIDE,K311,K3
188,ALACHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K31,CHLOROACETAMIDE,K312,K3
189,BUTACHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K31,CHLOROACETAMIDE,K313,K3
190,DIMETHACHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K321,K3
191,DIMETHANAMID,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K322,K3
192,METAZACHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K323,K3
193,METOLACHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K324,K3
194,PETHOXAMID,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K325,K3
195,PRETILACHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K326,K3
196,PROPACHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K327,K3
197,PROPISOCHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K328,K3
198,THENYLCHLOR,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K32,,K329,K3
199,DIPHENAMID,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K33,ACETAMIDE,K331,K3
200,NAPROPAMIDE,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K33,ACETAMIDE,K332,K3
201,NAPROANILIDE,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K33,ACETAMIDE,K333,K3
202,FLUFENACET,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K34,OXYACETAMIDE,K341,K3
203,MEFENACET,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K34,OXYACETAMIDE,K342,K3
204,FENTRAZAMIDE,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K35,TETRAZOLINONE,K351,K3
205,ANILOFOS,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K36,OTHER,K361,K3
206,CAFENSTROLE,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K36,OTHER,K362,K3
207,PIPEROPHOS,K3,INHIBITION OF VLCFAS (INHIBITION OF CELL DIVISION),K36,OTHER,K363,K3
208,DICHLOBENIL,L,INHIBITION OF CELL WALL (CELLULOSE) SYNTHESIS,L1,NITRILE,L11,L
209,CHLORTHIAMID,L,INHIBITION OF CELL WALL (CELLULOSE) SYNTHESIS,L1,NITRILE,L12,L
210,ISOXABEN,L,INHIBITION OF CELL WALL (CELLULOSE) SYNTHESIS,L2,BENZAMIDE,L21,L
211,FLUPOXAM,L,INHIBITION OF CELL WALL (CELLULOSE) SYNTHESIS,L3,TRIAZOLOCARBOXAMIDE,L31,L
212,QUINCLORAC,L,INHIBITION OF CELL WALL (CELLULOSE) SYNTHESIS,L4,QUINOLINE CARBOXYLIC ACID,L41,L
213,DNOC,M,UNCOUPLING (MEMBRANE DISRUPTION),M1,DINITROPHENOL,M11,M
214,DINOSEB,M,UNCOUPLING (MEMBRANE DISRUPTION),M1,DINITROPHENOL,M12,M
215,DINOTERB,M,UNCOUPLING (MEMBRANE DISRUPTION),M1,DINITROPHENOL,M13,M
216,BUTYLATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N11,N
217,CYCLOATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N12,N
218,DIMEPIPERATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N13,N
219,EPTC,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N14,N
220,ESPROCARB,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N15,N
221,MOLINATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N16,N
222,ORBENCARB,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N17,N
223,PEBULATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N18,N
224,PROSULFOCARB,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N19,N
225,THIOBENCARB,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N110,N
226,TIOCARBAZIL,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N111,N
227,TRIALLATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N112,N
228,VERNOLATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N1,THIOCARBAMATE,N113,N
229,BENSULIDE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N2,PHOSPHORODITHIOATE,N21,N
230,BENFURESATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N3,BENZOFURAN,N31,N
231,ETHOFUMESATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N3,BENZOFURAN,N32,N
232,TCA,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N4,CHLORO-CARBONIC-ACID,N41,N
233,DALAPON,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N4,CHLORO-CARBONIC-ACID,N42,N
234,FLUPROPANATE,N,INHIBITION OF LIPID SYNTHESIS - NOT ACCASE INHIBITION,N4,CHLORO-CARBONIC-ACID,N43,N
235,CLOMEPROP,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O1,PHENOXY-CARBOXYLIC-ACID,O11,O
236,"2,4-D",O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O1,PHENOXY-CARBOXYLIC-ACID,O12,O
237,"2,4-DB",O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O1,PHENOXY-CARBOXYLIC-ACID,O13,O
238,DICHLORPROP,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O1,PHENOXY-CARBOXYLIC-ACID,O14,O
239,MCPA,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O1,PHENOXY-CARBOXYLIC-ACID,O15,O
240,MCPB,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O1,PHENOXY-CARBOXYLIC-ACID,O16,O
241,MECOPROP,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O1,PHENOXY-CARBOXYLIC-ACID,O17,O
242,CHLORAMBEN,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O2,BENZOIC ACID,O21,O
243,DICAMBA,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O2,BENZOIC ACID,O22,O
244,TBA,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O2,BENZOIC ACID,O23,O
245,CLOPYRALID,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O3,PYRIDINE CARBOXYLIC ACID,O31,O
246,FLUROXYPYR,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O3,PYRIDINE CARBOXYLIC ACID,O32,O
247,PICLORAM,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O3,PYRIDINE CARBOXYLIC ACID,O33,O
248,TRICLOPYR,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O3,PYRIDINE CARBOXYLIC ACID,O34,O
249,QUINCLORAC,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O4,QUINOLINE CARBOXYLIC ACID,O41,O
250,QUINMERAC,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O4,QUINOLINE CARBOXYLIC ACID,O42,O
251,BENAZOLIN-ETHYL,O,ACTION LIKE INDOLE ACETIC ACID (SYNTHETIC AUXINS),O5,OTHER,O51,O
252,NAPTALAM,P,INHIBITION OF AUXIN TRANSPORT,P1,PHTHALAMATE SEMICARBAZONE,P11,P
253,DIFLUFENZOPYR-NA,P,INHIBITION OF AUXIN TRANSPORT,P1,PHTHALAMATE SEMICARBAZONE,P12,P
254,FLAMPROP-M-METHYL,Z,UNKNOWN,Z1,ARYLAMINOPROPIONIC ACID,Z11,Z
255,FLAMPROP-M-ISOPROPYL,Z,UNKNOWN,Z1,ARYLAMINOPROPIONIC ACID,Z12,Z
256,DIFENZOQUAT,Z,UNKNOWN,Z2,PYRAZOLIUM,Z21,Z
257,DSMA,Z,UNKNOWN,Z3,ORGANOARSENICAL,Z31,Z
258,MSMA,Z,UNKNOWN,Z3,ORGANOARSENICAL,Z32,Z
259,BROMOBUTIDE,Z,UNKNOWN,Z4,OTHER,Z41,Z
260,(CHLORO)-FLURENOL,Z,UNKNOWN,Z4,OTHER,Z42,Z
261,CINMETHYLIN,Z,UNKNOWN,Z4,OTHER,Z43,Z
262,CUMYLURON,Z,UNKNOWN,Z4,OTHER,Z44,Z
263,DAZOMET,Z,UNKNOWN,Z4,OTHER,Z45,Z
264,DYMRON,Z,UNKNOWN,Z4,OTHER,Z46,Z
265,METHYL-DIMURON,Z,UNKNOWN,Z4,OTHER,Z47,Z
266,ETOBENZANID,Z,UNKNOWN,Z4,OTHER,Z48,Z
267,FOSAMINE,Z,UNKNOWN,Z4,OTHER,Z49,Z
268,INDANOFAN,Z,UNKNOWN,Z4,OTHER,Z410,Z
269,METAM,Z,UNKNOWN,Z4,OTHER,Z411,Z
270,OXAZICLOMEFONE,Z,UNKNOWN,Z4,OTHER,Z412,Z
271,OLEIC ACID,Z,UNKNOWN,Z4,OTHER,Z413,Z
272,PELARGONIC ACID,Z,UNKNOWN,Z4,OTHER,Z414,Z
273,PYRIBUTICARB,Z,UNKNOWN,Z4,OTHER,Z415,Z
