who_name,level1,level2,level3,level4,level5,level1_description,level2_description,level3_description,level4_description
barnidipine,C,C08,C08C,C08CA,C08CA12,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
lercanidipine,C,C08,C08C,C08CA,C08CA13,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
cilnidipine,C,C08,C08C,C08CA,C08CA14,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
benidipine,C,C08,C08C,C08CA,C08CA15,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
clevidipine,C,C08,C08C,C08CA,C08CA16,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
"nifedipine, combinations",C,C08,C08C,C08CA,C08CA55,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
mibefradil,C,C08,C08C,C08CX,C08CX01,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Other selective calcium channel blockers with mainly vascular effects
verapamil,C,C08,C08D,C08DA,C08DA01,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Phenylalkylamine derivatives
gallopamil,C,C08,C08D,C08DA,C08DA02,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Phenylalkylamine derivatives
"verapamil, combinations",C,C08,C08D,C08DA,C08DA51,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Phenylalkylamine derivatives
diltiazem,C,C08,C08D,C08DB,C08DB01,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Benzothiazepine derivatives
fendiline,C,C08,C08E,C08EA,C08EA01,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Phenylalkylamine derivatives
bepridil,C,C08,C08E,C08EA,C08EA02,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Phenylalkylamine derivatives
lidoflazine,C,C08,C08E,C08EX,C08EX01,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Other non-selective calcium channel blockers
perhexiline,C,C08,C08E,C08EX,C08EX02,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Other non-selective calcium channel blockers
nifedipine and diuretics,C,C08,C08G,C08GA,C08GA01,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,CALCIUM CHANNEL BLOCKERS AND DIURETICS,Calcium channel blockers and diuretics
amlodipine and diuretics,C,C08,C08G,C08GA,C08GA02,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,CALCIUM CHANNEL BLOCKERS AND DIURETICS,Calcium channel blockers and diuretics
captopril,C,C09,C09A,C09AA,C09AA01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
enalapril,C,C09,C09A,C09AA,C09AA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
lisinopril,C,C09,C09A,C09AA,C09AA03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
perindopril,C,C09,C09A,C09AA,C09AA04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
ramipril,C,C09,C09A,C09AA,C09AA05,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
quinapril,C,C09,C09A,C09AA,C09AA06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
benazepril,C,C09,C09A,C09AA,C09AA07,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
cilazapril,C,C09,C09A,C09AA,C09AA08,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
fosinopril,C,C09,C09A,C09AA,C09AA09,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
trandolapril,C,C09,C09A,C09AA,C09AA10,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
spirapril,C,C09,C09A,C09AA,C09AA11,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
delapril,C,C09,C09A,C09AA,C09AA12,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
moexipril,C,C09,C09A,C09AA,C09AA13,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
temocapril,C,C09,C09A,C09AA,C09AA14,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
zofenopril,C,C09,C09A,C09AA,C09AA15,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
imidapril,C,C09,C09A,C09AA,C09AA16,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, PLAIN","ACE inhibitors, plain"
captopril and diuretics,C,C09,C09B,C09BA,C09BA01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
enalapril and diuretics,C,C09,C09B,C09BA,C09BA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
lisinopril and diuretics,C,C09,C09B,C09BA,C09BA03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
perindopril and diuretics,C,C09,C09B,C09BA,C09BA04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
ramipril and diuretics,C,C09,C09B,C09BA,C09BA05,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
quinapril and diuretics,C,C09,C09B,C09BA,C09BA06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
benazepril and diuretics,C,C09,C09B,C09BA,C09BA07,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
cilazapril and diuretics,C,C09,C09B,C09BA,C09BA08,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
fosinopril and diuretics,C,C09,C09B,C09BA,C09BA09,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
delapril and diuretics,C,C09,C09B,C09BA,C09BA12,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
moexipril and diuretics,C,C09,C09B,C09BA,C09BA13,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
zofenopril and diuretics,C,C09,C09B,C09BA,C09BA15,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
enalapril and lercanidipine,C,C09,C09B,C09BB,C09BB02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
lisinopril and amlodipine,C,C09,C09B,C09BB,C09BB03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
perindopril and amlodipine,C,C09,C09B,C09BB,C09BB04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
ramipril and felodipine,C,C09,C09B,C09BB,C09BB05,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
enalapril and nitrendipine,C,C09,C09B,C09BB,C09BB06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
ramipril and amlodipine,C,C09,C09B,C09BB,C09BB07,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
trandolapril and verapamil,C,C09,C09B,C09BB,C09BB10,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
delapril and manidipine,C,C09,C09B,C09BB,C09BB12,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
"perindopril, amlodipine and indapamide",C,C09,C09B,C09BX,C09BX01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS","ACE inhibitors, other combinations"
perindopril and bisoprolol,C,C09,C09B,C09BX,C09BX02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS","ACE inhibitors, other combinations"
"ramipril, amlodipine and hydrochlorothiazide",C,C09,C09B,C09BX,C09BX03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS","ACE inhibitors, other combinations"
losartan,C,C09,C09C,C09CA,C09CA01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
eprosartan,C,C09,C09C,C09CA,C09CA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
valsartan,C,C09,C09C,C09CA,C09CA03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
irbesartan,C,C09,C09C,C09CA,C09CA04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
tasosartan,C,C09,C09C,C09CA,C09CA05,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
candesartan,C,C09,C09C,C09CA,C09CA06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
telmisartan,C,C09,C09C,C09CA,C09CA07,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
olmesartan medoxomil,C,C09,C09C,C09CA,C09CA08,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
azilsartan medoxomil,C,C09,C09C,C09CA,C09CA09,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
fimasartan,C,C09,C09C,C09CA,C09CA10,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN","Angiotensin II receptor blockers (ARBs), plain"
losartan and diuretics,C,C09,C09D,C09DA,C09DA01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
eprosartan and diuretics,C,C09,C09D,C09DA,C09DA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
valsartan and diuretics,C,C09,C09D,C09DA,C09DA03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
irbesartan and diuretics,C,C09,C09D,C09DA,C09DA04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
candesartan and diuretics,C,C09,C09D,C09DA,C09DA06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
telmisartan and diuretics,C,C09,C09D,C09DA,C09DA07,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
olmesartan medoxomil and diuretics,C,C09,C09D,C09DA,C09DA08,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
azilsartan medoxomil and diuretics,C,C09,C09D,C09DA,C09DA09,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
fimasartan and diuretics,C,C09,C09D,C09DA,C09DA10,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and diuretics
valsartan and amlodipine,C,C09,C09D,C09DB,C09DB01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
olmesartan medoxomil and amlodipine,C,C09,C09D,C09DB,C09DB02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
telmisartan and amlodipine,C,C09,C09D,C09DB,C09DB04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
irbesartan and amlodipine,C,C09,C09D,C09DB,C09DB05,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
losartan and amlodipine,C,C09,C09D,C09DB,C09DB06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
candesartan and amlodipine,C,C09,C09D,C09DB,C09DB07,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
valsartan and lercanidipine,C,C09,C09D,C09DB,C09DB08,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",Angiotensin II receptor blockers (ARBs) and calcium channel blockers
"valsartan, amlodipine and hydrochlorothiazide",C,C09,C09D,C09DX,C09DX01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations"
valsartan and aliskiren,C,C09,C09D,C09DX,C09DX02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations"
"olmesartan medoxomil, amlodipine and hydrochlorothiazide",C,C09,C09D,C09DX,C09DX03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations"
valsartan and sacubitril,C,C09,C09D,C09DX,C09DX04,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations"
valsartan and nebivolol,C,C09,C09D,C09DX,C09DX05,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations"
"candesartan, amlodipine and hydrochlorothiazide",C,C09,C09D,C09DX,C09DX06,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS","Angiotensin II receptor blockers (ARBs), other combinations"
remikiren,C,C09,C09X,C09XA,C09XA01,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,Renin-inhibitors
aliskiren,C,C09,C09X,C09XA,C09XA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,Renin-inhibitors
aliskiren and hydrochlorothiazide,C,C09,C09X,C09XA,C09XA52,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,Renin-inhibitors
aliskiren and amlodipine,C,C09,C09X,C09XA,C09XA53,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,Renin-inhibitors
"aliskiren, amlodipine and hydrochlorothiazide",C,C09,C09X,C09XA,C09XA54,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,Renin-inhibitors
simvastatin,C,C10,C10A,C10AA,C10AA01,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
lovastatin,C,C10,C10A,C10AA,C10AA02,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
pravastatin,C,C10,C10A,C10AA,C10AA03,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
fluvastatin,C,C10,C10A,C10AA,C10AA04,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
atorvastatin,C,C10,C10A,C10AA,C10AA05,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
cerivastatin,C,C10,C10A,C10AA,C10AA06,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
rosuvastatin,C,C10,C10A,C10AA,C10AA07,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
pitavastatin,C,C10,C10A,C10AA,C10AA08,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HMG CoA reductase inhibitors
clofibrate,C,C10,C10A,C10AB,C10AB01,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
bezafibrate,C,C10,C10A,C10AB,C10AB02,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
aluminium clofibrate,C,C10,C10A,C10AB,C10AB03,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
gemfibrozil,C,C10,C10A,C10AB,C10AB04,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
fenofibrate,C,C10,C10A,C10AB,C10AB05,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
simfibrate,C,C10,C10A,C10AB,C10AB06,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
ronifibrate,C,C10,C10A,C10AB,C10AB07,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
ciprofibrate,C,C10,C10A,C10AB,C10AB08,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
etofibrate,C,C10,C10A,C10AB,C10AB09,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
clofibride,C,C10,C10A,C10AB,C10AB10,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
choline fenofibrate,C,C10,C10A,C10AB,C10AB11,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Fibrates
colestyramine,C,C10,C10A,C10AC,C10AC01,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Bile acid sequestrants
