patent_use_code,definition
U-1425,SUBLINGUAL ADMINISTRATION OF A PHARMACEUTICAL COMPOSITION COMPRISING BUPRENORPHINE AND NALOXONE
U-1426,USE FOR TREATMENT OF DIAPER DERMATITIS COMPLICATED BY CANDIDIASIS
U-1427,ALKYLATING DRUG INDICATED FOR THE TOPICAL TREATMENT OF STAGE IA AND IB MYCOSIS FUNGOIDES-TYPE CUTANEOUS T-CELL LYMPHOMA IN PATIENTS WHO HAVE RECEIVED PRIOR SKIN DIRECTED THERAPY
U-1428,TOPICAL TREATMENT OF FACIAL ERYTHEMA OF ROSACEA
U-1429,TREATMENT OF PATIENTS WITH BREAST CANCER WHOSE TUMORS OVEREXPRESS THE HER2 RECEPTOR
U-143,BIODEGRADABLE SUPERPARAMAGNETIC METAL OXIDES AS CONTRAST AGENTS FOR MR IMAGING
U-1430,"TREATMENT OF ALLERGIC RHINITIS, INCLUDING SEASONAL AND PERENNIAL ALLERGIC RHINITIS"
U-1431,"METHOD OF TREATING HYPERGLYCEMIA TO IMPROVE GLYCEMIC CONTROL IN A PATIENT BY ORAL ADMIN OF ONCE A DAY OSMOTIC DOSAGE FORM OF GLIPIZIDE WITH POLYETHYLENE OXIDE, HYDROXYPROPYLMETHYLCELLULOSE, CELLULOSE ACETATE, AND SODIUM CHLORIDE"
U-1432,METHOD OF TREATMENT OF IRON-RELATED CONDITIONS WITH AT LEAST 0.6 GRAMS OF ELEMENTAL IRON VIA AN IRON CARBOHYDRATE COMPLEX
U-1433,IMPROVEMENTS OF GLYCEMIC CONTROL IN INDIVIDUALS WITH TYPE 2 DIABETES WHO HAVE ONE OR MORE SPECIFIED CARDIOVASCULAR RISK FACTORS
U-1434,TREATMENT OF PANCREATIC CANCER
U-1435,COMBINATION USE OF TOPICAL DICLOFENAC ON THE KNEE AND ADMINISTRATION OF AN ORAL NSAID.
U-1436,USE OF TOPICAL DICLOFENAC ON THE KNEE AND A SECOND TOPICAL AGENT SELECTED FROM SUNSCREEN AND INSECT REPELLANT
U-1437,ADMINISTRATION OF REMODULIN DILUTED FOR INTRAVENOUS INFUSION WITH STERILE DILUENT FOR FLOLAN OR STERILE DILUENT FOR EPOPROSTENOL SODIUM PRIOR TO ADMINISTRATION
U-1438,ZINGO INTRADERMAL INJECTION SYSTEM IS A DRUG DELIVERY SYSTEM THAT IS CAPABLE OF DELIVERING FINE DRY POWDERED LIDOCAINE HYDROCHLORIDE MONOHYDRATE FOR LOCAL ANESTHETIC ACTION
U-1439,METHOD OF TREATING AN AFFECTIVE DISORDER SUCH AS DEPRESSION
U-144,BIOLOGICALLY DEGRADABLE SUPERPARAMAGNETIC MATERIALS FOR USE IN CLINICAL APPLICATIONS
U-1440,USE OF INGENOL MEBUTATE TO TREAT ACTINIC KERATOSIS
U-1441,A METHOD OF TREATING OR REDUCING OCULAR PAIN AND BURNING/STINGING
U-1442,SUBCUTANEOUS INJECTION OF METHOTREXATE
U-1443,ACCELERATING THE TIME TO UPPER AND LOWER GASTROINTESTINAL RECOVERY FOLLOWING SURGERIES THAT INCLUDE PARTIAL BOWEL RESECTION WITH PRIMARY ANASTOMOSIS
U-1444,A DOSING REGIMEN OF AGGRASTAT (TIROFIBAN HYDROCHLORIDE)(25MCG/KG FOLLOWED BY 0.15MCG/KG/MIN INFUSION) TO REDUCE THE RATE OF THROMBOTIC CORONARY EVENTS ASSOCIATED WITH ACUTE CORONARY SYNDROME (ACS) IN PATIENTS WITH NON-ST ELEVATION ACS
U-1445,"METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION BY ADMINISTERING A PHARMACEUTICAL COMPOSITION COMPRISING MACITENTAN AND A POLYSORBATE, WHERIN THE POLYSORBATE REPRESENTS 0.1 TO 1% OF THE WEIGHT OF SAID PHARMACEUTICAL COMPOSITION"
U-1446,METHOD OF TREATING PULMONARY HYPERTENSION COMPRISING ADMINISTERING MACITENTAN IN COMBINATION WITH A COMPOUND HAVING PHOSPHODIESTERASE-5 INHIBITORY PROPERTIES
U-1447,TREATING PRIMARY HYPERCHOLESTEROLEMIA AND MIXED DYSLIPIDEMIA
U-1448,TREATING SEVERE HYPERTRIGLYCERIDEMIA
U-1449,METHOD OF ALLEVIATING A SKIN CONDITION
U-145,BIOLOGICALLY DEGRADABLE SUPERPARAMAGNETIC PARTICLES FOR USE AS NUCLEAR MAGNETIC RESONANCE IMAGING AGENTS
U-1450,TREATMENT OF ALLERGIC RHINITIS SYMPTOMS
U-1451,APPROVED INDICATIONS:  APTIOM (ESLICARBAZEPINE ACETATE) IS INDICATED AS ADJUNCTIVE TREATMENT OF PARTIAL-ONSET SEIZURES AND APPROVED IN PATIENTS WITH EPILEPSY.  PATENT CLAIMS:  IN A METHOD OF TREATING A SUBJECT AFFLICTED WITH EPILEPSY
U-1452,METHOD FOR CHRONIC WEIGHT MANAGEMENT
U-1453,A METHOD OF TREATING HYPOXIC RESPIRATORY FAILURE BY VERIFYING GAS INFORMATION OF NITRIC OXIDE PRIOR TO DELIVERY TO PATIENT
U-1454,PROPHYLAXIS OF INVASIVE ASPERGILLUS AND CANDIDA INFECTIONS
U-1455,TREATMENT OF PERIANAL WARTS
U-1456,TREATMENT OF MANTLE CELL LYMPHOMA
U-1457,A METHOD OF PURGING A NITRIC OXIDE DELIVERY SYSTEM
U-1458,A METHOD OF REDUCING INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN ANGLE GLAUCOMA OR OCULAR HYPERTENSION
U-1459,TREATMENT OF CARCINOMA OF THE THYROID
U-146,METHOD OF TREATING SUSCEPTIBLE NEOPLASMS IN MAMMALS
U-1460,TREATMENT OF HERPES LABIALIS
U-1461,A METHOD OF GENERATING AN INJECTABLE FOAM OF CONTROLLED DENSITY AND BUBBLE SIZE
U-1462,"A METHOD OF USING A SCLEROSING AGENT FOR THE TREATMENT OF INCOMPETENT GREAT SAPHENOUS VEINS, ACCESSORY SAPHENOUS VEINS AND VISIBLE VARICOSITIES OF THE GREAT SAPHENOUS (GSV) SYSTEM ABOVE AND BELOW THE KNEE"
U-1463,"A METHOD OF INTRAVENOUS INJECTION USING ULTRASOUND GUIDANCE, ADMINISTERED VIA A SINGLE CANNULA INTO THE LUMEN OF THE TARGET INCOMPETENT TRUNK VEINS OR BY DIRECT INJECTION INTO VARICOSITIES"
U-1464,TREATMENT OF OPIOID DEPENDENCE/SUBLINGUAL OR BUCCAL APPLICATION
U-1465,USE OF THALIDOMIDE WHILE PREVENTING THE EXPOSURE OF A FETUS OR OTHER CONTRAINDICATED INDIVIDUAL TO THALIDOMIDE
U-1466,RELIEF OF SYMPTOMS ASSOCIATED WITH RESPIRATORY ALLERGIES ADULTS AND CHILDREN 6 YEARS OF AGE AND OLDER
U-1467,METHOD OF TREATING HEPATITIS C
U-1468,CONTROL OF PHOSPHOROUS LEVELS IN PATIENTS
U-1469,USE OF PHOSLYRA FOR REDUCTION OF SERUM PHOSPHOROUS IN PATIENTS
U-147,DETECTION OF GASTROINTESTINAL DISORDERS AND THE SUBSEQUENT BREATH COLLECTION AND MEASUREMENT OF 13CO2
U-1470,FOR THE TREATMENT OF HEPATITIS C
U-1471,"A METHOD FOR TREATING CARDIOVASCULAR DISEASE COMPRISING ADMINISTERING A RECONSTITUTED LYOPHILIZED PHARMACEUTICAL COMPOSITION COMPRISING EPOPROSTENOL, ARGININE AND SODIUM HYDROXIDE."
U-1472,"INTENSIVE CARE UNIT SEDATION, INCLUDING SEDATION OF NON-INTUBATED PATIENTS PRIOR TO AND/OR DURING SURGICAL AND OTHER PROCEDURES"
U-1473,MANAGEMENT OF RISK OF DRONEDARONE/BETA-BLOCKER INTERACTION IN PATIENTS IN SINUS RYTHM WITH A HISTORY OF PAROXYSMAL OR PERSISTENT AF
U-1474,"A METHOD FOR THE TREATMENT OF A PATIENT SUFFERING FROM A DISEASE TREATABLE WITH ROTIGOTINE, COMPRISING APPLYING THE CLAIMED TRANSDERMAL DELIVERY SYSTEM (TDS) TO THE SKIN OF THE PATIENT"
U-1475,USE OF ORENITRAM FOR THE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) (WHO GROUP 1).
U-1476,"INDICATED FOR THE LONG-TERM, ONCE-DAILY, MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA."
U-1477,USE OF TOPICAL DICLOFENAC ON THE KNEE AND A SECOND TOPICAL PRESCRIPTION MEDICATION ON THE SAME KNEE
U-1478,METHOD OF REDUCING TG LEVELS IN PATIENT ON STATIN THERAPY SUFFERING FROM SEVERE HYPERTRIGLYCERIDEMIA
U-1479,INCREASE TEAR PRODUCTION TO TREAT PATIENTS WITH KERATOCONJUNCTIVITIS SICCA (DRY EYE).
U-148,DEVICE FOR COLLECTING A BREATH SAMPLE
U-1480,TREATMENT OF ADVANCED RENAL CELL CARCINOMA
U-1481,REDUCTION IN RISK OF OVERT HEPATIC ENCEPHALOPATHY (HE) RECURRENCE
U-1482,DICLOFENAC POTASSIUM FOR RELIEF OF MILD TO MODERATE ACUTE PAIN
U-1483,INCREASE TEAR PRODUCTION IN PATIENTS WITH KERATOCONJUNCTIVITIS SICCA (DRY EYE).
U-1484,COMBINATION PRODUCT FOR THE EARLY TREATMENT OF RECURRENT HERPES LABIALIS (COLD SORES) TO REDUCE THE LIKELIHOOD OF ULCERATIVE COLD SORES AND TO SHORTEN THE LESION HEALING TIME IN ADULTS AND CHILDREN (6 YEARS OF AGE AND OLDER)
U-1485,TREATING A SUBJECT UNDERGOING ABDOMINAL SURGERY BY ADMINISTERING ALVIMOPAN TO ACCELERATE THE TIME TO UPPER AND LOWER GASTROINTESTINAL RECOVERY FOLLOWING SURGERIES THAT INCLUDE PARTIAL BOWEL RESECTION WITH PRIMARY ANASTOMOSIS
U-1486,TREATMENT OF NON-24-HOUR SLEEP-WAKE DISORDER
U-1487,METHOD OF INCREASING EYELASH GROWTH
U-1488,USE OF TOPICAL DICLOFENAC FOR TREATING PAIN
U-1489,USE OF TOPICAL DICLOFENAC ON A JOINT FOR TREATING OSTEOARTHRITIS
U-149,"METHOD OF TREATING AN ANIMAL, INCLUDING A HUMAN SUFFERING FROM OR SUSCEPTIBLE TO PSYCHOSIS, ACUTE MANIA OR MILD ANXIETY STATES"
U-1490,"FOR USE IN PATIENTS HAVING SYMPTOMATIC OR PROGRESSIVE MEDULLARY THYROID CANCER, WITH UNRESECTABLE LOCALLY ADVANCED OR METASTATIC DISEASE"
U-1491,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA
U-1492,TREATMENT OF IRRITABILITY ASSOCIATED WITH AUTISTIC DISORDER
U-1493,METHOD FOR PREVENTING ITCHING ASSOCIATED WITH ALLERGIC CONJUNCTIVITIS
U-1494,SUBLINGUAL OR BUCCAL ADMINISTRATION OF A PHARMACEUTICAL COMPOSITION COMPRISING BUPRENORPHINE AND NALOXONE
U-1495,RISK REDUCTION OF REBLEEDING IN PTS FOLLOWING THERAPEUTIC ENDOSCOPY FOR ACUTE BLEEDING GASTRIC OR DUODENAL ULCERS IN ADULTS.
U-1496,METHOD TO TREAT HEMANGIOMA.
U-1497,NEURACEQ IS A RADIOACTIVE DIAGNOSTIC AGENT FOR POSITRON EMISSION TOMOGRAPHY (PET) IMAGING OF THE BRAIN TO ESTIMATE P-AMYLOID NEURITIC PLAQUE DENSITY IN ADULT PATIENTS WITH COGNITIVE IMPAIRMENT
U-1498,METHOD OF TREATING PATIENTS WITH GASTRIC RETENTIVE DOSAGE FORM
U-1499,MANAGEMENT OF ACUTE PAIN IN PATIENTS REQUIRING OPIOID ANALGESIA
U-15,METHOD OF LOWERING INTRAOCULAR PRESSURE
U-150,METHOD OF USE FOR CONTROLLING HYPERGLYCEMIA BY ADMINISTRATION OF THIS SUSTAINED RELEASE DOSAGE FORM OF GLIPIZIDE
U-1500,TESTOSTERONE REPLACEMENT THERAPY IN ADULT MALES FOR CONDITIONS ASSOCIATED WITH A DEFICIENCY OR ABSENCE OF ENDOGENOUS TESTOSTERONE; PRIMARY HYPOGONADISM (CONGENITAL OR ACQUIRED); HYPOGONADOTROPIC HYPOGONADISM (CONGENITAL OR ACQUIRED).
U-1501,PROPHYLAXIS OF DEEP VEIN THROMBOSIS AND PULMONARY EMBOLISM
U-1502,PROPHYLAXIS OF PULMONARY EMBOLISM
U-1503,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH METFORMIN
U-1504,USE OF OTEZLA (APREMILAST) FOR INHIBITING PDE4
U-1505,USE OF OTEZLA (APREMILAST) FOR THE TREATMENT OF PSORIATIC ARTHRITIS
U-1506,"TREATMENT OF PATIENTS WITH GASTROINTESTINAL STROMAL TUMOR (GIST), INCLUDING BUT NOT LIMITED TO PATIENTS PREVIOUSLY TREATED WITH IMATINIB AND PATIENTS WITH GIST HAVING RESISTANCE TO A KIT TYROSINE KINASE INHIBITOR"
U-1507,TO MAINTAIN HEALING OF EE AND RELIEF OF HEARTBURN
U-1508,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG TERM OPIOID TREATMENT BY ORALLY ADMINISTERING A PLURALITY OF COMPOSITE SUBUNITS AS CLAIMED"
U-1509,TREATMENT OF FREQUENT HEARTBURN BY ADMINISTERING A GASTRIC ACID REDUCER
U-151,RELIEF OF SYMPTOMS OF THE COMMON COLD
U-1510,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG TERM OPIOID TREATEMENT BY ORALLY ADMINISTERING AN INTACT COMPOSITION AS CLAIMED."
U-1511,TREATMENT OF HYPERTRIGLYCERIDEMIA
U-1512,REDUCTION OF THROMBOTIC CARDIOVASCULAR EVENTS
U-1513,TREATMENT OF HIV-1 INFECTION IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS
U-1514,MANAGEMENT OF BREAKTHROUGH PAIN IN PATIENTS WITH CANCER BY BUCCAL OR SUBLINGUAL ADMINISTRATION OF FENTANYL
U-1515,METHOD OF TREATING IRRITABLE BOWEL SYNDROME WITH CONSTIPATION IN ADULT PATIENTS.
U-1516,METHOD OF TREATING CHRONIC IDIOPATHIC CONSTIPATION IN ADULT PATIENTS.
U-1517,TREATMENT OF BACTERIAL INFECTIONS USING A TWO-DOSE REGIMEN OF DALBAVANCIN.
U-1518,MAINTAINING PUPIL SIZE BY PREVENTING INTRAOPERATIVE MIOSIS AND REDUCING POSTOPERATIVE OCULAR PAIN
U-1519,METHOD FOR THE LONG TERM TREATMENT OF CHRONIC CONSTIPATION IN A HUMAN SUBJECT WITH IRRITABLE BOWEL SYNDROME
U-152,METHOD OF TREATING ANXIETY RELATED DISORDERS INCLUDING OBSESSIVE COMPULSIVE DISORDER
U-1520,METHOD FOR THE LONG TERM TREATMENT OF CHRONIC CONSTIPATION IN A HUMAN SUBJECT
U-1521,MAINTENANCE TREATMENT OF OPIOID DEPENDENCE
U-1522,"TREATMENT OF TYPE 2 DIABETES MELLITUS IN A PATIENT, WHEREIN GLYCEMIC CONTROL (HBA1C < 7.0%) IS NOT ACHIEVABLE USING ONE OR MORE OF INSULIN, METFORMIN, PIOGLITAZONE, OR ROSIGLITAZONE"
U-1523,METHOD OF INDUCING TOPICAL ANESTHESIA IN THE EYE
U-1524,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE
U-1525,METHOD OF TREATING EXCESSIVE DAYTIME SLEEPINESS IN PATIENTS WITH NARCOLEPSY
U-1526,THE TREATMENT OF PATIENTS WITH TRAVELERS' DIARRHEA (TD) OR THE REDUCTION IN RISK OF OVERT HEPATIC ENCEPHALOPATHY (HE) RECURRENCE
U-1527,"FOR THE TREATMENT OF OVERACTIVE BLADDER (OAB) WITH SYMPTOMS OF URGE URINARY INCONTINENCE, URGENCY, AND URINARY FREQUENCY"
U-1528,A METHOD OF LOWERING INTRAOCULAR PRESSURE
U-1529,ADJUNCTIVE TREATMENT OF MAJOR DEPRESSIVE DISORDER (MDD)
U-153,TREATMENT OF INITIAL EPISODE GENITAL HERPES
U-1530,USE OF ARIPIPRAZOLE IN EXTENDED RELEASE INJECTABLE SUSPENSION
U-1531,METHOD FOR TRANSDERMAL DELIVERY OF TESTOSTERONE
U-1532,METHOD OF TREATING EXCESSIVE DAYTIME SLEEPINESS AND/OR CATAPLEXY IN NARCOLEPSY PATIENTS WITH SODIUM OXYBATE WHEN DIVALPROEX SODIUM IS CONCOMITANTLY ADMINISTERED.
U-1533,PULMONARY ADMINISTRATION OF PARTICLES COMPRISING A DIKETOPIPERAZINE AND INSULIN.
U-1534,ADMINISTRATION OF A COMPOSITION COMPRISING INSULIN COMPLEXED WITH A DIKETOPIPERAZINE.
U-1535,ADMINISTRATION OF A COMPOSITION COMPRISING INSULIN COMPLEXED WITH MICROPARTICLES OF A DIKETOPIPERAZINE.
U-1536,ADMINISTRATION OF A COMPOSITION COMPRISING A DIKETOPIPERAZINE AND INSULIN.
U-1537,TREATMENT OF A PATIENT HAVING DIABETES MELLITUS WITH A PRANDIAL RAPID ACTING INSULIN.
U-1538,ADMINISTRATION OF FDKP MICROPARTICLES COMPRISING INSULIN.
U-1539,PULMONARY ADMINISTRATION OF AN INSULIN COMPOSITION COMPRISING FDKP AT THE BEGINNING OF A MEAL TO A PATIENT ALSO BEING TREATED WITH A LONG-ACTING INSULIN.
U-154,METHOD OF TREATING ANIMALS SUFFERING FROM AN APPETITE DISORDER
U-1540,"BUTRANS IS A PARTIAL OPIOID AGONIST PRODUCT INDICATED FOR THE MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG TERM OPIOID TREATMENT FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE."
U-1541,TREATMENT OF PATIENTS WITH TUBEROUS SCLEROSIS COMPLEX (TSC) WHO HAVE SUBEPENDYMAL GIANT CELL ASTROCYTOMA (SEGA) THAT REQUIRES THERAPEUTIC INTERVENTION BUT CANNOT BE CURATIVELY RESECTED.
U-1542,FOR USE IN THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA AND/OR NON-HODGKINS LYMPHOMA
U-1543,TREATMENT OF A PATIENT BY ADMINISTERING THE FORMULATION RECITED IN CLAIM 1 OR CLAIM 23
U-1544,TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY PERIPHERAL T-CELL LYMPHOMA (PTCL).
U-1545,A METHOD OF TRANSDERMALLY DELIVERING TESTOSTERONE
U-1546,FOR USE IN THE TREATMENT OF MALIGNANT HYPERTHERMIA IN CONJUNCTION WITH APPROPRIATE SUPPORTIVE MEASURES AND FOR THE PREVENTION OF MALIGNANT HYPERTHERMIA IN PATIENTS AT HIGH RISK.
U-1547,"TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD), CHRONIC BRONCHITIS OR EMPHYSEMA"
U-1548,"FOR THE LONG-TERM, ONCE-DAILY MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PATIENTS WITH COPD, INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA, ALSO TO REDUCE EXACERBATIONS OF COPD IN PATIENTS WITH A HISTORY OF EXACERBATIONS"
U-1549,FOR THE TREATMENT OF PATIENTS WITH RELAPSED CHRONIC LYMPHOCYTIC LEUKEMIA
U-155,TREATMENT OF ERECTILE DYSFUNCTION
U-1550,METHOD OF TREATING METASTATIC PAPILLARY RENAL CELL CARCINOMA WITH TEMSIROLIMUS.
U-1551,"METHOD OF TREATING PAPILLARY RENAL CELL CARCINOMA WITH TEMSIROLIMUS, IN THE ABSENCE OF INTERFERON ALPHA."
U-1552,FOR HEALING OF ALL GRADES OF EROSIVE ESOPHAGITIS (EE)
U-1553,TO MAINTAIN HEALING OF EE AND RELIEF OF HEARTBURN
U-1554,FOR THE TREATMENT OF HEARTBURN ASSOCIATED WITH SYMPTOMATIC NON-EROSIVE GASTROESOPHAGEAL DISEASE (GERD)
U-1555,"MANAGEMENT OF MODERATE TO SEVERE PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG-TERM OPIOID TREATMENT AND FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE."
U-1556,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG-TERM OPIOID TREATMENT AND FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE"
U-1557,A METHOD OF TESTOSTERONE REPLACEMENT THERAPY COMPRISING THE STEP OF NASALLY ADMINISTERING TO A PATIENT IN NEED OF SUCH TREATMENT AN EFFECTIVE AMOUNT OF TESTOSTERONE GEL FORMULATION.
U-1558,FOR THE TREATMENT OF PATIENTS WITH RELAPSED FOLLICULAR B-CELL NON-HODGKIN LYMPHOMA OR [RELAPSED] SMALL LYMPHOCYTIC LYMPHOMA
U-1559,INDICATED FOR THE ONCE-DAILY MAINTENANCE TREATMENT OF ASTHMA AS PROPHYLACTIC THERAPY IN PATIENTS AGED 12 YEARS OF AGE AND OLDER
U-156,METHOD OF PROVIDING ANESTHESIA
U-1560,"A METHOD OF DISRUPTING LEUKOCYTE FUNCTION, INCLUDING AS AN INHIBITOR OF PI3KDELTA KINASE"
U-1561,USE OF OTEZLA (APREMILAST) FOR THE TREATMENT OF PSORIATIC ARTHRITIS
U-1562,TREATMENT OF PATIENTS WITH HEPATIC ENCEPHALOPATHY (HE)
U-1563,A METHOD OF TRANSDERMAL ADMINISTRATION OF A PHYSIOLOGICALLY ACTIVE AGENT TO A SUBJECT.
U-1564,A METHOD OF TREATING GAUCHER'S DISEASE
U-1565,"METHOD OF TREATING, AS INITIAL LOADING DOSE FOR MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL ONSET-SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS OR OLDER WHEN ORAL ADMINISTRATION IS TEMPORARILY NOT FEASIBLE"
U-1566,"METHOD OF TREATING, AS MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL-ONSET SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS AND OLDER"
U-1567,"METHOD OF TREATING, AS INITIAL LOADING DOSE FOR MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL ONSET-SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS OR OLDER"
U-1568,"METHOD OF TREATING, AS MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL-ONSET SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS AND OLDER WHEN ORAL ADMINISTRATION IS TEMPORARILY NOT FEASIBLE"
U-1569,TREATMENT OF BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS
U-157,TREATMENT OF A HUMAN SUFFERING FROM VITAMIN B12 DEFICIENCY
U-1570,TREATMENT OF BACTERIAL SKIN AND SKIN STRUCTURE INFECTIONS USING A SINGLE DOSE
U-1571,TREATMENT OF GAUCHER DISEASE TYPE 1
U-1572,TREATMENT OF HUMAN IMMUNODEFICIENCY VIRUS (HIV) INFECTION.
U-1573,USE OF RUXOLITINIB (JAKAFI) FOR INHIBITING JANUS ASSOCIATED KINASES (JAKS) JAK1 AND/OR JAK2.
U-1574,A METHOD OF CATALYZING THE HYDROLYSIS OF GLUCOCEREBROSIDE TO GLUCOSE AND CERAMIDE.
U-1575,PATIENTS WITH SEVERE APLASTIC ANEMIA WHO HAVE HAD AN INSUFFICIENT RESPONSE TO IMMUNOSUPPRESSIVE THERAPY
U-1576,TREATMENT OF LEUKEMIA
U-1577,CONTROL OF SERUM PHOSPHOROUS LEVELS
U-1578,TREATMENT OF ACUTE OTITIS MEDIA
U-1579,USE IN COMBINATION WITH PREDNISONE FOR THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER
U-158,ANGINA
U-1580,USE IN COMBINATION WITH PREDNISONE FOR THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER WHO HAD RECEIVED PRIOR DOCETAXEL CHEMOTHERAPY
U-1581,IN COMBINATION WITH DABRAFENIB FOR THE TREATMENT OF UNRESECTABLE OR METASTATIC MELANOMA.
U-1582,TREATMENT OF UNRESECTABLE OR METASTATIC MELANOMA
U-1583,FOR CHRONIC WEIGHT MANAGEMENT FOR TREATING OVERWEIGHT OR OBESITY
U-1584,USE OF NALTREXONE AND BUPROPION IN A LAYERED FORMULATION FOR CHRONIC WEIGHT MANAGEMENT FOR AFFECTING WEIGHT LOSS
U-1585,USE OF NALTREXONE AND BUPROPION BASED ON AN ESCALATING DOSE SCHEDULE
U-1586,FOR EFFECT ON BLOOD GLUCOSE PARAMETERS IN PATIENTS WITH INSULIN RESISTANCE
U-1587,SINGLE-DOSE INFILTRATION INTO THE SURGICAL SITE TO PRODUCE POSTSURGICAL ANALGESIA.
U-1588,THE TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-RESISTANT PROSTATE CANCER (CRPC).
U-1589,METHOD OF USE FOR REDUCING BLOOD PHENYLALANINE LEVELS IN A HUMAN SUFFERING FROM HYPERPHENYLALANINEMIA
U-159,TREATMENT OF INTERSTITIAL CYSTITIS
U-1590,KUVAN IS INDICATED TO REDUCE BLOOD PHENYLALANINE LEVELS IN PATIENTS WITH HYPERPHENYLALANINEMIA
U-1591,TREATMENT OF ASTHMA IN PATIENTS AGED 12 YEARS AND OLDER
U-1592,TO REDUCE SERUM PHOSPHATE IN PATIENTS WITH END STAGE RENAL DISEASE
U-1593,"MAINTENANCE TREATMENT OF BRONCHOSPASM ASSOCIATED WITH COPD, INCLUDING CHRONIC BRONCHITIS AND EMPHYSEMA, AND REDUCTION OF EXACERBATIONS IN COPD PATIENTS."
U-1594,DILATION OF THE PUPIL
U-1595,USE OF OTEZLA (APREMILAST) FOR THE TREATMENT OF PSORIASIS
U-1596,LAMICTAL IS AN ANTIEPILEPTIC DRUG (AED) INDICATED FOR: EPILEPSY-ADJUNCTIVE THERAPY IN PATIENTS GREATER THAN OR EQUAL TO 2 YEARS OF AGE: (1.1) PARTIAL SEIZURES PRIMARY GENERALIZED TONIC-CLONIC SEIZURES
U-1597,TREATMENT OF DIABETIC MACULAR EDEMA
U-1598,METHOD OF ADMINISTRATION OF CONTROLLED RELEASE OXYMORPHONE
U-1599,"MANAGEMENT OF MILD TO MODERATE PAIN, MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADNUNCT TO OPIOID ANALGESICS, REDUCTION IN FEVER THROUGH ANTI INFLAMMATORY, ANALGESIC, AND ANTIPYRETIC ACTIVITY"
U-16,USE IN LUNG SCANNING PROCEDURES
U-160,TREATMENT OF BACTERIAL INFECTIOUS DISEASE
U-1600,DOSAGE MODIFICATION FOLLOWING ELEVATED LIVER ENZYMES IN TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS
U-1601,DOSE ESCALATION OVER 14 DAYS FOR TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS
U-1602,METHOD OF ADMINISTERING PIRFENIDONE CAPSULES TO TREAT A FIBROTIC CONDITION
U-1603,METHOD FOR ADMINISTERING PIRFENIDONE TO REDUCE DRUG INTERACTIONS WITH FLUVOXAMINE
U-1604,METHOD FOR ADMINISTERING PIRFENIDONE TO REDUCE DRUG INTERACTIONS WITH A STRONG INHIBITOR OF CYP1A2
U-1605,METHOD FOR ADMINISTERING PIRFENIDONE TO AVOID REDUCED EFFICACY BY DISCONTINUING SMOKING OR BY DISCONTINUING OR AVOIDING ANOTHER STRONG CYP1A2 INDUCER
