protein_class_id,protein_class_desc,l1,l2,l3,l4,l5,l6,l7,l8
237,enzyme  kinase  protein kinase  cmgc  cdk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,,,
239,enzyme  kinase  protein kinase  cmgc  gsk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase GSK family,,,
240,enzyme  kinase  protein kinase  tkl  lrrk,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase LRRK family,,,
241,enzyme  kinase  protein kinase  tkl  ripk,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase RIPK family,,,
242,enzyme  kinase  protein kinase  tk  src  srca,Enzyme,Kinase,Protein Kinase,TK protein kinase group,Tyrosine protein kinase Src family,Tyrosine protein kinase SrcA,,
243,ion channel  lgic  enac,Ion channel,Ligand-gated ion channel,Epithelial sodium channel,,,,,
245,enzyme  kinase  protein kinase  camk  dapk,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase DAPK family,,,
246,enzyme  kinase  protein kinase  camk  mlck,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase MLCK family,,,
247,enzyme  kinase  protein kinase  camk  tssk,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase TSSK family,,,
248,enzyme  kinase  protein kinase  cmgc  cdkl,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDKL family,,,
249,enzyme  kinase  protein kinase  cmgc  mapk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,,,
250,enzyme  kinase  protein kinase  cmgc  srpk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase SRPK family,,,
251,enzyme  kinase  protein kinase  other  aur,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase AUR family,,,
252,enzyme  kinase  protein kinase  other  ck2,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase CK2 family,,,
253,enzyme  kinase  protein kinase  other  ikk,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase IKK family,,,
254,enzyme  kinase  protein kinase  other  mos,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase MOS family,,,
255,enzyme  kinase  protein kinase  other  nak,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase NAK family,,,
256,enzyme  kinase  protein kinase  other  nek,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase NEK family,,,
257,enzyme  kinase  protein kinase  other  plk,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase PLK family,,,
258,enzyme  kinase  protein kinase  other  ulk,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase ULK family,,,
259,enzyme  kinase  protein kinase  other  wee,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase WEE family,,,
260,enzyme  kinase  protein kinase  other  wnk,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase Wnk family,,,
261,enzyme  kinase  protein kinase  ste  ste11,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE11 family,,,
262,enzyme  kinase  protein kinase  ste  ste20,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,,,
269,enzyme  kinase  protein kinase  camk  camk2,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK2 family,,,
270,enzyme  kinase  protein kinase  camk  rad53,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase RAD53 family,,,
271,enzyme  kinase  protein kinase  other  cdc7,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase CDC7 family,,,
272,enzyme  kinase  protein kinase  other  nkf1,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase NKF1 family,,,
273,enzyme  kinase  protein kinase  other  topk,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase TOPK family,,,
279,enzyme  phosphatase  protein phosphatase  ser_thr_tyr,Enzyme,Phosphatase,Protein Phosphatase,Serine/threonine/tyrosine protein phosphatase,,,,
281,membrane receptor  7tm3  ion  calcium sensing receptor  calcium sensing receptor,Membrane receptor,Family C G protein-coupled receptor,Ion receptor (family C GPCR),Calcium sensing receptor,Calcium sensing receptor,,,
283,enzyme  kinase  protein kinase  agc  grk  grk,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase GRK family,AGC protein kinase GRK subfamily,,
286,enzyme  kinase  protein kinase  agc  pkc  eta,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKC family,AGC protein kinase PKC eta subfamily,,
287,enzyme  kinase  protein kinase  agc  rsk  msk,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase RSK family,AGC protein kinase MSK subfamily,,
288,enzyme  kinase  protein kinase  agc  rsk  p70,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase RSK family,AGC protein kinase p70 subfamily,,
289,enzyme  kinase  protein kinase  agc  rsk  rsk,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase RSK family,AGC protein kinase RSK subfamily,,
291,enzyme  kinase  protein kinase  atypical  bcr,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Atypical protein kinase BCR family,,,
292,enzyme  kinase  protein kinase  other  bud 32,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase Bud32 family,,,
293,enzyme  kinase  protein kinase  other  haspin,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase Haspin family,,,
294,enzyme  kinase  protein kinase  tkl  mlk  ilk,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase MLK family,TKL protein kinase ILK subfamily,,
295,enzyme  kinase  protein kinase  tkl  mlk  lzk,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase MLK family,TKL protein kinase LZK subfamily,,
297,enzyme  kinase  protein kinase  cmgc  clk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CLK family,,,
298,enzyme  kinase  protein kinase  ste  ste7,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE7 family,,,
301,enzyme  kinase  protein kinase  agc  dmpk  gek,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase DMPK family,AGC protein kinase GEK subfamily,,
302,enzyme  kinase  protein kinase  agc  grk  bark,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase GRK family,AGC protein kinase BARK subfamily,,
303,enzyme  kinase  protein kinase  agc  pkc  iota,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKC family,AGC protein kinase PKC iota subfamily,,
304,enzyme  kinase  protein kinase  agc  pkc  theta,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKC family,AGC protein kinase PKC theta,,
305,enzyme  kinase  protein kinase  atypical  pikk,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Atypical protein kinase PIKK family,,,
306,enzyme  kinase  protein kinase  cmgc  rck  mak,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase RCK family,CMGC protein kinase MAK,,
307,enzyme  kinase  protein kinase  tkl  mlk  tak1,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase MLK family,TKL protein kinase TAK1 subfamily,,
308,enzyme  kinase  protein kinase  other  ttk,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase TTK family,,,
310,enzyme  phosphatase  protein phosphatase  tyr  receptor,Enzyme,Phosphatase,Protein Phosphatase,Tyrosine protein phosphatase,Receptor tyrosine-protein phosphatase,,,
314,enzyme  kinase  protein kinase  agc  dmpk  crik,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase DMPK family,AGC protein kinase CRIK subfamily,,
315,enzyme  kinase  protein kinase  agc  dmpk  rock,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase DMPK family,AGC protein kinase ROCK subfamily,,
317,enzyme  kinase  protein kinase  agc  pkc  alpha,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKC family,AGC protein kinase PKC alpha subfamily,,
318,enzyme  kinase  protein kinase  agc  pkc  delta,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase PKC family,AGC protein kinase PKC delta subfamily,,
320,enzyme  kinase  protein kinase  atypical  alpha,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Atypical protein kinase alpha family,,,
321,enzyme  kinase  protein kinase  ck1  ck1  ck1-a,Enzyme,Kinase,Protein Kinase,CK1 protein kinase group,CK1 protein kinase CK1 family,CK1 protein kinase CK1-a,,
322,enzyme  kinase  protein kinase  ck1  ck1  ck1-g,Enzyme,Kinase,Protein Kinase,CK1 protein kinase group,CK1 protein kinase CK1 family,CK1 protein kinase CK1-g,,
323,enzyme  kinase  protein kinase  cmgc  cdk  cdc2,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase CDC2 subfamily,,
324,enzyme  kinase  protein kinase  cmgc  cdk  cdk2,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase CDK2,,
325,enzyme  kinase  protein kinase  cmgc  cdk  cdk5,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase CDK5 subfamily,,
326,enzyme  kinase  protein kinase  cmgc  cdk  cdk7,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase CDK7 subfamily,,
327,enzyme  kinase  protein kinase  cmgc  cdk  cdk8,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase CDK8 subfamily,,
328,enzyme  kinase  protein kinase  cmgc  cdk  cdk9,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase CDK9 subfamily,,
329,enzyme  kinase  protein kinase  cmgc  mapk  erk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,CMGC protein kinase ERK subfamily,,
330,enzyme  kinase  protein kinase  cmgc  mapk  jnk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,CMGC protein kinase JNK subfamily,,
331,enzyme  kinase  protein kinase  cmgc  mapk  nmo,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,CMGC protein kinase nmo subfamily,,
332,enzyme  kinase  protein kinase  cmgc  mapk  p38,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,CMGC protein kinase p38 subfamily,,
334,enzyme  kinase  protein kinase  other  pek  hri,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase PEK family,Other protein kinase HRI,,
335,enzyme  kinase  protein kinase  other  pek  pek,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase PEK family,Other protein kinase PEK subfamily,,
336,enzyme  kinase  protein kinase  other  pek  pkr,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase PEK family,Other protein kinase PKR,,
340,enzyme  kinase  protein kinase  ste  ste11  ask,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE11 family,STE protein kinase ASK,,
341,enzyme  kinase  protein kinase  ste  ste20  khs,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase KHS subfamily,,
342,enzyme  kinase  protein kinase  ste  ste20  msn,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase MSN subfamily,,
343,enzyme  kinase  protein kinase  ste  ste20  mst,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase MST subfamily,,
344,enzyme  kinase  protein kinase  ste  ste20  slk,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase SLK subfamily,,
345,enzyme  kinase  protein kinase  ste  ste20  tao,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase TAO subfamily,,
346,enzyme  kinase  protein kinase  ste  ste20  ysk,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase YSK subfamily,,
348,enzyme  kinase  protein kinase  tkl  lisk  limk,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase LISK family,TKL protein kinase LIMK subfamily,,
349,enzyme  kinase  protein kinase  tkl  mlk  hh498,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase MLK family,TKL protein kinase HH498 subfamily,,
352,transcription factor  nuclear receptor  nr1  nr1a  nr1a1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group A,Nuclear hormone receptor subfamily 1 group A member 1,,,
353,transcription factor  nuclear receptor  nr1  nr1a  nr1a2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group A,Nuclear hormone receptor subfamily 1 group A member 2,,,
354,transcription factor  nuclear receptor  nr1  nr1b  nr1b1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group B,Nuclear hormone receptor subfamily 1 group B member 1,,,
355,transcription factor  nuclear receptor  nr1  nr1b  nr1b2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group B,Nuclear hormone receptor subfamily 1 group B member 2,,,
356,transcription factor  nuclear receptor  nr1  nr1b  nr1b3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group B,Nuclear hormone receptor subfamily 1 group B member 3,,,
357,transcription factor  nuclear receptor  nr1  nr1c  nr1c1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group C,Nuclear hormone receptor subfamily 1 group C member 1,,,
358,transcription factor  nuclear receptor  nr1  nr1c  nr1c2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group C,Nuclear hormone receptor subfamily 1 group C member 2,,,
359,transcription factor  nuclear receptor  nr1  nr1c  nr1c3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group C,Nuclear hormone receptor subfamily 1 group C member 3,,,
360,transcription factor  nuclear receptor  nr1  nr1h  nr1h1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group H,Nuclear hormone receptor subfamily 1 group H member 1,,,
361,transcription factor  nuclear receptor  nr1  nr1h  nr1h3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group H,Nuclear hormone receptor subfamily 1 group H member 3,,,
362,transcription factor  nuclear receptor  nr1  nr1h  nr1h4,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group H,Nuclear hormone receptor subfamily 1 group H member 4,,,
363,transcription factor  nuclear receptor  nr1  nr1i  nr1i1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group I,Nuclear hormone receptor subfamily 1 group I member 1,,,
364,transcription factor  nuclear receptor  nr1  nr1i  nr1i2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group I,Nuclear hormone receptor subfamily 1 group I member 2,,,
365,transcription factor  nuclear receptor  nr1  nr1i  nr1i3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 1,Nuclear hormone receptor subfamily 1 group I,Nuclear hormone receptor subfamily 1 group I member 3,,,
366,transcription factor  nuclear receptor  nr2  nr2b  nr2b1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group B,Nuclear hormone receptor subfamily 2 group B member 1,,,
367,transcription factor  nuclear receptor  nr2  nr2b  nr2b2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group B,Nuclear hormone receptor subfamily 2 group B member 2,,,
368,transcription factor  nuclear receptor  nr2  nr2b  nr2b3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group B,Nuclear hormone receptor subfamily 2 group B member 3,,,
369,transcription factor  nuclear receptor  nr2  nr2e  nr2e3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 2,Nuclear hormone receptor subfamily 2 group E,Nuclear hormone receptor subfamily 2 group E member 3,,,
370,transcription factor  nuclear receptor  nr3  nr3a  nr3a1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group A,Nuclear hormone receptor subfamily 3 group A member 1,,,
371,transcription factor  nuclear receptor  nr3  nr3a  nr3a2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group A,Nuclear hormone receptor subfamily 3 group A member 2,,,
372,transcription factor  nuclear receptor  nr3  nr3b  nr3b1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group B,Nuclear hormone receptor subfamily 3 group B member 1,,,
373,transcription factor  nuclear receptor  nr3  nr3b  nr3b2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group B,Nuclear hormone receptor subfamily 3 group B member 2,,,
374,transcription factor  nuclear receptor  nr3  nr3b  nr3b3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group B,Nuclear hormone receptor subfamily 3 group B member 3,,,
375,transcription factor  nuclear receptor  nr3  nr3c  nr3c1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Nuclear hormone receptor subfamily 3 group C member 1,,,
376,transcription factor  nuclear receptor  nr3  nr3c  nr3c2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Nuclear hormone receptor subfamily 3 group C member 2,,,
377,transcription factor  nuclear receptor  nr3  nr3c  nr3c3,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Nuclear hormone receptor subfamily 3 group C member 3,,,
378,transcription factor  nuclear receptor  nr3  nr3c  nr3c4,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 3,Nuclear hormone receptor subfamily 3 group C,Nuclear hormone receptor subfamily 3 group C member 4,,,
379,transcription factor  nuclear receptor  nr5  nr5a  nr5a1,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 5,Nuclear hormone receptor subfamily 5 group A,Nuclear hormone receptor subfamily 5 group A member 1,,,
380,transcription factor  nuclear receptor  nr5  nr5a  nr5a2,Transcription factor,Nuclear receptor,Nuclear hormone receptor subfamily 5,Nuclear hormone receptor subfamily 5 group A,Nuclear hormone receptor subfamily 5 group A member 2,,,
382,enzyme  kinase  protein kinase  agc  rsk  rskp70,Enzyme,Kinase,Protein Kinase,AGC protein kinase group,AGC protein kinase RSK family,AGC protein kinase RSKp70,,
383,enzyme  kinase  protein kinase  camk  camkl  lkb,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase LKB subfamily,,
384,enzyme  kinase  protein kinase  camk  camkl  qik,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase QIK subfamily,,
385,enzyme  kinase  protein kinase  camk  rskb  mskb,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase RSKb family,CAMK protein kinase MSKb subfamily,,
386,enzyme  kinase  protein kinase  camk  rskb  rskb,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase RSKb family,CAMK protein kinase RSKb subfamily,,
388,enzyme  kinase  protein kinase  cmgc  cdk  taire,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase TAIRE subfamily,,
390,enzyme  kinase  protein kinase  cmgc  dyrk  hipk,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase DYRK family,CMGC protein kinase HIPK subfamily,,
391,enzyme  kinase  protein kinase  cmgc  mapk  erk1,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,CMGC protein kinase ERK1,,
392,enzyme  kinase  protein kinase  cmgc  mapk  erk3,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,CMGC protein kinase ERK3,,
393,enzyme  kinase  protein kinase  cmgc  mapk  erk5,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase MAPK family,CMGC protein kinase ERK5,,
395,enzyme  kinase  protein kinase  other  nek  nek1,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase NEK family,Other protein kinase Nek1,,
396,enzyme  kinase  protein kinase  other  pek  gcn2,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase PEK family,Other protein kinase GCN2 subfamily,,
397,enzyme  kinase  protein kinase  other  plk  plk2,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase PLK family,Other protein kinase PLK2,,
398,enzyme  kinase  protein kinase  other  wee  wee1,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase WEE family,Other protein kinase WEE1,,
400,enzyme  kinase  protein kinase  ste  ste20  fray,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase FRAY subfamily,,
401,enzyme  kinase  protein kinase  ste  ste20  paka,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase PAKA subfamily,,
402,enzyme  kinase  protein kinase  ste  ste20  pakb,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase PAKB subfamily,,
403,enzyme  kinase  protein kinase  tkl  stkr  stkr1,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase STKR family,TKL protein kinase STKR1,,
404,enzyme  kinase  protein kinase  tkl  stkr  type1,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase STKR family,TKL protein kinase STKR Type 1 subfamily,,
405,enzyme  kinase  protein kinase  tkl  stkr  type2,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase STKR family,TKL protein kinase STKR Type 2 subfamily,,
406,ion channel  lgic  ach  chrn beta,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor beta subunit,,,,
407,membrane receptor  7tm2  peptide  parathyroid hormone receptor  parathyroid hormone receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Parathyroid hormone receptor,Parathyroid hormone receptor,,,
409,enzyme  kinase  protein kinase  camk  camkl  ampk,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase AMPK subfamily,,
410,enzyme  kinase  protein kinase  camk  camkl  brsk,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase BRSK subfamily,,
411,enzyme  kinase  protein kinase  camk  camkl  chk1,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase CHK1 subfamily,,
412,enzyme  kinase  protein kinase  camk  camkl  mark,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase MARK subfamily,,
413,enzyme  kinase  protein kinase  camk  camkl  melk,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase MELK subfamily,,
414,enzyme  kinase  protein kinase  camk  camkl  nim1,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase NIM1 subfamily,,
415,enzyme  kinase  protein kinase  camk  camkl  nuak,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase NuaK subfamily,,
416,enzyme  kinase  protein kinase  camk  camkl  pask,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase CAMK1 family,CAMK protein kinase PASK subfamily,,
417,enzyme  kinase  protein kinase  other  nek  nek11,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase NEK family,Other protein kinase Nek11,,
419,enzyme  kinase  protein kinase  ste  ste11  mekk2,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE11 family,STE protein kinase MEKK2,,
420,enzyme  kinase  protein kinase  ste  ste20  ninac,Enzyme,Kinase,Protein Kinase,STE protein kinase group,STE protein kinase STE20 family,STE protein kinase NinaC subfamily,,
421,enzyme  kinase  protein kinase  tkl  mlk  mlk,Enzyme,Kinase,Protein Kinase,TKL protein kinase group,TKL protein kinase MLK family,TKL protein kinase MLK subfamily,,
422,ion channel  lgic  ach  chrn alpha,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor alpha subunit,,,,
423,ion channel  lgic  ach  chrn delta,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor delta subunit,,,,
424,ion channel  lgic  ach  chrn gamma,Ion channel,Ligand-gated ion channel,Nicotinic acetylcholine receptor,Nicotinic acetylcholine receptor gamma subunit,,,,
428,enzyme  kinase  protein kinase  camk  mapkapk  mnk,Enzyme,Kinase,Protein Kinase,CAMK protein kinase group,CAMK protein kinase MAPKAPK family,CAMK protein kinase MNK subfamily,,
429,enzyme  kinase  protein kinase  cmgc  cdk  pctaire,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase PCTAIRE,,
430,enzyme  kinase  protein kinase  cmgc  cdk  pftaire,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase PFTAIRE,,
431,enzyme  kinase  protein kinase  cmgc  cdk  pitslre,Enzyme,Kinase,Protein Kinase,CMGC protein kinase group,CMGC protein kinase CDK family,CMGC protein kinase PITSLRE subfamily,,
432,enzyme  kinase  protein kinase  other  camkk  meta,Enzyme,Kinase,Protein Kinase,Other protein kinase group,Other protein kinase CAMKK family,Other protein kinase Meta subfamily,,
435,membrane receptor  7tm2  peptide  glucagon-like  glucagon-like peptide receptor,Membrane receptor,Family B G protein-coupled receptor,Peptide receptor (family B GPCR),Glucagon-like receptor,Glucagon-like peptide receptor,,,
437,enzyme  kinase  protein kinase  atypical  rio  rio1,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Atypical protein kinase RIO family,Atypical protein kinase RIO1 subfamily,,
438,enzyme  kinase  protein kinase  atypical  rio  rio2,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Atypical protein kinase RIO family,Atypical protein kinase RIO2 subfamily,,
439,enzyme  kinase  protein kinase  atypical  rio  rio3,Enzyme,Kinase,Protein Kinase,Atypical protein kinase group,Atypical protein kinase RIO family,Atypical protein kinase RIO3 subfamily,,
