protclasssyn_id,protein_class_id,protein_class_synonym,syn_type
36650,1275,PTHRP RECEPT,CONCEPT_WIKI
36651,1275,Parathyroid Hormone-Like Peptide Receptor,UMLS
36652,1275,PTH PTHrP Receptor,UMLS
36653,1275,PTHLP RECEPT,UMLS
36654,1275,Parathyroid Hormone-Related Peptide Receptor,UMLS
36655,1275,"Receptor, Parathyroid Hormone",UMLS
36656,1275,RECEPT PARATHYROID HORMONE LIKE PEPTIDE,UMLS
36657,1275,PTH Related Protein Receptor,UMLS
36658,1275,PARATHYROID HORMONE RECEPT 1,UMLS
36659,1275,PTH-PTHrP Receptor,UMLS
36660,1275,PARATHYROID HORMONE RECEPT TYPE 1,UMLS
36661,1275,PTH Related Peptide Receptor,UMLS
36662,1275,"Receptor, PTH-Related Peptide",UMLS
36663,1275,Parathyroid Hormone Receptor,UMLS
36664,1275,PTHrP Receptor,UMLS
36665,1275,RECEPT PARATHYROID HORMONE TYPE 1,UMLS
36666,1275,PARATHYROID HORMONE RECEPTOR TYPE 01,UMLS
36667,1275,PTH PTHRP RECEPT,UMLS
36668,1275,"Receptor, Parathyroid Hormone-Like Peptide",UMLS
36669,1275,"Receptor, PTH-Related Protein",UMLS
36670,1275,Parathyroid Hormone Receptor Type I,UMLS
36671,1275,RECEPTOR PARATHYROID HORMONE TYPE 01,UMLS
36672,1275,Parathyroid Hormone Like Peptide Receptor,UMLS
36673,1275,PTH-Related Protein Receptor,UMLS
36674,1275,PTHLP Receptor,UMLS
36675,1275,"Receptor, PTHrP",UMLS
36676,1275,"Receptor, PTH-PTHrP",UMLS
36677,1275,PARATHYROID HORMONE LIKE PEPTIDE RECEPT,UMLS
36678,1275,PTH-Related Peptide Receptor,UMLS
36679,1275,"Receptor, PTHLP",UMLS
36680,1275,Parathyroid Hormone Receptor Type 1,UMLS
36681,1275,PTH RELAT PROTEIN RECEPT,UMLS
36682,1275,Parathyroid Hormone Receptor 1,UMLS
36683,1275,"Receptor, Parathyroid Hormone, Type 1",UMLS
36684,1275,Parathyroid Hormone Related Peptide Receptor,UMLS
36685,1275,PARATHYROID HORMONE RELATED PEPTIDE RECEPT,UMLS
36686,1275,PTHRP RECEPT,UMLS
36687,1275,ConceptWiki:a9b7378f-1d71-4ade-8284-2fc2f2494002,CW_XREF
36688,1275,MESH:D044168,MESH_XREF
36689,1277,"Receptors, Vasoactive Intestinal Peptide",CONCEPT_WIKI
36690,1277,Vasoactive Intestinal Peptide Receptors,CONCEPT_WIKI
36691,1277,"Receptors, VIP",CONCEPT_WIKI
36693,1277,Vasoactive Intestinal Peptide Receptor,CONCEPT_WIKI
36694,1277,"Receptor, VIP",CONCEPT_WIKI
36695,1277,VIP Receptor,CONCEPT_WIKI
36696,1277,RECEPT VIP,CONCEPT_WIKI
36697,1277,VIP Receptors,CONCEPT_WIKI
36698,1277,RECEPT VASOACTIVE INTESTINAL PEPTIDE,CONCEPT_WIKI
36699,1277,VASOACTIVE INTESTINAL PEPTIDE RECEPT,CONCEPT_WIKI
36700,1277,VIP RECEPT,CONCEPT_WIKI
36701,1277,Vasoactive Intestinal Peptide Receptors,UMLS
36702,1277,"Receptors, Vasoactive Intestinal Peptide",UMLS
36703,1277,"Receptors, VIP",UMLS
36704,1277,"Receptor, VIP",UMLS
36705,1277,Vasoactive Intestinal Peptide Receptor,UMLS
36706,1277,VIP Receptor,UMLS
36707,1277,RECEPT VIP,UMLS
36708,1277,VASOACTIVE INTESTINAL PEPTIDE RECEPT,UMLS
36709,1277,RECEPT VASOACTIVE INTESTINAL PEPTIDE,UMLS
36710,1277,VIP Receptors,UMLS
36711,1277,VIP RECEPT,UMLS
36712,1277,ConceptWiki:f357a872-77ed-42d1-9a76-24372d6683b1,CW_XREF
36713,1277,MESH:D018005,MESH_XREF
36714,1278,"Receptors, Corticotropin-Releasing Hormone",CONCEPT_WIKI
36715,1278,CORTICOTROPIN RELEASING HORMONE RECEPT,CONCEPT_WIKI
36716,1278,RECEPT CRH,CONCEPT_WIKI
36717,1278,RECEPT CORTICOTROPIN RELEASING HORMONE,CONCEPT_WIKI
36718,1278,"Receptors, Corticotropin Releasing Hormone",CONCEPT_WIKI
36719,1278,"Releasing-Hormone Receptors, Corticotropin",CONCEPT_WIKI
36720,1278,"Releasing-Hormone Receptor, Corticotropin",CONCEPT_WIKI
36721,1278,CRF Receptor,CONCEPT_WIKI
36722,1278,CORTICOTROPIN RELEASING FACTOR RECEPT,CONCEPT_WIKI
36723,1278,CRF RECEPT,CONCEPT_WIKI
36724,1278,Corticotropin Releasing-Hormone Receptor,CONCEPT_WIKI
36725,1278,"Receptors, Corticotropin Releasing-Hormone",CONCEPT_WIKI
36726,1278,"Releasing-Factor Receptors, Corticotropin",CONCEPT_WIKI
36727,1278,"Hormone Receptors, Corticotropin-Releasing",CONCEPT_WIKI
36728,1278,Corticotropin Releasing Hormone Receptors,CONCEPT_WIKI
36729,1278,"Receptors, CRF",CONCEPT_WIKI
36730,1278,"Receptors, Corticotropin Releasing-Factor",CONCEPT_WIKI
36732,1278,Corticotropin Releasing Factor Receptors,CONCEPT_WIKI
36733,1278,CRH Receptor,CONCEPT_WIKI
36734,1278,CRH RECEPT,CONCEPT_WIKI
36735,1278,"Receptor, Corticotropin Releasing-Hormone",CONCEPT_WIKI
36736,1278,Corticotropin-Releasing Hormone Receptors,CONCEPT_WIKI
36737,1278,"Receptor, CRH",CONCEPT_WIKI
36738,1278,"Receptors, CRH",CONCEPT_WIKI
36739,1278,Corticotropin Releasing-Hormone Receptors,CONCEPT_WIKI
36740,1278,CRF Receptors,CONCEPT_WIKI
36741,1278,CRH Receptors,CONCEPT_WIKI
36742,1278,Corticotropin Releasing-Factor Receptors,CONCEPT_WIKI
36743,1278,RECEPT CRF,CONCEPT_WIKI
36744,1278,Corticotropin Releasing Hormone Receptor,CONCEPT_WIKI
36745,1278,"Receptor, CRF",CONCEPT_WIKI
36746,1278,CORTICOTROPIN RELEASING HORMONE RECEPT,UMLS
36747,1278,RECEPT CRH,UMLS
36748,1278,RECEPT CORTICOTROPIN RELEASING HORMONE,UMLS
36749,1278,"Receptors, Corticotropin Releasing Hormone",UMLS
36750,1278,"Releasing-Hormone Receptors, Corticotropin",UMLS
36751,1278,"Releasing-Hormone Receptor, Corticotropin",UMLS
36752,1278,Corticotropin Releasing-Hormone Receptor,UMLS
36753,1278,CRF Receptor,UMLS
36754,1278,CRF RECEPT,UMLS
36755,1278,CORTICOTROPIN RELEASING FACTOR RECEPT,UMLS
36756,1278,"Receptors, Corticotropin Releasing-Hormone",UMLS
36757,1278,"Releasing-Factor Receptors, Corticotropin",UMLS
36758,1278,"Hormone Receptors, Corticotropin-Releasing",UMLS
36759,1278,Corticotropin Releasing Hormone Receptors,UMLS
36760,1278,"Receptors, CRF",UMLS
36761,1278,"Receptors, Corticotropin Releasing-Factor",UMLS
36762,1278,"Receptors, Corticotropin-Releasing Hormone",UMLS
36763,1278,Corticotropin Releasing Factor Receptors,UMLS
36764,1278,CRH Receptor,UMLS
36765,1278,CRH RECEPT,UMLS
36766,1278,"Receptor, Corticotropin Releasing-Hormone",UMLS
36767,1278,Corticotropin-Releasing Hormone Receptors,UMLS
36768,1278,"Receptor, CRH",UMLS
36769,1278,"Receptors, CRH",UMLS
36770,1278,Corticotropin Releasing-Hormone Receptors,UMLS
36771,1278,CRF Receptors,UMLS
36772,1278,CRH Receptors,UMLS
36773,1278,Corticotropin Releasing-Factor Receptors,UMLS
36774,1278,Corticotropin Releasing Hormone Receptor,UMLS
36775,1278,RECEPT CRF,UMLS
36776,1278,"Receptor, CRF",UMLS
36777,1278,ConceptWiki:6c3463ee-7f09-4cc8-a822-5416fb058782,CW_XREF
36778,1278,MESH:D018019,MESH_XREF
36798,1285,Protein-tyrosine kinase,CONCEPT_WIKI
36799,1285,Protein-Tyrosine Kinases,CONCEPT_WIKI
36800,1285,"Kinases, Tyrosine Protein",CONCEPT_WIKI
36801,1285,ATP:protein-tyrosine O-phosphotransferase,CONCEPT_WIKI
36802,1285,"Kinase, Protein-Tyrosine",CONCEPT_WIKI
36803,1285,"Protein Kinase, Tyrosine-Specific",CONCEPT_WIKI
36804,1285,"Kinase, Tyrosine",CONCEPT_WIKI
36805,1285,"Kinase, Tyrosine Protein",CONCEPT_WIKI
36806,1285,"Protein Kinases, Tyrosine-Specific",CONCEPT_WIKI
36807,1285,"Kinases, Tyrosine-Specific Protein",CONCEPT_WIKI
36808,1285,"Kinase, Tyrosine-Specific Protein",CONCEPT_WIKI
36809,1285,Protein-Tyrosine Kinase,CONCEPT_WIKI
36810,1285,Tyrosine Protein Kinases,CONCEPT_WIKI
36811,1285,Tyrosine Specific Protein Kinases,CONCEPT_WIKI
36813,1285,Tyrosylprotein Kinase,CONCEPT_WIKI
36814,1285,"Protein Kinases, Tyrosine",CONCEPT_WIKI
36815,1285,Tyrosine-Specific Protein Kinases,CONCEPT_WIKI
36816,1285,"Kinases, Protein-Tyrosine",CONCEPT_WIKI
36817,1285,"Kinase, Tyrosylprotein",CONCEPT_WIKI
36818,1285,Protein Tyrosine Kinase,CONCEPT_WIKI
36819,1285,Tyrosine-Specific Protein Kinase,CONCEPT_WIKI
36820,1285,Protein Tyrosine Kinases,CONCEPT_WIKI
36821,1285,Tyrosine Specific Protein Kinase,CONCEPT_WIKI
36822,1285,Tyrosine Kinase,CONCEPT_WIKI
36823,1285,Tyrosine Protein Kinase,CONCEPT_WIKI
36824,1285,"Kinases, Tyrosine Protein",UMLS
36825,1285,"Kinase, Protein-Tyrosine",UMLS
36826,1285,ATP:protein-tyrosine O-phosphotransferase,UMLS
36827,1285,"Protein Kinase, Tyrosine-Specific",UMLS
36828,1285,"Kinase, Tyrosine Protein",UMLS
36829,1285,"Kinase, Tyrosine",UMLS
36830,1285,"Kinases, Tyrosine-Specific Protein",UMLS
36831,1285,"Protein Kinases, Tyrosine-Specific",UMLS
36832,1285,"Kinase, Tyrosine-Specific Protein",UMLS
36833,1285,Protein-Tyrosine Kinase,UMLS
36834,1285,Tyrosine Protein Kinases,UMLS
36835,1285,Tyrosine Specific Protein Kinases,UMLS
36836,1285,Protein-Tyrosine Kinases,UMLS
36837,1285,Tyrosylprotein Kinase,UMLS
36838,1285,"Protein Kinases, Tyrosine",UMLS
36839,1285,Tyrosine-Specific Protein Kinases,UMLS
36840,1285,"Kinases, Protein-Tyrosine",UMLS
36841,1285,"Kinase, Tyrosylprotein",UMLS
36842,1285,Protein Tyrosine Kinase,UMLS
36843,1285,Tyrosine-Specific Protein Kinase,UMLS
36844,1285,Protein Tyrosine Kinases,UMLS
36845,1285,Tyrosine Specific Protein Kinase,UMLS
36846,1285,Tyrosine Kinase,UMLS
36847,1285,Tyrosine Protein Kinase,UMLS
36848,1285,ConceptWiki:751c4736-0412-4d12-a43d-27ba2a72ef0d,CW_XREF
36849,1285,MESH:D011505,MESH_XREF
36850,1289,AGC kinase group,CONCEPT_WIKI
36851,129,Serine/threonine-protein kinase regulatory subunit,CONCEPT_WIKI
36852,13,Camphor 5-Monooxygenase,CONCEPT_WIKI
36853,13,Cytochrome P450-cam,CONCEPT_WIKI
36854,13,Cytochrome P 450 cam,CONCEPT_WIKI
36855,13,Cytochrome P 450 101,CONCEPT_WIKI
36856,13,Camphor 5 Monooxygenase,CONCEPT_WIKI
36857,13,Camphor-5-Monooxygenase,CONCEPT_WIKI
36858,13,P450cam,CONCEPT_WIKI
36860,13,Cytochrome P-450 101,CONCEPT_WIKI
36861,13,Cytochrome P-450(cam),CONCEPT_WIKI
36862,13,Cytochrome P-450-cam,CONCEPT_WIKI
36863,13,Cytochrome P450(cam),CONCEPT_WIKI
36864,13,CYTOCHROME P 450 CAM,CONCEPT_WIKI
36865,13,CAMPHOR MONOOXYGENASE 005,CONCEPT_WIKI
36866,13,CYP101,CONCEPT_WIKI
36867,13,Cytochrome P 450 cam,UMLS
36868,13,Camphor 5 Monooxygenase,UMLS
36869,13,Cytochrome P 450 101,UMLS
36870,13,Camphor-5-Monooxygenase,UMLS
36871,13,P450cam,UMLS
36872,13,Camphor 5-Monooxygenase,UMLS
36873,13,Cytochrome P-450 101,UMLS
36874,13,Cytochrome P-450(cam),UMLS
36875,13,Cytochrome P-450-cam,UMLS
36876,13,Cytochrome P450(cam),UMLS
36877,13,CYTOCHROME P 450 CAM,UMLS
36878,13,CAMPHOR MONOOXYGENASE 005,UMLS
36879,13,CYP101,UMLS
36880,13,ConceptWiki:aababde3-9914-4f2b-ba78-8f172e07251c,CW_XREF
36881,13,MESH:D019475,MESH_XREF
36882,130,Tyrosine-protein kinase Abl,CONCEPT_WIKI
36885,130,ConceptWiki:6b03753d-b540-4751-ae8d-bf6b0f520c29,CW_XREF
36886,1301,Cell Kinase 1 group,CONCEPT_WIKI
36887,131,Tyrosine-protein kinase Ack,CONCEPT_WIKI
36888,1315,Receptor Guanylate Cyclase,CONCEPT_WIKI
36889,1315,"Receptors, Guanylate Cyclase-Coupled",CONCEPT_WIKI
36891,1315,RECEPT GUANULATE CYCLASE COUPLED,CONCEPT_WIKI
36892,1315,"Receptors, Guanylate Cyclase Coupled",CONCEPT_WIKI
36893,1315,"Cyclase Receptors, Guanylyl",CONCEPT_WIKI
36894,1315,"Receptors, Guanylyl Cyclase",CONCEPT_WIKI
36895,1315,Guanylyl Cyclase Linked Receptors,CONCEPT_WIKI
36896,1315,GUANYLYL CYCLASE RECEPT,CONCEPT_WIKI
36897,1315,"Receptors, Guanylyl Cyclase-Linked",CONCEPT_WIKI
36898,1315,GUANYLYL CYCLASE LINKED RECEPT,CONCEPT_WIKI
36899,1315,Guanylate Cyclase Coupled Receptors,CONCEPT_WIKI
36900,1315,GUANULATE CYCLASE COUPLED RECEPT,CONCEPT_WIKI
36901,1315,Guanylyl Cyclase-Linked Receptors,CONCEPT_WIKI
36902,1315,"Cyclase-Coupled Receptors, Guanylate",CONCEPT_WIKI
36903,1315,"Cyclase-Linked Receptors, Guanylyl",CONCEPT_WIKI
36904,1315,Guanylyl Cyclase Receptors,CONCEPT_WIKI
36905,1315,Guanylate Cyclase-Coupled Receptors,CONCEPT_WIKI
36906,1315,"Receptors, Guanylate Cyclase-Coupled",UMLS
36907,1315,RECEPT GUANULATE CYCLASE COUPLED,UMLS
36908,1315,"Receptors, Guanylate Cyclase Coupled",UMLS
36909,1315,"Cyclase Receptors, Guanylyl",UMLS
36910,1315,"Receptors, Guanylyl Cyclase",UMLS
36911,1315,Guanylyl Cyclase Linked Receptors,UMLS
36912,1315,GUANYLYL CYCLASE RECEPT,UMLS
36913,1315,"Receptors, Guanylyl Cyclase-Linked",UMLS
36914,1315,Guanylate Cyclase Coupled Receptors,UMLS
36915,1315,GUANYLYL CYCLASE LINKED RECEPT,UMLS
36916,1315,GUANULATE CYCLASE COUPLED RECEPT,UMLS
36917,1315,Guanylyl Cyclase-Linked Receptors,UMLS
36918,1315,"Cyclase-Coupled Receptors, Guanylate",UMLS
36919,1315,"Cyclase-Linked Receptors, Guanylyl",UMLS
36920,1315,Guanylyl Cyclase Receptors,UMLS
36921,1315,Guanylate Cyclase-Coupled Receptors,UMLS
36922,1315,ConceptWiki:d34c1a7d-dfd0-4737-a58f-3effe007a1d3,CW_XREF
36923,1315,MESH:D050705,MESH_XREF
36924,132,anaplastic lymphoma kinase receptor,CONCEPT_WIKI
36925,132,anaplastic lymphoma kinase,CONCEPT_WIKI
36926,132,anaplastic lymphoma receptor tyrosine kinase,CONCEPT_WIKI
36927,132,CD246 antigen,CONCEPT_WIKI
36929,132,ALK tyrosine kinase receptor,CONCEPT_WIKI
36930,132,anaplastic lymphoma receptor tyrosine kinase,UMLS
36931,132,CD246 antigen,UMLS
36932,132,anaplastic lymphoma kinase,UMLS
36933,132,ALK tyrosine kinase receptor,UMLS
36934,132,ConceptWiki:4d5edad9-befa-451c-9ae8-80f517d42e26,CW_XREF
36935,132,MESH:C086119,MESH_XREF
36936,133,Tyrosine-protein kinase Axl,CONCEPT_WIKI
36937,1331,CAMK-Unique family,CONCEPT_WIKI
36939,1334,Tyrosine kinase-like (TKL) group,CONCEPT_WIKI
36941,1339,Calcium/calmodulin dependent protein kinase (CAMK) group,CONCEPT_WIKI
36942,1339,Calcium-Calmodulin-Dependent Protein Kinases,CONCEPT_WIKI
36943,1339,Calmodulin Dependent Protein Kinases,CONCEPT_WIKI
36944,1339,Ca(2+)-Calmodulin-Dependent Protein Kinase,CONCEPT_WIKI
36945,1339,Calmodulin-Dependent Protein Kinases,CONCEPT_WIKI
36946,1339,Calmodulin-Kinase,CONCEPT_WIKI
36947,1339,CA 02 CALMODULIN DEPENDENT PROTEIN KINASE,CONCEPT_WIKI
36948,1339,"Protein Kinases, Calcium-Calmodulin-Dependent",CONCEPT_WIKI
36949,1339,Calmodulin Kinase,CONCEPT_WIKI
36951,1339,"Protein Kinases, Calmodulin-Dependent",CONCEPT_WIKI
36952,1339,Calmodulin Dependent Protein Kinases,UMLS
36953,1339,Ca(2+)-Calmodulin-Dependent Protein Kinase,UMLS
36954,1339,Calmodulin-Dependent Protein Kinases,UMLS
36955,1339,Calmodulin-Kinase,UMLS
36956,1339,Calmodulin Kinase,UMLS
36957,1339,"Protein Kinases, Calcium-Calmodulin-Dependent",UMLS
36958,1339,CA 02 CALMODULIN DEPENDENT PROTEIN KINASE,UMLS
36959,1339,Calcium-Calmodulin-Dependent Protein Kinases,UMLS
36960,1339,"Protein Kinases, Calmodulin-Dependent",UMLS
36961,1339,ConceptWiki:2036e6c4-1606-4771-aaf1-01e898cb1f56,CW_XREF
36962,1339,MESH:D017871,MESH_XREF
36963,134,Tyrosine-protein kinase CSK,CONCEPT_WIKI
36967,134,ConceptWiki:9d3586c6-dd5e-4e8f-bc48-503f29ee5ada,CW_XREF
36969,135,Ephrin receptor (Eph),CONCEPT_WIKI
36970,135,"Receptors, Eph Family",CONCEPT_WIKI
36971,135,Eph Receptors,CONCEPT_WIKI
36972,135,RECEPT EPH FAMILY,CONCEPT_WIKI
36973,135,Eph Receptor Tyrosine Kinase,CONCEPT_WIKI
36974,135,Ephrin Receptors,CONCEPT_WIKI
36975,135,"Receptors, Eph",CONCEPT_WIKI
36977,135,"Receptors, Ephrin",CONCEPT_WIKI
36978,135,Eph Family Receptors,CONCEPT_WIKI
36979,135,EPH FAMILY RECEPT,CONCEPT_WIKI
36980,135,EPH RECEPT TYROSINE KINASE,CONCEPT_WIKI
36981,135,RECEPT EPH FAMILY,UMLS
36982,135,Eph Receptors,UMLS
36983,135,Ephrin Receptors,UMLS
36984,135,Eph Receptor Tyrosine Kinase,UMLS
36985,135,"Receptors, Eph",UMLS
36986,135,"Receptors, Eph Family",UMLS
36987,135,"Receptors, Ephrin",UMLS
36988,135,Eph Family Receptors,UMLS
36989,135,EPH RECEPT TYROSINE KINASE,UMLS
36990,135,EPH FAMILY RECEPT,UMLS
36991,135,ConceptWiki:acc4c6b2-82b0-493d-a621-ac000f2bca8f,CW_XREF
36992,135,MESH:D036081,MESH_XREF
36993,136,Focal Adhesion Kinase (FAK),CONCEPT_WIKI
36994,136,Focal Adhesion Protein-Tyrosine Kinases,CONCEPT_WIKI
36995,136,Focal Adhesion Protein Tyrosine Kinases,CONCEPT_WIKI
36996,136,Focal Adhesion Protein Tyrosine Kinase Family,CONCEPT_WIKI
36998,136,Focal Adhesion Kinase,CONCEPT_WIKI
36999,136,Focal Adhesion Protein-Tyrosine Kinase Family,CONCEPT_WIKI
37000,136,Focal Adhesion Protein-Tyrosine Kinase,CONCEPT_WIKI
37001,136,Focal Adhesion Protein Tyrosine Kinases,UMLS
37002,136,Focal Adhesion Protein Tyrosine Kinase Family,UMLS
37003,136,Focal Adhesion Protein-Tyrosine Kinases,UMLS
37004,136,Focal Adhesion Kinase,UMLS
37005,136,Focal Adhesion Protein-Tyrosine Kinase Family,UMLS
37006,136,Focal Adhesion Protein-Tyrosine Kinase,UMLS
37007,136,ConceptWiki:f202b175-b6ab-480c-b74a-3a7dbcbc9569,CW_XREF
37008,136,MESH:D051416,MESH_XREF
37009,137,Tyrosine-protein kinase Fer,CONCEPT_WIKI
37013,137,ConceptWiki:09c9cc58-5a18-4f79-aa54-03e740cfdda0,CW_XREF
37026,139,Tyrosin-protein kinase Met,CONCEPT_WIKI
37027,14,IgA-specific serine endopeptidase autotransporter,CONCEPT_WIKI
37028,14,Serine peptidase S6 family,CONCEPT_WIKI
37029,14, IgA1-specific serine peptidase family,CONCEPT_WIKI
37032,14,ConceptWiki:f857b2df-b319-4a8e-b4de-19bfcdb1acca,CW_XREF
37033,140,Tyrosine-protein kinase Ret,CONCEPT_WIKI
37034,140,Proto-Oncogene Proteins c-ret,CONCEPT_WIKI
37035,140,Proto-Oncogene Protein c-ret,CONCEPT_WIKI
37036,140,"Ret, Proto-Oncogene Protein",CONCEPT_WIKI
37037,140,Proto Oncogene Protein Ret,CONCEPT_WIKI
37038,140,ret Proto Oncogene Proteins,CONCEPT_WIKI
37039,140,Proto-Oncogene Protein Ret,CONCEPT_WIKI
37040,140,Receptor Tyrosine Kinase RET,CONCEPT_WIKI
37042,140,Proto Oncogene Proteins c ret,CONCEPT_WIKI
37043,140,ret Proto-Oncogene Proteins,CONCEPT_WIKI
37044,140,c-ret Protein,CONCEPT_WIKI
37045,140,"Proto-Oncogene Proteins, ret",CONCEPT_WIKI
37046,140,"c-ret, Proto-Oncogene Proteins",CONCEPT_WIKI
37047,140,Proto Oncogene Protein c ret,CONCEPT_WIKI
37048,140,"c-ret, Proto-Oncogene Protein",CONCEPT_WIKI
37049,140,Proto-Oncogene Protein c-ret,UMLS
37050,140,Proto Oncogene Protein Ret,UMLS
37051,140,"Ret, Proto-Oncogene Protein",UMLS
37052,140,Proto-Oncogene Protein Ret,UMLS
37053,140,ret Proto Oncogene Proteins,UMLS
37054,140,Receptor Tyrosine Kinase RET,UMLS
37055,140,Proto-Oncogene Proteins c-ret,UMLS
37056,140,Proto Oncogene Proteins c ret,UMLS
37057,140,ret Proto-Oncogene Proteins,UMLS
37058,140,c-ret Protein,UMLS
37059,140,"Proto-Oncogene Proteins, ret",UMLS
37060,140,"c-ret, Proto-Oncogene Proteins",UMLS
37061,140,Proto Oncogene Protein c ret,UMLS
37062,140,"c-ret, Proto-Oncogene Protein",UMLS
37063,140,ConceptWiki:995dce52-5192-4053-9170-1c091cbe2192,CW_XREF
37064,140,MESH:D051096,MESH_XREF
37086,141,Tyrosine-protein kinase Src,CONCEPT_WIKI
37087,141,src-Family Kinases,CONCEPT_WIKI
37088,141,src-Family Tyrosine Kinases,CONCEPT_WIKI
37089,141,src Kinases,CONCEPT_WIKI
37090,141,"Tyrosine Kinases, src",CONCEPT_WIKI
37091,141,"Kinases, src Protein-Tyrosine",CONCEPT_WIKI
37092,141,"Kinases, src Tyrosine",CONCEPT_WIKI
37093,141,"Protein-Tyrosine Kinases, src",CONCEPT_WIKI
37095,141,src Family Tyrosine Kinases,CONCEPT_WIKI
37096,141,src Family Kinases,CONCEPT_WIKI
37097,141,"Kinases, src",CONCEPT_WIKI
37098,141,src Protein-Tyrosine Kinases,CONCEPT_WIKI
37099,141,"Tyrosine Kinases, src-Family",CONCEPT_WIKI
37100,141,src Tyrosine Kinases,CONCEPT_WIKI
37101,141,src-Family Tyrosine Kinases,UMLS
37102,141,src Kinases,UMLS
37103,141,"Kinases, src Protein-Tyrosine",UMLS
37104,141,"Tyrosine Kinases, src",UMLS
37105,141,"Kinases, src Tyrosine",UMLS
37106,141,"Protein-Tyrosine Kinases, src",UMLS
37107,141,src Family Tyrosine Kinases,UMLS
37108,141,src-Family Kinases,UMLS
37109,141,src Family Kinases,UMLS
37110,141,"Kinases, src",UMLS
37111,141,src Protein-Tyrosine Kinases,UMLS
37112,141,"Tyrosine Kinases, src-Family",UMLS
37113,141,src Tyrosine Kinases,UMLS
37114,141,ConceptWiki:f4a7a621-9c71-4706-b0ec-4ee9c692efa3,CW_XREF
37115,141,MESH:D019061,MESH_XREF
37212,142,Tyrosine-protein kinase Syk,CONCEPT_WIKI
37213,142,Tyrosine-protein kinase SYK,CONCEPT_WIKI
37216,142,ConceptWiki:b19dc2d9-2b19-4ec1-ac42-b0d6e90f3e46,CW_XREF
37217,143,Tyrosine-protein kinase Tec,CONCEPT_WIKI
37221,143,ConceptWiki:712f53e9-673a-426b-ba42-75c7cb4965cc,CW_XREF
37222,144,Receptor tyrosine kinase TIE,CONCEPT_WIKI
37223,144,"Receptors, TIE",CONCEPT_WIKI
37224,144,RECEPT TIE,CONCEPT_WIKI
37225,144,TIE RECEPT TYROSINE KINASES,CONCEPT_WIKI
37226,144,RECEPT TYROSINE KINASE TIE,CONCEPT_WIKI
37227,144,TIE Receptor Tyrosine Kinase,CONCEPT_WIKI
37228,144,TIE Receptor Family,CONCEPT_WIKI
37229,144,TIE RECEPT TYROSINE KINASE,CONCEPT_WIKI
37230,144,"Family, TIE Receptor",CONCEPT_WIKI
37231,144,"Receptor Family, TIE",CONCEPT_WIKI
37232,144,TIE Receptor Tyrosine Kinases,CONCEPT_WIKI
37233,144,TIE RECEPT FAMILY,CONCEPT_WIKI
37234,144,TIE Receptors,CONCEPT_WIKI
37235,144,Receptor Tyrosine Kinase TIE,CONCEPT_WIKI
37237,144,TIE RECEPT TYROSINE KINASES,UMLS
37238,144,RECEPT TIE,UMLS
37239,144,RECEPT TYROSINE KINASE TIE,UMLS
37240,144,TIE Receptor Tyrosine Kinase,UMLS
37241,144,TIE Receptor Family,UMLS
37242,144,TIE RECEPT TYROSINE KINASE,UMLS
37243,144,"Family, TIE Receptor",UMLS
37244,144,"Receptor Family, TIE",UMLS
37245,144,TIE Receptor Tyrosine Kinases,UMLS
37246,144,Receptor Tyrosine Kinase TIE,UMLS
37247,144,TIE Receptors,UMLS
37248,144,TIE RECEPT FAMILY,UMLS
37249,144,"Receptors, TIE",UMLS
37250,144,ConceptWiki:845d1687-f3ad-47e0-bfd0-05c8075877d8,CW_XREF
37251,144,MESH:D042764,MESH_XREF
37254,1452,Structurally atypical putative protein kinase (SAPPK),CONCEPT_WIKI
37407,146,Neurotrophin receptors (Trk),CONCEPT_WIKI
37408,146,"Receptors, Nerve Growth Factor",CONCEPT_WIKI
37409,146,Neurotrophic Factor Receptor,CONCEPT_WIKI
37410,146,NERVE GROWTH FACTOR RECEPT,CONCEPT_WIKI
37411,146,"Receptors, Neurotrophic Factor",CONCEPT_WIKI
37412,146,NEUROTROPHIC FACTOR RECEPT,CONCEPT_WIKI
37414,146,"Receptors, Neurotrophin",CONCEPT_WIKI
37415,146,RECEPT NEUROTROPHIN,CONCEPT_WIKI
37416,146,Nerve Growth Factor Receptors,CONCEPT_WIKI
37417,146,"Receptor, Neurotrophic Factor",CONCEPT_WIKI
37418,146,"Receptors, NGF",CONCEPT_WIKI
37419,146,Neurotrophic Factor Receptors,CONCEPT_WIKI
37420,146,RECEPT NERVE GROWTH FACTOR,CONCEPT_WIKI
37421,146,RECEPT NGF,CONCEPT_WIKI
37422,146,Neurotrophin Receptors,CONCEPT_WIKI
37423,146,NGF RECEPT,CONCEPT_WIKI
37424,146,NGF Receptors,CONCEPT_WIKI
37425,146,Neurotrophic Factor Receptor,UMLS
37426,146,NERVE GROWTH FACTOR RECEPT,UMLS
37427,146,"Receptors, Neurotrophic Factor",UMLS
37428,146,NEUROTROPHIC FACTOR RECEPT,UMLS
37429,146,"Receptors, Nerve Growth Factor",UMLS
37430,146,"Receptors, Neurotrophin",UMLS
37431,146,Nerve Growth Factor Receptors,UMLS
37432,146,RECEPT NEUROTROPHIN,UMLS
37433,146,"Receptor, Neurotrophic Factor",UMLS
37434,146,"Receptors, NGF",UMLS
37435,146,Neurotrophic Factor Receptors,UMLS
