tid,target_type,pref_name,tax_id,organism,chembl_id,species_group_flag
80797,CELL-LINE,Colon cells,9606,Homo sapiens,CHEMBL614469,0
80798,CELL-LINE,CPT30 cell line,,,CHEMBL614470,0
80799,CELL-LINE,RPMI 8402,9606,Homo sapiens,CHEMBL612517,0
80800,CELL-LINE,MIA PaCa-2,9606,Homo sapiens,CHEMBL614725,0
80801,CELL-LINE,CRL-7065 cell line,,,CHEMBL614151,0
80803,CELL-LINE,CXF1103,,,CHEMBL614471,0
80804,CELL-LINE,CXF158,,,CHEMBL614472,0
80805,CELL-LINE,CXF280,,,CHEMBL614473,0
80809,CELL-LINE,D283 Med,,,CHEMBL614476,0
80810,CELL-LINE,D34,,,CHEMBL614477,0
80811,CELL-LINE,D341 cell line,,,CHEMBL614478,0
80813,CELL-LINE,D-38,,,CHEMBL614480,0
80814,CELL-LINE,D3F,,,CHEMBL614153,0
80815,CELL-LINE,D54 cell line,,,CHEMBL612247,0
80816,CELL-LINE,DA-3 cell line,,,CHEMBL614481,0
80817,CELL-LINE,DLKP cell line,,,CHEMBL614482,0
80818,CELL-LINE,DOD-1,,,CHEMBL614483,0
80819,CELL-LINE,J774.2,10090,Mus musculus,CHEMBL614484,0
80823,CELL-LINE,E6SM,9606,Homo sapiens,CHEMBL614149,0
80826,CELL-LINE,EBV-positive nasopharyngealcell lines,,,CHEMBL614154,0
80827,CELL-LINE,ECa-109 cell line,9606,Homo sapiens,CHEMBL614668,0
80830,CELL-LINE,Ehrlich,10090,Mus musculus,CHEMBL614641,0
80834,CELL-LINE,EKVX,9606,Homo sapiens,CHEMBL614487,0
80835,CELL-LINE,Epidermoid carcinoma cell line,,,CHEMBL614698,0
80836,CELL-LINE,Epithelial cells,,,CHEMBL614488,0
80837,CELL-LINE,epithelial cell line.,,,CHEMBL612248,0
80838,CELL-LINE,EOL1,9606,Homo sapiens,CHEMBL614489,0
80843,CELL-LINE,Erythroleukemia cell line,,,CHEMBL614155,0
80844,CELL-LINE,ESM,,,CHEMBL614492,0
80845,CELL-LINE,F2002 cell line,,,CHEMBL614727,0
80846,CELL-LINE,F460pv8/eto,,,CHEMBL614493,0
80847,CELL-LINE,FaDu,9606,Homo sapiens,CHEMBL612250,0
80848,CELL-LINE,Faza 967 cell clone 2/T1,,,CHEMBL614494,0
80849,CELL-LINE,Faza 967 clone 2,,,CHEMBL614495,0
80850,CELL-LINE,FHC,9606,Homo sapiens,CHEMBL614654,0
80851,CELL-LINE,Fibroblast MRHFcell line,,,CHEMBL614496,0
80852,CELL-LINE,A-431,9606,Homo sapiens,CHEMBL614069,0
80853,CELL-LINE,Fibrosarcoma cell line,,,CHEMBL612251,0
80855,CELL-LINE,fLS,,,CHEMBL614498,0
80856,CELL-LINE,FME,,,CHEMBL614156,0
80857,CELL-LINE,Friend leukemia cell line,,,CHEMBL614499,0
80858,CELL-LINE,GC3/Cl,,,CHEMBL614728,0
80860,CELL-LINE,GC3/M,,,CHEMBL614500,0
80862,CELL-LINE,GC3/MTK-,,,CHEMBL614157,0
80863,CELL-LINE,GC3M(-),,,CHEMBL614501,0
80864,CELL-LINE,GHOST CCR5,,,CHEMBL614502,0
80865,CELL-LINE,GHOST CXCR4,,,CHEMBL612253,0
80866,CELL-LINE,GLC4 cell line,,,CHEMBL612707,0
80867,CELL-LINE,Glioblastoma cell line,,,CHEMBL614503,0
80868,CELL-LINE,GLIOMA#108,,,CHEMBL614504,0
80869,CELL-LINE,GLIOMA#112,,,CHEMBL614158,0
80870,CELL-LINE,GM892A cell line,,,CHEMBL614505,0
80871,CELL-LINE,Granta,9606,Homo sapiens,CHEMBL612254,0
80873,CELL-LINE,GTL 16 cell line,,,CHEMBL612708,0
80874,CELL-LINE,CEM,9606,Homo sapiens,CHEMBL393,0
80876,CELL-LINE,NCI-H125,,,CHEMBL614159,0
80877,CELL-LINE,NCI-H1299,9606,Homo sapiens,CHEMBL612255,0
80878,CELL-LINE,NCI-H157,9606,Homo sapiens,CHEMBL614783,0
80879,CELL-LINE,MRI-H-207,,,CHEMBL614506,0
80885,CELL-LINE,bEND,10090,Mus musculus,CHEMBL614507,0
80886,CELL-LINE,NCI-H292,9606,Homo sapiens,CHEMBL614733,0
80887,CELL-LINE,H2981 cell line,,,CHEMBL614802,0
80888,CELL-LINE,H2987 cell line,,,CHEMBL614669,0
80889,CELL-LINE,NCI-H322M,9606,Homo sapiens,CHEMBL614803,0
80890,CELL-LINE,H35R0.3,10116,Rattus norvegicus,CHEMBL614160,0
80891,CELL-LINE,H4,10116,Rattus norvegicus,CHEMBL614804,0
80893,CELL-LINE,H35,10116,Rattus norvegicus,CHEMBL614784,0
80895,CELL-LINE,NCI-H596,9606,Homo sapiens,CHEMBL612256,0
80896,CELL-LINE,NCI-H69,9606,Homo sapiens,CHEMBL614805,0
80897,CELL-LINE,H9,9606,Homo sapiens,CHEMBL614806,0
80898,CELL-LINE,NCI-H928,,,CHEMBL614785,0
80899,CELL-LINE,H938 cell line,,,CHEMBL614161,0
80900,CELL-LINE,HA22T cell line,,,CHEMBL614807,0
80901,CELL-LINE,HaCaT,9606,Homo sapiens,CHEMBL614392,0
80902,CELL-LINE,HASMC,9606,Homo sapiens,CHEMBL614150,0
80904,CELL-LINE,HB4a,,,CHEMBL614786,0
80905,CELL-LINE,HBL,9606,Homo sapiens,CHEMBL614070,0
80907,CELL-LINE,HBL-100,9606,Homo sapiens,CHEMBL614811,0
80908,CELL-LINE,Bladder carcinoma cells,9606,Homo sapiens,CHEMBL614812,0
80920,CELL-LINE,HCC 2998,9606,Homo sapiens,CHEMBL613855,0
80921,CELL-LINE,HCEC,9606,Homo sapiens,CHEMBL614813,0
80923,CELL-LINE,HCLO cell line,,,CHEMBL614814,0
80926,CELL-LINE,HCT cell line,,,CHEMBL614661,0
80928,CELL-LINE,HCT-116,9606,Homo sapiens,CHEMBL394,0
80929,CELL-LINE,HCT-29,,,CHEMBL614816,0
80930,CELL-LINE,HEC-1B cell line,,,CHEMBL614817,0
80931,CELL-LINE,HEF,,,CHEMBL614162,0
80933,CELL-LINE,HEY,9606,Homo sapiens,CHEMBL613869,0
80936,CELL-LINE,HEK293,9606,Homo sapiens,CHEMBL614818,0
80942,CELL-LINE,HEL,9606,Homo sapiens,CHEMBL613888,0
80943,CELL-LINE,HEL 299,9606,Homo sapiens,CHEMBL614819,0
80945,CELL-LINE,HEp-2,9606,Homo sapiens,CHEMBL614735,0
80947,CELL-LINE,Hepatoblastoma cell line,,,CHEMBL614820,0
80949,CELL-LINE,Hepatoma cell line,,,CHEMBL614821,0
80951,CELL-LINE,NIH3T3,10090,Mus musculus,CHEMBL614822,0
80952,CELL-LINE,HES,,,CHEMBL614662,0
80954,CELL-LINE,HFF,9606,Homo sapiens,CHEMBL614071,0
80955,CELL-LINE,HK,,,CHEMBL614823,0
80956,CELL-LINE,HMCB cell line,,,CHEMBL614824,0
80957,CELL-LINE,HMEC,9606,Homo sapiens,CHEMBL614734,0
80958,CELL-LINE,HMV-1 cell line,,,CHEMBL614825,0
80959,CELL-LINE,HMV-2 cell line,,,CHEMBL614826,0
80960,CELL-LINE,HN006 cell line,,,CHEMBL614827,0
80961,CELL-LINE,HN5,9606,Homo sapiens,CHEMBL614828,0
80962,CELL-LINE,HNBM,,,CHEMBL614663,0
80963,CELL-LINE,HNO 97 cell lines,,,CHEMBL614808,0
80964,CELL-LINE,HNO199 cell lines,,,CHEMBL612257,0
80965,CELL-LINE,HOC-21 cell line,,,CHEMBL614829,0
80966,CELL-LINE,HONE1 cell line,9606,Homo sapiens,CHEMBL614830,0
80970,CELL-LINE,HOP-18,9606,Homo sapiens,CHEMBL614809,0
80971,CELL-LINE,HOP-19,,,CHEMBL614832,0
80972,CELL-LINE,HOP-92,9606,Homo sapiens,CHEMBL613889,0
80980,CELL-LINE,HOS,9606,Homo sapiens,CHEMBL614736,0
80982,CELL-LINE,HRT-18 cell line,9606,Homo sapiens,CHEMBL614834,0
80991,CELL-LINE,Hs-578T,9606,Homo sapiens,CHEMBL614645,0
80992,CELL-LINE,HSC-3,9606,Homo sapiens,CHEMBL612279,0
80993,CELL-LINE,HSF (VGS),,,CHEMBL614315,0
80994,CELL-LINE,SJSA,9606,Homo sapiens,CHEMBL614835,0
80995,CELL-LINE,HSV-2,,,CHEMBL614731,0
80996,CELL-LINE,HT1197,9606,Homo sapiens,CHEMBL614836,0
80997,CELL-LINE,HT-137,,,CHEMBL614664,0
80999,CELL-LINE,HT-1376,9606,Homo sapiens,CHEMBL612258,0
81000,CELL-LINE,HT-22,10090,Mus musculus,CHEMBL614316,0
81001,CELL-LINE,TSGH 9201,9606,Homo sapiens,CHEMBL614787,0
81008,CELL-LINE,Breast cancer cell lines,9606,Homo sapiens,CHEMBL614788,0
81010,CELL-LINE,Panel (Carcinoma cell lines),9606,Homo sapiens,CHEMBL612423,0
81011,CELL-LINE,Cell line,9606,Homo sapiens,CHEMBL614840,0
81013,CELL-LINE,Colon adenocarcinoma cell line,9606,Homo sapiens,CHEMBL614841,0
81014,CELL-LINE,Colon cancer cell line,9606,Homo sapiens,CHEMBL612260,0
81016,CELL-LINE,Colon cell line,9606,Homo sapiens,CHEMBL614842,0
81017,CELL-LINE,WiDr,9606,Homo sapiens,CHEMBL614647,0
81018,CELL-LINE,Coronary artery smooth muscle cell line,9606,Homo sapiens,CHEMBL614737,0
81020,CELL-LINE,HepG2,9606,Homo sapiens,CHEMBL395,0
81021,CELL-LINE,Hepatoma cell line,9606,Homo sapiens,CHEMBL612261,0
81022,CELL-LINE,Leukemia cells,9606,Homo sapiens,CHEMBL614844,0
81023,CELL-LINE,Lung cancer cell line,9606,Homo sapiens,CHEMBL614790,0
81024,CELL-LINE,NCI-H460,9606,Homo sapiens,CHEMBL396,0
81026,CELL-LINE,Lung LXF 629L tumor cell line,9606,Homo sapiens,CHEMBL614689,0
81027,CELL-LINE,Macrophage cell line,9606,Homo sapiens,CHEMBL613891,0
81028,CELL-LINE,Melanoma cell line,9606,Homo sapiens,CHEMBL613892,0
81029,CELL-LINE,MLM,,,CHEMBL614684,0
81030,CELL-LINE,Monocytes,9606,Homo sapiens,CHEMBL614076,0
81032,CELL-LINE,Neoplastic cell line,9606,Homo sapiens,CHEMBL613893,0
81033,CELL-LINE,Neuronal cell line,9606,Homo sapiens,CHEMBL613894,0
81034,CELL-LINE,A2780,9606,Homo sapiens,CHEMBL614004,0
81035,CELL-LINE,Ovarian cancer cell line,9606,Homo sapiens,CHEMBL613895,0
81041,CELL-LINE,Prostatic carcinoma cells,9606,Homo sapiens,CHEMBL612424,0
81042,CELL-LINE,Renal cancer cell line,9606,Homo sapiens,CHEMBL614005,0
81043,CELL-LINE,N592,,,CHEMBL613969,0
81044,CELL-LINE,SK-ES1,9606,Homo sapiens,CHEMBL613970,0
81045,CELL-LINE,Squamous carcinoma cell line,9606,Homo sapiens,CHEMBL613971,0
81046,CELL-LINE,ST-KM-1,,,CHEMBL613972,0
81047,CELL-LINE,T-cell line,9606,Homo sapiens,CHEMBL614685,0
81048,CELL-LINE,TSU,9606,Homo sapiens,CHEMBL613973,0
81049,CELL-LINE,Tumor cancer cell line,9606,Homo sapiens,CHEMBL614648,0
81051,CELL-LINE,Tumor Cell lines,9606,Homo sapiens,CHEMBL613974,0
81054,CELL-LINE,SF-268,9606,Homo sapiens,CHEMBL613977,0
81055,CELL-LINE,HuT78,9606,Homo sapiens,CHEMBL613978,0
81057,CELL-LINE,HUVEC,9606,Homo sapiens,CHEMBL613979,0
81059,CELL-LINE,HX62 cell line,9606,Homo sapiens,CHEMBL614686,0
81060,CELL-LINE,HXO-RB44 cell line,,,CHEMBL613981,0
81063,CELL-LINE,IA-XsSBR cell line,,,CHEMBL614007,0
81065,CELL-LINE,IGROV-1,9606,Homo sapiens,CHEMBL613984,0
81066,CELL-LINE,IGR-37 cell line,,,CHEMBL613985,0
81067,CELL-LINE,ISF-539,,,CHEMBL613986,0
81068,CELL-LINE,Ishikawa,9606,Homo sapiens,CHEMBL614649,0
81070,CELL-LINE,JAM cell line,,,CHEMBL613987,0
81072,CELL-LINE,Jurkat,9606,Homo sapiens,CHEMBL397,0
81074,CELL-LINE,K177cell line,,,CHEMBL614687,0
81075,CELL-LINE,Kasumi 1,9606,Homo sapiens,CHEMBL613988,0
81076,CELL-LINE,KAT-4 cell line,,,CHEMBL614008,0
81079,CELL-LINE,KATO III stomach cancer cell lines,9606,Homo sapiens,CHEMBL612700,0
81084,CELL-LINE,KB VCR R,,,CHEMBL613992,0
81095,CELL-LINE,KBALB cell line,,,CHEMBL614009,0
81096,CELL-LINE,KBALB-STK,,,CHEMBL613993,0
81101,CELL-LINE,KBM-3 cell line,,,CHEMBL614010,0
81102,CELL-LINE,KBM-3/DOX cell line,,,CHEMBL613994,0
81115,CELL-LINE,KB,9606,Homo sapiens,CHEMBL398,0
81116,CELL-LINE,Keratinocyte cell line,,,CHEMBL614688,0
81117,CELL-LINE,Keratinocytes,,,CHEMBL613995,0
81119,CELL-LINE,KG-1,9606,Homo sapiens,CHEMBL612264,0
81120,CELL-LINE,KK-47 cell line,,,CHEMBL614674,0
81121,CELL-LINE,KKLS,,,CHEMBL613996,0
81123,CELL-LINE,KM-20L2,9606,Homo sapiens,CHEMBL614791,0
81124,CELL-LINE,KU-2 cell line,,,CHEMBL612265,0
81125,CELL-LINE,KU812 cell line,9606,Homo sapiens,CHEMBL613997,0
81126,CELL-LINE,KYSE-150 cell line,9606,Homo sapiens,CHEMBL613998,0
81127,CELL-LINE,KYSE-510,9606,Homo sapiens,CHEMBL613868,0
81128,CELL-LINE,KYSE-520 cell line,,,CHEMBL612701,0
81130,CELL-LINE,KYSE-70 cell line,9606,Homo sapiens,CHEMBL614012,0
81131,CELL-LINE,L cells,10090,Mus musculus,CHEMBL612266,0
81132,CELL-LINE,L132,9606,Homo sapiens,CHEMBL613999,0
81133,CELL-LINE,L1210 (1565),,,CHEMBL614000,0
81134,CELL-LINE,L2987,9606,Homo sapiens,CHEMBL614650,0
81135,CELL-LINE,L6,10116,Rattus norvegicus,CHEMBL614793,0
81136,CELL-LINE,RG2,10116,Rattus norvegicus,CHEMBL614001,0
81137,CELL-LINE,L929,10090,Mus musculus,CHEMBL612267,0
81138,CELL-LINE,ScN2a,10090,Mus musculus,CHEMBL613872,0
81139,CELL-LINE,Laryngeal epithelioma cell line,,,CHEMBL614002,0
81140,CELL-LINE,LC-06 cell lines,,,CHEMBL614003,0
81145,CELL-LINE,LCLC,,,CHEMBL614013,0
81146,CELL-LINE,LCLC-103H cell line,9606,Homo sapiens,CHEMBL614066,0
81147,CELL-LINE,LDV-7 cell line,,,CHEMBL614079,0
81149,CELL-LINE,leukaemia cell line,,,CHEMBL614081,0
81150,CELL-LINE,Leukemia 60 cell line,,,CHEMBL614014,0
81154,CELL-LINE,Panel leukemia (Carcinoma cell lines),9606,Homo sapiens,CHEMBL614083,0
81158,CELL-LINE,Leukemic tumor cell line,,,CHEMBL614086,0
81160,CELL-LINE,Lewis lung carcinoma cell line,10090,Mus musculus,CHEMBL614088,0
81163,CELL-LINE,LFCl2A,,,CHEMBL614690,0
81167,CELL-LINE,LLTC cell line,,,CHEMBL614093,0
81168,CELL-LINE,LM,10090,Mus musculus,CHEMBL614094,0
81169,CELL-LINE,LMM3 cell line,,,CHEMBL614095,0
81170,CELL-LINE,LNCaP,9606,Homo sapiens,CHEMBL612518,0
81184,CELL-LINE,LOX IMVI,9606,Homo sapiens,CHEMBL614096,0
81186,CELL-LINE,LS174T,9606,Homo sapiens,CHEMBL614097,0
81187,CELL-LINE,LT12 tumor cell line,,,CHEMBL614098,0
81188,CELL-LINE,Lu-65,9606,Homo sapiens,CHEMBL614694,0
81189,CELL-LINE,Lu-99 cell line,9606,Homo sapiens,CHEMBL614651,0
81190,CELL-LINE,NCI-H520,,,CHEMBL614099,0
81191,CELL-LINE,PC-13,,,CHEMBL614100,0
81192,CELL-LINE,PC-8,,,CHEMBL614101,0
81193,CELL-LINE,PC-9,9606,Homo sapiens,CHEMBL614102,0
81194,CELL-LINE,Lung cancer cell line,,,CHEMBL614103,0
81197,CELL-LINE,Lung cancer tumor cell line,,,CHEMBL614104,0
81198,CELL-LINE,Lung carcinoma cell line,,,CHEMBL614105,0
81199,CELL-LINE,NCI-H446,9606,Homo sapiens,CHEMBL612440,0
81201,CELL-LINE,HOP-62,9606,Homo sapiens,CHEMBL614643,0
81203,CELL-LINE,Lung NSCLC-N6 cell-line,,,CHEMBL614016,0
81204,CELL-LINE,QG-56,,,CHEMBL612268,0
81205,CELL-LINE,Lvec,,,CHEMBL614106,0
81206,CELL-LINE,LX-830 cell line,,,CHEMBL614695,0
81207,CELL-LINE,LXF-289 cell line,,,CHEMBL614107,0
81209,CELL-LINE,LXFL 529/ LXFS 538,,,CHEMBL614108,0
81210,CELL-LINE,LXFL 529/11,,,CHEMBL614017,0
81212,CELL-LINE,LXFL 529,9606,Homo sapiens,CHEMBL614110,0
81215,CELL-LINE,LXFS538,,,CHEMBL614112,0
81217,CELL-LINE,LY3.7.2C TK-/- cell lines,,,CHEMBL614018,0
81218,CELL-LINE,Lymphoblastoid cells,9606,Homo sapiens,CHEMBL614696,0
81219,CELL-LINE,Lymphocytic cell line,,,CHEMBL614652,0
81220,CELL-LINE,lymphocytoid cell lines,,,CHEMBL612269,0
81221,CELL-LINE,Lymphoma cell line,,,CHEMBL614114,0
81223,CELL-LINE,M,,,CHEMBL614115,0
81225,CELL-LINE,M109,10090,Mus musculus,CHEMBL614073,0
81227,CELL-LINE,M-19,,,CHEMBL614116,0
81231,CELL-LINE,M19-MEL,9606,Homo sapiens,CHEMBL614019,0
81233,CELL-LINE,M21,9606,Homo sapiens,CHEMBL614117,0
81234,CELL-LINE,M2R,,,CHEMBL614118,0
81235,CELL-LINE,M4Beu cell line,9606,Homo sapiens,CHEMBL612270,0
81236,CELL-LINE,M-5,,,CHEMBL614794,0
81238,CELL-LINE,M5076,10090,Mus musculus,CHEMBL614120,0
81240,CELL-LINE,MAC15A,10090,Mus musculus,CHEMBL614121,0
81241,CELL-LINE,MAC26,,,CHEMBL614122,0
81244,CELL-LINE,J774,10090,Mus musculus,CHEMBL614123,0
81245,CELL-LINE,MDA-MB-435,9606,Homo sapiens,CHEMBL614697,0
81246,CELL-LINE,MDA-N,9606,Homo sapiens,CHEMBL614078,0
81247,CELL-LINE,HeLa,9606,Homo sapiens,CHEMBL399,0
81248,CELL-LINE,Malme-3M,9606,Homo sapiens,CHEMBL614021,0
81249,CELL-LINE,MAR BEL fibroblasts cell line,,,CHEMBL614653,0
81250,CELL-LINE,MAXF401 cell line,,,CHEMBL612703,0
81252,CELL-LINE,MDA-MB-231,9606,Homo sapiens,CHEMBL400,0
81254,CELL-LINE,MDA-MB-4,,,CHEMBL614124,0
81255,CELL-LINE,MDR,,,CHEMBL614125,0
81256,CELL-LINE,Medulloblastoma tumour cell line,,,CHEMBL614022,0
81257,CELL-LINE,MEL-AC cell line,,,CHEMBL614732,0
81258,CELL-LINE,Melanoma cells,9606,Homo sapiens,CHEMBL614126,0
81259,CELL-LINE,Panel melanoma (Carcinoma cell lines),9606,Homo sapiens,CHEMBL612280,0
81260,CELL-LINE,Melanoma tumor cell line,,,CHEMBL612704,0
81261,CELL-LINE,UACC-375,,,CHEMBL614127,0
81264,CELL-LINE,V79,10029,Cricetulus griseus,CHEMBL614074,0
81266,CELL-LINE,Mo,9606,Homo sapiens,CHEMBL614722,0
81267,CELL-LINE,Mononuclear cell line,,,CHEMBL614723,0
81268,CELL-LINE,B-cell line,10090,Mus musculus,CHEMBL614724,0
81270,CELL-LINE,Mammary carcinoma cell line,10090,Mus musculus,CHEMBL614763,0
81271,CELL-LINE,Murine cell line,10090,Mus musculus,CHEMBL614764,0
81272,CELL-LINE,Murine stromal cell line,10090,Mus musculus,CHEMBL614765,0
81273,CELL-LINE,Murine T-cell line,10090,Mus musculus,CHEMBL614766,0
81274,CELL-LINE,Murine-murine hybridoma (mark 3),10090,Mus musculus,CHEMBL614767,0
81277,CELL-LINE,NCI-N417,9606,Homo sapiens,CHEMBL613287,0
81278,CELL-LINE,SNB-75,9606,Homo sapiens,CHEMBL614451,0
81279,CELL-LINE,NCI,,,CHEMBL614877,0
81280,CELL-LINE,NCI-H226,9606,Homo sapiens,CHEMBL614740,0
81281,CELL-LINE,NCI-H23,9606,Homo sapiens,CHEMBL614997,0
81282,CELL-LINE,H22,10090,Mus musculus,CHEMBL614998,0
81283,CELL-LINE,NCI-H522,9606,Homo sapiens,CHEMBL614387,0
81284,CELL-LINE,NCI-H647,,,CHEMBL614999,0
81285,CELL-LINE,NIH-H,,,CHEMBL615000,0
81286,CELL-LINE,NIH-K,,,CHEMBL615001,0
81287,CELL-LINE,Non-small cell lung cancer cell line,,,CHEMBL615002,0
81288,CELL-LINE,NSO,10090,Mus musculus,CHEMBL615003,0
81289,CELL-LINE,DOV13,9606,Homo sapiens,CHEMBL615004,0
81292,CELL-LINE,Panel ovarian (Carcinoma cell lines),9606,Homo sapiens,CHEMBL615007,0
81293,CELL-LINE,Ovarian carcinoma cells,9606,Homo sapiens,CHEMBL614667,0
81294,CELL-LINE,OVXF1023 cell line,,,CHEMBL615008,0
81295,CELL-LINE,OVXF1353 cell line,,,CHEMBL612271,0
81296,CELL-LINE,PAC-2 cell line,,,CHEMBL612709,0
81297,CELL-LINE,PD-145,,,CHEMBL614845,0
81298,CELL-LINE,PE,,,CHEMBL614846,0
81299,CELL-LINE,PG-49 cell line,,,CHEMBL614847,0
81300,CELL-LINE,PRK,,,CHEMBL614848,0
81302,CELL-LINE,Panel prostate (Carcinoma cell lines),9606,Homo sapiens,CHEMBL614692,0
81304,CELL-LINE,Prostate cells,9606,Homo sapiens,CHEMBL614850,0
81305,CELL-LINE,PTP,,,CHEMBL614851,0
81307,CELL-LINE,R5,,,CHEMBL614852,0
81309,CELL-LINE,REF,,,CHEMBL614853,0
81310,CELL-LINE,Renal carcinoma cells,9606,Homo sapiens,CHEMBL614854,0
81312,CELL-LINE,Panel renal (Carcinoma cell lines),9606,Homo sapiens,CHEMBL612516,0
81313,CELL-LINE,Renal cells,9606,Homo sapiens,CHEMBL614738,0
81314,CELL-LINE,Rhabdomyosarcoma cells,9606,Homo sapiens,CHEMBL614675,0
81315,CELL-LINE,RPMI,,,CHEMBL614856,0
81316,CELL-LINE,BT-549,9606,Homo sapiens,CHEMBL614072,0
81319,CELL-LINE,Small cell lung cancer cell line,,,CHEMBL612561,0
81321,CELL-LINE,SNB-,,,CHEMBL614859,0
81322,CELL-LINE,SF-539,9606,Homo sapiens,CHEMBL614860,0
81325,CELL-LINE,SR,9606,Homo sapiens,CHEMBL614300,0
81328,CELL-LINE,Src-transformed,,,CHEMBL614302,0
81329,CELL-LINE,STSA-1 cell line,,,CHEMBL614303,0
81330,CELL-LINE,SNU-,,,CHEMBL614304,0
81331,CELL-LINE,SW-620,9606,Homo sapiens,CHEMBL612262,0
81334,CELL-LINE,T/5,,,CHEMBL614306,0
81335,CELL-LINE,HCT-15,9606,Homo sapiens,CHEMBL612263,0
81336,CELL-LINE,T-21 (LR),,,CHEMBL614307,0
81337,CELL-LINE,T-21,,,CHEMBL614308,0
81338,CELL-LINE,T-cells,,,CHEMBL614309,0
81339,CELL-LINE,TF-1,9606,Homo sapiens,CHEMBL612552,0
81341,CELL-LINE,Tumor cell lines,,,CHEMBL614310,0
81343,CELL-LINE,Whole cell line panel,,,CHEMBL614670,0
81344,CELL-LINE,Wild type T- cell line,,,CHEMBL614311,0
81345,CELL-LINE,X63/OMIL3 cell line,,,CHEMBL614312,0
81346,CELL-LINE,Melanophores,8355,Xenopus laevis,CHEMBL614313,0
81999,CELL-LINE,MFH-ST,9606,Homo sapiens,CHEMBL614796,0
100000,SINGLE PROTEIN,Glutamate [NMDA] receptor subunit epsilon 3,10116,Rattus norvegicus,CHEMBL401,0
100001,SINGLE PROTEIN,"Glutamate receptor ionotropic, AMPA 1",10116,Rattus norvegicus,CHEMBL3753,0
100004,SINGLE PROTEIN,Serotonin N-acetyltransferase,9940,Ovis aries,CHEMBL5452,0
100005,SINGLE PROTEIN,Serotonin transporter,9544,Macaca mulatta,CHEMBL5453,0
100006,SINGLE PROTEIN,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",10141,Cavia porcellus,CHEMBL5525,0
100007,SINGLE PROTEIN,UDP-N-acetylmuramate dehydrogenase,83333,Escherichia coli K-12,CHEMBL5526,0
100008,SINGLE PROTEIN,Phosphodiesterase 8A,9606,Homo sapiens,CHEMBL4640,0
100009,SINGLE PROTEIN,Phosphodiesterase 8B,9606,Homo sapiens,CHEMBL4408,0
100010,SINGLE PROTEIN,Phosphodiesterase 10A,9606,Homo sapiens,CHEMBL4409,0
100018,SINGLE PROTEIN,Casein kinase I delta,10116,Rattus norvegicus,CHEMBL4484,0
100022,SINGLE PROTEIN,Histamine N-methyltransferase,10141,Cavia porcellus,CHEMBL4485,0
100027,SINGLE PROTEIN,Dopamine D2 receptor,9534,Chlorocebus aethiops,CHEMBL5456,0
100029,SINGLE PROTEIN,Dopamine transporter,9541,Macaca fascicularis,CHEMBL5032,0
100030,SINGLE PROTEIN,5-enolpyruvylshikimate-3-phosphate synthase,83333,Escherichia coli K-12,CHEMBL5033,0
100031,SINGLE PROTEIN,GABA-B receptor 2,9606,Homo sapiens,CHEMBL5034,0
100033,SINGLE PROTEIN,Influenza A virus Hemagglutinin,132504,Influenza A virus (strain A/X-31 H3N2),CHEMBL4918,0
100034,SINGLE PROTEIN,Histone deacetylase HD2,4577,Zea mays,CHEMBL4919,0
100036,SINGLE PROTEIN,Dihydrofolate reductase,1764,Mycobacterium avium,CHEMBL5457,0
100037,SINGLE PROTEIN,Mycothiol S-conjugate amidase,1773,Mycobacterium tuberculosis,CHEMBL3703,0
100042,SINGLE PROTEIN,Dipeptidyl peptidase II,10116,Rattus norvegicus,CHEMBL4352,0
100044,SINGLE PROTEIN,Mu opioid receptor,10141,Cavia porcellus,CHEMBL4354,0
100045,SINGLE PROTEIN,Penicillin-binding protein 1,1280,Staphylococcus aureus,CHEMBL4268,0
100046,SINGLE PROTEIN,Penicillin-binding protein 3,1280,Staphylococcus aureus,CHEMBL4269,0
100052,SINGLE PROTEIN,Human immunodeficiency virus type 2 pol protein,11709,Human immunodeficiency virus 2,CHEMBL5074,0
100053,SINGLE PROTEIN,Serine/threonine protein phosphatase PP1-alpha catalytic subunit,9986,Oryctolagus cuniculus,CHEMBL5458,0
100055,SINGLE PROTEIN,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",9986,Oryctolagus cuniculus,CHEMBL5591,0
100058,SINGLE PROTEIN,Serine/threonine protein phosphatase PP2B-alpha catalytic subunit,9606,Homo sapiens,CHEMBL5278,0
100063,SINGLE PROTEIN,Rhodesain,31286,Trypanosoma brucei rhodesiense,CHEMBL4188,0
100067,SINGLE PROTEIN,Bacterial leucyl aminopeptidase,671,Vibrio proteolyticus,CHEMBL3750,0
100068,SINGLE PROTEIN,NF-kappa-B essential modulator,9606,Homo sapiens,CHEMBL4967,0
100069,SINGLE PROTEIN,Tyrosine-protein kinase FES,9606,Homo sapiens,CHEMBL5455,0
100070,SINGLE PROTEIN,Rho-associated protein kinase 2,10116,Rattus norvegicus,CHEMBL5490,0
100071,SINGLE PROTEIN,Serine/threonine-protein kinase PAK 2,9606,Homo sapiens,CHEMBL4487,0
100072,SINGLE PROTEIN,Ribosomal protein S6 kinase alpha 1,10116,Rattus norvegicus,CHEMBL5528,0
100073,SINGLE PROTEIN,"AMP-activated protein kinase, alpha-1 subunit",10116,Rattus norvegicus,CHEMBL4533,0
