Company,Slogan
Smucker,it has to be good.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Reese's Peanut Butter Cups,Reese's ...perfect
Bertolli,Passion makes perfect.
Stork (margarine),The difference is worth talking about.
Flora (margarine),Better butteryness.
Country Crock,Where good habits are delicious.
Clover (spread),Made for family.
Meadow Lea,You ought to be congratulated.
Blue Band,Spread every slice!
Imperial margarine,Fit for a king.
Becel,Love your heart.
Lurpak,Your everyday luxury.
Utterly Butterly,Utterly smitten.
President cheese,Perfectly paired with life.
Primula,Perfect for sharing.
Babybel,100% natural. 100% fun!
Lea & Perrins,The original and Genuine.
Peters Ice Cream,Music to your mouth.
Weis,The taste on everyone's lips.
Mackie's,Creamy by nature!
Magnum (ice cream),For pleasure seekers.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Klondike bar,What would you do for a Klondike bar?
Cravendale,The cows want it back
After Eight,See you After Eight.
Terry's,Round. But not round for long.
Little Debbie,Unwrap a smile.
Ryvita,Britton loves Ryvita.
Beech-Nut,Small Is Big Here.
Carvel (franchise),America's freshest ice cream.
Doublemint gum,Donât Forget The Fruit Gums.
Kellogg's,The simpler the better.
Lucky Charms,Theyâre magically delicious.
Mentos,Roses Grow on You.
Starburst(Opal Fruits),Unexplainably Juicy.
Snickers,Get some nuts!
Twix,Itâs all in the mix.
Swensen's,Good as father used to make.
Marble Slab Creamery,Originality in every scoop.
Graeter's,Irresistible Graeter's.
Ben & Jerry's,"Peace, love & ice cream."
Baskin-Robbins,More flavors. More fun.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Ore-Ida,"Easy Open, Easy Pour Bag!"
Kraft Foods,A little taste of heaven.
Kelly's of Cornwall,Cornish by nature.
HB ice cream,One of life's simple pleasures.
Vadilal,Nothing but goodness.
Tip Top,Tip Top. Real ice creamier.
Hunt's,Only the best tomatoes grow up to be Hunt's.
Hellmann's,Bring out the best.
Bega Cheese,Better buy Bega.
Coon cheese,The choice of COONoisseurs.
Jarlsberg cheese,Only Jarlsberg is Jarlsberg.
Dairylea (cheese),Herds of Dairylea goodness.
Wyke Farms,Over 100 years of family farming.
Pilgrims Choice,Good choice pilgrim.
Wall's,Share happy.
Blue Bell Creameries,The best ice cream in the country.
Popsicle,Anything's possible with Popsicle.
Breyers,It's way beyond ice cream.
Haagen-Dazs,Made like no other.
Cornetto,"Enjoy the ride, love the ending"
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Chapman's,For the kid in all of us
Good Humor,Return to the classics
Perry's Ice Cream,Life is a bowl of Perry's.
Quavers,They're floaty light!
Lay's,Betcha can't eat just one!
BelGioioso Cheese,Quality never stops.
Dubliner Cheese,Character in every bite.
The Laughing Cow,Made with laughter.
Leerdammer,Put pleasure first
Sargento,We're real cheese people
Callebaut,For the love of chocolate.
Cadbury Dairy Milk,Free the joy.
Milka,Tenderness is inside.
Ghirardelli Chocolate,Moments of timeless pleasure.
Cailler,Pure chocolate. Pure emotion.
Hershey's,Hello happy. Hello Hershey's.
Dove Chocolate,Choose pleasure.
Dreyer's,Share a Scoop. Share a Smile!
Green & Black's,Bring Milk Chocolate Out Of Its Shell.
Nestles,"Nestle. Good Food, Good Life."
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Dannon Yogurt,Love it for life.
Ralston Purina,All you add is love.
Pringles,"Once you pop, you can't stop."
M&M'S,"Melts in Your Mouth, Not in Your Hands."
Heinz,Good Food Every Day.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Nescafe,It all starts with a NescafÃ©.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Papa John's Pizza,Better Ingredients. Better Pizza.
Applebee's,Together is good.
Chili's,Like no place else.
Winky's,Fast Food Cheap
Wetson's,Buy a bagful.
Royal Castle (restaurant chain),Fit for a king!
Red Barn (restaurant),You'll find more of what you are hankerin'
Bembos,The best burger and more.
Henry's Hamburgers,Head for Henry's
Druther's,I'd Ruther Go to Druther's Restaurant.
Five Guys,Best Burger
Friendly's,Deliciously fun
Beacon Drive In,we don't change.
Aurelio's Pizza,Aurelio's is Pizza!
Sukiya,save time and money
Orange Julius,A Devilish Good Drink
Fosters Freeze,Everything at Foster's is wonderful to eat
Kewpee,Mity Nice Hamburger.
Rax Roast Beef,All the right stuff.
Del Taco,Feed the Beast
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Noodles & Company,Your World Kitchen
Steak 'n Shake,Famous for Steakburgers
Spangles,it just tastes better!
Mary Brown's,Truly Canadian
Flunch,Y'a que chez Flunch qu'on peut fluncher
Kirby's Pig Stand,Quick Curb Service
Round Table Pizza,The Last Honest Pizza
Brewers Fayre,Pub Food as it Should Be
Big Boy Restaurants,It's your Big Boy
Burger Chef,Nowhere else but Burger Chef.
Qdoba,Not just big burritos. Big flavors.
Steak Escape,Americas Favorite Cheesesteak
White Castle,What you crave.
Outback Steakhouse,"No rules, just right."
Red Rooster,It's gotta be red
Little Caesars,Pizza! Pizza!
Steers,It Just Tastes Better.
IHOP,"Come hungry, leave happy."
Mr. Sub,Yours Since 1968.
Fryer's,Quality You Can Trust.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Kelseys original Roadhouse,Neighbourhood Bar and Grill.
Hungry Jack's,Makes It Better.
Twin Peaks,Eats. Drinks. Scenic Views.
Schlotzsky's,Lotz Better.
Quiznos,Eat Up.
Chuck E. Cheese's,All You Can Play.
Krispy Kreme,Happy All Around.
Harry Ramsden's,World famous fish & chips.
Jimmy John's,Serious delivery.
Checkers and Rally's,Crazy good food.
Tim Hortons,Always fresh.
Ground Round,We've got what you like.
Greggs,Always fresh. Always tasty.
Village Inn,"Good Food, Good Feelings."
Wawa,Gottahava Wawa
Harvey's,To each his burger.
Olive Garden,A Passion for Italy
Red Lobster,See whatâs cooking.
Wienerschnitzel,The World's most wanted wiener.
Yoshinoya,"Tasty, low-priced, and quick"
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Long John Silver's,That's what I like.
Fatburger,The last great hamburger stand.
Jack in the Box,Eat it. Any time.
TCBY,This Countryâs Best Yogurt.
Chicken of the Sea,Itâs Americaâs best-tasting tuna
Hooters,nearly world famous chicken wings
Papa Murphy's,Take nâ Bake Pizza.
Denny's,Weâre cooking now.
Auntie Anneâs,Pretzel Perfect
Sonic Drive-In,Sonic Everywhere
ConAgra Foods,Food you love
Ruth's Chris Steakhouse,Lifeâs too short to eat anywhere else.
Sizzler,"Great steaks, seafood and salads."
Taco John's,We prepare every order fresh
Waffle House,Itâs 2am and youâre drunk
Popeye's Chicken,Party with Popeyeâs
Vlasic Pickles,Always the perfect pickle
Bagel Bites,You can prepare them in an instant.
Chick-fil-A,Eat Mor Chikin!
Rice Krispies,"Snap, Crackle, Pop."
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
Dunkin' Donuts,Loosen up a little.
Church's Chicken,You Bring It Home.
Carl's Jr.,Making people happy through food
A&W,A & W. All American Food.
Dairy Queen,Do something different.
Arby's,Slicing up freshness.
Wendy's,Do what tastes right.
Domino's Pizza,Pizza deliver experts.
Pizza Hut,Make it great.
Taco Bell,Think outside the bun
Hardee's,Where the food's the star.
Burger King,Have it your way.
Kit Kat,"Have a Break, Have a Kit Kat."
Subway,Eat Fresh.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
McDonalds,Iâm Lovinâ It.
Fanta,"Drink Fanta, stay Bamboocha."
Colgate,"Stronger, healthier gums."
Pizza Hut,Make it great.
Domino's Pizza,Pizza deliver experts.
Head & Shoulders,Live head first.
Ben & Jerry's,"Peace, love & ice cream."
Heineken,It's all about the beer.
Gatorade,The Legend Continues.
Milo,MILO Everyday!
Starbucks,Customize Your Cup.
Audi,Vorsprung durch Technik.
Snickers,Get some nuts!
NIVEA,More evolved skincare.
Nescafe,It all starts with a NescafÃ©.
KFC(Kentucky Fried Chicken),Finger Lickin' Good.
Levi's Jeans,Original jeans. original people.
Dove (toiletries),The secret of beautiful hair.
Lipton,Be more tea.
Pampers,Discover your babyâs world.
Coca-Cola,Taste The Feeling.
