authors,originalPublicationYear,originalTitle,title,languageCode
"Marjane Satrapi, Anjali Singh",2001,Persepolis 2 ,"Persepolis 2: The Story of a Return (Persepolis, #2)",eng
Terry Pratchett,1989,Pyramids,"Pyramids (Discworld, #7)",en-US
Raymond E. Feist,1985,Silverthorn,"Silverthorn (The Riftwar Saga, #3)",en-GB
Jenny Downham,2007,Before I Die,Before I Die,eng
Elizabeth Gilbert,2009,Committed: A Skeptic Makes Peace with Marriage,Committed: A Skeptic Makes Peace with Marriage,eng
Sarah Dessen,1999,Keeping the Moon,Keeping the Moon,en-US
Veronica Roth,2013,Four: The Transfer,"The Transfer (Divergent, #0.1)",eng
Terry Goodkind,2004,"Chainfire (Sword of Truth, #9)","Chainfire (Sword of Truth, #9)",en-US
"Julia Child, Simone Beck, Louisette Bertholle",1961,Mastering the Art of French Cooking,Mastering the Art of French Cooking,en-US
"Kazue Kato, John Werry",2009,青の祓魔師 1,"Blue Exorcist, Vol. 1  (Blue Exorcist, #1)",eng
Terry Goodkind,2007,"Confessor (Sword of Truth, #11)","Confessor (Sword of Truth, #11)",en-US
Mohsin Hamid,2007,The Reluctant Fundamentalist,The Reluctant Fundamentalist,eng
Jennifer A. Nielsen,2012,The False Prince,The False Prince (The Ascendance Trilogy #1),eng
John Updike,1960,"Rabbit, Run","Rabbit, Run (Rabbit Angstrom #1)",eng
Daniel Todd Gilbert,2006,Stumbling on Happiness,Stumbling on Happiness,eng
T.S. Eliot,1922,The Waste Land and Other Poems,The Waste Land and Other Poems,en-US
"Else Holmelund Minarik, Maurice Sendak",1957,Little Bear,Little Bear,eng
Edgar Allan Poe,1842,The Pit and the Pendulum,The Pit and the Pendulum,eng
Terry Pratchett,1992,Lords and Ladies,"Lords and Ladies (Discworld, #14; Witches #4)",eng
Terry Pratchett,2006,Thud!,"Thud! (Discworld, #34; City Watch #7)",eng
Naomi Novik,2006,His Majesty's Dragon,"His Majesty's Dragon (Temeraire, #1)",eng
"Holly Black, Tony DiTerlizzi",2003,The Field Guide,"The Field Guide (The Spiderwick Chronicles, #1)",eng
David Platt,2010,,Radical: Taking Back Your Faith from the American Dream,eng
"Robert Greene, Joost Elffers",1988,The 48 Laws of Power,The 48 Laws of Power,
Jean Craighead George,1959,My Side of the Mountain ,"My Side of the Mountain (Mountain, #1)",eng
"Susanna Kearsley, Rosalyn Landor",2008,The Winter Sea,"The Winter Sea (Slains, #1)",eng
Peter Lerangis,2009,The Sword Thief,"The Sword Thief (The 39 Clues, #3)",eng
Robin Cook,1977,Coma,Coma,eng
"Hubert Selby Jr., Darren Aronofsky, Richard Price",1978,Requiem for a Dream,Requiem for a Dream,eng
Erin Hunter,2003,Into the Wild,"Into the Wild (Warriors, #1)",eng
Dee Brown,1970,Bury My Heart at Wounded Knee: An Indian History of the American West,Bury My Heart at Wounded Knee: An Indian History of the American West,
"Władysław Szpilman, Anthea Bell",1946,Śmierć Miasta ,"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",
Maya Banks,2013,Rush,"Rush (Breathless, #1)",eng
"Ian Edginton, Oscar Wilde, I.N.J. Culbard",2009,The Picture of Dorian Gray: A Graphic Novel ,The Picture of Dorian Gray: A Graphic Novel,eng
Robert McCammon,1987,Swan Song,Swan Song,eng
Kazuo Ishiguro,2015,The Buried Giant,The Buried Giant,eng
China Miéville,2000,Perdido Street Station,"Perdido Street Station (Bas-Lag, #1)",eng
Carrie Jones,2008,Need,"Need (Need, #1)",eng
Terry Pratchett,1991,Witches Abroad,"Witches Abroad (Discworld, #12; Witches #3)",eng
"Geoffrey Crayon, Washington Irving, William L. Hedges",1819,"The Sketch Book of Geoffrey Crayon, Gent",The Legend of Sleepy Hollow and Other Stories,eng
Frank Herbert,1984,Heretics of Dune,Heretics of Dune (Dune Chronicles #5),eng
"David Wilkerson, John Sherrill, Elizabeth Sherrill",1963,The Cross and the Switchblade,The Cross and the Switchblade,
Jim Butcher,2007,Captain's Fury,"Captain's Fury (Codex Alera, #4)",eng
Chuck Palahniuk,2011,Damned,"Damned (Damned, #1)",eng
Cynthia Lord,2006,Rules,Rules,
Karen Russell,2011,Swamplandia!,Swamplandia!,eng
Michael Connelly,1995,The Last Coyote,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",eng
Mark Kurlansky,2002,Salt: A World History,Salt: A World History,eng
"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",1853,Villette,Villette,eng
Neal Stephenson,2011,Reamde,Reamde,eng
Terry Pratchett,1994,Soul Music,"Soul Music (Discworld, #16; Death, #3)",eng
Janet Evanovich,2012,Notorious Nineteen,"Notorious Nineteen (Stephanie Plum, #19)",eng
Richard Dawkins,2009,The Greatest Show on Earth: The Evidence for Evolution,The Greatest Show on Earth: The Evidence for Evolution,en-GB
Frank Miller,1992,Sin City Volume 1: The Hard Goodbye,"Sin City, Vol. 1: The Hard Goodbye (Sin City, #1)",eng
Og Mandino,1968,The Greatest Salesman in the World,The Greatest Salesman in the World,eng
Ian Fleming,1953,Casino Royale,"Casino Royale (James Bond, #1)",eng
Paullina Simons,2001,The Bronze Horseman,"The Bronze Horseman (The Bronze Horseman, #1)",eng
Toni Morrison,1973,Sula,Sula,en-US
A.G. Riddle,2013,The Atlantis Gene,"The Atlantis Gene (The Origin Mystery, #1)",eng
Philippa Gregory,2010,The Red Queen,"The Red Queen (The Plantagenet and Tudor Novels, #3)",eng
Julie James,2010,Something About You,"Something About You (FBI/US Attorney, #1)",eng
Dr. Seuss,1970,Mr. Brown Can Moo! Can You?,Mr. Brown Can Moo! Can You?,en-US
"Stephen King, Peter Straub",2001,Black House ,"Black House (The Talisman, #2)",eng
"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson",2003,Marvel 1602,Marvel 1602,eng
Vince Flynn,2006,Act of Treason,"Act of Treason (Mitch Rapp, #9)",en-US
Peter Heller,2012,The Dog Stars,The Dog Stars,
John le Carré,1963,The Spy Who Came In from the Cold,The Spy Who Came In from the Cold,eng
Jim Butcher,2005,Academ's Fury,"Academ's Fury (Codex Alera, #2)",eng
James Patterson,1998,When the Wind Blows,"When the Wind Blows (When the Wind Blows, #1)",eng
"Haruki Murakami, 村上 春樹",2009,1Q84 Book 1 [Ichi-kyū-hachi-yon],"1Q84 BOOK 1 (1Q84, #1)",jpn
"Paulo Coelho, Alan R. Clarke",1987,O Diário de um Mago,The Pilgrimage,eng
Lee Child,2006,The Hard Way,"The Hard Way (Jack Reacher, #10)",en-US
Sheila Burnford,1960,The Incredible Journey,The Incredible Journey,eng
Geraldine Brooks,2004,March,March,en-US
"Lee Child, Dick Hill",2012,A Wanted Man,"A Wanted Man (Jack Reacher, #17)",eng
"Grant Morrison, Frank Quitely",2007,All-Star Superman (Volume 1),"All-Star Superman, Vol. 1",eng
George R.R. Martin,2000,A Song of Ice and Fire,"A Song of Ice and Fire (A Song of Ice and Fire, #1-5)",eng
Nora Roberts,2013,Dark Witch,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",eng
Alyson Noel,2010,Dark Flame,"Dark Flame (The Immortals, #4)",eng
Fiona Barton,2016,The Widow,The Widow,eng
Patrick Carman,2009,The Black Circle,"The Black Circle (The 39 Clues, #5)",en-US
Kiera Cass,2013,The Prince,"The Prince (The Selection, #0.5)",
Marie Rutkoski,2014,The Winner's Curse,"The Winner's Curse (The Winner's Trilogy, #1)",eng
Sapphire,1996,Push,Push,eng
"Elena Ferrante, Ann Goldstein",2012,Storia del nuovo cognome,The Story of a New Name (The Neapolitan Novels #2),eng
Arthur C. Clarke,1982,2010: Odyssey Two,"2010: Odyssey Two (Space Odyssey, #2)",eng
Atsushi Ohkubo,2004,ソウルイーター 1,"Soul Eater, Vol. 01 (Soul Eater, #1)",en-US
William Kent Krueger,2013,Ordinary Grace,Ordinary Grace,eng
David Baldacci,2001,Last Man Standing,Last Man Standing,eng
Gene Luen Yang,2006,American Born Chinese,American Born Chinese,eng
"Eugene Bradley Coco, Ron Dias, Walt Disney Company",1960,Peter Pan (Little Golden Book),Peter Pan (A Little Golden Book),eng
K.A. Tucker,2012,Ten Tiny Breaths,"Ten Tiny Breaths (Ten Tiny Breaths, #1)",eng
David Mitchell,2010,The Thousand Autumns of Jacob de Zoet,The Thousand Autumns of Jacob de Zoet,eng
Christopher Marlowe,1604,The Tragical History of the Life and Death of Doctor Faustus,Dr. Faustus,eng
Sherrilyn Kenyon,2003,Dance with the Devil,Dance with the Devil (Dark-Hunter #3),eng
Candace Bushnell,2005,Lipstick Jungle,Lipstick Jungle,eng
James Patterson,2001,Violets Are Blue,"Violets Are Blue (Alex Cross, #7)",eng
"Anthony Robbins, Tony Robbins, Frederick L. Covan",1992,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!","Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",eng
Laurell K. Hamilton,1998,"Blue Moon (Anita Blake, Vampire Hunter, #8)","Blue Moon (Anita Blake, Vampire Hunter, #8)",en-US
Laurell K. Hamilton,1998,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)","Burnt Offerings (Anita Blake, Vampire Hunter, #7)",en-US
Diane Chamberlain,2014,The Silent Sister,"The Silent Sister (Riley MacPherson, #1)",eng
Kurt Vonnegut Jr.,1952,Player Piano,Player Piano,eng
Arthur Conan Doyle,1912,The Lost World ,"The Lost World (Professor Challenger, #1)",
Terry Pratchett,2003,Monstrous Regiment,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",eng
Octavia E. Butler,1979,Kindred,Kindred,eng
"Laura Ingalls Wilder, Garth Williams",1940,"The Long Winter (Little House, #6)","The Long Winter (Little House, #6)",
"Henry Cloud, John Townsend",1992,Boundaries,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",en-US
Maggie Stiefvater,2014,"Blue Lily, Lily Blue","Blue Lily, Lily Blue (The Raven Cycle, #3)",eng
"Philip Roth, Luca Marinelli",1969,Portnoy's Complaint,Portnoy's Complaint,
"John C. Maxwell, Zig Ziglar",1998,The 21 Irrefutable Laws of Leadership,The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You,eng
Margaret Atwood,1988,Cat's Eye,Cat's Eye,eng
J. Sterling,2012,The Perfect Game,"The Perfect Game (The Perfect Game, #1)",eng
Patrick Ness,2010,Monsters of Men,"Monsters of Men (Chaos Walking, #3)",eng
Orson Scott Card,2005,Shadow of the Giant,"Shadow of the Giant (Ender's Shadow, #4)",eng
Brian Selznick,2011,Wonderstruck,Wonderstruck,eng
Sarah Ban Breathnach,1995,Simple Abundance:  A Daybook of Comfort and Joy,Simple Abundance:  A Daybook of Comfort and Joy,en-US
Moira Young,2011,Blood Red Road ,"Blood Red Road (Dust Lands, #1)",eng
"James Patterson, Maxine Paetro",2007,The 6th Target,"The 6th Target (Women's Murder Club, #6)",en-US
"Edgar Rice Burroughs, John Seelye",1912,A Princess of Mars,"A Princess of Mars (Barsoom, #1)",en-GB
Margaret Atwood,2013,MaddAddam,"MaddAddam (MaddAddam, #3)",eng
"Laura Ingalls Wilder, Garth Williams",1943,These Happy Golden Years,"These Happy Golden Years (Little House, #8)",eng
Victoria Finlay,2003,Color: A Natural History of the Palette,Color: A Natural History of the Palette,en-US
John Grisham,2001,Skipping Christmas,Skipping Christmas,eng
Michael Connelly,1993,,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",eng
Kristin Hannah,2012,Home Front,Home Front,eng
Christina Lauren,2013,Beautiful Stranger,"Beautiful Stranger (Beautiful Bastard, #2)",eng
Libba Bray,2007,The Sweet Far Thing,"The Sweet Far Thing (Gemma Doyle, #3)",eng
Ernest J. Gaines,1993,A Lesson Before Dying,A Lesson Before Dying,en-US
David Sedaris,1998,SantaLand Diaries,SantaLand Diaries,en-US
Nicholas Sparks,2015,See Me,See Me,eng
Sophie Kinsella,2010,Mini Shopaholic,"Mini Shopaholic (Shopaholic, #6)",eng
"Gene Zion, Margaret Bloy Graham",1956,,Harry the Dirty Dog,en-US
Jennifer Weiner,2014,,All Fall Down,eng
George Orwell,1933,Down and Out in Paris and London,Down and Out in Paris and London,en-US
Hiro Fujiwara,2006,会長はメイド様! 1,"Maid-sama! Vol. 01 (Maid-sama!, #1)",eng
Nick Bantock,1991,Griffin & Sabine: An Extraordinary Correspondence,Griffin and Sabine (Griffin & Sabine #1),eng
Leigh Bardugo,2014,Ruin and Rising,"Ruin and Rising (Shadow and Bone, #3)",eng
أحمد خالد توفيق,2008,يوتوبيا,يوتوبيا,ara
Jennifer Weiner,2000,Certain Girls,Certain Girls (Cannie Shapiro #2),eng
Cheryl Strayed,2012,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,
Karen Marie Moning,1999,Beyond the Highland Mist,"Beyond the Highland Mist (Highlander, #1)",eng
Ann Rule,1980,The Stranger Beside Me,The Stranger Beside Me: Ted Bundy The Shocking Inside Story,en-GB
Claudia Gray,2009,Stargazer,"Stargazer (Evernight, #2)",eng
Michael Crichton,1992,Rising Sun,Rising Sun,eng
Sidney Sheldon,1973,The Other Side of Midnight,The Other Side of Midnight (Midnight #1),eng
Michael Connelly,2010,The Reversal,"The Reversal (Harry Bosch, #16; Mickey Haller, #4; Harry Bosch Universe, #19)",eng
"Louis Sachar, Joel Schick",1989,Wayside School is Falling Down,Wayside School Is Falling Down (Wayside School #2),eng
"Julie Orringer, Arthur Morey",2010,The Invisible Bridge,The Invisible Bridge,eng
Pittacus Lore,2013,The Fall of Five,"The Fall of Five (Lorien Legacies, #4)",eng
"Thomas Hardy, Keith Wilson",1886,The Mayor of Casterbridge,The Mayor of Casterbridge,eng
John Steinbeck,1933,The Red Pony,The Red Pony,
Jo Nesbø,2003,Marekors ,"The Devil's Star (Harry Hole, #5)",eng
Alice Hoffman,1997,Here on Earth ,Here on Earth,eng
"Anne Rice, Tim Curry",1994,Taltos,"Taltos (Lives of the Mayfair Witches, #3)",
Laurell K. Hamilton,2000,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)","Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",eng
Peter V. Brett,2013,The Daylight War,"The Daylight War (Demon Cycle, #3)",eng
John Grisham,2008,The Appeal,The Appeal,en-US
Tamora Pierce,1986,The Woman Who Rides Like a Man,"The Woman Who Rides Like a Man (Song of the Lioness, #3)",en-US
Ben Aaronovitch,2011,Rivers of London,"Midnight Riot (Peter Grant, #1)",eng
Marian Keyes,1996,Lucy Sullivan is Getting Married,Lucy Sullivan Is Getting Married,en-US
Terry Pratchett,2004,A Hat Full of Sky,"A Hat Full of Sky (Discworld, #32; Tiffany Aching, #2)",eng
Vikram Seth,1993,A Suitable Boy,"A Suitable Boy (A Suitable Boy, #1)",en-US
Chimamanda Ngozi Adichie,2014,We Should All Be Feminists,We Should All Be Feminists,eng
Patricia Briggs,2011,River Marked,"River Marked (Mercy Thompson, #6)",en-GB
Amy Sedaris,2006,I Like You: Hospitality Under the Influence,I Like You: Hospitality Under the Influence,eng
William Gibson,2003,Pattern Recognition,"Pattern Recognition (Blue Ant, #1)",eng
Peter  Swanson,2015,The Kind Worth Killing,The Kind Worth Killing,eng
Patricia Schultz,2003,"1,000 Places to See Before You Die","1,000 Places to See Before You Die",
"Angie Sage, Mark Zug",2007,Physik,"Physik (Septimus Heap, #3)",en-US
"Roald Dahl, Quentin Blake",1984,Boy: Tales of Childhood,Boy: Tales of Childhood,eng
Anne Lamott,1999,Traveling Mercies: Some Thoughts on Faith,Traveling Mercies: Some Thoughts on Faith,en-CA
Vince Flynn,2004,Memorial Day,"Memorial Day (Mitch Rapp, #7)",eng
Tamora Pierce,1992,"Wild Magic (Immortals, #1)","Wild Magic (Immortals, #1)",en-US
Isaac Asimov,1988,Prelude to Foundation,Prelude to Foundation,eng
Max Lucado,1997,You Are Special: A Story for Everyone,"You Are Special (Wemmicksville, #1)",eng
Renee Ahdieh,2015,The Wrath & the Dawn,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",eng
"Nicholas D. Kristof, Sheryl WuDunn",2008,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,eng
"Daniel Handler, Maira Kalman",2011,Why We Broke Up,Why We Broke Up,eng
Sarah J. Maas,2014,The Assassin's Blade,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",eng
Curtis Sittenfeld,2008,American Wife,American Wife,eng
Jim Butcher,2006,Cursor's Fury,"Cursor's Fury (Codex Alera, #3)",eng
Mary Doria Russell,1996,The Sparrow,"The Sparrow (The Sparrow, #1)",eng
Jodi Picoult,1996,Mercy,Mercy,en-GB
Charlie N. Holmberg,2014,The Paper Magician,"The Paper Magician (The Paper Magician Trilogy, #1)",eng
Steve Harvey,2009,"Act Like a Lady, Think Like a Man","Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",
Candice Millard,2011,,"Destiny of the Republic: A Tale of Madness, Medicine and the Murder of a President",en-US
"Shirley Jackson, Jonathan Lethem",1962,We Have Always Lived in the Castle,We Have Always Lived in the Castle,eng
Emerson Eggerichs,2004,,Love and Respect: The Love She Most Desires; The Respect He Desperately Needs,
Michael Connelly,2008,The Brass Verdict,"The Brass Verdict (Harry Bosch, #14; Mickey Haller, #2; Harry Bosch Universe, #17)",eng
Timothy Zahn,1992,Star Wars: Dark Force Rising,Dark Force Rising,en-US
Lee Child,2013,Never Go Back ,"Never Go Back (Jack Reacher, #18)",eng
Gail Carson Levine,2001,The Two Princesses of Bamarre,The Two Princesses of Bamarre,eng
"Richard Wright, Jerry W. Ward Jr.",1945,Black Boy: A Record of Youth and Childhood,Black Boy,en-US
Lalita Tademy,2001,Cane River,Cane River,en-US
Terry Goodkind,2006,"Phantom (Sword of Truth, #10)","Phantom (Sword of Truth, #10)",
Isaac Asimov,1986,Foundation and Earth,Foundation and Earth (Foundation #5),eng
"James D. Bradley, Ron Powers",2000,Flags of Our Fathers,Flags of Our Fathers,
"A.A. Milne, Ernest H. Shepard",1926,Winnie-the-Pooh & The House at Pooh Corner,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",eng
Mahatma Gandhi,1940,An Autobiography or The Story of My Experiments with Truth,The Story of My Experiments With Truth,eng
"Lance Armstrong, Sally Jenkins",1999,It's Not About the Bike: My Journey Back to Life,It's Not About the Bike: My Journey Back to Life,en-US
Stephen E. Ambrose,1996,Undaunted Courage,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,eng
Helen Macdonald,2015,H is for Hawk,H is for Hawk,eng
David Nicholls,2014,Us,Us,eng
R.A. Salvatore,1990,Sojourn (Dark Elf #3),"Sojourn (Forgotten Realms: The Dark Elf Trilogy, #3; Legend of Drizzt, #3)",eng
"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata",2009,,"Ender's Game, Volume 1: Battle School (Ender's Saga)",en-US
"Karuho Shiina, Tomo Kimura",2006,君に届け 1,"Kimi ni Todoke: From Me to You, Vol. 1",eng
Dean Koontz,1999,False Memory,False Memory,en-US
Terry Pratchett,1990,Moving Pictures,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",eng
C.J. Roberts,2011,Captive in the Dark,"Captive in the Dark (The Dark Duet, #1)",eng
James Allen,1902,,As a Man Thinketh,eng
Mary Roach,2008,Bonk: The Curious Coupling of Science and Sex,Bonk: The Curious Coupling of Science and Sex,en-US
Rachel Caine,2007,Midnight Alley,"Midnight Alley (The Morganville Vampires, #3)",eng
"Nina George, Simon Pare",2013,Das Lavendelzimmer ,The Little Paris Bookshop,eng
Ian McEwan,2012,Sweet Tooth,Sweet Tooth,eng
Abbi Glines,2013,"Twisted Perfection (Perfection, #1)","Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",eng
Tom Clancy,1996,Executive Orders,"Executive Orders (Jack Ryan Universe, #9)",eng
Ann Voskamp,2011,One Thousand Gifts,One Thousand Gifts: A Dare to Live Fully Right Where You Are,eng
Robert Bloch,1959,Psycho,Psycho,eng
Robin Hobb,1998,Ship of Magic,"Ship of Magic (Liveship Traders, #1)",eng
"Alistair MacLean, Clint Willis",1967,Where Eagles Dare ,Where Eagles Dare ,
Maeve Binchy,1990,Circle of Friends,Circle of Friends,eng
Rupi Kaur,2014,milk and honey,Milk and Honey,eng
Tom Clancy,1998,Rainbow Six,"Rainbow Six (Jack Ryan Universe, #10)",en-US
Neil Gaiman,2006,Fragile Things: Short Fictions and Wonders,Fragile Things: Short Fictions and Wonders,eng
Rosamund Lupton,2010,Sister,Sister,eng
"Liu Cixin, Ken Liu",2007,三体,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",eng
Terry Pratchett,2001,Thief of Time,"Thief of Time (Discworld, #26; Death, #5)",eng
"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",2003,Superman: Red Son,Superman: Red Son,eng
Julia Glass,2002,Three Junes,Three Junes,eng
"Benjamin Franklin, Lewis Leary",1791,,The Autobiography of Benjamin Franklin,eng
Timothy J. Keller,2007,The Reason for God: Belief in an Age of Skepticism,The Reason for God: Belief in an Age of Skepticism,eng
Mark  Lawrence,2012,King of Thorns,"King of Thorns (The Broken Empire, #2)",en-US
Jeffrey Archer,2012,The Sins of the Father,"The Sins of the Father (The Clifton Chronicles, #2)",eng
Meg Cabot,2000,Shadowland,"Shadowland (The Mediator, #1)",eng
Sara Shepard,2009,Killer ,"Killer (Pretty Little Liars, #6)",eng
"W. Chan Kim, Renée Mauborgne",2004,Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,
James Patterson,2010,Fang,"Fang (Maximum Ride, #6)",eng
Sarah Addison Allen,2011,The Peach Keeper ,The Peach Keeper,en-US
"Audrey Wood, Don    Wood",1984,The Napping House,The Napping House,
Matthew FitzSimmons,2015,,"The Short Drop (Gibson Vaughn, #1)",eng
Christopher Moore,2007,You Suck ,"You Suck (A Love Story, #2)",eng
Jamie McGuire,2014,Beautiful Oblivion,"Beautiful Oblivion (The Maddox Brothers, #1)",eng
Vernor Vinge,1992,A Fire Upon The Deep,"A Fire Upon the Deep (Zones of Thought, #1)",eng
Eckhart Tolle,1999,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from The Power of Now","Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",
Caroline B. Cooney,1990,The Face on the Milk Carton,"The Face on the Milk Carton (Janie Johnson, #1)",en-US
Robert Lopshire,1960,Put Me in the Zoo,Put Me in the Zoo,eng
Sophie Jordan,2010,"Firelight (Firelight, #1)","Firelight (Firelight, #1)",en-US
"Italo Calvino, William Weaver",1972,Le città invisibili,Invisible Cities,eng
Jessica Park,2011,Flat-Out Love ,"Flat-Out Love (Flat-Out Love, #1)",eng
Richard Flanagan,2013,The Narrow Road to the Deep North,The Narrow Road to the Deep North,eng
"A.N. Roquelaure, Anne Rice",1983,The Claiming of Sleeping Beauty,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",en-US
Jennifer Worth,2002, Call the midwife : a true story of the East End in the 1950s,"The Midwife: A Memoir of Birth, Joy, and Hard Times",en-US
Hunter S. Thompson,1966,Hell's Angels,Hell's Angels: A Strange and Terrible Saga,fre
Jennifer Weiner,2010,Then Came You,Then Came You,en-US
L.J. Smith,1991,The Awakening,"The Awakening (The Vampire Diaries, #1)",eng
Susan Elizabeth Phillips,1994,It Had to Be You,"It Had to Be You (Chicago Stars, #1)",eng
Michael   Lewis,2011,Boomerang: Travels in the New Third World,Boomerang: Travels in the New Third World,eng
Jennifer Weiner,2010,Fly Away Home,Fly Away Home,eng
"Stendhal, Roger Gard",1830,Le Rouge et le Noir,The Red and the Black,eng
Philippa Gregory,2004,The Virgin's Lover,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)",en-US
Catherine Fisher,2007,Incarceron,"Incarceron (Incarceron, #1)",eng
C.C. Hunter,2011,Awake at Dawn,"Awake at Dawn (Shadow Falls, #2)",en-US
Bev Vincent,2004,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,
Josephine Angelini,2011,Starcrossed,"Starcrossed (Starcrossed, #1)",en-US
Alyson Noel,2010,Night Star,"Night Star (The Immortals, #5)",eng
N.H. Kleinbaum,1988,Dead Poets Society ,Dead Poets Society,eng
Emily Bleeker,2015,,Wreckage,en-GB
Terry Pratchett,1999,The Fifth Elephant,"The Fifth Elephant (Discworld, #24; City Watch, #5)",eng
John Flanagan,2006,The Sorcerer in the North,"The Sorcerer in the North (Ranger's Apprentice, #5)",eng
Paramahansa Yogananda,1946,Autobiography of a Yogi,Autobiography of a Yogi,en-US
Kevin Hearne,2011,"Hexed (Iron Druid Chronicles, #2)","Hexed (The Iron Druid Chronicles, #2)",eng
"Alvin Schwartz, Stephen Gammell",1981,Scary Stories to Tell in the Dark,"Scary Stories to Tell in the Dark (Scary Stories, #1)",eng
Harlan Coben,2016,Fool Me Once,Fool Me Once,eng
John Hersey,1946,Hiroshima,Hiroshima,eng
Jennifer Brown,2009,Hate List,Hate List,eng
Kasie West,2013,,The Distance Between Us,eng
Karen Armstrong,1975,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam","A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",eng
James S.A. Corey,2013,Abaddon's Gate,"Abaddon's Gate (The Expanse, #3)",eng
"Pablo Neruda, W.S. Merwin, Cristina García",1924,Veinte poemas de amor y una canción desesperada,Twenty Love Poems and a Song of Despair,eng
Tom Clancy,1988,The Cardinal of the Kremlin,"The Cardinal of the Kremlin (Jack Ryan Universe, #5)",en-US
David Shannon,1998,"No, David!","No, David!",en-US
"Thomas More, Paul Turner",1516,"Libellus vere aureus, nec minus salutaris quam festivus, de optimo rei publicae statu deque nova insula Utopia",Utopia,eng
"Pseudonymous Bosch, Gilbert Ford",2007,The Name of This Book Is Secret,"The Name of This Book Is Secret (Secret, #1)",en-US
Danielle  Paige,2014,Dorothy Must Die,"Dorothy Must Die (Dorothy Must Die, #1)",eng
Dean Koontz,2006,The Husband,The Husband,eng
Aimee Bender,2010,The Particular Sadness of Lemon Cake,The Particular Sadness of Lemon Cake,eng
James Patterson,2003,The Big Bad Wolf  ,"The Big Bad Wolf  (Alex Cross, #9)",en-US
"Dai Sijie, Ina Rilke",2000,Balzac et la Petite Tailleuse chinoise,Balzac and the Little Chinese Seamstress,en-US
Roxane Gay,2014,Bad Feminist ,Bad Feminist,eng
V.C. Andrews,1980,Petals on the Wind,"Petals on the Wind (Dollanganger, #2)",en-US
"Roald Dahl, Quentin Blake",1975,Danny: The Champion of the World,Danny the Champion of the World,
Amy Chua,2011,,Battle Hymn of the Tiger Mother,eng
Noelle Stevenson,2015,Nimona,Nimona,eng
Giada De Laurentiis,2005,Everyday Italian: 125 Simple and Delicious Recipes,Everyday Italian: 125 Simple and Delicious Recipes,
Patricia Cornwell,1995,From Potter's Field,"From Potter's Field (Kay Scarpetta, #6)",eng
James Patterson,2005,"Mary, Mary","Mary, Mary (Alex Cross, #11)",eng
Jeanette Winterson,1985,Oranges Are Not the Only Fruit,Oranges Are Not the Only Fruit,eng
R.K. Lilley,2013,Grounded (Up In The Air #3),"Grounded (Up in the Air, #3)",en-GB
Ravinder Singh,2007,I Too Had A Love Story,I Too Had a Love Story,eng
"Betty MacDonald, Alexandra Boiger",1947,Mrs. Piggle-Wiggle,"Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #1)",eng
