GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization
G234509,Non-Essential,Peptidyl-Prolyl-Isomerases,?,"Conditional phenotypes",PS00170,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G234509,Non-Essential,Peptidyl-Prolyl-Isomerases,?,"Conditional phenotypes",PS00170,8,"PROTEIN DESTINATION",ER
G234513,Non-Essential,"Protein Kinases",?,?,PS00013,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",ER
G234513,Non-Essential,"Protein Kinases",?,?,PS00013,8,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",ER
G234513,Non-Essential,"Protein Kinases",?,?,PS00013,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",ER
G234513,Non-Essential,"Protein Kinases",?,?,PS00013,8,METABOLISM,ER
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00216,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00216,8,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00216,8,METABOLISM,"plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00216,8,"TRANSPORT FACILITATION","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00217,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00217,8,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00217,8,METABOLISM,"plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00217,8,"TRANSPORT FACILITATION","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00225,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00225,8,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00225,8,METABOLISM,"plasma membrane"
G234516,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,PS00225,8,"TRANSPORT FACILITATION","plasma membrane"
G234517,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234517,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,8,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234517,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,8,METABOLISM,"plasma membrane"
G234517,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,8,"TRANSPORT FACILITATION","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Cell morphology and organelle mutants",PS00107,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Cell morphology and organelle mutants",PS00107,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Cell morphology and organelle mutants",PS00107,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Cell morphology and organelle mutants",PS00107,8,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Conditional phenotypes",PS00107,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Conditional phenotypes",PS00107,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Conditional phenotypes",PS00107,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234522,Non-Essential,"Protein Kinases","Casein kinase","Conditional phenotypes",PS00107,8,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234523,Essential,Polymerases,"Transcription complexes/Transcriptosome",?,?,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234523,Essential,Polymerases,"Transcription complexes/Transcriptosome",?,?,8,TRANSCRIPTION,nucleus
G234525,Essential,ATPases,"Replication complexes","Cell cycle defects",PS00017,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234525,Essential,ATPases,"Replication complexes","Cell cycle defects",PS00017,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234525,Essential,ATPases,"Replication complexes","Conditional phenotypes",PS00017,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234525,Essential,ATPases,"Replication complexes","Conditional phenotypes",PS00017,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234525,Essential,ATPases,"Replication complexes","Nucleic acid metabolism defects",PS00017,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234525,Essential,ATPases,"Replication complexes","Nucleic acid metabolism defects",PS00017,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234529,Non-Essential,"Transcription factors",?,"Stress response defects",PS00434,8,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234529,Non-Essential,"Transcription factors",?,"Stress response defects",PS00434,8,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G234529,Non-Essential,"Transcription factors",?,"Stress response defects",PS00434,8,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",nucleus
G234529,Non-Essential,"Transcription factors",?,"Stress response defects",PS00434,8,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234529,Non-Essential,"Transcription factors",?,"Stress response defects",PS00434,8,TRANSCRIPTION,nucleus
G234533,Essential,Polymerases,"Transcription complexes/Transcriptosome",?,PS00446,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234533,Essential,Polymerases,"Transcription complexes/Transcriptosome",?,PS00446,9,TRANSCRIPTION,nucleus
G234535,Non-Essential,"Protein Kinases","Casein kinase",?,PS00107,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234535,Non-Essential,"Protein Kinases","Casein kinase",?,PS00107,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234535,Non-Essential,"Protein Kinases","Casein kinase",?,PS00107,9,TRANSCRIPTION,nucleus
G234535,Non-Essential,"Protein Kinases","Casein kinase",?,PS00108,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234535,Non-Essential,"Protein Kinases","Casein kinase",?,PS00108,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234535,Non-Essential,"Protein Kinases","Casein kinase",?,PS00108,9,TRANSCRIPTION,nucleus
G234538,?,"Major facilitator superfamily proteins (MFS)",?,?,?,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","plasma membrane"
G234538,?,"Major facilitator superfamily proteins (MFS)",?,?,?,9,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","plasma membrane"
G234538,?,"Major facilitator superfamily proteins (MFS)",?,?,?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234542,Non-Essential,"GTPase activating proteins (GAPs)",?,"Conditional phenotypes",?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234542,Non-Essential,"GTPase activating proteins (GAPs)",?,"Conditional phenotypes",?,9,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Auxotrophies, carbon and",PS00633,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Auxotrophies, carbon and",PS00633,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Auxotrophies, carbon and",PS00633,9,TRANSCRIPTION,nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Cell cycle defects",PS00633,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Cell cycle defects",PS00633,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Cell cycle defects",PS00633,9,TRANSCRIPTION,nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Cell morphology and organelle mutants",PS00633,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Cell morphology and organelle mutants",PS00633,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Cell morphology and organelle mutants",PS00633,9,TRANSCRIPTION,nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Conditional phenotypes",PS00633,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Conditional phenotypes",PS00633,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234549,Essential,ATPases,"RSC complex (Remodel the structure of chromatin)","Conditional phenotypes",PS00633,9,TRANSCRIPTION,nucleus
G234553,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00750,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234553,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00750,9,"PROTEIN DESTINATION",cytoplasm
G234553,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00750,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234553,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00750,9,"PROTEIN DESTINATION",cytoplasm
G234553,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00750,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234553,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00750,9,"PROTEIN DESTINATION",cytoplasm
G234553,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00750,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234553,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00750,9,"PROTEIN DESTINATION",cytoplasm
G234554,Essential,"Other kinases",?,"Cell morphology and organelle mutants",?,9,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","plasma membrane"
G234554,Essential,"Other kinases",?,"Cell morphology and organelle mutants",?,9,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","plasma membrane"
G234554,Essential,"Other kinases",?,"Cell morphology and organelle mutants",?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234554,Essential,"Other kinases",?,"Cell morphology and organelle mutants",?,9,METABOLISM,"plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to aminoacid analogs and other drugs",?,9,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to aminoacid analogs and other drugs",?,9,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to aminoacid analogs and other drugs",?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to aminoacid analogs and other drugs",?,9,METABOLISM,"plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to antibiotics",?,9,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to antibiotics",?,9,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to antibiotics",?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234554,Essential,"Other kinases",?,"Sensitivity to antibiotics",?,9,METABOLISM,"plasma membrane"
G234562,Essential,Polymerases,"Replication complexes","Cell cycle defects",?,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234562,Essential,Polymerases,"Replication complexes","Cell cycle defects",?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234562,Essential,Polymerases,"Replication complexes","Mating and sporulation defects",?,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234562,Essential,Polymerases,"Replication complexes","Mating and sporulation defects",?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234562,Essential,Polymerases,"Replication complexes","Nucleic acid metabolism defects",?,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234562,Essential,Polymerases,"Replication complexes","Nucleic acid metabolism defects",?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234562,Essential,Polymerases,"Replication complexes",Unknown,?,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234562,Essential,Polymerases,"Replication complexes",Unknown,?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234563,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and",PS00036,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234563,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and",PS00036,9,METABOLISM,nucleus
G234563,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and",PS00036,9,TRANSCRIPTION,nucleus
G234563,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Stress response defects",PS00036,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234563,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Stress response defects",PS00036,9,METABOLISM,nucleus
G234563,Non-Essential,"Transcription factors","Transcription complexes/Transcriptosome","Stress response defects",PS00036,9,TRANSCRIPTION,nucleus
G234564,Non-Essential,"Transcription factors",?,?,?,9,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234564,Non-Essential,"Transcription factors",?,?,?,9,TRANSCRIPTION,nucleus
G234572,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell cycle defects",PS00751,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234572,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell cycle defects",PS00751,10,"PROTEIN DESTINATION",cytoplasm
G234572,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00751,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234572,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00751,10,"PROTEIN DESTINATION",cytoplasm
G234572,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00751,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234572,Essential,ATPases,"Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00751,10,"PROTEIN DESTINATION",cytoplasm
G234572,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell cycle defects",PS00751,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234572,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell cycle defects",PS00751,10,"PROTEIN DESTINATION",cytoplasm
G234572,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00751,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234572,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants",PS00751,10,"PROTEIN DESTINATION",cytoplasm
G234572,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00751,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234572,Essential,"Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes",PS00751,10,"PROTEIN DESTINATION",cytoplasm
G234575,Non-Essential,"Transcription factors",?,?,PS00028,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234575,Non-Essential,"Transcription factors",?,?,PS00028,10,TRANSCRIPTION,nucleus
G234575,Non-Essential,"Transcription factors",?,?,PS00123,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234575,Non-Essential,"Transcription factors",?,?,PS00123,10,TRANSCRIPTION,nucleus
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00017,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00017,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00017,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00017,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00108,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00108,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00108,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Auxotrophies, carbon and",PS00108,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00017,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00017,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00017,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00017,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00108,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00108,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00108,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Cell morphology and organelle mutants",PS00108,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00017,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00017,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00017,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00017,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00108,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00108,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00108,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",PS00108,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00017,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00017,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00017,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00017,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00108,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00108,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00108,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Mating and sporulation defects",PS00108,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00017,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00017,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00017,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00017,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00108,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00108,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00108,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234581,Non-Essential,"Protein Kinases",?,"Stress response defects",PS00108,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234586,Non-Essential,"Transcription factors",?,?,PS00344,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234586,Non-Essential,"Transcription factors",?,?,PS00344,10,METABOLISM,nucleus
G234586,Non-Essential,"Transcription factors",?,?,PS00344,10,TRANSCRIPTION,nucleus
G234589,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane"
G234589,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,10,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane"
G234589,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,10,"IONIC HOMEOSTASIS","plasma membrane"
G234589,Non-Essential,"Major facilitator superfamily proteins (MFS)",?,?,?,10,"TRANSPORT FACILITATION","plasma membrane"
G234591,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",?,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm
G234591,Non-Essential,"Protein Kinases",?,"Conditional phenotypes",?,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234594,Non-Essential,"Protein Kinases","cAMP-dependent protein kinase",?,PS00107,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234594,Non-Essential,"Protein Kinases","cAMP-dependent protein kinase",?,PS00107,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234594,Non-Essential,"Protein Kinases","cAMP-dependent protein kinase",?,PS00107,10,TRANSCRIPTION,cytoplasm
G234594,Non-Essential,"Protein Kinases","cAMP-dependent protein kinase",?,PS00108,10,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION",cytoplasm
G234594,Non-Essential,"Protein Kinases","cAMP-dependent protein kinase",?,PS00108,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",cytoplasm
G234594,Non-Essential,"Protein Kinases","cAMP-dependent protein kinase",?,PS00108,10,TRANSCRIPTION,cytoplasm
G234603,Non-Essential,Adaptins,"Intracellular transport complexes",?,PS00867,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","transport vesicles"
G234603,Non-Essential,Adaptins,"Intracellular transport complexes",?,PS00867,10,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","transport vesicles"
G234603,Non-Essential,Adaptins,"Intracellular transport complexes",?,PS00867,10,"PROTEIN DESTINATION","transport vesicles"
G234604,Essential,Polymerases,"Replication complexes","Cell cycle defects",?,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234604,Essential,Polymerases,"Replication complexes","Cell cycle defects",?,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
G234604,Essential,Polymerases,"Replication complexes","Cell cycle defects",?,10,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)",nucleus
G234604,Essential,Polymerases,"Replication complexes","Conditional phenotypes",?,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus
G234604,Essential,Polymerases,"Replication complexes","Conditional phenotypes",?,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus
