id,titleBook,titleSeriesBook,authorName,hasSeries,seriesNumber,avgRating,totalRating,voters,score
305,That Summer,NA,Sarah Dessen,FALSE,0,3.48,820,5,0
306,Keeping the Moon,NA,Sarah Dessen,FALSE,0,3.86,9899,5,0
307,Scarlet ,The Lunar Chronicles,Marissa Meyer,TRUE,2,4.28,3,4,0
308,My Life Next Door,NA,Huntley Fitzpatrick,FALSE,0,4,8279,4,0
309,Watership Down ,Watership Down,Richard  Adams,TRUE,1,4.06,7358,4,0
310,Wings of the Wicked ,Angelfire,Courtney Allison Moulton,TRUE,2,4.23,4580,5,0
311,The Named,NA,Marianne Curley,FALSE,0,4.06,7692,5,0
312,Holes ,Holes,Louis Sachar,TRUE,1,3.96,4136,4,0
313,Glimmerglass ,Faeriewalker,Jenna Black,TRUE,1,3.75,9997,6,0
314,Charlie and the Chocolate Factory ,Charlie Bucket,Roald Dahl,TRUE,1,4.13,2511,4,0
315,The Chronicles of Narnia ,Chronicles of Narnia-7,C.S. Lewis,TRUE,1,4.26,9559,4,0
316,The Giver ,The Giver,Lois Lowry,TRUE,1,4.13,1679657,4,0
317,Reason to Breathe ,Breathing,Rebecca    Donovan,TRUE,1,4.22,5110,4,0
318,Fablehaven ,Fablehaven,Brandon Mull,TRUE,1,4.1,5519,4,0
319,"I'd Tell You I Love You, But Then I'd Have to Kill You ",Gallagher Girls,Ally Carter,TRUE,1,3.83,9866,4,0
320,The Maze Runner ,The Maze Runner,James Dashner,TRUE,1,4.02,9810,4,0
321,Fateful ,Fateful,Cheri Schmidt,TRUE,1,3.61,2382,6,0
322,Just Listen,NA,Sarah Dessen,FALSE,0,4.06,7207,4,0
323,Everlasting ,The Immortals,Alyson Noel,TRUE,6,3.91,3725,5,0
324,Beauty Queens,NA,Libba Bray,FALSE,0,3.62,8348,4,0
325,Birthmarked ,Birthmarked,Caragh M. O'Brien,TRUE,1,3.89,4514,6,0
326,Brightly Woven,NA,Alexandra Bracken,FALSE,0,3.8,8818,5,0
327,Inside Out ,Insider,Maria V. Snyder,TRUE,1,3.82,3486,4,0
328,The Sphinx Project ,The Chimaera Chronicles,Kate Hawkings,TRUE,1,3.7,0,3,0
329,Fables of the Flag,NA,Ethan Coffee,FALSE,0,4,0,3,0
330,Control ,Control,Lydia Kang,TRUE,1,3.86,4380,3,0
331,The Founder's Curse ,New Zigon,Danelle O'Donnell,TRUE,1,4.17,0,3,0
332,Kirin Rise: The Cast of Shadows,NA,Ed Cruz,FALSE,0,4.68,0,3,0
333,Realm of the Goddess,NA,Sabina Khan,FALSE,0,3.65,0,3,0
334,Haunted Tree ,The Magus Family Chronicles,Scott Robert Scheller,TRUE,1,3.78,0,3,0
335,Splintered Courage,NA,J.E. Sawyer,FALSE,0,3.82,0,3,0
336,Stratagem,NA,Christina Hagmann,FALSE,0,4.72,0,3,0
337,I Thirst ,The Veritas Chronicles,Gina Marinello-Sweeney,TRUE,1,3.84,0,3,0
338,In the Eyes of Madness ,Declan Peters Chronicles,Michael Pang,TRUE,1,3.76,0,3,0
339,The Holders ,Holders,Julianna Scott,TRUE,1,3.8,1019,3,0
340,First Contact ,Aoleon The Martian Girl,Brent LeVasseur,TRUE,1,3.99,0,3,0
341,The Power of Six ,Lorien Legacies,Pittacus Lore,TRUE,2,4.16,8905,4,0
342,Dead Low Tide ,The Caden Chronicles,Eddie       Jones,TRUE,3,4.85,0,3,0
343,Bitterblue ,Graceling Realm,Kristin Cashore,TRUE,3,4,5556,5,0
344,NA,13 to Life,Shannon Delany,TRUE,1,3.8,2558,7,0
345,Arielle Immortal Awakening ,Immortal Rapture,Lilian Roberts,TRUE,1,3.71,0,3,0
346,The End of Calico Jack ,Caribbean Chronicles Book,Eddie       Jones,TRUE,3,4.8,0,3,0
347,The Rise of Nine ,Lorien Legacies,Pittacus Lore,TRUE,3,4.18,4024,4,0
348,Dead Man's Hand ,The Caden Chronicles,Eddie       Jones,TRUE,1,4.02,0,3,0
349,Bentwhistle The Dragon in A Chilling Revelation ,Book,Paul Cude,TRUE,2,4.65,0,3,0
350,"Dead Calm, Bone Dry ",Caribbean Chronicles,Eddie       Jones,TRUE,2,4.54,0,3,0
351,"Will Grayson, Will Grayson",NA,John Green,FALSE,0,3.78,8664,4,0
352,Dreams Come True,NA,Bridgitte Lesley,FALSE,0,4.15,0,3,0
353,"Curse of the Black Avenger: Blood Sails, Dark Hearts",NA,Eddie       Jones,FALSE,0,4.02,0,3,0
354,The Thief ,The Queen's Thief,Megan Whalen Turner,TRUE,1,3.88,1453,3,0
355,A Wizard of Earthsea,NA,Ursula K. Le Guin,FALSE,0,4,2594,3,0
356,UnWholly ,Unwind,Neal Shusterman,TRUE,2,4.25,7184,3,0
357,Queen of Shadows ,Throne of Glass,Sarah J. Maas,TRUE,4,4.57,9884,3,0
358,The King of Attolia ,The Queen's Thief,Megan Whalen Turner,TRUE,3,4.37,1651,3,0
359,Stewie,NA,Linda De Quincey,FALSE,0,4.11,0,3,0
360,Deadly Little Games ,Touch,Laurie Faria Stolarz,TRUE,3,4.04,8564,4,0
361,The Truth About Forever,NA,Sarah Dessen,FALSE,0,4.13,4732,3,0
362,The DUFF: Designated Ugly Fat Friend,NA,Kody Keplinger,FALSE,0,3.83,4050,3,0
363,Storm Glass ,Glass,Maria V. Snyder,TRUE,1,3.95,2957,5,0
364,Foundation ,Foundation,Isaac Asimov,TRUE,1,4.17,5615,3,0
365,Linger ,The Wolves of Mercy Falls,Maggie Stiefvater,TRUE,2,3.91,6769,5,0
366,The Fallen Star ,Fallen Star,Jessica Sorensen,TRUE,1,3.91,7762,3,0
367,It's Not Summer Without You ,Summer,Jenny Han,TRUE,2,4.1,5038,3,0
368,Blood and Chocolate,NA,Annette Curtis Klause,FALSE,0,3.78,7408,3,0
369,The Princess Diaries ,The Princess Diaries,Meg Cabot,TRUE,1,3.79,7591,3,0
370,Ink Exchange ,Wicked Lovely,Melissa Marr,TRUE,2,3.69,5172,5,0
371,Someone Like You,NA,Sarah Dessen,FALSE,0,3.93,3771,3,0
372,The Golden Compass ,His Dark Materials,Philip Pullman,TRUE,1,3.98,1228754,3,0
373,Eleanor & Park,NA,Rainbow Rowell,FALSE,0,4.07,6343,3,0
374,My Boyfriend Merlin ,My Merlin,Priya Ardis,TRUE,1,3.55,2141,3,0
375,So Yesterday,NA,Scott Westerfeld,FALSE,0,3.58,890,3,0
376,The Arctic Incident  ,Artemis Fowl,Eoin Colfer,TRUE,2,3.95,1016,3,0
377,Virals ,Virals,Kathy Reichs,TRUE,1,3.94,5458,3,0
378,Daimon ,Covenant.5,Jennifer L. Armentrout,FALSE,0,4.1,9993,4,0
379,Going Too Far,NA,Jennifer Echols,FALSE,0,3.93,8306,3,0
380,The Assassin's Blade ,Throne of Glass.1-0.5,Sarah J. Maas,FALSE,0,4.43,5206,3,0
381,Significance ,Significance,Shelly Crane,TRUE,1,4.11,1273,3,0
382,Touch ,Denazen,Jus Accardo,TRUE,1,3.81,4431,3,0
383,Prince of Wolves ,The Grey Wolves,Quinn Loftis,TRUE,1,4.04,3683,3,0
384,School's Out—Forever ,Maximum Ride,James Patterson,TRUE,2,4.15,802,3,0
385,If I Should Die ,Revenants,Amy Plum,TRUE,3,4.2,7190,3,0
386,Until I Die ,Revenants,Amy Plum,TRUE,2,4.17,7701,3,0
387,Saving the World and Other Extreme Sports ,Maximum Ride,James Patterson,TRUE,3,4.15,6181,3,0
388,Princess of the Midnight Ball ,The Princesses of Westfalin Trilogy,Jessica Day George,TRUE,1,3.93,1347,4,0
389,Her Dark Destiny ,Hunters of the Dark,Dave Ferraro,TRUE,1,3.41,0,2,0
390,Scent of a White Rose ,The Rose Trilogy,Tish Thawer,TRUE,1,3.67,0,2,0
391,Sonora and the Eye of the Titans ,Sonora,T.S. Hall,TRUE,1,3.76,0,2,0
392,Demons at Deadnight ,Divinicus Nex Chronicles,A.  Kirk,TRUE,1,4.13,8349,2,0
393,The Complex ,Linx ,C. Zaragoza,TRUE,1,3.8,0,2,0
394,The Shen Counter,NA,Nicole Jakubowski,FALSE,0,4.38,0,2,0
395,Witch Born ,Witch Song,Amber Argyle,TRUE,2,4.17,1208,2,0
396,The Case of the Wayward Fae ,The Chronicles of Mister Marmee,H.L.  Stephens,TRUE,2,4.08,0,2,0
397,Pitch Green ,Dimensions in Death,The Brothers Washburn,TRUE,1,4.1,0,2,0
398,Reborn ,The Fate Challenges,Cherie Reich,TRUE,1,4.21,0,2,0
399,Regular People of The Weak: A Rebel's Experience With The Spiritual Chief of Poets,NA,Shareef Mabrouk,FALSE,0,4.78,0,2,0
400,The Prophecy of Arcadia ,Arcadian Wars,M.H. Soars,TRUE,1,3.82,0,2,0
401,The Tree House ,The Tree House,Shay Lynam,TRUE,1,4.06,0,2,0
402,Before Life Happened ,Before,Isabel Curtis,TRUE,1,3.67,0,2,0
403,The Weaver of Odds ,Vivian Amberville,Louise Blackwick,TRUE,1,4.34,0,2,0
404,Mine Forever: A Young Adult Romance,NA,Skylar Nightingale,FALSE,0,4.45,0,2,0
405,Revealing Eden ,Save the Pearls,Victoria Foyt,TRUE,1,2,0,2,0
406,Atonement,NA,Ian McEwan,FALSE,0,3.9,3845,2,0
407,Broken ,Assumption,Izzibella Beau,TRUE,1,4.16,0,2,0
408,Deadline,NA,Chris Crutcher,FALSE,0,3.93,2762,2,0
409,Maya's Magical Adventures,NA,Malcolm McCoard,FALSE,0,4.77,0,2,0
410,Rumor of a Werewolf ,Monster Mysteries,Eddie       Jones,TRUE,4,4.75,0,2,0
411,Airborne ,Airborne Saga,Constance Sharper,TRUE,1,3.53,1239,4,0
412,The Case of Jack the Nipper ,The Chronicles of Mister Marmee,H.L.  Stephens,TRUE,1,3.91,0,2,0
413,The Trial ,The Tree House,Shay Lynam,TRUE,2,4,0,2,0
414,Unmaking Hunter Kennedy,NA,Anne    Eliot,FALSE,0,3.81,9197,2,0
415,Alice ,The Wanderland Chronicles,J.M.  Sullivan,TRUE,1,3.82,0,2,0
416,Chasing Eveline,NA,Leslie Hauser,FALSE,0,4.18,0,2,0
417,"Stop! Don't Read This, It's Impossible!",NA,Malcolm McCoard,FALSE,0,4.74,0,2,0
418,The House of the Scorpion ,Matteo Alacran,Nancy Farmer,TRUE,1,4.1,5674,2,0
419,Minutes Before Sunset ,Timely Death,Shannon A. Thompson,TRUE,1,4.03,0,2,0
420,The Amber Spyglass  ,His Dark Materials,Philip Pullman,TRUE,3,4.09,9550,2,0
421,Trial by Fire ,Raised by Wolves,Jennifer Lynn Barnes,TRUE,2,4.13,3760,3,0
422,Places I Never Meant To Go,NA,Shay Lynam,FALSE,0,3.9,0,2,0
423,Death & the Zombie Apocalypse ,Zombie Apocalypse,Chelsea Luna,TRUE,2,4.16,0,2,0
424,Clockwork Princess ,The Infernal Devices,Cassandra Clare,TRUE,3,4.58,1400,3,0
425,Case of the Ivy Hollow Werewolf ,Monster Club,Chelsea Luna,TRUE,1,4.21,0,2,0
426,Terrier ,Beka Cooper,Tamora Pierce,TRUE,1,4.15,9776,3,0
427,Demonglass ,Hex Hall,Rachel Hawkins,TRUE,2,4.11,5509,4,0
428,Super Indy: The Great Action,NA,Alex Letner,FALSE,0,4.88,0,2,0
429,Love & the Zombie Apocalypse ,Zombie Apocalypse,Chelsea Luna,TRUE,1,3.95,0,2,0
430,The Pigman ,The Pigman,Paul Zindel,TRUE,1,3.59,5626,2,0
431,Is Everyone Hanging Out Without Me?,NA,Mindy Kaling,FALSE,0,3.85,960,2,0
432,The Statistical Probability of Love at First Sight,NA,Jennifer E. Smith,FALSE,0,3.78,5800,2,0
433,The Seren Trilogy,NA,Darren Lewis,FALSE,0,4.52,0,2,0
434,Through the Ever Night ,Under the Never Sky,Veronica Rossi,TRUE,2,4.15,7369,3,0
435,Reboot ,Reboot,Amy Tintera,TRUE,1,3.9,9785,2,0
436,Pushing the Limits ,Pushing the Limits,Katie McGarry,TRUE,1,4.07,1095,3,0
437,The Prince of Mist ,Niebla,Carlos Ruiz Zafón,TRUE,1,3.71,1206,2,0
438,All Hallows Eve ,New England Witch Chronicles,Chelsea Luna,TRUE,4,4.31,0,2,0
439,Ash,NA,Malinda Lo,FALSE,0,3.62,597,3,0
440,The Westing Game,NA,Ellen Raskin,FALSE,0,4.02,3861,2,0
441,Pure ,Covenant,Jennifer L. Armentrout,TRUE,2,4.33,4893,3,0
442,"Wood, Talc and Mr. J",NA,Chris   Rose,FALSE,0,4.35,0,2,0
443,Whale Talk,NA,Chris Crutcher,FALSE,0,3.96,633,2,0
444,The Subtle Knife ,His Dark Materials,Philip Pullman,TRUE,2,4.13,5441,2,0
445,Chasing the Red Queen,NA,Karen Glista,FALSE,0,4.27,2020,2,0
446,Wake ,Wake,Lisa McMann,TRUE,1,3.75,6081,4,0
447,Slammed ,Slammed,Colleen Hoover,TRUE,1,4.27,2282,3,0
448,Queen of Babble ,Queen of Babble,Meg Cabot,TRUE,1,3.69,3588,2,0
449,Rules of Attraction ,Perfect Chemistry,Simone Elkeles,TRUE,2,4.2,9119,3,0
450,Memoirs of a Geisha,NA,Arthur Golden,FALSE,0,4.11,1656863,3,0
451,Monstrous Beauty,NA,Elizabeth Fama,FALSE,0,3.63,4712,2,0
452,Partials ,Partials Sequence,Dan Wells,TRUE,1,3.94,1470,2,0
453,Magic's Pawn ,Valdemar: Last Herald-Mage,Mercedes Lackey,TRUE,1,4.21,3491,2,0
454,Into the Still Blue ,Under the Never Sky,Veronica Rossi,TRUE,3,4.15,3140,3,0
455,Abandon ,Abandon,Meg Cabot,TRUE,1,3.69,5611,2,0
456,His Kiss,NA,Melanie Marks,FALSE,0,3.59,4340,2,0
457,Afterlife,NA,Claudia Gray,FALSE,0,3.79,6774,4,0
458,Almost,NA,Anne    Eliot,FALSE,0,3.8,5232,2,0
459,The Hollow ,The Hollow,Jessica Verday,TRUE,1,3.75,9529,2,0
460,Crush ,Crush,Lacey Weatherford,TRUE,1,3.96,3321,2,0
461,The Blue Sword ,Damar,Robin McKinley,TRUE,1,4.22,4366,2,0
462,Fallen Too Far ,Rosemary Beach; Too Far,Abbi Glines,TRUE,1,4.19,6688,2,0
463,Boy Meets Boy,NA,David Levithan,FALSE,0,3.84,3019,2,0
464,Bloodlines ,Bloodlines,Richelle Mead,TRUE,1,4.21,2386,2,0
465,How I Live Now,NA,Meg Rosoff,FALSE,0,3.58,7800,2,0
466,Rapture ,Fallen,Lauren Kate,TRUE,4,4.02,9241,2,0
467,We Were Liars,NA,E. Lockhart,FALSE,0,3.84,1681,2,0
468,Boot Camp,NA,Todd Strasser,FALSE,0,3.94,4851,2,0
469,Wild Magic ,Immortals,Tamora Pierce,TRUE,1,4.32,7927,2,0
470,Paper Towns,NA,John Green,FALSE,0,3.82,4644,2,0
471,Thoughtless ,Thoughtless,S.C. Stephens,TRUE,1,4.1,1852,2,0
472,The Fellowship of the Ring ,The Lord of the Rings,J.R.R. Tolkien,TRUE,1,4.36,2253897,2,0
473,The Tail of Emily Windsnap ,Emily Windsnap,Liz Kessler,TRUE,1,3.91,779,2,0
474,Gone ,Gone,Michael  Grant,TRUE,1,3.86,4145,2,0
475,Aurelia ,Aurelia,Anne Osterlund,TRUE,1,3.63,6813,3,0
476,Branded ,Sinners,Abi Ketner,TRUE,1,3.81,7717,2,0
477,Falling Under ,Falling Under,Gwen Hayes,TRUE,1,3.78,6396,2,0
478,Jasper Jones,NA,Craig Silvey,FALSE,0,4.08,4672,2,0
479,Redwall ,Redwall,Brian Jacques,TRUE,1,4.12,9154,2,0
480,Sabriel ,Abhorsen,Garth Nix,TRUE,1,4.17,4038,2,0
481,Prized ,Birthmarked,Caragh M. O'Brien,TRUE,2,3.98,2819,4,0
482,Blubber,NA,Judy Blume,FALSE,0,3.79,604,2,0
483,The Secret Hour ,Midnighters,Scott Westerfeld,TRUE,1,3.81,8022,2,0
484,The Secret Life of Bees,NA,Sue Monk Kidd,FALSE,0,4.05,1082489,2,0
485,Life As We Knew It ,Last Survivors,Susan Beth Pfeffer,TRUE,1,3.89,157,2,0
486,Peeps ,Peeps,Scott Westerfeld,TRUE,1,3.77,3810,2,0
487,Charlotte's Web,NA,E.B. White,FALSE,0,4.17,1344992,2,0
488,Shatter Me ,Shatter Me,Tahereh Mafi,TRUE,1,3.97,7882,2,0
489,The Coldest Girl in Coldtown,NA,Holly Black,FALSE,0,3.85,3211,2,0
490,The Book of Three ,The Chronicles of Prydain,Lloyd Alexander,TRUE,1,3.99,8384,2,0
491,Weetzie Bat ,Weetzie Bat,Francesca Lia Block,TRUE,1,3.74,3713,2,0
492,Blackbringer ,Faeries of Dreamdark,Laini Taylor,TRUE,1,4.06,5135,2,0
493,The Warrior Heir ,The Heir Chronicles,Cinda Williams Chima,TRUE,1,3.94,7473,4,0
494,Opposition ,Lux,Jennifer L. Armentrout,TRUE,5,4.4,44,2,0
495,Unlovable ,Port Fare,Sherry Gammon,TRUE,1,4.04,6366,3,0
496,Providence ,Providence,Jamie McGuire,TRUE,1,3.99,6437,2,0
497,XVI ,XVI,Julia Karr,TRUE,1,3.45,7654,2,0
498,Oblivion ,Lux.5,Jennifer L. Armentrout,TRUE,1,4.38,3467,2,0
499,I Am Number Four ,Lorien Legacies,Pittacus Lore,TRUE,1,3.94,4578,2,0
500,Don't Judge a Girl by Her Cover ,Gallagher Girls,Ally Carter,TRUE,3,4.2,3550,2,0
501,Shadows ,Lux.5,Jennifer L. Armentrout,FALSE,0,4.15,2442,2,0
502,Incendiary ,The Premonition,Amy A. Bartol,TRUE,4,4.41,7214,2,0
503,Only the Good Spy Young ,Gallagher Girls,Ally Carter,TRUE,4,4.29,9341,2,0
504,Cross My Heart and Hope to Spy ,Gallagher Girls,Ally Carter,TRUE,2,4.13,9815,2,0
505,Wayward Son,NA,Tom Pollack,FALSE,0,3.86,0,3,0
506,Intuition ,The Premonition,Amy A. Bartol,TRUE,2,4.27,4142,2,0
507,Tuesdays with Morrie,NA,Mitch Albom,FALSE,0,4.11,1603,2,0
508,Night of the Soul Stealer ,The Last Apprentice / Wardstone Chronicles,Joseph Delaney,TRUE,3,4.14,5998,3,0
509,Inescapable ,The Premonition,Amy A. Bartol,TRUE,1,4.04,3315,2,0
510,Attack of the Fiend ,The Last Apprentice / Wardstone Chronicles,Joseph Delaney,TRUE,4,4.2,50,3,0
511,Indebted ,The Premonition,Amy A. Bartol,TRUE,3,4.35,908,2,0
512,Angel Fire ,Angel,L.A. Weatherly,TRUE,2,4.04,6512,2,0
513,Forever ,The Wolves of Mercy Falls,Maggie Stiefvater,TRUE,3,3.91,4031,3,0
514,Flat-Out Love ,Flat-Out Love,Jessica Park,TRUE,1,4,5852,2,0
515,Perfect You,NA,Elizabeth Scott,FALSE,0,3.7,1813,2,0
516,Smoke and Shadows ,Tony Foster,Tanya Huff,TRUE,1,3.78,2999,2,0
517,All the Bright Places,NA,Jennifer Niven,FALSE,0,4.17,238,2,0
518,The Scorpio Races,NA,Maggie Stiefvater,FALSE,0,4.09,2030,2,0
519,The Enchantment Emporium ,Gale Women,Tanya Huff,TRUE,1,3.8,5697,2,0
520,Entice ,Need,Carrie Jones,TRUE,3,4.03,1081,3,0
521,Burn ,Celestra,Addison Moore,TRUE,3,4.09,7807,2,0
522,Forbidden,NA,Tabitha Suzuma,FALSE,0,4.04,1393,2,0
523,Tremble ,Celestra,Addison Moore,TRUE,2,4.03,8367,2,0
524,Running Out of Time,NA,Margaret Peterson Haddix,FALSE,0,3.99,2783,2,0
525,Ethereal ,Celestra,Addison Moore,TRUE,1,3.75,3612,2,0
526,Toxic ,Denazen,Jus Accardo,TRUE,2,4.04,3760,2,0
527,The Horse and His Boy ,Chronicles of Narnia,C.S. Lewis,TRUE,5,3.92,7920,2,0
528,Misguided Angel ,Blue Bloods,Melissa de la Cruz,TRUE,5,3.93,7367,3,0
529,The Voyage of the Dawn Treader ,Chronicles of Narnia,C.S. Lewis,TRUE,3,4.09,9149,2,0
530,A Wrinkle in Time ,Time Quintet,Madeleine L'Engle,TRUE,1,4,1016646,2,0
531,Lost in Time ,Blue Bloods,Melissa de la Cruz,TRUE,6,4.04,5828,3,0
532,Spark ,Elemental,Brigid Kemmerer,TRUE,2,4.15,6262,2,0
533,Lost Voices ,Lost Voices,Sarah  Porter,TRUE,1,3.6,6493,2,0
534,Betrayals ,Strange Angels,Lili St. Crow,TRUE,2,4.08,6030,2,0
535,Jealousy ,Strange Angels,Lili St. Crow,TRUE,3,4.15,2703,2,0
536,Defiance ,Strange Angels,Lili St. Crow,TRUE,4,4.19,9830,2,0
537,Hippocampus ,The Atlantis Revolution,Tom Tancin,TRUE,1,3.38,0,1,0
538,A Matter of Honor ,Knife of Truth,Ruth Willerth,TRUE,1,4.14,0,2,0
539,Darkness ,The Brookehaven Vampires,Joann I. Martin-Sowles,TRUE,2,4.23,1020,1,0
540,The Wiccan Diaries ,The Wiccan Diaries,T.D. McMichael,TRUE,1,3.63,0,1,0
541,La risa de tu madre,NA,Gustavo Rodríguez,FALSE,0,3.68,0,1,0
542,Bitter Frost ,Frost,Kailin Gow,TRUE,1,3.51,3412,1,0
543,Offbeat Love Stories and More,NA,Jennifer K. Lafferty,FALSE,0,3.58,0,1,0
544,The Bird with the Broken Wing,NA,D.L. Richardson,FALSE,0,3.85,0,1,0
545,From the Rafters,NA,Lynne Tommy,FALSE,0,4.6,0,1,0
546,Zero Sight ,Zero Sight,B. Justin Shier,TRUE,1,4.03,5553,1,0
547,Leticia  ,Leticia,Lindsay Anne Kendal,TRUE,1,3.96,0,1,0
548,Neophyte ,The Wiccan Diaries,T.D. McMichael,TRUE,2,3.95,0,1,0
549,Shadows Gray ,Shadows,Melyssa Williams,TRUE,1,3.99,0,1,0
550,The Citizens ,Jazz Nemesis,L.M.    Smith,TRUE,1,4.28,0,1,0
551,Haunted Richmond II,NA,Pamela K. Kinney,FALSE,0,4.18,0,1,0
552,The Burning Star ,Star,Jessie Lane,TRUE,1,3.92,0,1,0
553,The Rise,NA,Joshuah Buckle,FALSE,0,3.6,0,1,0
554,Control Switch On: The Untold Story Of The Most Powerful Man In The World-Ryan Moran-Who Shaped The Planet For Peace,NA,Ira Teller,FALSE,0,3.88,0,1,0
555,The Zombie Chronicles ,Apocalypse Infection Unleashed,Chrissy Peebles,TRUE,1,3.52,1731,1,0
556,What's Sebastian Up to Now?,NA,Leah Huntsman,FALSE,0,5,0,1,0
557,Rispin Quill ,The Dragon Tongue,Andrew Thornway,TRUE,1,3.73,0,1,0
558,Fingerless Gloves,NA,Nick Orsini,FALSE,0,3.65,0,1,0
559,The Blemished ,Blemished,Sarah Dalton,TRUE,1,3.62,2178,1,0
560,A Lament of Moonlight ,Harbingers of Light,Travis Simmons,TRUE,3,4.35,0,1,0
561,Falling to Ash ,Moth,Karen Mahoney,TRUE,1,3.62,0,1,0
562,My Soul to Keep,NA,Anthony Paolucci,FALSE,0,3.2,0,1,0
563,Elfblood ,Elfblood,Kyra Dune,TRUE,1,3.63,0,1,0
564,Mists of Darkness ,The Mist Trilogy,M.J. Evans,TRUE,2,4.55,0,1,0
565,The Undesirable ,Undesirable,Sara Celi,TRUE,1,3.68,0,1,0
566,The Saddest Song,NA,Susie Kaye Lopez,FALSE,0,3.76,0,1,0
567,The Fallout From Finding Emily ,Kelsey O'Brien,Ryleigh Berkenpas,TRUE,1,3.62,0,1,0
568,Leader of the Tribe,NA,Nicholas W. Fuller,FALSE,0,4.75,0,1,0
569,Invisible,NA,Jeanne Bannon,FALSE,0,3.81,0,1,0
570,The Academie ,Academie,Amy Joy,TRUE,1,3.61,0,1,0
571,Just Like Heaven,NA,Clarissa Carlyle,FALSE,0,3.3,0,1,0
572,"Nocturne, Opus 1: Sea Foam",NA,Norene Moskalski,TRUE,1,3.84,0,1,0
573,Phase One: Identify ,Territory of the Dead,Rose Wynters,TRUE,1,3.83,0,1,0
574,Face of Death ,Touch of Death,Kelly Hashway,TRUE,3,3.68,0,1,0
575,"Tall, Dark Streak of Lightning ",Dark Lightning Trilogy,J.M.  Richards,TRUE,1,3.76,0,1,0
576,Drug War The Smell of Duty,NA,Elias Rodriguez,FALSE,0,4.8,0,1,0
577,There are Reasons Noah Packed No Clothes,NA,Robert  Jacoby,FALSE,0,3.55,0,1,0
578,The Emissary,NA,Kristal Shaff,FALSE,0,3.9,0,1,0
579,Kris,NA,Patrick O'Scheen,FALSE,0,4.29,0,1,0
580,A Warrior's Redemption ,The Warrior Kind,Guy S. Stanton III,TRUE,1,3.93,0,1,0
581,Ann Marie's Asylum ,Master and Apprentice,Christopher Rankin,TRUE,1,3.38,0,1,0
582,Keoni and the Return of the Li'i ,The Adventures of Keoni,Kupuna Kane,TRUE,3,5,0,1,0
583,Parley After Life - DIY Guide to Death and other Taxes,NA,Robby Miller,FALSE,0,3.25,0,1,0
584,Four Parts of the Universe,NA,Polina Traore,FALSE,0,3.83,0,1,0
585,The Art of Lainey ,The Art of Lainey,Paula Stokes,TRUE,1,3.68,4685,1,0
586,Timespell ,Timespell,Diana Paz,TRUE,1,3.95,0,1,0
587,The Ghost of Colby Drive ,The Mis-adventures of Alyson Bell,Kristin Groulx,TRUE,1,4.69,0,1,0
588,Sticks n' Stones and the Garden of Phea,NA,Angela Burkhead,FALSE,0,4.35,0,1,0
589,Bernie and the Putty ,The Universe Builders,Steve LeBel,TRUE,1,4.31,0,1,0
590,Red Rising ,Red Rising Saga,Pierce Brown,TRUE,1,4.27,904,1,0
591,The Tyrant's Daughter,NA,J.C. Carleson,FALSE,0,3.7,3304,1,0
592,The Romeo Club,NA,Rebekah L. Purdy,FALSE,0,3.62,0,1,0
593,Serenade,NA,Emily Kiebel,FALSE,0,3.68,0,1,0
594,Trigger,NA,Susan Vaught,FALSE,0,3.82,1168,1,0
595,Ephraim's Curious Device ,Clockpunk Wizard,Lita Burke,TRUE,2,4.45,0,1,0
596,Grim Hearts,NA,J.D. Fitzegerald,FALSE,0,3.5,0,1,0
597,The Inheritance: Chain Letter of the Arts,NA,Michael Devaney,FALSE,0,3,0,1,0
598,Aizai the Forgotten,NA,Mary-Jean Harris,FALSE,0,4.18,0,1,0
599,Little Cuts,NA,H.M.C.,FALSE,0,4.47,0,1,0
600,The Hungry Wolves of Van Diemen's Land,NA,Paul  Christensen,FALSE,0,3.85,0,1,0
601,Flinging Dirt ,Dirt,AnonymousOne,TRUE,2,4.14,0,1,0
602,The Healer ,The Healer,C.J. Anaya,TRUE,1,4.12,1094,1,0
603,Caucasia,NA,Danzy Senna,FALSE,0,4.03,6650,1,0
604,Something in the Woods is Taking People,NA,Stephen Young,FALSE,0,3.54,0,1,0
605,Solan,NA,Jonathon Jones,FALSE,0,4.38,0,1,0
606,"Night, Rain and the City",NA,Viktor Nochkin,FALSE,0,3.38,0,1,0
607,TITAN: From Earth's Past A Hero Rises  Book 1,Adventures Of An Olympian,Jeff Fuell,TRUE,1,4.8,0,1,0
608,Silverwood  ,Silverwood,Betsy Streeter,TRUE,1,3.52,0,1,0
609,Kruistocht in spijkerbroek,NA,Thea Beckman,FALSE,0,4.03,9286,1,0
610,The London Eye Mystery ,London Eye Mystery,Siobhan Dowd,TRUE,1,3.84,1072,1,0
611,Liliana ,Liliana,Neva Squires-Rodriguez,TRUE,1,3.72,0,1,0
612,Entertaining Angels,NA,Monica Millard,FALSE,0,4,0,1,0
613,Venomoid ,Night Code Saga,J.A. Kossler,TRUE,1,3.36,0,1,0
614,Cody: Clicking Beat on the Brink of Nada,NA,Keith Hale,FALSE,0,3.92,0,1,0
615,Paradox Love,NA,Dorothy Gravelle,FALSE,0,3.95,0,1,0
616,Please Don't Tell My Parents I'm a Supervillain ,Please Don't Tell My Parents,Richard  Roberts,TRUE,1,4.2,3173,1,0
