Arg0,Arg1,Arg2
d59,salmonella_n,p
d59,mouse_lymph,p
d6,salmonella,p
d6,salmonella_n,p
d6,cytogen_ca,p
d6,cytogen_sce,p
d60,salmonella,n
d60,salmonella_n,p
d60,mouse_lymph,p
d60,cytogen_ca,p
d60,cytogen_sce,p
d61,salmonella,p
d61,cytogen_ca,n
d61,cytogen_sce,p
d62,salmonella_n,p
d63,salmonella,p
d63,mouse_lymph,p
d63,cytogen_ca,p
d63,cytogen_sce,p
d64,salmonella,n
d64,mouse_lymph,p
d64,cytogen_ca,n
d64,cytogen_sce,p
d65,salmonella,n
d65,mouse_lymph,p
d65,cytogen_ca,n
d65,cytogen_sce,n
d66,salmonella,n
d66,mouse_lymph,p
d66,cytogen_ca,p
d66,cytogen_sce,p
d67,salmonella,p
d67,salmonella_n,p
d67,cytogen_ca,p
d67,cytogen_sce,p
d68,salmonella,p
d68,mouse_lymph,p
d68,cytogen_ca,p
d68,cytogen_sce,p
d69,salmonella,n
d69,cytogen_sce,p
d7,salmonella,p
d7,cytogen_ca,n
d70,salmonella,p
d70,salmonella_n,p
d71,salmonella,p
d71,cytogen_ca,n
d71,cytogen_sce,p
d72,salmonella,p
d72,mouse_lymph,p
d72,cytogen_ca,p
d72,cytogen_sce,p
d73,salmonella,p
d73,salmonella_n,p
d73,mouse_lymph,p
d73,cytogen_ca,n
d73,cytogen_sce,p
d74,salmonella,n
d74,mouse_lymph,p
d74,cytogen_ca,p
d74,cytogen_sce,p
d75,salmonella,p
d75,mouse_lymph,p
d75,cytogen_ca,p
d75,cytogen_sce,p
d75,chromaberr,n
d75,chromex,n
d76,salmonella,n
d76,mouse_lymph,p
d76,cytogen_ca,p
d76,cytogen_sce,n
d76,chromaberr,n
d76,chromex,p
d77,salmonella,n
d77,salmonella_reduc,n
d77,mouse_lymph,n
d77,cytogen_ca,n
d78,salmonella,p
d78,mouse_lymph,p
d78,cytogen_ca,n
d78,cytogen_sce,p
d78,chromaberr,n
d78,chromex,p
d79,salmonella,p
d79,mouse_lymph,n
d79,cytogen_ca,p
d79,cytogen_sce,p
d8,salmonella,p
d8,mouse_lymph,p
d8,cytogen_ca,n
d8,cytogen_sce,p
d8,chromaberr,n
d8,chromex,p
d80,salmonella,p
d80,salmonella_n,p
d80,cytogen_ca,p
d80,cytogen_sce,n
d81,salmonella,p
d81,salmonella_n,p
d81,mouse_lymph,p
d81,cytogen_ca,p
d81,cytogen_sce,p
d82,salmonella,n
d82,salmonella_n,n
d82,mouse_lymph,p
d82,cytogen_ca,n
d82,cytogen_sce,p
d82,chromaberr,n
d83,salmonella,p
d83,salmonella_n,p
d83,mouse_lymph,p
d83,cytogen_ca,p
d83,cytogen_sce,p
d86,mouse_lymph,n
d86,chromaberr,n
d87,salmonella,n
d87,mouse_lymph,n
d87,cytogen_ca,n
d87,cytogen_sce,n
d87,chromaberr,n
d89,salmonella,n
d89,mouse_lymph,p
d89,cytogen_sce,p
d9,salmonella,p
d9,salmonella_n,p
d9,cytogen_ca,p
d9,cytogen_sce,p
d90,salmonella,n
d90,cytogen_ca,n
d90,cytogen_sce,n
d90,micronuc_m,n
d90,micronuc_f,n
d90,chromaberr,n
d91,salmonella,n
d91,cytogen_ca,n
d91,cytogen_sce,n
d91,chromaberr,n
d92,salmonella,n
d92,cytogen_ca,n
d92,cytogen_sce,p
d93,salmonella,n
d93,cytogen_ca,p
d93,cytogen_sce,p
d94,salmonella,n
d94,cytogen_ca,p
d94,cytogen_sce,p
d95,salmonella,n
d95,mouse_lymph,n
d95,cytogen_ca,p
d95,cytogen_sce,p
d95,chromaberr,n
d96,salmonella,p
d96,mouse_lymph,p
d97,salmonella,n
d97,mouse_lymph,n
d97,cytogen_ca,n
d97,cytogen_sce,n
d98,salmonella,n
d98,mouse_lymph,p
d98,cytogen_ca,p
d98,cytogen_sce,p
d99,salmonella,n
d99,mouse_lymph,n
d99,cytogen_ca,n
d99,cytogen_sce,n
