id,firstname,lastname
9327,Richard,Brander
9328,David,Brandes
9329,Elliott,Brandes
9330,Richard,Brandes
9331,Arne,Brandhild
9332,Helmut,Brandis
9333,Yvonne,Brandl
9334,Alfred,Brandler
9335,Lothar,Brandler
9336,Uwe,Brandner
9337,Luca,Brando
9338,Marlon,Brando
9339,Michelle,Brando
9340,Clark,Brandon
9341,Marianne,Brandon
9342,"Michael (I)",Brandon
9343,Philip,Brandon
9344,Tatiana,Brandrup
9345,Terje,Brandshaug
9346,"Frank (II)",Brandstetter
9347,Charlotte,Brandstrom
9348,Ludvig,Brandstrup
9349,Ole,Brandstrup
9350,Susanne,Brandstätter
9351,Aage,Brandt
9352,Axel,Brandt
9353,Bert,Brandt
9354,Carsten,Brandt
9355,"Caryl (I)",Brandt
9356,"Christine (III)",Brandt
9357,Frank,Brandt
9358,Hanne,Brandt
9359,Heinrich,Brandt
9360,"Henry (I)",Brandt
9361,"Horst E.",Brandt
9362,James,Brandt
9363,Julius,Brandt
9364,Kolja,Brandt
9365,Louis,Brandt
9366,"Michael (I)",Brandt
9367,"Michael (II)",Brandt
9368,Nancy,Brandt
9369,"Nicholas (I)",Brandt
9370,Nick,Brandt
9371,"Robert (I)",Brandt
9372,Russ,Brandt
9373,Spike,Brandt
9374,Tony,Brandt
9375,"Werner (I)",Brandt
9376,Rodolfo,Brandão
9377,Sérgio,Brandão
9378,Georgi,Branev
9379,Veselin,Branev
9380,Yves,Brangolo
9381,Myriam,Braniff
9382,Bruce,Branit
9383,Per-Axel,Branner
9384,Ash,Brannon
9385,"Fred C.",Brannon
9386,Arthur,Branscombe
9387,Truck,Branss
9388,Beto,Brant
9389,Duncan,Brantley
9390,"John Milton",Branton
9391,Guila,Braoudé
9392,Patrick,Braoudé
9393,Jean,Brard
9394,Thomas,Brasch
9395,Dominick,Brascia
9396,Mikhail,Brashinsky
9397,Anna,Brasi
9398,Rogério,"Brasil Ferrari"
9399,Priscilla,Brasil
9400,Mário,Brasini
9401,"Ulrik Al",Brask
9402,Varis,Brasla
9403,John,Brason
9404,Lorne,Brass
9406,Dulce,Brassane
9407,André,Brassard
9408,"Pierre (III)",Brassard
9409,Simon,Brasse
9410,Keefe,Brasselle
9411,Alexandre,Brasseur
9412,"Stanley H.",Brassloff
9413,"Enrique (I)",Brasó
9414,Bill,Bratne
9415,Nicolás,Bratosevich
9416,Peter,Bratt
9417,Lucian,Bratu
9418,Stefan,Brauburger
9419,Markus,Brauckmann
9420,Mark,Braude
9421,Jürgen,Brauer
9422,"Peter Paul",Brauer
9423,Richard,Brauer
9424,Andre,Braugher
9425,Dave,Braukman
9426,Peter,Braukmann
9427,François,Brault
9428,Michel,Brault
9429,Nicolas,Brault
9430,Ronald,Brault
9431,"Alfred (I)",Braun
9433,"B. Vivian",Braun
9434,Bettina,Braun
9435,Carin,Braun
9436,Carl,Braun
9437,Gerhard,Braun
9438,Harald,Braun
9439,Inés,Braun
9441,Lena,Braun
9442,"Michael (I)",Braun
9443,Pinkas,Braun
9444,Sue-Ling,Braun
9445,"Susan Karrie",Braun
9446,"Ted (I)",Braun
9447,Vladimir,Braun
9448,"Wolfgang (III)",Braun
9449,Gisèle,Braunberger
9450,Pierre,Braunberger
9451,Peter,Brauneis
9452,Sharon,Brauner
9453,Ernst,Brause
9454,"Bart (II)",Braverman
9456,Charles,Braverman
9457,Chuck,Braverman
9458,Michael,Braverman
9459,"Robert (II)",Braverman
9460,Ron,Braverman
9461,Jack,Bravman
9462,Gustavo,"Bravo Ahuja"
9463,Francisco,"Bravo Ferreira"
9464,Alberto,"Bravo Garcia"
9465,David,"Bravo Nuñez"
9466,Andrés,"Bravo Sánchez"
9467,"Carlos (II)",Bravo
9468,"Edgar Michael",Bravo
9469,Estela,Bravo
9470,Fran,Bravo
9471,Julio,Bravo
9472,"Pedro R.",Bravo
9473,"Ramón (I)",Bravo
9474,"Ricardo (II)",Bravo
9475,Brandy,Brawner
9476,Frank,Braxton
9477,Chip,Bray
9478,Harlo,Bray
9479,"John Randolph",Bray
9480,"Kevin (I)",Bray
9481,"Michael (I)",Bray
9482,Nick,Bray
9483,John,Braybon
9484,William,Brayne
9485,Micheal,Brayshaw
9486,João,Braz
9487,"Lambert de",Braz
9488,Dan,Brazda
9489,"Becky Dodds",Brazil
9490,Frédéric,Brazil
9491,Scott,Brazil
9492,Affonso,Brazza
9493,Oscar,Brazzi
9494,Rossano,Brazzi
9495,Jirí,Brdecka
9496,"George P.",Breakston
9497,Ian,Breakwell
9498,Gil,Brealey
9499,Bob,Brear
9500,David,Breashears
9501,Charles,Breasted
9502,Berkeley,Breathed
9503,Paddy,Breathnach
9504,Marc,Breaux
9505,Maria,Breaux
9506,Nicolae,Breban
9507,"Vladimír (I)",Brebera
9508,Paolo,Breccia
9509,Irving,Brecher
9510,Max,Brecher
9511,Alvaro,Brechner
9512,"Kevin Cloud",Brechner
9513,Bertolt,Brecht
9514,Marvin,Breckinridge
9515,"John B.",Bredar
9516,Reiner,Bredemeyer
9517,Claus,Bredenbrock
9518,Barbara,Bredero
9519,Brad,Bredeweg
9520,Sophie,Bredier
9521,Dan,Bree
9522,Willy,Breebaart
9523,"Joseph (I)",Breen
9524,Melwyn,Breen
9525,"Richard L.",Breen
9526,Robert,Breer
9527,Edmund,Breese
9529,Jacob,Breeze
9530,Buddy,Bregman
9531,Eve,Bregman
9532,"Michael Scott",Bregman
9533,Philo,Bregstein
9534,Dietmar,Brehm
9535,João,Brehm
9536,Axel,Breidahl
9537,Anja,Breien
9538,Bjørn,Breigutu
9540,Valerie,Breiman
9541,Fred,Breinersdorfer
9542,K.,Breiness
9543,John,Breinholt
9544,Félix,Breisach
9545,Rasmus,Breistein
9546,Wilfred,Breistrand
9547,Heide,Breitel
9548,Ross,Breitenbach
9549,Jean-Luc,Breitenstein
9550,Jochen,Breitenstein
9551,Bill,Breithaupt
9552,André,Breitman
9553,Arne,Brejc
9554,Bohumil,Brejcha
9555,Stanislaw,Brejdygant
9556,Jon,Brekke
9557,Jacques,Brel
9558,Tia,Brelis
9559,Heinrich,Breloer
9560,Chris,Bremble
9561,Gloria,Bremer
9562,Thomas,Bremer
9563,Ian,Bremner
9564,"Milton H.",Bren
9565,Aloiz,Brench
9566,Dagmar,Brendecke
9567,Mark,Brendel
9568,Nikolaus,Brender
9569,Ulises,Brenes
9570,John,Brenkus
9571,Andy,Brennan
9572,Jim,Brennan
9573,"Juan Arturo",Brennan
9574,Neal,Brennan
9575,Robin,Brennan
9576,Sabina,Brennan
9577,Susan,Brennan
9578,"David Eric",Brenner
9579,Evan,Brenner
9580,Frédéric,Brenner
9581,Maria,Brenner
9582,Selma,Brenner
9583,Ted,Brenner
9584,Wolfgang,Brenner
9585,Stephan,Brenninkmeijer
9586,Herbert,Brenon
9587,Gilles,Brenta
9588,Mario,Brenta
9589,Gil,Brenton
9590,Guy,Brenton
9591,Will,Brenton
9592,Vinko,Bresan
9593,Vasile,Brescaru
9594,Alfonso,Brescia
9595,Andrea,Bresciani
9596,Hércules,Breseghelo
9597,Gunilla,Bresken
9598,H.K.,Breslauer
9599,Eric,Bresler
9600,"Mark (II)",Breslin
9601,Lou,Breslow
9602,Marc,Breslow
9603,"Rani Grassi",Breslow
9604,Fraser,Bresnahan
9605,Rory,Bresnihan
9606,Nikolai,Bresnyev
9607,"Mary Beth",Bresolin
9608,Eric,Bress
9610,Júlio,Bressane
9611,Pierre,Bressol
9612,Robert,Bresson
9613,Olivier,Bressy
9614,Jürgen,Brest
9615,Martin,Brest
9616,Tom,Bret
9617,Andrea,Breth
9618,Howard,Bretherton
9619,Catherine,Breton
9620,Clair,Breton
9621,"Juan Antonio",Breton
9622,Pascale,Breton
9623,"Stéphane (III)",Breton
9624,Charles,Bretoneiche
9625,Karl,Bretschneider
9626,"Ian Hayes",Brett
9627,"James (I)",Brett
9628,"John (II)",Brett
9629,Kevin,Brett
9630,Leonard,Brett
9631,Jürgen,Bretzinger
9632,Amit,Breuer
9633,Erich,Breuer
9634,Jacques,Breuer
9635,Siegfried,Breuer
9636,Manfred,Breuersbrock
9637,Annette,Breuning
9638,Eric,Brevig
9639,Nicolas,Brevière
9640,Christine,Brewer
9641,Craig,Brewer
9642,"David (I)",Brewer
9643,"Jerry (I)",Brewer
9644,"Eugene V.",Brewster
9645,Joe,Brewster
9646,"Robert M.",Brewster
9647,Jason,Brey
9648,Sherri,Breyer
9649,Nicolau,Breyner
9650,Grigore,Brezeanu
9651,Karel,Brezina
9652,Salomé,Breziner
9653,Taimur,Brhramshah
9654,Jacques,Brialy
9655,Jean-Claude,Brialy
9656,Eve,Brian
9658,Mitch,Brian
9659,Jorge,Briand
9660,Manon,Briand
9661,M.E.,Briant
9662,"Michael E.",Briant
9663,Pierre,Briançon
9664,Thomas,Briat
9665,"Greg (II)",Brice
9666,Monte,Brice
9667,"Hernán José",Briceño
9668,"Luis (I)",Briceño
9669,Diego,Briceño-Orduz
9670,Rebecka,Brick
9671,Richard,Brick
9672,Ian,Bricke
9673,Beth,Brickell
9674,Jules,Bricken
9675,Clarence,Bricker
9676,Marc,Brickman
9677,Marshall,Brickman
9678,Paul,Brickman
9679,Tim,Bricknell
9680,Christian,Bricout
9681,Philippe,Briday
9682,Sonia,Bridge
9683,Duncan,Bridgeman
9684,Philip,Bridgeman
9685,Sharon,Bridgeman
9686,Lee,Bridgers
9687,Alan,Bridges
9688,Beau,Bridges
9689,Benjamin,Bridges
9690,"Betty A.",Bridges
9691,"James (I)",Bridges
9692,Jimmy,Bridges
9693,Lawrence,Bridges
9694,Lloyd,Bridges
9695,Todd,Bridges
9696,Stephen,Bridgewater
9697,Ted,Bridgewater
9698,Amber,Bridgman
9699,Anna,Bridgwater
9700,Ralph,Bridle
9701,Tim,Bridwell
9702,Claude,Brie
9703,Jeb,Brien
9704,Libby,Brien
9705,Poull,Brien
9706,Edwin,Brienen
9707,Kerry,Brierley
9708,Martin,Brierley
9709,Mark,Brierly
9710,Jan,Briers
9711,Trae,Briers
9712,Chantal,Briet
9713,Marcelo,Brigante
9714,Stockton,Briggle
9715,"Bob (II)",Briggs
9716,Curtis,Briggs
9717,"David (II)",Briggs
9718,"Don (I)",Briggs
9719,"Jeffery L.",Briggs
9720,Nicholas,Briggs
9721,Pamela,Briggs
9722,Bev,Brigham
9723,Clark,Brigham
9724,"Susan K.",Brigham
9726,"Jenny (II)",Bright
9727,Kevin,Bright
9728,Matthew,Bright
9729,Randy,Bright
9730,Enrico,Brignano
9731,Guido,Brignone
9732,Dominic,Brigstocke
9733,Adam,Briles
9734,Erik-Gustaf,Brilioth
9735,Richard,Brill
9736,"Steven (I)",Brill
9737,Xavier,Brillat
9738,Anne,Brillot
9739,Mariola,Brillowska
9740,Bernie,Brillstein
9741,Ian,Brims
9742,Arild,Brinchmann
9743,Ulrike,Brincker
9744,Burt,Brinckerhoff
9745,Bill,Brind
9746,Michael,Brindley
9747,Adrian,Brine
9748,Sandro,Briner
9749,Sylvie,Bringas
9750,Linda,Bringel
9751,"Peter F.",Bringmann
9752,Ralf,Brings
9753,Anthony,Brinig
9754,Bruce,Brinkerhoff
9755,Joel,Brinkerhoff
9756,Peter,Brinkerhoff
9757,"Don (I)",Brinkley
9758,Bo,Brinkman
9759,"Heinz (II)",Brinkmann
9760,Malcolm,Brinkworth
9761,Peter,Brinson
9762,Randy,Brinson
9763,Inti,Briones
9764,Marco,Briones
9765,Julio,Bris
9766,Marie-France,Briselance
9767,Johan,Brisinger
9768,Zana,Briski
9769,Stuart,Brisley
9770,Jean,Brismée
9771,Joël,Brisse
9773,Stéphane,Brisset
9774,Gilles,Brissette
9775,"Todd Allan",Brissette
9776,Alexandrine,Brisson
9777,Dorothée,Brisson
9778,Ed,Brisson
9779,François,Brisson
9780,Jean-Claude,Brisson
9781,Jacques,Brissot
9782,"Khmasea Hoa",Bristol
9783,"Mark Lambert",Bristol
9784,Becky,Bristow
9785,N.G.,Bristow
9786,Edwin,Britez
9787,Leonel,Brito
9788,Donald,Brittain
9789,Frank,Brittain
9790,"Bill (II)",Britten
9791,Matthew,Brittenham
9792,"Sérgio (I)",Britto
9793,Carrie,Britton
9794,"George B.",Britton
9795,"Tracy Lynch",Britton
9796,Frédéric,Brival
9797,José,"Briz Méndez"
9798,Joe,Brizolli
9799,Gaëtan,Brizzi
9800,Paul,Brizzi
9801,Stéphane,Brizé
9802,Elaine,Brière
9803,Brenda,Brkusic
9804,Miljenko,Brlecic
9805,Arne,Bro
9806,Christoffer,Bro
9807,Tim,Broad
9808,Harvey,Broadbent
9809,Simon,Broadley
9810,Richard,Broadman
9811,Jeff,Broadstreet
9812,Robert,Broadwell
9813,Joachim,Brobeck
9814,David,Broberg
9815,Lily,Broberg
9816,Robert,Broberg
9817,"Philippe de",Broca
9818,Franco,Brocani
9819,Geraldo,Brocchi
9820,Emmanuel,Broche
9821,Olivier,Broche
9822,Jean,Brocher
9823,Anne,Brochet
9824,Ulrich,Brochhagen
9825,Hugo,Brochu
9826,Pierre,Brochu
9827,Bazon,Brock
9828,"Deborah (I)",Brock
9829,"Lou (I)",Brock
9830,Tricia,Brock
9831,Ulrich,Brock
9832,Lino,Brocka
9833,"Q. Allan",Brocka
9834,Gary,Brockette
9835,Michael,Brockhoff
9836,Sarah,Brockhoff
9837,Jane,Brocklehurst
9838,Hans,Brockmann
9839,Blake,Brocksmith
9840,Merrill,Brockway
9841,Beth,Broday
9842,Wolfgang,Brodbeck
9843,"Adam Larson",Broder
9844,Beth,Broderick
9845,"James (I)",Broderick
9846,"John C.",Broderick
9847,"Matthew (I)",Broderick
9848,Alejandro,Brodersohn
9849,David,Broderson
9850,René,Brodeur
9851,Adam,Brodie
9852,Bill,Brodie
9853,Don,Brodie
9854,Harold,Brodie
9855,Kevin,Brodie
9856,Sebastian,Brodin
9857,Roman,Brodmann
9858,Douglas,Brodoff
9859,Johannes,Brodowski
9860,Becalelis,Brodskis
9861,Alexandra,Brodsky
9862,Benjamin,Brodsky
9863,Samuel,Brodsky
9864,Denis,Broduries
9865,Hugh,Brody
9866,"Merrill S.",Brody
9867,Phil,Brody
9868,Richard,Brody
9869,Robert,Brody
9870,"Ron (III)",Brody
9871,"Ron (IV)",Brody
9872,"Tod Scott",Brody
9873,Boris,Brodyansky
9874,Marek,Brodzki
9875,Jens,Broecker
9876,Robert,Broekhof
9877,"Alfred B.",Broer
9878,Freark,Broersma
9879,Franco,"Brogi Taviani"
9880,Robby,Brogle
9881,Audrey,Brohy
9882,Rubén,Broido
9883,Daniela,Broitman
9884,Bronislaw,Brok
9885,Lee,Broker
9886,Dea,Brokman
9887,Don,Brolin
9888,James,Brolin
9889,"John L.",Brom
9890,Ladislav,Brom
9891,Betzy,Bromberg
9892,Konstantin,Bromberg
9893,Hervé,Bromberger
9894,Henry,Bromell
9895,Frans,Bromet
9896,Rex,Bromfield
9897,"Dr. Derek",Bromhall
9898,Harry,"Bromley Davenport"
9899,Colin,Bromley
9900,"Alan (I)",Bromly
9901,Kristian,Broms
9902,Jacek,Bromski
9903,Jean-Stéphane,Bron
9904,Vickie,Bronaugh
9905,Henry,Bronchtein
9906,Douglas,Bronco
9908,Jean-Marc,Brondolo
9909,Anna,Broniewska
9910,Serge,Bronislau
9911,Per,Bronken
9913,"Katrina Holden",Bronson
9914,"David (II)",Bronstein
9915,Elizabeth,Bronstein
9916,Emory,Bronte
9917,Marino,Bronzino
9918,Konstantin,Bronzit
9919,Daniel,Bronzite
9920,Mara,Bronzoni
9921,Wally,Broodbent
9922,Marcel,Broodthaers
9923,Clive,Brook
9924,Douglas,Brook
9925,Irina,Brook
9926,"Peter (I)",Brook
9927,"Simon (I)",Brook
9928,Carol,Brook-Marino
9929,"Hugh (II)",Brooke
9930,Ralph,Brooke
9931,"Ted (I)",Brooke
9932,"Van Dyke",Brooke
9933,Greg,Brooker
9934,Ken,Brooker
9935,William,Brookfield
9936,Dorothea,Brooking
9937,Howard,Brookner
9938,Adam,Brooks
9939,Albert,Brooks
9940,Amy,Brooks
9941,"Avery (I)",Brooks
9942,"Bob (I)",Brooks
9943,"Bob (III)",Brooks
9944,"Brandon E.",Brooks
9945,"Carlos (II)",Brooks
9946,Conrad,Brooks
9947,"Craig (II)",Brooks
9948,"David (VIII)",Brooks
9949,"David (XII)",Brooks
9950,"Dawn (II)",Brooks
9951,Dennis,Brooks
9952,Dwight,Brooks
9953,"Gary (III)",Brooks
9954,"George W.",Brooks
9955,"Greg (III)",Brooks
9956,Hildy,Brooks
9957,Ivy,Brooks
9958,"James L.",Brooks
9959,Joseph,Brooks
9960,Katherine,Brooks
9962,Maria,Brooks
9963,"Mark (IV)",Brooks
9964,"Mark (VI)",Brooks
9965,Marty,Brooks
9966,"Mel (I)",Brooks
9967,"Nicholas (I)",Brooks
9968,"Nigel (I)",Brooks
9969,"Philip (I)",Brooks
9970,"Richard (I)",Brooks
9971,"Richard (VI)",Brooks
9972,"Richard E.",Brooks
9973,"Robert (I)",Brooks
9974,"Robert D.",Brooks
9975,"Sue (I)",Brooks
9976,"Thor L.",Brooks
9977,"Todd (III)",Brooks
9979,Tyler,Brooks
9980,Walter,Brooks
9981,David,Brookwell
9982,Jon,Broom
9983,Kate,Broome
9984,Bill,Broomfield
9985,Nick,Broomfield
9986,Aileen,Brophy
9987,Edward,Brophy
9988,Philip,Brophy
9989,Franck,Broqua
9990,Bill,Brose
9991,Lawrence,Brose
9992,Peter,Brosens
9993,Eric,Bross
9994,Simon,Bross
9995,Joan,Brossa
9996,Nicole,Brossard
9997,Charles,Brosseau-Fisher
9998,Fred,Brossé
9999,Phillip,Broste
10000,Gunnel,Broström
10001,Amanda,Brotchie
10003,Maldito,Brothers
10004,Mirza,Brothers
10005,Camille,Brottes
10006,Andrew,Brotzman
10007,Albert,Brouett
10008,"Christopher J.",Brough
10009,Jonathan,Brough
10010,"Chris (II)",Brougham
10011,Hilary,Brougher
10012,James,Broughton
10013,Pip,Broughton
10014,Simon,Broughton
10015,"Charles W.","Broun Jr."
10016,Guy,Brousmiche
10017,Brandon,Broussard
10018,George,Broussard
10019,Rene,Broussard
10020,"Raymond (I)",Brousseau
10021,Emmanuel,Broussouloux
10022,Christian,Broutin
10023,Chris,Brouwer
10024,Kees,Brouwers
10025,Isabelle,Broué
10026,Vyacheslav,Brovkin
10027,Gideon,Brower
10028,Otto,Brower
10029,L.P.,"Brown III"
10030,"William H.","Brown Jr."
10031,"Adrian (III)",Brown
10032,"Alan (I)",Brown
10033,"Alan (XI)",Brown
10034,Alastair,Brown
10035,"Alex (I)",Brown
10036,"Alison (II)",Brown
10037,"Alton (II)",Brown
10038,"Andy (I)",Brown
10039,"Andy (IX)",Brown
10040,"Andy (VIII)",Brown
10041,"Angie (III)",Brown
10043,Arnin,Brown
10044,"Art (III)",Brown
10045,Arvin,Brown
10046,"Barry (III)",Brown
10047,"Barry Alexander",Brown
10048,"Bernard (I)",Brown
10049,"Beverly (II)",Brown
10050,"Bill (I)",Brown
10051,"Bill (XIII)",Brown
10052,Blain,Brown
10053,Blair,Brown
10054,"Bob (VII)",Brown
10055,"Bruce (I)",Brown
10056,"Bruce (VI)",Brown
10057,Camille,Brown
10058,"Carl (II)",Brown
10059,Cecil,Brown
10060,"Charles D. (I)",Brown
10061,"Charlotte (I)",Brown
10062,"Chris (II)",Brown
10063,"Chris (XV)",Brown
10064,"Christopher (II)",Brown
10065,"Christopher E.",Brown
10066,"Clarence (I)",Brown
10067,"Clifford (I)",Brown
10068,D.W.,Brown
10069,"Dan (I)",Brown
10070,"Dana (II)",Brown
10071,"David (XV)",Brown
10072,"David (XVIII)",Brown
10073,"David L.",Brown
10074,"Don (III)",Brown
10075,"Donald H.",Brown
10076,Drew,Brown
10078,Electa,Brown
10079,Ellen,Brown
10080,"Eric (II)",Brown
10081,Erin,Brown
10082,Evert,Brown
10083,"Ewing Miles",Brown
10084,"Garry A.",Brown
10085,"Gary (V)",Brown
10086,"Geoffrey (I)",Brown
10087,"Georg Stanford",Brown
10088,"Grant (I)",Brown
10089,Gregg,Brown
10091,"Gwen (I)",Brown
10092,"Harry Joe",Brown
10093,"Harry S.",Brown
10094,Himan,Brown
10095,"Jack W.",Brown
10096,Jaki,Brown
10097,"James (IV)",Brown
10098,"James (XIV)",Brown
10099,"James (XIX)",Brown
10100,"James (XVII)",Brown
10101,"James H.",Brown
10102,"Janice (I)",Brown
10103,"Jay (I)",Brown
10104,"Jeffrey D.",Brown
10105,"Jim (I)",Brown
10106,"Jim (II)",Brown
10107,"Joseph (I)",Brown
10108,Joshua,Brown
10109,"Julie (I)",Brown
10110,"Karl (I)",Brown
10111,"Kate (IV)",Brown
10112,"Ken (I)",Brown
10113,"Larry G. (I)",Brown
10114,"Larry G. (II)",Brown
10115,"Len (III)",Brown
10116,"Lisa (I)",Brown
10117,Lois,Brown
10118,"Maj. Frank",Brown
10119,"Margaret (II)",Brown
10120,"Margaret (V)",Brown
10121,"Margaret Luce",Brown
10122,"Mark (I)",Brown
10123,"Matt (I)",Brown
10124,"Melville W.",Brown
10125,Mende,Brown
10126,Micah,Brown
10127,"Michael C.",Brown
10128,"Michael Gene",Brown
10129,Mikey,Brown
10130,"Milton (IV)",Brown
10131,"Mitch (II)",Brown
10132,"Neil (I)",Brown
10133,"Nick (VIII)",Brown
10134,Nicolas,Brown
10135,"Owell A.",Brown
10136,Owsley,Brown
10137,"Paul (III)",Brown
10138,"Peter (IV)",Brown
10139,"Peter (XXI)",Brown
10140,"Phil (I)",Brown
10141,"Quentin (I)",Brown
10142,"Quentin (II)",Brown
10143,Reg,Brown
10144,"Renee (III)",Brown
10145,"Rob (VII)",Brown
10146,"Robert (XII)",Brown
10147,"Robert W.",Brown
10148,"Robin (II)",Brown
10149,"Roger C.",Brown
10150,"Roger E.",Brown
10151,"Ron (III)",Brown
10152,Rowland,Brown
10153,"Ryan (III)",Brown
10154,"Sarah (II)",Brown
10156,"Steven (VI)",Brown
10158,"Suzanne (III)",Brown
10159,Temple,Brown
10160,"Thomas (V)",Brown
10161,"Tom E.",Brown
10162,"Tony (IX)",Brown
10163,Trudi,Brown
10165,"William O.",Brown
10166,"Winstone Z.",Brown
10167,"Z. Winston",Brown
10168,Laura,Brown-Fulp
10169,Anthony,Browne
10170,Cass,Browne
10171,"Chris (I)",Browne
10172,Christene,Browne
10173,Colin,Browne
10174,Geoff,Browne
10175,Jaime,Browne
10176,"Peter Francis",Browne
10177,Reg,Browne
10178,Anthea,Browne-Wilkinson
10179,Ian,Brownell
10180,"Bob (II)",Browning
10181,Irving,Browning
10182,Kirk,Browning
10183,"Michael (I)",Browning
10184,Philip,Browning
10185,Ricou,Browning
10186,Sally,Browning
10187,Tod,Browning
10188,Cheri,Brownlee
10189,Morag,Brownlie
10190,John,Brownlow
10191,Kevin,Brownlow
10192,S.F.,Brownrigg
10193,Tony,Brownrigg
10194,Lee,Brownstein
10195,Janice,Broxup
10196,Mark,Brozel
10197,Lev,Brozhovsky
10198,Gordana,Brozovic
10199,Marija,Brtka
10200,Carl,Brubacher
10201,Arild,Brubak
10202,"Howard J.",Brubaker
10203,Philip,Brubaker
10204,Barry,Bruce
10205,Cyril,Bruce
10206,"David (VIII)",Bruce
10208,Errol,Bruce
10209,"George (II)",Bruce
10210,James,Bruce
10211,"John (II)",Bruce
10212,"John (III)",Bruce
10213,"John A.",Bruce
10214,"Ken (I)",Bruce
10215,Lenny,Bruce
10216,"Nicholas (II)",Bruce
10217,Nicola,Bruce
10218,"Robert C. (I)",Bruce
10219,"Sarah Nean",Bruce
10220,Victoria,Bruce
10221,Martin,Bruch
10222,Jerry,"Bruck Jr."
10223,"Edith (II)",Bruck
10224,Jan,Bruck
10225,Reinhard,Bruck
10226,"Raymond Leopold",Bruckberger
10227,Clyde,Bruckman
10229,August,Bruckner
10230,Doug,Bruckner
10231,Margaret,Bruen
10232,Peggy,Bruen
10233,Martin,Bruestle
10234,Albert,Bruett
10235,"Pieter Jan",Brugge
10236,Bert,Brugman
10237,George,Brugmans
10238,Francis,Bruguiere
10239,John,Bruha
10240,Catherine,Bruhier
10241,"Jens Uwe",Bruhn
10242,Matthias,Bruhn
10243,"Jan de",Bruin
10244,Tone,Brulin
10245,Mark,Brull
10246,Claude,Brulé
10247,Andrea,Brum
10248,Richard,Brum
10249,Valentina,Brumberg
10250,Zinaida,Brumberg
10251,Reggie,Brumfield
10252,Joe,Brumm
10255,Arno-Charles,Brun
10256,Michael,Brun
10257,Patrice,Brun
10258,Walter,Brun
10259,Francesco,Brunacci
10260,Luis,Brunati
10261,Paolo,Brunatto
10262,Christophe,Bruncher
10263,Natja,Brunckhorst
10264,Richard,Brundage
10265,Dagie,Brundert
10266,David,Brundige
10267,Thérèse,Brundin
10268,"Jean-Pierre (II)",Bruneau
10269,Sophie,Bruneau
10270,Adrian,Brunel
10271,Andrew,Brunelle
10272,Todd,Brunelle
10273,Aldo,"Brunelli Ventura"
10274,"James (I)",Bruner
10275,"James (II)",Bruner
10276,"Mark Todd",Bruner
10277,Rob,Bruner
10278,Armando,Brunero
10279,"Alain (I)",Brunet
10280,Augusto,Brunet
10281,Bénédicte,Brunet
10282,"Daniel (I)",Brunet
10283,"Jacques (II)",Brunet
10284,Jean-François,Brunet
10286,Jean-Pierre,Brunet
10287,"Olivier L.",Brunet
10288,Laurent,Bruneteau
10289,Samy,Brunett
10290,Fred,Brungard
10291,Lívio,"Bruni Jr."
10292,Valeria,"Bruni Tedeschi"
10293,Patrick,Brunie
10294,"Jacques B.",Brunius
10295,"John W.",Brunius
10296,Pauline,Brunius
10297,Jeremy,Brunjes
10298,Betty,Brunke
10299,Ben,Brunkhardt
10300,Frederic,Brunn
10301,Benny,Brunner
10302,Christoph,Brunner
10303,Willy,Brunner
10304,Eva,Brunner-Szabo
10305,Frédéric,Brunnquell
10306,Christian,Bruno
10307,Edoardo,Bruno
10308,Ellen,Bruno
10309,"Federico (I)",Bruno
10310,"John (I)",Bruno
10312,"Lee John",Bruno
10313,P'tit,Bruno
10314,Joel,Bruns
10315,Fritz,Brunsch
10316,Donna,Brunsdale
10317,Todd,Brunswick
10318,"Tommy V.",Brunswick
10320,Colin,Brunton
10321,Richard,Brunton
10322,William,Brunton
10323,"Anne Birte",Brunvold
10324,Elisabetta,Brusa
10325,Giovanni,Brusadori
10326,Franco,Brusati
10327,Antonino,Bruschetta
10328,Vito,Bruschini
10329,Peter,Brusikiewicz
10330,Armelle,Brusq
10331,Kees,Brusse
10332,Ytzen,Brusse
10333,"William E.",Brusseau
10334,Alf,Brustellin
10335,"Davide F.",Brusà
10336,Olivier,Brut
10337,Joseph,Brutsman
10338,Nick,Bruty
10339,Einar,Bruun
10340,"Søren (II)",Bruun
10341,Morten,Bruus
10342,Elsa,Bruxelas
10343,Francine,Bruylandts
10344,Jef,Bruyninckx
10345,Christian,Bruyère
10346,"Bob (II)",Bryan
10347,"George (II)",Bryan
10348,"James (I)",Bryan
10349,Julien,Bryan
10350,"Matthew W.",Bryan
10351,"Richard (II)",Bryan
10352,"Ron (II)",Bryan
10353,"Vincent (I)",Bryan
10354,Michael,Bryans
10355,Bruce,Bryant
10356,"Charles (I)",Bryant
10357,"Elaine Frontain",Bryant
10358,Gerald,Bryant
10359,Gerard,Bryant
10360,"Jeff (IV)",Bryant
10361,"Jerry (II)",Bryant
10362,"John E.",Bryant
10363,"Linda Goode",Bryant
10364,"Peter (VII)",Bryant
10365,"William (II)",Bryant
10366,Dmitri,Bryantsev
10367,Alex,Bryce
10368,Jeff,Bryd
10369,Vilhelm,Bryde
10370,"Bill (I)",Bryden
10371,Philip,Bryden
10372,Lars,Brydesen
10373,Paul,Bryers
10374,Ryszard,Brylski
10375,Christian,Brym
10376,Bjørn,Bryn
