AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Business,Country,Value,DerivedProducts,ParentCompany
ACQ622,June,29,2007,Savvis Inc-Data Centers,Networking,USA,200000000,,Microsoft
ACQ621,July,2,2007,GrandCentral,Voice over IP,USA,45000000,Google Voice,Google
ACQ620,July,9,2007,Postini,Communications security,USA,625000000,Gmail,Google
ACQ62,August,8,2016,Beam (now known as Mixer),Video game streaming,USA,,,Microsoft
ACQ619,July,19,2007,Parakey,Offline applications/Web desktop,USA,,Facebook Mobile,Facebook
ACQ618,July,20,2007,ImageAmerica,Aerial photography,USA,,Google Maps,Google
ACQ617,July,20,2007,Watchfire Corporation,Security Software Testing,USA,,,IBM
ACQ616,August,13,2007,aQuantive,Digital marketing,USA,6333000000,,Microsoft
ACQ615,August,13,2007,AdECN,Ad Exchange,USA,,,Microsoft
ACQ614,August,21,2007,WebDialogs,Web conferencing and communications,USA,,,IBM
ACQ613,August,31,2007,DataMirror Corporation,Change Data Capture,CAN,161000000,,IBM
ACQ612,September,4,2007,BlueLithium,Advertising network,USA,300000000,Yahoo! Search Marketing,Yahoo
ACQ611,September,7,2007,"Qinnova, Inc.",Internet Protocol Television (IPTV),CAN,,,IBM
ACQ610,September,10,2007,"Princeton Softech, Inc.",Business Intelligence,USA,,,IBM
ACQ61,August,8,2016,Orbitera,Cloud software,USA,100000000,Google Cloud Platform,Google
ACQ609,September,14,2007,BuzzTracker,News site,USA,,Yahoo! News,Yahoo
ACQ608,September,17,2007,Zimbra,Collaborative software,USA,350000000,Zimbra,Yahoo
ACQ607,September,27,2007,Zingku,Social networking service,USA,,Google Mobile,Google
ACQ606,October,2,2007,Jellyfish.com,Search engine,USA,,,Microsoft
ACQ605,October,5,2007,Parlano,Enterprise messaging software,USA,,,Microsoft
ACQ604,October,9,2007,Jaiku,Microblogging,FIN,,Google Mobile,Google
ACQ603,October,24,2007,NovusCG,Storage Consulting and Technology Services,USA,,,IBM
ACQ602,October,29,2007,Global Care Solutions-Assets,Assets,THA,,,Microsoft
ACQ601,November,1,2007,HOB Business Solutions,Information technology,DEN,,,Microsoft
ACQ600,November,15,2007,Musiwave,Mobile music entertainment,FRA,,,Microsoft
ACQ60,August,20,2016,Genee,AI-powered scheduling assistant service,USA,,,Microsoft
ACQ6,January,2,2018,Buddybuild,Feedback Platform for Development teams,CAN,,"Xcode, TestFlight",Apple
ACQ599,December,12,2007,Multimap.com,Mapping,UK,,,Microsoft
ACQ598,January,2,2008,XIV,Enterprise storage,ISR,300000000,,IBM
ACQ597,January,18,2008,AptSoft Corporation,Business Intelligence,USA,,,IBM
ACQ596,January,22,2008,Calista Technologies,Software,USA,,,Microsoft
ACQ595,January,29,2008,Solid Information Technology,Database Software,USA,,,IBM
ACQ594,January,31,2008,Arsenal Digital Solutions,Data backup services,USA,,,IBM
ACQ593,January,31,2008,Cognos,Business Intelligence,CAN,5000000000,,IBM
ACQ592,February,5,2008,FoxyTunes,Browser extension,USA,,FoxyTunes,Yahoo
ACQ591,February,7,2008,Caligari Corporation,Software,USA,,,Microsoft
ACQ590,February,12,2008,Maven Networks,Video on demand,USA,160000000,Yahoo! Video,Yahoo
ACQ59,August,22,2016,Gliimpse,Personal health info collection company,USA,,"HealthKit, CareKit, ResearchKit",Apple
ACQ589,Feburary,15,2008,Net Integration Technologies Inc.,Business Server Software,CAN,,,IBM
ACQ588,February,27,2008,YaData,Software,ISR,,,Microsoft
ACQ587,March,11,2008,"Encentuate, Inc.",Enterprise Single Sign-On,USA,,,IBM
ACQ586,March,14,2008,Rapt,Advertising yield management software,USA,,,Microsoft
ACQ585,March,19,2008,Komoku,Rootkit security software,USA,5000000,,Microsoft
ACQ584,March,31,2008,90 Degree Software,Business intelligence software,CAN,,,Microsoft
ACQ583,April,3,2008,Telelogic AB,Enterprise software development,SWE,845000000,,IBM
ACQ582,April,14,2008,Farecast,Online search software,USA,75000000,,Microsoft
ACQ581,April,15,2008,Danger,Mobile Internet software,USA,500000000,,Microsoft
ACQ580,April,18,2008,Diligent Technologies,Data De-duplication,USA,200000000,,IBM
ACQ58,September,8,2016,Apigee,API management and predictive analytics,USA,625000000,Google Cloud Platform,Google
ACQ579,April,21,2008,FilesX,Application Recovery Software,USA,,,IBM
ACQ578,April,24,2008,P.A. Semi,Semiconductors,USA,278000000,Apple SOC,Apple
ACQ577,April,25,2008,Fast Search & Transfer,Enterprise search[clarification needed],NOR,1191000000,,Microsoft
ACQ576,April,29,2008,InfoDyne Corporation,Data Feed Connectors,USA,,,IBM
ACQ575,May,9,2008,Inquisitor,Browser extension,USA,,Inquisitor,Yahoo
ACQ574,May,26,2008,Kidaro,Software,USA,,,Microsoft
ACQ573,June,4,2008,Quadreon,Software,BEL,,,Microsoft
ACQ572,June,18,2008,Navic Networks,Management software,USA,,,Microsoft
ACQ571,June,23,2008,ConnectU,Social networking,USA,31000000,(Court settlement),Facebook
ACQ570,June,26,2008,Mobicomp,Mobile applications,POR,,,Microsoft
ACQ57,September,15,2016,Urban Engines,Location-based analytics,USA,,Google Maps,Google
ACQ569,July,2,2008,Platform Solutions,"Mainframe, System Z technologies",USA,,,IBM
ACQ568,July,15,2008,Summize,Social search,,,,Twitter
ACQ567,July,28,2008,ILOG,Business Rules Management Systems,FRA,340000000,,IBM
ACQ566,July,30,2008,Omnisio,Online video,USA,15000000,YouTube,Google
ACQ565,August,11,2008,Powerset,Semantic Search,USA,,,Microsoft
ACQ564,September,12,2008,TNC,Weblog software,KOR,,Blogger,Google
ACQ563,September,16,2008,DATAllegro,Data software,USA,,,Microsoft
ACQ562,September,28,2008,Greenfield Online,Search and e-commerce services,USA,486000000,,Microsoft
ACQ561,November,18,2008,Transitive Corporation,Virtualization Software,USA,,,IBM
ACQ560,November,24,2008,Values of n,Social software development,,,,Twitter
ACQ56,September,19,2016,API.AI,Natural language processing,USA,,Google Assistant,Google
ACQ559,January,15,2009,Outblaze's E-Mail Service Assets,Online messaging and collaboration,HKG,,,IBM
ACQ558,March,1,2009,3DV Systems,"Developer of ZCam, a time-of-flight camera",ISR,35000000,,Microsoft
ACQ557,May,5,2009,Exeros Assets,Data Discovery Software,USA,,,IBM
ACQ556,May,7,2009,BigPark,Interactive online gaming,CAN,,,Microsoft
ACQ555,June,1,2009,Rosetta Biosoftware,Bioinformatics solutions for life science research,USA,,,Microsoft
ACQ554,July,7,2009,Placebase,Maps,USA,,Apple Maps,Apple
ACQ553,July,22,2009,Xoopit,Webmail applications,USA,20000000,Yahoo! Mail,Yahoo
ACQ552,July,28,2009,Ounce Labs,Source code analysis,USA,,,IBM
ACQ551,July,28,2009,SPSS Inc.,Statistical analysis software,USA,1200000000,,IBM
ACQ550,August,5,2009,On2,Video compression,USA,133000000,"WebM, YouTube",Google
ACQ55,September,19,2016,Nascent Objects,Modular Electronics,USA,,,Facebook
ACQ549,August,10,2009,FriendFeed,Social networking aggregator,USA,47500000,,Facebook
ACQ548,August,25,2009,Maktoob.com,Social media,JOR,167000000,Maktoob.com,Yahoo
ACQ547,September,16,2009,reCAPTCHA,Security,USA,,Google Books,Google
ACQ546,September,22,2009,Interactive Supercomputing,Software,USA,,,Microsoft
ACQ545,September,22,2009,RedPill Solutions,Analytics and Optimisation,SGP,,,IBM
ACQ544,November,9,2009,Gizmo5,Voice over IP,USA,30000000,"Google Talk, Google Hangouts",Google
ACQ543,November,9,2009,AdMob,Mobile advertising,USA,750000000,"DoubleClick, Invite Media",Google
ACQ542,November,23,2009,Teracent,Online advertising,USA,,AdSense,Google
ACQ541,November,30,2009,Guardium,Database monitoring and protection,USA,,,IBM
ACQ540,December,4,2009,AppJet,Collaborative real-time editor,USA,,"Google Wave, Google Docs",Google
ACQ54,September,22,2016,Tuplejump,Machine learning,IND,,"Siri, CoreML",Apple
ACQ539,December,6,2009,Lala.com,Music streaming,USA,17000000,"iCloud, iTunes Match",Apple
ACQ538,December,10,2009,"Sentillion, Inc.",Identity and Access Management Software for Healthcare,USA,,,Microsoft
ACQ537,December,10,2009,Opalis Software,Software,CAN,,,Microsoft
ACQ536,December,16,2009,Lombardi,Business Process Management,USA,,,IBM
ACQ535,December,23,2009,Mixer labs,Location information engine,,5170000,,Twitter
ACQ534,January,5,2010,Quattro Wireless,Mobile advertising,USA,275000000,iAd,Apple
ACQ533,January,20,2010,"National Interest Security Company, LLC",Public sector consulting,USA,,,IBM
ACQ532,February,3,2010,Initiate Systems,Data integrity software,USA,,,IBM
ACQ531,February,12,2010,Aardvark,Social search,USA,50000000,Aardvark,Google
ACQ530,February,16,2010,Intelliden Inc.,Network Automation software,USA,,,IBM
ACQ53,September,29,2016,Promontory Financial Group,Risk management and regulatory compliance,USA,,,IBM
ACQ529,February,17,2010,reMail,Email search,USA,,Gmail,Google
ACQ528,February,19,2010,Octazen,Contact importer,MYS,,FriendFinder,Facebook
ACQ527,March,1,2010,Picnik,Photo editing,USA,,Picasa,Google
ACQ526,March,2,2010,Divvyshot,Photo management,USA,,Facebook Photos,Facebook
ACQ525,March,5,2010,DocVerse,Microsoft Office files sharing site,USA,25000000,Google Docs,Google
ACQ524,March,17,2010,citizensports.com,Sports Social media,USA,,citizensports.com,Yahoo
ACQ523,April,2,2010,Episodic,Online video platform start-up,USA,,YouTube,Google
ACQ522,April,9,2010,Atebits,Tweetie,,,Mobile Twitter app (iOS),Twitter
ACQ521,April,12,2010,PlinkArt,Visual search engine,UK,,Google Goggles,Google
ACQ520,April,20,2010,Agnilux,Server CPUs,USA,,Android,Google
ACQ52,October,10,2016,Infiniled,Oculus VR,IRL,,,Facebook
ACQ519,April,23,2010,Cloudhopper,Mobile messaging,,,,Twitter
ACQ518,April,27,2010,LabPixies,Gadgets,ISR,,"iGoogle, Android",Google
ACQ517,April,27,2010,Siri,Voice control software,USA,,Siri,Apple
ACQ516,April,27,2010,Intrinsity,Semiconductors,USA,121000000,Apple SOC,Apple
ACQ515,April,30,2010,BumpTop,Desktop environment,CAN,30000000,Android,Google
ACQ514,May,3,2010,Cast Iron Systems,Cloud Integration,USA,190000000,,IBM
ACQ513,May,10,2010,Gipsy Moth Studios,Application localization,USA,12000000,"iPod, iPhone, iPad",Apple
ACQ512,May,13,2010,Friendster patents,Intellectual property/patents,USA,40000000,,Facebook
ACQ511,May,18,2010,Global IP Solutions,Video and audio compression,USA,68200000,WebRTC,Google
ACQ510,May,18,2010,Associated Content,Content farm,USA,,Associated Content,Yahoo
ACQ51,October,11,2016,FameBit,Branded content,,,YouTube,Google
ACQ509,May,20,2010,Simplify Media,Music streaming,USA,,Android,Google
ACQ508,May,21,2010,Ruba.com,Travel,USA,,iGoogle,Google
ACQ507,May,24,2010,Sterling Commerce,Business software integration,USA,1400000000,,IBM
ACQ506,May,25,2010,Koprol,Geosocial network,IDN,,Koprol,Yahoo
ACQ505,May,26,2010,ShareGrove,Private conversations/Forums,USA,,Facebook Groups,Facebook
ACQ504,June,3,2010,Invite Media,Advertising,USA,81000000,DoubleClick,Google
ACQ503,June,10,2010,Smallthought Systems,Databases and analytics,,,Analytics tools,Twitter
ACQ502,June,15,2010,Coremetrics,Web Analytics,USA,,,IBM
ACQ501,July,1,2010,"BigFix, Inc.",Security and IT automation software,USA,,,IBM
ACQ500,July,8,2010,Nextstop,Travel recommendations,USA,2500000,,Facebook
ACQ50,October,24,2016,Eyefluence,"Eye tracking, virtual reality",,,Google VR,Google
ACQ5,January,23,2018,Confirm,Government Issued ID Verification Platform,USA,,,Facebook
ACQ499,July,14,2010,Poly9,Web-based mapping,CAN,,Apple Maps,Apple
ACQ498,July,16,2010,Metaweb,Semantic search,USA,,Google Search,Google
ACQ497,July,29,2010,Storwize,Data Compression,USA,140000000,,IBM
ACQ496,August,,2010,Zetawire,"Mobile payment, NFC",CAN,,"Android, Google Wallet, Google Checkout",Google
ACQ495,August,4,2010,Instantiations,Java/Eclipse/AJAX developer tools,USA,,Google Web Toolkit,Google
ACQ494,August,5,2010,Slide.com,Social gaming,USA,228000000,"Google+, Orkut, Google Play",Google
ACQ493,August,10,2010,Jambool,Social Gold payment,USA,70000000,"Google+, Orkut",Google
ACQ492,August,10,2010,Datacap,Data capture and Content Management,USA,,,IBM
ACQ491,August,13,2010,Unica Corporation,Marketing planning software,USA,480000000,,IBM
ACQ490,August,15,2010,Like.com,Visual search engine,USA,100000000,Google Shopping,Google
ACQ49,October,27,2016,Sanovi Technologies,Hybrid cloud recovery,IND,,,IBM
ACQ489,August,15,2010,Chai Labs,Internet applications,USA,10000000,,Facebook
ACQ488,August,20,2010,Hot Potato,Check-ins/status updates,USA,,Facebook Places,Facebook
ACQ487,August,30,2010,"SocialDeck, Inc.",Social gaming,CAN,,"Google, Google+",Google
ACQ486,August,30,2010,Angstro,Social networking service,USA,,"Google, Google Alert",Google
ACQ485,September,13,2010,Quiksee,Online video,ISR,10000000,Google Maps,Google
ACQ484,September,14,2010,IMSense,High-dynamic-range (HDR) photography,UK,,iOS,Apple
ACQ483,September,15,2010,OpenPages,Integrated risk management solutions,USA,,,IBM
ACQ482,September,20,2010,Polar Rose,Facial recognition,SWE,29000000,iOS,Apple
ACQ481,September,20,2010,Netezza,Data warehousing and analytics,USA,1700000000,,IBM
ACQ480,September,27,2010,BLADE Network Technologies,Networking,USA,,,IBM
ACQ48,November,5,2016,LeapDroid,Android Emulator,USA,,Android,Google
ACQ479,September,28,2010,Plannr,Schedule management,USA,,Google+,Google
ACQ478,October,1,2010,BlindType,Touch typing,GRE,,Android,Google
ACQ477,October,4,2010,Dapper,SmartAds,ISR,55000000,Dapper,Yahoo
ACQ476,October,6,2010,"AVIcode, Inc.",.Net monitoring technology,USA,,,Microsoft
ACQ475,October,13,2010,PSS Systems,Legal risk management,USA,,,IBM
ACQ474,October,21,2010,Clarity Systems,Financial governance,CAN,350000000,,IBM
ACQ473,October,29,2010,"Canesta, Inc.",3-D sensing technology,USA,,,Microsoft
ACQ472,October,29,2010,Drop.io,File hosting and sharing,USA,,,Facebook
ACQ471,November,15,2010,FB.com domain name,American Farm Bureau Federation,USA,8500000,,Facebook
ACQ470,December,3,2010,Widevine Technologies,DRM,USA,,Google TV,Google
ACQ47,November,11,2016,CrowdTangle,Publisher analytics,USA,,,Facebook
ACQ469,December,3,2010,Phonetic Arts,Speech synthesis,UK,,"Google Voice, Google Translate",Google
ACQ468,December,21,2010,Fluther,Q&A service,,,,Twitter
ACQ467,January,13,2011,eBook Technologies,E-book,USA,,Google Books,Google
ACQ466,January,20,2011,Spreets,Daily deals,AUS,40000000,Spreets,Yahoo
ACQ465,January,25,2011,SayNow,Voice recognition,USA,,Google Voice,Google
ACQ464,January,25,2011,Rel8tion,Mobile advertising,USA,,,Facebook
ACQ463,March,1,2011,Zynamics,Security,GER,,Project Zero (Google),Google
ACQ462,March,2,2011,Beluga,Group messaging,USA,,Facebook Messenger,Facebook
ACQ461,March,7,2011,Next New Networks,Online video,USA,,YouTube,Google
ACQ460,March,7,2011,BeatThatQuote.com,Price comparison service,UK,65000000,Google Shopping,Google
ACQ46,November,16,2016,Faciometrics,"Computer Vision, Machine Learning",USA,,,Facebook
ACQ459,March,16,2011,Green Parrot Pictures,Digital video,IRL,,YouTube,Google
ACQ458,March,20,2011,Snaptu,Mobile app developer,ISR,70000000,Mobile,Facebook
ACQ457,March,22,2011,Tririga Inc.,Facility and Real Estate Management,USA,,,IBM
ACQ456,March,24,2011,RecRec,Computer vision,USA,,,Facebook
ACQ455,April,8,2011,PushLife,Service provider,CAN,25000000,Google Play,Google
ACQ454,April,12,2011,ITA Software,Travel technology,USA,676000000,Google Flights,Google
ACQ453,April,25,2011,IntoNow,Recognize TV content,USA,20000000,IntoNow,Yahoo
ACQ452,April,26,2011,TalkBin,Mobile software,USA,,Android,Google
ACQ451,April,27,2011,DayTum,Information graphics,USA,,,Facebook
ACQ450,May,10,2011,Skype Technologies,Telecommunications,LUX,8500000000,,Microsoft
ACQ45,November,21,2016,Qwiklabs,Cloud based hands-on training platform,,,Google Cloud Platform,Google
ACQ449,May,23,2011,Sparkbuy,Product search,USA,,Google Shopping,Google
ACQ448,May,25,2011,TweetDeck,Web and desktop client,,40000000,,Twitter
ACQ447,June,1,2011,AdGrok,Advertising,,,,Twitter
ACQ446,June,3,2011,PostRank,Social media analytics service,CAN,,Google+ Google Analytics,Google
ACQ445,June,7,2011,Prodiance,Software,USA,,,Microsoft
ACQ444,June,9,2011,Admeld,Online advertising,USA,400000000,"DoubleClick, Invite Media",Google
ACQ443,June,9,2011,MailRank,Email prioritization,USA,,,Facebook
ACQ442,June,9,2011,Sofa,Software design,NED,,,Facebook
ACQ441,June,18,2011,SageTV,Media center,USA,,"Google TV, Google Fiber, Android TV",Google
ACQ440,July,5,2011,BackType,Social analytics,,,,Twitter
ACQ44,December,1,2016,Indoor.io,Indoor mapping and navigation,FIN,,Maps,Apple
ACQ439,July,8,2011,Punchd,Loyalty program,USA,,Google Offers,Google
ACQ438,July,21,2011,Fridge,Social groups,USA,,Google+,Google
ACQ437,July,23,2011,PittPatt,Facial recognition system,USA,,Android,Google
ACQ436,August,1,2011,Dealmap,One deal a day service,USA,,Google Offers,Google
ACQ435,August,1,2011,C3 Technologies,3D mapping,SWE,267000000,Maps,Apple
ACQ434,August,2,2011,Push Pop Press,Digital publishing,USA,,,Facebook
ACQ433,August,8,2011,Bagcheck,Social sharing and discovery,,,,Twitter
ACQ432,August,15,2011,Motorola Mobility,Mobile device manufacturer,USA,12500000000,"Android, Google TV, Android TV, Patent portfolio",Google
ACQ431,August,31,2011,i2 Limited,Intelligence Analytics,UK,,,IBM
ACQ430,September,1,2011,Algorithmics Inc.[116],Risk Management,CAN,387000000,,IBM
ACQ43,December,1,2016,"Yes, Inc",Social Apps Developer,USA,,,Twitter
ACQ429,September,7,2011,Zave Networks,Digital coupons,USA,,Google Offers,Google
ACQ428,September,8,2011,Zagat,Restaurant reviews,USA,151000000,"Google Places, Google Maps",Google
ACQ427,September,19,2011,DailyDeal,One deal a day service,GER,114000000,Google Offers,Google
ACQ426,September,21,2011,Julpan,Real-time social search engine,,,,Twitter
ACQ425,October,4,2011,Q1 Labs[118],Security Intelligence,USA,,,IBM
ACQ424,October,10,2011,Friend.ly,Social casual Q&A service app,USA,,,Facebook
ACQ423,October,11,2011,SocialGrapple,Social media analytics service,CAN,,Google+ Google Analytics,Google
ACQ422,October,12,2011,Platform Computing,Cluster and Grid Management Software,CAN,,,IBM
ACQ421,November,1,2011,Interclick,Data driven advertising,USA,270000000,Yahoo! Ad Network,Yahoo
ACQ420,November,8,2011,Strobe,"HTML5 mobile apps, SproutCore",USA,,Mobile engineering team,Facebook
ACQ42,December,8,2016,LinkedIn,Professional Networking Service,USA,26200000000,,Microsoft
ACQ419,November,10,2011,Apture,Instantaneous search,USA,,Google Search,Google
ACQ418,November,14,2011,Katango,Social circle organization,USA,,Google+,Google
ACQ417,November,22,2011,Videosurf,Video search,USA,100000000,,Microsoft
ACQ416,November,28,2011,Whisper Systems,Mobile privacy and security,,,,Twitter
ACQ415,December,2,2011,Gowalla,Location Based Service,USA,,,Facebook
ACQ414,December,5,2011,Cúram Software,Smarter Cities,IRL,,,IBM
ACQ413,December,8,2011,DemandTec,Cloud-based Retail Analytics,USA,440000000,,IBM
ACQ412,December,9,2011,RightsFlow,Music rights management,USA,,YouTube,Google
ACQ411,December,13,2011,Clever Sense,Local recommendations app,USA,,Google Maps,Google
ACQ410,December,15,2011,Emptoris,Supply Chain Analytics,USA,,,IBM
ACQ41,December,13,2016,Cronologics,Smartwatches,USA,,Android Wear,Google
ACQ409,December,20,2011,Anobit,Flash memory,ISR,390000000,"iPod, iPhone, iPad",Apple
ACQ408,,,2012,WIMM Labs,Android-powered smartwatches,USA,,Android Wear,Google
ACQ407,January,4,2012,Green Hat (software company)[124],Cloud based software testing,USA,,,IBM
ACQ406,January,19,2012,Summify,Social news,,,,Twitter
ACQ405,January,24,2012,Dasient,Internet security,,,Revenue team,Twitter
ACQ404,January,31,2012,Worklight,Software Development Firm,ISR,70000000,,IBM
ACQ403,February,20,2012,Caffeinatedmind,In-browser file transfer,USA,,,Facebook
ACQ402,February,23,2012,Chomp,App search engine,USA,50000000,App Store,Apple
ACQ401,March,12,2012,Posterous,Blogging platform,,,,Twitter
ACQ400,March,16,2012,"Milk, Inc",Software company,USA,,Google+,Google
ACQ40,January,5,2017,Limes Audio,Voice communication,SWE,,"Google Duo, Google Hangouts",Google
ACQ4,January,29,2018,Playfab,Gaming backend service,USA,,,Microsoft
ACQ399,April,2,2012,TxVia,Online payments,USA,,"Google Wallet, Google Checkout",Google
ACQ398,April,9,2012,Instagram,Photo sharing,USA,1000000000,,Facebook
ACQ397,April,13,2012,Tagtile,Customer loyalty app,USA,,,Facebook
ACQ396,April,13,2012,Varicent,Compensation and Sales Performance Management Software Solutions,CAN,,,IBM
ACQ395,April,16,2012,Hotspots.io,Social media intelligence,,,Revenue engineering team,Twitter
ACQ394,April,25,2012,Vivisimo,Enterprise Search Software,USA,,,IBM
ACQ393,May,2,2012,Tealeaf Technology,Customer Experience Analytics Software,USA,,,IBM
ACQ392,May,5,2012,Glancee,Social discovery platform,USA,,,Facebook
ACQ391,May,10,2012,RestEngine,Personalized email marketing,,,,Twitter
ACQ390,May,15,2012,Lightbox.com,Photo sharing,UK,,,Facebook
ACQ39,January,13,2017,Maluuba,Artificial Intelligence,CAN,,,Microsoft
ACQ389,May,21,2012,Karma,Social gifting,USA,,Facebook Gifts,Facebook
ACQ388,June,2,2012,Redmatica,Audio,ITA,,"Logic Pro, GarageBand",Apple
ACQ387,June,4,2012,Meebo,Social networking,USA,100000000,Google+,Google
ACQ386,June,4,2012,Nclud,Boutique design agency,,,,Twitter
ACQ385,June,5,2012,Quickoffice,Mobile office suite,USA,,Google Docs,Google
ACQ384,June,18,2012,Face.com,Face recognition platform,ISR,100000000,,Facebook
ACQ383,June,25,2012,Yammer,Social networking,USA,1200000000,,Microsoft
ACQ382,July,9,2012,Perceptive Pixel,Multi touch hardware,USA,,,Microsoft
ACQ381,July,14,2012,Spool,Mobile bookmarking and sharing content,USA,,Mobile engineering team,Facebook
ACQ380,July,20,2012,Sparrow,Mobile apps,FRA,25000000,Gmail,Google
ACQ38,January,17,2017,Simplygon,3D Gaming,SWE,,,Microsoft
ACQ379,July,20,2012,Acrylic Software,RSS app Pulp and secure database app Wallet,CAN,,Facebook's design team,Facebook
ACQ378,July,27,2012,AuthenTec,PC and mobile security products,USA,356000000,Touch ID,Apple
ACQ377,August,1,2012,Wildfire Interactive,Social media marketing,USA,450000000,"Google, Google+",Google
ACQ376,August,13,2012,Clutch.IO,A/B Tester,,,Design,Twitter
ACQ375,August,16,2012,Texas Memory Systems,Solid State Storage,USA,,,IBM
ACQ374,August,24,2012,Threadsy,"Threadsy is a social aggregator, Maker of social marketing tool Swaylo",USA,,,Facebook
ACQ373,August,27,2012,Kenexa Corporation,Human Capital Solutions,USA,1400000000,,IBM
ACQ372,September,7,2012,VirusTotal.com,Security,ESP,,,Google
ACQ371,September,17,2012,"Nik Software, Inc.",Photography,USA,,"Google, Android",Google
ACQ370,September,24,2012,Butterfly Software Ltd.,Data Analysis and Migration Software,UK,,,IBM
ACQ37,January,19,2017,Fabric,Crash analytics,USA,,Firebase,Google
ACQ369,September,27,2012,Particle,HTML5 Web app firm,USA,,"iCloud, iAd",Apple
ACQ368,October,1,2012,Viewdle,Facial recognition,UKR,45000000,Android,Google
ACQ367,October,4,2012,PhoneFactor,Two-factor authentication system,USA,,,Microsoft
ACQ366,October,9,2012,Vine,Video Sharing Service,,30000000,,Twitter
ACQ365,October,16,2012,StorSimple,Cloud-storage appliance vendor,USA,,,Microsoft
ACQ364,October,16,2012,Cabana,Mobile app building software,,,,Twitter
ACQ363,October,17,2012,MarketingPilot,Marketing automation firm,USA,,,Microsoft
ACQ362,October,25,2012,Stamped,Social recommendation,USA,,Yahoo! Mobile,Yahoo
ACQ361,November,1,2012,We Are Hunted,Music Service,AUS,,,Twitter
ACQ360,November,28,2012,Incentive Targeting Inc.,Digital coupons,USA,,Google Offers,Google
ACQ36,February,3,2017,Agile 3 Solutions,Information security,USA,,,IBM
ACQ359,November,30,2012,BufferBox,Package delivery,CAN,17000000,"Google Shopping, Android",Google
ACQ358,December,4,2012,OnTheAir,OnTheAir,USA,,IntoNow,Yahoo
ACQ357,December,19,2012,StoredIQ,Big Data Analysis,USA,,,IBM
ACQ356,,,2013,OttoCat,Search engine,USA,,App Store,Apple
ACQ355,,,2013,Novauris Technologies,Speech recognition,UK,,Siri,Apple
ACQ354,January,3,2013,id8 Group R2 Studios,Home automation,USA,,,Microsoft
ACQ353,January,22,2013,Snip.it,Social network,USA,10000000,Snip.it,Yahoo
ACQ352,January,28,2013,Crashlytics,Crash reporting,,100000000,,Twitter
ACQ351,February,1,2013,Star Analytics,Business Analytics,USA,,,IBM
ACQ350,February,2,2013,Pando Networks,Peer-to-peer (P2P) media distribution,USA,,,Microsoft
ACQ35,March,8,2017,Kaggle,Data science,USA,,Google Cloud Platform,Google
ACQ349,February,6,2013,Channel Intelligence,Product ecommerce,USA,125000000,Google Shopping,Google
ACQ348,February,6,2013,Bluefin Labs,Social TV analytics,USA,80000000,,Twitter
ACQ347,February,12,2013,Alike,Social recommendation,USA,,Yahoo! Mobile,Yahoo
ACQ346,February,28,2013,Atlas Solutions,Atlas advertiser suite,USA,,,Facebook
ACQ345,March,,2013,osmeta,Mobile software,USA,,,Facebook
ACQ344,March,4,2013,MetricsHub,Cloud monitoring,USA,,,Microsoft
ACQ343,March,12,2013,DNNresearch Inc.,Deep Neural Networks,CAN,,"Google, X",Google
ACQ342,March,14,2013,Hot Studio,Design agency,USA,,,Facebook
ACQ341,March,15,2013,Talaria Technologies,Cloud computing,USA,,Google Cloud,Google
ACQ340,March,19,2013,Netbreeze,Social analytics,SWI,,,Microsoft
ACQ34,March,9,2017,AppBridge,Productivity suite,USA,,Google Docs,Google
ACQ339,March,20,2013,Jybe,Social recommendation,USA,,Jybe,Yahoo
ACQ338,March,23,2013,WiFiSlam,Indoor location,USA,20000000,Apple Maps,Apple
ACQ337,March,25,2013,Summly,"News aggregation, summarization",UK,30000000,Yahoo App,Yahoo
ACQ336,April,12,2013,Behavio,Social Prediction,USA,,Google Now,Google
ACQ335,April,22,2013,UrbanCode,Software delivery automation,USA,,,IBM
ACQ334,April,23,2013,Wavii,Natural Language Processing,USA,30000000,Google Knowledge Graph,Google
ACQ333,April,23,2013,Spaceport,Cross-platform game framework,USA,,,Facebook
ACQ332,April,25,2013,Parse,Mobile app backends,USA,85000000,,Facebook
ACQ331,May,1,2013,Astrid,Productivity,USA,,Astrid,Yahoo
ACQ330,May,9,2013,Ubalo,Large-scale computing,,,,Twitter
ACQ33,March,23,2017,Workflow,Automation and scripting app,USA,,iOS,Apple
ACQ329,May,9,2013,MileWise,Flight rewards management,USA,,Yahoo Mobile Properties and Apps,Yahoo
ACQ328,May,9,2013,GoPollGo,Real-time surveys,USA,,Yahoo Mobile Properties and Apps,Yahoo
ACQ327,May,10,2013,Loki Studios,Mobile gaming,USA,,Yahoo Mobile Properties and Apps,Yahoo
ACQ326,May,13,2013,Lucky Sort,Big Data visualization,,,,Twitter
ACQ325,May,17,2013,Tumblr,Blogging,USA,1100000000,,Yahoo
ACQ324,May,23,2013,Makani Power,Airborne wind turbines,USA,,X,Google
ACQ323,May,23,2013,PlayerScale,Online gaming,USA,,Yahoo Mobile Properties and Apps,Yahoo
ACQ322,June,3,2013,InRelease,Release management,CAN,,,Microsoft
ACQ321,June,4,2013,SoftLayer Technologies,Cloud Computing Infrastructure,USA,2000000000,,IBM
ACQ320,June,11,2013,Waze,GPS navigation software,ISR,966000000,"Google Maps , Waze",Google
