INDICATOR_CODE,INDICATOR_NAME,SOURCE_NOTE,SOURCE_ORGANIZATION
NY.ADJ.DKAP.CD,"Adjusted savings: consumption of fixed capital (current US$)","Consumption of fixed capital represents the replacement value of capital used up in the process of production.","World Bank staff estimates using data from the United Nations Statistics Division's National Accounts Statistics."
NY.ADJ.DKAP.GN.ZS,"Adjusted savings: consumption of fixed capital (% of GNI)","Consumption of fixed capital represents the replacement value of capital used up in the process of production.","World Bank staff estimates using data from the United Nations Statistics Division's National Accounts Statistics."
NY.ADJ.DMIN.CD,"Adjusted savings: mineral depletion (current US$)","Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime (capped at 25 years). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate. ","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.DMIN.GN.ZS,"Adjusted savings: mineral depletion (% of GNI)","Mineral depletion is the ratio of the value of the stock of mineral resources to the remaining reserve lifetime (capped at 25 years). It covers tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate. ","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.DNGY.CD,"Adjusted savings: energy depletion (current US$)","Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime (capped at 25 years). It covers coal, crude oil, and natural gas. ","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.DNGY.GN.ZS,"Adjusted savings: energy depletion (% of GNI)","Energy depletion is the ratio of the value of the stock of energy resources to the remaining reserve lifetime (capped at 25 years). It covers coal, crude oil, and natural gas. ","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.DPEM.CD,"Adjusted savings: particulate emission damage (current US$)","Particulate emissions damage is calculated as the willingness to pay to avoid mortality attributable to particulate emissions.","Kiran D. Pandey and others' "The Human Costs of Air Pollution: New Estimates for Developing Countries" (working paper)."
NY.ADJ.DPEM.GN.ZS,"Adjusted savings: particulate emission damage (% of GNI)","Particulate emissions damage is calculated as the willingness to pay to avoid mortality attributable to particulate emissions.","Kiran D. Pandey and others' "The Human Costs of Air Pollution: New Estimates for Developing Countries" (working paper)."
NY.ADJ.ICTR.GN.ZS,"Adjusted savings: gross savings (% of GNI)","Gross savings are the difference between gross national income and public and private consumption, plus net current transfers.","World Bank national accounts data files."
NY.ADJ.NNAT.CD,"Adjusted savings: net national savings (current US$)","Net national savings are equal to gross national savings less the value of consumption of fixed capital.","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.NNAT.GN.ZS,"Adjusted savings: net national savings (% of GNI)","Net national savings are equal to gross national savings less the value of consumption of fixed capital.","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.SVNG.CD,"Adjusted net savings, including particulate emission damage (current US$)","Adjusted net savings are equal to net national savings plus education expenditure and minus energy depletion, mineral depletion, net forest depletion, and carbon dioxide and particulate emissions damage.","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.SVNG.GN.ZS,"Adjusted net savings, including particulate emission damage (% of GNI)","Adjusted net savings are equal to net national savings plus education expenditure and minus energy depletion, mineral depletion, net forest depletion, and carbon dioxide and particulate emissions damage.","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.SVNX.CD,"Adjusted net savings, excluding particulate emission damage (current US$)","Adjusted net savings are equal to net national savings plus education expenditure and minus energy depletion, mineral depletion, net forest depletion, and carbon dioxide. This series excludes particulate emissions damage.","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.ADJ.SVNX.GN.ZS,"Adjusted net savings, excluding particulate emission damage (% of GNI)","Adjusted net savings are equal to net national savings plus education expenditure and minus energy depletion, mineral depletion, net forest depletion, and carbon dioxide. This series excludes particulate emissions damage.","World Bank staff estimates based on sources and methods in World Bank's "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (2011)."
NY.GDP.COAL.RT.ZS,"Coal rents (% of GDP)","Coal rents are the difference between the value of both hard and soft coal production at world prices and their total costs of production.","Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011)."
NY.GDP.FRST.RT.ZS,"Forest rents (% of GDP)","Forest rents are roundwood harvest times the product of average prices and a region-specific rental rate.","Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011)."
NY.GDP.MINR.RT.ZS,"Mineral rents (% of GDP)","Mineral rents are the difference between the value of production for a stock of minerals at world prices and their total costs of production. Minerals included in the calculation are tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.","Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011)."
NY.GDP.NGAS.RT.ZS,"Natural gas rents (% of GDP)","Natural gas rents are the difference between the value of natural gas production at world prices and total costs of production.","Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011)."
NY.GDP.PETR.RT.ZS,"Oil rents (% of GDP)","Oil rents are the difference between the value of crude oil production at world prices and total costs of production.","Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011)."
NY.GDP.TOTL.RT.ZS,"Total natural resources rents (% of GDP)","Total natural resources rents are the sum of oil rents, natural gas rents, coal rents (hard and soft), mineral rents, and forest rents.","Estimates based on sources and methods described in "The Changing Wealth of Nations: Measuring Sustainable Development in the New Millennium" (World Bank, 2011)."
