GeneID1,GeneID2,Type,ExpressionCorr
G236745,G239653,Physical,0.448967961
G236895,G235386,Physical,-0.499071749
G236954,G234240,Genetic,-0.161046699
G236954,G235769,Physical,-0.294382294
G236965,G235019,Physical,0.795952223
G236991,G236991,Physical,1.000000000
G237021,G234065,Genetic,0.752607139
G237021,G234486,Physical,-0.477888264
G237021,G239837,Physical,-0.091575969
G237142,G234334,Genetic,0.663683290
G237142,G234779,Genetic,0.000000000
G237142,G234811,Genetic,0.656657295
G237203,G235835,Physical,0.029493633
G237203,G238392,Physical,-0.073509365
G237228,G235099,Genetic,0.683889630
G237228,G235626,Genetic,0.778151653
G237261,G234084,Physical,0.746092371
G237261,G234448,Physical,0.781916771
G237333,G235474,Genetic,-0.131054566
G237391,G235652,Physical,0.964089932
G237391,G235830,Physical,0.568635414
G237391,G235846,Physical,0.279396193
G237463,G235277,Physical,-0.538817160
G237463,G238857,Genetic,0.610119492
G237467,G235331,Physical,-0.946683516
G237467,G235383,Physical,-0.863260823
G237469,G234344,Physical,0.626089899
G237469,G234393,Physical,0.548642297
G237509,G234393,Genetic,0.506484470
G237509,G235586,Genetic,0.937991552
G237509,G236406,Genetic,0.089356223
G237509,G240048,Genetic,0.088579707
G237524,G234167,Physical,0.427743630
G237524,G234368,Physical,-0.273282270
G237561,G240043,Genetic,-0.718860651
G237575,G237228,Physical,0.353129812
G237577,G238640,Genetic,0.593118632
G237594,G234804,Genetic,0.677026981
G237598,G234553,Genetic-Physical,0.628306536
G237598,G234572,Genetic,0.307086625
G237598,G234779,Genetic,0.000000000
G237617,G237617,Physical,1.000000000
G237630,G234271,Genetic,-0.257835916
G237630,G235802,Genetic,-0.021911329
G237630,G235899,Genetic,-0.214436420
G237630,G238282,Genetic,0.741966448
G237630,G238857,Genetic,0.327484445
G237743,G234235,Genetic,0.144153036
G237743,G239063,Physical,-0.637476722
G237760,G235242,Genetic,0.000000000
G237803,G234677,Genetic,-0.484879782
G237833,G234769,Physical,-0.027906586
G237845,G235185,Physical,-0.390991430
G237857,G238954,Physical,-0.005715852
G237865,G237857,Physical,0.394436119
G237865,G238954,Physical,0.272898577
G237884,G237884,Physical,1.000000000
G237892,G239393,Physical,0.853377001
G237916,G234716,Genetic,0.864034186
G238024,G236147,Physical,-0.580845456
G238024,G239341,Physical,-0.218321310
G238035,G238033,Genetic,0.703242256
G238061,G235099,Genetic-Physical,0.832127260
G238061,G235862,Physical,0.199280190
G238117,G235624,Physical,0.032440557
G238190,G234073,Genetic,0.892128037
G238191,G235706,Genetic,0.495625085
G238195,G234381,Physical,0.327655764
G238235,G238102,Genetic,0.784481276
G238391,G236509,Genetic,0.762737731
G238472,G238472,Physical,1.000000000
G238498,G235490,Physical,-0.329997737
G238510,G235250,Physical,0.450063781
G238510,G239467,Genetic,0.252653076
G238567,G235874,Physical,0.642485177
G238610,G235381,Physical,0.000000000
G238621,G237892,Physical,0.817373583
G238621,G238621,Physical,1.000000000
G238621,G239294,Physical,0.000000000
G238621,G239523,Physical,0.867598177
G238637,G235329,Physical,0.882041706
G238637,G235637,Physical,0.456974023
G238637,G235843,Physical,0.421137886
G238637,G236351,Physical,0.607623499
G238637,G236462,Physical,-0.025407772
G238637,G238793,Physical,0.677908787
G238637,G240400,Physical,0.465046453
G238640,G235404,Physical,0.644930661
G238677,G238564,Physical,0.707119519
G238695,G240099,Genetic,0.112297540
G238704,G235639,Physical,-0.325546482
G238704,G235701,Physical,-0.338334980
G238715,G234522,Genetic,-0.074017981
G238715,G234868,Genetic,0.845034905
G238740,G237345,Physical,0.000000000
G238786,G234103,Genetic,0.246903545
G238916,G239488,Genetic,0.847284247
G238928,G234868,Physical,0.158555549
G238935,G235300,Genetic,0.581089536
G238946,G238946,Physical,1.000000000
G238954,G238954,Physical,1.000000000
G238968,G234400,Physical,0.426586935
G238990,G238033,Genetic,0.256256121
G239008,G234334,Genetic,0.761056162
G239008,G234644,Physical,0.061045493
G239010,G235252,Genetic-Physical,0.367421610
G239010,G235303,Genetic-Physical,-0.654413886
G239010,G235500,Genetic,0.468805052
G239010,G235568,Genetic,0.808213877
G239010,G235697,Genetic,0.600499074
G239010,G239010,Genetic-Physical,1.000000000
G239048,G239048,Physical,1.000000000
G239098,G239536,Genetic,0.743642508
G239101,G239101,Physical,1.000000000
G239178,G238510,Genetic,0.244344673
G239178,G239178,Genetic,1.000000000
G239223,G237021,Physical,-0.080975715
G239266,G235500,Physical,0.830871366
G239266,G235568,Physical,0.759041731
G239266,G235652,Physical,0.713187080
G239266,G235697,Physical,0.676839746
G239266,G235830,Physical,0.698222253
G239266,G237021,Physical,0.750657686
G239294,G237892,Physical,0.000000000
G239321,G238786,Physical,-0.380278680
G239341,G235856,Genetic,-0.292237453
G239341,G238024,Physical,-0.218321310
G239341,G239341,Physical,1.000000000
G239428,G235285,Physical,0.695961854
G239428,G235500,Physical,0.631048320
G239428,G235542,Genetic,0.724517344
G239428,G235830,Physical,0.483882289
G239467,G235639,Physical,-0.483302361
G239467,G235701,Genetic,-0.430351878
G239467,G238704,Physical,0.723051266
G239523,G239294,Physical,0.000000000
G239544,G239544,Physical,1.000000000
G239626,G235189,Physical,-0.021232402
G239628,G235137,Physical,-0.714459969
G239628,G235874,Physical,-0.584873248
G239628,G236745,Physical,0.074973270
G239653,G238564,Physical,-0.234335757
G239672,G234359,Physical,-0.154090021
G239673,G234392,Genetic,0.853229728
G239673,G234779,Genetic,0.000000000
G239673,G235329,Physical,0.500133376
G239673,G236351,Physical,0.698583735
G239673,G236356,Genetic,0.859360381
G239673,G237916,Genetic,0.799964924
G239673,G238637,Physical,0.128621288
G239673,G240400,Physical,0.538387485
G239711,G235336,Physical,-0.202081146
G239804,G235780,Physical,0.939373200
G239804,G237021,Genetic-Physical,0.897975421
G239965,G234715,Physical,-0.549544943
G239965,G240032,Physical,0.212337482
G239975,G234868,Physical,0.902129907
G239976,G235780,Physical,0.846469013
G240043,G234756,Genetic,0.688814780
G240065,G235252,Physical,-0.163429930
G240065,G235381,Physical,-0.652878700
G240065,G235417,Physical,0.722682862
G240065,G235568,Physical,0.905905949
G240065,G235697,Physical,0.798781556
G240065,G235830,Physical,0.265669513
G240065,G237624,Physical,0.821403221
G240303,G234234,Physical,-0.362168620
G240337,G236730,Genetic,-0.508882033
G240346,G240346,Physical,1.000000000
G240400,G235404,Physical,0.787594332
G240400,G235763,Physical,0.881404827
G240410,G237021,Physical,0.220155279
G240410,G239017,Physical,0.285031304
G240410,G240410,Physical,1.000000000
G240504,G237021,Physical,0.798424307
