CountryCode,CountryName,Region,IncomeGroup,SpecialNotes
SST,"Small states",NULL,NULL,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)"
STP,"São Tomé and Principe","Sub-Saharan Africa","Lower middle income","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000."
SUR,Suriname,"Latin America & Caribbean","Upper middle income",NULL
SVK,"Slovak Republic","Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SVN,Slovenia,"Europe & Central Asia","High income: OECD","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries."
SWE,Sweden,"Europe & Central Asia","High income: OECD","Fiscal year end: June 30; reporting period for national accounts data: CY."
SWZ,Swaziland,"Sub-Saharan Africa","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2011, the Central Statistical Office revised national accounts data for 1990 onward."
SXM,"Sint Maarten (Dutch part)","Latin America & Caribbean","High income: nonOECD",NULL
SYC,Seychelles,"Sub-Saharan Africa","Upper middle income","April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006."
SYR,"Syrian Arab Republic","Middle East & North Africa","Lower middle income","April 2013 database update: Based on data from the Central Bureau of Statistics, national accounts data were revised for 2003 onward."
TCA,"Turks and Caicos Islands","Latin America & Caribbean","High income: nonOECD",NULL
TCD,Chad,"Sub-Saharan Africa","Low income","Based on IMF data, national accounts data have been revised for 2005 onward; the new base year is 2005."
TGO,Togo,"Sub-Saharan Africa","Low income","April 2013 database update: Based on IMF data, national accounts data have been revised for 2000; the new base year is 2000."
THA,Thailand,"East Asia & Pacific","Upper middle income","Fiscal year end: September 30; reporting period for national accounts data: CY."
TJK,Tajikistan,"Europe & Central Asia","Low income",NULL
TKM,Turkmenistan,"Europe & Central Asia","Upper middle income","On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats)."
TLS,Timor-Leste,"East Asia & Pacific","Lower middle income","Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010."
TON,Tonga,"East Asia & Pacific","Upper middle income","2013 national accounts estimates are based on IMF reports. Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11."
TTO,"Trinidad and Tobago","Latin America & Caribbean","High income: nonOECD",NULL
TUN,Tunisia,"Middle East & North Africa","Upper middle income","National accounts data from 2005 onward have been revised based on data published by the Tunisian authorities. April 2012 database update: Based on data from the Central Bank and its Statistical Bulletin, national accounts data were revised for 1997 onward."
TUR,Turkey,"Europe & Central Asia","Upper middle income",NULL
TUV,Tuvalu,"East Asia & Pacific","Upper middle income","2013 national accounts estimates are based on IMF reports. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward."
TZA,Tanzania,"Sub-Saharan Africa","Low income",NULL
UGA,Uganda,"Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: FY. In 2011, the Bureau of Statistics revised national accounts series for 1998 onward; the base year for constant price series changed to 2001/02."
UKR,Ukraine,"Europe & Central Asia","Lower middle income",NULL
UMC,"Upper middle income",NULL,NULL,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2013 GNI per capita was between $4,126 and $12,745."
URY,Uruguay,"Latin America & Caribbean","High income: nonOECD","In 2011, the Central Bank revised national accounts data for 2006 onward."
USA,"United States","North America","High income: OECD","Fiscal year end: September 30; reporting period for national accounts data: CY."
UZB,Uzbekistan,"Europe & Central Asia","Lower middle income",NULL
VCT,"St. Vincent and the Grenadines","Latin America & Caribbean","Upper middle income","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006."
VEN,"Venezuela, RB","Latin America & Caribbean","Upper middle income",NULL
VIR,"Virgin Islands (U.S.)","Latin America & Caribbean","High income: nonOECD",NULL
VNM,Vietnam,"East Asia & Pacific","Lower middle income","Based on data from the Vietnam Statistics Office, national accounts data have been revised from 2000 onward; the new base year is 2010."
VUT,Vanuatu,"East Asia & Pacific","Lower middle income","2013 national accounts estimates are based on IMF reports. Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward."
WLD,World,NULL,NULL,"World aggregate."
WSM,Samoa,"East Asia & Pacific","Lower middle income","Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. New base year is 2009."
YEM,"Yemen, Rep.","Middle East & North Africa","Lower middle income","Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward."
ZAF,"South Africa","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY."
ZMB,Zambia,"Sub-Saharan Africa","Lower middle income","New base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha."
ZWE,Zimbabwe,"Sub-Saharan Africa","Low income","Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency."
