loanid,accountid,date,amount,duration,payments,status
6929,9472,1995-05-08,36396,12,3033.00,A
6932,9491,1998-06-25,225504,48,4698.00,C
6933,9493,1995-09-09,188688,48,3931.00,C
6934,9494,1997-02-09,116832,12,9736.00,A
6938,9504,1997-03-10,341280,60,5688.00,C
6940,9510,1996-11-22,228276,36,6341.00,C
6942,9513,1997-07-16,18324,12,1527.00,A
6944,9548,1996-11-15,46176,48,962.00,C
6948,9560,1998-03-15,157068,36,4363.00,C
6949,9583,1995-12-12,104712,24,4363.00,A
6950,9591,1995-04-11,104712,24,4363.00,A
6955,9627,1995-11-22,244368,48,5091.00,C
6956,9631,1997-11-09,59448,24,2477.00,C
6959,9633,1997-06-30,59448,24,2477.00,D
6960,9640,1995-01-11,76416,24,3184.00,A
6961,9645,1996-06-06,176148,36,4893.00,C
6962,9646,1998-04-02,279072,48,5814.00,C
6965,9656,1995-06-13,139536,24,5814.00,A
6969,9673,1998-09-12,88200,36,2450.00,C
6970,9677,1997-06-17,31620,60,527.00,C
6984,9730,1997-08-15,116040,60,1934.00,C
6985,9731,1995-11-22,113796,36,3161.00,A
6986,9750,1995-02-11,151728,48,3161.00,D
6992,9790,1996-07-27,133968,48,2791.00,C
6995,9814,1996-09-26,96168,12,8014.00,A
6996,9828,1995-04-13,126600,24,5275.00,A
6998,9833,1994-05-21,97632,12,8136.00,A
7001,9859,1997-08-10,300600,60,5010.00,C
7004,9869,1995-03-15,331560,60,5526.00,C
7008,9897,1995-09-22,36168,12,3014.00,A
7013,9928,1996-08-02,89340,60,1489.00,C
7034,10001,1996-07-11,19044,36,529.00,C
7035,10005,1998-07-29,210744,36,5854.00,C
7036,10019,1996-09-25,194940,36,5415.00,C
7037,10022,1998-01-03,218064,48,4543.00,C
7046,10049,1997-03-28,91632,12,7636.00,A
7049,10063,1997-06-24,233424,36,6484.00,C
7050,10065,1997-09-23,311232,48,6484.00,C
7051,10068,1997-07-28,77808,12,6484.00,A
7055,10079,1994-04-06,167100,60,2785.00,C
7057,10093,1995-10-20,231696,36,6436.00,A
7061,10105,1994-08-27,121896,24,5079.00,A
7066,10131,1994-05-02,215388,36,5983.00,B
7067,10134,1998-01-11,136368,24,5682.00,C
7072,10148,1998-01-27,22104,12,1842.00,C
7085,10202,1997-06-19,305424,48,6363.00,C
7087,10215,1997-02-20,44304,24,1846.00,C
7088,10233,1997-05-03,239160,60,3986.00,C
7091,10243,1998-09-22,113436,36,3151.00,C
7096,10257,1998-09-02,37812,12,3151.00,C
7097,10266,1993-12-23,75624,24,3151.00,B
7100,10280,1997-12-31,348120,60,5802.00,C
7101,10297,1996-11-18,421008,48,8771.00,C
7104,10320,1993-12-13,259740,60,4329.00,A
7110,10345,1998-01-21,31260,12,2605.00,C
7115,10351,1997-03-04,88704,48,1848.00,C
7119,10361,1997-06-02,86880,12,7240.00,A
7121,10364,1993-11-10,21924,36,609.00,A
7122,10365,1997-01-04,260640,36,7240.00,D
7129,10404,1998-03-01,194280,60,3238.00,C
7130,10411,1996-12-11,123408,24,5142.00,A
7136,10436,1996-09-28,54396,36,1511.00,C
7137,10439,1994-06-03,151560,24,6315.00,A
7138,10440,1995-07-03,60000,60,1000.00,C
7139,10445,1998-01-22,23412,12,1951.00,C
7142,10451,1994-12-19,482940,60,8049.00,D
7147,10478,1998-01-02,267600,48,5575.00,C
7151,10493,1998-02-18,133800,24,5575.00,C
7154,10520,1996-12-05,417600,60,6960.00,C
7164,10613,1998-08-15,249792,48,5204.00,C
7166,10630,1995-06-24,198240,24,8260.00,A
7167,10644,1998-06-18,269964,36,7499.00,C
7168,10645,1998-07-05,208332,36,5787.00,C
7171,10650,1998-02-24,196224,48,4088.00,C
7172,10652,1998-05-07,45720,12,3810.00,C
7176,10663,1995-10-28,260028,36,7223.00,A
7181,10679,1997-10-02,197808,24,8242.00,C
7187,10711,1997-12-24,24180,60,403.00,C
7189,10728,1996-03-21,154656,48,3222.00,C
7192,10738,1994-12-21,115992,36,3222.00,A
7194,10762,1996-09-17,68832,36,1912.00,C
7195,10774,1998-04-23,339168,48,7066.00,C
7198,10788,1994-08-23,45768,12,3814.00,A
7199,10789,1997-12-09,45768,12,3814.00,A
7200,10799,1998-07-11,31140,60,519.00,C
7201,10807,1997-03-07,67464,12,5622.00,A
7202,10812,1998-05-29,140688,48,2931.00,C
7209,10857,1997-11-30,385560,60,6426.00,D
7213,10884,1996-02-13,113544,36,3154.00,C
7219,10905,1997-08-23,57120,48,1190.00,C
7220,10911,1994-07-28,131292,36,3647.00,A
7221,10915,1998-06-11,152460,60,2541.00,C
7226,10940,1994-02-23,197748,36,5493.00,A
7227,10942,1995-10-02,314520,60,5242.00,C
7230,10954,1997-04-02,18720,60,312.00,C
7233,10963,1996-12-25,115812,36,3217.00,C
7235,10973,1993-10-13,154416,48,3217.00,A
7240,11013,1993-09-06,274740,60,4579.00,A
7241,11021,1995-03-04,168984,24,7041.00,B
7242,11027,1997-10-23,48096,24,2004.00,C
7243,11042,1995-12-04,217152,36,6032.00,A
7246,11054,1996-08-20,148920,60,2482.00,C
7249,11065,1994-06-12,69360,48,1445.00,A
7250,11069,1997-03-04,119136,48,2482.00,C
7253,11079,1997-04-26,98304,12,8192.00,A
7255,11096,1997-06-09,213300,60,3555.00,C
7259,11111,1994-01-31,108144,36,3004.00,A
7262,11135,1994-03-01,182628,36,5073.00,A
7263,11138,1996-01-19,89880,24,3745.00,A
7264,11141,1997-10-07,44940,12,3745.00,A
7271,11186,1996-10-02,392460,60,6541.00,C
7277,11231,1997-10-24,89280,12,7440.00,A
7279,11244,1997-12-11,155760,24,6490.00,C
7284,11265,1993-09-15,52788,12,4399.00,A
7286,11271,1997-01-31,67320,36,1870.00,C
7292,11317,1998-11-22,317460,60,5291.00,C
7294,11327,1998-09-27,39168,24,1632.00,C
7295,11328,1998-07-18,280440,60,4674.00,C
7304,11349,1995-10-29,419880,60,6998.00,C
7305,11359,1996-08-06,54024,12,4502.00,A
7308,11362,1996-12-27,129408,24,5392.00,A
