actorid,movieid,role
1985,297899,
1986,359499,"Frank Zappa's Manager"
1987,408877,"Gary Rae (1981)"
1988,21291,"Edward Faversham"
1988,35208,Colonel
1988,114790,"Adm. Wynne"
1988,280391,"Lord Avon"
1988,367901,
1989,155301,"Baselodge employee"
1990,34477,Himself
1990,377696,"L'orateur de la secte"
1991,240612,"Patrolman 4"
1992,30583,
1993,98922,
1994,2773,Porky
1994,7961,"Escort of Sexy Blonde"
1994,18615,"Federal Man"
1994,37087,"Kidnap Henchman Answering Doo"
1994,46775,"McKenzie Building Doorman"
1994,92717,"Joe Ross"
1994,115849,"Window Cleaner"
1994,176340,"Party guest"
1994,183579,Sydney
1994,183700,"Hans Dyker"
1994,204185,"Eddie, Tony's Henchman"
1994,253898,Guard
1994,305507,"Bit part"
1994,316038,Guard
1994,360532,"Radio Cop"
1996,223241,"'John Doe Jr.' a Gangster"
1996,271882,"Dan Meredith"
1997,32808,"Reverend-Gas Attendant"
1998,348327,"Girl in trailer"
1999,403494,Himself
2000,81555,
2001,291482,
2002,288493,Doctor
2003,46748,"A hunter"
2003,47052,Thorne
2003,49245,Woolsey
2003,54609,"Customs official #3"
2003,74107,"Bit Part"
2003,98166,"Albert Pettigrew"
2003,100213,"Biggers, a dude"
2003,107053,"Insp. Gouffert"
2003,109209,"Bit Part"
2003,109824,
2003,123299,Engles
2003,127667,
2003,128477,"Charles Matthews"
2003,133589,Sergeant
2003,138803,"Bit part"
2003,154291,"Bit part"
2003,154763,
2003,161637,
2003,161916,Official
2003,165221,"Capt. Murray"
2003,169498,"Capt. Hardy"
2003,177460,"John C. Knolls"
2003,178030,"Court Officer"
2003,185522,"Sergeant in general's office"
2003,190944,Policeman
2003,193007,Bailiff
2003,193587,Bobby
2003,199354,
2003,203364,Morgan
2003,208980,
2003,209615,
2003,219383,"Roberts, Easton's Butler"
2003,224726,Policeman
2003,234891,"Sgt. Brooks"
2003,246730,"Polo Player"
2003,249165,"Baron von Henschel"
2003,253898,Prisoner
2003,261067,
2003,263966,"First Guard"
2003,270754,"Bit Part"
2003,278727,Bartender
2003,291081,"John, the director"
2003,303303,Englishman
2003,308921,Sentry
2003,314943,Doorman
2003,317354,"English Trainer"
2003,320465,London
2003,321794,Turnkey
2003,329960,Sarno
2003,329978,Basher
2003,332415,"Hawkshaw the Detective"
2003,335844,"London Hotel Clerk"
2003,338778,"Tom (seaman)"
2003,362093,"Lord Bromwich"
2003,363364,"Jacob, the heavy Footman"
2004,189255,Palmer
2004,209977,
2004,249235,Officer
2004,363616,Cummings
2005,5532,
2005,5821,
2005,6847,
2005,16017,
2005,44089,"George Ferris"
2005,61384,
2005,71925,
2005,79203,"The Bank President"
2005,105387,
2005,108327,
2005,109710,
2005,125852,
2005,128189,"Malcolm Blair"
2005,128489,"Paul Jerome"
2005,140686,
2005,146288,
2005,158301,
2005,186696,
2005,193815,"George Stuart"
2005,203088,
2005,251736,
2005,252119,Adams
2005,262058,Sinclair
2005,269621,Kaura
2005,307384,"The Soldier"
2005,327514,
2005,347359,
2005,348507,
2005,360212,
2005,360549,Bob
2005,371021,"Fred Fowler"
2006,128507,"Willie Mason"
2007,335708,"Bell Man"
2008,47321,
2009,53609,"George Y. Harvey"
2010,250746,"Redcoat private"
2011,161789,Himself
2012,5833,"Danny Sanchez"
2012,12338,"Cake Decorator"
2012,14223,"Male Security Guard"
2012,48075,Hood
2012,53822,"Miguel Velasco"
2012,71923,"Bobcat 5"
2012,73612,"Gang Banger"
2012,88869,Intern
2012,94051,
2012,100711,Peyton
2012,113359,Juan
2012,116280,Raka
2012,116799,"Juan Fuentes"
2012,136194,
2012,149971,Caspar
2012,153122,
2012,160809,"Jose Perez"
2012,233943,Luis
2012,247494,Momo
2012,298575,
2012,298596,Zapper
2012,310728,"1st Engineer"
2012,314169,"Manuel Vega"
2012,314745,Deacon
2012,316606,"L.A. Ray"
2012,330271,Waiter
2012,340034,"Marco Llelli"
2012,395359,"Huitzilopochtli Ramos"
2012,397238,"Que Paso"
2013,105216,"Man in Music Video"
2014,36237,
2014,36268,
2014,36305,
2014,59387,
2014,84796,Shukracharya
2014,181041,
2014,215446,"Seth Kisandes"
2014,227082,Nala
2014,270566,
2014,288573,
2014,298263,
2014,335749,
2014,351101,Arjuna
2015,265864,"High School Kid"
2016,223892,Jamal
2017,259365,"TV News Reporter"
2018,48550,
2018,92541,
2018,93464,"Hoffmann, burgomaster"
2018,95132,
2018,98572,"Aldalbert Bulcke"
2018,114965,
2018,119142,
2018,126457,Murrjahn
2018,130929,
2018,140208,"Wilhelm Voigt"
2018,140258,
2018,144008,
2018,153098,
2018,153175,"Julius Knax"
2018,153726,Krabbe
2018,159253,
2018,159254,
2018,169981,
2018,182322,
2018,182452,
2018,182751,
2018,183255,"Justus Bockelmann"
2018,183672,"drei Lazaronis"
2018,186940,
2018,189681,
2018,209988,
2018,210006,
2018,225724,Notar/Schatzmeister
2018,226288,
2018,259424,
2018,280790,
2018,290076,
2018,290092,
2018,290853,
2018,290855,
2018,293529,
2018,301012,
2018,306592,
2018,311240,Wengert
2018,335033,"Birnstiel, Art dealer"
2018,352194,
2018,356849,
2018,364946,
2019,103812,
2020,38433,"Cevat, the son"
2021,198990,"Mama San"
2021,321953,Director
2022,119442,
2023,123180,
2023,148012,
2023,158462,"Padre Ignacio"
2023,192995,Manuel
2023,222412,Pollo
2023,338162,"Dr. Erazo"
2024,12028,
2024,14768,
2024,14801,"(segment "Adulterio formal, U"
2024,22740,
2024,25038,
2024,51908,
2024,53595,
2024,57809,"Juan Escutia"
2024,69698,
2024,74363,
2024,74554,Luis
2024,74569,
2024,74768,
2024,74802,
2024,76095,
2024,80124,
2024,92334,
2024,100277,
2024,123188,
2024,127599,
2024,134173,
2024,134492,
2024,136313,
2024,145674,
2024,148066,
2024,167080,
2024,167082,
2024,170051,
2024,193328,
2024,193507,
2024,202179,
2024,202211,
2024,206983,
2024,206996,
2024,207979,
2024,209036,
2024,212057,
2024,214390,
2024,221755,
2024,222049,"(segment El imponente)"
2024,225553,
2024,236470,
2024,238759,
2024,244604,
2024,260563,
2024,260933,
2024,265163,
2024,275079,
2024,287866,"Detective at Party"
2024,301131,Playboy
2024,307805,
2024,317774,
2024,317813,
2024,333535,
2024,334405,Cadet
2024,343734,
2024,351461,"Padre adoptivo"
2024,353573,"Hombre en teleton"
2024,354479,"First Villager"
2024,355745,
2024,357728,
2024,371738,
2024,371885,
2024,378375,
2024,383787,
2024,386595,
2025,13852,Thug
2025,40812,"Agent Tilson"
2025,58480,"CIA Director Linder"
2025,80776,"Scott Jones"
2025,80807,Ramos
2025,103357,Jamison
2025,137353,"Pachi/Pach-Pach, the Tin Man"
2025,142487,Krieger
2025,152570,"U.S. Reporter"
2025,175005,Himself
2025,175007,Himself
2025,185533,Ferguson
2025,190180,"Possessed Man"
2025,190765,
2025,191394,Vincent
2025,202080,Frank
2025,214488,Moti
2025,299410,Bill
2025,343433,"Jimmy Smith"
2025,389236,"Natan Barkai"
2025,394337,"Naval Officer (1997)"
2025,402830,"Alecs Kleiborn (1996-1998)"
2025,402982,
2026,9004,"Warrior basketball player"
2027,1016,"Phillipe Barrachet"
2027,13040,"Gaston Sarrazin de Fontenoy"
2027,20747,"Sgt. Saval"
2027,23759,
2027,30890,"Le Hénaff"
2027,32279,Murat
2027,33530,Alfred
2027,44970,Cornudet
2027,47158,Guillaume
2027,51826,Ravignol
2027,54804,Beaumanoir
2027,55532,"Le postillon"
2027,57305,
2027,57472,
2027,68396,Girotti
2027,73628,"Le décorateur"
2027,101529,"Le shérif"
2027,103206,Albert
2027,108207,"Le docteur"
2027,108991,
2027,110140,"Le Colonel"
2027,111087,"Le fondé de pouvoir"
2027,111368,"Symphorien Dubois"
2027,111371,"Grand Louis"
2027,113112,"Général Lasalle"
2027,116412,"Armand Vignaud"
2027,116413,
2027,119038,"Judge (segment "Divorce, Le")"
2027,121343,Bank
2027,122436,Bel-Oeil
2027,125461,Grégorio
2027,125737,"Le médecin"
2027,146424,Chalice
2027,146425,Fernand
2027,148631,
2027,165775,"L'homme en robe de bure (Le n"
2027,166092,
2027,168101,
2027,170468,"M. Rozenec"
2027,175674,"Le boucher"
2027,198566,"Dr. Gaston Rival"
2027,200966,"Emile Barberot (butcher)"
2027,200972,"L'inspecteur Lognon"
2027,201024,"Jean Lécuyer"
2027,201161,Albert
2027,217636,
2027,217704,"Le sergent"
2027,219524,Detrerrieux
2027,228557,"Le commissaire"
2027,235825,"Le producteur Blangenstein"
2027,254106,"M. Landrat"
2027,254144,Veyron-Gaillac
2027,258529,
2027,260856,Bertrand
2027,266242,Victor
2027,266405,François
2027,269097,
2027,269223,Villeroi
2027,280557,Beaudrier
2027,283032,"Loutrel, le manager"
2027,309143,
2027,309150,"Thomas Putnam"
2027,309756,Vacher
2027,310799,"The doctor"
2027,316363,Prosecutor
2027,321801,Ramure
2027,324184,
2027,325063,"Prince Gregori de Montenegro"
2027,327539,"L'ingénieur du son"
2027,336975,
2027,345100,"Second gangster"
2027,346663,"Police inspector"
2027,349842,"Maître Renaudot"
2027,353829,Aubry
2027,353830,Aubry
2027,353844,Schaunard
2027,354524,
2027,377065,Ferdinand
2027,387650,"Me Cherrier"
2027,387659,Ducrau
2027,388310,
2027,389271,"Charles Chevillon (segment "R"
2027,389660,"Président de correctionnelle "
2028,51506,"Timothy Wu"
2029,26255,
2030,33717,"Security Guard 2"
2031,62460,"George Rocher"
2031,119608,Athlete
2032,41991,"Kid in Merrick"
2033,342868,"Negro Visitor"
2034,246291,"Old nobleman"
2035,33492,Doctor
2035,42164,Chef
2035,49299,
2035,119217,Jack
2035,189629,"Prof. Bensen"
2035,225281,
2035,380392,"Guido Voss"
2035,389359,
2035,401058,"Karl Pawlak"
2036,120813,
2037,230504,"Freckle-faced boy"
2038,213886,
2039,266401,
2039,345406,
2040,2874,Himself
2040,329059,Himself
2041,9061,
2042,7459,
2043,50171,
2044,163258,"S.S. Officer"
2045,189576,
2046,93804,"Street Ganag Leader"
2047,391930,Dorat
2048,15089,"Albert Tazzi (segment "Antoin"
2048,23632,"L'inspecteur Simonin"
2048,27918,"Albert Tazzi"
2048,276541,Corbin
2048,292689,"Claude Vandal"
2048,333720,"Un troupier"
2049,16677,"Tap Dancer"
2050,1035,Peter
2050,58770,"Mozser, Cam's Controller"
2050,60713,"First Man"
2050,109287,Bekhesh
2050,358874,"Old Man"
2050,391869,"Dave Porter (1990)/Luke Cunni"
2051,124679,Ferryman
2052,174795,Bridegroom
2053,33574,"Philicome, Calchas' Attendant"
2054,2229,Himself
2054,21026,Himself
2054,33032,Himself
2054,33033,Himself
2054,34646,Himself
2054,83798,Himself
2054,83799,Himself
2054,139666,Himself
2054,160293,Himself
2054,160295,Himself
2054,160305,Himself
2054,160317,Himself
2054,160319,Himself
2054,160455,Himself
2054,165265,Himself
2054,175469,Himself
2054,313150,Himself
2054,313160,Himself
2054,328188,Himself
2055,149866,"Committee Member"
2055,229556,Ada
2056,327293,"Le réceptionniste/Receptionis"
2057,160549,Adam
2058,358330,Austin
2059,398160,"Martins Chef"
2059,398163,Himself
2059,410391,"Martins Chef"
2060,141149,Himself
2060,401877,Himself
2061,33581,
2062,275253,Gandhi
2063,328960,Himself
2065,353845,
2066,66757,
2067,280180,Bruce
2068,31846,"Reporter #1"
2069,6858,"Van Thaal"
2069,11427,"Sam Vane"
2069,15031,"Le juge anglais"
2069,16112,Trout
2069,16909,"Group Controller"
2069,20625,"Club Member"
2069,23008,"Mons. Besnard"
2069,27282,Judge
2069,36776,"German businessman"
2069,39628,Abbot
2069,39671,"Court President"
2069,43738,Macleod
2069,50239,
2069,54485,"Adm. McCartney"
2069,55157,"Sir John Farthing"
2069,55679,"First Sea Lord"
2069,56155,Defence
2069,63161,Talavera
2069,64506,"Sir William Harrison"
2069,67575,"George, Steward at Supt. Durk"
2069,71628,"Col Ingram, Gillington POW Ca"
2069,78021,"Capt. Dukes"
2069,79922,"Political correspondent on ph"
2069,85748,"Robert Southey"
2069,94110,"Maj. Gregoff"
2069,103253,Tallboy
2069,103329,"George Merrick"
2069,108098,"Radshaws' doctor"
2069,114989,"Insp. Duggan"
2069,117351,"Customs Official."
2069,117588,"Sir Charles Fawcett Managing "
2069,120685,Editor
2069,130748,"Mr. Dryden"
2069,130845,
2069,134043,"Dr. White"
2069,140192,"Eldridge Harper"
2069,141683,"Cabinet Minister #1"
2069,142387,
2069,145557,"Nat Jeffcote"
2069,150847,Ronson
2069,160568,"Wittens, Pheasant Inn Manager"
2069,168722,"Insp. Beveridge"
2069,169493,"Commanding Officer at Falcon "
2069,174514,"Police Chief"
2069,176727,"Mr. Brook"
2069,185824,Head-Master
2069,186056,"Bank manager"
2069,186230,Turner
2069,191230,"Bomber Chief"
2069,197765,"Commissioner De Smet"
2069,202530,"British Officer"
2069,203048,
2069,203481,Doctor
2069,203561,Adams
2069,209598,Nicolides
2069,214121,"Mr. Clements"
2069,215788,Surtees
2069,219379,
2069,220893,Coroner
2069,223816,"Col. Fogarty"
2069,227022,Chemist
2069,237911,Clubman
2069,238641,"J. B. Wykenham"
2069,254554,
2069,256292,"Clerk of the Court"
2069,257987,"Mr. Appleton"
2069,261562,"Mr. Fordyce"
2069,264907,"Doctor at medical hearing"
2069,268548,"Aviation Engineer"
2069,273173,"Air Vice-Marshal Leigh-Mallor"
2069,288441,"Father Lemay"
2069,291807,"Army Padre"
2069,295298,"Prime Minister Hon. Arthur Ly"
2069,296824,Solicitor
2069,299668,Wood
2069,306295,"Mr. King"
2069,308598,Gade
2069,316033,Barstow
2069,319956,"Maj. Tilling"
2069,323446,"Det Sgt Hawkins. (Deaf Man.)"
2069,329408,Prosecutor
2069,331174,Gooch
2069,331558,Judge
2069,334159,"Bank Manager"
2069,335204,"Minister at graveside"
2069,335512,Psychiatrist
2069,335582,Murbridge/Wills
2069,335875,"Barworth Controller"
2069,342955,"Sir John Fawcett"
2069,345970,"Mr. Riggs"
2069,364233,Gregory
2069,367427,
2069,374540,"Prime Minister"
2069,379286,"Dr. Laurence"
2069,383582,"Senior Inquisitor"
2069,399485,Dowson
2069,405525,"Cardinal Campeggio"
2070,207057,
2071,366467,Sudanese
2072,34424,"Himself/Pizarro in 'Fidelio'"
2072,111960,"Don Pizzaro"
2072,111963,Pizarro
2072,116314,L'orateur
2072,122987,
2072,339699,
2073,222636,"Morris Banks"
2074,405209,"Tank Jowsey (1998)"
2075,162516,Zak
2075,321210,Paris
2076,76465,Jeff
2077,175001,Himself
2078,116002,"Missionary 3"
2078,231992,"Backup Singer Zombie 1"
2079,350796,Himshelf
2080,255741,Agat
2080,260390,"Maj. Wrona"
2080,305561,"Konrad Ilski"
2081,400449,
2082,97547,
2083,35300,"Der Entführer"
2083,198899,Macduff
2083,230235,
2083,231446,
2083,290720,
2083,332626,Hitchhiker
2083,359634,Revolutionär
2084,37731,
2085,231634,Morda
2086,305560,"Band Member"
2087,104782,Himself
2088,303738,
2089,74438,Pjotr
2089,261135,Michal
2090,62694,"Fryderyk Chopin"
2090,63753,Parson
2090,75757,Ksawery
2090,98022,Doctor
2090,174028,"English Reader"
2090,196588,"Dr. Andrzej Kwiatkowski"
2090,244837,Hubert
2090,304666,"Józef 'Józio' Royski"
2090,369005,"Tadeusz Sztyller"
2090,369017,"Priest in Jedrzejów"
2090,398874,"Dr. Jerzy Kozerski (2003-)"
2090,401156,"Dr. Jacek Kakietek"
2090,406144,Zander
2091,3489,
2091,43014,Krsiak
2091,88669,
2091,93600,"Peter Púplava"
2091,171543,
2091,201355,"Old judge"
2091,259171,"Cyprián Húscava"
2091,261373,Grand-dad
2091,263605,Valent
2091,280400,Jaskuliak
2091,322069,"Münz, zsibárus"
2091,323293,"Old man"
2091,356091,
2091,374216,Porun
2091,375363,
2092,15914,
2092,76116,
2092,91331,
2092,121296,
2092,253062,
2092,286019,Jorge
2092,379653,"Carlos Augusto"
2092,381156,Diego
2092,381169,
2092,384980,
2092,385855,Eduardo
2092,389483,Felipe
2092,392213,"Host (1998-2002)"
2092,397009,"Alfonso García Marín"
2092,397604,Hans
2092,398801,Eduardo
2092,403257,Esteban
2092,409017,Carlos
2092,410135,
2092,410477,"Ricardo Domínguez-Loyola Vale"
2092,411712,Gustavo
2093,124510,"Don Romualdo"
2093,280353,
2094,74855,
2095,384400,Claudio
2096,44450,Orderly
2096,80612,"Overzealous fan"
2096,113732,"Anxious Passenger"
2097,80463,"Banbrock on the TV (Banbrock "
2097,374290,
2099,51258,Partyzán
2100,197846,
2101,356913,
2102,241316,"Restaurant Patron"
2103,129514,"Phil Dawn"
2104,323179,Marco
2105,14381,
2105,20452,
2105,25343,
2105,67905,Geremia
2105,90058,"The referee"
2105,94677,
2105,94685,
2105,94708,
2105,102430,"Il vigile"
2105,109090,Secondino
2105,118830,
2105,157855,"Commissioner Del Tomasso"
2105,160248,
2105,189395,
2105,212313,
2105,236804,L'automobilista
2105,255540,Contadino
2105,259844,
2105,280740,
2105,307332,
2105,307337,"Il Maggiore"
2105,351543,
2105,354233,
2105,357970,
2105,388509,
2106,116086,"Long Island Teen #2"
2107,384874,"Mr. Gale"
2108,315039,"Agaton Ankarstråle"
2109,10271,
2109,135297,
2110,101581,"Groupe polyphonique Tavagna"
2111,19816,
2112,115593,"Band Member #2"
2113,165719,
2113,179578,
2115,1888,Andrej
2116,186637,"Marksman #2"
2117,290697,"Paris Missionary Society Man"
2118,308117,Policeman
2119,252580,
2119,305368,Gianni
2120,380005,"Host (1989-1997)"
2120,389718,Co-Host
2120,409381,Host
2121,251313,"Nuisance at the counter"
2122,303522,"Subway Passenger"
2123,289690,
2124,130566,
2125,39404,"Cop at Crime Scene #1/Cop at "
2126,236786,
2127,229648,
2128,195035,"Modelo #3"
2129,10359,Himself
2129,20545,"André Arnaud"
2129,48320,Himself
2129,101272,Himself
2129,184053,Adamo
2129,261813,
2129,378057,
2129,385858,Himself
2130,33491,"Elderly Father"
2130,62836,Vittorio
2131,366645,"Mr. Delbrone"
2132,37033,"Eligible Man"
2133,197475,Julian
2134,330057,"Buttercup Singer"
2135,330057,"Buttercup Singer"
2136,122358,
2137,16810,Bartender
2137,35730,Van
2137,76585,Boggs
2137,87729,"Insp. David Santos"
2137,106526,"Hector Sanchez"
2137,137141,
2137,149935,"Congressman Santos"
2137,169106,
2137,176760,"ARVN Capt. Tan Sau Thuy"
2137,181109,Joker
2137,192536,Lopez
2137,227112,Trinh
2137,242707,
2137,243175,
2137,285872,
2137,316343,"Pete Olo"
2137,319403,
2137,320279,
2137,328551,Mojo
2138,345567,
2139,96237,
2139,356375,
2140,88390,
2141,293857,
2141,312442,
2142,224436,
2143,43197,
2143,48765,
2144,409419,"João Cândido 'Candinho' Souza"
2145,151883,Ricciardo
2145,156166,"The Telecommunications Office"
2145,201355,
2145,265947,Pepik
2145,266643,Delegate
2145,322379,"král Leopold"
2145,322424,Tschapa
2145,327373,Dan
2145,337868,"ucitel Marek Blaho"
2145,349805,Franta
2145,399957,Grans
2145,410328,"Móric Benyovszky"
2146,293684,
2146,303677,"Injured Man"
2147,360758,
2148,368654,"Cattle Call #6"
2149,109807,"Jail Singer"
2149,141564,
2149,277801,"Odessa's Man"
2149,278830,"Mean Face"
2150,83561,"Born Screamin'"
2152,40129,Anthony
2152,251801,"Sean Harris"
2153,229401,AK
2154,98906,Coroner
2155,331607,Officer
2156,149258,"Bamville Club Dancer"
2157,359103,Pilot
2158,3100,Omar
2159,96605,"Himself/New Zealand Black Cap"
2160,23886,Wenzel
2161,379999,Himself
2162,9128,"Cmdr. Reed"
2162,23474,
2162,52635,Samuel
2162,68232,"Mr. Jenks"
2162,68276,"Joseph Murphy"
2162,72865,
2162,90272,Nate
2162,98803,
2162,114180,"Custodian #1"
2162,126710,"Baron Sporty"
2162,133962,"Cassius Clay Senior"
2162,164663,George
2162,167566,Judge
2162,185264,"Leipzig Manager"
2162,212025,"Ghana UN representative"
2162,213178,"Police sergeant"
2162,247576,Chauffeur
2162,316318,Hanratty
2162,359443,"Security guard"
2163,7942,
2163,19770,"John Butz"
2163,154886,Dennis
2163,191301,François
2163,219903,"Gravedigger #2"
2163,232458,"Surfer #1"
2163,243582,
2163,264934,John
2163,267346,Cameron
2163,316284,"Deputy Steve Stowe"
2163,316982,Erik
2163,332074,
2163,359939,Jim
2163,360914,Bartender
2163,386897,"Preston A. Lodge III (1995-19"
2163,404002,"John Reid 'Little John' Ryan "
2163,409837,"Agent Dan Sandler"
2164,152528,"Miles Royale"
2164,366908,Reporter
2164,386603,"Dr. Mike Powers #9 (1981-1982"
2164,404282,"Steve Bassett (1985)"
2166,129418,
2168,1955,Himself
2168,47171,Himself
2168,126546,"Himself (A1)"
2168,212333,"Himself - Performer"
2168,212336,"Himself - Performer"
2168,249591,Performer
2168,249592,Performer
2168,260291,Performer
2168,260431,"Himself/The Beatles"
2168,342189,Himself
2169,307513,"Casino Floorman"
2170,309860,Pilot
2171,11409,Profane
2172,359064,"Benji the Birthday Boy"
2173,222567,"Dusty Miller"
2173,365141,Bone
2174,115062,Hawkman
2175,57381,Bill
2176,194810,Himself
2178,92285,
2178,145077,"Leonard Fulton"
2178,188480,Cody
2178,296681,"Michael Kaminsky/Seth Kleine"
2179,2017,Billy
2179,110974,Ernie
2179,183587,"Toy Clerk"
2179,256206,"Police officer who gets shot"
2179,316881,"New Steps Family"
2180,76594,"Truck Farmer"
2181,35652,"Vic Delgado"
2181,76253,"Jesse Hall"
2181,127126,Frazer
2181,198855,Terry
2181,213460,"Jesse Hall"
2181,218853,"Zeke 'Baby Bad' Michael"
2181,252478,Fool
2181,259755,"Jimmy Bean"
2181,259775,"Jimmy Bean"
2181,287207,"Kenny DeNunez"
2181,319020,"Brandon Chase"
2181,380617,"Barrett McKibble (1997)"
2182,89701,"Bob Larabe"
2182,106755,Attorney
2182,112400,Technician
2182,138821,"Capt. Danvers"
2182,139195,Longshoreman
2182,158608,"Deliveryman #2"
2182,203572,"The Grandfather"
2182,281054,Bartender
2183,383078,"Noddy (1990-1995)"
2183,411074,"Himself (1992)"
2184,71353,Jimmy
2185,81196,"Court martial president"
2185,151778,"Gen. Miller"
2185,197185,"Tom Stoker"
2185,254591,"Mike Vincente"
2185,273085,"Male Newscaster"
2185,276659,Reporter
2185,299973,"Dr. Craig Kelvin"
2185,388860,"Henry Casey"
2185,395091,"Rodney Hall"
2185,399816,"Mr Prior"
2185,405960,"Mr. Egan"
2185,408109,"Major Schengel"
2186,177485,Crush
2186,177486,Crush
2186,177489,Crush
2186,217821,Himself
2186,282673,"Demolition Crush"
2186,282676,Crush
2186,282677,Crush
2186,282679,Crush
2186,313745,Himself
2186,313747,Himself
2186,318827,"Demolition Crush"
2186,318829,Crush
2186,320129,"Demolition Crush (The Perfect"
2186,320132,Crush
2186,320135,Crush
2186,320136,Crush
2186,360325,Himself
2186,360327,Himself
2186,360344,Himself
2186,360345,Himself
2186,368820,Crush
2186,368823,Crush
2186,368825,Crush
2186,368830,Crush
2186,369197,Himself
2186,369262,Crush
2186,369266,Crush
2186,369267,Crush
2186,369305,Crush
2186,369309,Himself
2186,402907,"Himself (2001); Crush (1997)"
2186,406933,"Himself (2001)"
2186,410688,"Himself (1996-2001); The Demo"
2186,410689,"Himself (1995-2000)"
2186,410690,Himself
2186,410691,"Himself (1997-2001)"
2186,411543,"Crush (1993-1997)"
2186,411545,"Himself (2001)"
2186,411546,"Crush (1990-1995)"
2187,90208,"Sancho Panza"
2188,35258,
2189,1543,"Simon Pepper"
2191,160242,"Signal Officer"
2191,241061,"Page Boy/Chauffeur/Film Extra"
2191,255825,"Evangelist and Envy"
2191,271611,"Soldiers and constables"
2192,958,"Himself - Presenter"
2192,2719,Himself
2192,2930,"Himself - Performer: 'Have Yo"
2192,18986,Himself
2192,48311,Himself
2192,82889,Himself
2192,89785,Himself
2192,99531,"Guest vocalist"
2192,127533,Himself
2192,161177,Himself
2192,169815,Himself
2192,192508,"Himself (at JFK Stadium)"
2192,221474,Himself
2192,229681,Himself
2192,238074,Host
2192,249592,Performer
2192,256184,"Gas Station Attendant"
2192,264113,
2192,326482,Himself
2192,333408,Himself
2192,333548,Himself
2192,344528,Himself
2192,358731,
2192,364248,Guest
2192,364409,Himself
2192,381978,
2193,6721,Himself
2193,11526,
2193,26073,
2193,26902,
2193,26911,
2193,31526,
2193,31714,
2193,34869,"Mr. Z"
2193,35533,
2193,35538,
2193,36740,
2193,38366,
2193,39519,
2193,39646,
2193,44414,
2193,46341,
2193,48500,
2193,48579,
2193,50334,
2193,50559,
2193,53199,
2193,58502,
2193,60290,
2193,75191,
2193,75193,
2193,84453,
2193,87379,
2193,87462,
2193,97116,
2193,104314,
2193,108704,
2193,113145,
2193,123657,
2193,131508,
2193,148557,
2193,148978,
2193,151618,
2193,158598,
2193,158961,
2193,165517,Himself
2193,171130,
2193,178938,
2193,195916,
2193,202787,
2193,214109,
2193,219150,
2193,235418,
2193,241138,
2193,241359,
2193,260725,
2193,263533,
2193,271722,Himself
2193,280185,"Rockey's Opponent"
2193,288490,
2193,295617,
2193,296061,
2193,303924,
2193,309048,
2193,312394,
2193,317938,
2193,317954,
2193,321021,
2193,321023,
2193,321025,
2193,324161,Himself
2193,324162,
2193,325271,
2193,326364,
2193,330672,
2193,330885,
2193,344481,
2193,358074,
2193,358585,
2193,364727,Buck
2193,365128,
2193,365495,
2193,372443,
2194,340324,Himself
2196,385930,"Police Constable"
2198,168301,
2199,5166,"Basketball Player"
2199,137626,Simmons
2200,308440,"Raun Kaufman"
2202,188507,Mercenary
2203,402223,Host
2204,231750,
2205,41998,"News Vendor"
2205,75479,"Prison Guard"
2205,227445,"Captain of Ship 'Burton'"
2205,321444,
2206,153248,Husband
2207,133419,Johnny
2208,54920,"Parking Attendant"
2208,79046,Whit
2208,107728,"Transit Cop"
2208,149970,Fischer
2209,249557,"Boy in Bathroom"
2210,277202,Himself
2210,313737,"Himself (British team)"
2210,360337,Himself
2210,360341,Himself
2210,360342,Himself
2210,410688,Himself
2210,410689,Himself
2210,410690,Himself
2210,410691,Himself
2212,302467,
2213,158102,"Duncan Strout"
2214,35523,Thug
2216,66837,"Bouncer #3"
2217,689,Himself
2217,409773,Themselves
2218,60280,Cody
2218,81804,
2218,365598,
2222,11031,"Hayden Edwards"
2222,147565,Eddie
2222,195685,"Ken Riddle"
2222,279611,"Warder doctor"
2222,320104,
2222,358433,
2223,4971,"2nd Police Official"
2223,118026,"Duke of Buckingham"
2223,118958,Felix
2223,120459,
2223,135679,Pearson
2223,177525,"MC at Strip Club"
2223,213315,
2223,283521,Graham
2223,367952,"Douglas Sadler"
2223,398972,"Dana Gibson"
2223,403523,"Peter Verdelet"
2224,263758,Fisherman
2224,275346,"Rabbi Bernstein"
2225,351431,"Curt Wild, 13"
2226,51991,Scuzzy
2226,360601,"Catnip Goldbug"
2227,171399,"Himself (JT's band)"
2228,40129,Jonathan
2228,251801,"Thomas Harris"
2229,27344,"Prison Guard"
2229,37312,Deputy
2229,39412,"Vern Pender"
2229,39722,Foreman
2229,44707,Conductor
2229,46415,"Mr. Osterbach"
2229,58939,Jerry
2229,62699,"Store manager"
2229,70013,Alderman
2229,78882,Deputy
2229,80784,Cabbie
2229,80802,
2229,103266,"Bank Teller"
2229,136052,"Sam, Dillion's Cook"
2229,154301,Cashier
2229,154709,Reporter
2229,166873,Counterman
2229,166986,Claude
2229,176987,Butcher
2229,252242,"Bank Teller"
2229,280174,Reporter
2229,282147,"Provost Marshal"
2229,295187,Hank
2229,311183,"Coach Allen"
2229,312828,"Lordsburg bartender"
2229,333417,"Decon Jones"
2229,347059,"Agent Hicks"
2229,348835,"Video Technician"
2230,276770,"TV Evil Scientist"
2230,286477,"Truck Driver"
