bookrank,id,title,bookauthor,publicationyear,publisher,languagecode,numpages,averagerating,ratingscount
1299,17244064,"El hogar de Miss Peregrine para niños peculiares (El hogar de Miss Peregrine para niños peculiares, #1)",Ransom Riggs,2013,Editorial Planeta,spa,420,3.91,748
1304,45020,"Shakespeare's Landlord (Lily Bard, #1)",Charlaine Harris,2005,Berkley,eng,216,3.76,22802
1304,73818,A Maiden's Grave,Jeffery Deaver,2001,G.P. Putnam's Sons,eng,419,3.95,4995
1304,5972,The Sanctuary Sparrow (Chronicles of Brother Cadfael #7),Ellis Peters,,Warner Books,eng,271,4.07,4276
1304,16044959,"Let Me Go (Archie Sheridan & Gretchen Lowell, #6)",Chelsea Cain,2013,Minotaur Books,eng,358,4.01,7116
1308,155884,"Pride and Prescience: Or, A Truth Universally Acknowledged (Mr. & Mrs. Darcy Mysteries, #1)",Carrie Bebris,2007,Forge,en-US,287,3.54,3168
1308,639661,"Blood Sympathy (Joe Sixsmith, #1)",Reginald Hill,1994,St. Martin's Press,eng,220,3.69,272
1308,22026,The Sicilian,Mario Puzo,2001,Ballantine Books,eng,416,3.97,16735
1308,24663776,The Ice Twins,S.K. Tremayne,,,eng,,3.65,3128
1312,1280960,Io uccido,Giorgio Faletti,2002,Dalai Editore,ita,682,3.91,5119
1312,3070472,"Cold in Hand (Charles Resnick, #11)",John Harvey,2008,Houghton Mifflin Harcourt,eng,384,3.97,613
1312,1110,The Broker,John Grisham,2006,Delta,eng,422,3.78,72617
1312,10592,Carrie,Stephen King,2005,Pocket Books,eng,253,3.96,454189
1312,18079649,"Stone Cold (Joe Pickett, #14)",C.J. Box,2014,G.P. Putnam's Sons,eng,370,4.2,6087
1312,20821614,"You (You, #1)",Caroline Kepnes,2014,Atria/Emily Bestler Books,eng,424,3.89,68263
1318,644267,"The Midnight Man (Amos Walker, #3)",Loren D. Estleman,2000,"ibooks, Inc.",eng,,3.79,162
1318,369995,Black Cross,Greg Iles,2001,New American Library,eng,556,4.19,8409
1318,146034,Gentlemen and Players,Joanne Harris,2006,Black Swan,eng,,3.91,373
1318,6420553,"The Knight (The Patrick Bowers Files, #3)",Steven James,2009,Fleming H. Revell Company,eng,492,4.37,3466
1318,411701,"To Die For (Blair Mallory, #1)",Linda Howard,2004,Ballantine Books,eng,378,3.99,10841
1318,1410492,An Isolated Incident,Susan R. Sloan,1999,Grand Central Publishing,eng,480,3.75,609
1324,913689,Whistling In the Dark,Lesley Kagen,2007,Berkley Books,en-US,298,3.87,10030
1324,1063005,"Rag and Bone (Henry Rios Mystery, #7)",Michael Nava,2002,Berkley Trade,eng,304,4.29,108
1324,42697,Exodus,Leon Uris,1986,"Bantam Books, Inc.",eng,608,4.34,86296
1324,35535454,"The Child (Kate Waters, #2)",Fiona Barton,2017,Corgi,eng,448,3.95,14074
1328,573127,"Dreaming of the Bones (Duncan Kincaid & Gemma James, #5)",Deborah Crombie,2007,Avon,en-US,355,4.12,6181
1328,1242946,The Kill Clause,Gregg Andrew Hurwitz,2004,HarperTorch,eng,576,3.87,86
1328,69647,"The Widening Gyre (Spenser, #10)",Robert B. Parker,1992,Dell,eng,183,3.95,3680
1331,105786,Freedomland,Richard Price,2005,Delta,eng,655,3.59,1844
1331,751753,"The Potter's Field (Chronicles of Brother Cadfael, #17)",Ellis Peters,1991,Mysterious Press,eng,217,4.13,4260
1331,1746586,"The Last Breath (Paddy Meehan, #3)",Denise Mina,2007,Bantam Press,eng,352,3.85,148
1331,11725217,Mr. Perfect,Linda Howard,,Atria Books,eng,436,4.06,967
1335,80628,"Gone, But Not Forgotten",Phillip Margolin,2005,Hartorch,eng,432,4.03,3887
1335,3546298,"The Rook (The Patrick Bowers Files, #2)",Steven James,2008,Fleming H. Revell Company,eng,489,4.27,4248
1335,7027569,"Heartstone (Matthew Shardlake, #5)",C.J. Sansom,2010,Macmillan,eng,634,4.33,10597
1335,44230,"The Silver Pigs (Marcus Didius Falco, #1)",Lindsey Davis,2006,Minotaur Books,eng,329,3.94,8937
1335,1611988,A Prisoner of Birth,Jeffrey Archer,,,eng,501,4.14,25776
1335,2485785,The Secret Life of CeeCee Wilkes,Diane Chamberlain,2006,Mira Books,eng,522,4.1,37238
1341,383201,"Dancers in Mourning (Albert Campion Mystery, #9)",Margery Allingham,1990,Yestermorrow,eng,,3.96,1094
1341,8541,Straight,Dick Francis,2006,G.P. Putnam's Sons,eng,320,4.06,3539
1341,15860,State of Fear,Michael Crichton,2005,Avon,eng,672,3.7,72336
1341,18142329,"Police (Harry Hole, #10)",Jo Nesbø,2013,Knopf,eng,436,4.23,20371
1341,16143347,We Were Liars,E. Lockhart,2014,Delacorte Press,eng,242,3.84,380292
1346,317697,The Missing (Darby McCormick #1),Chris Mooney,2007,Atria Books,en-US,368,3.91,2966
1346,402739,"Burglars Can't Be Choosers (Bernie Rhodenbarr, #1)",Lawrence Block,2004,HarperTorch,eng,293,3.82,4263
1346,9231999,"Claire DeWitt and the City of the Dead (Claire DeWitt Mysteries, #1)",Sara Gran,2011,Houghton Mifflin Harcourt,eng,273,3.68,6249
1346,17657043,Blindsided (Sisterhood #22),Fern Michaels,2013,Kensington Publishing Corporation,eng,282,4.13,1118
1346,34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,2003,Houghton Mifflin Harcourt,eng,398,4.36,2155473
1351,77628,"Too Many Women (Nero Wolfe, #12)",Rex Stout,1985,Bantam Books,eng,168,4.06,1592
1351,8538,"Break In (Kit Fielding, #1)",Dick Francis,2005,G.P. Putnam's Sons,eng,320,4.06,3795
1351,1457790,"Stenhuggaren (Patrik Hedström, #3)",Camilla Läckberg,2005,Forum bokförlag,swe,404,3.88,8560
1351,447892,"An Excellent Mystery (Chronicles of Brother Cadfael, #11)",Ellis Peters,1997,Mysterious Press,eng,224,4.17,4748
1355,371022,The Goodbye Look (Lew Archer #15),Ross Macdonald,2000,Vintage Crime/Black Lizard,eng,256,3.96,1087
1355,9496240,"The Hangman's Daughter (The Hangman's Daughter, #1)",Oliver Pötzsch,2010,AmazonCrossing,eng,448,3.73,57297
1355,155234,In Silence,Erica Spindler,2004,Mira Books,eng,473,4.03,1978
1355,72929,Affinity,Sarah Waters,2002,Riverhead Books,eng,352,3.74,13840
1359,767307,"The Angel of Darkness (Dr. Laszlo Kreizler, #2)",Caleb Carr,1997,Ballantine Books,en-US,752,3.99,20109
1359,351559,"Murder Must Advertise  (Lord Peter Wimsey, #10)",Dorothy L. Sayers,1995,HarperTorch,eng,356,4.21,16513
1359,4989,The Red Tent,Anita Diamant,2005,St. Martin's Press,eng,336,4.17,474661
1359,16356,"The Mysterious Mr. Quin (Harley Quin, #1)",Agatha Christie,2003,Harper Collins,eng,396,3.72,7996
1363,196504,City of Shadows,Ariana Franklin,2007,William Morrow Paperbacks,eng,422,4.02,2989
1363,2747602,"Left To Die (To Die, #1)",Lisa Jackson,2008,Zebra,eng,496,4.03,9207
1363,56842,Fatherland,Robert   Harris,1993,HarperTorch,eng,380,3.98,25625
1363,92367,Whiteout,Ken Follett,2005,Signet,eng,469,3.58,22656
1363,13136,"2nd Chance (Women's Murder Club, #2)",James Patterson,2005,Grand Central Publishing,eng,400,4.04,79283
1363,18131,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,1973,Yearling Books,eng,211,4,665718
1369,491922,The Princess of Burundi,Kjell Eriksson,2007,Minotaur Books,eng,311,3.44,3090
1369,371025,Sleeping Beauty,Ross Macdonald,2000,Vintage Crime/Black Lizard,eng,271,3.88,698
1369,7669,Timeline,Michael Crichton,2000,Arrow Books,eng,489,3.85,167796
1369,834378,"A Pocket Full of Rye (Miss Marple, #7)",Agatha Christie,2000,Signet,eng,220,3.86,21612
1369,1155491,"Tularosa (Kevin Kerney, #1)",Michael McGarrity,2004,Pocket Star Books,en-US,336,3.98,1319
1369,6905079,"The Poacher's Son (Mike Bowditch, #1)",Paul Doiron,,,eng,324,3.79,5025
1375,1026898,"Why Mermaids Sing (Sebastian St. Cyr, #3)",C.S. Harris,,,eng,,4.17,6004
1375,55014,"Pegasus Descending (Dave Robicheaux, #15)",James Lee Burke,2006,Simon & Schuster,eng,356,4.16,5324
1375,64860,"E is for Evidence (Kinsey Millhone, #5)",Sue Grafton,2005,St. Martin's Paperbacks,eng,320,3.9,28436
1378,164760,The Winter of Frankie Machine,Don Winslow,,,eng,,4.14,4828
1378,9435890,Edge,Jeffery Deaver,2010,Simon & Schuster,eng,416,3.99,8481
1380,418626,"See Jane Die (Stacy Killian, #1; The Malones, #2)",Erica Spindler,2005,Mira Books,eng,474,4.11,6252
1380,99461,Split Infinity  (Apprentice Adept #1),Piers Anthony,1987,Del Rey,eng,368,3.96,15030
1380,822995,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,2003,HarperVoyager,en-US,913,4.41,8561
1380,31259,"The Bourne Ultimatum (Jason Bourne, #3)",Robert Ludlum,2004,Orion,eng,725,4.05,53255
1384,800758,"Death Is Not the End (Inspector Rebus, #10.5)",Ian Rankin,2000,St. Martin's Minotaur,eng,80,3.74,864
1384,8543,To the Hilt,Dick Francis,2004,G.P. Putnam's Sons,eng,352,4.12,5485
1384,6713625,The Complaints,Ian Rankin,2009,Orion Books,eng,381,3.86,8844
1384,226791,Total Control,David Baldacci,1997,Vision,eng,720,4.08,28327
1388,4008488,"The 7th Victim (Karen Vail, #1)",Alan Jacobson,2008,Vanguard Press,eng,352,3.62,3575
1388,8582850,Blood Vines,Erica Spindler,2011,St. Martin's Paperbacks,eng,382,4.05,76
1388,3764,"From Russia With Love (James Bond, #5)",Ian Fleming,2002,Penguin Books,eng,259,3.89,23780
1391,24469,"Flower Net (Red Princess, #1)",Lisa See,1997,Harper Paperbacks,eng,465,3.51,3708
1391,15062217,"14 (Threshold, #1)",Peter Clines,2012,Permuted Press,eng,372,3.95,27686
1393,153590,"Playback (Philip Marlowe, #7)",Raymond Chandler,1988,Vintage Crime/Black Lizard,eng,166,3.79,5687
1393,391880,"Ripley Under Water (Ripley, #5)",Patricia Highsmith,2005,Bloomsbury,en-GB,250,3.8,952
1393,16429,The Husband,Dean Koontz,2006,Bantam,eng,400,3.8,39761
1393,10148340,You're Next,Gregg Andrew Hurwitz,2011,Brilliance Audio,eng,436,3.93,7388
1393,2922110,The Dirty Secrets Club (Jo Beckett #1),Meg Gardiner,2008,Brilliance Audio,eng,5,3.63,2630
1398,84054,The Stars Shine Down,Sidney Sheldon,,HarperCollins Publishers,eng,448,3.69,14691
1398,3073043,"Sanctuary (Jack Taylor, #7)",Ken Bruen,2008,Transworld Ireland,eng,208,4.03,894
1400,16312,"One, Two, Buckle My Shoe (Hercule Poirot, #23)",Agatha Christie,2004,HarperCollins Publishers,eng,0,3.76,14580
1400,15776309,Reconstructing Amelia,Kimberly McCreight,2013,HarperCollins,eng,382,3.83,101702
1400,31125554,"The Fourth Monkey (4MK Thriller, #1)",J.D. Barker,2017,Houghton Mifflin Harcourt,eng,404,4.15,7153
1400,33128934,"Stillhouse Lake (Stillhouse Lake, #1)",Rachel Caine,,,eng,301,4.12,97080
1404,625956,"Hamlet, Revenge! (Sir John Appleby, #2)",Michael Innes,2008,House of Stratus,eng,312,3.81,771
1404,1050383,"The Sleeping Doll (Kathryn Dance, #1)",Jeffery Deaver,2007,Hodder & Stoughton,eng,448,3.93,13231
1404,13636815,"New Orleans Mourning (Skip Langdon, Mystery #1)",Julie Smith,2012,booksBnimble,eng,352,3.67,1294
1407,83399,"Sins of the Fathers (Inspector Wexford, #2)",Ruth Rendell,1986,Ballantine Books,eng,256,3.63,1027
1407,160472,"The Boy Who Followed Ripley (Ripley, #4)",Patricia Highsmith,,,eng,292,3.64,1056
1407,13044811,15 Seconds,Andrew Gross,2012,William Morrow,eng,324,3.75,4596
1407,10000269,Prey,Linda Howard,2011,Random House Audio,eng,12,3.75,6789
1411,271299,"A Grave Denied (Kate Shugak, #13)",Dana Stabenow,2004,St. Martin's Press,en-US,352,4.29,2750
1411,411171,Blood and Money,Thomas Thompson,2001,Running Press Book Publishers,en-US,512,4.21,2213
1411,8437913,"Tick Tock (Michael Bennett, #4)",James Patterson,2011,"Little, Brown and Company",eng,448,4.05,19878
1411,10680329,"A Trick of the Light (Chief Inspector Armand Gamache, #7)",Louise Penny,2011,Minotaur Books,eng,339,4.31,32997
1411,13596166,Joyland,Stephen King,2013,Hard Case Crime,eng,283,3.91,94703
1416,7134201,The Postcard Killers,James Patterson,2010,"Little, Brown and Company",eng,420,3.8,20860
1416,16333,"At Bertram's Hotel (Miss Marple, #11)",Agatha Christie,2002,HarperCollins,eng,223,3.7,18215
1416,16335,"The Mystery of the Blue Train (Hercule Poirot, #6)",Agatha Christie,2007,Black Dog & Leventhal Publishers,eng,317,3.81,23720
1416,432,"City of Glass (The New York Trilogy, #1)",Paul Auster,1987,Penguin Books,eng,203,3.79,12563
1420,249870,The Hours Before Dawn,Celia Fremlin,1996,Virago Press (UK),eng,216,3.81,401
1420,763677,"Under the Bright Lights (Renee Shade, #1)",Daniel Woodrell,1998,Pocket Books,eng,,3.57,619
1420,34310,The Glass Lake,Maeve Binchy,2005,The Orion Publishing Group Ltd,eng,704,3.93,17719
1420,19668,"Without Remorse (John Clark, #1; Jack Ryan Universe Publication Order #6)",Tom Clancy,1994,Berkley Books,eng,750,4.18,54241
1424,429940,"Cotton Comes to Harlem (Harlem Cycle, #7)",Chester Himes,1988,Vintage Crime/Black Lizard,eng,160,3.83,1344
1424,8045080,"Hell's Corner (Camel Club, #5)",David Baldacci,2010,MacMillan,eng,448,4.11,23332
1426,1257531,"The Four Last Things (Roth, #1)",Andrew  Taylor,,HarperCollins Publishers,eng,402,3.68,524
1426,72750,"Shoulder the Sky (World War I, #2)",Anne Perry,2005,Ballantine Books,eng,336,3.97,1996
1426,2676229,"Flesh House (Logan McRae, #4)",Stuart MacBride,2008,,eng,480,4.14,4507
1426,983545,"Trophy Hunt (Joe Pickett, #4)",C.J. Box,2005,G.P. Putnam's Sons,eng,352,4.09,6395
1426,1105468,"The Abominable Man (Martin Beck, #7)",Maj Sjöwall,2007,Harper Perennial,eng,216,4.04,2448
1426,205262,"Strip Jack (Inspector Rebus, #4)",Ian Rankin,1998,St. Martin's Paperbacks,eng,269,3.85,7221
1432,3659,The Book of Evidence (The Freddie Montgomery Trilogy #1),John Banville,2001,Vintage Books,eng,220,3.71,3223
1432,498371,"The Blood Spilt (Rebecka Martinsson, #2)",Åsa Larsson,2007,Delacorte Press,eng,339,3.65,5509
1432,618880,"The Woman Who Married a Bear (Cecil Younger, #1)",John Straley,2005,Soho Crime,eng,240,3.49,658
1435,6369098,Final Sin,Chelle Cordero,2009,Vanilla Heart Publishing,eng,256,4.07,11
1435,9504832,Digger's Bones,Paul Mansfield Keefe,,,en-GB,336,3.74,36
1435,6949853,The Hollow Man: A (Transgressive) Novel Of Suspense,G. Patrick Huskins,2009,Murder Ink Press,eng,352,3.5,11
1435,30195,Cast of Shadows,Kevin Guilfoile,2006,Vintage,eng,336,3.64,648
1435,10153215,"Take No More (James Blake, #1)",Seb Kirby,2010,amazon,en-GB,252,3.55,270
1435,11176800,"Death By Honeymoon (Caribbean Murder, #1)",Jaden Skye,2011,Jaden Skye,en-CA,220,3.41,1969
1435,8373201,"Scene Stealer (An Augusta Weidenmaier Mystery, #1)",Elise Warner,2010,Carina Press,eng,235,3.62,13
1435,11312041,Lessons of Evil,Linda B. Myers,2011,Mycomm One,eng,286,3.54,23
1435,11368348,"Endangered (Summer Westin Mystery, #1)",Pamela Beason,2011,Berkley,eng,320,4.31,265
1435,12690450,Eight of Jacks,T.D. McMichael,2011,Magnus Corner Books,eng,,4.23,12
1435,13014526,And Then There Was Life!,André Jacob,,,eng,,4,6
1435,10610084,Number One Bestseller,Brian  Morley,2011,Savant Books & Publications LLC,eng,320,3.86,14
1435,8307302,"The Keepers (The Keepers Trilogy, #1)",Heather Graham,2010,Harlequin,eng,288,3.8,791
1435,13182986,A Life Lived Ridiculously,Annabelle R. Charbit,2012,Firefly Publishing & Entertainment,eng,246,3.93,35
1435,15905037,Oracle,J.C.  Martin,2012,J. Taylor Publishing,eng,299,4.08,44
1435,6470875,Both Sides Of The Fence: A Life Undercover,David  Corbett,2003,Mainstream Publishing,eng,208,3.92,23
1435,13266174,The Stand In,Brad Geagley,2011,BookBaby,en-US,,3.92,13
1435,13410893,"Zero Balance (Eviscerating the Snake, #2)",Ashley Fontainne,2012,World Castle Publishing,eng,260,4.29,35
1435,13321884,The Mirror in the River,Dale Lovin,2011,Sunstone Press,eng,260,4,19
1435,12101743,"The Choice (Walk the Right Road, #1)",Lorhainne Eckhart,2012,,eng,301,3.65,199
1435,13455355,"Swamp Donkey (Booze, Drugs, Gambling, Hookers, Murder and the bothersome hangovers that sometimes result)",Thad Staffall,2012,MMD Publishing,eng,168,3.76,17
1435,13491829,Short Thrills: Pia Sabel Stories,Seeley James,2012,KDP Amazon,eng,71,4.89,9
1435,13498321,"The Penance List (David Trilogy, #1)",S.C. Cunningham,2011,Createspace,eng,502,4.28,44
1435,13064385,Unaccounted For,Nan Willard Cappo,2011,Tadmar Press,en-GB,330,3.57,25
1435,8413921,"The Sleepwalkers (Willi Kraus, #1)",Paul Grossman,,,eng,309,3.71,143
1435,10188593,Myth Man,Alex Mueck,2010,iUniverse,eng,304,4.42,75
1435,13138117,The Monarch,Shannon Esposito,2011,Shannon Esposito,eng,201,4.17,30
1435,13493779,Hill Country,R. Thomas Brown,2012,CreateSpace,eng,198,3.75,31
1435,13508732,Tainted Souls,Steven J. Wangsness,2012,Ploughshare Point,eng,300,3.98,60
1435,12433807,The Calypso Directive,Brian  Andrews,2012,Arcade,eng,336,3.89,91
1435,3151688,The Adventures of the Great Mouse Detective (Classic Storybook),Walt Disney Company,,,eng,,3.84,90
1435,15720038,The Curious Case of Daniel Walter,Rose Carter,2011,Amazon.com,eng,81,2.5,1
1435,15705112,Drawn in Blood: A Rick Stone Mystery,N.P. Statham,2012,Trilby Publishing House,eng,242,4.33,9
1435,7673244,Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,2009,Lulu.com,eng,222,3.65,91
1435,15993357,The Swimmer,David      Haynes,2012,David Haynes,eng,329,3.7,41
1435,16120723,Resolve,J.J. Hensley,2013,The Permanent Press,eng,248,4.09,225
1435,17203292,"Here Be Monsters (Tyler Cunningham, #1)",Jamie Sheffield,2013,Smart Pig and CreateSpace Independent Publishing Platform,eng,294,4.03,77
1435,13605932,The Shoulders of Giants (Jake Abraham Mysteries Book 1),Jim Cliff,2012,Antbear Books,eng,252,3.66,345
1435,16124549,Death on a Cold Night,Jess Faraday,2012,Elm Books,eng,,4.19,7
1435,15733030,Blood Remembered (Max Sawyer #1),Douglas  Pratt,2011,Douglas Pratt,eng,184,4.05,186
1435,8432181,In the Belly of Jonah (Liv Bergen Mystery #1),Sandra Brannan,2010,Greenleaf Book Group,eng,252,3.8,665
1435,16107302,Distortion,Lucie Smoker,2012,Buzz Books USA,eng,316,4.26,16
1435,18189084,"Blood and Justice (Jake and Annie Lincoln, #1)",Rayven T. Hill,2013,Smashwords Edition,eng,301,3.69,1092
1435,18105634,The Evil Beneath,A.J. Waines,2013,CreateSpace Independent Publishing Platform,en-GB,444,3.89,233
1435,17854431,"Shadows of Morrow (Elkhart Case File, #1)",A.C. Haury,2013,Createspace,en-US,408,4.09,20
1435,18756754,"Marsh Island (Hirebomber Crime Series, #1)",Oliver F. Chase,2013,"AEC Stellar Publishing, Inc.",en-US,330,4.33,12
1435,18759743,Dr. 2 (Issue 1),Peter Tieryas,2013,,en-GB,40,3.97,26
1435,18810102,Find Virgil,Frank Freudberg,2013,Inside Job Media,eng,356,3.98,105
1435,22172801,"Lamb to the Slaughter (Serenity's Plain Secrets, #1)",Karen Ann Hopkins,2014,,eng,293,4.05,3376
1435,2112823,"Mind Fuck (The Administration, #1)",Manna Francis,2007,Casperian Books,eng,264,3.95,2670
1435,21857232,The Consecration (Dichotomy of Evil #1),Jesse Merwin,2014,The Umbrage Press,eng,233,4.33,12
1435,20986629,Conduit (Emily Monroe #1),Angie Martin,2014,Indie World Publishing & Author Services,eng,354,3.94,323
1435,22884960,Twisted Tears,Stan Taylor,2014,Jonathon Jones,eng,,4.04,16
1435,24424919,Song to the Moon (Damnatio Memoriae #2),Laura Giebfried,,Amazon Digital Services,eng,,4.27,33
1435,24700669,Dirt Nap Rhapsody,Jules Cassard,2015,Hopewell Manhattan Press,eng,322,4.19,3
1435,25137843,In the Shadow of Angels,Donnie J. Burgess,,,en-CA,,4.17,11
1435,24855900,The Death in Sioux Lookout Trilogy,Richard   Schwindt,1997,Richard Schwindt,eng,,4.57,7
1435,25997563,Pitfall,Cameron Bane,,,en-GB,332,4.11,56
1435,28192570,Corruption of Power,G.W. Eccles,2015,Peach Publishing,eng,324,4.23,41
1435,29388297,"The Very Devil, Herself!",Loren Molloy,2016,Loren Molloy,eng,558,3.77,26
1435,27853361,Double Trouble,D.M. Wolfenden,2015,DM Wolfenden,eng,105,4.43,53
1435,31308524,Brazen Violations,Jonathan Macpherson,,,en-CA,201,4.12,68
1435,26077311,"Secondhand Smoke (Jake Brand, PI, Series, Book 2)",M. Louis,2015,Palisades Publishing,eng,320,4.08,10
1435,34806114,Murder In A Minute,Shouvik Bhattacharya,,,eng,,3.8,487
1435,36481391,"The Blame Game: She lies, even when the truth makes a better story",Terri Reynolds,,,eng,,4.71,24
1435,40209645,The Missing Activist,Louise Burfitt-Dons,6,New CenturyDigibooks,eng,,4.54,37
1435,40164525,Death in Focus: Passion and photography meet a multimillion dollar cover-up and murder.,S.R. Garrae,,,eng,,4.4,24
1435,44200541,Deep and Dirty: A Novel,Douglas Dell,2019,"Bulldog Publications, Est. 1980",eng,280,5,5
1435,46029371,"A Will To Kill (Athreya, #1)",R.V. Raman,2019,HarperCollins India,eng,340,4.23,41
1435,45837927,Epiphany’s Gift,Mallory M. O’Connor,,,eng,,4.11,9
1505,620,"Small Vices (Spenser, #24)",Robert B. Parker,1998,G.P. Putnam's Sons,eng,384,4.01,4111
1505,9505607,By A Thread,Marty Beaudet,2011,CreateSpace,eng,290,3.96,19
1505,12946152,The Belle Stalker,Minnette Meador,2011,Resplendence Publishing,eng,258,4.89,9
1505,12528758,Lucky Stiffs,Curt Batson,,,eng,,5,5
1505,13065746,Tune in to Danger,Donald J. McGill,,The Dangerous Press,eng,,4,4
1505,76816,"Cadillac Jukebox (Dave Robicheaux, #9)",James Lee Burke,1997,Hachette Books,eng,464,4.03,4698
1505,13447875,Rendezvous in Quebec,Steve O'Driscoll,2012,CreateSpace,eng,142,4.5,4
1505,13641537,The High Blue Arena,Jack Prendergast,2012,,eng,263,4.88,8
1505,1255956,"The Marshal at the Villa Torrini (Marshal Guarnaccia Mystery, #9)",Magdalen Nabb,1993,HarperCollins Publishers,eng,192,3.69,78
1505,13635238,Sins of the Father,R.J.  Palmer,2012,,en-GB,232,4.1,23
1505,12240419,Table 21,T. Rafael Cimino,2011,BMG/ Akula Media Group,eng,287,3.64,386
1505,1017537,Open and Shut (Andy Carpenter #1),David Rosenfelt,2003,Grand Central Publishing,eng,292,4,6947
1505,17563791,The Rose Red Reaper (Chicago Serial Crimes),Kristi Loucks,2013,Amazon Digital Services,eng,215,3.9,69
1505,18811828,"Boy Made of Dawn (Navajo Nation Mystery, #2)",R. Allen Chappell,2013,Createspace Independent Publishing Platform,en-US,140,4.16,41
1505,18831382,Navajo Autumn (A Navajo Nation Mystery #1),R. Allen Chappell,,,eng,188,3.83,1295
1505,18283339,Never to Know,Patricia Fincken,2012,Patricia Fincken,eng,328,4.38,25
1505,42855699,"Exposed: The Education of Sarah Brown (The Checkpoint, Berlin Detective Series #1)",Michele E. Gwynn,2018,,eng,327,4.08,5
1505,23876664,A Rented World,Merle Temple,2014,Southern Literature Publishing,eng,,4.73,30
1505,23342416,The Photographer Trilogy Box Set (Tainted Series Books 1-3),Sarah  Robinson,2015,,eng,999,4.26,101
1505,25159239,The Girl with Ghost Eyes (The Daoshi Chronicles #1),M.H. Boroson,2015,Talos,eng,288,3.89,2355
1505,25411210,Cuts Like Glass,Dana S. Feldman,,CreateSpace Independent Publishing Platform,eng,330,4.04,19
1505,18114335,Pietr the Latvian,Georges Simenon,2013,Penguin Classics,eng,176,3.47,2545
1505,25475281,The Lipstick Murders,Ricky Corum,,,en-CA,,3.44,21
1505,28869962,One Fateful Summer,Vanessa Star,2016,Mbi Publishing,en-US,540,4.27,25
1505,29089365,"Mad for Mel (The Morelville Mysteries, #7)",Anne Hagan,,,eng,,4.3,40
1505,20455343,The Forgotten Girls (Louise Rick #7),Sara Blaedel,2015,Grand Central Publishing,eng,312,3.57,8483
1505,29762106,The Anonymous Man,Vincent L. Scarsella,,Digital Crime Fiction,eng,,3.83,299
1505,35104010,The Insomniacs' Club,Vasily Pugh,2017,Midland Monkey,eng,282,4.42,19
1505,38137746,Enochi: 3 of Light,Syquan Perrett,2018,Createspace Independent Publishing Platform,eng,122,4.75,4
1505,35744961,Devil's Bait,Debbie Boek,2017,Debra Boek,eng,248,4.2,129
1505,19063,The Book Thief,Markus Zusak,2006,Alfred A. Knopf,eng,552,4.37,1541262
1505,39071348,Happy Holiday Homicides,Micah Minnefer,,,eng,,4.55,11
1505,43074651,Deadly Diamond: A Diamond to Die For,Rob W. Davis,2018,,eng,318,4.8,5
1538,838668,"The Vesuvius Club (Lucifer Box, #1)",Mark Gatiss,2005,Simon & Schuster Ltd,eng,240,3.59,4439
1538,5933841,Inherent Vice,Thomas Pynchon,2009,The Penguin Press,eng,369,3.75,21819
1538,9654874,Act of Passion,Georges Simenon,2011,New York Review Books,eng,216,3.84,370
1538,411565,The Tattoo Murder Case (Detective Kamizu),Akimitsu Takagi,2003,Soho Crime,eng,324,3.79,837
1538,7871404,Beautiful Bad Girl,Gordon Basichis,2010,Minstrel's Alley,en-GB,,3.33,153
1538,11448659,Damage Control,Denise Hamilton,2011,Scribner,eng,372,3.55,477
1538,12249248,This Doesn't Happen In The Movies (Reed Ferguson Mystery #1),Renee Pawlish,2011,,en-GB,227,3.52,2759
1538,9447145,Katar,Stanisław Lem,1988,Wydawnictwo Literackie,pol,176,3.7,148
1538,15740918,"The Sultan of Monte Cristo (Sequels to the Count of Monte Cristo, #1)",Holy Ghost Writer,2012,Xlibris Corporation,eng,67,4.19,360
1538,18107175,Girl on a Train,A.J. Waines,2013,CreateSpace Independent Publishing Platform,en-US,434,3.85,358
1538,11243724,"Falling Immortality (Casey Holden, Private Investigator #1)",Robert Downs,2011,"Rainbow Books, Inc.",eng,231,3.17,57
1538,449575,The Satan Bug,Alistair MacLean,1967,HarperCollins,eng,256,3.7,1066
1538,18474117,"Interviews With the Dead, Part 1",Collette Sinclaire,2013,Risch Media Group,eng,40,4.21,24
1538,18804363,"Tin God (Delta Crossroads Trilogy, #1)",Stacy Green,2013,Twisted Minds,eng,404,3.96,45
1538,16119032,Blue Coyote Motel (Coyote #1),Dianne Harman,2012,Dianne Harman,eng,297,3.67,461
1538,12898,Death of a Salesman,Arthur  Miller,,Heinemann Library,eng,117,3.52,155688
1538,21902777,"Untainted (Photographer Trilogy, #3)",Sarah  Robinson,2014,,eng,,4.27,223
1538,18656055,"Invisible (Invisible, #1)",James Patterson,2014,"Little, Brown and Company",eng,399,4.11,16466
1538,15815918,The Oligarch,G.W. Eccles,2012,G.W. Eccles,eng,,4.1,38
1538,35747029,The Drunk Detective: A Dotty Davis Comedy Suspense,Mary Jean Curry,2018,Prodigy Gold Books,eng,260,3.38,9
1558,6930579,The Island of Sheep,John Buchan,1956,Penguin Books,eng,245,3.76,14
1558,7172157,Broken Dreams,Nick Quantrill,2010,Caffeine Nights Publishing,eng,252,3.81,70
