id,title,authors,language,categories,averageRating,maturityRating,publisher,publishedDate,pageCount
219,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,24/12/2008,320
220,Commencement[programme],"['University of California, Berkeley']",en,"['Dissertations, Academic']",,NOT_MATURE,,1956,
221,Register - University of California,,en,,,NOT_MATURE,,1957,
222,Commencement,"['University of California, Berkeley']",en,,,NOT_MATURE,,1960,
223,Grants and Awards for the Fiscal Year Ended ...,['National Science Foundation (U.S.)'],en,['Federal aid to research'],,NOT_MATURE,,,
224,Academic Press Dictionary of Science and Technology,"['Christopher G. Morris', 'Academic Press']",en,['Computers'],,NOT_MATURE,Gulf Professional Publishing,1992,2432
225,The Quality Management Sourcebook,"['Christine Avery', 'Diane Zabel']",en,['Business & Economics'],,NOT_MATURE,Routledge,11/09/2002,336
226,Software Engineering Handbook,['Jessica Keyes'],en,['Computers'],4.5,NOT_MATURE,CRC Press,23/12/2002,896
227,Mechanical Engineering,,en,['Mechanical engineering'],,NOT_MATURE,,1981,
228,A Survey of American Chemistry,['National Research Council (U.S.). Division of Chemistry and Chemical Technology'],en,['Chemistry'],,NOT_MATURE,National Academies,1933,
229,Wastes Engineering,,en,['Public health'],,NOT_MATURE,,1962,
230,Directory,['University of Texas at Austin. Graduate School of Library Science'],en,,,NOT_MATURE,,1972,
231,Transescence,,en,['Junior high schools'],,NOT_MATURE,,1993,
232,American Doctoral Dissertations,,en,['Dissertation abstracts'],,NOT_MATURE,,1985,
233,The National Faculty Directory,,en,['College teachers'],,NOT_MATURE,,2003,
234,Who's who in Science and Engineering,,en,['Engineers'],,NOT_MATURE,,2008,
235,"Who's Who Among Human Services Professionals, 1992-1993",['Howard Friedman'],en,,,NOT_MATURE,National Reference Inst Publications,1992,
236,Who's who in the West,,en,['United States'],,NOT_MATURE,,1992,
237,Who's who in America,,en,['United States'],,NOT_MATURE,,1900,
238,نحن كلنا متشابهون، نحن كلنا مختلفون,,en,"[""Children's art""]",,NOT_MATURE,,2006,
239,Handbook of Social Indicators and Quality of Life Research,"['Kenneth C. Land', 'Alex C. Michalos', 'M. Joseph Sirgy']",en,['Social Science'],,NOT_MATURE,Springer Science & Business Media,25/11/2011,593
240,The Woman Who Stole My Life,['Marian Keyes'],en,['Fiction'],3.5,NOT_MATURE,Penguin UK,06/11/2014,560
241,The life of Elisha Williams Keyes,['Richard Watson Hantke'],en,['Biography & Autobiography'],,NOT_MATURE,,1942,692
242,Stevie Wonder's Songs in the Key of Life,['Zeth Lundy'],en,['Music'],,NOT_MATURE,Bloomsbury Publishing USA,15/01/2007,160
243,Key Notes of Health and a Century of Life,['Charles Winfield Scott'],en,['Hygiene'],,NOT_MATURE,,1895,201
244,Growing Through Life's Challenges,"['James Reapsome', 'Martha Reapsome']",en,['Religion'],4.5,NOT_MATURE,Shaw Books,16/12/2009,112
245,"Handbook of Adolescent Psychology, Individual Bases of Adolescent Development","['Richard M. Lerner', 'Laurence Steinberg, PhD']",en,['Psychology'],2,MATURE,John Wiley & Sons,2009,823
246,"A Critical Dictionary of English Literature and British and American Authors, Living and Deceased",['Samuel Austin Allibone'],en,['American literature'],,NOT_MATURE,,1896,3140
247,The Post-Truth Era,['Ralph Keyes'],en,['Social Science'],,NOT_MATURE,St. Martin's Press,03/10/2004,320
248,"The early life of Robert M. La Follette, 1855-1884",['David Paul Thelen'],en,['History'],,NOT_MATURE,,1966,147
249,Academic Press Dictionary of Science and Technology,"['Christopher G. Morris', 'Academic Press']",en,['Computers'],,NOT_MATURE,Gulf Professional Publishing,1992,2432
250,Data Science on the Google Cloud Platform,['Valliappa Lakshmanan'],en,['Computers'],,NOT_MATURE,"""O'Reilly Media, Inc.""",12/12/2017,404
251,The Oxford Handbook of Research Strategies for Clinical Psychology,"['Jonathan S. Comer', 'Philip C. Kendall']",en,['Psychology'],,NOT_MATURE,Oxford University Press,26/03/2013,476
252,Data Science and Knowledge Engineering for Sensing Decision Support,"['Jun Liu', 'Jie Lu', 'Yang Xu', 'Luis Martinez', 'Etienne E Kerre']",en,['Computers'],,NOT_MATURE,World Scientific,26/07/2018,1624
253,Population Health Science,"['Katherine M. Keyes', 'Sandro Galea', 'Robert a Knox Professor and Dean Sandro Galea, MD']",en,,,NOT_MATURE,Oxford University Press,04/08/2016,224
254,Business data processing,['Elias M. Awad'],en,['Computers'],,NOT_MATURE,Prentice Hall,01/11/1974,722
255,"Reverse Acronyms, Initialisms & Abbreviations Dictionary",,en,['Abbreviations'],,NOT_MATURE,,2008,
256,Cryptographic Hardware and Embedded Systems – CHES 2008,['Elisabeth Oswald'],en,['Computers'],,NOT_MATURE,Springer Science & Business Media,18/07/2008,442
257,The Biblical Basis for Modern Science,['Dr. Henry M. Morris'],en,['Religion'],5,NOT_MATURE,New Leaf Publishing Group,01/06/2002,478
258,"Hearings, reports and prints of the House Committee on Science and Astronautics",,en,,,NOT_MATURE,,1967,
259,Carpentry and joinery,['Pearson Education'],en,['Carpentry'],,NOT_MATURE,Heinemann,2006,424
260,"Retail Crime, Security, and Loss Prevention","['Charles A. Sennewald', 'John H. Christman']",en,['Social Science'],,NOT_MATURE,Elsevier,29/08/2011,704
261,Symposium on Electronics Maintenance,,en,['Electronic apparatus and appliances'],,NOT_MATURE,,1955,214
262,Symposium on Electronics Maintenance,['United States. Office of the Assistant Secretary of Defense (Research and Development) ADVISORY PANEL ON PERSONNEL AND TRAINING RESEARCH'],en,['Electronic apparatus and appliances'],,NOT_MATURE,,1955,214
263,Selected Areas in Cryptography -- SAC 2013,"['Tanja Lange', 'Kristin Lauter', 'Petr Lisoněk']",en,['Computers'],,NOT_MATURE,Springer,20/05/2014,590
264,Modern Concepts of Security,['James Ohwofasa Akpeninor'],en,['Philosophy'],,NOT_MATURE,AuthorHouse,01/06/2012,344
265,English Mechanic and World of Science,,en,['Mechanics'],,NOT_MATURE,,1898,
266,Research Bulletin,,en,,,NOT_MATURE,,1951,
267,Mechanics Magazine,['John I Knight'],en,,,NOT_MATURE,,1868,
268,Building Security Standards,"['Donald R. Hughes', 'Gary R. Cooper', ""California. Attorney General's Building Security Commission""]",en,['Burglary protection'],,NOT_MATURE,,1974,57
269,"Fifty Years' Observations of Men and Events, Civil and Military",['Erasmus Darwin Keyes'],en,"['Fair Oaks (Henrico County, Va.), Battle of, 1862']",,NOT_MATURE,,1884,515
270,"Emanuel Law Outlines for Civil Procedure, Keyed to Yeazell",['John T. Cross'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,13/06/2016,400
271,Civil Procedure,"['Casenotes', 'Casenote Legal Briefs']",en,['Law'],,NOT_MATURE,Aspen Publishers Online,2010-08,228
272,"Casenote Legal Briefs for Civil Procedure, Keyed to Friedenthal, Miller, Sexton, and Hershkoff",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Aspen Publishers,29/12/2018,240
273,"Casenote Legal Briefs for Civil Procedure Keyed to Hazard, Tait, Fletcher and Bundy",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,03/05/2010,144
274,"Casenote Legal Briefs for Civil Procedure Keyed to Subrin, Minow, Brodin, Main, and Lahav",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,31/08/2016,170
275,"Casenote Legal Briefs for Civil Procedure, Keyed to Yeazell and Schwartz",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Aspen Publishers,25/02/2019,168
276,"Proceedings of the Second International Conference on Computing in Civil Engineering, 5-9 June 1985, Hangzhou, China",['Zhao'],en,['Technology & Engineering'],,NOT_MATURE,Elsevier Science Limited,1985,1237
277,A Bibliography of Florida: 1881-1899,"['James Albert Servies', 'Lana D. Servies']",en,"['Catalogs, Union']",,NOT_MATURE,,1993,559
278,"Engineering Mechanics Devoted to Mechanical Civil, Mining and Electrical Engineering",,en,,,NOT_MATURE,,1890,
279,Library of Congress Subject Headings,,en,"['Subject headings, Library of Congress']",,NOT_MATURE,,2011,
280,Library of Congress Subject Headings,['Library of Congress. Cataloging Policy and Support Office'],en,"['Subject headings, Library of Congress']",4,NOT_MATURE,,2002,
281,Rap Music and Street Consciousness,['Cheryl Lynette Keyes'],en,['Music'],5,NOT_MATURE,University of Illinois Press,2004,302
282,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,09/09/2003,176
283,That's the Joint!,"['Murray Forman', 'Mark Anthony Neal']",en,['Music'],4,NOT_MATURE,Psychology Press,2004-01,628
284,Columbian Cyclopedia,,en,['Encyclopedias and dictionaries'],,NOT_MATURE,,1897,
285,Alden's Manifold Cyclopedia of Knowledge and Language,,en,['Encyclopedias and dictionaries'],,NOT_MATURE,,1890,
286,Ethnomusicology at UCLA.,,en,['Ethnomusicologists'],,NOT_MATURE,,1997,
287,Catalog of Copyright Entries,,en,['American drama'],,NOT_MATURE,,1973,
288,Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5,NOT_MATURE,Knopf Books for Young Readers,09/09/2014,240
289,Tales From Boilermaker Country: A Collection of the Greatest Stories Ever Told,['Doug Griffiths'],en,['Music'],,NOT_MATURE,Simon and Schuster,31/01/2012,999
290,War Football,['Chris Serb'],en,['Sports & Recreation'],,NOT_MATURE,Rowman & Littlefield,26/06/2019,296
291,African Americans in Sports,['David K. Wiggins'],en,['History'],,NOT_MATURE,Routledge,26/03/2015,488
292,Black Champions of the Gridiron,['Andrew Sturgeon Young'],en,['Football'],,NOT_MATURE,,1969,120
293,Football's Most Wanted,['Floyd Conner'],en,['Sports & Recreation'],,NOT_MATURE,"Potomac Books, Inc.",2011,300
294,The USA TODAY College Football Encyclopedia 2008-2009,"['Bob Boyles', 'Paul Guido']",en,['Biography & Autobiography'],3,NOT_MATURE,Skyhorse Publishing Inc.,04/08/2008,1335
295,ESPN college football encyclopedia,"['Michael MacCambridge', 'ESPN (Television network)']",en,['Reference'],5,NOT_MATURE,ESPN Books,01/09/2005,1629
296,The Howitzer,,en,,,NOT_MATURE,,1913,
297,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,09/09/2003,176
298,American Book Publishing Record,,en,['American literature'],,NOT_MATURE,,1970,
299,"Casenote Legal Briefs for Sports Law, Keyed to Weiler, Roberts, Abrams, and Ross",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,28/02/2011,180
300,"Casenote Legal Briefs for Taxation, Keyed to Freeland, Lathrope, and Stephens",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,15/11/2013,156
301,School Activities,,en,,,NOT_MATURE,,1960,
302,"Casenote Legal Briefs for Torts, Keyed to Goldberg Sebok and Ziprusky",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,20/07/2016,189
303,School Activities and the Library,,en,['School libraries'],,NOT_MATURE,,1960,
304,"Casenote Legal Briefs for Contracts, Keyed to Calamari, Periilo, Bender, and Brown",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,11/10/2011,144
305,Contracts,['Aspen Publishers'],en,['Law'],,NOT_MATURE,Aspen Publishers Online,17/12/2007,275
306,Higher Education Exchange 78/79,['Janet A. Mitchell'],en,['Universities and colleges'],,NOT_MATURE,,1978,766
307,A Multiple-continuous Offense for High School Basketball,"['James Cathcart', 'Jim Cathcart']",en,['Basketball'],,NOT_MATURE,,1968,205
308,The Coaching Clinic,,en,['Coaching (Athletics)'],,NOT_MATURE,,1970,
309,Cumulative List of Organizations Described in Section 170 (c) of the Internal Revenue Code of 1986,,en,"['Charitable uses, trusts, and foundations']",,NOT_MATURE,,2003,
310,Cumulative List of Organizations Described in Section 170 (c) of the Internal Revenue Code of 1954,,en,"['Charitable uses, trusts, and foundations']",,NOT_MATURE,,2003,
311,Our Ewing family,['Laura Dingle Ewing'],en,,,NOT_MATURE,,1978,503
312,Century of American Savings Banks,['James Hilton Manning'],en,['Savings banks'],,NOT_MATURE,,1917,
313,Best books on the stock market,['Sheldon Zerden'],en,['Business & Economics'],,NOT_MATURE,R. R. Bowker,1972,168
314,Cracks in My Foundation,['Marian Keyes'],en,['Fiction'],3,NOT_MATURE,Harper Collins,13/10/2009,368
315,"Guide to U.S. Foundations, Their Trustees, Officers, and Donors",,en,"['Charitable uses, trusts, and foundations']",5,NOT_MATURE,,2006,
316,Corporate Giving Directory,['Verne Thompson'],en,['Business & Economics'],,NOT_MATURE,Information Today Incorporated,2006-11,1500
317,The Foundation Directory,,en,['Endowments'],,NOT_MATURE,,1960,
318,Key and allied families,['Janie Warren Hollingsworth Lane'],en,,,NOT_MATURE,,1931,495
319,Text Processing in Python,['David Mertz'],en,['Computers'],4.5,NOT_MATURE,Addison-Wesley Professional,2003,520
320,Python in a Nutshell,['Alex Martelli'],en,['Computers'],3.5,NOT_MATURE,"""O'Reilly Media, Inc.""",14/07/2006,738
321,Programming Python,['Mark Lutz'],en,['Computers'],2,NOT_MATURE,"""O'Reilly Media, Inc.""",14/12/2010,1632
322,Mastering Python for Networking and Security,['José Manuel Ortega'],en,['Computers'],,NOT_MATURE,Packt Publishing Ltd,28/09/2018,426
323,SAS Viya,"['Kevin D. Smith', 'Xiangxiang Meng']",en,['Computers'],,NOT_MATURE,SAS Institute,08/02/2018,306
324,Python Essential Reference,['David Beazley'],en,['Computers'],4,NOT_MATURE,Addison-Wesley Professional,29/06/2009,744
325,Python Programming for Arduino,['Pratik Desai'],en,['Computers'],,NOT_MATURE,Packt Publishing Ltd,27/02/2015,400
326,Effective Python,['Brett Slatkin'],en,['Computers'],,NOT_MATURE,Addison-Wesley Professional,12/02/2015,256
327,Programming with Python,['Tim Altom'],en,['Computers'],,NOT_MATURE,Premier Press,1999,372
328,"Game Programming with Python, Lua, and Ruby",['Tom Gutschmidt'],en,['Computers'],,NOT_MATURE,Course Technology,2003,437
329,Python Web Scraping Cookbook,['Michael Heydt'],en,['Computers'],,NOT_MATURE,Packt Publishing Ltd,09/02/2018,364
330,Topics in Cryptology – CT-RSA 2018,['Nigel P. Smart'],en,['Computers'],,NOT_MATURE,Springer,04/07/2018,514
331,Python All-in-One For Dummies,"['John Shovic', 'Alan Simpson']",en,['Computers'],,NOT_MATURE,John Wiley & Sons,07/05/2019,704
332,"Understanding the Interactive Digital Media Marketplace: Frameworks, Platforms, Communities and Issues","['Sharma, Ravi S.']",en,['Computers'],,NOT_MATURE,IGI Global,31/10/2011,427
333,Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,19/04/2016,425
334,the scientific review and scientific and literary review,,en,,,NOT_MATURE,,1881,
335,Engineering and Mining Journal,,en,['Engineering'],,NOT_MATURE,,1892,
336,يوميات آن فرانك,,en,,,NOT_MATURE,,2009,
337,Paper Trade Journal,,en,['Paper industry'],,NOT_MATURE,,1951,
338,American Machinist,,en,['Machinery'],,NOT_MATURE,,1890,
339,Academic Press Dictionary of Science and Technology,"['Christopher G. Morris', 'Academic Press']",en,['Computers'],,NOT_MATURE,Gulf Professional Publishing,1992,2432
340,Computer Programming And Operating Guide,['Shashank Johri'],en,,,NOT_MATURE,Diamond Pocket Books (P) Ltd.,,160
341,Programming Amazon Web Services,['James Murty'],en,['Computers'],3.5,NOT_MATURE,"""O'Reilly Media, Inc.""",25/03/2008,604
342,Structured Programming with COBOL Examples,['Earl H. Parsons'],en,['Computers'],,NOT_MATURE,iUniverse,01/11/2002,196
343,Planning a library building: the major steps,['American Library Association. Buildings Committee'],en,['Architecture'],,NOT_MATURE,,1955,80
344,Concurrent Programming on Windows,['Joe Duffy'],en,['Computers'],,NOT_MATURE,Pearson Education,28/10/2008,1008
345,Modula-2 Programming,['B. J. Holmes'],en,['Computers'],,NOT_MATURE,Cengage Learning EMEA,1994,456
346,Dictionary of Acronyms and Technical Abbreviations,['J. Vlietstra'],en,['Computers'],,NOT_MATURE,Springer Science & Business Media,23/02/2001,696
347,MOS databook,['National Semiconductor Corporation'],en,['Technology & Engineering'],,NOT_MATURE,,1980,883
348,Michigan Education Directory and Buyer's Guide,['Henry Romaine Pattengill'],en,['Education'],,NOT_MATURE,,1970,
349,"Solar Heating and Cooling Demonstration Act of 1974, Oversight Hearings",['Fusion Advisory Panel (U.S.)'],en,['Solar air conditioning'],,NOT_MATURE,,1975,979
350,"Solar Heating and Cooling Demonstration Act of 1974, Oversight Hearings","['United States. Congress. House. Committee on Science and Technology. Subcommittee on Energy Research, Development, and Demonstration']",en,['Solar air conditioning'],,NOT_MATURE,,1975,979
351,New Scientist,,en,,,NOT_MATURE,,15/01/1976,56
352,Solar Home Heating and Cooling Demonstration Act,"['United States. Congress. Senate. Committee on Banking, Housing, and Urban Affairs. Subcommittee on Housing and Urban Affairs']",en,['Energy conservation'],,NOT_MATURE,,1974,124
353,Consumer Handbook of Solar Energy for the United States and Canada,['John H. Keyes'],en,['Solar energy'],,NOT_MATURE,"Dobbs Ferry, N.Y. : Morgan & Morgan",01/01/1979,273
354,Disposal of brine by solar evaporation,"['Conrad G. Keyes', 'United States. Office of Saline Water', 'New Mexico State University']",en,['Technology & Engineering'],,NOT_MATURE,,1970,152
355,New Scientist,,en,['Science'],,NOT_MATURE,,1976,
356,Solar Energy in Developing Countries,['A. Eggers-Lura'],en,['Developing countries'],,NOT_MATURE,Pergamon,1979-01,205
357,Alternative Sources of Energy,,en,['Power (Mechanics)'],,NOT_MATURE,,1978,
358,Architecture Series: Bibliography,,en,['Architecture'],,NOT_MATURE,,1981,
359,Bulletin,,en,['Geology'],,NOT_MATURE,,1913,
360,The Nature of Symbiotic Stars,"['M. Friedjung', 'Roberto Viotti']",en,['Science'],,NOT_MATURE,Springer Science & Business Media,06/12/2012,329
361,Mineral Resources of Southwestern Oregon,['Joseph Silas Diller'],en,['Geology'],,NOT_MATURE,,1913,147
362,Geological Survey Bulletin,,en,['Geology'],,NOT_MATURE,,1949,
363,A Life of Barbara Stanwyck,['Victoria Wilson'],en,['Biography & Autobiography'],2.5,NOT_MATURE,Simon and Schuster,12/11/2013,1056
364,From the Dreadnought to Scapa Flow,['Arthur J Marder'],en,['History'],,NOT_MATURE,Seaforth Publishing,13/06/2014,425
365,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
366,Leonard Maltin's movie encyclopedia,"['Leonard Maltin', 'Spencer Green', 'Luke Sader']",en,['Biography & Autobiography'],,NOT_MATURE,E P Dutton,01/11/1994,976
367,From the Dreadnought to Scapa Flow: Victory and aftermath,['Arthur Jacob Marder'],en,['Great Britain'],,NOT_MATURE,,1970,416
368,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,09/09/2003,176
369,Princeton Alumni Weekly,,en,,,NOT_MATURE,princeton alumni weekly,1918,
370,Black Champions of the Gridiron,['Andrew Sturgeon Young'],en,['Football'],,NOT_MATURE,,1969,120
371,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,24/12/2008,320
372,Indian Gaming Regulatory Act,['United States. Congress. Senate. Committee on Indian Affairs (1993- )'],en,['Gambling on Indian reservations'],,NOT_MATURE,,2003,
373,The Eisenhowers,['Steve Neal'],en,['Biography & Autobiography'],,NOT_MATURE,,1984,508
374,Code of Federal Regulations,,en,['Administrative law'],,NOT_MATURE,,2006,
375,List of C.F.R. Sections Affected,,en,['Administrative law'],,NOT_MATURE,,,
376,American Lawn Tennis,,en,['Tennis'],,NOT_MATURE,,1898,
377,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
378,Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,24/12/2008,320
379,Sammy Keyes and the Sisters of Mercy,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,24/12/2008,240
380,Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],,NOT_MATURE,CRC Press,19/04/2016,425
381,Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Knopf Books for Young Readers,12/10/2010,304
382,Soil Conservation,,en,['Soil conservation'],,NOT_MATURE,,1979-08,
383,The Phone Book,,en,['Johannesburg (South Africa)'],,NOT_MATURE,,2001,
384,National Petroleum News,,en,['Petroleum'],,NOT_MATURE,,1979,
385,The Keyes of the Kingdom of Heaven,['John Cotton'],en,['Congregational churches'],,NOT_MATURE,,1843,108
386,Marconi's International Register,,en,"['Cables, Submarine']",,NOT_MATURE,,1998,
387,NPN Fact Book,,en,['Petroleum industry and trade'],,NOT_MATURE,,1979,
388,Who's who Among Students in American Universities and Colleges,['Henry Pettus Randall'],en,['Students'],,NOT_MATURE,,1995,
389,Smart Phone and Next Generation Mobile Computing,"['Pei Zheng', 'Lionel Ni']",en,['Computers'],,NOT_MATURE,Elsevier,19/07/2010,350
390,Smartphones,"['Mohammad Ilyas', 'Syed A. Ahson']",en,['Technology & Engineering'],,NOT_MATURE,Intl. Engineering Consortiu,2006,249
391,Casenote Legal Briefs for Criminal Procedure Keyed to Dressler and Thomas,['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,05/06/2017,228
392,"The Complete Book of Locks and Locksmithing, Seventh Edition",['Bill Phillips'],en,['Technology & Engineering'],5,NOT_MATURE,McGraw Hill Professional,21/10/2016,
393,"Casenote Legal Briefs for Contracts, Keyed to Knapp, Crystal, and Prince",['Casenote Legal Briefs'],en,['Law'],,NOT_MATURE,Wolters Kluwer Law & Business,07/05/2019,204
394,Asia Electronics Industry,,en,['Computer industry'],,NOT_MATURE,,2003,
395,Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Yearling,16/01/2009,304
396,Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5,NOT_MATURE,Knopf Books for Young Readers,09/09/2003,176
397,Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,24/12/2008,320
398,The Phone Book,,en,['Johannesburg (South Africa)'],,NOT_MATURE,,2001,
399,Politics in Pacific Asia,"['X. Huang', 'Jason Young']",en,['Political Science'],,NOT_MATURE,Palgrave,04/11/2016,328
400,"Music, Education, and Religion","['Alexis Anja Kallio', 'Philip Alperson', 'Heidi Westerlund']",en,['Music'],,NOT_MATURE,Indiana University Press,01/10/2019,344
401,Religious Commodifications in Asia,['Pattana Kitiarsa'],en,['Religion'],,NOT_MATURE,Routledge,09/11/2007,288
402,The Riddle of Barack Obama,['Avner Falk'],en,['Biography & Autobiography'],1,NOT_MATURE,ABC-CLIO,2010,335
403,Asian Visions of Authority,['Joint Committee on Southeast Asia'],en,['Religion'],5,NOT_MATURE,University of Hawaii Press,1994,366
404,Arguing About Religion,['Kevin Timpe'],en,['Religion'],,NOT_MATURE,,14/01/2009,633
405,Readings in philosophy of religion,['Andrew Eshleman'],en,['Philosophy'],,NOT_MATURE,Wiley-Blackwell,02/05/2008,512
406,United States Political Science Documents,,en,['Political science'],,NOT_MATURE,,1981,
407,"Religion, Ethnicity and Modernity in Southeast Asia",['Myung-Seok Oh'],en,"['Asia, Southeastern']",,NOT_MATURE,,1998,257
408,Directory of departments and programs of religious studies in North America,"['David G. Truemper', 'Council of Societies for the Study of Religion']",en,['Religion'],,NOT_MATURE,,2002,489
409,Blasphemy,['Alan Dershowitz'],en,['Political Science'],,NOT_MATURE,John Wiley & Sons,04/06/2007,195
410,Whose God Rules?,"['N. Walker', 'E. Greenlee']",en,['Social Science'],,NOT_MATURE,Springer,14/12/2011,263
411,"Atheism and Arithmetic, Or, Mathematical Law in Nature",['Horace Lorenzo Hastings'],en,['God'],,NOT_MATURE,,1885,63
412,Atheism And The Case Against Christ,['Matthew S. Mccormick'],en,['Religion'],,NOT_MATURE,Prometheus Books,25/09/2012,332
413,America Declares Independence,['Alan Dershowitz'],en,['History'],5,NOT_MATURE,John Wiley & Sons Incorporated,31/03/2003,196
414,Gods Arrow Against Atheists,['Henry Smith'],en,['Christianity and atheism'],,NOT_MATURE,,1617,96
415,Gods Arrow Againste Atheists,['Henry Smith'],en,['Apologetics'],,NOT_MATURE,,1607,100
416,The Indian Libertarian,,en,['Economic history'],,NOT_MATURE,,1972,
417,Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],,NOT_MATURE,Routledge,07/06/2006,184
418,"101 Proofs that the Bible is True, an Answer to Atheism",['Charles Orville Benham'],en,['Bible'],,NOT_MATURE,,1944,143
419,Bulletin of the United States Geological Survey,,en,['Geology'],,NOT_MATURE,,1898,
420,Get Rommel,['Michael Asher'],en,['History'],3.5,NOT_MATURE,Hachette UK,01/12/2011,320
421,Annual Report of the Commissioner of Patents,['United States. Patent Office'],en,,,NOT_MATURE,,1872,
422,Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4,NOT_MATURE,Knopf Books for Young Readers,12/10/2010,304
423,The Bloody Man,['Bevan Amberhill'],en,['Fiction'],,NOT_MATURE,"Stratford, Ont. : Mercury Press",1993,216
424,Self-instruction in Practical Business Qualifications,['Charles Stewart Macnair'],en,,,NOT_MATURE,,1890,244
425,1000 Helpful Hints & Valuable Suggestions for Book-keepers and Business Men,"['Book-keeper publishing co., Detroit']",en,['Bookkeeping'],,NOT_MATURE,,1895,104
426,The Railway Agent and Station Agent,,en,,,NOT_MATURE,,1891,
427,Devonshire Scream,['Laura Childs'],en,['Fiction'],4,NOT_MATURE,Penguin,01/03/2016,320
428,Gaywyck,['Vincent Virga'],en,['Fiction'],3.5,NOT_MATURE,Alyson Publications,1980,385
429,Decisions and Orders of the National Labor Relations Board,['United States. National Labor Relations Board'],en,['Labor laws and legislation'],,NOT_MATURE,,1993,
430,Food Shortages: Sugar,['United States. Congress. House. Special Committee to Investigate Food Shortages'],en,['Meat industry and trade'],,NOT_MATURE,,1945,
431,Biennial Report of the Dairy and Food Commissioner of Wisconsin for the Years ...,['Wisconsin Dairy and Food Commission'],en,,,NOT_MATURE,,1893,
432,Food Shortages,['United States. Congress. House. Special Committee to Investigate Food Shortages'],en,['Meat industry and trade'],,NOT_MATURE,,1945,
433,Annual Report of the Dairy and Food Commissioner of Wisconsin,['Wisconsin Dairy and Food Commission'],en,['Dairy products'],,NOT_MATURE,,1890,
434,Biennial Report of the Dairy and Food Commissioner of Wisconsin,['Wisconsin. Dairy and Food Commission'],en,,,NOT_MATURE,,1893,
435,"Food in the Movies, 2d ed.",['Steve Zimmerman'],en,['Performing Arts'],,NOT_MATURE,McFarland,28/07/2010,483
436,Chilton's Food Engineering,,en,['Food industry and trade'],,NOT_MATURE,,1984,
437,Sammy Keyes and the Hotel Thief,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5,NOT_MATURE,Yearling,09/09/2003,192
438,Child Psychopathology,['Jeffrey Haugaard'],en,['Psychology'],,NOT_MATURE,McGraw-Hill Humanities/Social Sciences/Languages,12/10/2007,792
439,Directory of Historic House Museums in the United States,"['Patricia Chambers Walker', 'Thomas Graham']",en,['History'],,NOT_MATURE,Rowman & Littlefield,2000,488
