id,compound_id,species_text,species_accession,component_text,component_accession,strain_text,source_type,source_accession,comments
4897,69553,Styrax agrestis,NCBI:txid153522,ripe fruit,PO:0007038,,PubMed Id,21939219,"Dried, powdered fruits were extracted with ethylacetate."
4898,69554,Styrax agrestis,NCBI:txid153522,ripe fruit,PO:0007038,,PubMed Id,21939219,"Dried, powdered fruits were extracted with ethylacetate."
4899,69555,Styrax agrestis,NCBI:txid153522,ripe fruit,PO:0007038,,PubMed Id,21939219,"Dried, powdered fruits were extracted with ethylacetate."
4900,69556,Styrax agrestis,NCBI:txid153522,ripe fruit,PO:0007038,,PubMed Id,21939219,"Dried, powdered fruits were extracted with ethylacetate."
4901,69557,Styrax agrestis,NCBI:txid153522,ripe fruit,PO:0007038,,PubMed Id,21939219,"Dried, powdered fruits were extracted with ethylacetate."
4902,69558,Styrax agrestis,NCBI:txid153522,ripe fruit,PO:0007038,,PubMed Id,21939219,"Dried, powdered fruits were extracted with ethylacetate."
4903,69559,Lobophytum cristatum,WORMS:288778,,,,PubMed Id,21954851,small frozen pieces of sample were extracted with acetone.
4904,69560,Lobophytum cristatum,WORMS:288778,,,,PubMed Id,21954851,small frozen pieces of sample were extracted with acetone.
4905,69561,Lobophytum cristatum,WORMS:288778,,,,PubMed Id,21954851,small frozen pieces of sample were extracted with acetone.
4906,69562,Lobophytum cristatum,WORMS:288778,,,,PubMed Id,21954851,small frozen pieces of sample were extracted with acetone.
4907,69563,Lobophytum cristatum,WORMS:288778,,,,PubMed Id,21954851,small frozen pieces of sample were extracted with acetone.
4908,69564,Lobophytum cristatum,WORMS:288778,,,,PubMed Id,21954851,small frozen pieces of sample were extracted with acetone.
4909,69565,Daphne genkwa,IPNI:831227-1,flower,BTO:0000469,,PubMed Id,21916433,Isolated from chloroform soluble extract of flowers
4910,69566,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4911,69567,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4912,69568,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4913,69569,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4914,69570,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4915,69571,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4916,69572,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4917,69573,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4918,69574,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4919,69575,Alpinia katsumadai,IPNI:871977-1,seed,BTO:0001226,,PubMed Id,21942765,Methanolic extract of seeds
4920,69576,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4921,69577,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4922,69578,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4923,3087,Mimosa diplotricha,NCBI:txid512270,aerial part,BTO:0001658,,PubMed Id,21875046,Ethanolic extract of aerial parts
4924,3087,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4925,37659,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4926,69579,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4927,69579,Kalopanax pictus,NCBI:txid46399,stem,BTO:0001300,,PubMed Id,21870831,Previous component: stem bark; Hot MeOH extract of dried stem bark
4928,69580,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4929,2781,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4930,2781,Cordyceps sinensis,NCBI:txid72228,mycelium,BTO:0001436,,PubMed Id,21848266,Ethanolic extract of dried mycelia
4931,69581,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4932,18414,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4933,30746,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4934,30746,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
4935,30746,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
4936,30746,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
4937,30746,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
4938,132788,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4939,69583,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4940,69584,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4941,69585,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4942,69586,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4943,69587,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4944,69588,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4945,69589,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4946,69590,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4947,69591,Paeonia rockii subsp. rockii,NCBI:txid459179,root,BTO:0001188,,PubMed Id,21954959,Isolated from chloroform soluble extract of air-dried and powdered roots
4948,69592,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4949,69592,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4950,69593,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4951,69593,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4952,69594,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4953,69594,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4954,69595,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4955,69595,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4956,69596,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4957,69596,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4958,69597,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4959,69597,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4960,69598,Cordyceps sinensis,NCBI:txid72228,mycelium,BTO:0001436,,PubMed Id,21848266,Ethanolic extract of dried mycelia
4961,69598,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4962,69598,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4963,69599,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4964,69599,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4965,69600,Marinactinospora thermotolerans,NCBI:txid531310,spore,BTO:0001171,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4966,69600,Marinactinospora thermotolerans,NCBI:txid531310,mycelium,BTO:0001436,SCSIO 00652,PubMed Id,21977916,Crude extract of fermented medium inoculated with spores and mycelia
4967,69601,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4968,69602,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4969,69603,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4970,69604,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4971,69605,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4972,69606,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4973,69607,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4974,69608,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4975,65424,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4976,69609,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4977,65429,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4978,66425,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4979,69611,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4980,69612,Lysimachia clethroides,NCBI:txid167892,aerial part,BTO:0001658,,PubMed Id,21928797,"Air-dried, powdered aerial parts were extracted with 70\% aqueous ethyl alcohol."
4981,69613,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4982,69614,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4983,69615,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4984,69616,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4985,69617,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4986,69618,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4987,69619,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4988,69620,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4989,69621,Trichothecium species MSX 51320,NCBI:txid1094547,,,,PubMed Id,21978324,Mycosynthetix fungal strain was isolated by Dr.Barry Katz from leaf litter
4990,69622,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4991,69623,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4992,69624,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4993,69625,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4994,69626,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4995,69627,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4996,69628,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4997,69629,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4998,69630,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
4999,69631,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
5000,69632,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
5001,69633,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
5002,69634,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
5003,69635,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
5004,69636,Moelleriella,NCBI:txid511189,,,,PubMed Id,21995505,
5005,69636,Aschersonia,NCBI:txid100986,,,,PubMed Id,21995505,
5006,69636,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
5007,69637,Hypocrella,NCBI:txid42305,mycelium,BTO:0001436,BCC 14524,PubMed Id,21995505,The fungus was isolated form scale insect
5008,69637,Moelleriella,NCBI:txid511189,,,,PubMed Id,21995505,
5009,69637,Aschersonia,NCBI:txid100986,,,,PubMed Id,21995505,
5010,69638,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5011,69639,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5012,69640,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5013,69641,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5014,69642,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5015,69643,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5016,69644,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5017,69645,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5018,69646,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5019,69647,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5020,69648,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5021,69649,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5022,69650,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5023,69651,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5024,69652,Lonicera japonica,NCBI:txid105884,flower bud,BTO:0000470,,PubMed Id,21942812,Air dried flower bud.
5025,69653,Solanum campaniforme,IPNI:818569-1,leaf,BTO:0000713,,PubMed Id,21962208,Dried leaves were extracted with ethyl alcohol.
5026,69654,Solanum campaniforme,IPNI:818569-1,leaf,BTO:0000713,,PubMed Id,21962208,Dried leaves were extracted with ethyl alcohol.
5027,69655,Solanum campaniforme,IPNI:818569-1,leaf,BTO:0000713,,PubMed Id,21962208,Dried leaves were extracted with ethyl alcohol.
5028,16433,Solanum campaniforme,IPNI:818569-1,leaf,BTO:0000713,,PubMed Id,21962208,Dried leaves were extracted with ethyl alcohol.
5029,69656,Solanum campaniforme,IPNI:818569-1,leaf,BTO:0000713,,PubMed Id,21962208,Dried leaves were extracted with ethyl alcohol.
5030,15760,Solanum campaniforme,IPNI:818569-1,leaf,BTO:0000713,,PubMed Id,21962208,Dried leaves were extracted with ethyl alcohol.
5031,69657,Solanum campaniforme,IPNI:818569-1,leaf,BTO:0000713,,PubMed Id,21962208,Dried leaves were extracted with ethyl alcohol.
5032,69658,Athroisma proteiforme,IPNI:182889-1,aerial part,BTO:0001658,,PubMed Id,21995542,"Ethyl alcohol extract of dried, ground aerial parts."
5033,69659,Athroisma proteiforme,IPNI:182889-1,aerial part,BTO:0001658,,PubMed Id,21995542,"Ethyl alcohol extract of dried, ground aerial parts."
5034,69660,Athroisma proteiforme,IPNI:182889-1,aerial part,BTO:0001658,,PubMed Id,21995542,"Ethyl alcohol extract of dried, ground aerial parts."
5035,69661,Athroisma proteiforme,IPNI:182889-1,aerial part,BTO:0001658,,PubMed Id,21995542,"Ethyl alcohol extract of dried, ground aerial parts."
5036,69662,Athroisma proteiforme,IPNI:182889-1,aerial part,BTO:0001658,,PubMed Id,21995542,"Ethyl alcohol extract of dried, ground aerial parts."
5037,69663,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5038,69664,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5039,69665,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5040,69666,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5041,69667,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5042,69668,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5043,69669,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5044,69670,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5045,69671,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5046,69672,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5047,69673,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5048,69674,Acorus gramineus,NCBI:txid55184,rhizome,BTO:0001181,,PubMed Id,21936523,80\% aqueous methanolic extract of rhizomes.
5049,69675,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5050,69675,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5051,69675,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5052,69675,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5053,69676,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5054,69676,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5055,69676,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5056,69676,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5057,69677,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5058,69677,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5059,69677,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5060,69677,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5061,69678,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5062,69678,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5063,69678,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5064,69678,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5065,69679,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5066,69679,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5067,69679,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5068,69679,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5069,69680,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5070,69680,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5071,69680,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5072,69680,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5073,69681,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5074,69681,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5075,69681,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5076,69681,Piper sarmentosum,NCBI:txid405319,stem,BTO:0001300,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5077,69682,Piper sarmentosum,NCBI:txid405319,inflorescence,BTO:0000628,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5078,69682,Piper sarmentosum,NCBI:txid405319,twig,BTO:0001411,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
5079,69682,Piper sarmentosum,NCBI:txid405319,leaf,BTO:0000713,,PubMed Id,21973101,"Chloroform soluble extract of aerial parts(leaves, twigs, stems, inflorescence)"
