DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06870087994366, 49.25260441880803], [-123.06869195916694, 49.252612519812004]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.160048645722, 49.26482178254282], [-123.16023146780158, 49.26482612570247]]}"
150;1927-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17212869093325, 49.26314481059375], [-123.17212105431608, 49.263320219575235]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1463348312986, 49.27361144478708], [-123.1463393369459, 49.27350802135311]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14633471563478, 49.27361417047685], [-123.1463348312986, 49.27361144478708]]}"
200;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07151924345783, 49.23675267381226], [-123.0717982374189, 49.23675670153486]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14576701732156, 49.26459539262364], [-123.14557284896632, 49.264592704986356]]}"
200;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06619142322832, 49.20763467210983], [-123.06617221257142, 49.20877386479778]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05752888267398, 49.2847535520874], [-123.05709490102299, 49.28475160849046]]}"
150;1986-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05762541162461, 49.28475395374841], [-123.05752888267398, 49.2847535520874]]}"
150;1986-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05778097306265, 49.28475572907227], [-123.05762541162461, 49.28475395374841]]}"
300;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14574838211456, 49.27063485753238], [-123.14572169865015, 49.27063439645198]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06984380394971, 49.22630801313338], [-123.06987801837379, 49.22533573935127]]}"
650;;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.07162613160422, 49.25254901279657], [-123.06828576673351, 49.25249898004161], [-123.06787454528228, 49.25222398655029], [-123.06515666745493, 49.251496272593705]]}"
200;1975-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0726390033362, 49.284380952965435], [-123.07257248692515, 49.284498831515066]]}"
150;1970-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0910270381988, 49.266117046929665], [-123.09093952057924, 49.266116405224096]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05460294510648, 49.239723753894914], [-123.05459030605296, 49.23972366092036]]}"
150;1944-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05581793325632, 49.239736198356624], [-123.055377876427, 49.23973493491801]]}"
250;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15358705176946, 49.24216005967701], [-123.15356644273008, 49.242159727264045]]}"
75;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15222550361187, 49.24213624330557], [-123.15222872702277, 49.242067515409204]]}"
200;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.2148313919088, 49.272643742724085], [-123.2148320085581, 49.272627460267564]]}"
200;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.21177925750214, 49.272423624660256], [-123.21177603036294, 49.272308815854366]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17111109964107, 49.26405407367108], [-123.17025016066218, 49.264039477929884]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15104147000386, 49.26634666790184], [-123.15060160852212, 49.26633915538062]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0545195606918, 49.20586027862513], [-123.0545072046559, 49.20586001459779]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06979321440768, 49.22756148850411], [-123.06984301108346, 49.22633014195984]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16770377614526, 49.25470080663283], [-123.16770558173774, 49.25459287032653]]}"
150;1939-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19536921895933, 49.240551114974025], [-123.19463281270626, 49.240545170779214]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16244426140777, 49.23942403196869], [-123.16242699192615, 49.23942375041218]]}"
150;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16297224909752, 49.22734796630143], [-123.16297186339337, 49.227355972632104]]}"
150;1954-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06137447419425, 49.226289507624735], [-123.0613031097951, 49.22628857403012]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14903090634841, 49.2725856231901], [-123.14903579340402, 49.27245555537314]]}"
150;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15036392944198, 49.270642750922974], [-123.15036491535909, 49.27060982721788]]}"
300;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14572169865015, 49.27063439645198], [-123.14553336224627, 49.27063157545553]]}"
300;1946-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14527835204875, 49.2706277585788], [-123.14527436555669, 49.270627763591065]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14778450573459, 49.216044109720826], [-123.1460364952954, 49.216016441564584]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19387499899774, 49.26268351722016], [-123.19387693128213, 49.26262593562085]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05415618944879, 49.23883515328486], [-123.05415669774797, 49.238797462978]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05415746201491, 49.238742591636395], [-123.05415759054006, 49.23873449585724]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15314822214401, 49.262903650822], [-123.15308910185816, 49.26289743252399]]}"
200;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07142703654851, 49.236636242412594], [-123.07143461207278, 49.23665018036123]]}"
25;1983-01-01;Polyvinyl Chloride;"{""type"": ""LineString"", ""coordinates"": [[-123.06921956149613, 49.25641219916131], [-123.06924773636423, 49.25641398132109]]}"
200;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07092137452838, 49.25631310120056], [-123.07092269787823, 49.25627756928438]]}"
200;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07143197166458, 49.23672439278052], [-123.07143462374779, 49.23665827607623]]}"
300;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07143132372228, 49.23675137892151], [-123.07142796466597, 49.236803553429425]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20605125379493, 49.260168961162584], [-123.20332032273518, 49.2601269701366]]}"
200;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15265569133535, 49.272220129825264], [-123.1526698976134, 49.27174975229322]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18161924120939, 49.24991220893633], [-123.18161099507839, 49.24991176314234]]}"
200;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06563701019098, 49.27123019193154], [-123.06554628095822, 49.27122961377226]]}"
200;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18972605343521, 49.24052728300543], [-123.18834945496876, 49.24052340080155]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07116342855315, 49.26596147396064], [-123.07154612900419, 49.26596461081886]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17588361648122, 49.26582779644726], [-123.17588428455612, 49.265822398306405]]}"
150;;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.06126518756044, 49.28657881142767], [-123.06127453834834, 49.28657889642137]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19929627013859, 49.227297567211465], [-123.19923984029019, 49.227281841875424]]}"
200;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18856308710001, 49.22558709997999], [-123.18852943710024, 49.22558670513982]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07107133413685, 49.265960721077555], [-123.07116342855315, 49.26596147396064]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05660287381262, 49.285658482787795], [-123.05660336731331, 49.28560909906339]]}"
150;1952-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07382897152152, 49.21968248971468], [-123.07391230089803, 49.21966471573695]]}"
150;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07140927673667, 49.2577221799627], [-123.07125878923438, 49.2577209235934]]}"
200;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06067842666307, 49.218015720769955], [-123.06087685750968, 49.218018845668574]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05939395846933, 49.21868608659693], [-123.05939439948057, 49.21904265904916]]}"
150;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05979302044659, 49.28291836792573], [-123.05979340619105, 49.28289623959753]]}"
50;1991-01-01;Copper;"{""type"": ""LineString"", ""coordinates"": [[-123.20730942852609, 49.27014199352668], [-123.20730887207675, 49.27016338511573]]}"
300;1970-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14544606757906, 49.27063024614206], [-123.14527835204875, 49.2706277585788]]}"
150;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06074453654959, 49.217066675352704], [-123.06208951915504, 49.21707987592889]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14839427414252, 49.25820163399479], [-123.1483777816482, 49.258201385319815]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05653348745584, 49.29060150438204], [-123.05655941299064, 49.289846608646705]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05968591400196, 49.287491595031376], [-123.05968760904166, 49.287414865380406]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07304028649891, 49.22705985726138], [-123.07304081598843, 49.22704636403363]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06901428746448, 49.27660520596025], [-123.06912416316149, 49.276605086311044]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06840764765786, 49.276605854543696], [-123.06840802101249, 49.27673664430103]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05639876293414, 49.23885638844545], [-123.05560334233411, 49.23885203353275]]}"
800;1939-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.1587929101011, 49.25733107865101], [-123.15737732069256, 49.2573082966958]]}"
100;1912-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1514305899602, 49.27351981133405], [-123.15150213139539, 49.27264898282102]]}"
100;1912-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15149726200838, 49.27264803571499], [-123.15146068665112, 49.27264094148043]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15011861406049, 49.276135453760354], [-123.15014478849602, 49.27546446859103]]}"
300;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15270515220972, 49.219552462234205], [-123.15238174986256, 49.219551090253596]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19385642860888, 49.26272868635691], [-123.19375159375177, 49.26272704517161]]}"
200;1949-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06223710159713, 49.21446118073354], [-123.06019374806682, 49.2144466028341]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17514297626705, 49.250978266316466], [-123.17337995767875, 49.25097284781457]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17335453674075, 49.250972885961], [-123.17279731412009, 49.250971031145134]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17561607202619, 49.251002267044534], [-123.17561475043479, 49.251106172949946]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17446223683828, 49.2519675121222], [-123.17406358340921, 49.251970910940955]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19383607501074, 49.26090089300416], [-123.19385325580276, 49.26090113403562]]}"
150;1971-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15454374962053, 49.21725567212048], [-123.15454445760805, 49.21724051412469]]}"
150;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17803299296443, 49.25975066799008], [-123.17614921938731, 49.259720003189614]]}"
200;1958-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15264959641931, 49.27247246208502], [-123.15264870384651, 49.27245050599431]]}"
200;1967-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15274874536487, 49.266374080657805], [-123.1526944485038, 49.26637325290594]]}"
150;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1503974548976, 49.2695114171999], [-123.15039879363859, 49.26946343506552]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.0715422821682, 49.252502505479725], [-123.07141554373811, 49.25250234101967]]}"
150;1975-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18578970277926, 49.265197586740676], [-123.18575254741666, 49.265185952709594]]}"
200;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.21488000140158, 49.27134600479777], [-123.21488248176466, 49.27127457828927]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15246298778806, 49.251823356817134], [-123.15238321957473, 49.251582389971645]]}"
800;;<blank>;"{""type"": ""LineString"", ""coordinates"": [[-123.07171492751328, 49.22772729050315], [-123.0715981967038, 49.227727362911594]]}"
150;1962-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15089018933733, 49.259152496896576], [-123.15075536723428, 49.25915267289299]]}"
200;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20571732916358, 49.27141489851595], [-123.20571857890617, 49.27138485232271]]}"
150;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15095720676905, 49.222676138070476], [-123.15096168303133, 49.2226082538954]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15327472028407, 49.22402494962174], [-123.15262302349335, 49.22292538499521]]}"
150;1931-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19346739760319, 49.25112657288154], [-123.19344609823432, 49.251126428642195]]}"
200;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.19719662170742, 49.23011567235063], [-123.1972051498323, 49.22932849118982]]}"
200;1912-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14805344534427, 49.26709627366021], [-123.14805433324707, 49.267071445763065]]}"
150;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14574377889203, 49.265562856310304], [-123.14574442640753, 49.265549362686116]]}"
150;1976-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14557284896632, 49.264592704986356], [-123.14554502875959, 49.264592524149315]]}"
250;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1495813695601, 49.242089359737115], [-123.14953465560843, 49.24208852068733]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15259670809756, 49.22283096940389], [-123.15258702615122, 49.2228309821934]]}"
250;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14716047962084, 49.24204706988364], [-123.14687195165352, 49.24204150019517]]}"
150;1951-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17596781911095, 49.25763664538328], [-123.17451098491628, 49.257614127165766]]}"
150;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17616398241707, 49.25791744704722], [-123.1760004176949, 49.257914997759656]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16854372149324, 49.2666097245099], [-123.16849804301037, 49.2666090445309]]}"
150;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1938474884855, 49.2634007876258], [-123.19385070244032, 49.263494944107805]]}"
150;1926-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17870544164624, 49.25197487036364], [-123.17853712240414, 49.251982254815914]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05658154218642, 49.28674835690518], [-123.0565818332614, 49.286702301501585]]}"
300;1986-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05657682240984, 49.28747868586618], [-123.05657717535307, 49.28742660367622]]}"
300;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.05656067334434, 49.2892894295982], [-123.0565668715473, 49.28882932389885]]}"
150;1959-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11469324365103, 49.260351171456584], [-123.11431645111941, 49.2603296415377]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.21497921519807, 49.26570905578407], [-123.2149668438217, 49.265708898897685]]}"
200;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17884638945603, 49.24990619013744], [-123.17879134201044, 49.24988288773699]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17220902366124, 49.26332143777484], [-123.17212105431608, 49.263320219575235]]}"
150;1965-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17212105431608, 49.263320219575235], [-123.17027713815085, 49.263291495504035]]}"
200;1963-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14669024821218, 49.241922184290736], [-123.14663874195108, 49.24192674730011]]}"
150;1957-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06778481149162, 49.249291856828926], [-123.06778401833807, 49.248863054805526]]}"
150;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17998200748227, 49.26162883556982], [-123.17985628486433, 49.26163487823529]]}"
150;1966-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17985628486433, 49.26163487823529], [-123.17973534484919, 49.261633267392824]]}"
150;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.17973534484919, 49.261633267392824], [-123.17807713721147, 49.261607050354684]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.160448342918, 49.247152833461705], [-123.16046960848747, 49.24716854558675]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16048682497541, 49.24718132189091], [-123.16046960848747, 49.24716854558675], [-123.160448342918, 49.247152833461705]]}"
150;1982-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20019764092582, 49.23498643635783], [-123.2001859521002, 49.23498330827385]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20405098305335, 49.22938915750363], [-123.20338961353288, 49.228982109680736]]}"
200;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20297356980038, 49.22975084821856], [-123.20091996881168, 49.22889278176811]]}"
200;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20091996881168, 49.22889278176811], [-123.20088049623965, 49.22887629013031]]}"
150;1969-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.2014760044322, 49.228129815286145], [-123.20143376689524, 49.22811216826826]]}"
200;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14481934891266, 49.289882557612366], [-123.14465606482995, 49.28977661016474]]}"
300;1932-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07142796466597, 49.236803553429425], [-123.0714266338707, 49.23682379355724]]}"
300;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15629290211196, 49.21960293061163], [-123.15458726156739, 49.21957916647829]]}"
150;1968-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16008613679178, 49.22910389262401], [-123.1600799284773, 49.22909961948217]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15243275927297, 49.217209200978715], [-123.15136627317146, 49.21719715547365]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15110486523157, 49.217193773678886], [-123.14931348288276, 49.21716873051098]]}"
100;2001-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.07606247353154, 49.24647096292128], [-123.07604601636412, 49.246464092402874]]}"
150;1924-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14491463770749, 49.22713807262659], [-123.14492260831646, 49.226984675366815]]}"
150;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.12992974249369, 49.242425555360924], [-123.12991683070811, 49.24242655935806]]}"
150;1990-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15023104530934, 49.27344176072787], [-123.15023143085567, 49.273428384374775]]}"
100;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11952154584884, 49.2833208658885], [-123.11936675300723, 49.28322072968363]]}"
200;1947-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11535611899687, 49.28306792722429], [-123.11548621282711, 49.282981659473066]]}"
150;;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.19972955623605, 49.2641590412882], [-123.19970548765372, 49.26415867810736]]}"
150;;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.20074547964715, 49.26418065020309], [-123.20081237319705, 49.26423765354911]]}"
100;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.11758809108987, 49.25946370833122], [-123.117575721995, 49.25946372091912]]}"
150;1943-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10600221476692, 49.22027294778726], [-123.10597366343845, 49.22027236230542]]}"
150;1940-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16752459094447, 49.25546790932271], [-123.16664821108023, 49.255463338836286]]}"
200;1983-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10926056619898, 49.278394217531606], [-123.10922346456722, 49.27840324779084]]}"
100;1987-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10755722747987, 49.2809698405863], [-123.10758390089688, 49.280906399743756]]}"
200;1961-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1816961924641, 49.27202292782692], [-123.18162124352942, 49.27201530979063]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16029769960872, 49.25836613131041], [-123.16028532935405, 49.25836569871153]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16028532935405, 49.25836569871153], [-123.16027296055596, 49.25836571587014]]}"
150;1956-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.06754366829833, 49.25384820467775], [-123.06745238201891, 49.25377850907377]]}"
300;1928-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16028623935092, 49.258434510859324], [-123.16028532935405, 49.25836569871153]]}"
50;1941-01-01;Galvanized;"{""type"": ""LineString"", ""coordinates"": [[-123.18452148741072, 49.25276719361634], [-123.18454492617852, 49.252043481084904]]}"
150;1960-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.15738679564332, 49.2420599918675], [-123.15738674275885, 49.24204335074109]]}"
150;1908-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.162172115363, 49.27171125997551], [-123.16219194166248, 49.2710455515989]]}"
450;1939-01-01;Steel;"{""type"": ""LineString"", ""coordinates"": [[-123.17764920524256, 49.257836446763555], [-123.17765008944319, 49.25781476692596]]}"
150;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10736749953055, 49.253876609381564], [-123.1071880476932, 49.25387206251255]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1048962620207, 49.25379852518547], [-123.10470497945045, 49.253794228071506]]}"
150;1929-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10489946395306, 49.25379855825924], [-123.1048962620207, 49.25379852518547]]}"
200;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20568605869857, 49.272163003966675], [-123.20568668770214, 49.272148970336744]]}"
200;1966-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.20568668770214, 49.272148970336744], [-123.20571657909291, 49.27143287226102]]}"
200;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.2027936444351, 49.27133069056578], [-123.20279553830134, 49.271289669130056]]}"
200;1988-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.21492947272688, 49.26927575687306], [-123.2149088063062, 49.26926491111693]]}"
200;1988-01-01;Ductile Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.2149088063062, 49.26926491111693], [-123.21487877106698, 49.26924913541851]]}"
200;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18208888823334, 49.25800788323201], [-123.18193941678457, 49.25800739908811]]}"
200;1964-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.18030847541971, 49.257982124658874], [-123.1802792835108, 49.257981675475406]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10495272640738, 49.26037023488894], [-123.10495876947516, 49.26025809509809]]}"
100;1911-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.1068795563775, 49.260275350108145], [-123.1067971323908, 49.26027394211557]]}"
150;1930-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.14623547087244, 49.25620405695996], [-123.14611125095206, 49.25620377335419]]}"
150;1925-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.16001375074583, 49.23082561399921], [-123.16001350247362, 49.23083380002982]]}"
150;1953-01-01;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.13154755939772, 49.25701392287295], [-123.13153723918722, 49.25700898725324]]}"
150;;Cast Iron;"{""type"": ""LineString"", ""coordinates"": [[-123.10789603494058, 49.28218325307669], [-123.10800882947946, 49.282204457274844]]}"
