ACO;ShotsDate;Sex;ReceiptNumber;PitNumber;Name;KennelNumber;EnteredBy;DispositionDate;DateImpounded;Color;Code;Breed;ApproxWeight;AnimalID;Age category;Source;Status
23;2012-06-14;M;12-191730-DA;2001;Ajax Now Rufus;200;Brad Martin;2012-06-30 00:00:00;2012-06-24;Black & Tan;yellow;Rottie X Collie;30 lbs;23194;;TRANSFERRED;Sold
MA11;;F;12-191325-DI;2002;Lily;200;Mariana Ardeleanu;2012-06-25 00:00:00;2012-06-25;whit/black;;chihuahua X;;23195;;HOLDING STRAY;Redeemed
MA11;;M/N;12-191639DI;20064;Rejii;200;Mariana Ardeleanu;2012-06-27 00:00:00;2012-06-26;Black;;Lab;;23199;;OTHER;Redeemed
22;;F;12-191968-DI;20031;Frisky;200;Lori Fitzgerald;2012-06-30 00:00:00;2012-06-27;Black/Tan;;Pom X Aust Shepherd;30 lbs;23200;;HOLDING STRAY;Redeemed
ACO 22;;F/S;12-191575-DI;20078;Elouise;200;Toni Peterson;2012-06-27 00:00:00;2012-06-27;Black/White;;Pit Bull X;;23202;;HOLDING STRAY;Redeemed
KE;2012-07-05;F/S;12-192557DA -hs;20012;Trixie;200;Katie Ernst;2012-07-08 00:00:00;2012-06-27;Tricolour;yellow;Jack Russell;20;23206;;TRANSFERRED;Sold
25;;F;12-192467DI;20010;Teeka;200;Phillipe Dubrulle;2012-07-05 00:00:00;2012-07-03;Blk/Tan;;Rottweiler;65lbs;23221;;POLICE-DAY;Redeemed
;;F;12-192510DI;20085;Akira;200;Toni Peterson;2012-07-06 00:00:00;2012-07-04;Black/Tan;;German Shepherd;;23224;;BROUGHT-IN;Redeemed
3;;M/N;12-192302DI;20030;Brutus;200;Bob Cristofoli;2012-07-04 00:00:00;2012-07-04;Tan;;Min-Pin;10;23225;;COMPLAINT;Redeemed
Phil 25;;M;;0;Gio;200;Tammy Unrau;2012-07-05 00:00:00;2012-07-05;White;;Maltese X;8lbs;23227;;BROUGHT-IN;Redeemed
;;M/N;12-192588DI;20064;Reese;200;Toni Peterson;2012-07-06 00:00:00;2012-07-06;Reddish/Brown;;Lab;;23232;;BROUGHT-IN;Redeemed
12;2012-07-28;F/S;12-199043-DA -SM;10040;Dotty;200;Jeanette Nelson;2012-09-01 00:00:00;2012-07-08;White and tan;green;Jack Russell Terrier (wire);10 lbs;23234;;HOLDING STRAY;Sold
MA11;;M;12-193189DI;2004;Elvis;200;Mariana Ardeleanu;2012-07-12 00:00:00;2012-07-08;Black/Tan;;Chihuahua;4lbs;23237;;HOLDING STRAY;Redeemed
22;;M;12-192813-DI  hs;20085;Timba;200;Lori Fitzgerald;2012-07-09 00:00:00;2012-07-09;Tan/Black;;Husky X;50 lbs;23240;;HOLDING STRAY;Redeemed
22;;M/N;;400;Hurley;400;Lori Fitzgerald;2012-07-10 00:00:00;2012-07-10;Black/Tan;;Husky X;60 lbs;23243;;COMPLAINT;Ride Home Free
12;;F/S;12-193077DI;20045;Sophie;200;Jeanette Nelson;2012-07-11 00:00:00;2012-07-10;Golden;;Retreiver X;70 lbs;23245;;HOLDING STRAY;Redeemed
;;M/N;12-193185DI;20043;Max;200;Toni Peterson;2012-07-12 00:00:00;2012-07-12;Tan;;Pit Bull;;23249;;BROUGHT-IN;Redeemed
;;M/N;12-193212DI;20077;Simba;200;Toni Peterson;2012-07-12 00:00:00;2012-07-12;White;;Bichon;;23250;;BROUGHT-IN;Redeemed
15;2012-07-23;M/N;12-195030DA;20048;Copper;200;Ching Koo;2012-07-27 00:00:00;2012-07-12;Apricot;green;Poodle;10 lbs;23254;;HOLDING STRAY;Sold
21;;F;12-193290DI;20037;Sugaree;200;Guy Palanuik;2012-07-13 00:00:00;2012-07-13;Gray;;Husky mix;50Lbs;23257;;HOLDING STRAY;Redeemed
KE;2012-07-19;F/S;12-193907DA;20088;Butter;200;Katie Ernst;2012-07-19 00:00:00;2012-07-13;Yellow;yellow;Lab X Corgi;45;23261;;TRANSFERRED;Sold
KE;2012-07-28;F/S;12-195187-DA  hs;20080;Gracie;200;Katie Ernst;2012-07-28 00:00:00;2012-07-13;Tan;green;Chi X Papillion;10;23262;;TRANSFERRED;Sold
23;;M/N;12-193425-DI;20048;;200;Brad Martin;2012-07-14 00:00:00;2012-07-14;Black/Tan;;G/Shepherd  X;65 lbs;23264;;HOLDING STRAY;Redeemed
12;;M/N;12-193460DI-TB;20048;Yuki;200;Jeanette Nelson;2012-07-15 00:00:00;2012-07-14;White and tan;;Heeler X;60 lbs;23265;;COMPLAINT;Redeemed
KE;;M/N;12-193459DI-TB;20037;Harvey;200;Katie Ernst;2012-07-15 00:00:00;2012-07-14;White;;Shih Tzu X Maltese;25;23266;;BROUGHT-IN;Redeemed
MA11;;F/S;12-193462-DI  hs;20059;Sweet Thing;200;Mariana Ardeleanu;2012-07-15 00:00:00;2012-07-14;Golden;;Retriever;;23267;;HOLDING STRAY;Redeemed
11/26;;M/N;;12;Koby;400;Samantha  Law;2012-07-15 00:00:00;2012-07-15;Yellow;;Lab;80 lbs;23268;;HOLDING STRAY;Ride Home Free
MA11;;M;12-193734DI;20037;Rambo;200;Mariana Ardeleanu;2012-07-17 00:00:00;2012-07-15;Blue;;Pit Bull;;23269;;POLICE-EMERGENCY;Redeemed
;;M;;40077;Lewis;400;Toni Peterson;2012-07-20 00:00:00;2012-07-17;Tan;;Lab X;;23277;;BROUGHT-IN;Ride Home Free
3;;M;12-193966DI;20011;Toby;200;Bob Cristofoli;2012-07-18 00:00:00;2012-07-18;Black & White;;Shih Tzu;15;23282;;HOLDING STRAY;Redeemed
3;;F;12-194201-DI;20070;Harley;200;Bob Cristofoli;2012-07-20 00:00:00;2012-07-19;Black;;Pit Bull Terrier;40;23291;;HOLDING STRAY;Redeemed
ks19;;F;;40045;Bella;400;Karen Sinclair;2012-07-20 00:00:00;2012-07-19;Fawn;;Pug;20 lbs;23292;;HOLDING STRAY;Ride Home Free
3;2012-08-02;M/N;12-195971DA-TB;20056;Navarro (new name);200;Bob Cristofoli;2012-08-05 00:00:00;2012-07-20;Grey & White;Yellow;Husky;35;23295;;POLICE-NIGHT;Sold
3;2012-08-24;M/N;12-207522DA- hs;20060;Cubby;200;Bob Cristofoli;2012-09-23 00:00:00;2012-07-20;Red;Green;Pom;25;23296;;SPCA;Sold
21;;M/N;TU;40001;Charlie;400;Guy Palanuik;2012-07-25 00:00:00;2012-07-20;White;;Bull Dog;50;23299;;POLICE-DAY;Ride Home Free
Sabrina Meldrum;;M;12-194332-DI;20037;Tosh;200;Sabrina Meldrum;2012-07-22 00:00:00;2012-07-20;White/Brown;;Collie X?;45;23300;;BROUGHT-IN;Redeemed
23;;M/N;12-194315-DI;20044;Sunny;200;Brad Martin;2012-07-21 00:00:00;2012-07-21;black, white;;Labrador Ret.  X;40 lbs;23301;;POLICE-NIGHT;Redeemed
23;;F;12-194343-DI  hs;2003;Emmerson;200;Brad Martin;2012-07-22 00:00:00;2012-07-21;Yellow;;Lab;35 lbs;23302;;POLICE-DAY;Redeemed
MA11;;M;;53;Mojo;200;Mariana Ardeleanu;2012-07-22 00:00:00;2012-07-21;Brown;;Chihuahua;;23304;;HOLDING STRAY;Redeemed
MA11;;M;12-194344-DI  hs;20035;Coco;200;Mariana Ardeleanu;2012-07-22 00:00:00;2012-07-21;white & brown;;shihtzu;;23305;;HOLDING STRAY;Redeemed
;;F;12-194352-DI  hs;20077;Coco;200;Helen Spirropoulos;2012-07-22 00:00:00;2012-07-22;Chocolate;;Toy Poodle;;23308;;BROUGHT-IN;Redeemed
15;;M/N;;0;Reggae;200;Ching Koo;2012-07-22 00:00:00;2012-07-22;Black/White belly;;Puli;25 lbs;23310;;HOLDING STRAY;Redeemed
3;;F;12-194846DI;20035;Maggie;200;Bob Cristofoli;2012-07-25 00:00:00;2012-07-25;Brown;;Choc Lab;50;23317;;HOLDING STRAY;Redeemed
;;F;12-195004DI;20028;Nala;200;Toni Peterson;2012-07-26 00:00:00;2012-07-25;Tan/Black;;Peke X Pom X;15lbs;23319;;BROUGHT-IN;Redeemed
23;2012-08-04;M/N;12-196652DA-TB;20004;Wink;200;Brad Martin;2012-08-11 00:00:00;2012-07-26;Tan/Blk;green;Pug;18lbs;23322;;HOLDING STRAY;Sold
22;;X;12-196824DA;0;;100;Lori Fitzgerald;2012-08-18 00:00:00;2012-07-26;Grey/White;;Cockatiel;;23324;;SEIZED;Transferred
3;;X;;0;;100;Bob Cristofoli;2012-07-27 00:00:00;2012-07-27;Black;;Rabbit;;23325;;HOLDING STRAY;Transferred
MA11;;F;;48;Sami;400;Mariana Ardeleanu;2012-07-28 00:00:00;2012-07-28;Grey;;Schnauzer;;23327;;HOLDING STRAY;Ride Home Free
30;;F;;;;200;Andrew Nolan;2012-08-14 00:00:00;2012-07-29;White;;Gerbil;.00000025;23328;;HOLDING STRAY;Sold
12;;F;;;;400;Jeanette Nelson;2012-08-01 00:00:00;2012-07-30;Green and orange;;Love Bird;;23330;;HOLDING STRAY;Ride Home Free
3;;F;;4000;Honey;400;Bob Cristofoli;2012-08-01 00:00:00;2012-08-01;White;;Bichon Frise X;10;23337;;HOLDING STRAY;Ride Home Free
;;M;12-196006-DI-SM;20074;Darwin;200;Sabrina Meldrum;2012-08-05 00:00:00;2012-08-04;White/Brown/Tan;;Prazsky Krysarik X;;23340;;BROUGHT-IN;Redeemed
KE;;F;;0;;200;Katie Ernst;2012-08-04 00:00:00;2012-08-04;Wht/Tan;;Chihuahua;6;23342;;HOLDING STRAY;Redeemed
MA11;;M/N;12-195998-DI-SM;2212;Barky;200;Mariana Ardeleanu;2012-08-05 00:00:00;2012-08-04;White;;Maltese;;23343;;HOLDING STRAY;Redeemed
#15;;F;n/c;40012;Honey;400;Ching Koo;2012-08-07 00:00:00;2012-08-05;White;;Bichon X;10 lbs;23345;;HOLDING STRAY;Ride Home Free
12;2012-08-24;F;12-198537-DA SM;20030;Mischa (possibly Kit Kat);200;Jeanette Nelson;2012-08-28 00:00:00;2012-08-07;Tan;green;Chi X Corgi;6 lbs;23348;;HOLDING STRAY;Sold
KE;2012-08-24;M;12-199023DA- SM;20013;Roscoe;200;Katie Ernst;2012-09-10 00:00:00;2012-08-08;Tan/Blk;green;Papillion X Spaniel;10;23353;;TRANSFERRED;Sold
12;;F;12-196298-DI - SM;20045;Bella;200;Jeanette Nelson;2012-08-08 00:00:00;2012-08-08;Yellow;;Labrador;80 lbs;23354;;HOLDING STRAY;Redeemed
3;;F;12-196350DI;20024;Leika;200;Bob Cristofoli;2012-08-08 00:00:00;2012-08-08;Gold;;Golden Retriever;60;23356;;HOLDING STRAY;Redeemed
23;;F/S;RHF;40023;Etoile;400;Ching Koo;2012-08-10 00:00:00;2012-08-09;Fawn;;Pug;10 lbs;23359;;HOLDING STRAY;Ride Home Free
;;M/N;12-196626DI;20088;Riley;200;Sarah Hicks;2012-08-10 00:00:00;2012-08-10;Golden;;Retriever;60lbs;23360;;BROUGHT-IN;Redeemed
ACO 19;;F;12-196646-DI - SM;200;Claire;200;Toni Peterson;2012-08-10 00:00:00;2012-08-10;White;;Poodle X Bichon;;23364;;HOLDING STRAY;Redeemed
15;;M/N;;40088;Shackleton;400;Ching Koo;2012-08-12 00:00:00;2012-08-11;Brown;;Dachshund;10 lbs;23370;;HOLDING STRAY;Ride Home Free
12;;M/N;12-198286-DA SM;20048;Felix now Raker;200;Jeanette Nelson;2012-08-25 00:00:00;2012-08-14;Black and tan;green;Yorkshire Terrier;5 lbs;23375;;HOLDING STRAY;Sold
;;M;12-197152-DI -hs;2004;Loki;200;Sabrina Meldrum;2012-08-15 00:00:00;2012-08-14;Tan/White/Black;;Shih Tzu X;10;23377;;BROUGHT-IN;Redeemed
3;;M;12-197471-DI SM;20026;Maccrino;200;Bob Cristofoli;2012-08-18 00:00:00;2012-08-14;Tan & White;green;Chihuahua;5;23378;;HOLDING STRAY;Redeemed
12;;;;10032;;100;Jeanette Nelson;2012-08-22 00:00:00;2012-08-14;White;;Pigeon;;23380;;COMPLAINT;Transferred
;;M/N;;10028;Sancho;100;Toni Peterson;2012-12-06 00:00:00;2012-08-14;Grey/Blk;green;Schnauzer X Terrier;;23381;;BROUGHT-IN;Transferred
MA11;;F/S;;40026;Roma;400;Lori Fitzgerald;2012-08-14 00:00:00;2012-08-14;brown red;;Shep X rottweiler;;23382;;HOLDING STRAY;Ride Home Free
3;;;;40045;Ruby;400;Bob Cristofoli;2012-08-15 00:00:00;2012-08-15;Black;;Lab;100;23386;;HOLDING STRAY;Ride Home Free
3;;M/N;12-197308DI;20077;Bernard;200;Bob Cristofoli;2012-08-16 00:00:00;2012-08-15;Tan / White;;Shih Tzu;10;23387;;HOLDING STRAY;Redeemed
3;;M/N;;1004;Jessie;100;Bob Cristofoli;2012-08-26 00:00:00;2012-08-16;Tan;;Pit Bull mix;45;23388;;BROUGHT-IN;Transferred
12;;M;;20080;Kilo;200;Jeanette Nelson;2012-08-19 00:00:00;2012-08-18;Blonde;;Pit Bull X;90 lbs;23395;;COMPLAINT;Redeemed
KE;;X;;0;;100;Katie Ernst;2012-08-19 00:00:00;2012-08-18;Brn/White;;Hamster;;23396;;BROUGHT-IN;Transferred
KE;2012-08-24;M;12-198783-DA;20044;Kushu (now Luca);200;Katie Ernst;2012-08-30 00:00:00;2012-08-18;Grey/White;;Husky;12;23397;;TRANSFERRED;Sold
26;;M/N;12-197954DI;20040;Tagger;200;Samantha  Law;2012-08-22 00:00:00;2012-08-19;Black;;Collie X;50 lbs.;23399;;HOLDING STRAY;Redeemed
22;;F;12-198024DI;20021;Stacey;200;Lori Fitzgerald;2012-08-23 00:00:00;2012-08-20;Black/Tan;;German Shepherd;70 lbs;23400;;HOLDING STRAY;Redeemed
22;;F;12-197635-DI  hs;20058;Summit;200;Lori Fitzgerald;2012-08-20 00:00:00;2012-08-20;Tan/White;;Boxer;50 lbs;23402;;POLICE-DAY;Redeemed
KE;;F;12-202246DA;9;Ladybug;200;Katie Ernst;2012-09-11 00:00:00;2012-08-24;Tan;;Husky X Shep;35;23420;;TRANSFERRED;Sold
KE;2012-08-14;F/S;12-198883DA-TB;20038;Yam;200;Katie Ernst;2012-09-01 00:00:00;2012-08-24;Yellow;yellow;Lab X;60;23421;;TRANSFERRED;Sold
KE;2012-08-24;M/N;12-199026DA_TB;20059;Slurpee (new name);200;Katie Ernst;2012-09-01 00:00:00;2012-08-24;Merle;yellow;Catahoula X Lab;65;23422;;TRANSFERRED;Sold
KE;2012-08-14;F/S;12-207501DA-TB;20028;Osha;200;Katie Ernst;2012-09-22 00:00:00;2012-08-24;Blk;bl/yellow;Shep X Gr. Dane;80;23423;;TRANSFERRED;Sold
KE;2012-08-24;F;12-199045DA-TB;20080;Lollipop;200;Katie Ernst;2012-09-01 00:00:00;2012-08-24;White/Blk;green;Beagle X Jack Russell;20;23425;;TRANSFERRED;Sold
26/11;;F;;0;;100;Samantha  Law;2012-09-13 00:00:00;2012-08-26;Yellow Green Blue Cheeks;;Budgie;NA;23427;;HOLDING STRAY;Transferred
MA11;;M;12-198458-DI SM;2004;KoKo;200;Mariana Ardeleanu;2012-08-27 00:00:00;2012-08-27;Tan/Black;;Yorkie;6 lbs;23430;;COMPLAINT;Redeemed
22;;M/N;12-198612 DI;20040;Cosmo;200;Lori Fitzgerald;2012-08-30 00:00:00;2012-08-28;Red;;Pit Bull X;80 lbs;23432;;HOLDING STRAY;Redeemed
22;;M;;4001;Lego;400;Lori Fitzgerald;2012-08-29 00:00:00;2012-08-29;White/Tan;;Spaniel;30 lbs;23435;;PATROL;Ride Home Free
22;;F;12-198843-DI  -hs;2002;Janja (pronounced Vonya);200;Lori Fitzgerald;2012-08-30 00:00:00;2012-08-29;Black/Tan;;German Shepherd;80 lbs;23437;;POLICE-DAY;Redeemed
23;;F;12-198983-DI   hs;20062;Niko;200;Brad Martin;2012-08-31 00:00:00;2012-08-30;Tan;;Shiba Inu;22 lbs;23440;;HOLDING STRAY;Redeemed
Sarah;;M;12-198943-DI;200;Casey;200;Sarah Hicks;2012-08-31 00:00:00;2012-08-31;Blue;;Pit Bull;;23442;;HOLDING STRAY;Redeemed
23;;X;12-198999-DI    -hs;20040;;200;Brad Martin;2012-08-31 00:00:00;2012-08-31;Black, white crest on chest;;Spaniel  X ?;22 lbs;23444;;COMPLAINT;Redeemed
23;;X;12-198997-DI     -hs;20017;;200;Brad Martin;2012-08-31 00:00:00;2012-08-31;White;;Terrier  X ?;22 lbs;23445;;COMPLAINT;Redeemed
15;;F/S;12-199029DI-TB;20040;Lucy;200;Ching Koo;2012-09-01 00:00:00;2012-08-31;Black and Tan;;German Shep;50 lbs;23451;;HOLDING STRAY;Redeemed
30;;M;12-206501DI;20083;Bunty;200;Andrew Nolan;2012-09-12 00:00:00;2012-09-02;black, brown and white;;Amer Staff.;60;23456;;HOLDING STRAY;Redeemed
26;2012-09-20;F/S;12-208019DA;20074;Bianca;200;Samantha  Law;2012-09-27 00:00:00;2012-09-03;White w/brown patches;green;Terrier X Chihuahua;15 lbs.;23458;;HOLDING STRAY;Sold
12;2012-09-20;M/N;12-209499DA;20045;Twizzler;200;Jeanette Nelson;2012-10-12 00:00:00;2012-09-04;White/Tan;green;Terrier X Chihuahua;9 lbs;23459;;HOLDING STRAY;Sold
12;;M/N;12-199172-DI  hs;20024;Yo Yo;200;Jeanette Nelson;2012-09-04 00:00:00;2012-09-04;Black and silver;;Husky;75 lbs;23460;;HOLDING STRAY;Redeemed
;;F;12-199284DI;20088;Peach;200;Toni Peterson;2012-09-05 00:00:00;2012-09-04;Fawn/Black;;Pug;;23464;;BROUGHT-IN;Redeemed
23;;M;;40050;Sammy;400;Brad Martin;2012-09-07 00:00:00;2012-09-07;Brown;;PUG   X;24 lbs;23470;;HOLDING STRAY;Ride Home Free
Ching;;F/S;12-202565-DI SM;2000;Roxy;200;Sabrina Meldrum;2012-09-07 00:00:00;2012-09-07;Red;;Golden Retriever;;23472;;HOLDING STRAY;Redeemed
Andrew Nolan;;X;;;;100;Sabrina Meldrum;2012-09-13 00:00:00;2012-09-08;Black/Orange;;Firebelly Newt;;23477;;HOLDING STRAY;Transferred
ks19;;M;;20013;King;200;Karen Sinclair;2012-09-11 00:00:00;2012-09-10;Black/Red;;Rottweiler;100 lbs;23481;;BROUGHT-IN;Redeemed
3;;M;12-207503-DI  hs;20050;Cooper;200;Bob Cristofoli;2012-09-22 00:00:00;2012-09-13;Black/Tan;yellow;German Shepherd;35;23489;;HOLDING STRAY;Redeemed
;;M/N;12-206816-DI  hs;20011;Milo;200;;2012-09-16 00:00:00;2012-09-14;Tan/Black/Grey;;Dachshund X Yorkie;;23490;;BROUGHT-IN;Redeemed
15;;M;12-206952-DI  hs;20087;Twist;200;Ching Koo;2012-09-17 00:00:00;2012-09-14;Grey, white and silver;;Bearded Collie;70 lbs;23491;;HOLDING STRAY;Redeemed
3;2012-09-26;M/N;;3;Mickey (new name);100;Bob Cristofoli;2012-09-26 00:00:00;2012-09-14;White and Tan;;Terrier X Maltese;10;23492;;HOLDING STRAY;Transferred
;;M/N;12-206820DI-TB;20059;Dusty;200;Helen Spirropoulos;2012-09-16 00:00:00;2012-09-16;Gold;;Retriever;;23498;;BROUGHT-IN;Redeemed
11/26;;M;12-206890-DI  hs;20021;Caesar;200;Samantha  Law;2012-09-17 00:00:00;2012-09-16;Tan & Grey;;Yorkie X;10 lbs.;23499;;HOLDING STRAY;Redeemed
15;;F;12206862-DI  hs;20011;Lola;200;Ching Koo;2012-09-17 00:00:00;2012-09-16;White and black;;French Bulldog;10 lbs;23500;;HOLDING STRAY;Redeemed
3;;X;;;;100;Bob Cristofoli;2012-09-21 00:00:00;2012-09-18;Green with Orange;;Parrot (Alexandrine);1;23505;;HOLDING STRAY;Transferred
MA11;;M;;40064;Simba;400;Lori Fitzgerald;2012-09-19 00:00:00;2012-09-18;Grey/Black;;Schnauzer;20lbs;23507;;HOLDING STRAY;Ride Home Free
BC;;M;12-207374DI;20087;Atlas;200;Katie Ernst;2012-09-20 00:00:00;2012-09-19;Cream;;Cockapoo;28;23508;;HOLDING STRAY;Redeemed
22;;M/N;12-207259DI;20087;Shamrock;200;Lori Fitzgerald;2012-09-19 00:00:00;2012-09-19;Black;;Toy Poodle;8 lbs;23510;;HOLDING STRAY;Redeemed
ks19;;M;12-207346DI;20035;Micah;200;Karen Sinclair;2012-09-20 00:00:00;2012-09-19;White;;Toy Poodle X;10 lbs;23511;;BROUGHT-IN;Redeemed
23;;F;12-207532DI-TB;20032;Ebony;200;Brad Martin;2012-09-23 00:00:00;2012-09-21;D/Grey;;Toy Poodle;22 lbs;23516;;HOLDING STRAY;Redeemed
;;M;12-207507DI-TB;20005;Dodger;200;Tamera Blanchard;2012-09-22 00:00:00;2012-09-22;Tan;;French Bulldog;;23517;;BROUGHT-IN;Redeemed
21;;F;12-207772DI;20011;Maya;200;Guy Palanuik;2012-09-25 00:00:00;2012-09-24;Tan;;Shepherd Mix;75lbs;23520;;HOLDING STRAY;Redeemed
22;;M;12-207722DI;20060;Coby;200;Lori Fitzgerald;2012-09-25 00:00:00;2012-09-25;Black/Tan;;German Shepherd;20 lbs;23521;;HOLDING STRAY;Redeemed
;;X;;1000;;100;Toni Peterson;2012-09-28 00:00:00;2012-09-25;;;Turtle;;23522;;BROUGHT-IN;Transferred
;;F/S;12-207868DI;20028;Treena;200;Toni Peterson;2012-09-26 00:00:00;2012-09-26;Black/White;;Shih Tzu;;23525;;BROUGHT-IN;Redeemed
3;;X;12-208105DA;2000;;200;Bob Cristofoli;2012-09-27 00:00:00;2012-09-26;Green, orange & white;;Conure - Cinnamon;;23526;;HOLDING STRAY;Sold
3;;M/N;12-208071DI;20064;Luke;200;Bob Cristofoli;2012-09-27 00:00:00;2012-09-27;Black and Tan;;Shepherd mix;50;23527;;HOLDING STRAY;Redeemed
23;;M;12-208201DI;20085;Nemo;200;Brad Martin;2012-09-28 00:00:00;2012-09-27;Fawn;;Chihuahua;5 lbs;23529;;HOLDING STRAY;Redeemed
22;;F/S;12-208229DI;20059;Sophie;200;Lori Fitzgerald;2012-09-28 00:00:00;2012-09-27;White/Tan/Blk;;Beagle;30 lbs;23530;;HOLDING STRAY;Redeemed
ACO 15;;F/S;12-208253-DI hs;2003;Sushi;200;Toni Peterson;2012-09-29 00:00:00;2012-09-28;Black/White;;Shih Tzu;10 lbs;23532;;HOLDING STRAY;Redeemed
30;;;;;;100;Andrew Nolan;2012-10-03 00:00:00;2012-09-29;Ash-Red;;pigeon;;23538;;HOLDING STRAY;Transferred
22;;F/S;;40032;Joy;400;Lori Fitzgerald;2012-10-01 00:00:00;2012-10-01;White;;Bichon;10 lbs;23545;;HOLDING STRAY;Ride Home Free
;2012-10-13;M/N;12-210007DA;20012;Scruffy;200;Toni Peterson;2012-10-17 00:00:00;2012-10-02;Grey w/Black;green;Terrier;;23549;;BROUGHT-IN;Sold
3;;F;;0;Raven;200;Bob Cristofoli;2012-10-05 00:00:00;2012-10-04;Black;;Pigeon;;23555;;OTHER;Redeemed
;;M;12-208947DI-TB;20064;Teddy;200;John Gray;2012-10-06 00:00:00;2012-10-04;Brown and White;;Shih Tzu;;23556;;BROUGHT-IN;Redeemed
;;M;12 209449DI;20060;Noodle;200;Toni Peterson;2012-10-11 00:00:00;2012-10-05;Red;;Poodle;;23560;;BROUGHT-IN;Redeemed
;;M;12-208925DB;40088;Mocha;400;Toni Peterson;2012-10-05 00:00:00;2012-10-05;Cream;;Poodle X;;23561;;HOLDING STRAY;Ride Home Free
MA11;;M;;40040;Momo;400;Mariana Ardeleanu;2012-10-07 00:00:00;2012-10-07;Yellow;;lab;;23566;;HOLDING STRAY;Ride Home Free
KE;;F;;0;;200;Katie Ernst;2012-10-18 00:00:00;2012-10-09;White/Blk;;Rat;;23569;;HOLDING STRAY;Sold
12;;M/N;;4005;Lui;400;Jeanette Nelson;2012-10-10 00:00:00;2012-10-09;Black and tan;;German Shepherd;85 lbs;23572;;COMPLAINT;Ride Home Free
12;;F;;40031;Lucy;400;Jeanette Nelson;2012-10-10 00:00:00;2012-10-09;Black;;German Shepherd;65 lbs;23573;;COMPLAINT;Ride Home Free
12;;;12-209169DI;20032;Kiwi;200;Jeanette Nelson;2012-10-09 00:00:00;2012-10-09;Tan;;Shiba Inu;20 lbs;23574;;HOLDING STRAY;Redeemed
3;;M/N;12-209245DI;20064;YoYo;200;Bob Cristofoli;2012-10-10 00:00:00;2012-10-10;Black & White;;Husky;40;23577;;COMPLAINT;Redeemed
;2012-10-01;M/N;12-210316DA-TB;20017;Ranger;200;Katie Ernst;2012-10-20 00:00:00;2012-10-12;Chocolate;yellow;Lab;40;23583;;TRANSFERRED;Sold
26;;F;;;Dorothy Hammil;100;Samantha  Law;2012-10-20 00:00:00;2012-10-14;Brown & White;;Hamster;;23588;;HOLDING STRAY;Transferred
22;;M/N;TU;40044;Trux;400;Lori Fitzgerald;2012-10-18 00:00:00;2012-10-17;Reddish Brown;;Amer Staffordshire;60 lbs;23595;;HOLDING STRAY;Ride Home Free
;;M;12-210107DI;20038;Russell;200;Toni Peterson;2012-10-18 00:00:00;2012-10-17;Black/Tan;;Yorkie X;;23597;;BROUGHT-IN;Redeemed
15;;F/S;12-210160DI;20085;Lucy;200;Ching Koo;2012-10-18 00:00:00;2012-10-18;Black and Tan;;German Shep;70 lbs;23598;;HOLDING STRAY;Redeemed
22;;F;;0;;100;Lori Fitzgerald;2012-10-20 00:00:00;2012-10-18;Black/Orange;;Guinea Pig;2 lbs;23600;;HOLDING STRAY;Transferred
TU;;F/S;;0;Rosa;200;Tammy Unrau;2012-10-19 00:00:00;2012-10-19;Brown;;Pom X;;23602;;BROUGHT-IN;Redeemed
MA11;;F;;0;Smudge;100;Mariana Ardeleanu;2012-12-28 00:00:00;2012-10-20;Tan;;Rabbit;;23605;;BROUGHT-IN;Transferred
30;;F;12-210332DI-TB;20080;Austin;200;Andrew Nolan;2012-10-21 00:00:00;2012-10-20;White;;Poodle X Bichon;8;23607;;HOLDING STRAY;Redeemed
KE;;M/N;;48;Cubits;200;Katie Ernst;2012-11-09 00:00:00;2012-10-20;Red;;Daschund X (red coat);5;23608;;TRANSFERRED;Sold
KE;;M/N;12-216561DA-TB;20041;Frazier (now Pippin);200;Katie Ernst;2012-11-12 00:00:00;2012-10-20;Blonde;;Daschund X (wire coat);5;23611;;TRANSFERRED;Sold
MA11;;F/S;12-210342DI-TB;20024;Dragon;200;Mariana Ardeleanu;2012-10-21 00:00:00;2012-10-21;Black;;rottweiller;;23612;;HOLDING STRAY;Redeemed
11/26;;F/S;12-210480-DI SBH;20024;Lucy;200;Samantha  Law;2012-10-22 00:00:00;2012-10-21;Black and Tan;;German Shep;60 lbs.;23614;;HOLDING STRAY;Redeemed
3 & 21;;F;n/c;40012;Silver;400;Bob Cristofoli;2012-10-28 00:00:00;2012-10-26;Tan;;Akita X;50;23626;;PATROL;Ride Home Free
12;;F;12-211045DI-TB;20004;DJ;200;Jeanette Nelson;2012-10-28 00:00:00;2012-10-27;Grey and white;;Pit Bull;40 lbs;23627;;HOLDING STRAY;Redeemed
23;;M;12-211103DI;20017;Timba;200;Brad Martin;2012-10-29 00:00:00;2012-10-28;Tri-brown;;Pomeranian X ?;8 lbs;23630;;HOLDING STRAY;Redeemed
26;;M;;40088;Buddy;400;Samantha  Law;2012-10-29 00:00:00;2012-10-28;Brown/White;;Collie;70 lbs;23631;;HOLDING STRAY;Ride Home Free
12;;M/N;25896 Jn12;20041;Jake;200;Jeanette Nelson;2012-10-28 00:00:00;2012-10-28;Tan;;Pomeranian;6 lbs;23632;;HOLDING STRAY;Redeemed
