CODI;TIPUS_VIA;PARTICULES;NOM;DATA_APROV;NOTES_DATA;DESCRIPCIO1;DESCRIPCIO2;FONTS_DOC;ALTRES_NOMS
039709;carrer;de;Berenguer de Palou;19/11/1929;;Berenguer de Palou (Palou, ? - Barcelona, 1241). Conseller reial, canceller de la Corona i bisbe de Barcelona (1212). Participà en la conquesta de Mallorca.;;{AMAB:en,c14}.;Provensals
039607;carrer;de;Berenguer Mallol;;Abans de 1865;Berenguer Mallol (segle XIII). Almirall de Catalunya i Aragó durant el regnat de Pere el Gran. Amb les flotes de Roger de Llúria i de Ramon Marquet, causà grans danys a la flota francesa davant les illes Formigues (1285).;;{n80}.;"Berenguer de Mayol; Pere Domingo"
039902;carrer;de;Beret;17/11/1954;;Gran pla, a 1860 m d'altitud, a la capçalera de la Noguera Pallaresa, dins el municipi de Cap d'Aran.;;{n80}.;
070709;carrer;d';Enric Casanovas;29/10/1981;;Enric Casanovas i Roig (Barcelona, 1882 - 1948). Escultor. Originàriament el carrer fou dedicat a Anna Casanovas i Querol (Ibarra, 1862 - Barcelona, 1938). Muller de Joan Boada i Mauri, propietari dels terrenys situats en el lloc anomenat Varal del Butxí, els quals comprà a Víctor Magarola el 1884. El nom es canvià per evitar la confusió amb el carrer de Casanova i el passatge de Casanovas.;;{RP2:98.50.}.;Casanovas
113200;carrer;d';Enric Clarasó;27/06/1980;;Enric Clarasó i Daudí (Sant Feliu del Racó, 1856 - Barcelona, 1941). Escultor. Primera medalla a l'Exposició Internacional de París de 1900. Exposà amb Santiago Rusiñol i Ramon Casas.;;{n80*}.;Escultor Enric Clarassó
019508;carrer;de la;Volta d'en Colomines;;Abans de 1900;"El nom és una adulteració de Coromines, nissaga barcelonina que donà notables personatges a la ciutat i que durant un temps devia estar relacionada amb el carrer. En destaquen: Joan Coromines, conseller els anys 1383, 1393 i 1406; Francesc Coromines, conseller el 1411 i el 1416; Pere Coromines, conseller en cap el 1482 i el 1496, i d'altres al llarg dels segles XVI i XVII.";;{PC:MPV,fn}.;Arco de Colominas
019600;carrer;de la;Volta d'en Dusai;;Abans de 1865;Dusai és un llinatge de ciutadans honrats de Barcelona, que també es coneix amb les variants de Durai, Durall, d'Usai o d'Usall i que donà a la ciutat personatges notables: ambaixadors, marins, veguers i consellers. Francesc Dusai figura entre els patricis que el 13 de gener de 1764 iniciaren a Barcelona la primera Acadèmia de Ciències Naturals i Arts establerta a Espanya.;;"{PC:MPV,fn;AFE*}.";"Arco de Dusay; Arco de la Señora Duralla"
166750;jardins;de les;Voltes d'en Cirés;30/12/1981;;Espai públic recuperat de Ciutat Vella.;;{PC:en}.;
700884;plaça;dels;Voluntaris Olímpics;24/12/1992;;En homenatge i record dels voluntaris olímpics i paralímpics dels Jocs Olímpics de Barcelona 1992.;;{PC:en}.;
367752;plaça;de;Wagner;30/12/1981;;Wilhelm Richard Wagner Pätz (Leipzig, 1813 - Venècia, 1883). Compositor.;;{n80*}.;
700870;jardins;de;Walter Benjamin;22/05/1995;;Walter Benjamin (Berlín, 1892 - Portbou, 1940). Escriptor i crític. Després de cursar estudis a la seva ciutat natal i a Tubinga, es doctorà a Berna. Residí temporalment a Eivissa i s'exilià a París el 1933 per fugir dels nazis, ja que era jueu. Entre els seus escrits destaquen: El concepte de la crítica d'art dins el romanticisme alemany i L'origen de la tragèdia alemanya.;;{en}.;
367800;carrer;de;Washington;;Abans de 1900;George Ball Washington (Bridges Creek, 1732 - Mount Vernon, 1799). Primer president de la Unió als Estats Units. General en cap de l'exèrcit nord-americà el 1798.;;{n80*}.;
367901;carrer;de;Watt;05/09/1907;;James Watt (Greenock, 1736 - Handsworth, 1819). Enginyer. Inventor de la màquina de vapor.;;{n80}.;Oriente
368008;carrer;de;Wellington;13/03/1936;;Arthur Colley Wellesley (Dublín, 1769 - castell de Walmer, Kent, 1852). Militar i polític més conegut com a duc de Wellington. General en cap de l'exèrcit anglès a la península Ibèrica durant la guerra del Francès. Duc de Ciudad Rodrigo, gran d'Espanya i príncep de Waterloo.;;{n80*}.;"Sicília (1r tram); Núm. 38 (Pla Cerdà)"
011404;passatge;d';Aloi;;Abans de 1900;En memòria de Jaume Aloy i Romaní (1836 - 1898). Rajoler i propietari dels terrenys. Aquest antropotopònim, d'acord amb el Decret 78/1991 sobre l'ús de la toponímia, fou normalitzat junt amb la resta de topònims de la ciutat.;;"{RP5:87.170;n80}.";Aloy
011302;carrer;d';Alonso Cano;28/01/1959;;Alonso Cano (Granada, 1601 - 1667). Escultor, pintor i arquitecte barroc. El 1638 es traslladà a Madrid, on rebé la influència de la pintura veneciana de les col·leccions reials.;;{n80}.;
011506;carrer;d';Alpens;31/01/1923;;Municipi d'Osona. Batalla en la qual el brigadier Cabrinetty fou derrotat per l'exèrcit carlí.;;{n80}.;"Crillón (un tram); Pasteur; Padilla"
011583;carrer;d';Alsàcia;;;Regió de França. Forma conjunt amb els carrers de Lorena i Marne.;;{n80}.;
011608;carrer;de n';Alsina;;;Coexisteixen dues explicacions sobre la dedicació del carrer. D'una banda, es tracta del cognom d'una família catalana molt estesa per la ciutat medieval, probablement relacionada amb l'obertura del carrer o amb les propietats situades a l'indret. De l'altra, fa referència a una alzina plantada en un jardí que donava al carrer. Ja existia amb el mateix nom al segle XV.;;"{n80;VB;ACB:le;Lla}.";
011776;carrer;;Alt;07/03/1939;;A la part alta del barri de la Trinitat Vella.;;{n80}.;Alta
011903;carrer;;Alt de Gironella;;Abans de 1910;Per l'antiga torre, amb oratori públic, i finca d'una extensió de catorze mujades, que fou propietat de la família Gironella.;;{RP8:36.130}.;Alta de Gironella
012101;passatge;;Alt de Mariner;28/01/1959;;Desemboca al carrer Alt de Mariner, dedicat a la masia Alta d'en Mariné. Nom de lloc, amb l'afegit del cognom del propietari, que ho fou de gran part d'Horta.;;{n80}.;Alta de Mariné
012000;carrer;;Alt de Mariner;28/01/1959;;Per la masia Alta d'en Mariné. Nom de lloc, amb l'afegit del cognom del propietari, que ho fou de gran part d'Horta.;;{n80}.;Alta de Mariné
012203;carrer;;Alt de Pedrell;;Abans de 1950;Situat a la part alta del turó on es troba el carrer de Pedrell.;;{n80}.;"Alta de Pedrell; Pedrell"
011732;passatge;;Alt del Turó;;;Forma conjunt amb els carrers del Mig i el Baix del Turó, en una zona aturonada al sud-est del parc del Guinardó.;;{n80}.;
011801;plaça;;Alta de Can Clos;23/06/1965;;Situada al centre del polígon de cases de Can Clos.;;{n80}.;
012305;carretera;;Alta de les Roquetes;;;Carrer d'enllaç del polígon de Canyelles amb la Torre del Baró. Pren el nom del barri que l'envolta per la part de muntanya.;;{n80}.;Alta de Circunvalación
012509;carrer;d';Altafulla;05/09/1907;;Municipi del Tarragonès.;;{n80}.;Cruz
012600;carrer;dels;Alts Forns;12/03/1962;;El forn de cub emprat per a l'extracció del ferro. En el Pla parcial de Gran Via Sud consten nombrosos noms de carrers dedicats a la indústria.;;{DIU:s139}.;"Altos Hornos; Pegaso; Hogar"
012702;carrer;de l';Alumini;10/05/2005;;L'element metàl·lic. La dedicació d'aquest carrer correspon al sector industrial en què es troba ubicat.;;{DIU:s139}.;Aluminio
012804;carrer;d';Alvarado;31/10/1955;;Pedro de Alvarado (Badajoz, 1485 - Mèxic, 1541). Conqueridor i capità d'Hernán Cortés. Sotmeté la zona de Guatemala i El Salvador (1523 - 1524), i li fou concedida la governació de Guatemala. Morí en un combat de repressió dels habitants de Jalisco.;;{n80*}.;Cº Viejo de la Pedrera (un tram)
540201;moll;d';Álvarez de la Campa;;;Fernando Álvarez de la Campa y Arumí. Fou alcalde de Barcelona l'any 1923. Coronel d'Estat Major i comissari regi del Port Franc. Participà en l'organització de l'Exposició Universal de 1929, en la prolongació de la Diagonal (del carrer del Comte d'Urgell fins al Palau Reial) i en la cessió d'aquest palau als reis d'Espanya.;;{APB}.;
701135;plaça;d';Álvaro Cunqueiro;17/10/1994;;Álvaro Cunqueiro Mora (Mondoñedo, 1911 - Vigo, 1981). Escriptor. Inicià la seva obra dins el corrent superrealista i més tard s'incorporà al neotrobadorisme. Després de la guerra publicà periodisme en castellà i escriví els primers llibres en prosa. Col·laborà de manera decisiva en la restauració cultural gallega. Guanyà el premi Nadal de literatura de 1968.;;{PC:en}.;
109600;carrer;de l';Alzina;;Abans de 1950;Originàriament dedicat a Francesc Alsina i Dosdat, mestre de cases, (1798-1872).;;{PC:MPV,fn}.;"Encina, 1873; Alsina, 18/09/1851; Cardona, 18/09/1851 (un tram)."
109804;avinguda;de l';Alzinar;;;Condueix a un grup d'alzines al peu del puig de Sant Joan, en el límit del terme municipal.;;{n80}.;
701111;passatge;d';Amadeu Bagués;11/07/1994;;Amadeu Bagués i Cerqueda (Barcelona, 1905 - 1981). Joier. President de Barna Centre, de l'Associació de Veïns i Comerciants del Carrer de Sant Pau, del Gremi de Joieria i de la Federació de Joiers i Rellotgers. Impulsor i president d'Amics de la Rambla.;;{PC:en}.;
013104;carrer;d';Amadeu Vives;09/04/1940;;Amadeu Vives i Roig (Collbató, 1871 - Madrid, 1932). Compositor. Autor de L'emigrant (1890). Cofundador de l'Orfeó Català.;;{n80}.;"Amadeo Vives; Cameros"
701637;carrer;d';Amàlia Garcia;25/02/2009;;Amàlia Garcia Bonel (Tarazona, 1874 - Barcelona, 1977). Mestra d'escola. El 1905, vídua i amb tres fills, arribà a Barcelona i s'establí al carrer de Verdi, 41, on fundà el col·legi de la Santíssima Trinitat per a noies. Després de la guerra, inaugurà una nova acadèmia a la torre del carrer de l'Or, cantonada amb Torrijos. Durant anys dirigí l'escola i la seguiren en la tasca docent la seva filla i la seva néta. Filla predilecta de Tarazona. El mestre Ricard Miró va compondre la sardana La centenària de Gràcia per retre-li homenatge.;;;
188458;carrer;de l';Amarant;10/04/1981;;La flor. Forma part d'un conjunt de carrers amb noms d'arbres i d'arbustos.;;{n80}.;
013501;carrer;de l';Amargor;;Abans de 1950;Per recordar un dels episodis de la Passió de Jesucrist. Fa al·lusió al camí que féu Jesús portant la creu des de Jerusalem fins al Calvari, recordant el moment en què es troben mare i fill en un carrer del Trànsit, que el poble anomenà de l'Amargor. Carrer situat en antics terrenys del marquès de Castellbell i posteriorment de Francesc Trinxant i Morera, prop del carrer del Sospir.;;"{RP22:72.210.;AHCB:RiC,m}.";"Amargura; Lletra A (plànol eixample de Sant Martí)"
013400;carrer;de n';Amargós;;Abans de 1865;Per una família resident o propietària dels terrenys on s'obrí el carrer, que se cita amb aquest nom en documents de 1424. També està documentat (1435) un mercader anomenat Amargós.;;"{PC:MPV,fn;AHPB:Bernat Pi, not. 1435}.";"Frares del Sac, de 1200 a 1270; Salavert"
013603;carrer;d';Amer;;;Municipi de la Selva. Carrer situat al grup de cases Ramon Albó, al Turó de la Peira, on diversos carrers són dedicats a poblacions de la província de Girona .;;{n80}.;
013705;carrer;d';Amèrica;;;El continent descobert per Cristòfor Colom al servei d'Espanya (1492) i visitat després per Amerigo Vespucci, de qui prengué el nom.;;{n80}.;Núm. 6 (urb. Mas Viladomat)
010300;carrer;dels;Ametllers;30/07/1954;;Els arbres. Forma conjunt amb el dels Avellaners i el de les Nogueres.;;{n80}.;Almendros
010401;passatge;dels;Ametllers;30/07/1954;;Els arbres. Travessa perpendicularment el carrer dels Ametllers.;;{n80}.;Almendros
013807;plaça;d';Amich;;;"Per un antiga família sarrianenca: Miquel Amich urbanitzà aquests terrenys (1857 - 1861); Vicenç Amich edificà una casa al carrer de Sant Salvador, Avió Plus Ultra (1850), i Jaume Amich edificà cases al carrer Serrano, Major de Sarrià (1886, 1888 i 1890).";;"{VE,JJ;AM.AMD5}.";
014005;carrer;dels;Amics;15/07/1929;;Es desconeix l'origen o motiu del nom. Podria referir-se als vincles d'amistat que unirien els propietaris dels terrenys interessats en la seva urbanització.;;{AHCB:RiC,m}.;Amigos
701675;jardins;de;William Shakespeare;17/07/2009;;William Shakespeare (Stratford-upon-Avon, 1564 - 1616). Poeta, dramaturg, comediògraf, actor i empresari teatral. Establert a Londres, primer fou actor i després començà a escriure i va publicar la seva primera obra Venus and Adonis el 1593. Va actuar a la companyia del Camarlenc, al The Theatre, durant tres anys. L'any 1597 la companyia actuà en un nou teatre, The Curtain. L'any 1599 fou construït un nou teatre, The Globe, amb la participació de Shakespeare, el qual obtingué bons beneficis. Actuà a l'escena durant vint anys creant grans obres teatrals.;;;
701232;plaça;d';Henry Dunant;24/07/1997;;Jean-Henry Dunant (Ginebra, 1828 - Zürich, 1910). Filantrop i literat. Creador de la Creu Roja Internacional. Juntament amb quatre compatriotes, elaborà i féu acceptar als governs la primera Convenció de Ginebra (1864) sobre els ferits de guerra. El 1867 fou acusat de gestió fraudulenta en els seus negocis, la qual cosa li provocà l'expulsió del Comitè Internacional de Ginebra. Oblidat i vivint en la misèria, finalment la seva figura va ser rehabilitada: rebé un premi del Consell Federal, l'emperadriu Fedorovna li atorgà una pensió i l'Acadèmia Sueca li atorgà el primer premi Nobel de la pau (1901).;;;
155608;carrer;d';Hercegovina;;Abans de 1883;Regió dels Balcans. S'estén al sud de Bòsnia, entre Montenegro i la Dalmàcia.;;{n80*}.;"Herzegovino; Cabañes, 05/01/1876"
155700;passatge;d';Hercegovina;;Abans de 1952;Pel mateix motiu que el carrer d'Hercegovina, dedicat a la regió dels Balcans.;;{n80}.;Herzegovino
131600;carrer;de;Formentera;07/07/1942;;Illa balear, Ophiusa. Fou conquerida l'any 1235 per l'arquebisbe de Tarragona.;;{n80}.;"Finestrellas; Bartolomé Gabarró; Finestrellas"
131701;carrer;de;Formentor;27/07/1950;;Península mallorquina, en el municipi de Pollença.;;{n80}.;
131803;carrer;de la;Formiga;13/01/1933;;Monòleg d'Ignasi Iglésias, estrenat el 1904.;;{PC:MPV,fn}.;Núm. 5 (b. d'Estadella)
156804;carrer;del;Forn;;;Perquè hi havia un forn de rajoles de València en una casa del carrer.;;{n80}.;Horno
131905;carrer;del;Forn de la Fonda;;Abans de 1865;L'any 1579 el carrer es deia de la Fonda, per la fonda que hi havia al carrer. Més tard, el nom del carrer indicà la situació del forn d'aquella fonda, al fons del carrer, que no tenia sortida.;;{PC:MPV,fn}.;Fonda
701420;plaça;del;Fort Pienc;01/03/2002;;Per la petita fortalesa de defensa, avançada a la de la Ciutadella, que existí en aquest indret. Fou construïda per ordre del general Pius de Savoia, després de la Guerra de Successió.;;;
132001;carrer;de;Fortuna;15/01/1958;;Poble de Múrcia, prop del riu Segura i al sud de Iecla. Forma conjunt amb els carrers Segura i Iecla.;;{*}.;
701612;plaça;del;Fòrum;24/04/2007;;Fòrum Universal de les Cultures. Esdeveniment de caràcter internacional que es desenvolupà a Barcelona entre el 9 de maig i el 26 de setembre del 2004. El seu temari era: la pau, la diversitat cultural i la sostenibilitat. Es va celebrar en un recinte de quaranta hectàrees construït al front litoral del Besòs, repartit entre els municipis de Barcelona i Sant Adrià del Besòs. En aquest conjunt arquitectònic destaca una gran plaça construïda damunt de la coberta de la depuradora, un edifici singular de planta triangular conegut com l'edifici blau, un centre de convencions, un port esportiu i una gran pèrgola fotovoltaica. Aquesta primera edició del Fòrum va desenvolupar quatre grans exposicions, quatre-cents espectacles i prop de cinquanta debats o diàlegs interculturals.;;;
132205;carrer;de la;Fosca;30/12/1953;;Caseria del municipi de Palamós (Baix Empordà).;;{n80}.;Núm. 1
132307;plaça;del;Fossar de les Moreres;12/04/1995;;Per l'antic cementiri parroquial de Santa Maria del Mar, on foren enterrats molts morts del setge de 1714.;;{n80}.;"C. del Fossar de les Moreres, 12/06/1980; C. del Fossar de las Moreras, abans 1865"
133900;plaça;de;Fra Eloi de Bianya;04/10/1950;;Joan Ayats i Plantalech (la Vall de Bianya, 1875 - Barcelona, 1936). Frare llec de la comunitat caputxina de Sarrià, on feia de porter. Fou detingut per elements incontrolats el 28 de juliol de 1936, fou torturat i morí d'un xoc traumàtic a l'Hospital Clínic. El procés per beatificar-lo ja s'ha iniciat.;;{PC:fn}.;
134007;carrer;de;Fra Juníper Serra;;;Josep Miquel Serra i Ferrer (Petra, 1713 - Monterrey, 1784). Fundador de les missions franciscanes de l'Alta Califòrnia. Fundà les ciutats de San Diego i San Francisco, entre d'altres. En professar, adoptà el nom de Juníper i, popularment, Ginebró.;;{n80}.;Fray Junípero Serra
134200;carrer;de;Fra Luis de Granada;07/03/1939;;Luis de Sarria (Granada, 1504 - Lisboa, 1588). Escriptor i predicador.;;{n80}.;"Fray Luis de Granada; Jaca, 13/01/1933; Fray Luis de Granada, 19/11/1929; Núm. 28 (plànol de les Corts), 29/01/1925"
258509;carrer;de;Pitàgores;;Any 1900;Pitàgores (Samos, 580 aC - Metapont, 497 aC). Filòsof i matemàtic grec. Fugint de la tirania de Polícrates, s'establí a Crotona, on fundà una comunitat filosòfica, política i religiosa que serví de model.;;{AHCB:RiC,m}.;"Pitágoras; San Jacinto"
261208;carrer;del;Poeta Masifern;13/11/1962;;Ramon Masifern i Marcó (la Bisbal, 1862 - Barcelona, 1936). Poeta i compositor de sardanes i de cançons de gran difusió.;;{n80*}.;
700887;carrer;del;Poliol;24/12/1992;;La planta aromàtica. Forma part d'un conjunt de carrers dedicats a flors, a plantes i a arbustos.;;{PC:en}.;
230838;carrer;del;Pollancre;10/04/1981;;L'arbre. Forma part d'un conjunt de carrers amb noms d'arbres i d'arbustos.;;{PC:fn}.;Pg. de la Mare de Déu de la Salut
700094;carrer;de;Pollença;26/02/1993;;Municipi de Mallorca Septentrional, a l'extrem nord de l'illa, accidentat pel sector nord-oriental de la serra de Tramuntana.;;{PC:en}.;
261401;carrer;de;Polònia;17/01/1923;;Estat de l'Europa Central a la conca dels rius Vístula i Oder.;;{n80}.;Núm. 5 (urb. Baró)
700919;carrer;del;Polvorí;30/07/1993;;Pel mateix motiu que el camí del Polvorí, que condueix a un polvorí del segle XVII.;;{PC:en}.;
261478;camí;del;Polvorí;;;Condueix a un polvorí del segle XVII, conservat durant molts anys.;;{n80}.;
700710;escales;del;Polvorí;11/03/1991;;Escales que condueixen al sector del Polvorí.;;{PC:en}.;
261503;carrer;del;Pom d'Or;;;Coexisteixen dues versions sobre l'origen del nom. Segons Balaguer, per un pom de metall daurat que hi havia a l'entrada d'una casa. Segons Sampere i Miquel, corrupció de pont d'or, per una volta a l'entrada del carrer, que lluïa una mostra daurada d'un comerç allí establert.;;{n80}.;Arnau Junqueras
701616;jardins;de;Rosa Maria Arquimbau;24/04/2007;;"Rosa Maria Arquimbau i Cardil (Barcelona, 1908 - 1992). Escriptora, periodista i política. Participà en una sèrie de reportatges de caire social a la revista il·lustrada Imatges i, més tard, al setmanari La Rambla. Participà en la recollida de signatures de dones a favor de l'Estatut; va impulsar la campanya a favor del vot femení, i presidí el Front Únic Femení d'Esquerra, creat el 1932. Com a escriptora, publicà nombrosos llibres; per exemple, el llibre de contes La dona dels ulls que parlen (1929) i la peça teatral Maria la Roja (1938), que, segons ella, era un reportatge sobre la presó de dones de París.";;;
701625;plaça;de;Rosa Peraulet;09/11/2007;;Rosa Peraulet i Bosch (Portbou, 1907 - Barcelona, 1969). Activista sindical. Promogué la vaga del tèxtil contra la prohibició del treball remunerat per a les dones casades. Fou perseguida per la policia i hagué de deixar la feina. No va ser admesa en cap altra empresa, atès que el seu nom circulava en una llista de persones non grates.;;;
013909;carrer;d';Amigó;05/09/1907;;Eduard Amigó de Lara (Barcelona, 1833 - Buenos Aires, 1902). Pianista i compositor. Cèlebre concertista d'harmònium, premiat al Conservatori de París l'any 1865.;;"{n80;AHCB:RiC,m}.";Rosés, 19/08/1868
014107;carrer;d';Amílcar;05/09/1907;;Amílcar Barca (Cartago, ? - Elx, 228 aC). General cartaginès. Era el pare d'Anníbal. Es creia que fou el fundador de Barcelona, la qual cosa és improbable. A partir del seu nom de família o lloc d'origen s'ha volgut treure el de Bàrcino, ja que l'ètim d'ambdós noms sembla que té un origen comú.;;"{n80;*td}.";Nacional
014209;carrer;de l';Amistat;;Abans de 1900;Per la societat recreativa Amistat Catalana establerta al mateix carrer quan va atorgar-se-li el nom. L'objectiu d'aquesta societat era la investigació sobre temes relacionats amb el teatre i l'organització de representacions de teatre català.;;{AHCB:RiC,m}.;Amistad
701543;jardins;de l';Amistat;15/02/2006;;Per les relacions entre col·lectivitats fonamentades en el bon veïnatge, en la bona entesa i en la col·laboració de les associacions de veïns dels carrers de Jerez i d'Horta, fonamentalment.;;;
369102;carrer;d';Amnistia Internacional;24/01/2003;;"Organització internacional, no governamental, creada amb la finalitat d'aconseguir l'alliberament dels presoners de consciència, que no hagin utilitzat la violència, i de garantir els drets humans allí on siguin violats; s'oposa a la tortura i a la pena de mort. Va ser fundada a Londres, el 1961, per l'advocat britànic Peter Berenson. L'any 1977 va rebre el premi Nobel de la pau i el 1978 el Premi dels Drets Humans de l'Organització de Nacions Unides (ONU). Carrer que forma conjunt amb altres de la zona relacionats amb la lluita per la pau i els drets humans.";;;"Enclusa, 1958; Yunque"
014300;carrer;de l';Amor;11/03/1909;;Al juny de 1908 fou presentat per Jaume Duran i Torelló el projecte d'urbanització dels terrenys en el paratge de la Clota. L'aprovació implicava també la dels noms dels carrers proposats per la propietat.;;"{AHCB:ac.11.3.1909;RP11: 14.119.}.";
144204;carrer;;Ample;22/06/1979;;Un dels principals carrers de la Barcelona antiga, ple aleshores de palaus de nobles famílies catalanes. Se citava especialment per la seva amplada, que fins i tot permetia curses de cavalls.;;{PC:MPV,fn}.;"Ancha; General Primo de Rivera; Antonio Maura; Mar y Cielo; Ancha, abans de 1919"
014504;carrer;d';Amposta;05/09/1907;;Municipi i cap de comarca del Montsià.;;{n80}.;"Princesa; Clavé"
700674;carrer;d';Amsterdam;19/01/1993;;Ciutat dels Països Baixos, a l'Holanda septentrional. Dedicat per ser la ciutat seu dels Jocs Olímpics de 1928.;;{PC:en}.;
217807;passeig;d';Amunt;;Abans de 1940;Indica l'indret, a la part alta. Abans d'urbanitzar-se la zona on rau el carrer, a la falda interior de la muntanya Pelada, sembla que ja existia com a passeig, amb arbrat interior d'una finca, denominat passeig de Dalt.;;{PC:MPV,fn}.;"Passeig del Serrat, de 1931 al 1939; Paseo del monte, abans de 1927"
701592;jardins;d';Anaïs Napoleon;09/03/2007;;Anne (Anaïs) Tiffon Cassan (Narbona, 1831 - Barcelona, 1912). Fotògrafa. El 24 de desembre de 1850 es casà amb Antonio Fernández Soriano. El matrimoni va obrir, el 1851, un estudi de fotografia al número 17 (avui 18) de la Rambla amb el nom de Napoleón. Es convertí en una de les primeres dones que va fer daguerreotips a Espanya i s'especialitzà en targetes de visita. El seu marit i el seu fill gran continuaren el negoci, en mans de la família Tiffon fins al tancament definitiu l'any 1968.;;;
701448;carrer;d';Anaïs Nin;10/05/2005;;"Anaïs Nin i Culmell (Neuilly-sur-Seine, 1903 - Los Angeles, 1977). Escriptora que tractà temes com el narcisisme, la sexualitat, la condició de la dona i les seves relacions amb el món des d'un punt de vista psicosocial. Als onze anys començà a escriure i descobrí en la literatura una sortida al seu drama íntim: la fascinació amorosa vers el seu pare, que els havia abandonat i el qual no va retrobar fins al 1933. Començà, aleshores, a escriure un diari que assolí unes 15.000 pàgines i que fou publicat parcialment fins al 1966. Després de passar l'adolescència a Nova York, es casà amb Hugh Guiler, un banquer, i tornà a França. L'any 1929 s'instal·là a Louveciennes, on completà el seu diari. La seva casa es convertí en un dels salons literaris i artístics més famosos dels anys trenta del segle XX. Entre 1934 i 1938 rebé a Henry Miller i la comunitat americana de París; així mateix, mantingué abundosa correspondència amb l'escriptor D. H. Lawrence. En retornar als Estats Units, es casà amb Rupert Pole, el seu darrer espòs i marmessor literari.";;;
014901;passatge;d';Andalet;;;Per la casa coneguda com a Ca l'Andalet, situada en el camí de Can Grasses. Després, l'esmentat camí prengué el nom de la casa. Andalet fou el sobrenom del masover Eudald Bernat. Situat en els terrenys que foren de Francesc Xinxó Marton fins al 1923.;;"{RP11:129.38.;FbM}.";
015008;carrer;d';Andalusia;05/09/1907;;La comunitat autònoma a la qual dedica Barcelona aquest carrer.;;{n80}.;"Andalucía; San Ramón"
700032;passatge;d';Andalusia;27/02/1989;;Per la seva proximitat al carrer d'Andalusia. La comunitat autònoma a la qual dedica Barcelona aquest vial.;;{PC:en}.;
015052;carrer;de l';Andana de l'Estació;;;Per l'estació del Clot, situada en el km 3 de la via fèrria de Barcelona a França (interior).;;{PC:MPV,fn}.;Andén Estación MZA
015100;carrer;d';Andorra;05/09/1907;;Estat al sud-oest d'Europa que limita amb França i Espanya.;;{PC:n80}.;Estrella
015201;carrer;d';Andrade;19/11/1929;;Juan Gil de Andrade. Comandant de divisió naval. Prengué part en la batalla de Lepant i Joan d'Àustria el nomenà governador de la Galera Reial, la galera capitana. En el nomenclàtor de 1980 es va canviar la dedicació a favor de Domingo Antonio de Andrade (Cée, 1639 - Santiago de Compostel·la, 1712). Arquitecte i entallador.;;"{AMAB:en,c14;PC:MPV,fn;AMD10,en}.";Diputación (2n tram)
015303;carrer;d';Andratx;27/07/1950;;Municipi de Mallorca Occidental. Forma part d'un conjunt de carrers de la barriada de Porta dedicats a poblacions de les illes Balears.;;"{DIU;n80}.";Andraitx
701112;plaça;d';André Malraux;11/07/1994;;André Malraux (París, 1901 - Créteil, 1976). Escriptor i polític. Premi Goncourt. Participà en la Guerra Civil espanyola, fou membre de la Resistència francesa i ministre amb De Gaulle.;;{PC:en}.;
015405;carrer;d';Andrea Doria;19/11/1929;;Giovanni Andrea Doria (Gènova, 1539 - 1606). Segon príncep de Melfi i almirall al servei dels virreis de Nàpols i Sicília. Prengué part en la batalla de Lepant (1571) com a comandant de divisió naval sota les ordres de Joan d'Àustria.;;"{AMAB:en,c14;PC:MPV,fn}.";"Andres Doria; Alegría, 1856; Cementerio"
701828;passatge;de;Xavier Llorens;03/06/2014;;Xavier Llorenç i Feliu, associacionista, conseller i pedagog, nasqué a Pont de Suert, el 29 de juliol de 1914. Establert a Barcelona, el 1968 fundà la A.VV del Grup La Pau, del que fou president. L'any 1983 va crear l'Aula Pompeu Fabra, per l'ensenyament del català al barri de La Pau. Col·laborà amb la parròquia de Sant Ambrós, d'aquell barri, aconseguint nombroses subvencions oficials. Va crear, també, la cooperativa de consum COPAZ. Fou nomenat Conseller Municipal del Districte de Sant Martí, en les primeres legislatures de la democràcia. Xavier Llorenç va morir a Barcelona, el 13 de maig del 2002.;;;
700686;plaça;de;Rosa Sabater;27/07/1990;;Rosa Sabater i Parera (Barcelona, 1927 - Mejorada del Campo, 1983). Pianista. Fou professora dels cursos internacionals de Santiago de Compostel·la i del Conservatori de Friburg.;;{PC:en}.;
316900;plaça;de;Santa Madrona;07/03/1939;;Per la mateixa dedicació que el carrer de Santa Madrona.;;{n80}.;"Alférez Cabré; Santa Madrona, abans de 1880"
317007;carrer;de;Santa Magdalena;;Abans de 1830;Deixebla de Jesús i germana de Marta. En homenatge a Magdalena Escarabatxeras i Blanch (Barcelona, ? - 1794). Sogra d'Àgata Badia i Puigrodon de Trilla, propietària urbanitzadora del sector de Gràcia on hi ha el carrer.;;"{RP15:99.239.;ADB;ACB*}.";
317109;carrer;de;Santa Magdalena Sofia;07/03/1939;;Magdalena Sofia Barat (diòcesi de Sens, Joigny, 1779 - París, 1865). Fundadora de l'institut religiós del Sagrat Cor de Jesús, que també es coneix amb els noms de Dames de la Fe o de la Instrucció Cristiana.;;"{n80*;BS}.";"Paciano Ros; Santa Magdalena Sofía; Paciano Ros (Ajuntament de Sarrià)"
317200;carrer;de;Santa Margarida;;Abans de 1900;Per la capella que hi hagué al carrer segles enrere, dedicada a la santa martiritzada a Antioquia al segle III. La capella encara subsistia a final del segle XVII.;;{PC:MPV:fn}.;Santa Margarita
317302;carrer;de;Santa Maria;;Abans de 1900;Per santa Maria, mare de Jesús.;;{n80}.;
