COVER_ELEVATION_M;TYPE;Geom;Geo Local Area
19.09;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13817960599869, 49.291798049741956]}";West End
16.35;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13558148318137, 49.290110180233604]}";West End
85.37;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08652841759763, 49.22879390404134]}";Sunset
16.36;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.1365428507775, 49.29080492327128]}";West End
89.84;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08790689184492, 49.228913462732756]}";Sunset
6.64;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14033246030355, 49.29333971788586]}";
10.38;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14017594002797, 49.29323834348914]}";
4.78;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11743207364938, 49.207541869050026]}";Marpole
31.29;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.16429324761208, 49.26115544005072]}";Kitsilano
35.7;Storm;"{""type"": ""Point"", ""coordinates"": [-123.032075773815, 49.28160640273871]}";Hastings-Sunrise
31.95;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03274414326596, 49.281607015845466]}";Hastings-Sunrise
37.56;Combined;"{""type"": ""Point"", ""coordinates"": [-123.03185412980083, 49.28160619419644]}";Hastings-Sunrise
35.91;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13392231159077, 49.28005435939362]}";West End
57.98;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05733268513953, 49.2658888195061]}";Grandview-Woodland
57.87;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05735752409059, 49.265889922583106]}";Grandview-Woodland
59.55;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05671933387175, 49.26587958731355]}";Grandview-Woodland
57.3;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11823590360449, 49.25473457661915]}";South Cambie
95.52;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02985698612301, 49.21475411179516]}";Killarney
21.81;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.16456496163201, 49.2670564677641]}";Kitsilano
18.48;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10430493216678, 49.2137463671388]}";Sunset
14.7;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10581120846149, 49.213769581270114]}";Sunset
17.24;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10652135723912, 49.21420032437931]}";Marpole
21.81;Storm;"{""type"": ""Point"", ""coordinates"": [-123.16455752826484, 49.26731362423544]}";Kitsilano
18.85;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10780234815121, 49.214664057173536]}";Marpole
19.55;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1072039322814, 49.2146562664834]}";Marpole
23.66;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10701694317642, 49.21510162538859]}";Marpole
31.43;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10567160692754, 49.21591437325768]}";Sunset
23.87;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10643170484492, 49.21508140499887]}";Marpole
39.56;Storm;"{""type"": ""Point"", ""coordinates"": [-123.15028959430958, 49.26468926530839]}";Kitsilano
39.85;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07053441621916, 49.2578215747697]}";Kensington-Cedar Cottage
40.24;Combined;"{""type"": ""Point"", ""coordinates"": [-123.0713217629938, 49.25782819763782]}";Kensington-Cedar Cottage
40.18;Combined;"{""type"": ""Point"", ""coordinates"": [-123.18606474768762, 49.26071006268895]}";West Point Grey
30.27;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04147014934784, 49.277444195178575]}";Hastings-Sunrise
67.99;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17310465738157, 49.23659207451307]}";Dunbar-Southlands
46.14;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.07591106598457, 49.252613786001945]}";Kensington-Cedar Cottage
46.35;Storm;"{""type"": ""Point"", ""coordinates"": [-123.07593212970363, 49.252531780710434]}";Kensington-Cedar Cottage
25.21;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11957375291308, 49.28347354995877]}";Downtown
48.03;Storm;"{""type"": ""Point"", ""coordinates"": [-123.07595762593422, 49.2517473175548]}";Kensington-Cedar Cottage
47.16;Storm;"{""type"": ""Point"", ""coordinates"": [-123.07594459333244, 49.25215558331837]}";Kensington-Cedar Cottage
16.81;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13949436589805, 49.292698729935104]}";West End
93.91;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.02770702441495, 49.24704161332485]}";Renfrew-Collingwood
57.3;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.19019106671378, 49.26171062808211]}";West Point Grey
59.7;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.19099265449415, 49.26172952703574]}";West Point Grey
57.21;Storm;"{""type"": ""Point"", ""coordinates"": [-123.19017192808334, 49.261705271451774]}";West Point Grey
76.45;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.19862808186103, 49.2609447645519]}";West Point Grey
38.63;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04167748306747, 49.281090892303396]}";Hastings-Sunrise
41.36;Combined;"{""type"": ""Point"", ""coordinates"": [-123.03716235623259, 49.28108454384826]}";Hastings-Sunrise
76.86;Combined;"{""type"": ""Point"", ""coordinates"": [-123.19588838122647, 49.25654325090977]}";Dunbar-Southlands
98.19;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.04028994135277, 49.22978025695671]}";Killarney
62.62;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0275495642712, 49.21018631329816]}";Killarney
75.02;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03418256329972, 49.2131045003812]}";Killarney
63.78;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02381329517027, 49.21160488208286]}";Killarney
75.02;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03416567210905, 49.213100817312494]}";Killarney
81.31;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03401868125616, 49.21355424093173]}";Killarney
81.35;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0307851501677, 49.212585168618105]}";Killarney
81.29;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03080986383178, 49.212583273019284]}";Killarney
83.59;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03259922977686, 49.21341503447277]}";Killarney
14.0;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08069125067016, 49.21009275311914]}";Sunset
47.3;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.07474101744597, 49.25213450981291]}";Kensington-Cedar Cottage
53.13;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1968042150769, 49.264626217061675]}";West Point Grey
14.94;Combined;"{""type"": ""Point"", ""coordinates"": [-123.09760728198829, 49.28224793828768]}";Strathcona
0.0;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11267294694719, 49.27083777020862]}";Mount Pleasant
3.59;Storm;"{""type"": ""Point"", ""coordinates"": [-123.11455815157593, 49.26791320596649]}";Mount Pleasant
5.73;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11531847518931, 49.267931393514786]}";Fairview
26.71;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13820257302683, 49.20867973648826]}";Marpole
22.29;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.1377522516715, 49.207766460469934]}";Marpole
76.4;Storm;"{""type"": ""Point"", ""coordinates"": [-123.19861090387498, 49.26094180767047]}";West Point Grey
90.35;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.21079933637382, 49.26020757577206]}";West Point Grey
93.04;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.21226524096085, 49.260227460933905]}";West Point Grey
93.04;Storm;"{""type"": ""Point"", ""coordinates"": [-123.21224770552843, 49.260218201088136]}";West Point Grey
73.57;Storm;"{""type"": ""Point"", ""coordinates"": [-123.2074189000433, 49.26467455556667]}";West Point Grey
55.97;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05647284328259, 49.2649789015885]}";Hastings-Sunrise
58.425;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06001805961245, 49.26673203314]}";Grandview-Woodland
121.24;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02626719898115, 49.2272853867114]}";Killarney
118.71;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.02781817632585, 49.22731756848334]}";Killarney
103.98;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03888951729522, 49.23113598013792]}";Killarney
108.98;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0388817994203, 49.231102934169506]}";Killarney
105.29;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03651025495914, 49.231088218208065]}";Killarney
104.34;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03748990776307, 49.23109177239537]}";Killarney
103.52;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03748735798634, 49.23024522972358]}";Killarney
94.68;Storm;"{""type"": ""Point"", ""coordinates"": [-123.04173539902062, 49.22932724635478]}";Killarney
15.06;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13919886916511, 49.26835396130565]}";Fairview
12.51;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.14335670277745, 49.26879586690837]}";Fairview
18.39;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17767695780643, 49.268545445318864]}";Kitsilano
18.82;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17962917719694, 49.26857538522482]}";Kitsilano
14.32;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17377256771567, 49.269749822963554]}";Kitsilano
17.59;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17572416307574, 49.26851539234707]}";Kitsilano
81.15;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0523486981588, 49.21720015543579]}";Victoria-Fraserview
90.05;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03809388413687, 49.23690841640641]}";Renfrew-Collingwood
87.21;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03770860563056, 49.2373352682573]}";Renfrew-Collingwood
82.55;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08686388972194, 49.23472979199698]}";Kensington-Cedar Cottage
87.9;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06366961809786, 49.23692194268499]}";Kensington-Cedar Cottage
86.69;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06612083161669, 49.236695594612534]}";Kensington-Cedar Cottage
86.85;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06533770951737, 49.23689756068971]}";Kensington-Cedar Cottage
84.53;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06469547381252, 49.23889014397719]}";Kensington-Cedar Cottage
84.53;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06474383274528, 49.23898627603493]}";Kensington-Cedar Cottage
85.95;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06544555885247, 49.238102520710356]}";Kensington-Cedar Cottage
81.12;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06471787486065, 49.23981135220629]}";Kensington-Cedar Cottage
92.6;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02974224211957, 49.2362287679316]}";Renfrew-Collingwood
86.36;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06531899216522, 49.23746500038232]}";Kensington-Cedar Cottage
46.52;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05554148206508, 49.26342363262471]}";Hastings-Sunrise
49.14;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05584667714807, 49.263713230040345]}";Hastings-Sunrise
48.47;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05423482763663, 49.26387553375821]}";Hastings-Sunrise
62.68;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04953327797581, 49.26479707169443]}";Hastings-Sunrise
68.37;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08394937729794, 49.245459357387155]}";Kensington-Cedar Cottage
68.41;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.08395290138083, 49.24544713030396]}";Kensington-Cedar Cottage
64.21;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0942024906671, 49.24312164097312]}";Riley Park
67.81;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09419642408753, 49.24267697532949]}";Riley Park
3.33;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13944830499314, 49.2712273204428]}";Fairview
3.06;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13913261920473, 49.27091736674392]}";Fairview
5.42;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.14005550945927, 49.27107578157135]}";Fairview
16.81;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14322969055976, 49.26756173896639]}";Fairview
6.11;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14032208279396, 49.271481969026055]}";Fairview
6.24;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14020021490796, 49.2713501484495]}";Fairview
5.64;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.15028063331474, 49.2716093751633]}";Kitsilano
72.21;Storm;"{""type"": ""Point"", ""coordinates"": [-123.17874086218832, 49.23947702964419]}";Dunbar-Southlands
79.11;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05126160446383, 49.21716756734427]}";Victoria-Fraserview
78.37;Storm;"{""type"": ""Point"", ""coordinates"": [-123.05065555192834, 49.21707126141241]}";Victoria-Fraserview
48.16;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06174779829504, 49.27617640631722]}";Grandview-Woodland
5.37;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.1006943206409, 49.210925617975796]}";Sunset
88.28;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.04062176141228, 49.23777615404976]}";Renfrew-Collingwood
84.39;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0453867752488, 49.21711448822086]}";Killarney
87.21;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0419951011245, 49.237751843575005]}";Renfrew-Collingwood
86.88;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.04188106918745, 49.237901116075854]}";Renfrew-Collingwood
92.17;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05539399229704, 49.21796615821251]}";Victoria-Fraserview
90.77;Combined;"{""type"": ""Point"", ""coordinates"": [-123.05578046597073, 49.217650157087455]}";Victoria-Fraserview
83.72;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06454722218326, 49.238146491151014]}";Kensington-Cedar Cottage
83.35;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06140763577386, 49.23641301078238]}";Kensington-Cedar Cottage
79.25;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06599131931839, 49.23997569448776]}";Kensington-Cedar Cottage
77.83;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06626242792015, 49.24011046792805]}";Kensington-Cedar Cottage
17.29;Combined;"{""type"": ""Point"", ""coordinates"": [-123.10185534968589, 49.26688354799013]}";Mount Pleasant
104.61;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03598312171357, 49.23324098367237]}";Killarney
93.6;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14258971288075, 49.23807084085437]}";Shaughnessy
78.6;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.06075734307447, 49.24066290563141]}";Kensington-Cedar Cottage
98.03;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13250017553419, 49.23773572694603]}";Shaughnessy
87.67;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14420571300009, 49.23817890980659]}";Shaughnessy
44.12;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.15032632092954, 49.26048129433978]}";Kitsilano
105.2;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13459312095023, 49.23739872924659]}";Shaughnessy
102.48;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13718773360394, 49.23613819532027]}";Shaughnessy
103.67;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13716170800195, 49.23699862186629]}";Shaughnessy
106.32;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1385094138149, 49.23794192874613]}";Shaughnessy
36.84;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16390365486835, 49.246290422281966]}";Arbutus-Ridge
34.76;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16428741426265, 49.246619462646244]}";Arbutus-Ridge
56.46;Combined;"{""type"": ""Point"", ""coordinates"": [-123.02967331694009, 49.28295932524244]}";Hastings-Sunrise
29.0;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03283602946293, 49.28205881743144]}";Hastings-Sunrise
35.39;Combined;"{""type"": ""Point"", ""coordinates"": [-123.03433347295791, 49.28124663056507]}";Hastings-Sunrise
55.88;Combined;"{""type"": ""Point"", ""coordinates"": [-123.0294116806548, 49.28205538611064]}";Hastings-Sunrise
33.54;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04013131195141, 49.28108946969236]}";Hastings-Sunrise
37.04;Combined;"{""type"": ""Point"", ""coordinates"": [-123.03859300603207, 49.2810885634763]}";Hastings-Sunrise
34.33;Combined;"{""type"": ""Point"", ""coordinates"": [-123.03954049644905, 49.2810888638074]}";Hastings-Sunrise
55.39;Combined;"{""type"": ""Point"", ""coordinates"": [-123.04932649894698, 49.28387844430915]}";Hastings-Sunrise
90.2;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.05349493904124, 49.218011750815435]}";Victoria-Fraserview
0.0;Combined;"{""type"": ""Point"", ""coordinates"": [-123.08460043711503, 49.229081138461]}";Sunset
99.18;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03041232429992, 49.24323827914691]}";Renfrew-Collingwood
99.2;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0304053156066, 49.243235312563904]}";Renfrew-Collingwood
97.94;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.02957628131371, 49.24337712178322]}";Renfrew-Collingwood
104.73;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03232104521881, 49.24331335687785]}";Renfrew-Collingwood
103.11;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03139113792221, 49.2429266742225]}";Renfrew-Collingwood
54.63;Storm;"{""type"": ""Point"", ""coordinates"": [-123.06712041823255, 49.24950060117036]}";Kensington-Cedar Cottage
105.01;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0368726604175, 49.232812007459444]}";Killarney
105.23;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03654445789788, 49.232672811273154]}";Killarney
105.1;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.037502618447, 49.232114879473585]}";Killarney
105.01;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03685054347167, 49.232809495846084]}";Killarney
0.0;Storm;"{""type"": ""Point"", ""coordinates"": [-123.09288924605279, 49.26691098346017]}";Strathcona
9.85;Storm;"{""type"": ""Point"", ""coordinates"": [-123.09289333341947, 49.266671995688206]}";Mount Pleasant
5.162;Storm;"{""type"": ""Point"", ""coordinates"": [-123.09118541598296, 49.266902535903064]}";Strathcona
20.57;Storm;"{""type"": ""Point"", ""coordinates"": [-123.09741309709989, 49.2663323657178]}";Mount Pleasant
16.01;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09621369557648, 49.26671034158443]}";Mount Pleasant
29.1;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08905498660378, 49.26520217053176]}";Mount Pleasant
3.38;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08536295624606, 49.26702098940022]}";Strathcona
98.0;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03815534351592, 49.23592638505753]}";Renfrew-Collingwood
15.9;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.0894503017915, 49.27702901552548]}";Strathcona
67.99;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09459875984103, 49.24267418188639]}";Riley Park
84.93;Combined;"{""type"": ""Point"", ""coordinates"": [-123.14450886269351, 49.238985044849024]}";Shaughnessy
70.43;Combined;"{""type"": ""Point"", ""coordinates"": [-123.11653754505409, 49.24796601864803]}";South Cambie
25.84;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07505906665813, 49.2567501283853]}";Kensington-Cedar Cottage
35.39;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12185416051794, 49.26282952334808]}";Fairview
47.74;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11493701329617, 49.258278630013706]}";Mount Pleasant
50.91;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12436921039138, 49.257754812234396]}";Fairview
5.24;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09510672079426, 49.28531064039871]}";Strathcona
51.04;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12435200301421, 49.25709791909074]}";Fairview
49.51;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1231989181511, 49.25706723037593]}";Fairview
49.43;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12318189681486, 49.2570751643158]}";Fairview
51.93;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12439799791967, 49.2562165991043]}";South Cambie
50.9;Storm;"{""type"": ""Point"", ""coordinates"": [-123.1243983603889, 49.25776071769491]}";Fairview
49.26;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.12280588208885, 49.25772970573578]}";Fairview
9.12;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.18958184034365, 49.23151737853109]}";Dunbar-Southlands
79.36;Storm;"{""type"": ""Point"", ""coordinates"": [-123.14453885204546, 49.25389703767121]}";Shaughnessy
94.68;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.04173477641758, 49.22932187641086]}";Killarney
27.24;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07712089704434, 49.260091094823515]}";Kensington-Cedar Cottage
99.56;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.02959997117975, 49.2427858768436]}";Renfrew-Collingwood
14.07;Storm;"{""type"": ""Point"", ""coordinates"": [-123.13723447954509, 49.28916149666376]}";West End
16.41;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.13339935915724, 49.289508964323275]}";West End
13.27;Storm;"{""type"": ""Point"", ""coordinates"": [-123.17389292085856, 49.27024375721674]}";Kitsilano
17.1;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17369204150465, 49.26758829808601]}";Kitsilano
10.52;Combined;"{""type"": ""Point"", ""coordinates"": [-123.17410747305858, 49.27118048195919]}";Kitsilano
4.67;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08790370923444, 49.26658461618659]}";Strathcona
29.06;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08959957422968, 49.265206696863395]}";Mount Pleasant
29.1;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.089612210061, 49.265201379894286]}";Mount Pleasant
35.69;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.09030875382827, 49.26479408347489]}";Mount Pleasant
99.19;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03570283050888, 49.23462651011049]}";Renfrew-Collingwood
99.1;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03571644203869, 49.234643596876694]}";Renfrew-Collingwood
89.59;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0358517059122, 49.23568718370651]}";Renfrew-Collingwood
24.91;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07499683543129, 49.25797184487509]}";Kensington-Cedar Cottage
24.12;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.07439391866372, 49.25824021106673]}";Kensington-Cedar Cottage
27.59;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07367379871594, 49.25780125632214]}";Kensington-Cedar Cottage
65.121;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08790632701613, 49.242489965388444]}";Kensington-Cedar Cottage
27.98;Combined;"{""type"": ""Point"", ""coordinates"": [-123.0760277115155, 49.256215404087186]}";Kensington-Cedar Cottage
27.92;Combined;"{""type"": ""Point"", ""coordinates"": [-123.16093220861336, 49.255386311412806]}";Arbutus-Ridge
31.36;Combined;"{""type"": ""Point"", ""coordinates"": [-123.15946665027717, 49.2553630849473]}";Arbutus-Ridge
32.96;Storm;"{""type"": ""Point"", ""coordinates"": [-123.0776358050543, 49.25869950559153]}";Mount Pleasant
33.56;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.08616523881058, 49.2629449102576]}";Mount Pleasant
35.59;Storm;"{""type"": ""Point"", ""coordinates"": [-123.08716352156837, 49.262958715710546]}";Mount Pleasant
105.71;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03599799878636, 49.22930996283698]}";Killarney
105.71;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03597299685704, 49.22930439356558]}";Killarney
61.76;Combined;"{""type"": ""Point"", ""coordinates"": [-123.06184676624939, 49.26762839381672]}";Grandview-Woodland
61.22;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07217390993738, 49.24502607970399]}";Kensington-Cedar Cottage
1.77;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1737447373544, 49.27166174932107]}";Kitsilano
17.24;Storm;"{""type"": ""Point"", ""coordinates"": [-123.17759807763399, 49.27030546866335]}";Kitsilano
17.71;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1835609556228, 49.27133032760278]}";Kitsilano
59.57;Combined;"{""type"": ""Point"", ""coordinates"": [-123.09759069991966, 49.22266762452402]}";Sunset
18.56;Combined;"{""type"": ""Point"", ""coordinates"": [-123.1786386261464, 49.268560171867044]}";Kitsilano
79.68;Combined;"{""type"": ""Point"", ""coordinates"": [-123.13401964089367, 49.25515633055424]}";Shaughnessy
9.44;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.11691413767731, 49.277555221253955]}";Downtown
21.51;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.16780233398929, 49.26405653371271]}";Kitsilano
83.79;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.14410872148626, 49.24193583183061]}";Shaughnessy
7.55;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.18825890034992, 49.2311493510588]}";Dunbar-Southlands
8.43;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.18846732963823, 49.231331192232744]}";Dunbar-Southlands
5.98;Storm;"{""type"": ""Point"", ""coordinates"": [-123.18848493051252, 49.23094270314264]}";Dunbar-Southlands
27.6;Storm;"{""type"": ""Point"", ""coordinates"": [-123.20226431555032, 49.23570728732613]}";Dunbar-Southlands
30.22;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.20123631019334, 49.235388113925275]}";Dunbar-Southlands
24.8;Storm;"{""type"": ""Point"", ""coordinates"": [-123.20117737716184, 49.23460623192832]}";Dunbar-Southlands
24.28;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.20164434053625, 49.23473833170774]}";Dunbar-Southlands
109.22;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03452023200845, 49.22929970952672]}";Killarney
67.6;Combined;"{""type"": ""Point"", ""coordinates"": [-123.07215673473024, 49.24299818656882]}";Kensington-Cedar Cottage
109.95;Storm;"{""type"": ""Point"", ""coordinates"": [-123.02924445268638, 49.24020576418299]}";Renfrew-Collingwood
101.42;Sanitary;"{""type"": ""Point"", ""coordinates"": [-123.03063338462704, 49.24032922372276]}";Renfrew-Collingwood
101.42;Storm;"{""type"": ""Point"", ""coordinates"": [-123.03061839188702, 49.24034431271533]}";Renfrew-Collingwood
57.18;Storm;"{""type"": ""Point"", ""coordinates"": [-123.07015428696707, 49.24702070319697]}";Kensington-Cedar Cottage
