MAPID;YEAR_CREATED;NAME;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;MERGED_ADDRESS;NUMBER_OF_PLOTS;NUMBER_OF_FOOD_TREES;NOTES;FOOD_TREE_VARIETIES;OTHER_FOOD_ASSETS;JURISDICTION;STEWARD_OR_MANAGING_ORGANIZATION;PUBLIC_E_MAIL;WEBSITE;Geo Local Area;Geom
FA133;1985;Strathcona Community Garden;857;;Malkin;Av;857 Malkin Av, Vancouver, BC;200;104;;"Bramley's seedling apple; cannor select; cortland; golden delicious smoothee; jonafree; nova mac; shamrock; flemish beauty; hosui; golden spice (hardy); ure pear (hardy); italian plum; pembina plum (hardy); redglow plum (hardy); compact stella cherry; lapin cherry; schatten morello cherry; van cherry; conference dwarf pear; flemish beauty dwarf pear; highland dwarf pear; red sensation dwarf pear; sierra dwarf pear; persimmon fuju and more, Satsuma Plum, Jonamac Apple, Shamrock Apple, Northern Spy Apple, Meteor cherry";;Park Board;Strathcona Community Gardeners Soc.;strathcona.garden.info@gmail.com;http://strathconagardens.ca/;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.08797176, 49.27600308]}"
FA138;2015;The James Garden & Social Community;288;W;1st;Av;288 W 1st  Av, Vancouver, BC;12;;;;;Private;;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.111763, 49.269003]}"
FA147;1999;Wall Street Community Garden;2099;;Wall;St;2099 Wall St, Vancouver, BC;42;;;;;Park Board;Kiwassa Neighbourhood Services Association;wallstreetgarden@gmail.com;;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.06186949, 49.28656975]}"
FA148;;Westmount Park;4651;W;2nd;Av;4651 W 2nd Av, Vancouver, BC;0;2;;Apple;;Park Board;;;;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.2144218, 49.2718445]}"
FA151;2016;Deeper Roots Seniors Community Garden;5350;;Baillie;St;5350 Baillie St, Vancouver, BC;10;;;;;Private;Oakridge Adventist Church;;http://deeproots.ca;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.1218448, 49.2369358]}"
FA152;2016;Aberthau Garden Project;4397;W;2nd;Av;4397 W 2nd Av, Vancouver, BC;10;;;;;Park Board;;ross@villagevancouver.ca;http://www.villagevancouver.ca/page/aberthau-garden-project-1;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.20477766, 49.27214278]}"
FA154;2016;Community Alternatives Coop Community Garden;1937;W;2nd;Av;1937 W 2nd Av, Vancouver, BC;20;;;;;Private;;;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.149194, 49.270065]}"
FA155;2016;Vera Community Garden;575;SW;Marine;Drive;575 SW Marine Drive, Vancouver, BC;12;;;;;Private;;;http://www.communityalternativescoop.com;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.119179, 49.209683]}"
FA160;2017;Alma and 10th;;;;;;100;;;;;Private;Shifting Growth;;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.185464, 49.26324]}"
FA162;2017;Broadway and Victoria;;;;;;100;;;;;Private;Shifting Growth;;;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.064979, 49.262089]}"
FA165;2017;Dunbar and 39th;;;;;;100;;;;;Private;Shifting Growth;;;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.18568, 49.236212]}"
FA166;2017;HFBC Housing Foundation;2085;W;5th;Av;2085 W 5th Av, Vancouver, BC;12;;;;;Private;;;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.152475, 49.267434]}"
FA169;2018;Brightside Home Foundation - King's Daughters;1400;E;11th;Av;1400 E 11th Av, Vancouver, BC;3;;;;;Private;Brightside Community Homes Foundation;;;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.075082, 49.260319]}"
FA172;2018;Killarney;6260;;Killarney;St;6260 Killarney St, Vancouver, BC;20;;;;;Park Board;Killarney community centre;jennifer.takai@vancouver.ca;;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.04341365, 49.22710826]}"
FA174;2016;HFBC Housing Foundation;2924;;Venables;St;2924 Venables St, Vancouver, BC;12;;;;;Private;HFBC Housing Foundation;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.043281, 49.276211]}"
FA176;;John Hendry (Trout Lake) Park;3300;;Victoria;Drive;3300 Victoria Drive, Vancouver, BC;4;;;;;Park Board;;;https://cedarcottagefoodnetwork.com/projects-events/medicine-wheel-garden-at-john-henry-park/;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.06367871, 49.255098]}"
FA177;2018;Riley Park;50;E;30th;Av;50 E 30th Av, Vancouver, BC;20;;;;;Park Board;;info@rileyparkgarden.org;https://www.rileyparkgarden.org/;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.10448685, 49.24298494]}"
FA181;2018;Still Creek Community Garden;2750;E;29th;Av;2750 E 29th Av, Vancouver, BC;45;;;;;Park Board;Collingwood Neighbourhood House Society;stillcreekcommunitygarden@gmail.com;https://rcfood.wordpress.com/;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.045562, 49.243584]}"
FA183;2019;221A;271;;Union;Street;271 Union Street, Vancouver, BC;10;;;;;;;info@semi-public.com;http://semi-public.com;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.097379, 49.2778879]}"
FA184;;Van Tech secondary school;;;;;;0;5;;;;;;;;;
FA002;2014;15th Avenue Coop;1255;E;15th;Av;1255 E 15th Av, Vancouver, BC;8;;;;;Private;;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.0788387, 49.2571193]}"
FA003;2008;16 Oaks;1018;W;16th;Av;1018 W 16th Av, Vancouver, BC;55;;;;;Private;;oak.16th.garden@gmail.com;;Shaughnessy;"{""type"": ""Point"", ""coordinates"": [-123.1276645, 49.2567482]}"
FA006;2011;Adanac Park Community Garden;1025;;Boundary;Road;1025 Boundary Road, Vancouver, BC;30;8;;"1 Early McIntosh Apple; 1 Jonagold apple; 2 italian plum; 2 dwarf anjou pear; 1 hardy evans cherry; 1 hardy juliet cherry";;Park Board;Kiwassa Neighbourhood Services Association;adanac.park.garden@gmail.com;http://adanacparkcommunitygarden.blogspot.ca/;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.02439453, 49.27558227]}"
FA007;1942;East Boulevard Allotment Plots;7176;E;;Boulevard;7176 E  Boulevard, Vancouver, BC;71;;;;;City;City of Vancouver;communitygardens@vancouver.ca;;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.1505481, 49.2209834]}"
FA009;2010;Atira Community Garden;400;;Hawks;Av;400 Hawks Av, Vancouver, BC;15;;;;;Private;Atira Community Resources;;http://www.atira.bc.ca/community-garden-kitchens;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.0871212, 49.2810913]}"
FA011;2015;BC Seniors Living Assoc. Garden;3355;E;5 th;Av;3355 E  5 th Av, Vancouver, BC;11;;;;;Private;BC Seniors Living Assoc. Beulah Homes Society;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.032578, 49.266474]}"
FA017;;Carnarvon Park;2995;W;19th;Av;2995 W 19th Av, Vancouver, BC;0;15;;Apple;;Park Board;;;;Arbutus-Ridge;"{""type"": ""Point"", ""coordinates"": [-123.171486, 49.2565789]}"
FA024;;Charles Park;3400;;Charles;St;3400 Charles St, Vancouver, BC;0;1;;Crabapple;;Park Board;;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.0308947, 49.2732079]}"
FA028;2009;Cambridge Community Garden;2050;;Wall;St;2050 Wall St, Vancouver, BC;5;;;;;City;;;;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.062203, 49.2854905]}"
FA029;2008;China Creek Community Garden;1255;E;10th;Av;1255 E 10th Av, Vancouver, BC;23;3;;2 apple, 1 plum, and raspberry bushes;;Park Board;Urban Diggers Society;"dig@vcn.bc.ca
604-734-4673.";;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.07886814, 49.26199318]}"
FA035;2009;City Hall Lawn Garden;453;W;12th;Av;453 W 12th Av, Vancouver, BC;36;6;;Apple;;City;Evergreen;vancouvercityhallgarden@gmail.com;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.1139357, 49.2613159]}"
FA038;2014;Clark Park Fruit Tree Project;1500;E;15th;Av;1500 E 15th Av, Vancouver, BC;0;4;;;;Park Board;Grandview Community Centre Association;;;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.073727, 49.257484]}"
FA042;2014;Creekside Community Recreation Centre Collaborative Garden;1;;Athletes;Way;1 Athletes Way, Vancouver, BC;23;10;;;;City;Creekside Community Centre Staff;"thegardenatcreekside@gmail.com
604-324-3174";;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10358615, 49.27222196]}"
FA046;;Delamont Park;2091;W;7th;Av;2091 W 7th Av, Vancouver, BC;0;8;;Cherry, Asian pear, plum, hazelnut;;Park Board;;;;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.152619, 49.2658197]}"
FA047;2006;Douglas Park;801;W;22nd;Av;801 W 22nd Av, Vancouver, BC;0;13;;Pear, apple, plum, cherry;;Park Board;;;;South Cambie;"{""type"": ""Point"", ""coordinates"": [-123.1222139, 49.2516505]}"
FA051;2013;Dundee Community Garden;5395;;Dundee;St;5395 Dundee St, Vancouver, BC;30;4;;;;City;Dundee Court Housing Co-op;dundeegardens@hotmail.com;;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.0479743, 49.2357653]}"
FA052;1996;Elisabeth Rogers Community Garden;110;W;7th;Av;110 W 7th  Av, Vancouver, BC;56;12;;Fuji (red sport), Jonagold, Nova Mac, Italian plum, Damson plum, Dwarf Comice pear, Dwarf Red Sensation pear, dwarf Sierra Pear;;Park Board;Urban Diggers Society;"waitlist.ercg@gmail.com
info.ercg@gmail.com  
dig@vcn.bc.ca
604-879-3676";http://dig.vcn.bc.ca/Elizabeth_Rogers;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.10722312, 49.26450808]}"
FA053;2013;Emma G Coop;2250;;Fraser;St;2250 Fraser St, Vancouver, BC;8;;;;;Private;;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.088762, 49.264569]}"
FA055;;Everett Crowley Park;8200;;Kerr;St;8200 Kerr St, Vancouver, BC;0;2;;Cherry, pear;;Park Board;;;;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.0380764, 49.2111116]}"
FA057;1986;Fraser River Park;8705;;Angus;Drive;8705 Angus Drive, Vancouver, BC;0;36;;Native Crabapple;;Park Board;;;;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.1518406, 49.2082762]}"
FA059;2010;Fraserview Golf Course;7800;;Vivian;Drive;7800 Vivian Drive, Vancouver, BC;0;30;;Apple, cherry;;Park Board;;;;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.0539872, 49.2134354]}"
FA070;2009;Habitat Villa - Metro Housing;3859;W;2nd;Av;3859 W 2nd Av, Vancouver, BC;4;;;;;Private;Habitat Villa/Metro Housing;;;West Point Grey;"{""type"": ""Point"", ""coordinates"": [-123.1903871, 49.2704557]}"
FA071;2012;Hastings Community Centre Learning Garden;3096;E;Hastings;St;3096 E Hastings St, Vancouver, BC;25;;;;;Park Board;Seasons of Food;"info@seasonsoffood.com
seasonsoffoodhcc@gmail.com
604-718-6230";https://www.facebook.com/SeasonssOfFoodVancouver/;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.03943167, 49.28037436]}"
FA072;2008;Hastings St Folk Garden;117;E;Hastings;St;117 E Hastings St, Vancouver, BC;150;;;;;Private;Portland Housing Society;;;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.1015964, 49.2814414]}"
FA076;2006;Jacob's Well #2;460;E;Hastings;St;460 E Hastings St, Vancouver, BC;120;;;;;Private;Jacob's Well;;;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.0940499, 49.2811953]}"
FA077;2013;The World in a Garden;7249;;Cypress;St;7249 Cypress St, Vancouver, BC;20;;;;;City;World in a Garden;devorahtradburks@gmail.com;http://www.theworldinagarden.com;Kerrisdale;"{""type"": ""Point"", ""coordinates"": [-123.150444, 49.220092]}"
FA084;2014;Kitsilano Community Centre Garden;2690;;Larch;St;2690 Larch St, Vancouver, BC;15;;;;;Park Board;Kitsilano Community Centre Association;"kitscc@vancouver.ca
604-257-6976";https://kitscc.com/facilities/collaborative-community-garden/;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.16207568, 49.26196809]}"
FA087;2009;Kiwassa Neighbourhood House Community Garden;2425;;Oxford;St;2425 Oxford St, Vancouver, BC;11;;;;;Other;Kiwassa Neighbourhood House;nancym@kiwassa.ca;http://www.kiwassa.ca/;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.05605, 49.2857204]}"
FA088;2010;Ladybug Garden;1688;E;8th;Av;1688 E 8th Av, Vancouver, BC;46;7;;plum, apple, crab apple, fig;;City;The Britannia Community Services Centre Society;gwfcnetwork@gmail.com;http://facebook.com/ladybugcommunitygarden;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.0703978, 49.2629678]}"
FA093;1996;Maple Community Garden;1900;W;6th;Av;1900 W 6th Av, Vancouver, BC;63;4;;Fig, Apple, Plum;;City;None;info@maplecommunitygarden.ca;http://maplecommunitygarden.ca/;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.148045, 49.2663131]}"
FA096;2013;Matheson Heights Housing Coop;3554;;Sparrow;Place;3554 Sparrow Place, Vancouver, BC;16;;;;;Private;;;;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.0257105, 49.2131744]}"
FA098;1996;McSpadden Park Community Garden;2125;;Victoria;Drive;2125 Victoria  Drive, Vancouver, BC;18;;;;;Park Board;McSpadden Agricultural Project Society;mcspaddengarden@gmail.com;http://mcspaddengarden.blogspot.ca/;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.06644596, 49.26651352]}"
FA102;2013;Millross Gardens on Main;989;;Main;St;989 Main St, Vancouver, BC;130;;;;;Private;Amacon;;http://www.milrossgardensonmain.com/;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.1004947, 49.2762031]}"
FA103;2006;MOBY Community Garden;1737;E;11th;Av;1737 E 11th Av, Vancouver, BC;45;;;;;City and Translink;My Own Back Yard;mobyrevival@gmail.com | mobycommunitygarden@gmail.com;http://mobygarden.wordpress.com/;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0688879, 49.2604731]}"
FA108;2011;Norquay Community Learning Orchard;2732;;Horley;St;2732 Horley St, Vancouver, BC;11;20;;Heritage apples, pears, Asian pear, cherry, plums, fig, garry oak;;City;Collingwood Neighbourhood House Society;foodsecurity@cnh.bc.ca;https://rcfood.wordpress.com/;Renfrew-Collingwood;"{""type"": ""Point"", ""coordinates"": [-123.0491218, 49.2403942]}"
FA112;2007;Pine  St. Community Orchard;1708;W;6th;Av;1708 W 6th Av, Vancouver, BC;47;;;;;City;Pine Community Garden Association;pinestreetcommunitygardens@gmail.com;http://pinestreetgardens.org/;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1435022, 49.2662399]}"
FA113;2006;Pine St. Community Garden;1605;W;6th;Av;1605 W 6th Av, Vancouver, BC;40;;;;;City;Pine Community Garden Association;pinestreetcommunitygardens@gmail.com;http://pinestreetgardens.org/;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1413634, 49.266421]}"
FA118;2011;Robson Park Coop;234;E;15th;Av;234 E 15th Av, Vancouver, BC;40;;;;;Private;Robson Park Co-op;;;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.099907, 49.2572409]}"
FA125;2008;South Vancouver Youth Centre Day Program;4866;;Fraser;St;4866 Fraser St, Vancouver, BC;3;;;;;Other;South Van Youth Ctr Day Program;;;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.0902841, 49.2406636]}"
FA126;1978;Sparwood Park;6998;;Arlington;St;6998 Arlington St, Vancouver, BC;0;17;;Crabapple, hazelnut;;Park Board;;;;Killarney;"{""type"": ""Point"", ""coordinates"": [-123.0293224, 49.220271]}"
FA130;2015;St. Augustines Anglican Church;8680;;Hudson;St;8680 Hudson  St, Vancouver, BC;8;;;;;Private;St. Augustines Anglican Church;;;Marpole;"{""type"": ""Point"", ""coordinates"": [-123.134266, 49.207178]}"
FA135;2002;Tea Swamp Community Garden;255;E;16th;Av;255 E 16th Av, Vancouver, BC;20;4;;2 apple, 2 fig, raspberry canes, blueberry, grape;;Park Board;Urban Diggers Society;teaswampgarden@gmail.com;http://dig.vcn.bc.ca/teaswampgarden;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.09901122, 49.25693534]}"
FA143;2007;Urban Acres;1601;W;1st;Av;1601 W 1st  Av, Vancouver, BC;30;;;;;Private;Urban Acres;;;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.1410769, 49.270591]}"
FA144;pre-1970;Valdez Park;3210;W;22nd;Av;3210 W 22nd Av, Vancouver, BC;0;6;;Apple;;Park Board;;;;Dunbar-Southlands;"{""type"": ""Point"", ""coordinates"": [-123.1764742, 49.2524296]}"
FA149;2013;Woodland Park Community Garden;705;;Woodland;Drive;705 Woodland Drive, Vancouver, BC;64;3;;Jonamac Apple, Italian Prune, Pacific Crabapple;;Park Board;Village Vancouver Transition Society;woodlandparkgarden@gmail.com;http://woodlandcommunitygarden.wordpress.com;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.07383824, 49.27845355]}"
FA156;2016;Pender Community Garden;2595;E;Pender;St;2595 E Pender St, Vancouver, BC;;;;;;Private;;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.052293, 49.28068]}"
FA158;2010;Moberley Cultural Herb Garden;7646;;Prince Albert;St;7646 Prince Albert St, Vancouver, BC;5;;;;;Park Board;Moberly Arts and Cultural Centre;Moberlyarts@vancouver.ca;https://moberlyartscentre.ca/artists-residencies/;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.08685681, 49.21496752]}"
FA163;2017;Cambie and 16th Avenue;;;;;;100;;;;;Private;Shifting Growth;;;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.114695, 49.256768]}"
FA167;2017;Mount Pleasant Demonstration Garden;24;W;16th;Av;24 W 16th Av, Vancouver, BC;8;;;;;Private;;;;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.105469, 49.256471]}"
FA168;2017;Oak and 41st;;;;;;100;;;;;Private;Shifting Growth;;;Oakridge;"{""type"": ""Point"", ""coordinates"": [-123.128507, 49.233617]}"
FA170;2018;Brightside Home Foundation - Wallace Wilson;1620;E;6th;Av;1620 E 6th Av, Vancouver, BC;3;;;;;Private;Brightside Community Homes Foundation;;;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.071167, 49.264956]}"
FA173;2018;Our Lady of Sorrows Convent;2811;;Venables;St;2811 Venables St, Vancouver, BC;9;;;;;;Franciscan Sisters of the Eucharist;;;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.045928, 49.276969]}"
FA179;2019;The Hopeful Garden;548;E;28th;Av;548 E 28th Av, Vancouver, BC;3;;;;;Private;Inner Hope Youth Ministries;None;;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.0929942, 49.2455678]}"
