DIAMETER_MM;EFFLUENT_TYPE;GRADE_PERCENT;INSTALL_YR;MATERIAL;NON_CALCULATED_LENGTH_M;Geom
1200.0;Combined;0.08;1972;CONC;266.1;"{""type"": ""LineString"", ""coordinates"": [[-123.0725399499174, 49.28444020342283], [-123.07624537477732, 49.28394449564145]]}"
600.0;Combined;0.16;1970;RC;6.4;"{""type"": ""LineString"", ""coordinates"": [[-123.14500454033369, 49.290785530009025], [-123.14506589252102, 49.290744614955166]]}"
1200.0;Combined;0.2;1961;RC;175.9;"{""type"": ""LineString"", ""coordinates"": [[-123.1901486374703, 49.26866402109045], [-123.18789958920173, 49.26862660135086], [-123.18789023820598, 49.26862562708496], [-123.1878810233037, 49.268624292788886], [-123.18787180737729, 49.268622688637656], [-123.18786272788624, 49.26862081440777], [-123.18785392229002, 49.26861866987578], [-123.18784525278791, 49.26861616531374], [-123.18783672006309, 49.26861348062462], [-123.18782832377408, 49.268610525857014], [-123.18782020138038, 49.26860730078745], [-123.1878124903414, 49.268603805192605], [-123.1878047782792, 49.26860003974282], [-123.18779747791326, 49.26859609371929], [-123.18779058924353, 49.26859196712212], [-123.18778383701009, 49.268587570446705], [-123.1877774961315, 49.26858290324631], [-123.18777142983124, 49.268578145647304], [-123.18776577522713, 49.268573207474844], [-123.18776053197782, 49.2685679987776], [-123.18775556330667, 49.26856269968187], [-123.18775100667284, 49.26855730996436]]}"
0.0;Combined;0.0;;BR;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.12248372044192, 49.29910926835085], [-123.1231938921748, 49.29907053593642]]}"
0.0;Combined;0.0;;BR;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.116973268536, 49.30105483538142], [-123.11720080167542, 49.300728908525215]]}"
0.0;Combined;0.0;;BR;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.11720080167542, 49.300728908525215], [-123.11729086526873, 49.300599808730745]]}"
2100.0;Combined;0.07;;CONC;215.9;"{""type"": ""LineString"", ""coordinates"": [[-123.18601456056707, 49.271370057330216], [-123.18757614206581, 49.27139586768696], [-123.18897881624521, 49.27141913743157]]}"
900.0;Combined;0.1;1954;RC;185.7;"{""type"": ""LineString"", ""coordinates"": [[-123.21243516357828, 49.27518440480672], [-123.21010133768804, 49.27451000252379]]}"
450.0;Sanitary;3.25;1967;n/a;109.7;"{""type"": ""LineString"", ""coordinates"": [[-123.20112298898317, 49.23630681678444], [-123.19972951374983, 49.235931505642014]]}"
900.0;Combined;0.56;;n/a;240.2;"{""type"": ""LineString"", ""coordinates"": [[-123.04023862535077, 49.2893680023361], [-123.0406775118196, 49.28961683480234], [-123.04166546897696, 49.29024955337257], [-123.04258561734848, 49.29088868399765]]}"
600.0;Combined;10.25;;CONC;54.6;"{""type"": ""LineString"", ""coordinates"": [[-123.02471789057608, 49.292539182977364], [-123.02527994709835, 49.292429716238786]]}"
750.0;Combined;1.02;;CONC;132.9;"{""type"": ""LineString"", ""coordinates"": [[-123.02688221741572, 49.29180916536992], [-123.0281415783901, 49.29092785254651]]}"
600.0;Combined;7.28;;CONC;87.5;"{""type"": ""LineString"", ""coordinates"": [[-123.02345127747888, 49.29278576138396], [-123.02471789057608, 49.292539182977364]]}"
1325.0;Combined;0.3;;BR;155.1;"{""type"": ""LineString"", ""coordinates"": [[-123.13234528002296, 49.297773841181616], [-123.13289113771447, 49.29750702116469], [-123.13289937947609, 49.29750305381884], [-123.1329074832126, 49.29749890672807], [-123.13291558694777, 49.29749475963671], [-123.13292369043967, 49.29749052259353], [-123.13293151860827, 49.297486195914935], [-123.13293934653356, 49.29748177928454], [-123.13294703691749, 49.29747736281187], [-123.13295472681614, 49.29747276643613], [-123.13296227917337, 49.29746817021814], [-123.13296969398928, 49.297463574157895], [-123.13297710831984, 49.297458798194675], [-123.13298424756913, 49.29745402254749], [-123.13299138657499, 49.297449156948616], [-123.13299852557948, 49.2974442913493], [-123.1330053889945, 49.297439237168476], [-123.13301226618631, 49.29743419196656], [-123.13301899208291, 49.29742914693836], [-123.13302557995415, 49.29742392216557], [-123.13303216782398, 49.29741869739238], [-123.13317970489071, 49.29730042107813], [-123.13318629321256, 49.29729537619862], [-123.13319288129065, 49.297290241367435], [-123.13319960739165, 49.29728528627994], [-123.13320647103069, 49.29728033103345], [-123.13321333488656, 49.2972754567427], [-123.13322033654714, 49.2972706812394], [-123.13322747574577, 49.2972659055771], [-123.13323475272486, 49.29726121970704], [-123.13324202970256, 49.29725653383652], [-123.13324944470321, 49.29725202770949], [-123.13325699724183, 49.29724752142337], [-123.1332645500216, 49.29724310508801], [-123.13327224033934, 49.29723868859355], [-123.13328006868008, 49.297234451842506], [-123.13328789701949, 49.2972302150909], [-123.13329586313941, 49.297226068131394], [-123.13330382925795, 49.29722192117134], [-123.13331193339968, 49.29721795395461], [-123.1333201750793, 49.29721398657862], [-123.13366030372228, 49.2970537407837], [-123.13367788703638, 49.29704571475725], [-123.13369588369092, 49.29703795810455], [-123.13371415639057, 49.29703056093585], [-123.13373270513566, 49.297023523250985], [-123.13375152990211, 49.2970168360547], [-123.1337706307389, 49.29701051733715], [-123.13379000762201, 49.29700455810305], [-123.13380966055173, 49.296998958352226], [-123.13382958952846, 49.2969937180846], [-123.13384965701387, 49.296988837459295], [-123.13387000054699, 49.29698431631692], [-123.13389048258959, 49.2969801548167], [-123.13391124092436, 49.29697644275044], [-123.13393200023093, 49.2969730904855], [-123.13395303558687, 49.296970097703074], [-123.13397407215932, 49.29696755467317], [-123.13399524724352, 49.296965371285026], [-123.13401656083991, 49.29696354753856], [-123.13403787565434, 49.296962173544514], [-123.13405341531306, 49.29696134595529]]}"
300.0;Combined;0.0;;BR;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.13113468482204, 49.29836535727984], [-123.13234528002296, 49.297773841181616]]}"
1950.0;Combined;0.42;;n/a;303.9;"{""type"": ""LineString"", ""coordinates"": [[-123.03397154162595, 49.282964105342], [-123.03357142681546, 49.284862689343804], [-123.0335650212541, 49.28567622337766]]}"
600.0;Combined;0.14;;CONC;27.4;"{""type"": ""LineString"", ""coordinates"": [[-123.20249160538457, 49.275143906454694], [-123.20288552132388, 49.27515041161917]]}"
900.0;Combined;0.1;1954;CPP;23.2;"{""type"": ""LineString"", ""coordinates"": [[-123.20369097517239, 49.27526951215409], [-123.2034174658808, 49.27529069192222]]}"
0.0;Combined;0.87;;n/a;39.0;"{""type"": ""LineString"", ""coordinates"": [[-123.02990476715145, 49.291161562743625], [-123.03030239478119, 49.291443907200374]]}"
600.0;Sanitary;4.43;1970;S;7.0;"{""type"": ""LineString"", ""coordinates"": [[-123.13616722700392, 49.294780553373975], [-123.13609827861683, 49.2948243690584]]}"
750.0;Combined;1.13;1966;RC;15.1;"{""type"": ""LineString"", ""coordinates"": [[-123.18554712813155, 49.23022057000097], [-123.18554257494021, 49.23007204753214]]}"
450.0;Sanitary;1.83;1967;n/a;89.6;"{""type"": ""LineString"", ""coordinates"": [[-123.19814072373198, 49.235470842023474], [-123.19702051056777, 49.235145474552986]]}"
450.0;Sanitary;0.93;1901;n/a;225.6;"{""type"": ""LineString"", ""coordinates"": [[-123.19655881828143, 49.2346571529619], [-123.19387002145969, 49.233661450964895]]}"
1500.0;Combined;0.43;;n/a;210.9;"{""type"": ""LineString"", ""coordinates"": [[-123.04009776987411, 49.28109766694746], [-123.03716235623259, 49.28108454384826]]}"
600.0;Combined;2.7;1961;RC;103.7;"{""type"": ""LineString"", ""coordinates"": [[-123.2043216615149, 49.27016758173039], [-123.20289671930703, 49.270144465394324]]}"
750.0;Sanitary;0.68;;n/a;71.9;"{""type"": ""LineString"", ""coordinates"": [[-123.0463235774369, 49.24049899118769], [-123.04716474667467, 49.240837537509165]]}"
2400.0;Combined;0.04;;CONC;165.0;"{""type"": ""LineString"", ""coordinates"": [[-123.19694510771964, 49.270630123566235], [-123.19905035805189, 49.271180872207374]]}"
2900.0;Storm;0.24;1975;CONC;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.07713290396273, 49.28391188380005], [-123.07713338830236, 49.28404609145835], [-123.07788963611291, 49.28670551917068], [-123.07790685520273, 49.28715239652611]]}"
900.0;Combined;0.1;1972;CONC;271.6;"{""type"": ""LineString"", ""coordinates"": [[-123.08352919918947, 49.28314837043811], [-123.08333251824443, 49.283034003871705], [-123.08332302164926, 49.28302861361509], [-123.0833131130108, 49.283023493510015], [-123.08330279232902, 49.28301864355638], [-123.08329233460381, 49.283014063555825], [-123.08328160233508, 49.28300975360744], [-123.08327059567415, 49.28300580366278], [-123.08325931431803, 49.2830020338185], [-123.08324775856946, 49.28299862397778], [-123.08323606577675, 49.282995484089874], [-123.08322423593975, 49.282992614154715], [-123.08321226920968, 49.28299010412393], [-123.08320002793502, 49.2829878641448], [-123.08318778726671, 49.28298598397095], [-123.08317540970461, 49.28298446370133], [-123.08316289509717, 49.28298321338426], [-123.08315038094413, 49.28298223292073], [-123.08313772989658, 49.28298161236136], [-123.08312507945412, 49.28298135160714], [-123.08311242961652, 49.28298145065809], [-123.08229762105655, 49.28299148777277], [-123.08222806539656, 49.283003141065336], [-123.08182032018745, 49.28305155468436], [-123.07986272866685, 49.28330659714075]]}"
1950.0;Combined;0.48;;CONC;169.5;"{""type"": ""LineString"", ""coordinates"": [[-123.03355986218754, 49.28838739527863], [-123.03355975898508, 49.28843794813655], [-123.03355853502423, 49.28845809766173], [-123.03355497324148, 49.28847815791408], [-123.03354922477882, 49.288497948946144], [-123.03354127588219, 49.288517470761626], [-123.03353111261455, 49.28853645350917], [-123.0335186112707, 49.28855498717575], [-123.03350418421215, 49.28857280178606], [-123.03348783144354, 49.28858990633458], [-123.03346941531396, 49.28860610296673], [-123.03344934837553, 49.288621400557275], [-123.03342747923892, 49.288635619245866], [-123.03340411043864, 49.288648758944035], [-123.03337922816274, 49.28866072970323], [-123.03335310738287, 49.28867144149144], [-123.03332588555537, 49.28868080431657], [-123.0332975627425, 49.28868890812949], [-123.03326841385655, 49.288695572946914], [-123.03323871387113, 49.288700708737515], [-123.03320832539369, 49.28870449544363], [-123.03317766085361, 49.28870675304302], [-123.03314685776965, 49.28870748149604], [-123.03148911618884, 49.288706604841806]]}"
600.0;Sanitary;0.2;2004;PVC;55.84;"{""type"": ""LineString"", ""coordinates"": [[-123.07504305474593, 49.25824472064502], [-123.07503626948045, 49.25825631988177], [-123.07503156574874, 49.25826302437038], [-123.07502973229708, 49.2582683867081], [-123.07502647058256, 49.25827442461425], [-123.07502470862701, 49.25828162192894], [-123.07502352238261, 49.25828782939633], [-123.07502353090408, 49.258293451399005], [-123.0750234512679, 49.258304380634684], [-123.07502411009382, 49.258321956853344], [-123.07501102016843, 49.25874392178884]]}"
600.0;Sanitary;0.2;2004;PVC;45.29;"{""type"": ""LineString"", ""coordinates"": [[-123.0750118035204, 49.25874391228507], [-123.07500392449161, 49.25913116128314]]}"
600.0;Sanitary;0.2;2004;PVC;61.28;"{""type"": ""LineString"", ""coordinates"": [[-123.07500392449161, 49.25913116128314], [-123.074989971637, 49.25968228895291]]}"
900.0;Combined;0.1;1954;RC;286.4;"{""type"": ""LineString"", ""coordinates"": [[-123.2270567781153, 49.27757285076717], [-123.2231380892422, 49.27735235758361]]}"
600.0;Sanitary;0.0;2008;PVC;37.45;"{""type"": ""LineString"", ""coordinates"": [[-123.07541677585812, 49.26004234129882], [-123.07542357415701, 49.259705502201406]]}"
900.0;Sanitary;0.16;2004;PVC;143.62;"{""type"": ""LineString"", ""coordinates"": [[-123.06111835420326, 49.25803678882549], [-123.0630888710251, 49.25802116638361]]}"
1050.0;Sanitary;0.05;2004;PVC;106.55;"{""type"": ""LineString"", ""coordinates"": [[-123.06758258655819, 49.258640275379875], [-123.06904680680744, 49.25865131928272]]}"
750.0;Sanitary;0.0;2008;PVC;90.22;"{""type"": ""LineString"", ""coordinates"": [[-123.0513560521387, 49.246267199548996], [-123.05243213710273, 49.2467186545888]]}"
1200.0;Combined;25.14;1971;CONC;31.4;"{""type"": ""LineString"", ""coordinates"": [[-123.1284752113656, 49.20556723229702], [-123.12813331084685, 49.20565553212411], [-123.12808037593572, 49.205677719266525]]}"
1650.0;Combined;2.2;;n/a;69.2;"{""type"": ""LineString"", ""coordinates"": [[-123.11314527245241, 49.2578731491895], [-123.11312192888207, 49.258495074210956]]}"
2400.0;Combined;0.15;;CONC;8.1;"{""type"": ""LineString"", ""coordinates"": [[-123.09317903109368, 49.21062429508074], [-123.09318620345171, 49.210386067067866]]}"
1200.0;Combined;38.28;;n/a;91.6;"{""type"": ""LineString"", ""coordinates"": [[-123.14602291735959, 49.262722015340955], [-123.147284273779, 49.26274754386813]]}"
900.0;Sanitary;0.21;1971;FR;33.3;"{""type"": ""LineString"", ""coordinates"": [[-123.14368852182221, 49.27363884604515], [-123.14347437536814, 49.27390324696568]]}"
900.0;Sanitary;3.43;1970;FR;7.0;"{""type"": ""LineString"", ""coordinates"": [[-123.14290919707159, 49.27708967458478], [-123.14295545484238, 49.2771448568061]]}"
0.0;Combined;0.05;1967;CONC;263.2;"{""type"": ""LineString"", ""coordinates"": [[-123.18562791405621, 49.22748049149294], [-123.189198083818, 49.22750474355804]]}"
675.0;Sanitary;0.0;;n/a;0.0;"{""type"": ""LineString"", ""coordinates"": [[-123.030696534414, 49.23435897290011], [-123.03167413784591, 49.2347520442661]]}"
0.0;Combined;0.0;;CONC;197.5;"{""type"": ""LineString"", ""coordinates"": [[-123.18843726972683, 49.230618105903595], [-123.18845100270525, 49.230227446226124], [-123.19016394245598, 49.229190192792785]]}"
1350.0;Combined;0.09;;CONC;145.9;"{""type"": ""LineString"", ""coordinates"": [[-123.145596861712, 49.290463747765834], [-123.14422124027018, 49.29143963119131]]}"
600.0;Sanitary;-0.21;2007;PVC;19.33;"{""type"": ""LineString"", ""coordinates"": [[-123.14256197827599, 49.29240354294468], [-123.14254657189403, 49.29243573764729], [-123.14250347015526, 49.292464026622845], [-123.14242009018122, 49.29254598539422]]}"
600.0;Sanitary;-17.93;;PVC;8.71;"{""type"": ""LineString"", ""coordinates"": [[-123.14206169930584, 49.29278176696909], [-123.14195124120238, 49.29281184760226]]}"
600.0;Sanitary;-8.48;2007;PVC;5.2;"{""type"": ""LineString"", ""coordinates"": [[-123.13764272259893, 49.293916673278844], [-123.13759206654962, 49.2939499797158]]}"
750.0;Combined;2.69;;n/a;36.8;"{""type"": ""LineString"", ""coordinates"": [[-123.14560403106849, 49.26942567114539], [-123.14559625814964, 49.269633739886515], [-123.14559641361201, 49.269639856425634], [-123.14559725638702, 49.26964597209865], [-123.14559878647489, 49.269652086905595], [-123.14560100334646, 49.26965802094309], [-123.14560390726665, 49.269663864162744], [-123.14560736077313, 49.269669616737794], [-123.1456116382618, 49.26967509841836], [-123.14561632760977, 49.26968039967574], [-123.14562184094022, 49.269685430038514], [-123.14562776586544, 49.26969019002631], [-123.14563423984808, 49.269694679465786], [-123.14564112516074, 49.269698808578504], [-123.14564855926602, 49.26970257719109], [-123.14565640443642, 49.26970589552507], [-123.14566466120144, 49.269708943483685], [-123.14567319156866, 49.26971154133684], [-123.14568199553788, 49.269713689084476], [-123.14569093591106, 49.26971547685152], [-123.14570014962096, 49.269716724561285], [-123.14570949973438, 49.26971761229035]]}"
1219.0;Sanitary;-0.66;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14576573556616, 49.27080927949415], [-123.14623238664592, 49.271453843313935]]}"
1219.0;Sanitary;-0.64;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.14633831097179, 49.27295670727551], [-123.1463155384892, 49.27348883776]]}"
1219.0;Sanitary;-0.76;2011;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.1431543590675, 49.270534152018506], [-123.14329038407259, 49.270606349769736]]}"
1219.0;Combined;5.05;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07868409429494, 49.274964303705126], [-123.07867706993581, 49.27522408948825]]}"
1219.0;Combined;0.09;2005;STEEL;;"{""type"": ""LineString"", ""coordinates"": [[-123.07863366325984, 49.27601677483986], [-123.07862043260941, 49.27650666162624]]}"
1050.0;Sanitary;11.09;2004;PVC;7.17;"{""type"": ""LineString"", ""coordinates"": [[-123.06528480865781, 49.258595334215], [-123.06528573126872, 49.258596709961175], [-123.06528712171863, 49.25859851721319], [-123.06528830543894, 49.25859988381658], [-123.0652898055144, 49.25860144813585], [-123.06529122284586, 49.25860279661678], [-123.06529259872228, 49.25860397421208], [-123.06529386442756, 49.25860498096058], [-123.06529537765323, 49.25860609551174], [-123.06529804617587, 49.25860786606046], [-123.06530046684595, 49.25860927694069], [-123.0653028047958, 49.258610489972945], [-123.06530596764765, 49.25861193641444], [-123.06530925399876, 49.25861323886263], [-123.06531234760075, 49.25861428055852], [-123.06531522103825, 49.25861511548892], [-123.06531830052926, 49.25861587834103], [-123.06532290569623, 49.258616775258695], [-123.06532601225835, 49.25861722326287], [-123.06533142775342, 49.25861772393267]]}"
0.0;Combined;0.04;;CONC;745.54;"{""type"": ""LineString"", ""coordinates"": [[-123.16624740352053, 49.22112417593312], [-123.16747010967394, 49.22242545626262], [-123.1683270303464, 49.2235362873487], [-123.16870120729875, 49.224595465414936], [-123.16870521488676, 49.224602745731204], [-123.16870963387562, 49.22460984554108], [-123.16871446457176, 49.22461685479678], [-123.16871970697531, 49.224623773498244], [-123.1687254981176, 49.22463051149254], [-123.1687317006613, 49.22463706898022], [-123.16873831460654, 49.22464344596121], [-123.16874533995335, 49.22464964243543], [-123.16875277670188, 49.2246556584028], [-123.16876062454581, 49.224661403911014], [-123.16876874645398, 49.22466696911287], [-123.16877727945757, 49.22467226385541], [-123.16878622386297, 49.2246773780908], [-123.16879530468863, 49.224682222268015], [-123.16880479660963, 49.22468679598569], [-123.16881456228835, 49.224691099444414], [-123.16882473875583, 49.224695042491135], [-123.16883505194964, 49.22469880543171], [-123.1688455015632, 49.224702298313865], [-123.16885622462755, 49.22470543098453], [-123.17283839965638, 49.2253733500994]]}"
600.0;Sanitary;0.0;2003;PVC;8.48;"{""type"": ""LineString"", ""coordinates"": [[-123.10228789878384, 49.281419679656246], [-123.10227651070771, 49.281497803861306]]}"
