AT_STREET;ON_STREET;XSTREET;Geom;Geo Local Area
150;693;OAK ST AND W 18TH AV;"{""type"": ""Point"", ""coordinates"": [-123.12729926580428, 49.25533681970883]}";Shaughnessy
056;814;UNNAMED ST AND WALKWAY;"{""type"": ""Point"", ""coordinates"": [-123.17329926778147, 49.21613474518098]}";Kerrisdale
150;690;W 16TH AV AND OAK ST;"{""type"": ""Point"", ""coordinates"": [-123.12722428068237, 49.25714670428382]}";Fairview
163;688;WALKWAY AND HEATHER ST;"{""type"": ""Point"", ""coordinates"": [-123.12006966980525, 49.25769146548894]}";Fairview
159;688;WILLOW ST AND W 15TH AV;"{""type"": ""Point"", ""coordinates"": [-123.12203104909294, 49.25772284573188]}";Fairview
153;688;W 15TH AV AND LAUREL ST;"{""type"": ""Point"", ""coordinates"": [-123.12439566751426, 49.25776101836463]}";Fairview
226;830;SE MARINE DRIVE AND KNIGHT ST ON-RAMP;"{""type"": ""Point"", ""coordinates"": [-123.078514658571, 49.21109204737557]}";Sunset
230;830;KNIGHT ST OFF-RAMP AND SE MARINE DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.0757114510604, 49.21106708584496]}";Victoria-Fraserview
159;686;W 14TH AV AND WILLOW ST;"{""type"": ""Point"", ""coordinates"": [-123.1219978066273, 49.25864359508409]}";Fairview
159;683;W 13TH AV AND WILLOW ST;"{""type"": ""Point"", ""coordinates"": [-123.12196230876211, 49.25956423871724]}";Fairview
163;683;HEATHER ST AND W 13TH AV;"{""type"": ""Point"", ""coordinates"": [-123.12001137187973, 49.25953350310217]}";Fairview
;;KNIGHT ST BRIDGE AND KNIGHT ST ON-RAMP;"{""type"": ""Point"", ""coordinates"": [-123.07733983042264, 49.20961193666653]}";Sunset
148;703;BALFOUR AV AND OSLER ST;"{""type"": ""Point"", ""coordinates"": [-123.1298725830902, 49.25200981616812]}";Shaughnessy
148;705;LAURIER AV AND OSLER ST;"{""type"": ""Point"", ""coordinates"": [-123.12977307233349, 49.250690472215716]}";Shaughnessy
163;706;W 23RD AV AND HEATHER ST;"{""type"": ""Point"", ""coordinates"": [-123.12031450265896, 49.250680982918]}";South Cambie
150;703;W 22ND AV AND OAK ST;"{""type"": ""Point"", ""coordinates"": [-123.1274490151012, 49.25172286885382]}";Shaughnessy
153;703;LAUREL ST AND W 22ND AV;"{""type"": ""Point"", ""coordinates"": [-123.12460840019622, 49.25167035903441]}";South Cambie
163;703;HEATHER ST AND W 22ND AV;"{""type"": ""Point"", ""coordinates"": [-123.12028172537241, 49.25158391287084]}";South Cambie
163;702;W 21ST AV AND HEATHER ST;"{""type"": ""Point"", ""coordinates"": [-123.12024886838198, 49.25248845290032]}";South Cambie
070;765;W 47TH AV AND MACDONALD ST;"{""type"": ""Point"", ""coordinates"": [-123.16743938150654, 49.229325043481296]}";Kerrisdale
057;765;W 47TH AV AND CEDARHURST ST;"{""type"": ""Point"", ""coordinates"": [-123.1716189878709, 49.22935200332136]}";Kerrisdale
057;758;W 45TH AV AND CEDARHURST ST;"{""type"": ""Point"", ""coordinates"": [-123.17159874316546, 49.231002025294124]}";Kerrisdale
087;683;W 13TH AV AND YEW ST;"{""type"": ""Point"", ""coordinates"": [-123.15543895777644, 49.26010067106809]}";Kitsilano
078;636;BALSAM ST AND W 2ND AV;"{""type"": ""Point"", ""coordinates"": [-123.1598093004649, 49.27000848789549]}";Kitsilano
078;646;W 7TH AV AND BALSAM ST;"{""type"": ""Point"", ""coordinates"": [-123.15996982365225, 49.2656907935752]}";Kitsilano
084;646;W 7TH AV AND VINE ST;"{""type"": ""Point"", ""coordinates"": [-123.15760073146457, 49.265653157134885]}";Kitsilano
084;643;W 6TH AV AND VINE ST;"{""type"": ""Point"", ""coordinates"": [-123.15756987662314, 49.26649154331441]}";Kitsilano
084;642;VINE ST AND W 5TH AV;"{""type"": ""Point"", ""coordinates"": [-123.15753765202817, 49.26734902804642]}";Kitsilano
084;634;VINE ST AND W 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.157406349278, 49.27085190193859]}";Kitsilano
084;630;CORNWALL AV AND VINE ST;"{""type"": ""Point"", ""coordinates"": [-123.15734060366634, 49.272616893912954]}";Kitsilano
078;629;BALSAM ST AND POINT GREY ROAD;"{""type"": ""Point"", ""coordinates"": [-123.1596848511096, 49.273346561387925]}";Kitsilano
087;650;W BROADWAY AND YEW ST;"{""type"": ""Point"", ""coordinates"": [-123.15529745055346, 49.263866616534386]}";Kitsilano
087;656;MARSTRAND AV AND YEW ST;"{""type"": ""Point"", ""coordinates"": [-123.15535105851455, 49.26244042599838]}";Kitsilano
263;697;STAINSBURY AV AND SIDNEY ST;"{""type"": ""Point"", ""coordinates"": [-123.0625554011828, 49.25070922589854]}";Kensington-Cedar Cottage
263;701;E 22ND AV AND SIDNEY ST;"{""type"": ""Point"", ""coordinates"": [-123.06256902952303, 49.25026123832166]}";Kensington-Cedar Cottage
078;688;BALSAM ST AND W 15TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16024417926516, 49.25833504704889]}";Kitsilano
078;686;W 14TH AV AND BALSAM ST;"{""type"": ""Point"", ""coordinates"": [-123.16020937782274, 49.25925524298301]}";Kitsilano
078;683;W 13TH AV AND BALSAM ST;"{""type"": ""Point"", ""coordinates"": [-123.1601752779147, 49.26017601348013]}";Kitsilano
084;670;W 12TH AV AND VINE ST;"{""type"": ""Point"", ""coordinates"": [-123.1577710056914, 49.26107858207425]}";Kitsilano
130;725;W 32ND AV AND GRANVILLE ST;"{""type"": ""Point"", ""coordinates"": [-123.13927280199788, 49.243636727982704]}";Shaughnessy
122;735;W 35TH AV AND MARGUERITE ST;"{""type"": ""Point"", ""coordinates"": [-123.14418736876011, 49.23991396372656]}";Shaughnessy
077;629;POINT GREY ROAD AND LARCH ST;"{""type"": ""Point"", ""coordinates"": [-123.1620481297271, 49.27357387196224]}";Kitsilano
070;683;MACDONALD ST AND W 13TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16830492351538, 49.260471463703624]}";Kitsilano
072;686;W 14TH AV AND STEPHENS ST;"{""type"": ""Point"", ""coordinates"": [-123.1664039335332, 49.25953689784982]}";Kitsilano
072;683;W 13TH AV AND STEPHENS ST;"{""type"": ""Point"", ""coordinates"": [-123.16637136444606, 49.26044135964401]}";Kitsilano
073;686;W 14TH AV AND TRAFALGAR ST;"{""type"": ""Point"", ""coordinates"": [-123.16483342376678, 49.25951237934516]}";Kitsilano
077;690;W 16TH AV AND LARCH ST;"{""type"": ""Point"", ""coordinates"": [-123.1626476970413, 49.25743276937588]}";Kitsilano
072;636;STEPHENS ST AND W 2ND AV;"{""type"": ""Point"", ""coordinates"": [-123.16630127350615, 49.270122902531824]}";Kitsilano
072;634;STEPHENS ST AND W 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.16627044406079, 49.27101573833059]}";Kitsilano
072;630;POINT GREY ROAD AND STEPHENS ST;"{""type"": ""Point"", ""coordinates"": [-123.16622884818752, 49.27221088203037]}";Kitsilano
198;638;THORNTON ST AND E 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.0949169101517, 49.26762999590679]}";Strathcona
073;631;YORK AV AND TRAFALGAR ST;"{""type"": ""Point"", ""coordinates"": [-123.16439140171063, 49.27188211882977]}";Kitsilano
073;636;W 2ND AV AND TRAFALGAR ST;"{""type"": ""Point"", ""coordinates"": [-123.16445493967312, 49.270095483221205]}";Kitsilano
073;640;TRAFALGAR ST AND W 4TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16451862353829, 49.26831685254297]}";Kitsilano
307;845;NORTH ARM AV AND KINROSS ST;"{""type"": ""Point"", ""coordinates"": [-123.0367177332162, 49.20489759955003]}";Killarney
186;633;QUEBEC ST AND CENTRAL ST;"{""type"": ""Point"", ""coordinates"": [-123.10191517272841, 49.271903157768755]}";Mount Pleasant
077;692;W 18TH AV AND LARCH ST;"{""type"": ""Point"", ""coordinates"": [-123.16268944870548, 49.25635839353255]}";Arbutus-Ridge
075;692;VALLEY DRIVE AND W 18TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16412459881765, 49.25638182021933]}";Arbutus-Ridge
075;694;VALLEY DRIVE AND W 19TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16343317637683, 49.25546498195943]}";Arbutus-Ridge
075;696;VALLEY DRIVE AND W 20TH AV;"{""type"": ""Point"", ""coordinates"": [-123.16274212951824, 49.25455008186397]}";Arbutus-Ridge
077;688;W 15TH AV AND LARCH ST;"{""type"": ""Point"", ""coordinates"": [-123.16261362394982, 49.2583726377095]}";Kitsilano
077;643;W 6TH AV AND LARCH ST;"{""type"": ""Point"", ""coordinates"": [-123.16230742960857, 49.26656666184684]}";Kitsilano
267;830;NANAIMO ST AND SE MARINE DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.05951897392099, 49.20747628978154]}";Victoria-Fraserview
263;837;PORTSIDE DRIVE AND E KENT AV NORTH;"{""type"": ""Point"", ""coordinates"": [-123.06148703348603, 49.20625814174684]}";Victoria-Fraserview
270;837;ELLIOTT ST AND E KENT AV NORTH;"{""type"": ""Point"", ""coordinates"": [-123.0568456353082, 49.20580858665691]}";Victoria-Fraserview
252;830;SE MARINE DRIVE AND DUFF ST;"{""type"": ""Point"", ""coordinates"": [-123.06437143298548, 49.20909995512101]}";Victoria-Fraserview
216;821;E 63RD AV AND WINDSOR ST;"{""type"": ""Point"", ""coordinates"": [-123.08570178441825, 49.21291351223919]}";Sunset
225;832;CROMPTON ST AND E 66TH AV;"{""type"": ""Point"", ""coordinates"": [-123.08073267121217, 49.21011669754921]}";Sunset
250;830;SE MARINE DRIVE AND VICTORIA DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.06611125301778, 49.2096895761469]}";Victoria-Fraserview
024;751;SEMANA CRESCENT AND SALISH DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.20202757445216, 49.23610820725507]}";Dunbar-Southlands
022;751;SALISH DRIVE AND KULLAHUN DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.20576599010326, 49.236948458264344]}";Dunbar-Southlands
024;785;WALKWAY AND YUCULTA CRESCENT;"{""type"": ""Point"", ""coordinates"": [-123.2001391371565, 49.22993741799937]}";Dunbar-Southlands
023;789;STAULO CRESCENT AND MUSQUEAM DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.20397134176841, 49.23024874267172]}";Dunbar-Southlands
023;793;STAULO CRESCENT AND WALKWAY;"{""type"": ""Point"", ""coordinates"": [-123.20152794464593, 49.22823333310228]}";Dunbar-Southlands
031;792;CROWN ST AND THELLAIWHALTUN AV;"{""type"": ""Point"", ""coordinates"": [-123.19659002131147, 49.22761808319808]}";Dunbar-Southlands
050;795;W 52ND AV AND BLENHEIM ST;"{""type"": ""Point"", ""coordinates"": [-123.1788823107605, 49.22440549693222]}";Kerrisdale
050;794;BLENHEIM ST AND W 51ST AV;"{""type"": ""Point"", ""coordinates"": [-123.17885312973553, 49.22544521549718]}";Kerrisdale
056;758;CARNARVON ST AND W 45TH AV;"{""type"": ""Point"", ""coordinates"": [-123.17308764494112, 49.231011641787006]}";Kerrisdale
054;809;BALACLAVA ST AND W 57TH AV;"{""type"": ""Point"", ""coordinates"": [-123.17613816062538, 49.2194414434139]}";Kerrisdale
042;814;CELTIC AV AND CARRINGTON ST;"{""type"": ""Point"", ""coordinates"": [-123.18372205630891, 49.21931876348451]}";Dunbar-Southlands
040;792;DUNBAR ST AND W 50TH AV;"{""type"": ""Point"", ""coordinates"": [-123.18550565355575, 49.22649861245579]}";Dunbar-Southlands
057;830;SW MARINE DRIVE AND W 49TH AV;"{""type"": ""Point"", ""coordinates"": [-123.17139836701064, 49.227352701506234]}";Kerrisdale
311;837;E KENT AV NORTH AND JACK UPPAL ST;"{""type"": ""Point"", ""coordinates"": [-123.03359065679587, 49.20567643742879]}";Killarney
148;730;OSLER ST AND W 33RD AV;"{""type"": ""Point"", ""coordinates"": [-123.13010517147012, 49.24152042862142]}";Shaughnessy
125;741;AVONDALE AV AND CONNAUGHT DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.14126724826949, 49.23751450925148]}";Shaughnessy
148;739;OSLER ST AND W 37TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1302443082239, 49.237735522662405]}";Shaughnessy
045;648;WATERLOO ST AND W 8TH AV;"{""type"": ""Point"", ""coordinates"": [-123.17981530425025, 49.26513501536265]}";Kitsilano
221;755;WALKWAY AND E 43RD AV;"{""type"": ""Point"", ""coordinates"": [-123.08263584286563, 49.2308912559048]}";Sunset
226;755;INVERNESS ST AND E 43RD AV;"{""type"": ""Point"", ""coordinates"": [-123.07986519582872, 49.23085119677083]}";Sunset
073;696;W 20TH AV AND TRAFALGAR ST;"{""type"": ""Point"", ""coordinates"": [-123.16515099175034, 49.25458939094772]}";Arbutus-Ridge
243;791;E 50TH AV AND COMMERCIAL ST;"{""type"": ""Point"", ""coordinates"": [-123.06903482773164, 49.224296754393535]}";Victoria-Fraserview
244;799;BALMORAL ST AND E 53RD AV;"{""type"": ""Point"", ""coordinates"": [-123.06840807470506, 49.221828447883674]}";Victoria-Fraserview
280;722;EUCLID AV AND EARLES ST;"{""type"": ""Point"", ""coordinates"": [-123.04540954059745, 49.241196063312216]}";Renfrew-Collingwood
284;770;KILLARNEY ST AND KINGSWAY;"{""type"": ""Point"", ""coordinates"": [-123.04557468395326, 49.23632237561699]}";Renfrew-Collingwood
273;736;E 37TH AV AND CLARENDON ST;"{""type"": ""Point"", ""coordinates"": [-123.05546435367876, 49.237388682982996]}";Renfrew-Collingwood
276;723;DUCHESS ST AND CHEYENNE AV;"{""type"": ""Point"", ""coordinates"": [-123.04957010991774, 49.24180526466523]}";Renfrew-Collingwood
276;728;WARD ST AND DUCHESS ST;"{""type"": ""Point"", ""coordinates"": [-123.051267604828, 49.240649382198306]}";Renfrew-Collingwood
276;727;DUCHESS ST AND WARD ST;"{""type"": ""Point"", ""coordinates"": [-123.05095776624269, 49.240836413382546]}";Renfrew-Collingwood
253;729;GLADSTONE ST AND MANNERING AV;"{""type"": ""Point"", ""coordinates"": [-123.06285122295812, 49.24066729146611]}";Kensington-Cedar Cottage
122;638;W 3RD AV AND PINE ST;"{""type"": ""Point"", ""coordinates"": [-123.14319541437827, 49.26886035652862]}";Fairview
311;765;E 47TH AV AND BUTLER ST;"{""type"": ""Point"", ""coordinates"": [-123.03365924979282, 49.22641206332751]}";Killarney
288;796;E 51ST AV AND LANCASTER ST;"{""type"": ""Point"", ""coordinates"": [-123.04267151039501, 49.22318125197075]}";Killarney
280;566;YALE ST AND N RENFREW ST;"{""type"": ""Point"", ""coordinates"": [-123.0440577609933, 49.290716613290414]}";Hastings-Sunrise
300;630;RUPERT ST AND E 1ST AV;"{""type"": ""Point"", ""coordinates"": [-123.03369273214109, 49.26945992473688]}";Hastings-Sunrise
300;633;RUPERT ST AND E 3RD AV;"{""type"": ""Point"", ""coordinates"": [-123.03372414443491, 49.26754713206127]}";Hastings-Sunrise
300;604;NAPIER ST AND CASSIAR ST;"{""type"": ""Point"", ""coordinates"": [-123.03054216600029, 49.27494477231222]}";Hastings-Sunrise
300;607;CASSIAR ST AND CHARLES ST;"{""type"": ""Point"", ""coordinates"": [-123.03094252521343, 49.273247138987486]}";Hastings-Sunrise
309;612;KOOTENAY ST AND CHARLES ST;"{""type"": ""Point"", ""coordinates"": [-123.02774061222301, 49.27324250098613]}";Hastings-Sunrise
298;607;CHARLES ST AND RUPERT ST;"{""type"": ""Point"", ""coordinates"": [-123.03364406406308, 49.273250899539825]}";Hastings-Sunrise
289;611;KITCHENER ST AND LILLOOET ST;"{""type"": ""Point"", ""coordinates"": [-123.03891149782274, 49.2722789076476]}";Hastings-Sunrise
296;601;PARKER ST AND WINDERMERE ST;"{""type"": ""Point"", ""coordinates"": [-123.03633435633925, 49.27579784563478]}";Hastings-Sunrise
255;631;E 2ND AV AND SEMLIN DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.06383784822539, 49.268649858883585]}";Grandview-Woodland
265;631;TEMPLETON DRIVE AND E 2ND AV;"{""type"": ""Point"", ""coordinates"": [-123.05997119386416, 49.2686199076062]}";Grandview-Woodland
316;714;HOY ST AND MONMOUTH AV;"{""type"": ""Point"", ""coordinates"": [-123.02509228829908, 49.23959152106772]}";Renfrew-Collingwood
308;715;WELLINGTON AV AND ANN ST;"{""type"": ""Point"", ""coordinates"": [-123.02813179065004, 49.239242345237614]}";Renfrew-Collingwood
306;722;EUCLID AV AND JOYCE ST;"{""type"": ""Point"", ""coordinates"": [-123.03362385475644, 49.236448051868614]}";Renfrew-Collingwood
303;721;AUSTREY AV AND MCHARDY ST;"{""type"": ""Point"", ""coordinates"": [-123.03581604644455, 49.23825400703404]}";Renfrew-Collingwood
308;759;BROOKS ST AND E 46TH AV;"{""type"": ""Point"", ""coordinates"": [-123.03500699877463, 49.22843705362668]}";Killarney
309;759;LATTA ST AND E 46TH AV;"{""type"": ""Point"", ""coordinates"": [-123.03425146960753, 49.22843418574286]}";Killarney
312;759;E 46TH AV AND TYNE ST;"{""type"": ""Point"", ""coordinates"": [-123.03204898383404, 49.22842654214593]}";Killarney
205;601;HEATLEY AV AND ATLANTIC ST;"{""type"": ""Point"", ""coordinates"": [-123.09020407985597, 49.275723274049845]}";Strathcona
210;757;E 44TH AV AND FRASER ST;"{""type"": ""Point"", ""coordinates"": [-123.09063270423212, 49.23008844981029]}";Sunset
201;790;E 49TH AV AND ST. GEORGE ST;"{""type"": ""Point"", ""coordinates"": [-123.09409085811365, 49.225523738036024]}";Sunset
210;790;FRASER ST AND E 49TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09077387890487, 49.22547182687346]}";Sunset
210;791;E 50TH AV AND FRASER ST;"{""type"": ""Point"", ""coordinates"": [-123.09079892458956, 49.224509565616955]}";Sunset
284;771;E 48TH AV AND KILLARNEY ST;"{""type"": ""Point"", ""coordinates"": [-123.04562456131765, 49.22587944056813]}";Killarney
270;667;E 12TH AV AND NANAIMO ST;"{""type"": ""Point"", ""coordinates"": [-123.05660676253628, 49.25915255161024]}";Kensington-Cedar Cottage
270;655;NANAIMO ST AND E 10TH AV;"{""type"": ""Point"", ""coordinates"": [-123.05660320043198, 49.26102500523477]}";Kensington-Cedar Cottage
270;665;E 11TH AV AND NANAIMO ST;"{""type"": ""Point"", ""coordinates"": [-123.05660498788315, 49.26008834222796]}";Kensington-Cedar Cottage
267;670;GARDEN DRIVE AND GRANDVIEW HWY SOUTH;"{""type"": ""Point"", ""coordinates"": [-123.05823337285679, 49.2582869255421]}";Kensington-Cedar Cottage
179;646;W 7TH AV AND COLUMBIA ST;"{""type"": ""Point"", ""coordinates"": [-123.1094432083651, 49.26475593777862]}";Mount Pleasant
298;710;E 29TH AV AND REID ST;"{""type"": ""Point"", ""coordinates"": [-123.0354852617875, 49.24456601413836]}";Renfrew-Collingwood
170;645;CAMBIE ST AND CAMBIE BRIDGE;"{""type"": ""Point"", ""coordinates"": [-123.11474179220423, 49.26530945350555]}";Fairview
165;633;MOBERLY ROAD AND BUCKETWHEEL;"{""type"": ""Point"", ""coordinates"": [-123.11750751075802, 49.267844319221794]}";Fairview
165;633;STAMP'S LANDING AND MOBERLY ROAD;"{""type"": ""Point"", ""coordinates"": [-123.1180658186891, 49.26867742513908]}";Fairview
164;633;MILLBANK AND BUCKETWHEEL;"{""type"": ""Point"", ""coordinates"": [-123.1187271133478, 49.267864220164626]}";Fairview
164;632;WALKWAY AND STAMP'S LANDING;"{""type"": ""Point"", ""coordinates"": [-123.11825992015036, 49.26868056385658]}";Fairview
318;695;DIEPPE DRIVE AND NORMANDY DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.02462197838179, 49.25151905713185]}";Renfrew-Collingwood
307;686;FALAISE AV AND FALAISE PLACE;"{""type"": ""Point"", ""coordinates"": [-123.02843088353153, 49.25619513885241]}";Renfrew-Collingwood
121;827;W 68TH AV AND WILTSHIRE ST;"{""type"": ""Point"", ""coordinates"": [-123.14633595997121, 49.21061920632574]}";Marpole
285;650;E BROADWAY AND NOOTKA ST;"{""type"": ""Point"", ""coordinates"": [-123.04015700277158, 49.26190932930565]}";Hastings-Sunrise
300;648;E 8TH AV AND RUPERT ST;"{""type"": ""Point"", ""coordinates"": [-123.03375526690301, 49.26291584458807]}";Hastings-Sunrise
296;650;E BROADWAY AND WINDERMERE ST;"{""type"": ""Point"", ""coordinates"": [-123.03651526454232, 49.261900525970425]}";Hastings-Sunrise
210;755;E 43RD AV AND FRASER ST;"{""type"": ""Point"", ""coordinates"": [-123.09060449185189, 49.230989742731744]}";Sunset
201;757;ST. GEORGE ST AND E 44TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09394608104364, 49.23014207707631]}";Sunset
197;761;PRINCE EDWARD ST AND E 46TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09741128686763, 49.22838880153685]}";Sunset
197;758;PRINCE EDWARD ST AND E 45TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09737258536077, 49.22929206621439]}";Sunset
201;758;E 45TH AV AND ST. GEORGE ST;"{""type"": ""Point"", ""coordinates"": [-123.0939764496293, 49.22923676055843]}";Sunset
201;765;ST. GEORGE ST AND E 47TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09401574761249, 49.2274281054879]}";Sunset
195;790;SOPHIA ST AND E 49TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09956177062689, 49.22562272381483]}";Sunset
217;600;VENABLES ST AND CAMPBELL AV;"{""type"": ""Point"", ""coordinates"": [-123.08499196038639, 49.27649351626333]}";Strathcona
222;601;GLEN DRIVE AND PARKER ST;"{""type"": ""Point"", ""coordinates"": [-123.08138652069363, 49.275907691948404]}";Strathcona
195;758;SOPHIA ST AND E 45TH AV;"{""type"": ""Point"", ""coordinates"": [-123.09945453833976, 49.22933327190459]}";Sunset
197;769;E 48TH AV AND PRINCE EDWARD ST;"{""type"": ""Point"", ""coordinates"": [-123.09748726920931, 49.226581319417136]}";Sunset
216;793;E 51ST AV AND WINDSOR ST;"{""type"": ""Point"", ""coordinates"": [-123.08529958553163, 49.22350044048472]}";Sunset
037;674;HIGHBURY ST AND W 11TH AV;"{""type"": ""Point"", ""coordinates"": [-123.18785183995153, 49.262584787812564]}";West Point Grey
042;670;W 10TH AV AND COLLINGWOOD ST;"{""type"": ""Point"", ""coordinates"": [-123.18188190560224, 49.26341618735226]}";Kitsilano
281;602;PARKER ST AND KELOWNA ST;"{""type"": ""Point"", ""coordinates"": [-123.04271723447656, 49.27537838458264]}";Hastings-Sunrise
280;607;RENFREW ST AND CHARLES ST;"{""type"": ""Point"", ""coordinates"": [-123.04415442007203, 49.27326267999796]}";Hastings-Sunrise
280;633;E 3RD AV AND RENFREW ST;"{""type"": ""Point"", ""coordinates"": [-123.04424617884933, 49.26758576932655]}";Hastings-Sunrise
320;710;BOUNDARY ROAD AND MOSCROP ST;"{""type"": ""Point"", ""coordinates"": [-123.02372135724465, 49.24301893368783]}";Renfrew-Collingwood
230;606;WILLIAM ST AND CLARK DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.07728159064258, 49.27403354760957]}";Strathcona
233;604;NAPIER ST AND MCLEAN DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.074449807579, 49.274900797934414]}";Grandview-Woodland
234;600;WALKWAY AND WOODLAND DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.07336910817573, 49.27623424295197]}";Grandview-Woodland
314;616;VALIANT ST AND GRAVELEY ST;"{""type"": ""Point"", ""coordinates"": [-123.02539498962089, 49.2703154834297]}";Hastings-Sunrise
087;694;YEW ST AND W 19TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1556163847123, 49.25533920948206]}";Arbutus-Ridge
307;688;MATAPAN CRESCENT AND FALAISE AV;"{""type"": ""Point"", ""coordinates"": [-123.02935909541577, 49.25558954666834]}";Renfrew-Collingwood
315;684;DIEPPE DRIVE AND VIMY CRESCENT;"{""type"": ""Point"", ""coordinates"": [-123.0252309698644, 49.25549472287123]}";Renfrew-Collingwood
130;765;GRANVILLE ST AND W 47TH AV;"{""type"": ""Point"", ""coordinates"": [-123.1397820942891, 49.22875454133776]}";Oakridge
130;761;W 46TH AV AND GRANVILLE ST;"{""type"": ""Point"", ""coordinates"": [-123.13974911335843, 49.22970296064781]}";Oakridge
130;769;GRANVILLE ST AND W 48TH AV;"{""type"": ""Point"", ""coordinates"": [-123.13981144705294, 49.22788852286709]}";Oakridge
124;790;W 49TH AV AND ADERA ST;"{""type"": ""Point"", ""coordinates"": [-123.14358422902991, 49.22701414296818]}";Kerrisdale
122;691;CEDAR CRESCENT AND PINE ST;"{""type"": ""Point"", ""coordinates"": [-123.14366507651543, 49.25619055156925]}";Shaughnessy
132;633;OLD BRIDGE ST AND ANDERSON ST;"{""type"": ""Point"", ""coordinates"": [-123.13387235825986, 49.27105694480021]}";Fairview
134;643;W 4TH AV AND W 6TH AV;"{""type"": ""Point"", ""coordinates"": [-123.13433300929468, 49.26612026742589]}";Fairview
305;755;E 44TH AV AND JOYCE ST;"{""type"": ""Point"", ""coordinates"": [-123.03743318249919, 49.2302409664777]}";Killarney
302;758;E 45TH AV AND KERR ST;"{""type"": ""Point"", ""coordinates"": [-123.04028542170998, 49.229289442238574]}";Killarney
307;758;DOMAN ST AND E 45TH AV;"{""type"": ""Point"", ""coordinates"": [-123.03641227841734, 49.22927459950126]}";Killarney
309;758;LATTA ST AND E 45TH AV;"{""type"": ""Point"", ""coordinates"": [-123.03421083987789, 49.22926675391834]}";Killarney
309;756;E 44TH AV AND LATTA ST;"{""type"": ""Point"", ""coordinates"": [-123.03454039827139, 49.23023022777402]}";Killarney
309;754;E 43RD AV AND LATTA ST;"{""type"": ""Point"", ""coordinates"": [-123.03454015213765, 49.23107901116353]}";Killarney
313;758;BATTISON ST AND E 45TH AV;"{""type"": ""Point"", ""coordinates"": [-123.03055555372758, 49.2292540428323]}";Killarney
314;758;E 45TH AV AND TODERICK ST;"{""type"": ""Point"", ""coordinates"": [-123.02917207207571, 49.22925178286595]}";Killarney
268;815;MUIRFIELD DRIVE AND HOYLAKE AV;"{""type"": ""Point"", ""coordinates"": [-123.05529837062504, 49.21579436717698]}";Victoria-Fraserview
270;812;E 57TH AV AND ELLIOTT ST;"{""type"": ""Point"", ""coordinates"": [-123.0543162215525, 49.21798737808118]}";Victoria-Fraserview
285;839;WALKWAY AND JELLICOE ST;"{""type"": ""Point"", ""coordinates"": [-123.04771318754872, 49.2053702145911]}";Killarney
280;602;PARKER ST AND RENFREW ST;"{""type"": ""Point"", ""coordinates"": [-123.04411832484882, 49.275380313801655]}";Hastings-Sunrise
313;819;MAQUINNA DRIVE AND CHAMPLAIN CRESCENT;"{""type"": ""Point"", ""coordinates"": [-123.03029392496015, 49.2156794513175]}";Killarney
311;817;BUTLER ST AND ROSEMONT DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.0348339460333, 49.216430032783684]}";Killarney
313;825;MARQUETTE CRESCENT AND CHAMPLAIN CRESCENT;"{""type"": ""Point"", ""coordinates"": [-123.02948290237997, 49.211507919158834]}";Killarney
300;817;ROSEMONT DRIVE AND KERR ST;"{""type"": ""Point"", ""coordinates"": [-123.04151044452387, 49.21552067060203]}";Killarney
300;815;KERR ST AND E 59TH AV;"{""type"": ""Point"", ""coordinates"": [-123.04146523508393, 49.21648194029784]}";Killarney
302;821;E 62ND AV AND MUNROE CRESCENT;"{""type"": ""Point"", ""coordinates"": [-123.04021057943864, 49.21378526612678]}";Killarney
287;817;RUPERT ST AND ROSEMONT DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.04506570247227, 49.21640720824982]}";Killarney
