PROJECT;STREET;LOCATION;COMP_DATE;URL_LINK;Geom
The lane North of 2400 blk Kingsway from Clarendon St to 150m West, and the West;;The lane North of 2400 blk Kingsway from Clarendon St to 150m West, and the West;2020-08-06;http://vanmapp1.vancouver.ca/roadahead/events/details/69d93e9a-afb3-4a4b-9bf1-e2d5bce682ef;"{""type"": ""LineString"", ""coordinates"": [[-123.05463552469517, 49.2402836312219], [-123.05452823633458, 49.240442405002824], [-123.05452823633458, 49.24079730907957], [-123.0564594268253, 49.24167521823762]]}"
;;;2020-12-19;http://vanmapp1.vancouver.ca/roadahead/events/details/6c1c8582-8184-4d77-8d18-303c308be296;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.10518997905999, 49.243378574658465], [-123.10395401709683, 49.243357561779135]], [[-123.10525596125443, 49.24333549828896], [-123.10529458512974, 49.24201376937373]], [[-123.10520231707413, 49.24332639262627], [-123.10522377474625, 49.24231075882432]]]}"
Both Sides of 4400 Block of Inverness Street From North PL of 1199 to South PL o;;Both Sides of 4400 Block of Inverness Street From North PL of 1199 to South PL o;2020-07-30;http://vanmapp1.vancouver.ca/roadahead/events/details/8257a26b-d688-45d9-81ce-981b3142da16;"{""type"": ""LineString"", ""coordinates"": [[-123.08015540232645, 49.24514642622739], [-123.08015719052038, 49.245060042963445]]}"
Hornby St from Smithe St to W Georgia St;;Hornby St from Smithe St to W Georgia St;2020-07-04;https://vancouver.ca/streets-transportation/robson-plaza-consultation.aspx;"{""type"": ""LineString"", ""coordinates"": [[-123.1225937604904, 49.282066672389504], [-123.12117218971251, 49.28300450299338]]}"
North side of E 67th Ave from Crompton St to Sherbrooke St;;North side of E 67th Ave from Crompton St to Sherbrooke St;2020-07-24;http://vanmapp1.vancouver.ca/roadahead/events/details/98125c73-29db-476b-816c-7f3b1d34d8da;"{""type"": ""LineString"", ""coordinates"": [[-123.0821254932, 49.20952221546901], [-123.08074493377002, 49.20951082926396]]}"
The South curb lane of 1300 blk Powell St from Clark Dr to 45m East, and the Eas;;The South curb lane of 1300 blk Powell St from Clark Dr to 45m East, and the Eas;2020-08-05;http://vanmapp1.vancouver.ca/roadahead/events/details/99f1e852-a099-4c98-98f5-8ffea4a55819;"{""type"": ""LineString"", ""coordinates"": [[-123.07704269880556, 49.283497906710465], [-123.07708203792569, 49.283136311053426], [-123.076198696981, 49.28317597009308]]}"
"The South side of 1300 blk Pacific Boulevard from Homer St to 45m East; the West";;"The South side of 1300 blk Pacific Boulevard from Homer St to 45m East; the West";2020-07-28;http://vanmapp1.vancouver.ca/roadahead/events/details/9bab64e9-32e8-4bb2-8c47-c5c1296ef4e5;"{""type"": ""LineString"", ""coordinates"": [[-123.12460720528178, 49.27312955851815], [-123.12540471553801, 49.272998890322754], [-123.12587320793679, 49.273033890756636], [-123.12593758095318, 49.272562549531386], [-123.12606096256785, 49.27223470795724], [-123.12621474266051, 49.272073703147385]]}"
Both sides of E 36th Ave from 1585 to 1607 E 36th Ave;;Both sides of E 36th Ave from 1585 to 1607 E 36th Ave;2020-07-28;http://vanmapp1.vancouver.ca/roadahead/events/details/b59d80bc-e460-4339-8888-94071895329b;"{""type"": ""LineString"", ""coordinates"": [[-123.07325184345247, 49.23768013790536], [-123.07230770587921, 49.23766846280881]]}"
The lane south of 100 blk E 4th Ave from Quebec St to the lane West of Main St;;The lane south of 100 blk E 4th Ave from Quebec St to the lane West of Main St;2020-08-08;http://vanmapp1.vancouver.ca/roadahead/events/details/c5ab0450-6336-4662-99df-3e01b7f106cd;"{""type"": ""LineString"", ""coordinates"": [[-123.10280933974806, 49.26694694190428], [-123.10157373548915, 49.26689560162768]]}"
Both Sides of 600 Block of East 63rd Avenue From West PL of 695 to East PL of 69;;Both Sides of 600 Block of East 63rd Avenue From West PL of 695 to East PL of 69;2020-07-31;http://vanmapp1.vancouver.ca/roadahead/events/details/cd6d71de-5d80-4b55-991f-5d595dde9675;"{""type"": ""LineString"", ""coordinates"": [[-123.09162989249215, 49.21263230877355], [-123.09115961189944, 49.21263814933411]]}"
Both sides of lane north of SW Marine Dr from Ontario St to Manitoba St, west si;;Both sides of lane north of SW Marine Dr from Ontario St to Manitoba St, west si;2020-08-08;http://vanmapp1.vancouver.ca/roadahead/events/details/ce708691-3df9-4f36-81b0-b29cbba8b86b;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.1071778256615, 49.212878715283296], [-123.10803650533742, 49.21293466662229], [-123.1099607949646, 49.21294946512654]], [[-123.10652890918969, 49.21287381044405], [-123.1071778256615, 49.212878715283296]], [[-123.10652890918969, 49.21287381044405], [-123.10656607147263, 49.212321519563176]]]}"
E 35th Ave from Quebec St to Main St and Quebec St from E 33rd Ave to E 35th Ave;;E 35th Ave from Quebec St to Main St and Quebec St from E 33rd Ave to E 35th Ave;2020-10-21;http://vanmapp1.vancouver.ca/roadahead/events/details/d53ee1de-7e2a-41f9-a5d4-0e3af479b564;"{""type"": ""MultiLineString"", ""coordinates"": [[[-123.10219569094001, 49.23906590976898], [-123.10155125215002, 49.23905342595296]], [[-123.10283978684998, 49.23907850723404], [-123.10219569094001, 49.23906590976898]], [[-123.10277628616998, 49.24052622218497], [-123.10283978684998, 49.23907850723404]]]}"
