description,currency,cost,unit,parent_key
Dilacor XR 240 mg 24 Hour Capsule,USD,3.3,capsule,DB00343
Diltiazem HCl Coated Beads 240 mg 24 Hour tablet,USD,3.3,tablet,DB00343
Cardizem CD 120 mg 24 Hour Capsule,USD,3.4,capsule,DB00343
Cardizem 120 mg tablet,USD,3.49,tablet,DB00343
Cardizem la 240 mg tablet,USD,3.53,tablet,DB00343
Tiazac 300 mg 24 Hour Capsule,USD,3.64,capsule,DB00343
Cardizem LA 240 mg 24 Hour tablet,USD,3.67,tablet,DB00343
Tiazac 360 mg 24 Hour Capsule,USD,3.7,capsule,DB00343
Tiazac 420 mg 24 Hour Capsule,USD,3.88,capsule,DB00343
Cardizem CD 180 mg 24 Hour Capsule,USD,3.98,capsule,DB00343
Diltiazem HCl Coated Beads 300 mg 24 Hour tablet,USD,4.3,tablet,DB00343
Cardizem la 300 mg tablet,USD,4.59,tablet,DB00343
Diltiazem HCl Coated Beads 360 mg 24 Hour tablet,USD,4.62,tablet,DB00343
Cardizem LA 300 mg 24 Hour tablet,USD,4.71,tablet,DB00343
Cardizem LA 360 mg 24 Hour tablet,USD,4.81,tablet,DB00343
Cardizem la 360 mg tablet,USD,4.94,tablet,DB00343
Diltiazem HCl Coated Beads 420 mg 24 Hour tablet,USD,5.01,tablet,DB00343
Cardizem la 420 mg tablet,USD,5.35,tablet,DB00343
Cardizem CD 240 mg 24 Hour Capsule,USD,5.48,capsule,DB00343
Cardizem LA 420 mg 24 Hour tablet,USD,5.56,tablet,DB00343
Cardizem CD 300 mg 24 Hour Capsule,USD,7.3,capsule,DB00343
Cardizem cd 360 mg capsule,USD,7.63,capsule,DB00343
Cardizem CD 360 mg 24 Hour Capsule,USD,7.94,capsule,DB00343
Diltiazem hcl powder,USD,8.42,g,DB00343
Diltiazem hcl 100 mg vial,USD,9.54,vial,DB00343
Cormax 0.05% Cream 15 gm Tube,USD,43.98,tube,DB00343
Cormax 0.05% Solution 25ml Bottle,USD,45.99,bottle,DB00343
Cormax 0.05% Solution 50ml Bottle,USD,81.6,bottle,DB00343
Apo-Diltiaz 30 mg Tablet,USD,0.22,tablet,DB00343
Novo-Diltazem 30 mg Tablet,USD,0.22,tablet,DB00343
Nu-Diltiaz 30 mg Tablet,USD,0.22,tablet,DB00343
Diltia xt 120 mg capsule,USD,0.38,capsule,DB00343
Apo-Diltiaz 60 mg Tablet,USD,0.38,tablet,DB00343
Novo-Diltazem 60 mg Tablet,USD,0.38,tablet,DB00343
Nu-Diltiaz 60 mg Tablet,USD,0.38,tablet,DB00343
Diltia xt 180 mg capsule,USD,0.42,capsule,DB00343
Diltiazem-d5w 250 mg/250 ml,USD,0.42,ml,DB00343
Diltia xt 240 mg capsule,USD,0.43,capsule,DB00343
Diltiazem 30 mg tablet,USD,0.47,tablet,DB00343
Diltiazem HCl 30 mg tablet,USD,0.49,tablet,DB00343
Apo-Diltiaz Tz 120 mg Extended-Release Capsule,USD,0.5,capsule,DB00343
Novo-Diltiazem Hcl Er 120 mg Extended-Release Capsule,USD,0.5,capsule,DB00343
Sandoz Diltiazem T 120 mg Extended-Release Capsule,USD,0.5,capsule,DB00343
Cartia xt 180 mg capsule,USD,0.6,capsule,DB00343
Apo-Diltiaz Tz 180 mg Extended-Release Capsule,USD,0.68,capsule,DB00343
Novo-Diltiazem Hcl Er 180 mg Extended-Release Capsule,USD,0.68,capsule,DB00343
Sandoz Diltiazem T 180 mg Extended-Release Capsule,USD,0.68,capsule,DB00343
Diltiazem 60 mg tablet,USD,0.74,tablet,DB00343
Diltiazem HCl 60 mg tablet,USD,0.77,tablet,DB00343
Cartia xt 240 mg capsule,USD,0.81,capsule,DB00343
Apo-Diltiaz Cd 120 mg Controlled-Delivery Capsule,USD,0.83,capsule,DB00343
Novo-Diltazem Cd 120 mg Controlled-Delivery Capsule,USD,0.83,capsule,DB00343
Nu-Diltiaz-Cd 120 mg Controlled-Delivery Capsule,USD,0.83,capsule,DB00343
Ratio-Diltiazem Cd 120 mg Controlled-Delivery Capsule,USD,0.83,capsule,DB00343
Sandoz Diltiazem Cd 120 mg Controlled-Delivery Capsule,USD,0.83,capsule,DB00343
Tiazac Xc 120 mg Extended-Release Tablet,USD,0.83,tablet,DB00343
Diltiazem HCl CR 60 mg 12 Hour Capsule,USD,0.86,capsule,DB00343
Tiazac 120 mg Extended-Release Capsule,USD,0.89,capsule,DB00343
Apo-Diltiaz Tz 240 mg Extended-Release Capsule,USD,0.9,capsule,DB00343
Novo-Diltiazem Hcl Er 240 mg Extended-Release Capsule,USD,0.9,capsule,DB00343
Sandoz Diltiazem T 240 mg Extended-Release Capsule,USD,0.9,capsule,DB00343
Cardizem 60 mg tablet,USD,0.95,tablet,DB00343
Diltiazem HCl CR 120 mg 24 Hour Capsule,USD,0.95,capsule,DB00343
Cardizem cd 120 mg capsule,USD,0.97,capsule,DB00343
Diltiazem HCl CR 90 mg 12 Hour Capsule,USD,0.99,capsule,DB00343
Norpramin 10 mg tablet,USD,1.16,tablet,DB00344
Norpramin 25 mg tablet,USD,1.4,tablet,DB00344
Protriptyline hcl 5 mg tablet,USD,2.12,tablet,DB00344
Surmontil 25 mg capsule,USD,2.49,capsule,DB00344
Norpramin 50 mg tablet,USD,2.59,tablet,DB00344
Vivactil 5 mg tablet,USD,2.86,tablet,DB00344
Protriptyline hcl 10 mg tablet,USD,3.07,tablet,DB00344
Norpramin 75 mg tablet,USD,3.27,tablet,DB00344
Vivactil 10 mg tablet,USD,4.05,tablet,DB00344
Surmontil 50 mg capsule,USD,4.15,capsule,DB00344
Norpramin 100 mg tablet,USD,4.27,tablet,DB00344
Tofranil 10 mg tablet,USD,4.73,tablet,DB00344
Tofranil 25 mg tablet,USD,4.97,tablet,DB00344
Surmontil 100 mg capsule,USD,5.92,capsule,DB00344
Norpramin 150 mg tablet,USD,6.23,tablet,DB00344
Tofranil 50 mg tablet,USD,6.64,tablet,DB00344
Anafranil 75 mg capsule,USD,13.24,capsule,DB00344
Anafranil 25 mg capsule,USD,13.51,capsule,DB00344
Anafranil 50 mg capsule,USD,13.51,capsule,DB00344
Tofranil-pm 125 mg capsule,USD,18.68,capsule,DB00344
Tofranil-pm 150 mg capsule,USD,18.86,capsule,DB00344
Tofranil-pm 75 mg capsule,USD,18.86,capsule,DB00344
Tofranil-pm 100 mg capsule,USD,19.23,capsule,DB00344
Tofranil 30 50 mg tablet Bottle,USD,185.09,bottle,DB00344
Tofranil-PM 30 125 mg capsule Bottle,USD,588.33,bottle,DB00344
Tofranil-PM 30 150 mg capsule Bottle,USD,588.33,bottle,DB00344
Tofranil-PM 30 75 mg capsule Bottle,USD,588.33,bottle,DB00344
Aminohippurate 20% vial,USD,0.67,ml,DB00345
Uroxatral 10 mg tablet,USD,3.95,tablet,DB00346
Uroxatral 10 mg 24 Hour tablet,USD,4.06,tablet,DB00346
Orfadin 2 mg capsule,USD,61.74,capsule,DB00348
Orfadin 5 mg capsule,USD,154.34,capsule,DB00348
Orfadin 10 mg capsule,USD,308.68,capsule,DB00348
Apo-Clobazam 10 mg Tablet,USD,0.23,tablet,DB00349
Novo-Clobazam 10 mg Tablet,USD,0.23,tablet,DB00349
Pms-Clobazam 10 mg Tablet,USD,0.23,tablet,DB00349
Minoxidil 10 mg tablet,USD,1.32,tablet,DB00350
Loniten 10 mg Tablet,USD,1.52,tablet,DB00350
Minoxidil powder,USD,2.07,g,DB00350
Rogaine ex-str starter kit,USD,28.32,kit,DB00350
Rogaine 5 % foam,USD,0.27,g,DB00350
Loniten 2.5 mg Tablet,USD,0.39,tablet,DB00350
Minoxidil 2.5 mg tablet,USD,0.7,tablet,DB00350
Megestrol Acetate 40 mg tablet,USD,1.15,tablet,DB00351
Megestrol 40 mg tablet,USD,1.17,tablet,DB00351
Megestrol acetate powder,USD,30.6,g,DB00351
Megestrol Acetate 40 mg/ml Suspension 240ml Bottle,USD,149.71,bottle,DB00351
Megestrol Acetate 40 mg/ml Suspension 480ml Bottle,USD,297.92,bottle,DB00351
Megestrol 20 mg tablet,USD,0.65,tablet,DB00351
Megace 40 mg/ml oral suspension,USD,0.71,ml,DB00351
Megestrol Acetate 20 mg tablet,USD,0.72,tablet,DB00351
Tabloid tablet,USD,9.44,tablet,DB00352
Thioguanine tabloid 40 mg tablet,USD,9.88,each,DB00352
Methergine 0.2 mg tablet,USD,1.42,tablet,DB00353
Methylergonovine 0.2 mg/ml vial,USD,5.28,ml,DB00353
Methergine 0.2 mg/ml ampul,USD,7.81,ml,DB00353
Norforms fem deodorant suppository,USD,0.29,suppository,DB00353
Azactam-iso-osmot 2 gm/50 ml,USD,1.6,ml,DB00355
Azactam 1 gm vial,USD,40.78,vial,DB00355
Cayston 75 mg inhal solution,USD,63.24,ml,DB00355
Azactam 2 gm vial,USD,81.4,vial,DB00355
Azactam-iso-osmot 1 gm/50 ml,USD,0.8,ml,DB00355
Parafon forte dsc 500 mg caplet,USD,2.65,caplet,DB00356
Chlorzoxazone 250 mg tablet,USD,0.18,tablet,DB00356
Chlorzoxazone 500 mg tablet,USD,0.87,tablet,DB00356
Mefloquine hcl 250 mg tablet,USD,10.8,tablet,DB00358
Lariam 250 mg tablet,USD,12.41,tablet,DB00358
Lariam 25 250 mg tablet Box,USD,322.77,box,DB00358
Sulfadiazine 500 mg tablet,USD,2.5,tablet,DB00359
Silver Sulfadiazine 1% Cream 25 gm Jar,USD,13.99,jar,DB00359
Silver Sulfadiazine 1% Cream 85 gm Jar,USD,19.99,jar,DB00359
Silver Sulfadiazine 1% Cream 50 gm Jar,USD,21.99,jar,DB00359
Silver Sulfadiazine 1% Cream 400 gm Jar,USD,36.48,jar,DB00359
Sulfadiazine powder,USD,0.13,g,DB00359
Sulfazine 500 mg tablet,USD,0.25,tablet,DB00359
Sulfazine ec 500 mg tablet,USD,0.38,tablet,DB00359
Sulfazine EC 500 mg Enteric Coated Tabs,USD,0.42,tab,DB00359
Kuvan 100 mg tablet,USD,36.5,tablet,DB00360
Vinorelbine 50 mg/5 ml vial,USD,27.6,ml,DB00361
Navelbine 50 mg/5 ml vial,USD,42.0,ml,DB00361
Eraxis(water dil) 50 mg vial,USD,108.0,vial,DB00362
Eraxis(water dil) 100 mg vial,USD,216.0,vial,DB00362
Clozapine 25 mg tablet,USD,1.28,tablet,DB00363
Clozapine 50 mg tablet,USD,1.65,tablet,DB00363
Fazaclo 12.5 mg odt,USD,1.79,tablet,DB00363
Clozaril 25 mg tablet,USD,1.96,tablet,DB00363
Fazaclo 25 mg tablet,USD,2.19,tablet,DB00363
Fazaclo 25 mg odt,USD,2.4,tablet,DB00363
Apo-Clozapine 100 mg Tablet,USD,2.77,tablet,DB00363
Gen-Clozapine 100 mg Tablet,USD,2.77,tablet,DB00363
Clozapine 100 mg tablet,USD,3.33,tablet,DB00363
Clozaril 100 mg tablet,USD,5.84,tablet,DB00363
Clozapine 200 mg tablet,USD,6.32,tablet,DB00363
Fazaclo 100 mg odt,USD,6.55,tablet,DB00363
Apo-Clozapine 25 mg Tablet,USD,0.69,tablet,DB00363
Gen-Clozapine 25 mg Tablet,USD,0.69,tablet,DB00363
Carafate 1 gm tablet,USD,1.45,tablet,DB00364
Sucralfate 1 gm/10ml Suspension 10ml Cup,USD,13.99,cup,DB00364
Sulcrate Suspension Plus 200 mg/ml Suspension,USD,0.11,ml,DB00364
Carafate 1 gm/10ml Suspension,USD,0.24,ml,DB00364
Apo-Sucralfate 1 g Tablet,USD,0.31,tablet,DB00364
Novo-Sucralate 1 g Tablet,USD,0.31,tablet,DB00364
Nu-Sucralfate 1 g Tablet,USD,0.31,tablet,DB00364
Pms-Sucralfate 1 g Tablet,USD,0.31,tablet,DB00364
Sulcrate 1 g Tablet,USD,0.59,tablet,DB00364
Sucralfate powder,USD,0.6,g,DB00364
Sucralfate 1 gm tablet,USD,0.72,tablet,DB00364
Doxylamine succinate powder,USD,1.5,g,DB00366
Sleep aid 25 mg tablet,USD,0.15,tablet,DB00366
Unisom sleep aid tablet,USD,0.34,tablet,DB00366
Levora-28 tablet,USD,1.1,tablet,DB00367
Tri-levlen 28 tablet,USD,1.25,tablet,DB00367
Levlen 28 tablet,USD,1.3,tablet,DB00367
Nordette-8 tablet,USD,2.39,tablet,DB00367
Nordette-28 tablet,USD,2.75,tablet,DB00367
Plan b 0.75 mg tablet,USD,15.65,tablet,DB00367
Trivora (28) 28  tablet Box,USD,29.99,box,DB00367
Levora 0.15/30 (28) 28 0.15-30 mg-mcg tablet Disp Pack,USD,32.99,disp,DB00367
Next choice 0.75 mg tablet,USD,36.56,tablet,DB00367
Plan b one-step 1.5 mg tablet,USD,40.62,tablet,DB00367
Nordette (28) 28 0.15-30 mg-mcg tablet Disp Pack,USD,79.32,disp,DB00367
Mirena System 52 mg Insert,USD,363.54,insert,DB00367
Mirena system,USD,843.66,each,DB00367
Acidophilus 10 bu/gm granules,USD,0.6,g,DB00367
Trivora-28 tablet,USD,0.98,tablet,DB00367
Levophed 1 mg/ml ampul,USD,1.49,ml,DB00368
Norepinephrine 4 mg/4 ml amp,USD,2.68,ml,DB00368
Norepinephrine-d5w 4 mg/250 ml,USD,0.16,ml,DB00368
Norepinephrine-ns 4 mg/250 ml,USD,0.16,ml,DB00368
Levophed 1 mg/ml vial,USD,0.48,ml,DB00368
Norepinephrine 1 mg/ml vial,USD,0.96,ml,DB00368
Vistide 75 mg/ml vial,USD,205.71,ml,DB00369
Vistide 75 mg/ml Solution 5ml Vial,USD,923.52,vial,DB00369
Mirtazapine 7.5 mg tablet,USD,2.56,tablet,DB00370
Mirtazapine 15 mg tablet,USD,2.77,tablet,DB00370
Mirtazapine 30 mg tablet,USD,2.85,tablet,DB00370
Mirtazapine 45 mg tablet,USD,2.91,tablet,DB00370
Remeron 15 mg soltab,USD,3.26,tablet,DB00370
Remeron 30 mg tablet,USD,3.47,tablet,DB00370
Remeron 30 mg soltab,USD,3.55,tablet,DB00370
Remeron 45 mg soltab,USD,3.57,tablet,DB00370
Remeron 15 mg tablet,USD,4.42,tablet,DB00370
Remeron 45 mg tablet,USD,4.61,tablet,DB00370
Mirtazapine 30 15 mg Dispersible Tablet Box,USD,81.02,box,DB00370
Mirtazapine 30 30 mg Dispersible Tablet Box,USD,83.48,box,DB00370
Mirtazapine 30 45 mg Dispersible Tablet Box,USD,88.95,box,DB00370
Remeron SolTab 30 30 mg Dispersible Tablet Box,USD,107.27,box,DB00370
Remeron SolTab 30 15 mg Dispersible Tablet Box,USD,107.58,box,DB00370
Remeron SolTab 30 45 mg Dispersible Tablet Box,USD,114.4,box,DB00370
Pms-Mirtazapine 15 mg Tablet,USD,0.39,tablet,DB00370
Apo-Mirtazapine 30 mg Tablet,USD,0.73,tablet,DB00370
Mylan-Mirtazapine 30 mg Tablet,USD,0.73,tablet,DB00370
Novo-Mirtazapine 30 mg Tablet,USD,0.73,tablet,DB00370
Phl-Mirtazapine 30 mg Tablet,USD,0.73,tablet,DB00370
Pms-Mirtazapine 30 mg Tablet,USD,0.73,tablet,DB00370
Ratio-Mirtazapine 30 mg Tablet,USD,0.73,tablet,DB00370
Sandoz Mirtazapine 30 mg Tablet,USD,0.73,tablet,DB00370
Meprobamate 200 mg tablet,USD,1.42,tablet,DB00371
Mepron 750 mg/5 ml suspension,USD,4.95,ml,DB00371
Mepron 750 mg/5ml Suspension,USD,5.41,ml,DB00371
Meprozine 50-25 mg capsule,USD,0.78,capsule,DB00371
Meprobamate 400 mg tablet,USD,0.84,tablet,DB00371
Apo-Timop 0.25 % Solution,USD,1.62,ml,DB00373
Mylan-Timolol 0.25 % Solution,USD,1.62,ml,DB00373
Pms-Timolol 0.25 % Solution,USD,1.62,ml,DB00373
Sandoz Timolol Maleate 0.25 % Solution,USD,1.62,ml,DB00373
Apo-Timop 0.5 % Solution,USD,1.95,ml,DB00373
Mylan-Timolol 0.5 % Solution,USD,1.95,ml,DB00373
Pms-Timolol 0.5 % Solution,USD,1.95,ml,DB00373
Sandoz Timolol Maleate 0.5 % Solution,USD,1.95,ml,DB00373
Timolol 0.25% eye drops,USD,2.78,ml,DB00373
Timolol 0.5% eye drops,USD,3.24,ml,DB00373
Timoptic 0.5 % Solution,USD,3.63,ml,DB00373
Timoptic 0.25% ocudose drops,USD,3.8,each,DB00373
Timoptic-Xe 0.25 % Long Acting Gellan Solution,USD,3.88,ml,DB00373
Timoptic 0.5% ocudose drops,USD,4.57,each,DB00373
Timoptic-Xe 0.5 % Long Acting Gellan Solution,USD,4.64,ml,DB00373
Timoptic 0.25% eye drops,USD,7.32,ml,DB00373
Timoptic 0.5% eye drops,USD,8.63,ml,DB00373
Betimol 0.25% eye drops,USD,9.19,ml,DB00373
Betimol 0.5% eye drops,USD,10.15,ml,DB00373
Timoptic-xe 0.25% eye solution,USD,11.51,ml,DB00373
Timoptic-xe 0.5% eye solution,USD,13.6,ml,DB00373
Timolol Maleate 0.25% Solution 5ml Bottle,USD,15.6,bottle,DB00373
Timolol Maleate 0.5% Solution 5ml Bottle,USD,17.68,bottle,DB00373
Timoptic-XE 0.25% Gel Forming Solution 2.5ml Bottle,USD,23.99,bottle,DB00373
Timolol Maleate 0.25% Solution 10ml Bottle,USD,28.87,bottle,DB00373
Timolol Maleate 0.5% Solution 10ml Bottle,USD,33.58,bottle,DB00373
Istalol 0.5% eye drops,USD,36.43,ml,DB00373
Timoptic 0.25% Solution 5ml Bottle,USD,43.06,bottle,DB00373
Timolol Maleate 0.25% Solution 15ml Bottle,USD,43.68,bottle,DB00373
Timolol Maleate 0.5% Gel Forming Solution 2.5ml Bottle,USD,46.74,bottle,DB00373
Betimol 0.25% Solution 10ml Bottle,USD,49.99,bottle,DB00373
Timolol Maleate 0.5% Solution 15ml Bottle,USD,50.7,bottle,DB00373
Betimol 0.25% Solution 5ml Bottle,USD,55.56,bottle,DB00373
Timolol Maleate 0.25% Gel Forming Solution 5ml Bottle,USD,59.71,bottle,DB00373
Timoptic 0.5% Solution 5ml Bottle,USD,59.8,bottle,DB00373
Timolol Maleate 0.5% Gel Forming Solution 5ml Bottle,USD,60.84,bottle,DB00373
Betimol 0.5% Solution 5ml Bottle,USD,63.43,bottle,DB00373
Timoptic-XE 0.25% Gel Forming Solution 5ml Bottle,USD,65.37,bottle,DB00373
Timoptic 0.5% Solution 10ml Bottle,USD,83.2,bottle,DB00373
Timoptic-XE 0.5% Gel Forming Solution 5ml Bottle,USD,85.09,bottle,DB00373
Betimol 0.25% Solution 15ml Bottle,USD,93.56,bottle,DB00373
Betimol 0.5% Solution 10ml Bottle,USD,106.88,bottle,DB00373
Timolol maleate powder,USD,107.1,g,DB00373
Betimol 0.5% Solution 15ml Bottle,USD,152.24,bottle,DB00373
Aquanil cleanser,USD,0.03,ml,DB00373
Aquanil hc 1% lotion,USD,0.12,ml,DB00373
Apo-Timol 5 mg Tablet,USD,0.19,tablet,DB00373
Novo-Timol 5 mg Tablet,USD,0.19,tablet,DB00373
Nu-Timolol 5 mg Tablet,USD,0.19,tablet,DB00373
Apo-Timol 10 mg Tablet,USD,0.3,tablet,DB00373
Novo-Timol 10 mg Tablet,USD,0.3,tablet,DB00373
Nu-Timolol 10 mg Tablet,USD,0.3,tablet,DB00373
Timolol maleate 5 mg tablet,USD,0.41,tablet,DB00373
Timolol maleate 10 mg tablet,USD,0.51,tablet,DB00373
Apo-Timol 20 mg Tablet,USD,0.59,tablet,DB00373
Novo-Timol 20 mg Tablet,USD,0.59,tablet,DB00373
Hydrocortisone 2.5% lotion,USD,0.6,ml,DB00373
Timolol maleate 20 mg tablet,USD,0.94,tablet,DB00373
Remodulin 1 mg/ml vial,USD,73.7,ml,DB00374
Tyvaso inhalation refill kit,USD,165.68,ml,DB00374
Tyvaso 1.74 mg/2.9 ml solution,USD,174.55,ml,DB00374
Remodulin 2.5 mg/ml vial,USD,184.25,ml,DB00374
Tyvaso inhalation starter kit,USD,185.8,ml,DB00374
Remodulin 5 mg/ml vial,USD,368.5,ml,DB00374
Remodulin 10 mg/ml vial,USD,737.0,ml,DB00374
Colestid 5 g Powder Packet,USD,1.04,packet,DB00375
Colestid Orange 5 g Powder Packet,USD,1.04,packet,DB00375
Colestid Flavored 5 gm/7.5 gm Packets,USD,3.29,packet,DB00375
Colestid 30 5 gm Packets Box,USD,81.11,box,DB00375
Colestid 90 5 gm Packets Box,USD,252.5,box,DB00375
Colestid 1 g Tablet,USD,0.29,tablet,DB00375
Colestid flavored granules,USD,0.3,g,DB00375
Colestid Flavored 5 gm Granules,USD,0.31,gm,DB00375
Colestid 5 gm Granules,USD,0.33,gm,DB00375
Colestipol hcl 1 gm tablet,USD,0.66,tablet,DB00375
Colestid 1 gm tablet,USD,0.86,tablet,DB00375
Apo-Trihex 2 mg Tablet,USD,0.04,tablet,DB00376
Apo-Trihex 5 mg Tablet,USD,0.07,tablet,DB00376
Trihexyphenidyl 2 mg tablet,USD,0.18,tablet,DB00376
Trihexyphenidyl HCl 2 mg tablet,USD,0.26,tablet,DB00376
Trihexyphenidyl 5 mg tablet,USD,0.36,tablet,DB00376
Trihexyphenidyl HCl 5 mg tablet,USD,0.37,tablet,DB00376
Aloxi 0.075 mg/1.5 ml vial,USD,52.8,ml,DB00377
Mexiletine 150 mg capsule,USD,1.11,capsule,DB00379
Mexiletine HCl 150 mg capsule,USD,1.16,capsule,DB00379
Novo-Mexiletine 200 mg Capsule,USD,1.19,capsule,DB00379
Mexitil 200 mg capsule,USD,1.23,capsule,DB00379
Mexiletine 200 mg capsule,USD,1.33,capsule,DB00379
Mexiletine HCl 200 mg capsule,USD,1.38,capsule,DB00379
Mexiletine 250 mg capsule,USD,1.54,capsule,DB00379
Mexiletine HCl 250 mg capsule,USD,1.6,capsule,DB00379
Mexitil 250 mg capsule,USD,1.85,capsule,DB00379
Novo-Mexiletine 100 mg Capsule,USD,0.89,capsule,DB00379
Dexrazoxane 250 mg vial,USD,246.28,vial,DB00380
Zinecard 250 mg vial,USD,258.59,vial,DB00380
Dexrazoxane 500 mg vial,USD,492.55,vial,DB00380
Zinecard 500 mg vial,USD,517.18,vial,DB00380
Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Apo-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Co Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Gd-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Jamp-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Mylan-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Novo-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Phl-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Pms-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Ran-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Ratio-Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Sandoz Amlodipine 10 mg Tablet,USD,1.03,tablet,DB00381
Norvasc 5 mg Tablet,USD,1.44,tablet,DB00381
Amlodipine besylate 2.5 mg tablet,USD,1.76,tablet,DB00381
Amlodipine besylate 5 mg tablet,USD,1.76,tablet,DB00381
Norvasc 10 mg Tablet,USD,2.14,tablet,DB00381
Norvasc 2.5 mg tablet,USD,2.36,tablet,DB00381
Norvasc 5 mg tablet,USD,2.36,tablet,DB00381
Amlodipine besylate 10 mg tablet,USD,2.42,tablet,DB00381
Norvasc 10 mg tablet,USD,3.16,tablet,DB00381
Lotrel 2.5-10 mg capsule,USD,3.83,capsule,DB00381
Lotrel 5-10 mg capsule,USD,3.91,capsule,DB00381
Lotrel 5-20 mg capsule,USD,4.13,capsule,DB00381
Lotrel 5-40 mg capsule,USD,4.37,capsule,DB00381
Lotrel 10-20 mg capsule,USD,4.8,capsule,DB00381
Lotrel 10-40 mg capsule,USD,5.21,capsule,DB00381
Amlodipine besylate powder,USD,9.99,g,DB00381
Phl-Amlodipine 2.5 mg Tablet,USD,0.35,tablet,DB00381
Pms-Amlodipine 2.5 mg Tablet,USD,0.35,tablet,DB00381
Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Apo-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Co Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Gd-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Jamp-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Mylan-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Novo-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Phl-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Pms-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Ran-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Ratio-Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Sandoz Amlodipine 5 mg Tablet,USD,0.7,tablet,DB00381
Cognex 10 mg capsule,USD,3.03,capsule,DB00382
Cognex 20 mg capsule,USD,3.03,capsule,DB00382
Cognex 40 mg capsule,USD,3.03,capsule,DB00382
Oxyphencyclimine hcl powder,USD,30.0,g,DB00383
Valstar 40 mg/ml vial,USD,219.96,ml,DB00385
Pms-Procyclidine 0.5 mg/ml Elixir,USD,0.03,ml,DB00387
Pms-Procyclidine 5 mg Tablet,USD,0.03,tablet,DB00387
Pms-Procyclidine 2.5 mg Tablet,USD,0.06,tablet,DB00387
Mydfrin 2.5 % Solution,USD,1.09,ml,DB00388
Phenylephrine-ns 0.4 mg/10 ml,USD,1.17,ml,DB00388
Phenylephrine-ns 0.8 mg/10 ml,USD,1.2,ml,DB00388
Phenylephrine 10% eye drops,USD,1.25,ml,DB00388
Ak-dilate 10% eye drops,USD,1.34,ml,DB00388
Phenylephrine hcl crystals,USD,1.34,g,DB00388
Neofrin 10% eye drops,USD,1.93,ml,DB00388
Phenylephrine 2.5% eye drop,USD,2.09,ml,DB00388
Phenylephrine 10 mg/ml vial,USD,3.0,ml,DB00388
Mydfrin 2.5% eye drops,USD,5.28,ml,DB00388
Neo-synephrine 10 mg/ml amp,USD,5.68,ml,DB00388
Mydfrin 2.5% Solution 5ml Bottle,USD,37.1,bottle,DB00388
Pv nasal decongestant 5 mg tablet,USD,0.03,tablet,DB00388
Non-pseudo sinus decongest tablet,USD,0.05,tablet,DB00388
Rhinall 0.25% nose drops,USD,0.07,ml,DB00388
Phenylephrine 10 mg tablet,USD,0.08,tablet,DB00388
Ephrine 1% nose drops,USD,0.15,ml,DB00388
Industrial 0.12% eye drops,USD,0.17,ml,DB00388
Tur-bi-kal nose drops,USD,0.21,ml,DB00388
Little noses decon nose drp,USD,0.22,ml,DB00388
Wal-phed pe 10 mg tablet,USD,0.22,tablet,DB00388
Neo-synephrine 0.5% drops,USD,0.23,ml,DB00388
Sudafed pe 10 mg tablet,USD,0.25,tablet,DB00388
Neo-synephrine 1% drops,USD,0.26,ml,DB00388
Hemorrhoidal suppository,USD,0.28,suppository,DB00388
Neo-synephrine 12 hour spray,USD,0.28,ml,DB00388
Neo-synephrine 0.25% drops,USD,0.36,ml,DB00388
Ak-dilate 2.5% eye drops,USD,0.45,ml,DB00388
Neofrin 2.5% eye drops,USD,0.6,ml,DB00388
Lanoxin 0.25 mg/ml ampul,USD,1.44,ml,DB00390
Digoxin 0.25 mg/ml,USD,2.91,ml,DB00390
Digoxin Pediatric 0.05 mg/ml,USD,6.79,ml,DB00390
Lanoxin ped 0.1 mg/ml ampul,USD,6.91,ml,DB00390
Digoxin 0.05 mg/ml Solution 60ml Bottle,USD,36.99,bottle,DB00390
Digoxin powder,USD,450.28,g,DB00390
Digifab 40 mg vial,USD,615.6,vial,DB00390
Digibind 38 mg vial,USD,727.91,vial,DB00390
