sequence,left_drugbank_id,left_drugbank_name,right_drugbank_id,right_drugbank_name,parent_key
1,DB00582,Voriconazole,DBMET01773,Hydroxymethyl Voriconazole,DB00582
1,DB00582,Voriconazole,DBMET00071,Voriconazole N-Oxide,DB00582
2,DBMET00072,4-Hydroxyvoriconazole,DBMET01184,4-Hydroxyvoriconazole 4-O-glucuronide,DB00582
2,DBMET00071,Voriconazole N-Oxide,DBMET01185,"UK-51,060",DB00582
3,DBMET01185,"UK-51,060",DBMET01186,"UK-215,364",DB00582
4,DBMET01186,"UK-215,364",DBMET01187,Voriconazole O-glucuronide derivative (1),DB00582
1,DB00583,Levocarnitine,DBMET00513,Trimethylamine N-oxide,DB00583
1,DB00583,Levocarnitine,DBMET00521,[3H]-gamma-Butyrobetaine,DB00583
1,DB00584,Enalapril,DBMET01269,Enalaprilat,DB00584
1,DB00585,Nizatidine,DBMET00959,N2-monodes-methylnizatidine,DB00585
1,DB00586,Diclofenac,DBMET02617,diclofenac o-imine methine,DB00586
1,DB00586,Diclofenac,DBMET02619,"diclofenac 2',3'-oxide",DB00586
1,DB00586,Diclofenac,DBMET02622,Diclofenac radical,DB00586
1,DB00586,Diclofenac,DBMET00144,4'-Hydroxydiclofenac,DB00586
1,DB00586,Diclofenac,DBMET00145,Diclofenac acyl glucuronide,DB00586
1,DB00586,Diclofenac,DBMET00146,3'-Hydroxydiclofenac,DB00586
1,DB00586,Diclofenac,DBMET02613,5-hydroxy diclofenac,DB00586
2,DBMET00146,3'-Hydroxydiclofenac,DBMET02608,"3',4'-hydroxy diclofenac",DB00586
2,DBMET00144,4'-Hydroxydiclofenac,DBMET02611,4'-hydroxy-3'-glutathione conjugated diclofenac,DB00586
2,DBMET00144,4'-Hydroxydiclofenac,DBMET02612,4'-hydroxy-2'-glutathione conjugated monoclofenac,DB00586
2,DBMET02613,5-hydroxy diclofenac,DBMET02614,"5,N-dihydroxy diclofenac",DB00586
2,DBMET02613,5-hydroxy diclofenac,DBMET01258,"4',5-Dihydroxydiclofenac",DB00586
2,DBMET02613,5-hydroxy diclofenac,DBMET02615,5-hydroxy-4-glutathione conjugated diclofenac,DB00586
2,DBMET02613,5-hydroxy diclofenac,DBMET02616,5-hydroxy-6-glutathione conjugated diclofenac,DB00586
2,DBMET02617,diclofenac o-imine methine,DBMET02618,"2-(2,6-dichlorophenylamino)-benzyl-S-thioether glutathione",DB00586
2,DBMET02619,"diclofenac 2',3'-oxide",DBMET02620,2'-hydroxy-3'-glutathione conjugated diclofenac,DB00586
2,DBMET02619,"diclofenac 2',3'-oxide",DBMET02621,3'-hydroxy-2'glutathione conjugated monoclofenac,DB00586
2,DBMET02622,Diclofenac radical,DBMET02623,2'-(glutathion-S-yl)-deschloro-diclofenac,DB00586
3,DBMET02608,"3',4'-hydroxy diclofenac",DBMET02609,3'-hydroxy-4'-methoxy diclofenac,DB00586
1,DB00588,Fluticasone propionate,DBMET00450,fluticasone 17beta-carboxylic acid,DB00588
1,DB00590,Doxazosin,DBMET02603,"Demethylated metabolite, Doxazosin",DB00590
1,DB00590,Doxazosin,DBMET02604,"Hydroxylated metabolite, Doxazosin",DB00590
1,DB00592,Piperazine,DBMET00949,N-mononitrosopiperazine,DB00592
1,DB00592,Piperazine,DBMET00950,N-nitroso-3-hydroxypyrrolidine,DB00592
1,DB00598,Labetalol,DBMET02669,Labetalol Benzyl Glucuronide Metabolite (II),DB00598
1,DB00598,Labetalol,DBMET02670,Labetalol Phenolic Glucuronide Metabolite (III),DB00598
1,DB00598,Labetalol,DBMET02671,Labetalol Hydroxylated Metabolite (IV),DB00598
1,DB00598,Labetalol,DBMET02673,Labetalol 3-hydroxylated Metabolite (VI),DB00598
2,DBMET02671,Labetalol Hydroxylated Metabolite (IV),DBMET02672,Labetalol Phenolic Glucuronide Metabolite (V),DB00598
2,DBMET02673,Labetalol 3-hydroxylated Metabolite (VI),DBMET02674,Labetalol C1' Glucuronidated Metabolite (VII),DB00598
2,DBMET02673,Labetalol 3-hydroxylated Metabolite (VI),DBMET02675,Labetalol C3 Glucuronidated Metabolite (VIII),DB00598
2,DBMET02673,Labetalol 3-hydroxylated Metabolite (VI),DBMET02676,Labetalol Theoretical Metabolite (IX),DB00598
3,DBMET02676,Labetalol Theoretical Metabolite (IX),DBMET02677,Labetalol Glucuronide Metabolite (X),DB00598
3,DBMET02676,Labetalol Theoretical Metabolite (IX),DBMET02678,Labetalol Glucuronide Metabolite (XI),DB00598
1,DB00601,Linezolid,DBMET01017,Hydroxyethyl glycine,DB00601
1,DB00601,Linezolid,DBMET00797,aminoethoxyacetic acid,DB00601
1,DB00603,Medroxyprogesterone acetate,DBMET02809,6β-Hydroxymedroxyprogesterone Acetate (M-2),DB00603
1,DB00603,Medroxyprogesterone acetate,DBMET02811,2β-hydroxymedroxyprogesterone acetate (M-4),DB00603
1,DB00603,Medroxyprogesterone acetate,DBMET02812,1β-hydroxymedroxyprogesterone acetate (M-3),DB00603
2,DBMET02809,6β-Hydroxymedroxyprogesterone Acetate (M-2),DBMET02810,"2β-,6β-dihydroxymedroxyprogesterone acetate (M-1)",DB00603
2,DBMET02811,2β-hydroxymedroxyprogesterone acetate (M-4),DBMET02810,"2β-,6β-dihydroxymedroxyprogesterone acetate (M-1)",DB00603
2,DBMET02812,1β-hydroxymedroxyprogesterone acetate (M-3),DBMET02813,"1,2-dehydromedroxyprogesterone acetate (M-5)",DB00603
1,DB00604,Cisapride,DBMET01632,3-(4-fluorophenoxy)propanal,DB00604
1,DB00604,Cisapride,DBMET01633,3-Fluoro-4-hydroxycisapride,DB00604
1,DB00604,Cisapride,DBMET01634,4-Fluoro-2- hydroxycisapride,DB00604
1,DB00604,Cisapride,DBMET00355,norcisapride,DB00604
1,DB00605,Sulindac,DBMET01002,Sulindac sulfide,DB00605
1,DB00605,Sulindac,DBMET01003,Sulindac sulfone,DB00605
1,DB00608,Chloroquine,DBMET01559,"(R)-chloroquine, N-desethyl",DB00608
2,DBMET01559,"(R)-chloroquine, N-desethyl",DBMET03063,N-bidesethylchloroquine,DB00608
3,DBMET03063,N-bidesethylchloroquine,DBMET03064,7-chloro-4-aminoquinoline,DB00608
1,DB00609,Ethionamide,DBMET00850,Ethionamide sulphoxide,DB00609
1,DB00613,Amodiaquine,DBMET00290,desethylamodiaquine,DB00613
1,DB00614,Furazolidone,DBMET00639,beta-Hydroxyethylhydrazine,DB00614
1,DB00614,Furazolidone,DBMET00706,3-amino-2-oxazolidone,DB00614
1,DB00615,Rifabutin,DBMET00384,27-O-demethylrifabutin,DB00615
1,DB00615,Rifabutin,DBMET00696,25-O-deacetylrifabutin,DB00615
1,DB00615,Rifabutin,DBMET00722,31-Hydroxyrifabutin,DB00615
1,DB00617,Paramethadione,DBMET00434,"5-ethyl-5-methyl-2,4-oxazolidinedione",DB00617
1,DB00619,Imatinib,DBMET00025,N-Desmethylimatinib,DB00619
1,DB00619,Imatinib,DBMET00026,AFN911,DB00619
1,DB00619,Imatinib,DBMET00027,CGP71422,DB00619
1,DB00619,Imatinib,DBMET00028,CGP72383,DB00619
1,DB00619,Imatinib,DBMET00931,n-demethylated piperazine,DB00619
1,DB00620,Triamcinolone,DBMET02758,6-beta-hydroxy-triamcinolone,DB00620
1,DB00622,Nicardipine,DBMET01832,De-benzylated nicardipine,DB00622
1,DB00622,Nicardipine,DBMET01833,Dehydronicardipine,DB00622
1,DB00623,Fluphenazine,DBMET01670,Fluphenazine sulfoxide,DB00623
1,DB00624,Testosterone,DBMET01762,2alpha-hydroxytestosterone,DB00624
1,DB00624,Testosterone,DBMET01763,2beta-hydroxytestosterone,DB00624
1,DB00624,Testosterone,DBMET01764,15alpha-hydroxytestosterone,DB00624
1,DB00624,Testosterone,DBMET01765,15beta-hydroxytestosterone,DB00624
1,DB00624,Testosterone,DBMET01766,16alpha-hydroxytestosterone,DB00624
1,DB00624,Testosterone,DBMET01767,16beta-hydroxytestosterone,DB00624
1,DB00624,Testosterone,DB01536,Androstenedione,DB00624
1,DB00624,Testosterone,DBMET00556,Testosterone sulfate,DB00624
1,DB00624,Testosterone,DBMET00558,Dihydrotestosterone,DB00624
1,DB00624,Testosterone,DBMET02835,1β-hydroxy-testosterone,DB00624
1,DB00624,Testosterone,DBMET00562,Testosterone glucuronide,DB00624
1,DB00624,Testosterone,DBMET02837,11β-hydroxy-testosterone,DB00624
1,DB00624,Testosterone,DBMET00571,5-alpha-Dihydrotestosterone glucuronide,DB00624
1,DB00624,Testosterone,DBMET00392,6-beta-hydroxytestosterone,DB00624
1,DB00624,Testosterone,DBMET00491,Estradiol,DB00624
2,DBMET00491,Estradiol,DBMET00490,Estrone,DB00624
2,DB01536,Androstenedione,DBMET00490,Estrone,DB00624
2,DB01536,Androstenedione,DBMET02830,5-alpha androstanedione,DB00624
2,DBMET00558,Dihydrotestosterone,DBMET02830,5-alpha androstanedione,DB00624
2,DBMET00558,Dihydrotestosterone,DBMET00571,5-alpha-Dihydrotestosterone glucuronide,DB00624
2,DBMET00558,Dihydrotestosterone,DBMET00574,5a-Dihydrotestosterone sulfate,DB00624
2,DBMET00558,Dihydrotestosterone,DBMET02832,5-alpha androstanediol,DB00624
2,DBMET00558,Dihydrotestosterone,DBMET02833,"5alpha-androstane-3alpha,17beta-diol",DB00624
2,DBMET00558,Dihydrotestosterone,DBMET02834,"5alpha-androstane-3beta,17beta-diol",DB00624
3,DBMET00490,Estrone,DBMET00491,Estradiol,DB00624
3,DBMET02830,5-alpha androstanedione,DBMET02831,5-alpha androsterone,DB00624
3,DBMET02830,5-alpha androstanedione,DBMET00558,Dihydrotestosterone,DB00624
3,DBMET02830,5-alpha androstanedione,DBMET02831,5-alpha androsterone,DB00624
4,DBMET00558,Dihydrotestosterone,DBMET00571,5-alpha-Dihydrotestosterone glucuronide,DB00624
4,DBMET00558,Dihydrotestosterone,DBMET00574,5a-Dihydrotestosterone sulfate,DB00624
4,DBMET00558,Dihydrotestosterone,DBMET02832,5-alpha androstanediol,DB00624
4,DBMET00558,Dihydrotestosterone,DBMET02833,"5alpha-androstane-3alpha,17beta-diol",DB00624
4,DBMET00558,Dihydrotestosterone,DBMET02834,"5alpha-androstane-3beta,17beta-diol",DB00624
1,DB00625,Efavirenz,DBMET01653,8-OH-efavirenz,DB00625
1,DB00627,Niacin,DBMET02629,Niacinamide,DB00627
1,DB00627,Niacin,DBMET02630,Nicotinuric Acid,DB00627
1,DB00627,Niacin,DBMET02631,Niacinamide N-oxide,DB00627
1,DB00627,Niacin,DBMET02632,Trigonelline,DB00627
1,DB00627,Niacin,DBMET02633,N1-methyl-4-pyridone-5-carboxamide,DB00627
1,DB00627,Niacin,DBMET02634,N1-methyl-2-pyridone-5-carboxamide,DB00627
1,DB00628,Clorazepic acid,DBMET00246,Oxazepam,DB00628
1,DB00628,Clorazepic acid,DB14028,Nordazepam,DB00628
1,DB00628,Clorazepic acid,DBMET00980,p-Hydroxynordiazepam,DB00628
1,DB00629,Guanabenz,DB13410,Guanoxabenz,DB00629
1,DB00631,Clofarabine,DBMET00419,clofarabind-5'-monophosphate,DB00631
1,DB00635,Prednisone,DBMET02859,"17α,21-dihydroxy-pregnan-1,4,6-trien-3,11,30-trione (M-XVII)",DB00635
1,DB00635,Prednisone,DBMET02860,20α-dihydro-prednisone (M-V),DB00635
1,DB00635,Prednisone,DBMET02861,20β-dihydro-prednisone (M-IV),DB00635
1,DB00635,Prednisone,DBMET00627,Prednisolone,DB00635
1,DB00635,Prednisone,DBMET02863,6α-hydroxy-prednisone (M-XIII),DB00635
1,DB00635,Prednisone,DBMET02864,6βhydroxy-prednisone (M-XII),DB00635
2,DBMET00627,Prednisolone,DBMET02848,Δ6-prednisolone (M-XI),DB00635
2,DBMET00627,Prednisolone,DBMET02849,20α-dihydro-prednisolone (M-III),DB00635
2,DBMET00627,Prednisolone,DBMET02850,20β-dihydro-prednisolone (M-II),DB00635
2,DBMET00627,Prednisolone,DBMET02851,6αhydroxy-prednisolone (M-VII),DB00635
2,DBMET00627,Prednisolone,DBMET02853,6βhydroxy-prednisolone(M-VI),DB00635
2,DBMET02861,20β-dihydro-prednisone (M-IV),DBMET02862,"17α,20ξ,21-trihydroxy-5ξ-pregn-1-en-3,11-dione(M-XVIII)",DB00635
3,DBMET02851,6αhydroxy-prednisolone (M-VII),DBMET02852,"6α,11β,17α,20β,21-pentahydroxypregnan-1,4-diene-3-one (M-X)",DB00635
3,DBMET02853,6βhydroxy-prednisolone(M-VI),DBMET02854,"6β,11β,17α,20β,21-pentahydroxypregnan-1,4-diene-3-one (M-VIII)",DB00635
3,DBMET02853,6βhydroxy-prednisolone(M-VI),DBMET02856,"6β,11β,17α,21-tetrahydroxy-5ξ-pregn-1-en-3,20-dione (M-XIV)",DB00635
3,DBMET02853,6βhydroxy-prednisolone(M-VI),DBMET02857,"6β,11β,17α,20α,21-pentahydroxypregnan-1,4-diene-3-one (M-IX)",DB00635
4,DBMET02854,"6β,11β,17α,20β,21-pentahydroxypregnan-1,4-diene-3-one (M-VIII)",DBMET02855,"6β,11β,17α,20β,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XV)",DB00635
4,DBMET02857,"6β,11β,17α,20α,21-pentahydroxypregnan-1,4-diene-3-one (M-IX)",DBMET02858,"6β,11β,17α,20α,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XVI)",DB00635
5,DBMET02855,"6β,11β,17α,20β,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XV)",DBMET02856,"6β,11β,17α,21-tetrahydroxy-5ξ-pregn-1-en-3,20-dione (M-XIV)",DB00635
5,DBMET02858,"6β,11β,17α,20α,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XVI)",DBMET02856,"6β,11β,17α,21-tetrahydroxy-5ξ-pregn-1-en-3,20-dione (M-XIV)",DB00635
1,DB00637,Astemizole,DBMET01618,6-Hydroxyastemizole,DB00637
1,DB00637,Astemizole,DB06457,Tecastemizole,DB00637
1,DB00637,Astemizole,DBMET01619,2-(4-hydroxyphenyl)acetaldehyde,DB00637
1,DB00637,Astemizole,DBMET00350,desmethylastemizole,DB00637
1,DB00638,Inulin,DBMET00554,Methane,DB00638
1,DB00640,Adenosine,DBMET00485,Adenosine monophosphate,DB00640
1,DB00640,Adenosine,DBMET00496,Inosine,DB00640
1,DB00641,Simvastatin,DBMET01745,6'-beta-Hydroxysimvastatin,DB00641
1,DB00641,Simvastatin,DBMET01746,"3', 5'-Dihydrodiol",DB00641
1,DB00641,Simvastatin,DBMET01747,6'-exomethylene,DB00641
1,DB00641,Simvastatin,DBMET00388,simvastatin hydroxy acid,DB00641
1,DB00643,Mebendazole,DBMET00675,2-amino-5-benzoylbenzimidazole,DB00643
1,DB00650,Leucovorin,DBMET00528,5-Methyltetrahydrofolate,DB00650
1,DB00654,Latanoprost,DBMET02771,Latanoprost acid,DB00654
2,DBMET02771,Latanoprost acid,DBMET02772,"1, 2 Dinor Latanoprost Acid",DB00654
2,DBMET02771,Latanoprost acid,DBMET02773,"1,2,3,4 Tetranor Latanoprost Acid",DB00654
1,DB00655,Estrone,DBMET00530,Estrone sulfate,DB00655
1,DB00655,Estrone,DBMET00569,Estrone glucuronide,DB00655
1,DB00655,Estrone,DBMET00332,4-hydroxyestrone,DB00655
1,DB00655,Estrone,DBMET00615,2-Hydroxyestrone sulfate,DB00655
1,DB00655,Estrone,DBMET00616,4-Hydroxyestrone sulfate,DB00655
1,DB00655,Estrone,DBMET01659,2-OH-estrone,DB00655
1,DB00655,Estrone,DBMET01660,4-OH-estrone,DB00655
1,DB00655,Estrone,DBMET01661,6alpha-OH-estrone,DB00655
1,DB00655,Estrone,DBMET01662,6beta-estrone,DB00655
1,DB00655,Estrone,DBMET01663,7alpha-OH-estrone,DB00655
1,DB00655,Estrone,DBMET01664,15alpha-OH-estrone,DB00655
1,DB00655,Estrone,DBMET01665,16alpha-OH-estrone,DB00655
1,DB00655,Estrone,DBMET01666,16beta-OH-estrone,DB00655
1,DB00655,Estrone,DBMET00248,2-hydroxyestrone,DB00655
1,DB00656,Trazodone,DBMET00344,m-chlorophenylpiperazine (m-CPP) ,DB00656
1,DB00656,Trazodone,DBMET02628,Triazolopyridinone dihydrodiol,DB00656
1,DB00656,Trazodone,DBMET00404,triazolopyridinone epoxide,DB00656
1,DB00656,Trazodone,DBMET00405,4'-hydroxytrazodone ,DB00656
1,DB00661,Verapamil,DBMET00619,O-Desmethylverapamil (D-702),DB00661
1,DB00661,Verapamil,DBMET00131,Verapamil metabolite D-617,DB00661
1,DB00661,Verapamil,DBMET00132,Norverapamil,DB00661
1,DB00661,Verapamil,DBMET00471,O-Desmethylverapamil (D-703),DB00661
2,DBMET00619,O-Desmethylverapamil (D-702),DBMET01234,Verapamil metabolite D-620,DB00661
2,DBMET00131,Verapamil metabolite D-617,DBMET01234,Verapamil metabolite D-620,DB00661
2,DBMET00131,Verapamil metabolite D-617,DBMET01235,Verapamil metabolite PR-25,DB00661
2,DBMET00132,Norverapamil,DBMET01236,Verapamil metabolite D-715 (PR-22),DB00661
2,DBMET00132,Norverapamil,DBMET01234,Verapamil metabolite D-620,DB00661
1,DB00668,Epinephrine,DBMET00537,Epinephrine sulfate,DB00668
1,DB00668,Epinephrine,DBMET02192,Metanephrine,DB00668
1,DB00668,Epinephrine,DBMET02193,Dihydroxymandelic acid,DB00668
1,DB00668,Epinephrine,DBMET00591,Epinephrine glucuronide,DB00668
1,DB00669,Sumatriptan,DBMET02583,Sumatriptan Metabolite GR49336,DB00669
1,DB00669,Sumatriptan,DBMET02585,Sumatriptan Metabolite GR34633,DB00669
2,DBMET02583,Sumatriptan Metabolite GR49336,DBMET02584,Sumatriptan Metabolite Ester Glucuronide of GR49336,DB00669
1,DB00672,Chlorpropamide,DBMET01628,2-OH-chlorpropamide,DB00672
1,DB00672,Chlorpropamide,DBMET01629,3-OH-chlorpropamide,DB00672
1,DB00672,Chlorpropamide,DBMET00199,2-Hydroxychlorpropamide,DB00672
1,DB00672,Chlorpropamide,DBMET00200,3-Hydroxychlorpropamide,DB00672
1,DB00672,Chlorpropamide,DBMET00201,4-Chlorobenzenesulfonylurea,DB00672
2,DBMET00201,4-Chlorobenzenesulfonylurea,DBMET00977,4-Chlorobenzenesulfonamide,DB00672
1,DB00673,Aprepitant,DBMET01589,"(2R,3S)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholine",DB00673
1,DB00673,Aprepitant,DBMET01590,"5-oxo-1,4-dihydro-1,2,4-triazole-3-carbaldehyde",DB00673
1,DB00673,Aprepitant,DBMET01591,"1-[3,5-bis(trifluoromethyl)phenyl]ethanone",DB00673
1,DB00673,Aprepitant,DBMET01592,"5-{[(2S,3S)-3-(4-fluorophenyl)-2-hydroxymorpholin-4-yl]methyl}-2,4-dihydro-1,2,4-triazol-3-one",DB00673
1,DB00673,Aprepitant,DBMET00349,"(2S,3R)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholine",DB00673
1,DB00673,Aprepitant,DBMET00474,"5-({[(1R)-1-(4-fluorophenyl)-2-hydroxyethyl]amino}methyl)-2,3-dihydro-1H-1,2,4-triazol-3-one",DB00673
1,DB00673,Aprepitant,DBMET00475,"(2R)-2-(4-fluorophenyl)-2-{[(5-oxo-2,5-dihydro-1H-1,2,4-triazol-3-yl)methyl]amino}acetic acid",DB00673
1,DB00674,Galantamine,DBMET03138,O-desmethyl-galantamine,DB00674
1,DB00674,Galantamine,DBMET03139,Galantamine N-oxide,DB00674
1,DB00674,Galantamine,DBMET03140,Galantamine glucuronide,DB00674
1,DB00674,Galantamine,DBMET03146,N-desmethyl-galantamine,DB00674
1,DB00674,Galantamine,DBMET03147,Sulfate conjugate of galantamine,DB00674
1,DB00674,Galantamine,DBMET03148,Galantaminone,DB00674
2,DBMET03148,Galantaminone,DBMET03149,O-desmethyl-galantaminone,DB00674
2,DBMET03148,Galantaminone,DBMET03150,Epigalantamine,DB00674
2,DBMET03138,O-desmethyl-galantamine,DBMET03141,O-desmethyl-galantamine glucuronide,DB00674
2,DBMET03138,O-desmethyl-galantamine,DBMET03142,Sulfate conjugate of O-desmethyl-galantamine,DB00674
3,DBMET03150,Epigalantamine,DBMET03151,N-desmethyl-epigalantamine,DB00674
3,DBMET03150,Epigalantamine,DBMET03153,Sulfate conjugate of epigalantamine,DB00674
3,DBMET03150,Epigalantamine,DBMET03154,Epigalantamine N-oxide,DB00674
3,DBMET03150,Epigalantamine,DBMET03156,O-desmethyl-epigalantamine,DB00674
4,DBMET03156,O-desmethyl-epigalantamine,DBMET03157,O-desmethyl-epigalantamine glucuronide,DB00674
1,DB00675,Tamoxifen,DBMET00029,N-Desmethyltamoxifen,DB00675
1,DB00675,Tamoxifen,DBMET02703,α-hydroxytamoxifen,DB00675
1,DB00675,Tamoxifen,DBMET00032,Tamoxifen N-oxide,DB00675
1,DB00675,Tamoxifen,DBMET00030,4-Hydroxytamoxifen,DB00675
2,DBMET00029,N-Desmethyltamoxifen,DBMET02699,N-desmethyltamoxifen Sulfate,DB00675
2,DBMET00029,N-Desmethyltamoxifen,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DB00675
2,DBMET02703,α-hydroxytamoxifen,DBMET02705,α-hydroxytamoxifen Glucuronide,DB00675
2,DBMET02703,α-hydroxytamoxifen,DBMET02704,α-tamoxifen Sulfate,DB00675
2,DBMET00030,4-Hydroxytamoxifen,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DB00675
2,DBMET00030,4-Hydroxytamoxifen,DBMET00737,4-hydroxytamoxifen sulfate,DB00675
2,DBMET00030,4-Hydroxytamoxifen,DBMET02702,Tamoxifen Glucuronides,DB00675
2,DBMET00029,N-Desmethyltamoxifen,DBMET02714,"N,N-didesmethyltamoxifen",DB00675
3,DBMET00737,4-hydroxytamoxifen sulfate,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02702,Tamoxifen Glucuronides,DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02700,4-endoxifen Sulfate,DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET00737,4-hydroxytamoxifen sulfate,DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02702,Tamoxifen Glucuronides,DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02700,4-endoxifen Sulfate,DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET00737,4-hydroxytamoxifen sulfate,DB00675
3,DBMET02714,"N,N-didesmethyltamoxifen",DBMET02715,Tamoxifen Metabolite Y,DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02719,"Norendoxifen (4-hydroxy-N,N-didesmethyltamoxifen)",DB00675
3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02719,"Norendoxifen (4-hydroxy-N,N-didesmethyltamoxifen)",DB00675
4,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02702,Tamoxifen Glucuronides,DB00675
4,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02700,4-endoxifen Sulfate,DB00675
4,DBMET02715,Tamoxifen Metabolite Y,DBMET02716,Tamoxifen Metabolite E,DB00675
4,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02719,"Norendoxifen (4-hydroxy-N,N-didesmethyltamoxifen)",DB00675
5,DBMET02716,Tamoxifen Metabolite E,DBMET02717,Tamoxifen Metabolite E Glucuronide,DB00675
5,DBMET02716,Tamoxifen Metabolite E,DBMET02718,Tamoxifen Metabolite E Sulfate Conjugate,DB00675
1,DB00678,Losartan,DBMET00009,Losartan carboxaldehyde,DB00678
1,DB00678,Losartan,DBMET00010,Losartan N2-glucuronide,DB00678
1,DB00678,Losartan,DBMET00303,Losartan carboxylic acid,DB00678
2,DBMET00009,Losartan carboxaldehyde,DBMET00303,Losartan carboxylic acid,DB00678
1,DB00679,Thioridazine,DBMET01842,Thioridazine 2-sulfoxide,DB00679
1,DB00679,Thioridazine,DBMET01843,N-desmethylthioridazine,DB00679
1,DB00679,Thioridazine,DBMET01844,Thioridazine 5-sulfoxide,DB00679
1,DB00682,Warfarin,DBMET01042,S-7-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET00043,S-6-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET00044,S-4'-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET00045,R-4'-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET00046,R-6-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET00047,R-10(S)-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET02560,R-10(R)-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET00048,R-8-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET00049,R-7-Hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET02558,(R)9-hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET02559,(S)9-hydroxywarfarin,DB00682
1,DB00682,Warfarin,DBMET02556,R-Warfarin-S-Alcohol,DB00682
1,DB00682,Warfarin,DBMET02561,R-Warfarin-R-Alcohol,DB00682
1,DB00682,Warfarin,DBMET02557,S-Warfarin-S-Alcohol,DB00682
1,DB00682,Warfarin,DBMET02562,S-Warfarin-R-Alcohol,DB00682
2,DBMET00046,R-6-Hydroxywarfarin,DBMET02547,R-6-Hydroxywarfarin sulfate,DB00682
2,DBMET00049,R-7-Hydroxywarfarin,DBMET02551,R-7-Hydroxywarfarin glucuronide,DB00682
2,DBMET00049,R-7-Hydroxywarfarin,DBMET02553,R-7-Hydroxywarfarin sulfate,DB00682
2,DBMET00045,R-4'-Hydroxywarfarin,DBMET02555,R-4'-Hydroxywarfarin glucuronide,DB00682
2,DBMET00047,R-10(S)-Hydroxywarfarin,DBMET02563,(E)-dehydrowarfarin,DB00682
2,DBMET00047,R-10(S)-Hydroxywarfarin,DBMET02564,(Z)-dehydrowarfarin,DB00682
2,DBMET02560,R-10(R)-Hydroxywarfarin,DBMET02563,(E)-dehydrowarfarin,DB00682
2,DBMET02560,R-10(R)-Hydroxywarfarin,DBMET02564,(Z)-dehydrowarfarin,DB00682
1,DB00683,Midazolam,DBMET02208,1-hydroxymidazolam glucuronide,DB00683
1,DB00683,Midazolam,DBMET02209,4-hydroxymidazolam glucuronide,DB00683
1,DB00683,Midazolam,DBMET00444,Alpha-hydroxymidazolam,DB00683
1,DB00683,Midazolam,DBMET00446,4-hydroxymidazolam,DB00683
1,DB00685,Trovafloxacin,DBMET00640,Sulfamate,DB00685
1,DB00687,Fludrocortisone,DBMET02845,20β-dihydrofluorocortisol,DB00687
1,DB00687,Fludrocortisone,DBMET02846,6β-hydroxyfluorocortisol,DB00687
1,DB00688,Mycophenolate mofetil,DB01024,Mycophenolic acid,DB00688
1,DB00688,Mycophenolate mofetil,DBMET00916,Mycophenolic acid glucuronide,DB00688
1,DB00688,Mycophenolate mofetil,DBMET02607,Mycophenolic acyl-glucuronide (AcMPAG),DB00688
1,DB00688,Mycophenolate mofetil,DBMET00918,N-(2-carboxymethyl)-morpholine,DB00688
1,DB00688,Mycophenolate mofetil,DBMET00919,N-(2-hydroxyethyl)-morpholine,DB00688
1,DB00688,Mycophenolate mofetil,DBMET00920,N-(2-hydroxyethyl)-morpholine N-oxide,DB00688
