form,route,strength,parent_key
Gel,Topical,20.699 mL/29.57mL,DB00898
Cloth,Topical,.60 g/1,DB00898
Cloth,Topical,665 mL/1L,DB00898
Liquid,Topical,750 mg/1mL,DB00898
Gel,Topical,.70 mL/1mL,DB00898
Gel,Topical,.70 L/1L,DB00898
Gel,Topical,620 mg/1g,DB00898
Liquid,Topical,7000 L/10000L,DB00898
Liquid,Topical,7200 L/10000L,DB00898
Liquid,Topical,7500 L/10000L,DB00898
Gel,Topical,36.58 mL/59mL,DB00898
"Aerosol, foam",Topical,0.62 mL/1mL,DB00898
Liquid,Topical,75 g/100g,DB00898
Gel,Topical,70 g/100mL,DB00898
Gel,Topical,0.75 1/1mL,DB00898
Liquid,Topical,70 mL/100mL,DB00898
Gel,Topical,3 g/5g,DB00898
Liquid,Topical,62 g/100g,DB00898
Gel,Topical,66.5 mL/100mL,DB00898
Gel,Topical,178.1 mL/260mL,DB00898
Gel,Topical,195 mL/260mL,DB00898
Gel,Topical,342.5 mL/500mL,DB00898
Gel,Topical,65.075 mL/95mL,DB00898
Gel,Topical,67.13 mL/98mL,DB00898
Gel,Topical,71.25 mL/95mL,DB00898
Gel,Topical,73.5 mL/98mL,DB00898
Gel,Topical,350 g/500mL,DB00898
Gel,Topical,60 mL/100mL,DB00898
Jelly,Topical,,DB00898
Stick,Topical,,DB00898
Gel,Topical,154 g/220g,DB00898
Gel,Topical,308 g/440g,DB00898
Gel,Topical,3080 g/4400g,DB00898
Gel,Topical,36.4 g/52g,DB00898
Gel,Topical,42 mg/25mL,DB00898
Solution,Topical,700 mL/1L,DB00898
Liquid,Topical,800 mL/1L,DB00898
Liquid,Topical,1000 mL/1390.025mL,DB00898
Liquid,Topical,141.6 mL/177mL,DB00898
Liquid,Topical,0.78 mL/1mL,DB00898
Liquid,Topical,0.29326 L/0.473L,DB00898
Liquid,Extracorporeal,30 mL/40mL,DB00898
Gel,Topical,1.4 mL/2mL,DB00898
Liquid,Topical,76.8 mL/96mL,DB00898
Gel,Extracorporeal,2646 mL/3780mL,DB00898
Gel,Extracorporeal,41.3 mL/59mL,DB00898
Gel,Extracorporeal,703.5 mL/1005mL,DB00898
Gel,Extracorporeal,130.2 mL/186mL,DB00898
Gel,Extracorporeal,173.6 mL/248mL,DB00898
Gel,Extracorporeal,82.6 mL/118mL,DB00898
Spray,Extracorporeal,82.6 mL/118mL,DB00898
Spray,Extracorporeal,173.6 mL/248mL,DB00898
Gel,Extracorporeal,85.5 mL/120mL,DB00898
Solution,Topical,600 mg/1mL,DB00898
Cloth,Topical,65.9 mL/100mL,DB00898
Liquid,Topical,19.2 mL/24mL,DB00898
Aerosol,Topical,90.24 mL/100mL,DB00898
Solution,Topical,1 mL/1,DB00898
Gel,Topical,70 g/500mL,DB00898
Gel,Topical,70 L/100L,DB00898
Gel,Topical,650 mg/1mL,DB00898
Liquid,Topical,189.6 mL/237mL,DB00898
Gel,Topical,0.715 mL/1mL,DB00898
Gel,Topical,16.1 mL/23mL,DB00898
Gel,Topical,2649.5 mL/3785mL,DB00898
Spray,Topical,56 mL/80mL,DB00898
Lotion,Topical,83 mL/100mL,DB00898
Gel,Topical,140 mL/200mL,DB00898
Gel,Topical,2649 mL/3785mL,DB00898
Spray,Topical,75 mL/100mL,DB00898
Spray,Cutaneous,80 g/100g,DB00898
"Gel, dentifrice",Dental,500 mg/1g,DB00898
Cloth,Topical,1 ug/1mL,DB00898
Gel,Topical,0.6999 mL/1mL,DB00898
Gel,Extracorporeal,150 mL/200mL,DB00898
Gel,Extracorporeal,177.42 mL/236.56mL,DB00898
Gel,Extracorporeal,44.25 mL/59mL,DB00898
"Solution, gel forming, extended release",Topical,,DB00898
"Solution, gel forming, extended release",Topical,70 mL/100mL,DB00898
Lotion,Topical,62 dL/100dL,DB00898
Liquid,Topical,62.00 g/100g,DB00898
Gel,Topical,65 mL/100mL,DB00898
Kit,Topical,22.5 mL/30mL,DB00898
Kit,Topical,22.5 mL/22.5mL,DB00898
Cream,Topical,70 mL/100mL,DB00898
Gel,Topical,70 mL/100mL,DB00898
Gel,Topical,1.86 mL/3mL,DB00898
Gel,Topical,1.86 g/3mL,DB00898
Liquid,Topical,82 mL/100mL,DB00898
Liquid,Topical,,DB00898
Liquid,Topical,69.9 mL/100mL,DB00898
Spray,Topical,85 mL/100mL,DB00898
Gel,Topical,0.26 g/26g,DB00898
Gel,Topical,31 g/50mL,DB00898
Liquid,Topical,95 L/100L,DB00898
Gel,Topical,73 mL/100mL,DB00898
Kit,Electro-osmosis,,DB00898
Liquid,Topical,0.75 mL/1mL,DB00898
Gel,Topical,0.72 mL/1mL,DB00898
Spray,Topical,0.62 mg/1mL,DB00898
Gel,Topical,64.7 g/100g,DB00898
Spray,Topical,0.67 g/1mL,DB00898
Gel,Topical,0.6 g/1mL,DB00898
Liquid,Topical,23.659 mL/29.574mL,DB00898
Liquid,Topical,26.36 g/44mL,DB00898
Solution,Topical,62 mL/100mL,DB00898
"Aerosol, foam",Topical,0.625 mg/1mg,DB00898
Lipstick,Topical,65 mL/100mL,DB00898
Liquid,Topical,650 mg/1mL,DB00898
Swab,Topical,75 g/100g,DB00898
Spray,Topical,14 mL/20mL,DB00898
Gel,Topical,70.5 mL/100mL,DB00898
Gel,Topical,24.5 mL/35mL,DB00898
Gel,Topical,16.32 mL/25mL,DB00898
Gel,Topical,326.5 mL/500mL,DB00898
Gel,Topical,65.3 mL/100mL,DB00898
Gel,Topical,16.32 g/25mL,DB00898
Gel,Topical,228 mL/300mL,DB00898
Spray,Topical,1.42 g/30mL,DB00898
Gel,Topical,1.05 g/1.5mL,DB00898
Gel,Topical,0.93 g/1.5mL,DB00898
Gel,Topical,120 g/200mL,DB00898
Gel,Topical,36 g/60mL,DB00898
Gel,Topical,71 L/100L,DB00898
Liquid,Topical,710 g/1L,DB00898
Syrup,Oral,,DB00898
Gel,Cutaneous,77 g/100g,DB00898
Gel,Topical,35 mL/50mL,DB00898
Spray,Topical,66.5 mL/95mL,DB00898
Spray,Topical,249 mL/300mL,DB00898
Cloth,Topical,,DB00898
Gel,Topical,2.65 kg/3.78kg,DB00898
Gel,Topical,1 L/1L,DB00898
Gel,Topical,37 mL/60mL,DB00898
Gel,Topical,7.5 mg/1mL,DB00898
Liquid,Topical,0.7 mL/1mL,DB00898
Gel,Topical,35 g/50mL,DB00898
Gel,Topical,248 mL/400mL,DB00898
Gel,Topical,70 mL/1mL,DB00898
Gel,Topical,75.9 mL/100mL,DB00898
Liquid,Topical,75 mL/100g,DB00898
Liquid,Topical,70 L/100L,DB00898
Gel,Topical,78 mL/100mL,DB00898
Gel,Topical,2.45 mL/3.5mL,DB00898
Gel,Topical,147 mL/236mL,DB00898
Gel,Topical,345.64 mL/532mL,DB00898
Gel,Topical,0.7 kg/1L,DB00898
Liquid,Topical,65.3 g/100g,DB00898
Gel,Topical,155 mL/250mL,DB00898
Gel,Topical,310 mL/500mL,DB00898
Gel,Topical,49.6 mL/80mL,DB00898
Gel,Topical,74.4 mL/120mL,DB00898
Gel,Topical,93 mL/150mL,DB00898
Gel,Topical,77 mL/110mL,DB00898
Liquid,Topical,65.2 mL/100mL,DB00898
Gel,Topical,150.97 g/266mL,DB00898
Gel,Topical,39.184 g/70mL,DB00898
Gel,Topical,36.58 g/59mL,DB00898
Cloth,Topical,3.32 g/1,DB00898
Gel,Topical,72 g/100mL,DB00898
Liquid,Oral,75 mL/100mL,DB00898
Solution,Topical,.80 L/1L,DB00898
Liquid,Topical,62.000 g/100g,DB00898
Solution,Topical,67 mL/100mL,DB00898
Solution,Topical,71 mL/100mL,DB00898
Gel,Cutaneous,0.62 mg/1mL,DB00898
Gel,Topical,2.59 L/3.7L,DB00898
Spray,Topical,0.62 g/1g,DB00898
Liquid,Topical,338.82 g/1L,DB00898
Liquid,Topical,192 mL/240mL,DB00898
Liquid,Topical,480 mL/600mL,DB00898
Liquid,Topical,80 mL/200mL,DB00898
Mouthwash,Dental,,DB00898
Liquid,Topical,62.5 mL/100mL,DB00898
Gel,Topical,80 L/100L,DB00898
Gel,Topical,65 g/100mL,DB00898
Gel,Topical,356.25 mL/475mL,DB00898
Gel,Topical,60 mL/80mL,DB00898
Gel,Topical,712.5 mL/950mL,DB00898
Gel,Topical,620 mL/1000mL,DB00898
Liquid,Topical,58.36 g/100mL,DB00898
Gel,Topical,800 mL/1L,DB00898
Gel,Topical,6.5 mL/10mL,DB00898
Liquid,Topical,585 g/1mL,DB00898
Gel,Topical,58.10 mg/1g,DB00898
Spray,Topical,56 mg/1g,DB00898
Gel,Topical,62.00 mL/100mL,DB00898
Cloth,Topical,73 1/1001,DB00898
Gel,Topical,20 mL/100mL,DB00898
Gel,Topical,75 g/100mL,DB00898
Gel,Topical,63 mg/1mL,DB00898
Liquid,Topical,550 g/59mL,DB00898
Gel,Topical,700 mg/1mL,DB00898
Liquid,Topical,0.80 mL/1mL,DB00898
Liquid,Topical,48 mL/100mL,DB00898
Liquid,Topical,64.5 mL/100mL,DB00898
Spray,Topical,62 mL/62mL,DB00898
Liquid,Topical,3.15406 L/3.785L,DB00898
Solution,Intraspinal,9.8 mg/1mL,DB00898
Injection,Intraspinal,0.98 mL/1mL,DB00898
"Injection, solution",Intraspinal,0.98 mL/1mL,DB00898
"Injection, solution",Percutaneous,1 mL/1mL,DB00898
Solution,Intraspinal,0.98 mL/1mL,DB00898
Liquid,Intramuscular; Subcutaneous,,DB00898
Solution,Infiltration; Intravenous,,DB00898
Liquid,Topical,0.65 g/283g,DB00898
Liquid,Topical,0.65 g/113g,DB00898
Spray,Topical,61.75 mL/100mL,DB00898
"Aerosol, foam",Topical,65 mL/100mL,DB00898
Gel,Topical,,DB00898
Liquid,Topical,.62 L/1L,DB00898
Gel,Topical,30 g/50mL,DB00898
Gel,Topical,72 mL/115mL,DB00898
Gel,Topical,71.5 mL/100mL,DB00898
Liquid,Topical,81.11 mL/100mL,DB00898
Liquid,Topical,75.0006 mL/100mL,DB00898
Cloth,Topical,75 mL/100mL,DB00898
Gel,Topical,76 mL/100mL,DB00898
Liquid,Topical,62.75 mL/100mL,DB00898
Cloth,Topical,65 mL/1mL,DB00898
"Aerosol, foam",Topical,0.547 mg/1mg,DB00898
"Aerosol, foam",Topical,62.5 g/100g,DB00898
Solution,Topical,0.547 mg/1mg,DB00898
Solution,Topical,60 mL/100mL,DB00898
Liquid,Topical,60 %,DB00898
Solution,Topical,54.7 g/100g,DB00898
Spray,Topical,375 mL/500mL,DB00898
Liquid,Extracorporeal,175 mL/250mL,DB00898
Liquid,Extracorporeal,354.75 mL/473mL,DB00898
Liquid,Extracorporeal,662.2 mL/946mL,DB00898
Cloth,Extracorporeal,588 mL/1401,DB00898
Cloth,Extracorporeal,255 mL/801,DB00898
Cloth,Extracorporeal,2 mL/1,DB00898
Gel,Extracorporeal,75 mL/100mL,DB00898
Cloth,Extracorporeal,75 mL/100mL,DB00898
Cloth,Extracorporeal,100 mL/801,DB00898
Cloth,Extracorporeal,430.5 g/574g,DB00898
Cloth,Topical,4.5 mL/1,DB00898
Cloth,Topical,2.1 g/1,DB00898
Gel,Topical,0.69 mL/1mL,DB00898
Gel,Cutaneous; Topical,75 mL/100mL,DB00898
Liquid,Extracorporeal,10.8 mL/60mL,DB00898
Gel,Topical,75 mL/100g,DB00898
Liquid,Extracorporeal,,DB00898
Liquid,Extracorporeal,350 mL/500mL,DB00898
Gel,Topical,335 mL/500mL,DB00898
Liquid,Topical,82 g/100g,DB00898
Spray,Cutaneous; Topical,78 mL/100mL,DB00898
Liquid,Oral,,DB00898
Gel,Topical,70.00075 mL/100mL,DB00898
Spray,Topical,68 g/100mL,DB00898
Gel,Topical,750 mg/1mL,DB00898
Gel,Topical,217 mL/350mL,DB00898
Gel,Topical,7 mL/10mL,DB00898
Gel,Topical,43.4 mL/70mL,DB00898
Gel,Topical,0.975 mL/1.5mL,DB00898
Gel,Topical,19.5 mL/30mL,DB00898
Gel,Topical,375 g/500mL,DB00898
Gel,Topical,222 mL/300mL,DB00898
Gel,Topical,37 mL/50mL,DB00898
Cloth,Topical,67 mL/100g,DB00898
Cloth,Topical,3 g/1,DB00898
Cloth,Topical,2.02 g/1,DB00898
Cloth,Topical,2.4 g/1,DB00898
Gel,Topical,385 mL/550mL,DB00898
Gel,Topical,49 mL/70mL,DB00898
Gel,Topical,662.2 mL/946mL,DB00898
Gel,Topical,340 mL/500mL,DB00898
Gel,Topical,40.8 mL/60mL,DB00898
Gel,Topical,800 mg/1.2mL,DB00898
Spray,Topical,800 mg/1.2mL,DB00898
Gel,Topical,1.36 mL/2mL,DB00898
Liquid,Topical,0.3 mL/1mL,DB00898
Gel,Extracorporeal,1.5 mL/2mL,DB00898
Cloth,Extracorporeal,168.75 g/301,DB00898
Gel,Topical,0.74 g/284g,DB00898
Liquid,Topical,88 mL/110mL,DB00898
Gel,Topical,283.5 g/500mL,DB00898
Spray,Topical,80 mL/100mL,DB00898
Spray,Topical,102 mL/170mL,DB00898
Liquid,Topical,0.7 L/1L,DB00898
Solution,Topical,556 mg/1mL,DB00898
Solution,Topical,589.4 mg/1mL,DB00898
Solution,Topical,598.5 mg/1mL,DB00898
Gel,Topical,380 mL/500mL,DB00898
Liquid,Topical,3154 mL/3785mL,DB00898
Solution,Topical,7 mL/10mL,DB00898
Cloth,Topical,0.7 1/1,DB00898
Spray,Topical,7 mL/10mL,DB00898
Gel,Topical,600 mL/1000mL,DB00898
Gel,Topical,700 mL/1000mL,DB00898
Gel,Topical,60 g/100g,DB00898
Soap,Percutaneous,0.62 mL/1mL,DB00898
Solution,Topical,70 mg/1mL,DB00898
Gel,Topical,0.5634 g/1mL,DB00898
"Aerosol, spray",Topical,62 mL/100mL,DB00898
Gel,Topical,86 mL/100mL,DB00898
"Aerosol, foam",Topical,62 mL/100mL,DB00898
Cloth,Topical,65 mL/1,DB00898
Solution,Topical,700 mg/1mL,DB00898
For solution,Topical,75 mL/75mL,DB00898
For solution,Topical,80 mL/80mL,DB00898
Liquid,Topical,65 mL/100mL,DB00898
Spray,Topical,210 mL/300mL,DB00898
Liquid,Topical,620 mg/1mL,DB00898
Gel,Topical,74.33 mL/100mL,DB00898
Gel,Topical,74.25 mL/100mL,DB00898
Gel,Topical,357 mL/510mL,DB00898
Gel,Topical,83 mL/100mL,DB00898
Liquid,Topical,1 L/1L,DB00898
"Spray, suspension",Topical,80 mL/100mL,DB00898
Liquid,Extracorporeal,15 mL/20mL,DB00898
Gel,Topical,.70 g/1g,DB00898
Gel,Topical,0.62 mL/1mL,DB00898
Solution,Topical,0.67 mL/1mL,DB00898
Liquid,Cutaneous,70 mL/100mL,DB00898
Gel,Topical,72 g/100g,DB00898
Lotion,Topical,62 mL/100mL,DB00898
Cloth,Topical,62 mL/100mL,DB00898
Liquid,Topical,1875 mL/2500mL,DB00898
Liquid,Topical,2250 mL/3000mL,DB00898
Liquid,Topical,3.75 L/5L,DB00898
Liquid,Topical,7.5 mL/10L,DB00898
Liquid,Topical,750 mL/1000mL,DB00898
Liquid,Topical,0.75 L/1L,DB00898
Liquid,Topical,1.875 L/2.5L,DB00898
Liquid,Topical,15 L/20L,DB00898
Liquid,Topical,18.75 L/25L,DB00898
Liquid,Topical,2.25 L/3L,DB00898
Liquid,Topical,37.5 L/50L,DB00898
Liquid,Topical,7.5 L/10L,DB00898
Liquid,Topical,7 g/10g,DB00898
"Aerosol, spray",Topical,80 g/100g,DB00898
Cloth,Topical,0.83 1/1,DB00898
Gel,Topical,86.8 g/140mL,DB00898
Liquid,Topical,128.21 g/1,DB00898
Gel,Topical,340 g/500mL,DB00898
Gel,Topical,42 g/60mL,DB00898
Kit,Topical,0.7 g/1g,DB00898
Liquid,Topical,48 g/100mL,DB00898
Liquid,Topical,0.62 mL/1mL,DB00898
"Aerosol, foam",Topical,70 mL/100mL,DB00898
Liquid,Topical,66 mL/100L,DB00898
"Aerosol, foam",Topical,62.5 mL/100mL,DB00898
Gel,Topical,70 g/100g,DB00898
"Aerosol, foam",Topical,63 mL/100mL,DB00898
Soap,Topical,0.072 mg/1mL,DB00898
Liquid,Topical,71.28 mL/100mL,DB00898
Gel,Topical,69 mL/100mL,DB00898
Spray,Topical,0.65 mL/1mL,DB00898
Gel,Extracorporeal,40 mL/50mL,DB00898
Spray,Topical,31 mL/50mL,DB00898
Gel,Topical,70.6926 mL/100mL,DB00898
Gel,Topical,605.7 mg/1mL,DB00898
"Aerosol, spray",Topical,70 mg/100g,DB00898
Gel,Topical,66 g/100g,DB00898
Gel,Topical,60 mL/96mL,DB00898
Liquid,Topical,65.0 mL/100mL,DB00898
Liquid,Topical,17.98 mL/29mL,DB00898
Lotion,Topical,185 mL/295mL,DB00898
Liquid,Topical,75 g/100mL,DB00898
Cloth,Extracorporeal,165 mL/501,DB00898
Cloth,Extracorporeal,33.75 mL/101,DB00898
Cloth,Extracorporeal,375 mL/501,DB00898
Liquid,Topical,75 mL/100mL,DB00898
Spray,Topical,600 mL/1L,DB00898
,Subcutaneous; Topical,,DB00898
"Aerosol, foam",Topical,0.62 g/1g,DB00898
Gel,Topical,87.5 mL/125mL,DB00898
Gel,Topical,700 mL/1L,DB00898
Liquid,Topical,0.7238 1/1mL,DB00898
Cream,Topical,620 mg/1g,DB00898
Soap,Topical,0.67 mL/1mL,DB00898
Gel,Topical,69.5 g/100g,DB00898
Liquid,Topical,75.6 mL/100mL,DB00898
Cloth,Topical,.70 mL/1mL,DB00898
Liquid,Topical,616 mg/1mL,DB00898
Gel,Topical,78.26 mL/100mL,DB00898
Spray,Topical,83.47 mL/100mL,DB00898
Gel,Topical,67.7 mL/100mL,DB00898
Solution,Topical,630 g/1000g,DB00898
Solution,Topical,80 mL/1L,DB00898
Gel,Topical,150 mL/200mL,DB00898
Gel,Topical,63 1/100g,DB00898
Solution,Topical,42 mL/60mL,DB00898
Gel,Topical,0.8 mL/1mL,DB00898
Gel,Extracorporeal,196 mL/280mL,DB00898
Gel,Extracorporeal,40.6 mL/58mL,DB00898
Gel,Extracorporeal,52.5 mL/75mL,DB00898
Kit,Ophthalmic; Oral; Topical,,DB00898
Gel,Topical,46.5 g/75mL,DB00898
Mouthwash,,,DB00898
Gel,Topical,70.0 g/100mL,DB00898
Spray,Topical,94.4 mL/118mL,DB00898
"Gel, metered",Topical,0.7 mL/1mL,DB00898
Gel,Topical,0.733 mL/1mL,DB00898
Liquid,Topical,74 L/100L,DB00898
Gel,Topical,37.5 mL/50mL,DB00898
Gel,Topical,11.9 mL/17mL,DB00898
Liquid,Topical,98.3 mL/118mL,DB00898
Gel,Topical,63 g/100mL,DB00898
Gel,Topical,16.41 mg/30mL,DB00898
Gel,Topical,15.67 mg/30mL,DB00898
Gel,Topical,1.09 g/2mL,DB00898
Gel,Topical,16.41 g/30mL,DB00898
Gel,Topical,174.0 g/300mL,DB00898
Gel,Topical,130.65 mg/250mL,DB00898
,Topical,660 mg/1mL,DB00898
,Topical,660 mL/1mL,DB00898
Liquid,Topical,35.15 g/60mL,DB00898
Gel,Topical,62.7 mL/100mL,DB00898
Liquid,Topical,0.68 mL/1mL,DB00898
Spray,Topical,64.6 g/100mL,DB00898
Gel,Cutaneous,62.035 mL/100mL,DB00898
Gel,Topical,0.7 mg/1mL,DB00898
Liquid,Cutaneous; Topical,80 mL/100mL,DB00898
Solution,Topical,0.8 L/1L,DB00898
Spray,Topical,0.8 1/1,DB00898
Liquid,Topical,47.2 mL/59mL,DB00898
Liquid,Topical,62 %,DB00898
"Aerosol, spray",Topical,70 mL/100mL,DB00898
Cloth,Topical,0.75 mL/100mL,DB00898
Cloth,Topical,36000 cm2/48000cm2,DB00898
Cloth,Topical,80 mL/100mL,DB00898
Gel,Cutaneous,68 mL/100mL,DB00898
Gel,Cutaneous,71 mL/100mL,DB00898
Gel,Cutaneous; Topical,70 mL/100mL,DB00898
Gel,Cutaneous; Topical,80 mL/100mL,DB00898
Gel,Extracorporeal,187.5 mL/250mL,DB00898
Gel,Extracorporeal,21.75 mL/29mL,DB00898
Gel,Extracorporeal,262.5 mL/350mL,DB00898
Gel,Extracorporeal,295.625 mL/473mL,DB00898
Gel,Extracorporeal,295.625 mL/437mL,DB00898
Gel,Extracorporeal,315 mL/500mL,DB00898
Gel,Extracorporeal,352.5 mL/500mL,DB00898
Gel,Extracorporeal,37.8 mL/60mL,DB00898
Gel,Extracorporeal,42.3 mL/60mL,DB00898
Gel,Extracorporeal,709.5 mL/946mL,DB00898
Gel,Extracorporeal,750 mL/1000mL,DB00898
Gel,Extracorporeal,937.5 mL/1250mL,DB00898
Gel,Percutaneous,62 mL/100mL,DB00898
Gel,Topical,.65 kg/100L,DB00898
Gel,Topical,.665 g/1mL,DB00898
Gel,Topical,0.25 L/100L,DB00898
Gel,Topical,0.625 mL/1mL,DB00898
Gel,Topical,0.656 mL/1mL,DB00898
Gel,Topical,0.75 mL/100mL,DB00898
Gel,Topical,0.876 mL/1.2mL,DB00898
Gel,Topical,1.5 mL/2mL,DB00898
Gel,Topical,146.3 mL/236mL,DB00898
Gel,Topical,155.709 mL/237mL,DB00898
Gel,Topical,160 mL/200mL,DB00898
Gel,Topical,165.2 mL/236mL,DB00898
Gel,Topical,169.92 mL/236mL,DB00898
Gel,Topical,184.6 mL/355mL,DB00898
Gel,Topical,2.72 L/3.78L,DB00898
Gel,Topical,2.8 L/4L,DB00898
Gel,Topical,200 mL/250mL,DB00898
Gel,Topical,204 mL/300mL,DB00898
Gel,Topical,21.75 mL/29mL,DB00898
Gel,Topical,221.25 mL/295mL,DB00898
Gel,Topical,24 mL/30mL,DB00898
Gel,Topical,280 mL/400mL,DB00898
Gel,Topical,2800 mL/4000mL,DB00898
Gel,Topical,3.02 L/3.78L,DB00898
Gel,Topical,3000 mL/4000mL,DB00898
Gel,Topical,340.6 mL/473mL,DB00898
Gel,Topical,3500 mL/5000mL,DB00898
Gel,Topical,385 mL/500mL,DB00898
Gel,Topical,39 mL/60mL,DB00898
Gel,Topical,398.84 mL/498.5mL,DB00898
Gel,Topical,41.3 mL/59mL,DB00898
Gel,Topical,42.5 mL/59mL,DB00898
Gel,Topical,43.365 mL/59mL,DB00898
Gel,Topical,435 mL/580mL,DB00898
Gel,Topical,44.25 mL/59mL,DB00898
Gel,Topical,45 mL/100mL,DB00898
Gel,Topical,47.2 mL/59mL,DB00898
Gel,Topical,53.5 g/100mL,DB00898
Gel,Topical,545 mg/1mL,DB00898
Gel,Topical,558 mg/1mL,DB00898
Gel,Topical,567 mg/1mL,DB00898
Gel,Topical,578 mg/1mL,DB00898
Gel,Topical,585 mg/1mL,DB00898
Gel,Topical,60 mL/60mL,DB00898
Gel,Topical,60.075 mL/100mL,DB00898
Gel,Topical,62 g/89mL,DB00898
Gel,Topical,62 mL/1mL,DB00898
Gel,Topical,62 g/112mL,DB00898
Gel,Topical,62 %,DB00898
Gel,Topical,62.4 mL/100mL,DB00898
Gel,Topical,62.5 g/112mL,DB00898
Gel,Topical,64 mL/100mL,DB00898
Gel,Topical,65 g/112mL,DB00898
Gel,Topical,65.0 mL/100L,DB00898
Gel,Topical,650 mL/1mL,DB00898
Gel,Topical,66 mL/100mL,DB00898
Gel,Topical,67 mL/100mL,DB00898
Gel,Topical,68 g/112mL,DB00898
Gel,Topical,70 g/112mL,DB00898
Gel,Topical,70.21 mL/100mL,DB00898
Gel,Topical,70.325 mL/100mL,DB00898
Gel,Topical,700 L/1000L,DB00898
Gel,Topical,71 g/100g,DB00898
Gel,Topical,71.25 mL/100mL,DB00898
Gel,Topical,720 mL/1000mL,DB00898
Gel,Topical,73.06 mL/100mL,DB00898
Gel,Topical,74 mL/100mL,DB00898
Gel,Topical,75 L/100L,DB00898
Gel,Topical,75 mL/75mL,DB00898
Gel,Topical,75.05 mL/100mL,DB00898
Gel,Topical,75.12 mL/100mL,DB00898
Gel,Topical,75.59 mL/100mL,DB00898
Gel,Topical,75.768575 mL/100mL,DB00898
Gel,Topical,75.769 mL/100mL,DB00898
Gel,Topical,750 mL/1L,DB00898
Gel,Topical,760 mL/1000mL,DB00898
Gel,Topical,80 mL/1L,DB00898
Gel,Topical,80 mL/80mL,DB00898
Gel,Topical,80 mL/500mL,DB00898
Gel,Topical,80 mL/250mL,DB00898
Gel,Topical,80 mL/100mL,DB00898
Gel,Topical,80 g/100g,DB00898
Gel,Topical,800 L/1000L,DB00898
Gel,Topical,837 mg/1mL,DB00898
Gel,Topical,93 mL/100mL,DB00898
Gel,Topical,939.84 kg/1270.05kg,DB00898
Gel,Topical,96 mL/120mL,DB00898
Gel,Topical; Transdermal,73 mL/100mL,DB00898
Liquid,Cutaneous; Topical,75 mL/100mL,DB00898
Liquid,Extracorporeal,0.75 L/1L,DB00898
Liquid,Extracorporeal,1.875 mL/2.5mL,DB00898
Liquid,Extracorporeal,146.32 mL/236mL,DB00898
Liquid,Extracorporeal,15 L/20L,DB00898
Liquid,Extracorporeal,166.38 mL/236mL,DB00898
Liquid,Extracorporeal,169.2 mL/240mL,DB00898
Liquid,Extracorporeal,177 mL/236mL,DB00898
Liquid,Extracorporeal,177.75 mL/237mL,DB00898
Liquid,Extracorporeal,200 mL/250mL,DB00898
Liquid,Extracorporeal,21.15 mL/30mL,DB00898
Liquid,Extracorporeal,210 mL/300mL,DB00898
Liquid,Extracorporeal,225 mL/300mL,DB00898
Liquid,Extracorporeal,24 mL/30mL,DB00898
Liquid,Extracorporeal,266.25 mL/355mL,DB00898
Liquid,Extracorporeal,3.75 L/5L,DB00898
Liquid,Extracorporeal,33.4 mL/50mL,DB00898
Liquid,Extracorporeal,352.5 mL/500mL,DB00898
Liquid,Extracorporeal,37.2 mL/60mL,DB00898
Liquid,Extracorporeal,3750 mL/5000mL,DB00898
Liquid,Extracorporeal,40 mL/50mL,DB00898
Liquid,Extracorporeal,400 mL/500mL,DB00898
Liquid,Extracorporeal,42.3 mL/60mL,DB00898
Liquid,Extracorporeal,45 mL/60mL,DB00898
Liquid,Extracorporeal,47.6 mL/68mL,DB00898
Liquid,Extracorporeal,48 mL/60mL,DB00898
Liquid,Extracorporeal,70 mL/100mL,DB00898
Liquid,Extracorporeal,700 mL/1000mL,DB00898
Liquid,Extracorporeal,750 mL/1000mL,DB00898
Liquid,Extracorporeal,80 mL/100mL,DB00898
Liquid,Extracorporeal,88.5 mL/118mL,DB00898
Liquid,Extracorporeal,90 mL/120mL,DB00898
Liquid,Extracorporeal,96 mL/120mL,DB00898
Liquid,Topical,.70 mL/1mL,DB00898
Liquid,Topical,0.08 L/1L,DB00898
Liquid,Topical,0.5 mL/100mL,DB00898
Liquid,Topical,0.58 mL/1mL,DB00898
Liquid,Topical,0.8 mL/1mL,DB00898
Liquid,Topical,0.8 L/1L,DB00898
Liquid,Topical,0.879 mg/1mL,DB00898
Liquid,Topical,1.75 mL/2.5mL,DB00898
Liquid,Topical,100 mL/62mL,DB00898
Liquid,Topical,140 L/200L,DB00898
Liquid,Topical,1465.1 mL/1750mL,DB00898
Liquid,Topical,15141.64 mL/18927.05mL,DB00898
Liquid,Topical,152 L/189L,DB00898
Liquid,Topical,154 L/220L,DB00898
Liquid,Topical,1577 mL/1892mL,DB00898
Liquid,Topical,160 L/200L,DB00898
Liquid,Topical,165.2 mL/236mL,DB00898
Liquid,Topical,166.56 L/208.2L,DB00898
Liquid,Topical,166558.04 mL/208197.55mL,DB00898
Liquid,Topical,175 mL/250mL,DB00898
Liquid,Topical,176 L/220L,DB00898
Liquid,Topical,2.646 L/3.78L,DB00898
Liquid,Topical,2.65 L/3.78L,DB00898
Liquid,Topical,200 mL/250mL,DB00898
Liquid,Topical,25.6 mL/32mL,DB00898
Liquid,Topical,3.364 L/3.785L,DB00898
Liquid,Topical,3.5 mL/5mL,DB00898
