synonym,language,coder,drugbank-id
(+)-tubocurarine,english,,DB01199
"7',12'-dihydroxy-6,6'-dimethoxy-2,2',2'-trimethyltubocuraranium",english,,DB01199
d-tubocurarine,english,,DB01199
Tubocurarin,english,,DB01199
Tubocurarine,english,,DB01199
Tubocurarinum,latin,,DB01199
2-Bromo-alpha-ergocryptine,english,,DB01200
2-Bromo-alpha-ergokryptin,english,,DB01200
2-Bromo-alpha-ergokryptine,english,,DB01200
2-bromo-α-ergocryptine,english,,DB01200
2-bromo-α-ergokryptin,english,,DB01200
2-bromo-α-ergokryptine,english,,DB01200
Bromocriptina,spanish,inn,DB01200
Bromocriptine,english,inn/ban/usan,DB01200
Bromocriptinum,latin,inn,DB01200
Bromocryptine,english,,DB01200
Bromoergocriptine,english,,DB01200
Bromoergocryptine,english,,DB01200
3-(((4-Cyclopentyl-1-piperazinyl)imino)methyl)rifamycin,english,,DB01201
Cyclopentylrifampicin,english,,DB01201
Rifapentin,english,,DB01201
Rifapentine,english,inn/usan,DB01201
Levetiracetam,english,inn/usan,DB01202
Levetiracetame,english,,DB01202
Levetiracetamum,latin,inn,DB01202
Nadolol,english,inn/usan,DB01203
"1,4-Bis(2-(2-hydroxyethylamino)ethyl)amino)-5,8-dihydroxyanthraquinone",english,,DB01204
Mitoxantrona,spanish,,DB01204
Mitoxantrone,english,inn,DB01204
Mitoxantronum,latin,,DB01204
Flumazenil,english,inn/usan,DB01205
Flumazenilo,spanish,inn,DB01205
Flumazenilum,latin,inn,DB01205
Flumazepil,english,,DB01205
1-(2-Chloroethyl)-3-cyclohexyl-1-nitrosourea,english,iupac,DB01206
1-(2-chloroethyl)-3-cyclohexylnitrosourea,english,,DB01206
Chloroethylcyclohexylnitrosourea,english,,DB01206
CINU,english,,DB01206
Cyclohexyl chloroethyl nitrosourea,english,,DB01206
Lomustina,spanish,inn,DB01206
Lomustine,english/french,inn/usan,DB01206
Lomustinum,latin,inn,DB01206
N-(2-chloroethyl)-N'-cyclohexyl-N-nitrosourea,english,,DB01206
Ridogrelum,latin,inn,DB01207
"cis-5-Amino-1-cyclopropyl-7-(3,5-dimethyl-1-piperazinyl)-6,8-difluoro-1,4-dihydro-4-oxo-3-quinolinecarboxylic acid",english,,DB01208
"(−)-13β-amino-5,6,7,8,9,10,11α,12-octahydro-5α-methyl-5,11-methanobenzocyclodecen-3-ol",english,,DB01209
Dezocina,spanish,inn,DB01209
Dezocine,english,inn,DB01209
Dezocinum,latin,inn,DB01209
(-)-Bunolol,english,,DB01210
"(S)-5-(3-((1,1-dimethylethyl)amino)-2-hydroxypropoxy)-3,4-dihydro-1(2H)-naphthalenone",english,,DB01210
Levobunolol,english,inn,DB01210
Levobunololum,latin,inn,DB01210
6-O-methyl erythromycin,english,,DB01211
6-O-methylerythromycin,english,,DB01211
6-O-methylerythromycin A,english,,DB01211
CLA,english,,DB01211
Clarithromycin,english,inn/usan,DB01211
Clarithromycina,spanish,inn,DB01211
Clarithromycine,french,inn,DB01211
Clarithromycinum,latin,inn,DB01211
Claritromicina,spanish,,DB01211
Ceftriaxona,spanish,inn,DB01212
Ceftriaxone,english,inn,DB01212
Ceftriaxonum,latin,inn,DB01212
Rocephin,english,,DB01212
4-methylpyrazol,english,,DB01213
4-methylpyrazole,english,,DB01213
Fomepizol,spanish,inn,DB01213
Fomepizole,english,inn/usan,DB01213
Fomepizolum,latin,inn,DB01213
(±)-metipranolol,english,,DB01214
"Acetic acid 4-(2-hydroxy-3-isopropylamino-propoxy)-2,3,6-trimethyl-phenyl ester",english,,DB01214
Metipranolol,english,inn/usan,DB01214
Metipranololum,latin,inn,DB01214
"8-chloro-6-phenyl-4H-s-triazolo(4,3-a)(1,4)benzodiazepine",english,,DB01215
Estazolam,english,inn/usan,DB01215
Estazolamum,latin,inn,DB01215
"(5alpha,17beta)-(1,1-Dimethylethyl)-3-oxo-4-azaandrost-1-ene-17-carboxamide",english,,DB01216
Finasterida,spanish,inn,DB01216
Finasteride,english,inn/usan,DB01216
Finasteridum,latin,inn,DB01216
Anastrozol,english,,DB01217
Anastrozole,english,inn/usan,DB01217
"α,α,α',α'-Tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-m-benzenediacetonitrile",english,,DB01217
Halofantrina,spanish,inn,DB01218
Halofantrine,english,usan,DB01218
Halofantrinum,latin,inn,DB01218
1-((5-(p-nitrophenyl)furfurylidene)amino)hydantoin,english,,DB01219
Dantrolene,english,inn/ban/usan,DB01219
Dantroleno,spanish,inn,DB01219
Dantrolenum,latin,inn,DB01219
Rifamycin L 105,english,,DB01220
Rifamycin L 105SV,english,,DB01220
Rifaxidin,english,,DB01220
Rifaximin,english,inn/usan,DB01220
Rifaximina,spanish,inn,DB01220
Rifaximine,french,inn,DB01220
Rifaximinun,latin,inn,DB01220
(+-)-Ketamine,english,,DB01221
(±)-ketamine,english,,DB01221
2-(2-Chloro-phenyl)-2-methylamino-cyclohexanone,english,,DB01221
2-(methylamino)-2-(2-chlorophenyl)cyclohexanone,english,,DB01221
2-(o-chlorophenyl)-2-(methylamino)-cyclohexanone,english,,DB01221
DL-ketamine,english,,DB01221
Ketamina,spanish,inn,DB01221
Ketamine,english,inn,DB01221
Kétamine,french,inn,DB01221
Ketaminum,latin,inn,DB01221
NMDA,english,,DB01221
Special K,english,,DB01221
"(11β,16α)-16,17-(Butylidenebis(oxy))-11,21-dihydroxypregna-1,4-diene-3,20-dione",english,,DB01222
Budesónida,spanish,,DB01222
Budesonide,english,inn/usan,DB01222
Aminofilina,spanish,inn,DB01223
Aminophyllin,english,,DB01223
Aminophylline,english,inn,DB01223
Aminophyllinum,latin,inn,DB01223
Theophyline ethylenediamine,english,,DB01223
Theophylline ethylenediamine,english,,DB01223
"2-[2-(4-Dibenzo[b,f][1,4]thiazepin-11-yl-1-piperazinyl)ethoxy]ethanol",english,,DB01224
Quetiapina,spanish,inn,DB01224
Quetiapine,english,inn,DB01224
Quétiapine,french,inn,DB01224
Quetiapinum,latin,inn,DB01224
Mivacurium,english,,DB01226
(-)-alpha-Acetylmethadol,english,,DB01227
"(1S,4S)-4-(dimethylamino)-1-ethyl-2,2-diphenylpentyl acetate",english,,DB01227
1-alpha-Acetylmethadol,english,,DB01227
LAAM,english,,DB01227
Levacetilmetadol,spanish,inn,DB01227
Levacetylmethadol,english,inn,DB01227
Levacetylmethadolum,latin,inn,DB01227
Levo-alpha-acetylmethadol,english,,DB01227
Levo-methadyl acetate,english,,DB01227
Levo-α-acetylmethadol,english,,DB01227
Levomethadyl,english,,DB01227
Levomethadyl acetate,english,usan,DB01227
(±)-2'-[2-(1-methyl-2-piperidyl)ethyl]-p-anisanilide,english,,DB01228
(±)-4-methoxy-N-(2-(2-(1-methyl-2-piperidinyl)ethyl)phenyl)benzamide,english,,DB01228
4-methoxy-2'-[2-(1-methyl-2-piperidyl)ethyl]benzanilide,english,,DB01228
4-Methoxy-N-{2-[2-(1-methyl-piperidin-2-yl)-ethyl]-phenyl}-benzamide,english,,DB01228
Encainida,spanish,inn,DB01228
Encainide,english/french,inn,DB01228
Encainidum,latin,inn,DB01228
"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine",english,,DB01229
Paclitaxel,english,inn/usan,DB01229
Taxol A,english,,DB01229
pemolina,spanish,inn,DB01230
Pemoline,english,inn,DB01230
"alpha,alpha-Diphenyl-1-piperidinebutanol",english,,DB01231
Difenidol,english/spanish,inn,DB01231
Difénidol,french,inn,DB01231
Difenidolo,english,dcit,DB01231
Difenidolum,latin,inn,DB01231
Diphenidol,english,usan,DB01231
Diphenyl(3-(1-piperidyl)propyl)carbinol,english,,DB01231
Saquinavir,english,inn/ban/usan/usp,DB01232
"2-methoxy-4-amino-5-chloro-N,N-(dimethylaminoethyl)benzamide",english,,DB01233
2-methoxy-5-chloroprocainamide,english,,DB01233
4-amino-5-chloro-2-methoxy-N-(β-diethylaminoethyl)benzamide,english,,DB01233
4-amino-5-chloro-N-(2-(diethylamino)ethyl)-o-anisamide,english,,DB01233
Metoclopramida,spanish,inn,DB01233
Metoclopramide,english,inn/ban/jan,DB01233
Metoclopramidum,latin,inn,DB01233
1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone,english,,DB01234
1-Dehydro-16α-methyl-9α-fluorohydrocortisone,english,,DB01234
16alpha-Methyl-9alpha-fluoro-1-dehydrocortisol,english,,DB01234
16α-Methyl-9α-fluoro-1-dehydrocortisol,english,,DB01234
9alpha-Fluoro-16alpha-methylprednisolone,english,,DB01234
9α-Fluoro-16α-methylprednisolone,english,,DB01234
Dexametasona,spanish,inn,DB01234
Dexaméthasone,french,inn,DB01234
Dexamethasone,english,inn,DB01234
Dexamethasonum,latin,inn,DB01234
"(−)-3-(3,4-dihydroxyphenyl)-L-alanine",english,,DB01235
(−)-dopa,english,,DB01235
3-Hydroxy-L-tyrosine,english,,DB01235
"3,4-Dihydroxy-L-phenylalanine",english,,DB01235
Dihydroxy-L-phenylalanine,english,,DB01235
"L-3,4-dihydroxyphenylalanine",english,,DB01235
"L-beta-(3,4-Dihydroxyphenyl)alanine",english,,DB01235
L-DOPA,english,,DB01235
Levodopa,english,inn/usan,DB01235
Levodopum,latin,inn,DB01235
"β-(3,4-dihydroxyphenyl)-L-alanine",english,,DB01235
"β-(3,4-dihydroxyphenyl)alanine",english,,DB01235
"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",english,iupac,DB01236
Sevofluran,english,,DB01236
Sevoflurane,english,inn/usan,DB01236
Sevoflurano,spanish,inn,DB01236
Sevofluranum,latin,inn,DB01236
"2-(p-bromo-α-phenylbenzyloxy)-N,N-dimethylethylamine",english,,DB01237
Bromazina,spanish,inn,DB01237
Bromazine,english,inn,DB01237
Bromazinum,latin,inn,DB01237
β-(p-bromobenzhydryloxy)ethyldimethylamine,english,,DB01237
β-dimethylaminoethyl p-bromobenzhydryl ether,english,,DB01237
Aripiprazol,spanish,inn,DB01238
Aripiprazole,english/french,inn/usan,DB01238
Aripiprazolum,latin,inn,DB01238
Alpha-Chlorprothixene,english,,DB01239
Chlorprothixen,english,,DB01239
Chlorprothixene,english,inn/ban/jan/usan/usp,DB01239
Chlorprothixine,english,,DB01239
Chlorprotixen,english,,DB01239
Chlorprotixene,english,,DB01239
Chlorprotixine,english,,DB01239
Chlothixen,english,,DB01239
"(5Z,13E)-(15S)-6,9alpha-Epoxy-11alpha,15-dihydroxyprosta-5,13-dienoate",english,,DB01240
"(5Z,9α,11α,13E,15S)-6,9-epoxy-11,15-dihydroxyprosta-5,13-dien-1-oic acid",english,,DB01240
Epoprostenol,english,inn/usan,DB01240
PGI2,english,,DB01240
PGX,english,,DB01240
Prostacyclin,english,,DB01240
Prostaglandin I2,english,,DB01240
Prostaglandin X,english,,DB01240
Vasocyclin,english,,DB01240
"2,2-Dimethyl-5-(2,5-dimethylphenoxy)valeriansäure",german,,DB01241
"2,2-Dimethyl-5-(2,5-xylyloxy)valeriansäure",german,,DB01241
"2,2-Dimethyl-5-(2,5-xylyloxy)valeric acid",english,,DB01241
Gemfibrozil,english,inn/usan,DB01241
Gemfibrozilo,spanish,inn,DB01241
Gemfibrozilum,latin,inn,DB01241
"3-(3-chloro-10,11-dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethyl-1-propanamine",english,,DB01242
"3-(3-chloro-5H-dibenzo[b,F]azepin-5-yl)-N,N-dimethylpropan-1-amine",english,,DB01242
3-Chloroimipramine,english,,DB01242
Chlorimipramine,english,,DB01242
Clomipramina,spanish,inn,DB01242
Clomipramine,english,inn,DB01242
Clomipraminum,latin,inn,DB01242
Monochlorimipramine,english,,DB01242
"5,7-dichlor-8-hydroxychinolin",german,,DB01243
"5,7-dichloro-8-hydroxyquinoline",english,,DB01243
"5,7-dichloro-8-oxyquinoline",english,,DB01243
"5,7-dichloro-8-quinolinol",english,,DB01243
"5,7-dichlorooxine",english,,DB01243
"5,7-dichloroxine",english,,DB01243
Chlorquinol,english,,DB01243
CHQ,english,,DB01243
Bepadin,english,,DB01244
Bepridil,english,inn/ban,DB01244
Decamethonium,english,,DB01245
Decamethonium cation,english,,DB01245
Decamethonium ion,english,,DB01245
Decamethonum,english,,DB01245
Decamethylenebis(trimethylammonium),english,,DB01245
"N,N,N,N',N',N'-hexamethyl-1,10-decanediaminium",english,,DB01245
Alimemazina,spanish,inn,DB01246
Alimemazine,english,inn,DB01246
Alimemazinum,latin,inn,DB01246
Methylpromazine,english,,DB01246
Trimeprazine,english,ban/usan,DB01246
Isocarboxazid,english,inn,DB01247
Isocarboxazida,spanish,inn,DB01247
Isocarboxazide,french,inn,DB01247
Isocarboxazidum,latin,inn,DB01247
Docetaxel,english,inn,DB01248
Docetaxel anhydrous,english,,DB01248
N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel,english,,DB01248
N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol,english,,DB01248
TXL,english,,DB01248
"5,5'-((2-hydroxytrimethylene)bis(acetylimino))bis(N,N'-bis(2,3-dihydroxypropyl)-2,4,6-triiodoisophthalamide)",english,,DB01249
Indixanol,english,,DB01249
Iodixanol,english,inn/ban/usan/usp,DB01249
Iodixanolum,latin,inn,DB01249
Olsalazine,english,inn,DB01250
Gliquidona,spanish,inn,DB01251
Gliquidone,english,inn/ban,DB01251
Gliquidonum,latin,inn,DB01251
"(6aR,9R)-7-Methyl-4,6,6a,7,8,9-hexahydro-indolo[4,3-fg]quinoline-9-carboxylic acid ((S)-2-hydroxy-1-methyl-ethyl)-amide",english,,DB01253
"[8β(S)]-9,10-didehydro-N-(2-hydroxy-1-methylethyl)-6-methylergoline-8-carboxamide",english,,DB01253
"9,10-didehydro-N-(2-hydroxy-1-methylethyl)-6-methylergoline-8β(S)-carboxamide",english,,DB01253
"9,10-didehydro-N-(α-(hydroxymethyl)ethyl)-6-methylergoline-8-β-carboxamide",english,,DB01253
D-lysergic acid 1-hydroxymethylethylamide,english,,DB01253
D-lysergic acid-L-propanolamide,english,,DB01253
Ergobasine,english,,DB01253
Ergometrina,spanish,inn,DB01253
Ergometrine,english,inn,DB01253
Ergométrine,french,inn,DB01253
Ergometrinum,latin,inn,DB01253
Ergonovine,english,usan,DB01253
Ergotocine,english,,DB01253
Margonovine,english,,DB01253
N-(2-Hydroxy-1-methylethyl)-D-(+)-lysergamide,english,,DB01253
N-(α-(hydroxymethyl)ethyl)-D-lysergamide,english,,DB01253
anh. dasatinib,english,,DB01254
Anhydrous dasatinib,english,,DB01254
BMS dasatinib,english,,DB01254
Dasatinib,english/spanish/french,inn,DB01254
Dasatinib (anh.),english,,DB01254
dasatinib (anhydrous),english,,DB01254
Dasatinib anhydrous,english,,DB01254
Dasatinibum,latin,inn,DB01254
"N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide",english,,DB01254
Lisdexamfetamine,english,inn,DB01255
Retapamulin,english,inn/ban/usan,DB01256
Retapamulina,spanish,,DB01256
Eculizumab,english,inn/usan,DB01257
Lapatinib,english,inn,DB01259
N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl)-4-quinazolinamine,english,,DB01259
"11β,21-dihydroxy-16α,17-[(1-methylethylidene)bis(oxy)]pregna-1,4-diene-3,20-dione",english,,DB01260
"11β,21-dihydroxy-16α,17-isopropylidenedioxypregna-1,4-diene-3,20-dione",english,,DB01260
"11β,21-dihydroxy-16α,17α-isopropylidenedioxypregna-1,4-diene-3,20-dione",english,,DB01260
"16α-hydroxyprednisole-16,17-acetonide",english,,DB01260
"16α-hydroxyprednisolone-16α,17-acetonide",english,,DB01260
"16α,17α-isopropylidenedioxyprednisolone",english,,DB01260
Desfluorotriamcinolone acetonide,english,,DB01260
Desonida,spanish,inn,DB01260
Desonide,english,inn/usan,DB01260
Desonidum,latin,inn,DB01260
Sitagliptin,english,inn,DB01261
Sitagliptina,spanish,inn,DB01261
Sitagliptine,french,inn,DB01261
Sitagliptinum,latin,inn,DB01261
4-amino-1-(2-deoxy-β-D-erythro-pentofuranosyl)-s-triazin-2(1H)-one,english,,DB01262
5-aza-2'-deoxycytidine,english,,DB01262
5-azadeoxycytidine,english,,DB01262
DAC,english,,DB01262
Decitabina,spanish,,DB01262
Decitabine,english,inn/usan,DB01262
Posaconazole,english,inn/usan,DB01263
"(3R,3aS,6aR)-hexahydrofuro[2,3-b]furan-3-yl N-((1S,2R)-1-benzyl-2-hydroxy-3-(N1-isobutylsulfanilamido)propyl)carbamate",english,,DB01264
"(3R,3aS,6aR)-tetrahydro-2H-furo[2,3-b]furan-3-yl (2S,3R)-4-(4-amino-N-isobutylphenylsulfonamido)-3-hydroxy-1-phenylbutan-2-ylcarbamate",english,,DB01264
"(3R,3aS,6aR)-tetrahydro-2H-furo[2,3-b]furan-3-yl (2S,3R)-4-(4-amino-N-neopentylphenylsulfonamido)-3-hydroxy-1-phenylbutan-2-ylcarbamate",english,,DB01264
"[(S)-3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-2-hydroxy-1-((R)-phenylmethyl)-propyl]-carbamic acid (3R,3aS,6aR)-(hexahydro-furo[2,3-b]furan-3-yl) ester",english,,DB01264
"{(1S,2R)-3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-1-benzyl-2-hydroxy-propyl}-carbamic acid (3R,3aS,6aR)-(hexahydro-furo[2,3-b]furan-3-yl) ester",english,,DB01264
Darunavir,english,inn/ban/usan,DB01264
Darunavirum,latin,inn,DB01264
"N-((1S,2R)-3-(((4-aminophenyl)sulfonyl)(2-methylpropyl)amino)-2-hydroxy-1-benzylpropyl)((1S,2R,5R)-4,6-dioxabicyclo(3.3.0)oct-2-yloxy)carboxamide",english,,DB01264
1-(2-deoxy-β-L-ribofuranosyl)-5-methyluracil,english,,DB01265
2'-Deoxy-L-thymidine,english,,DB01265
Beta-l-thymidine,english,,DB01265
Epavudine,english,,DB01265
L-deoxythymidine,english,,DB01265
L-DT,english,,DB01265
L-thymidine,english,,DB01265
LDT,english,,DB01265
Telbivudin,english,,DB01265
Telbivudina,spanish,,DB01265
Telbivudine,english,inn/usan,DB01265
β-L-2'-deoxythymidine,english,,DB01265
Kunecatechins,english,,DB01266
Sinecatechins,english,usan,DB01266
9-hydroxyrisperidone,english,,DB01267
Paliperidona,spanish,,DB01267
Paliperidone,english,inn/usan,DB01267
Sunitinib,english/spanish,inn,DB01268
Sunitinibum,latin,inn,DB01268
ABX-EGF,english,,DB01269
rhuFab V2,english,,DB01270
Alpha-L-iduronate sulfate sulfatase,english,,DB01271
Iduronate 2-sulfatase,english,,DB01271
Idursulfasa,spanish,,DB01271
Acid maltase,english,,DB01272
Acid-alpha glucosidase,english,,DB01272
Aglucosidase alfa,english,,DB01272
Aglucosidase alpha,english,,DB01272
Alglucosidasa alfa,spanish,,DB01272
"alpha-1,4-glucosidase",english,,DB01272
Alpha-glucosidase,english,,DB01272
Lysosomal Alpha-Glucosidase,english,,DB01272
Vareniclina,spanish,inn,DB01273
Varenicline,english,inn/ban,DB01273
Vareniclinum,latin,,DB01273
(-)-formoterol,english,,DB01274
"(R,R)-formoterol",english,,DB01274
Arformoterol,english,inn,DB01274
(1Z)-1(2H)-Phthalazinone hydrazone,english,,DB01275
(2H)-Phthalazinone hydrazone,english,,DB01275
1-Hydrazinophthalazine,english,iupac,DB01275
1-Phthalazinylhydrazine,english,,DB01275
6-Hydralazine,english,,DB01275
Hidralazina,spanish,inn,DB01275
Hydralazin,english,,DB01275
Hydralazine,english,inn,DB01275
Hydralazinum,latin,inn,DB01275
Hydrallazine,english,,DB01275
Hydrazinophthalazine,english,,DB01275
Hydrazone 1(2H)-phthalazinone,english,,DB01275
Hypophthalin,english,,DB01275
Idralazina,english,,DB01275
Phthalazin-1-ylhydrazine,english,,DB01275
Exenatida,spanish,,DB01276
Exenatide,english,inn,DB01276
Exenatide synthetic,english,,DB01276
Exendin 4,english,,DB01276
Exendin-4,english,,DB01276
Synthetic exendin-4,english,,DB01276
Human somatomedin C,english,,DB01277
Mecasermin recombinant,english,,DB01277
Mecasermina,spanish,,DB01277
Mechano growth factor,english,,DB01277
Pramlintide,english,inn/usan,DB01278
Arylsulfatase B galsulfase,english,,DB01279
Galsulfasa,spanish,,DB01279
Galsulfase,english,inn/usan,DB01279
Galsulfase (genetical recombination),english,,DB01279
2-Amino-9-beta-D-arabinofuranosyl-6-methoxy-9H-purine,english,,DB01280
Nelarabina,spanish,,DB01280
Nelarabine,english,inn/usan,DB01280
Nelzarabine,english,,DB01280
Abatacept recombinant,english,,DB01281
1-butanoic acid-2-(O-methyl-L-tyrosine)-1-carbaoxytocin,english,,DB01282
1-butyric acid-2-(3-(p-methoxyphenyl)-L-alanine)oxytocin,english,,DB01282
Carbetocin,english,inn,DB01282
Carbetocina,spanish,,DB01282
Carbetocino,spanish,inn,DB01282
Carbetocinum,latin,inn,DB01282
deamino-2-O-methyltyrosine-1-carbaoxytocin,english,,DB01282
2-((2-chloro-6-fluorophenyl)amino)-5-methylbenzeneacetic acid,english,,DB01283
lumiracoxib,spanish,inn,DB01283
Lumiracoxibum,latin,inn,DB01283
adrenocorticotropic hormone 1-24,english,,DB01284
"Adrenocorticotropic hormone fragment 1-24 human, rat",english,,DB01284
alpha(1-24)-corticotrophin,english,,DB01284
ATCH (1-24),english,,DB01284
beta(1-24)-corticotrophin,english,,DB01284
Corticotropin tetracosapeptide,english,,DB01284
corticotropin-(1-24),english,,DB01284
corticotropin-(1-24) tetracosapeptide,english,,DB01284
Cosyntropin,english,usan,DB01284
Tetracosactida,spanish,,DB01284
Tetracosactide,english,inn,DB01284
Tetracosactrin,english,ban,DB01284
α1-24-corticotrophin,english,,DB01284
β1-24-corticotrophin,english,,DB01284
ACTH,english,,DB01285
Adrenocorticotrophin,english,,DB01285
Adrenocorticotropic hormone,english,,DB01285
Corticotrophin,english,,DB01285
Corticotropin,english,inn,DB01285
Cortigel,english,,DB01285
H.P. acthar gel,english,,DB01285
"1-(3,5-dihydroxyphenyl)-1-hydroxy-2-((4-hydroxyphenyl)isopropylamino)ethane",english,,DB01288
"1-(p-hydroxyphenyl)-2-((β-hydroxy-β-(3',5'-dihydroxyphenyl))ethyl)aminopropane",english,,DB01288
"3,5-dihydroxy-α-(((p-hydroxy-α-methylphenethyl)amino)methyl)benzyl alcohol",english,,DB01288
"5-{1-Hydroxy-2-[2-(4-hydroxy-phenyl)-1-methyl-ethylamino]-ethyl}-benzene-1,3-diol",english,,DB01288
Fenoterol,english,inn/usan,DB01288
Fenoterolum,latin,inn,DB01288
Phenoterol,english,,DB01288
(+/-)-pirbuterol,english,,DB01291
Pirbuterolum,latin,inn,DB01291
"2-Hydroxy-benzo[1,3,2]dioxabismin-4-one",english,,DB01294
Basic bismuth salicylate,english,,DB01294
Bismuth oxide salicylate,english,,DB01294
Bismuth oxysalicylate,english,,DB01294
Bismuth Subsalicylate,english,usan,DB01294
Pink bismuth,english,,DB01294
Wismutsubsalicylat,english,,DB01294
(±)-bevantolol,english,,DB01295
"1-((2-(3,4-dimethoxyphenyl)ethyl)amino)-3-(3-methylphenoxy)-2-propanol",english,,DB01295
"1-(3,4-dimethoxyphenethylamino)-3-(m-tolyloxy)-2-propanol",english,,DB01295
"1-(3,4-dimethoxyphenethylamino)-3-m-tolyloxy-propan-2-ol",english,,DB01295
"1-[2-(3,4-Dimethoxy-phenyl)-ethylamino]-3-m-tolyloxy-propan-2-ol",english,,DB01295
Bevantolol,english/spanish,inn/ban,DB01295
Bévantolol,french,inn,DB01295
Bevantololum,latin,inn,DB01295
2-amino-2-deoxy-D-glucose,english,,DB01296
Chitosamine,english,,DB01296
D-Glucosamine,english,,DB01296
Glucosamina,spanish,,DB01296
Glucosamine,english,inn/usan,DB01296
(±)-practolol,english,,DB01297
1-(4-acetamidophenoxy)-3-isopropylamino-2-propanol,spanish,,DB01297
4'-(2-hydroxy-3-(isopropylamino)propoxy)acetanilide,spanish,,DB01297
N-(4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)phenyl)acetamide,spanish,,DB01297
Practolol,english,inn,DB01297
Practololo,italian,dcit,DB01297
Practololum,latin,inn,DB01297
Praktololu,polish,,DB01297
1-ethyl N4-sulfanilylcytosin,english,,DB01298
1-ethyl-N-sulfanilylcytosine,english,,DB01298
Sulfacitina,spanish,inn,DB01298
Sulfacitine,english,inn,DB01298
Sulfacitinum,latin,inn,DB01298
"4-Sulfanilamido-5,6-dimethoxypyrimidine",english,,DB01299
Sulfadoxina,spanish,inn,DB01299
Sulfadoxine,english,inn,DB01299
Sulfadoxinum,latin,inn,DB01299
Sulforthomidine,english,,DB01299
Sulphadoxine,english,,DB01299
Sulphormethoxine,english,,DB01299
N-(1-Pyrrolidinylmethyl)-tetracycline,english,,DB01301
N-(Pyrrolidinomethyl)tetracycline,english,,DB01301
Pyrrolidino-methyl-tetracycline,english,,DB01301
Rolitetraciclina,spanish,inn,DB01301
Rolitetracycline,english,inn,DB01301
Rolitetracyclinum,latin,inn,DB01301
Choline theophyllinate,english,inn,DB01303
Choline theophylline,english,,DB01303
Cholini theophyllinas,latin,inn,DB01303
Oxtriphylline,english,usp,DB01303
Teofilinato de colina,spanish,inn,DB01303
Theocolin,english,,DB01303
Theophyllinate de choline,french,inn,DB01303
Aspart,english,,DB01306
Aspart Insulin,english,,DB01306
B28-Aspart-Insulin,english,,DB01306
Insulin aspart protamine,english,,DB01306
Insulin aspart protamine recombinant,english,,DB01306
Insulin aspart recombinant,english,,DB01306
Insulin X14,english,,DB01306
"Insulin, aspart protamine, human",english,,DB01306
"Insulin, aspart, human",english,,DB01306
"Insulin,aspart protamine",english,,DB01306
Insulina asparta,spanish,,DB01306
Detemir,english,,DB01307
Insulin detemir recombinant,english,,DB01307
"Insulin,detemir,human",english,,DB01307
Insulina detemir,spanish,,DB01307
Insulin Glulisine (recombinant DNA origin),english,,DB01309
Insulin glulisine recombinant,english,,DB01309
Insulina glulisina,spanish,,DB01309
FOS-APV,english,,DB01319
Fosamprenavir,english,inn,DB01319
(3-Phosphoryloxymethyl)phenytoin,english,,DB01320
Fosfenitoina,spanish,inn,DB01320
Fosphenytoin,english,inn,DB01320
Fosphenytoine,french,inn,DB01320
Fosphenytoinum,latin,inn,DB01320
JM,english,,DB01321
Josamicina,spanish,inn,DB01321
Josamycin,english,inn/ban/jan/usan,DB01321
Josamycine,french,inn,DB01321
Josamycinum,latin,inn,DB01321
Kitasamycin A3,english,,DB01321
Leucomycin A3,english,,DB01321
leucomycin V 3-acetate 4B-(3-methylbutanoate),english,,DB01321
leucomycin V 3-acetate 4β-(3-methylbutanoate),english,,DB01321
Turimycin A5,english,,DB01321
Common st johnswort flowering top,english,,DB01323
Common st. john's wort flowering top,english,,DB01323
Common st. john's wort herb,english,,DB01323
Common st. johnswort flowering top,english,,DB01323
Guanyejinsitao,english,,DB01323
Hyperici herba,english,,DB01323
Hypericum nachitschevanicum flowering top,english,,DB01323
Hypericum perforatum flowering top,english,,DB01323
Hypoxis hemerocallidea root extract,english,,DB01323
Klamath weed flowering top,english,,DB01323
Klamathweed flowering top,english,,DB01323
Saint johns wort,english,,DB01323
St john's wort,english,,DB01323
St Johns Wort,english,,DB01323
St. john’s wort,english,,DB01323
St. johns wort,english,,DB01323
St. johnswort flowering top,english,,DB01323
Polythiazide,english,inn/usan,DB01324
Chinetazone,italian,dcit,DB01325
Quinetazona,spanish,inn,DB01325
