brand,company,drugbank-id
Erkacin,Brown & Burk,DB00479
Farcyclin,Faran Laboratories,DB00479
Flexelite,Bros,DB00479
Kamin,Bosch,DB00479
Novamin,Bristol-Myers Squibb,DB00479
Selaxa,Proel,DB00479
Selemycin,Medochemie,DB00479
Sikacin,Shiteh Organic,DB00479
Tipkin,T P Drug,DB00479
Tybikin,M & H,DB00479
Ukaject,Unimed Pharm,DB00479
Unikin,Union,DB00479
Uzix,Rafarm,DB00479
Xylanal,Epsilon,DB00479
Ladevina,,DB00480
Lenangio,,DB00480
Keoxifene,,DB00481
Articox,Keyfarm,DB00482
Articoxib,Nabiqasim,DB00482
Artiflex,Standpharm,DB00482
Artilog,Pfizer,DB00482
Artix,Pharmalab,DB00482
Artrixib,Intipharma,DB00482
Blockten,Infarmasa,DB00482
Caditar,Farmindustria,DB00482
Cefinix,Farmacoop,DB00482
Celact,Sun,DB00482
Celebra,Pfizer,DB00482
Valdyne,Pfizer,DB00482
Flaxedil,Sanofi-Aventis,DB00483
Myraxan,Yoo Young,DB00483
Sincurarina,Carlo Erba,DB00483
Tricuran,,DB00483
Amcidil,MacroPhar,DB00485
Betaclox,Eskayef,DB00485
Cloxagen,Genamerica,DB00485
Dacocilin,CCPC,DB00485
Damacir,Damacir,DB00485
Dicillin,Sandoz,DB00485
Diclex,Meiji,DB00485
Diclocil,Bristol-Myers Squibb,DB00485
Dicloplus,Icofarma,DB00485
Dicloson,Unison,DB00485
Dicloxal,Magma,DB00485
Dicloxgen,General Drugs House,DB00485
Dicloxina,ECU,DB00485
Dyclobiot,Medifarma,DB00485
Dynapen,,DB00485
Posipen,GlaxoSmithKline,DB00485
Quimocyclar,Armofar,DB00485
Staklox,Actavis,DB00485
Terbocloxil,Terbol,DB00485
Ziefmycin,Yung Shin,DB00485
Nabilone,Meda,DB00486
Labocton,,DB00487
Hexastat,ProStrakan,DB00488
Biosotal,Sanofi-Aventis,DB00489
Cardol,Alphapharm,DB00489
Darob,Abbott,DB00489
Darob mite,Abbott,DB00489
Hipecor,Merck,DB00489
Loritmik,Krka,DB00489
Rytmobeta,Abbott,DB00489
Sotacor,Bristol-Myers Squibb,DB00489
Sotagard,GlaxoSmithKline,DB00489
Sotalex,Bristol-Myers Squibb,DB00489
Sotapor,Bristol-Myers Squibb,DB00489
Talozin,Adeka,DB00489
Tan Shi,Chia Tai Tianqing,DB00489
Xi An Lin,Changzhou Pharmaceutical Factory,DB00489
Ansial,Rontag,DB00490
Anxiron,Valeant,DB00490
Anxut,Eisai,DB00490
Bespar,,DB00490
Buscalm,Wockhardt,DB00490
Busp,Hexal,DB00490
Buspon,Deva,DB00490
Dalpas,Biotech,DB00490
Epsilat,Coup,DB00490
Pasrin,Aspen Pharmacare,DB00490
Spamilan,Anpharm,DB00490
Diaban,Chen Ho,DB00491
Diamig,Micro DTF,DB00491
Diaset,ACI,DB00491
Diastabol,Sanofi-Aventis,DB00491
Elitox,Ranbaxy,DB00491
Euglitol,Abbott,DB00491
Glycet,Pfizer,DB00491
Laiping,Xinchang Pharmaceutical,DB00491
Migbose,Standard,DB00491
Miglit,Biocon,DB00491
Mignar,Glenmark,DB00491
Migtor,Torrent,DB00491
Misobit,Lupin,DB00491
Plumarol,Lacer,DB00491
Seibule,Sanwa Kagaku,DB00491
Acecor,SPA (Czech Republic),DB00492
Staril,BMS (United Kingdom),DB00492
Rantaksym,Ranbaxy,DB00493
Raxim,Ranbaxy,DB00493
Spinocef,Abbott,DB00493
Sporim,Pharmacare,DB00493
Talcef,Ipca,DB00493
Anxopone,Root,DB00494
Comtade,Novartis,DB00494
Emselex,Novartis,DB00496
Xelena,Dr. Reddy's,DB00496
Oxanest,,DB00497
OxyIR,,DB00497
Dindevan,Sigma,DB00498
Fenindion,Souriree,DB00498
Phenindione,Goldshield,DB00498
Soluthrombine,Cooper,DB00498
Andraxan,CSC,DB00499
Antipros,Medicamerc,DB00499
Curestat,Advanced Pharmaceutical,DB00499
Cytomid,Cipla,DB00499
Dedile,Ivax,DB00499
Drogenil,Bayer,DB00499
Elbat,Genepharm,DB00499
Etaconil,Nolver,DB00499
Farostat,Orion,DB00499
Flimutal,Cryopharma,DB00499
Flucinom,Merck Sharp & Dohme,DB00499
Flulem,Teva,DB00499
Odyne,Nippon Kayaku,DB00499
Prostadirex,Sanofi-Aventis,DB00499
Prostanon,Pharmachemie,DB00499
Tolectin,Teva,DB00500
Tolectin DS,Teva,DB00500
Cimetag,Julphar,DB00501
Tagamet HB 200,GlaxoSmithKline,DB00501
Tagamet HB200,GlaxoSmithKline,DB00501
Ulcedine,,DB00501
Ulcerfen,Finadiet,DB00501
Ulcimet,Farmasa,DB00501
Aloperidin,Janssen-Cilag,DB00502
Bioperidolo,Firma,DB00502
Brotopon,Pfizer,DB00502
Dozic,Rosemont,DB00502
Duraperidol,,DB00502
Einalon S,,DB00502
Eukystol,Merckle,DB00502
Halosten,Shionogi Seiyaku,DB00502
Keselan,Sumitomo,DB00502
Linton,Tanabe Mitsubishi Pharma,DB00502
Peluces,lsei,DB00502
Serenace,Pfizer,DB00502
Sigaperidol,Siegfried,DB00502
Busvir,Conifarma,DB00503
Empetus,Emcure,DB00503
Normune,Grey Inversiones,DB00503
Lorfan,Takeda,DB00504
Pathilon,,DB00505
Propethonum,,DB00505
Alpex Nizox,Alpex Pharmaceutical,DB00507
ANNITA,Alpex Pharmaceutical,DB00507
Azoxanid,G&R,DB00507
Celectan,Farma,DB00507
Colufase,Roemmers,DB00507
Coluquim,Quilab,DB00507
Daxon,Siegfried,DB00507
Dianide,General Pharma,DB00507
Diar,ACI,DB00507
Famidox,Lafrancol,DB00507
Kaside,Lafrancol,DB00507
Kazide,Lafrancol,DB00507
Larvisol,Armofar,DB00507
Lumbris,Farmedic,DB00507
Mixel,California,DB00507
Niazid,Apex,DB00507
Nitax,Delta,DB00507
Nitaxide,Beximco,DB00507
Nitazet,Glenmark,DB00507
Nitazofin,Bussié,DB00507
Nodik,,DB00507
Omniparax,,DB00507
Vesprin,Bristol Myers Squibb,DB00508
Choloxin,"Knoll (Canada) (discontinued), Baxter (United Kingdom) (discontinued), Boots-Flint (United States) (discontinued)",DB00509
Dynothel,Henning (Germany) (discontinued),DB00509
Eulipos,Boehringer Mannheim (Germany) (discontinued),DB00509
Lisolipin,Bracco (Italy) (discontinued),DB00509
COVANC,Nucleus,DB00512
Vancoled,,DB00512
Acepramin,Pannonpharma,DB00513
Amocap,Celon,DB00513
Caproamin,Rottapharm,DB00513
Caprocat,Catalysis,DB00513
Caprolisin,Menarini,DB00513
E-Capro,Edruc,DB00513
Epsicaprom,,DB00513
Hemocid,GlaxoSmithKline,DB00513
Inselon,Ying Yuan,DB00513
Ipron,Johnson,DB00513
Ipsilon,Nikkho,DB00513
Kai Nai Yin,Wuxi,DB00513
Minocap,ACI,DB00513
Plaslloid,CCPC,DB00513
Resplamin,Shinlin Sinseng,DB00513
Benylin DM,McNeil,DB00514
Romilar,Bayer,DB00514
Triaminic,Novartis,DB00514
Vicks Formula 44,Procter & Gamble,DB00514
Abiplatin,,DB00515
Cisplatyl,,DB00515
Platidiam,,DB00515
Platin,Cadila Healthcare,DB00515
IvyBlock,Hyland's,DB00516
Endovalpin,,DB00517
Lytispasm,,DB00517
Valpin,Endo,DB00517
Abentel,Aristopharma,DB00518
ABZ,Indoco,DB00518
Acure,Pharmix,DB00518
Adazol,Roemmers,DB00518
AL,Radicura,DB00518
Band,Vensat,DB00518
Bandy,Mankind,DB00518
Bazole,Neutro Pharma,DB00518
Ben-A,Acme,DB00518
Benrod,Invision,DB00518
Bentil,Alliance,DB00518
Benzol,Mercury Lab,DB00518
Benzole,Flamingo Pharmacueticals,DB00518
Bevindazol,Vincenti,DB00518
Biwom,Zydus,DB00518
Bruzol,Bruluart,DB00518
Buxol,Buffington's,DB00518
Cental,Brisafarma,DB00518
Champs,CCM,DB00518
Ciclopar,Weider,DB00518
Cidazole,Juggat,DB00518
Clearworm,Invision,DB00518
Dalben,Krka,DB00518
Despar,Icofarma,DB00518
Eskazole,GlaxoSmithKline,DB00518
Valbazen,,DB00518
Zolben,Sanofi-Aventis,DB00518
Endak,Rottapharm/Madaus,DB00521
PFD,Sannova,DB00522
Diulo,,DB00524
Diurem,Cipla,DB00524
Metadure,Micro Labs,DB00524
Metenix,IFET,DB00524
Metolaz,Navana,DB00524
Metoral,Dr. Reddy's,DB00524
Metoz,Centaur,DB00524
Metozone,Ying Yuan,DB00524
Mykrox,Celltech,DB00524
Pavedal,Pharma Investi,DB00524
Xuret,,DB00524
Zytanix,Zydus,DB00524
Aftate,,DB00525
Dr. Scholl's athlete's foot spray,,DB00525
Genaspor,,DB00525
Lamisil AF,,DB00525
NP-27,,DB00525
Odor Eaters,,DB00525
Pitrex,,DB00525
Separin,,DB00525
Tinaderm,,DB00525
Cincain,,DB00527
Nupercaine,,DB00527
Sovcaine,,DB00527
Lercanil,,DB00528
Zanidip,,DB00528
Triapten,,DB00529
Endoxan,Actavis,DB00531
Neosar,,DB00531
Procytox,Baxter,DB00531
Revimmune,,DB00531
Sendoxan,Baxter,DB00531
Vioxx,,DB00533
Mercloran,Parke Davis,DB00534
Ormerdan,Parke Davis,DB00534
Cednir,Abbott,DB00535
Cefdiel,Ranbaxy,DB00535
Cefzon,Astellas,DB00535
Duocef,Ranbaxy,DB00535
Efdinir,Incepta,DB00535
Idinir,Invision,DB00535
Kefnir,Glenmark,DB00535
Nirocef,Sel-J,DB00535
Oceph,Zuventus,DB00535
Omicef,Sel-J,DB00535
Omnicef R,Janssen,DB00535
Palacef,Renata,DB00535
Palcef,Renata,DB00535
Rtist,Lupin,DB00535
Samnir,Siam Bheasach,DB00535
Xi Fu Ni,Central Pharm,DB00535
Zefdinir,Zydus,DB00535
Zinir,FDC,DB00535
Bacquinor,,DB00537
Baycip,,DB00537
Ciflox,,DB00537
Cifloxin,,DB00537
Ciprinol,,DB00537
Ciprobay,,DB00537
Ciprocinol,,DB00537
Ciprodar,,DB00537
Ciproxan,,DB00537
Ciproxin,,DB00537
Flociprin,,DB00537
Proquin,,DB00537
Acapodene,,DB00539
Allegron,,DB00540
Ateben,,DB00540
Avantyl,,DB00540
Noritren,,DB00540
Norpress,,DB00540
Nortrilen,,DB00540
Psychostyl,,DB00540
Sensaval,,DB00540
Sensoval,,DB00540
Alcavixin,Korea United Pharma,DB00541
Alcrist,Alkem,DB00541
Citomid,CSC,DB00541
Cytocristin,Cipla,DB00541
Oncocristin,Sun,DB00541
Oncovin,Lilly,DB00541
Oncrivin,Teva,DB00541
Sindovin,Actavis,DB00541
Tevacristin,Teva,DB00541
Vinces,Ivax,DB00541
Vincrisin,Teva,DB00541
Vincristin,Gedeon Richter,DB00541
Vincrisul,STADA,DB00541
Vinlon,Celon,DB00541
Vinracine,Meizler,DB00541
Briem,Pierre Fabre (France),DB00542
Cibacen,"Novartis (Belgium, Philippines, Switzerland, Turkey), Meda (Denmark, Germany, Greece, Ireland, Italy, Netherlands, Spain)",DB00542
Cibacen WS,,DB00542
Cibacene,Meda (France),DB00542
Adisen,Kun Wha,DB00543
Amolife,,DB00543
Amoxan,Wyeth KK,DB00543
Asendin,,DB00543
Asendis,,DB00543
Défanyl,Eisai,DB00543
Demolox,Wyeth,DB00543
Oxamine,Psyco Remedies,DB00543
Oxcap,,DB00543
Carzonal,Tobishi,DB00544
Efudix,Meda,DB00544
Efurix,Valeant,DB00544
Ftoruracil,Verofarm,DB00544
Amiasten,AC Farma,DB00545
Amygra,Tabros,DB00545
Antilon,Yuan Chou,DB00545
Astinon,Samarth,DB00545
Kalymin,Arzneimittelwerk Dresden,DB00545
Kalymin forte,Temmler,DB00545
Kalymin N,Temmler,DB00545
Kalymin retard,Temmler,DB00545
Meshanon60,Hasan,DB00545
Mestinon retard,Meda,DB00545
Myestin,VHB,DB00545
Pyrimine,Sriprasit Dispensary,DB00545
Deracyn,Upjohn,DB00546
Esperson,sanofi-aventis,DB00547
Flubason,sanofi-aventis,DB00547
Topicort LP,sanofi-aventis,DB00547
Topisolon,sanofi-aventis,DB00547
Acne-Derm,Unia,DB00548
Acnean,Newai Chem,DB00548
Acnederm,Ego,DB00548
Acnesafe,Z-Jans Pharma,DB00548
Aknoren,Herbacos Recordati,DB00548
Ami,Everest,DB00548
Arbonid,Intermed,DB00548
Finevin,Berlex,DB00548
Skinoren,Bayer,DB00548
Zumilin,Farmedia,DB00548
Antiroid,Bu Kwang,DB00550
Propil,Pfizer,DB00550
Propilracil,Biolab,DB00550
Propycil,Admeda,DB00550
Proracyl,Genopharm,DB00550
Prothiucil,Phafag,DB00550
Prothuril,Uni-Pharma,DB00550
PTU,Alkaloid,DB00550
Thiuragyl,Tanabe Mitsubishi Pharma,DB00550
Thyrosan,Sun-Farm,DB00550
Tiotil,Nevada Pharma,DB00550
Tirostat,Metlen,DB00550
Uracil,Pharmasant,DB00550
Deltasoralen,Delta,DB00553
Meladinine,CLS Pharma,DB00553
Meloxine,,DB00553
Ultra Mop,,DB00553
Bruxicam,,DB00554
Dolonex,,DB00554
Erazon,,DB00554
Geldène,,DB00554
Improntal,,DB00554
Roxam,Bosnalijek,DB00554
Roxiden,,DB00554
Sasulen,,DB00554
Solocalm,,DB00554
Trast,,DB00554
Convulsan,Actavis,DB00555
Crisomet,Juste,DB00555
Dafex,Phoenix,DB00555
Daksol,Pharmavita,DB00555
Danoptin,Pliva,DB00555
Dezepil,Rafarm,DB00555
Elmendos,GlaxoSmithKline,DB00555
Epilepax,Ivax,DB00555
Epimil,Ivax,DB00555
Epiral,Zentiva,DB00555
Epitec,Cipla Medpro,DB00555
Epitrigine,Actavis,DB00555
Labileno,GlaxoSmithKline,DB00555
Lambipol,GlaxoSmithKline,DB00555
Lamect,PharmaSwiss,DB00555
Lameptil,Sandoz,DB00555
Lameptil S,Sandoz,DB00555
Lametec,Vitalchem,DB00555
Lamez,Intas,DB00555
Lamictal CD,GlaxoSmithKline,DB00555
Lamictin,GlaxoSmithKline,DB00555
Lamotrix,Glenmark,DB00555
Larig,Rowex,DB00555
Medotrigin,Medochemie,DB00555
Mogine,Douglas,DB00555
Trimolep,Psicofarma,DB00555
Trogine,Ranbaxy,DB00555
Xebarin,Dr Reddys,DB00555
Optison,,DB00556
Hyzine,Hyrex,DB00557
Masmoran,Pfizer,DB00557
Rezine,,DB00557
Vistaject-50,,DB00557
Vistazine,,DB00557
Caropram,Khandelwal,DB00561
Dai Er Song,Bosen Bio Pharmaceutical,DB00561
Jia Su Lun,Nhwa,DB00561
Stimulex,,DB00561
Ze Lun,Jiuxu Pharmaceutical,DB00561
Aquatag,,DB00562
Dihydrex,,DB00562
Diucen,,DB00562
Edemax,,DB00562
Exna,,DB00562
Foven,,DB00562
Abitrexate,Teva,DB00563
Alltrex,Naprod,DB00563
Artrait,TRB,DB00563
Atrexel,Schering-Plough,DB00563
Bendatrexat,Bendalis,DB00563
Carditrex,Cadila,DB00563
Dermotrex,East West,DB00563
Ebetrex,Ebewe,DB00563
Emtexate,,DB00563
Ledertrexate,Biodim,DB00563
Maxtrex,Pfizer,DB00563
Meisusheng,Hospira,DB00563
Mexate,Cadila HC,DB00563
Rheumatrex,Wyeth KK,DB00563
Trexan,Atafarm,DB00563
Zexate,Dabur Pharma,DB00563
Actebral,Sanofi-Aventis,DB00564
Anleptic,Square,DB00564
Biston,Zentiva,DB00564
Carbamat,AstraZeneca,DB00564
Neurotop,Gerot,DB00564
TEGretol Chewtabs,,DB00564
TEGretol-CR,Novartis,DB00564
TEGretol-XR,Novartis,DB00564
Teril,Taro,DB00564
Timonil,Desitin,DB00564
Versitol,Micro Synapse,DB00564
Versizur,Micro Labs,DB00564
Nimbex Forte,GlaxoSmithKline,DB00565
Nimbium,GlaxoSmithKline,DB00565
Alcephin,Alembic,DB00567
Alexin,Dabur,DB00567
Alsporin,Renata,DB00567
Cefadin,Life,DB00567
Cefalin,BioFemme,DB00567
Ceforal,Teva,DB00567
Cefovit,Vitamed,DB00567
Celexin,Atlantic,DB00567
Cephin,General Drugs House,DB00567
Ceporexin,Investi,DB00567
Felexin,Remedica,DB00567
Ibilex,Alphapharm,DB00567
Keforal,Saiph,DB00567
L-Keflex,Shionogi Seiyaku,DB00567
Larixin,Taisho Yakuhin,DB00567
Lonflex,Union,DB00567
Madlexin,Meiji,DB00567
Nufex,General Pharma,DB00567
Oriphex,Maydsm Trading,DB00567
Ospexin,Sandoz,DB00567
Palitrex,Galenika,DB00567
Pyassan,Sanofi,DB00567
Sanaxin,Sandoz,DB00567
Sencephalin,Takeda Pharmaceutical,DB00567
Sepexin,Hetero,DB00567
Servispor,Sandoz,DB00567
Sialexin,Siam Bheasach,DB00567
Sporicef,Ranbaxy,DB00567
Sporidex,Ranbaxy,DB00567
Syncl,Asahi Kasei Pharma,DB00567
Tepaxin,Takeda,DB00567
Uphalexin,CCM,DB00567
Voxxim,Roddensers,DB00567
Winlex,Winston,DB00567
Cinazyn,Italchimici,DB00568
Cinnageron,Streuli Pharma,DB00568
Folcodal,Ivax,DB00568
Sepan,Janssen-Cilag,DB00568
Stugeron,Janssen,DB00568
Stugeron Forte,Janssen,DB00568
Toliman,Scharper,DB00568
Blastivin,Pharmachemie,DB00570
Cytoblastin,Cipla,DB00570
Lemblastine,,DB00570
Oncostin,Cipla,DB00570
Velban,ABL Antibióticos do Brasil,DB00570
Velbastin,Korea United Pharm,DB00570
Velbe,STADA,DB00570
Vinblasin,Teva,DB00570
Vinblastin,Gedeon Richter,DB00570
Vinko,Koçak,DB00570
Weibaoding,Hospira,DB00570
Xintoprost,Richmond,DB00570
Angilol,,DB00571
Bedranol SR,,DB00571
Cardinol,,DB00571
Ciplar,,DB00571
Deralin,,DB00571
Dociton,,DB00571
Duranol,,DB00571
Indobloc,,DB00571
INNOPRAN,,DB00571
Prophylux,,DB00571
Sumial,,DB00571
Anespin,Oriental Chemical Works,DB00572
Antol,Ying Yuan,DB00572
AtroPen,Meridian,DB00572
Atropt,Sigma,DB00572
Atrospan,Fischer,DB00572
Bellapan,Farmapol,DB00572
Dysurgal,MaxMedic,DB00572
Kintropine,Synpac-Kingdom,DB00572
Tromine,The Central,DB00572
Feilin,Hengshan Pharmaceutical,DB00573
Fenopron,Typharm,DB00573
Fepron,Sheng Chung Tang,DB00573
Kimpron,Daewoong,DB00573
Nalgésic,Sciencex,DB00573
Nonsic,Hasan,DB00573
Noprofen,Panion & BF,DB00573
Trandor,Biolab,DB00573
Adifax,,DB00574
Obedrex,,DB00574
Ponderax,,DB00574
Ponderax PA,,DB00574
Pondimin,,DB00574
Rotondin,,DB00574
Catapresan,Boehringer Ingelheim,DB00575
Catapressan,Boehringer Ingelheim,DB00575
Catarpres-TTS,,DB00575
Dixarit,Boehringer Ingelheim,DB00575
Isoglaucon,Agepha,DB00575
Run Rui,Bausch & Lomb,DB00575
Velaril,Roemmers,DB00575
Winpress,Winston,DB00575
Lucosil,Recip,DB00576
Rufol,Urgo,DB00576
Thiosulfil,,DB00576
Thiosulfil Forte,,DB00576
Bagovir,Bago,DB00577
Cycloval,GMP,DB00577
Mitanga,Aversi,DB00577
Ovalac,Beximco,DB00577
Pervioral,Royal Pharma,DB00577
Revira,Square,DB00577
Vacyless,Yung Shin,DB00577
Vadiral,Gynopharm,DB00577
Valdacir,Actavis,DB00577
Valotix,Rowex,DB00577
Valvir,Soho,DB00577
Valztrex,Northia,DB00577
Viramixal,Panalab,DB00577
Viropel,Pelpharma,DB00577
Vociflon,Pharmathen,DB00577
Zelitrex,GlaxoSmithKline,DB00577
Zelivire,Ranbaxy,DB00577
Carbenicillin,Polfa Tarchomin,DB00578
Pyopen,GlaxoSmithKline,DB00578
Dimagrir,Gador,DB00579
Fagolip Plus,Cetus,DB00579
Mazanor,Kwang Dong,DB00579
Teronac,Novartis,DB00579
Bifiteral,Abbott,DB00581
Cephulac,,DB00581
Cholac,Alra,DB00581
Chronulac,,DB00581
Constilac,Alra,DB00581
Laevolac,Roche,DB00581
Albicar,Casasco,DB00583
Aveptol,Leovan Pharmaceuticals,DB00583
Biocarn,Medice,DB00583
Bitobionil,S.J.A.,DB00583
Cardimax,Integrated,DB00583
Cardispan,Grossman,DB00583
Carniben,Bennett Pharmaceuticals,DB00583
Carnicor,Sigma Tau,DB00583
Lecarna,Bennett Pharmaceuticals,DB00583
Acetec,Alphapharm,DB00584
Acetensil,Grünenthal,DB00584
Alapren,Ranbaxy,DB00584
Amotac,Mass Pharma,DB00584
Amprace,Merck Sharp & Dohme,DB00584
Dilvas,Cipla,DB00584
Diotensil,Mintlab,DB00584
Drepatil,Fada,DB00584
Enace,Abbott,DB00584
EnaHexal,Sandoz,DB00584
Enal,East West,DB00584
Enalapoten,Del Bel,DB00584
Enpril,Wockhardt,DB00584
Feliberal,Silanes,DB00584
Gadopril,Gador (Argentina),DB00584
Glioten,Bago,DB00584
Kinfil,Nova Argentia (Argentina),DB00584
Vasotec IV,Sandoz (Canada),DB00584
Acinon,,DB00585
Tazac,Eli Lilly,DB00585
Aclonac,,DB00586
Allvoran,,DB00586
Ecofenac,,DB00586
Effekton,,DB00586
Nu-Diclo,,DB00586
Primofenac,,DB00586
Prophenatin,,DB00586
Rhumalgan,,DB00586
Voltarol,,DB00586
Ezicas,Intas,DB00588
Flixonase,GlaxoSmithKline,DB00588
Flixotide,GlaxoSmithKline,DB00588
FLOVENTHFA,,DB00588
Flunase,GlaxoSmithKline,DB00588
Nasofan,Teva,DB00588
Pirinase,GlaxoSmithKline,DB00588
Seretide,GlaxoSmithKline,DB00588
Arolac,Lisapharm,DB00589
Dipergon,Bayer,DB00589
Dopergin,Bayer,DB00589
Dopergine,Bayer Santé,DB00589
Proclacam,,DB00589
Revanil,,DB00589
Alfadil,Pfizer (Sweden),DB00590
Cardenalin,Pfizer (Japan; discontinued),DB00590
Cardular,Pfizer (Germany),DB00590
Cardura-1,Pfizer (Canada),DB00590
Cardura-2,Pfizer (Canada),DB00590
Cardura-4,Pfizer (Canada),DB00590
Carduran,"Pfizer (Brazil, Denmark, Norway, Spain)",DB00590
Diblocin,AstraZeneca (Germany),DB00590
Normothen,Bioindustria (Italy),DB00590
Supressin,Pfizer (Austria),DB00590
Biscosal,Onta Seiyaku,DB00591
Boniderma,Boniscontro,DB00591
Co-FIuosin,Sanchez-Covisa,DB00591
Coderma,Biotrading,DB00591
Cordes F,Ichthyol,DB00591
Coriphate,,DB00591
Cortalar,Bergamon,DB00591
Cortiderma,Gazzini,DB00591
Cortiespec,Centrum,DB00591
Cortiphate,Tokyo Tanabe,DB00591
Cortiplastol,,DB00591
Cortoderm,Lennon,DB00591
Derma-Smoothe/FS,,DB00591
Dermaisom,Isom,DB00591
Dermalar,Teva,DB00591
Dermaplus,Ripari-Gero,DB00591
Dermil,Cifa,DB00591
Dermobeta,Amelix,DB00591
Dermobiomar,Dermologia Marina,DB00591
Dermofil,N.C.S.N.,DB00591
Dermolin,Lafare,DB00591
Dermomagis,Magis,DB00591
Dermophyl,Rougier,DB00591
Dermotergol,Wolner,DB00591
Doricum,Farmila,DB00591
Esacinone,Lisapharma,DB00591
Esilon,S.I.T.,DB00591
Eskaton,Pharma Farm. Spec,DB00591
Fellin,Gruenenthal,DB00591
Flucinar,Jelfa and Polfa,DB00591
Flucort,Syntex-Tanabe,DB00591
Fluocet,Galderma Laboratories,DB00591
Fluocinil,Coli,DB00591
Fluocinone,Panther-Osfa,DB00591
Fluocit,C.T.,DB00591
Fluoderm,Unipharm,DB00591
Fluodermol,Medosan,DB00591
Fluogisol,Washington in Italy,DB00591
Fluolar,Riva,DB00591
Fluomix,Savoma,DB00591
Fluonid,Biolab and Herbert,DB00591
Fluonide Dermica,Janus,DB00591
Fluordima,Intersint,DB00591
Fluoskin,Dessy,DB00591
Fluotrex,Savage Labs,DB00591
Fluovean,Kowa,DB00591
Fluovitef,Italfarmaco,DB00591
Fluovitif,,DB00591
Flupollon,"Mayado Seiyaku, Kaigai and Ohta",DB00591
Fluzon,Taisho,DB00591
Futocan,Shinlon,DB00591
Gelargin,Leciva,DB00591
Gelidina,I.F.L.,DB00591
Iluvien,,DB00591
Intradermo,Pental,DB00591
Isnaderm,Isnardi,DB00591
Isoderma,Isola-Ibi,DB00591
Jellin,Grünenthal,DB00591
Locafluo,Recordati,DB00591
Localyn,Ricordati,DB00591
Mecloderm,ICI,DB00591
Monoderm,Pharbil,DB00591
Omniderm,Face,DB00591
Oxidermiol Fuerte,Mazuelos,DB00591
Percutina,Mitim,DB00591
Prodermin,Eufarma,DB00591
Radiocin,Radiopharma,DB00591
Roliderm,Neopharmed,DB00591
Sinalar,,DB00591
Sterolone,Francia,DB00591
Straderm,I.T.A.,DB00591
Synalar,,DB00591
Synamol,,DB00591
Synandone,I.C.I.,DB00591
Synandrone,,DB00591
Synemol,Syntex,DB00591
Synotic,Zoetis,DB00591
Synsac,"MP Biomedicals, LLC",DB00591
Tefunote,Taiyo,DB00591
Topifluor,Tiber,DB00591
Ultraderm,Ecobi,DB00591
Ungovac,I.C.N.,DB00591
Antepar,,DB00592
Uvilon,,DB00592
Vermidol,,DB00592
Vermizine,,DB00592
Emeside,Chemidex,DB00593
Ethymal,Apotex Europe,DB00593
Etoxin,Apsen,DB00593
Petimid,Osel,DB00593
Petinimid,Gerot,DB00593
Petnidan,Desitin,DB00593
Suxilep,Jenapharm,DB00593
Suxinutin,McNeil,DB00593
Zarondan,Pfizer,DB00593
Arumil,Sharp & Dohme,DB00594
Kaluril,Alphapharm,DB00594
Modamide,Merck,DB00594
Moduretic,Merck,DB00594
Adamycin,Teva,DB00595
Anglocycline,Anglopak,DB00595
Corsamycin,Corsa Industries,DB00595
Oxacin,Doctor's Chemical Works,DB00595
Oxypan,Adcock Ingram Pharmaceuticals,DB00595
Oxyterracyna,Chema,DB00595
Terrados,Pfizer,DB00595
Tetran,Wagner Pharmafax,DB00595
Tetrasona,Medifarma,DB00595
Halobetasol,Fougera,DB00596
Halovate,Glenmark,DB00596
Hobs,Aamorb,DB00596
Albetol,Leiras,DB00598
Latol,Standard,DB00598
Normadate,GlaxoSmithKline,DB00598
Normodyne,Schering,DB00598
Anestho,Incepta,DB00599
Bensulf,Fada ,DB00599
Bitol Sodium,Brookes,DB00599
Ekipental,Tüm Ekip,DB00599
Farmotal,Marvecs Pharma Services,DB00599
Intraval Sodium,Abbott,DB00599
Pental Sodyum,I.E. Ulagay,DB00599
Pentazol,Swiss Parenterals,DB00599
Penthal,Oboi,DB00599
Penthotal Sodium,Abbott,DB00599
Pentotan,Choong Wae,DB00599
Pentotex,Rotexmedica,DB00599
Pentothal,Hospira,DB00599
Ravonal,Ravonal,DB00599
Thiopen,ACI,DB00599
Tiopental,Richmond,DB00599
Trapanal,Nycomed,DB00599
Monobenzone,Vis,DB00600
Antizolid,Verisfield,DB00601
Linosept,Orion,DB00601
Linozid,Orion,DB00601
Lizbid,Abbott,DB00601
Lizemox,Molekule,DB00601
Lizolid,Glenmark,DB00601
Xolid,Corona,DB00601
Zenix,Hemofarm,DB00601
Zizolid,Biofarma,DB00601
Zodlin,FDC,DB00601
Zolinid,Teva,DB00601
Zyvoxid,Pfizer,DB00601
Ascapil,Abbott,DB00602
Detebencil,Roux-Ocefa,DB00602
Ermetin,Unipharm,DB00602
Gotax,Metlen,DB00602
Imectin,Pulse,DB00602
Ivectin,Aristopharma,DB00602
Ivera,Beximco,DB00602
Ivergot,Licol,DB00602
Ivermec,UCI,DB00602
Ivexterm,Valeant,DB00602
Ivori,Invision,DB00602
Kaonol,Mediderm,DB00602
Kilox,Bussié,DB00602
Maikeding,Hisun,DB00602
Quanox,Dermacare,DB00602
Revectina,Solvay,DB00602
Scabo,Delta,DB00602
Scavista,Zuventus,DB00602
