food_interaction,drugbank_id
"Avoid grapefruit products. Sufentanil is a CYP3A4 substrate; therefore, concomitant ingestion of CYP3A4 inhibitors like grapefruit products may increase serum levels of sufentanil and potentiate CNS depression.",DB00708
"Take with or without food. Food delays drug absorption, but not to a clinically significant extent.",DB00709
Take on an empty stomach.,DB00710
Take with a full glass of water. Do not take this medication with other liquids.,DB00710
Avoid alcohol.,DB00712
Take with food. Food reduces irritation.,DB00712
Avoid alcohol. Ingesting alcohol may potentiate hypotension caused by apomorphine.,DB00714
Avoid alcohol.,DB00715
Take with or without food. Food does not significantly affect absorption.,DB00715
"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",DB00717
Take with or without food. The absorption is unaffected by food.,DB00718
Avoid alcohol.,DB00719
Take with food. Food reduces irritation.,DB00719
Take on an empty stomach. Co-administration with food may decrease absorption.,DB00720
"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",DB00722
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00722
Limit salt intake. Salt may attenuate the antihypertensive effect.,DB00722
Take with or without food. The absorption is unaffected by food.,DB00722
Take with or without food.,DB00724
Avoid alcohol. Ingesting alcohol may increase the risk of adverse effects of trimipramine such as sedation and orthostatic hypotension.,DB00726
Avoid alcohol.,DB00727
Take with food. Take up to 30 minutes before meals.,DB00731
Take with or without food. Food does not affect the rate or extent of absorption.,DB00734
"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",DB00736
Avoid alcohol. Alcohol may cause additive CNS depressant effects.,DB00737
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00740
Avoid alcohol.,DB00741
Take with or without food. The absorption is unaffected by food.,DB00745
Avoid alcohol. Ingesting alcohol may increase drowsiness caused by carbinoxamine.,DB00748
Take on an empty stomach.,DB00748
Avoid alcohol.,DB00749
Take with food. Food reduces irritation.,DB00749
"Take separate from meals. This is only required when prilocaine is used in the mouth, as it may cause numbness, which can cause bite injury when eating.",DB00750
Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of tranylcypromine.,DB00752
Avoid St. John's Wort. Administering tranylcypromine with St. John's Wort may increase the risk of serotonin syndrome.,DB00752
"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans.",DB00752
Take after a meal. This may reduce gastrointestinal upset.,DB00754
Take with food. Tretinoin absorption may be increased by co-administration with food.,DB00755
Take with or without food. The absorption is unaffected by food.,DB00757
Take with or without food.,DB00758
Avoid milk and dairy products.,DB00759
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00759
Take with a full glass of water.,DB00759
Take with a full glass of water.,DB00761
Take with food. This reduces gastrointestinal irritation.,DB00761
Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of metyrosine.,DB00765
Take with food. Take at the beginning of a meal to reduce gastric irritation.,DB00766
Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of the combination product Chlordiazepoxide HCl and Clidinium Bromide.,DB00771
Take before a meal.,DB00771
Avoid grapefruit products.,DB00773
Increase consumption of potassium-rich foods. This medication may cause a loss of potassium.,DB00774
Avoid alcohol. Oxcarbazepine has CNS depressant properties that may be potentiated by co-administration with alcohol.,DB00776
Take with or without food. Co-administration with food does not significantly affect absorption.,DB00776
Drink plenty of fluids.,DB00779
Take with food. Food reduces irritation.,DB00779
Avoid alcohol.,DB00780
Avoid St. John's Wort. Administering phenelzine with St. John's Wort may increase the risk of serotonin syndrome.,DB00780
"Avoid tyramine-containing foods and supplements. Tyramine-containing foods and beverages can cause a sudden elevation in blood pressure or a hypertensive crisis. Foods that contain tyramine include aged cheese, ripe bananas, red wine, some alcoholic beverages (beer), cured food, pickled food, and fava beans.",DB00780
Limit caffeine intake. Excess caffeine intake can also cause a hypertensive crisis.,DB00780
Take before a meal. Take before a meal. Propantheline bromide should be taken 15 to 30 minutes before meals.,DB00782
Avoid alcohol.,DB00784
Take with food.,DB00784
Drink plenty of fluids. Dehydration with acyclovir predisposes patients to nephrotoxicity.,DB00787
Take with or without food. The absorption is unaffected by food.,DB00787
Take with food. Food reduces GI irritation.,DB00788
"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",DB00790
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00790
Limit salt intake. Salt may attenuate the antihypertensive effect.,DB00790
Take with or without food. The absorption is unaffected by food.,DB00790
Avoid alcohol.,DB00794
Avoid St. John's Wort.,DB00794
Drink plenty of fluids. Inadequate fluid intake is associated with crystalluria and stone formation.,DB00795
Take with food.,DB00795
Take at the same time every day.,DB00796
Take with or without food. The absorption is unaffected by food.,DB00796
Take on an empty stomach. Orally administered fenoldopam should be taken in a fasted state for optimal absorption.,DB00800
Avoid alcohol. Alcohol may increase drowsiness caused by dicyclomine.,DB00804
"Drink plenty of fluids. Dicyclomine may reduce sweating, increasing the risk of overheating in warm weather or during exercise.",DB00804
Limit caffeine intake.,DB00806
Take with food. Food reduces irritation.,DB00806
Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,DB00808
Increase consumption of potassium-rich foods. Indapamide my cause potassium depletion leading to hypokalemia.,DB00808
Take with or without food.,DB00808
Avoid alcohol.,DB00810
Take with food.,DB00810
Avoid alcohol. Ribavirin is used to treat chronic hepatitis C infection; ingesting alcohol may worsen this infection.,DB00811
Take with food. Taking ribavirin with a high-fat meal slows the absorption and increases the AUC and Cmax of ribavirin.,DB00811
Avoid alcohol.,DB00812
Take with food. Food reduces irritation.,DB00812
Avoid alcohol.,DB00813
Avoid alcohol. The risk of gastrointestinal bleeding may be increased.,DB00814
Take with or without food. The absorption is unaffected by food.,DB00814
"Take after a meal. When Sodium lauryl sulfate is formulated in paste form for oral health, it should be used after meals.",DB00815
Limit caffeine intake.,DB00816
Take with or without food. The absorption is unaffected by food.,DB00816
Drink plenty of fluids.,DB00819
Take with food. Take at least 6 hours before bedtime.,DB00819
Avoid excessive or chronic alcohol consumption. Ingesting excess amounts of alcohol (more than four drinks in a short time) may potentiate the hypotension and dizziness caused by tadalafil.,DB00820
"Avoid grapefruit products. Tadalafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of tadalafil and result in increased hypotension.",DB00820
Take with or without food.,DB00820
Avoid alcohol. Avoid alcohol for up to 14 days after discontinuation.,DB00822
Take with or without food. The absorption is unaffected by food.,DB00822
Take with or without food. The absorption is unaffected by food.,DB00828
Avoid alcohol.,DB00829
Take on an empty stomach. Food may decrease absorption and time to therapeutic effect.,DB00829
Avoid excessive or chronic alcohol consumption. Ingesting alcohol may potentiate the sedative and CNS depressant effects of trifluoperazine.,DB00831
Take with or without food.,DB00833
Avoid grapefruit products. Grapefruit inhibits the metabolism of mifepristone through the CYP3A4 pathway causing increased serum levels of mifepristone.,DB00834
Take with food. Taking mifepristone with meals has been shown to increase serum levels of mifepristone.,DB00834
Avoid alcohol.,DB00835
Take with food.,DB00835
Drink plenty of fluids.,DB00836
Take with or without food.,DB00836
Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of hypoglycemia.,DB00839
Take with food. Taking tolazamide with breakfast may help reduce the risk of hypoglycemia.,DB00839
Avoid alcohol. Co-administration with alcohol may potentiate the CNS effects of oxazepam.,DB00842
Avoid alcohol.,DB00843
Take with or without food. The absorption is unaffected by food.,DB00843
Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of nalbuphine.,DB00844
Take with food. Prescribing information for clofazimine recommends its administration with a meal.,DB00845
"Take on an empty stomach. Do not eat for 2 hours before and 30 minutes after taking delayed release cysteamine, as food (especially high fat food) can reduce cysteamine bioavailability. If unable to do so, limit the food intake to half a cup (4oz) of food separated from cysteamine by 1 hour before and after administration.",DB00847
Take on an empty stomach.,DB00848
Avoid alcohol. Consuming alcohol may increase hypotension. Perphenazine may increase the effects of alcohol.,DB00850
Take on an empty stomach. Fasting for four to six hours before treatment may be beneficial to reduce nausea and vomiting associated with Dacarbazine therapy.,DB00851
Take with or without food. The absorption is unaffected by food.,DB00852
Take at the same time every day.,DB00853
Take on an empty stomach. Food reduces the absorption of temozolomide and taking it on an empty stomach may reduce temozolomide associated nausea and vomiting.,DB00853
Avoid alcohol.,DB00854
Take with or without food. Food does not significantly affect absorption.,DB00854
Take with or without food.,DB00857
Drink plenty of fluids.,DB00859
Take on an empty stomach. Co-administration with food decreases bioavailability.,DB00859
Avoid alcohol.,DB00860
Take with food. Food reduces irritation.,DB00860
Avoid alcohol.,DB00861
Take with food. Food reduces irritation.,DB00861
"Avoid grapefruit products. Vardenafil is metabolized by CYP3A4, and grapefruit products are CYP3A4 inhibitors; therefore, coadministration may increase serum levels of vardenafil and result in increased hypotension. .",DB00862
Take with or without food.,DB00862
Take with or without food. The absorption is unaffected by food.,DB00863
Avoid alcohol. Consuming alcohol may increase the rate of tacrolimus release from extended-release formulations.,DB00864
Avoid grapefruit products.,DB00864
"Exercise caution with St. John's Wort. This herb induces the CYP3A4 metabolism of tacrolimus; therefore, monitoring tacrolimus whole blood trough concentrations may be warranted.",DB00864
Take at the same time every day.,DB00864
Take on an empty stomach. Take at least 1 hour before or 2 hours after a meal as coadministration with food decreases the rate and extent of absorption.,DB00864
"Take separate from antacids. Coadministration of tacrolimus with aluminum or magnesium hydroxide antacids may increase the serum levels of tacrolimus, which poses a risk for toxicity.",DB00864
Limit caffeine intake. Excess caffeine intake may increase the CNS stimulation caused by benzphetamine hydrochloride.,DB00865
Take with or without food. The absorption is unaffected by food.,DB00868
Take with a full glass of water.,DB00874
Take with or without food. The absorption is unaffected by food.,DB00874
Avoid alcohol.,DB00875
Take with food. Food reduces irritation.,DB00875
Take with or without food. The absorption is unaffected by food.,DB00876
Avoid grapefruit products. Grapefruit inhibits the CYP3A4 metabolism of sirolimus and increases its serum concentration.,DB00877
Exercise caution with St. John's Wort. This herb induces CYP3A4 and P-gp; thus it may reduce sirolimus serum concentrations.,DB00877
Take with or without food. Take consistently with regard to food.,DB00877
Take separate from meals. May affect the taste of food and beverages. Avoid eating or drinking for 30 minutes following use.,DB00878
Take with or without food. The absorption is unaffected by food.,DB00879
Avoid fatty foods.,DB00881
"Avoid hypertensive herbs (e.g. bayberry, blue cohosh, cayenne, ephedra, and licorice).",DB00881
Avoid potassium-containing products. Potassium products increase the risk of hyperkalemia.,DB00881
Limit salt intake. Salt may attenuate the antihypertensive effect.,DB00881
Take with or without food. The absorption is unaffected by food.,DB00882
Take with or without food. Food decreases drug absorption.,DB00883
Administer vitamin supplements. Patients may require supplemental vitamin D.,DB00884
"Avoid multivalent ions. Calcium, antacids, and divalent ions may interfere with the absorption of this medication.",DB00884
Take on an empty stomach.,DB00884
Take with a full glass of water.,DB00884
Take with food. Food reduces irritation.,DB00887
Take with or without food. The absorption is unaffected by food.,DB00889
"Avoid alcohol. Ingesting alcohol may increase the risk of complex behaviors like sleep-driving, which the patient does not remember.",DB00897
"Avoid grapefruit products. Grapefruit may reduce the CYP3A4 metabolism of triazolam, which increases the serum concentration of triazolam.",DB00897
Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of remifentanil.,DB00899
Avoid alcohol.,DB00900
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00900
Take with food. Food reduces irritation.,DB00903
Take with or without food. The absorption is unaffected by food.,DB00904
Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.,DB00906
Take with food.,DB00906
"Exercise caution with grapefruit products. Grapefruit may delay the absorption of quinidine, and inhibit its metabolism through CYP3A4.",DB00908
Exercise caution with St. John's Wort.,DB00908
Take separate from antacids. Antacids may reduce the absorption of quinidine.,DB00908
Take with or without food. Taking quinidine with food may slow its absorption.,DB00908
Avoid alcohol. Ingesting alcohol may increase drowsiness and dizziness.,DB00909
Take with or without food.,DB00909
Avoid antacids. Avoid taking aluminum-containing antacids chronically with paricalcitol as there is an increased risk of aluminum toxicity.,DB00910
"Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4, and paricalcitol metabolism is mediated partially through CYP3A4; therefore, grapefruit may increase paricalcitol serum levels.",DB00910
Take with or without food.,DB00910
"Avoid alcohol. Avoid concomitant use of alcohol with tinidazole as it may cause flushing, nausea, vomiting, and headaches.",DB00911
Take with food. Administering with food may reduce gastrointestinal upset and epigastric discomfort caused by tinidazole but does not affect bioavailability.,DB00911
Take before a meal. Repaglinide should be taken before each meal of the day.,DB00912
Take with or without food. The absorption is unaffected by food.,DB00913
Avoid alcohol.,DB00915
Take with or without food. The absorption is unaffected by food.,DB00915
"Avoid alcohol. Unpleasant symptoms such as nausea, vomiting, and abdominal distress may occur with alcohol.",DB00916
"Take with or without food. The extended release formulation should, however, be taken without food.",DB00916
Take with or without food. The absorption is unaffected by food.,DB00918
Take with or without food. The absorption is unaffected by food.,DB00920
Avoid alcohol. Ingesting alcohol may increase the sedative and CNS depressant effects of buprenorphine.,DB00921
"Avoid grapefruit products. Grapefruit inhibits the metabolism of buprenorphine through CYP3A4, which increases the serum levels buprenorphine.",DB00921
"Take separate from meals. When buprenorphine is formulated as a sublingual tablet or buccal film, avoid eating or drinking until the dosage form is completely dissolved.",DB00921
Avoid alcohol. Cyclobenzaprine is a central nervous system depressant which may be potentiated by the co-administration of alcohol.,DB00924
Avoid alcohol. Alcohol should be completely avoided for up to 2 months after discontinuation.,DB00926
Take with food. Food increases absorption.,DB00926
Avoid excessive or chronic alcohol consumption. Alcohol increases the risk of gastric irritation.,DB00927
Limit caffeine intake. Caffeine and other acidic beverages increases the risk of gastric irritation.,DB00927
"Take with or without food. Food slightly increases bioavailability, but not to a clinically significant extent.",DB00927
Take with food. Food decreases incidence of diarrhea.,DB00929
Drink plenty of fluids.,DB00930
Take with food.,DB00930
"Take with or without food. However, if taken with ritonavir tablets, tipranavir should be taken with food.",DB00932
Take with food. Food reduces irritation.,DB00933
Limit caffeine intake.,DB00934
Take with or without food.,DB00934
Take with or without food. The absorption is unaffected by food.,DB00937
Avoid excessive or chronic alcohol consumption. Ingesting alcohol may increase the risk of developing a gastrointestinal bleed.,DB00939
Take with or without food. Taking meclofenamic acid with food reduces the rate and extent of its absorption; however it also reduces gastrointestinal upset caused by meclofenamic acid.,DB00939
Avoid multivalent ions. Magnesium and aluminum containing products can reduce the absorption of this medication.,DB00943
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00943
Avoid alcohol. Alcohol increases the risk of gastrointestinal bleeding.,DB00945
Take after a meal. This reduces irritating gastrointestinal effects.,DB00945
Take with a full glass of water.,DB00945
Avoid herbs and supplements with anticoagulant/antiplatelet activity.,DB00946
Ensure consistent Vitamin K intake. Changes in vitamin K intake may impact coagulation.,DB00946
Exercise caution with grapefruit products.,DB00946
Exercise caution with St. John's Wort.,DB00946
Avoid alcohol.,DB00949
"Avoid fruit juice. Fruit juices like grapefruit, orange, and apple may reduce bioavailability and overall exposure to the medication.",DB00950
Take with or without food. Co-administration with food does not significantly affect absorption.,DB00950
Administer vitamin supplements. Vitamin B6 (pyridoxine) should be given with isoniazid to prevent deficiency.,DB00951
"Avoid alcohol. Avoid drinking alcoholic beverages such as unpasteurized beer; unless approved by your physician, as they may contain tyramine. Consuming alcohol may also increase the risk of isoniazid induced hepatitis and neuropathy.",DB00951
"Avoid chocolate. Chocolate contains caffeine, which should be limited during isoniazid therapy.",DB00951
"Avoid histamine-containing foods and supplements. Histamine-containing foods (e.g., skipjack, tuna, other tropical fish) can cause headaches, sweating, palpitations, flushing, and hypotension.",DB00951
"Avoid tyramine-containing foods and supplements. Tyramine-containing foods include cheese, red wine, flava beans, pickeled food, cured food, and alcoholic beverages.",DB00951
Limit caffeine intake.,DB00951
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB00951
Take separate from antacids. Taking this medication with antacids can reduce absorption.,DB00951
Take with or without food. The absorption is unaffected by food.,DB00952
"Take with or without food. However, the onset of action may be delayed by approximately 1 hour when taken with food.",DB00953
"Avoid alcohol. Profound CNS depression, including sedation, respiratory depression, coma, and death may occur.",DB00956
Take with or without food. Cmax and AUC are not altered by food in a clinically significant way.,DB00956
Take at the same time every day.,DB00957
Take with or without food.,DB00957
Avoid echinacea. Co-administration may decrease effectiveness of immunosuppressants.,DB00958
Avoid alcohol.,DB00959
Take with food. Food reduces GI irritation.,DB00959
Avoid alcohol.,DB00960
Take with or without food. Food does not significantly affect absorption.,DB00960
Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of zaleplon.,DB00962
Do not take with or immediately after a high-fat meal. The effects of zaleplon are reduced when taken with a high-fat meal.,DB00962
Take with or without food. Bioavailability may be slightly reduced by taking telmisartan with food.,DB00966
Take with or without food. The absorption is unaffected by food.,DB00967
Administer vitamin supplements.,DB00968
Avoid alcohol.,DB00968
Avoid natural licorice.,DB00968
Take with or without food. The absorption is unaffected by food.,DB00968
Take with or without food. The absorption is unaffected by food.,DB00969
Avoid alcohol. Ingesting alcohol may cause additive CNS depressant effects.,DB00972
Take with or without food. Co-administration with food does not affect absorption.,DB00973
Avoid xanthines. Xanthines found in coffee and tea can weaken the effect of this medication.,DB00975
Take with food. Food reduces irritation.,DB00975
Take with or without food. The absorption is unaffected by food.,DB00976
Avoid St. John's Wort. St. John's Wort may decrease the effectiveness of ethinylestradiol.,DB00977
"Avoid multivalent ions. Separate the administration polyvalent ions, including magnesium and aluminum-containing antacids, from lomefloxacin by at least 4 hours before and 2 hours after lomefloxacin dosing.",DB00978
Take with or without food. The rate and extent of absorption may be reduced when lomefloxacin is taken with food.,DB00978
Avoid alcohol.,DB00980
Do not take with or immediately after a high-fat meal.,DB00980
Avoid alcohol. Alcohol with isotretinoin can lead to inflammation of the liver.,DB00982
Avoid vitamin A supplements.,DB00982
Take with food. High-fat food increases drug absorption.,DB00982
Avoid alcohol.,DB00985
Take with food.,DB00985
Take with or without food. The absorption is unaffected by food.,DB00986
Take with food. Administering rivastigmine capsules with food delays absorption but increases the AUC.,DB00989
Take with food. The manufacturer recommends administration following a meal.,DB00990
Take with food. Take once daily after breakfast. Food decreases the rate but not the extent of absorption.,DB00991
Take with food. Food reduces irritation.,DB00993
Take with food. Food reduces irritation.,DB00995
Avoid alcohol. Gabapentin possesses CNS depressant activity that may be potentiated by co-administration with alcohol.,DB00996
"Take with or without food. Co-administration with food slightly alters pharmacokinetics, but not to a clinically significant extent.",DB00996
Drink plenty of fluids. Increased fluid intake increases urine output and the excretion of uric acid.,DB00997
"Take with or without food. Food does not affect bioavailability, but delays maximum concentrations by one hour.",DB00998
Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,DB00999
"Avoid multivalent ions. Take this medication 2 hours before or after the administration of antacids, calcium supplements, or iron supplements to avoid decreased absorption of hydrochlorothiazide.",DB00999
Avoid natural licorice. Licorice potentiates the hypokalemic effect of hydrochlorothiazide.,DB00999
Increase consumption of potassium-rich foods. This medication may cause potassium depletion. Foods containing potassium include bananas and orange juice.,DB00999
"Limit salt intake. Avoid excessive salt, unless recommended by a physician.",DB00999
Take with or without food.,DB00999
Take before a meal. Take cromolyn sodium 30 minutes before meals.,DB01003
Take with food. Food increases bioavailability.,DB01004
Drink plenty of fluids.,DB01005
Take with or without food.,DB01005
Take with or without food. Food slows absorption without decreasing the quantity absorbed.,DB01006
Drink plenty of fluids.,DB01008
Exercise caution with grapefruit products.,DB01008
Exercise caution with St. John's Wort.,DB01008
Take at the same time every day.,DB01008
Avoid alcohol.,DB01009
Take with food. Food reduces irritation.,DB01009
Take with food. Take metyrapone with milk or a snack according to the specific instructions for a single or multi-dose test.,DB01011
Take with food. Food markedly increases product bioavailability.,DB01012
Take with or without food.,DB01014
Avoid alcohol. Alcohol increases the risk of hypoglycemia.,DB01016
Take before a meal. Take 30-60 minutes before breakfast.,DB01016
"Avoid multivalent ions. Separate administration of aluminium, calcium, iron and magnesium containing products from medication by at least 2 hours.",DB01017
Take with or without food.,DB01017
Avoid alcohol.,DB01018
Do not take with or immediately after a high-fat meal. High fat meals increase drug exposure.,DB01018
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals to avoid nausea.,DB01019
Take with or without food. The absorption is unaffected by food.,DB01020
Avoid grapefruit products.,DB01023
Take with or without food. The absorption is unaffected by food.,DB01023
Take on an empty stomach. Take mycophenolic acid at least 1 hour before or 2 hours after eating.,DB01024
Avoid alcohol. Drinking alcohol while on ketoconazole treatment may cause liver injury.,DB01026
Avoid multivalent ions. They may decrease ketoconazole concentrations.,DB01026
Take with food. Food decreases gastrointestinal irritation caused by ketoconazole.,DB01026
Avoid alcohol. Ingesting alcohol may increase the CNS depressant effects of methoxyflurane.,DB01028
Take with or without food. The absorption is unaffected by food.,DB01029
Take with or without food.,DB01030
Avoid alcohol.,DB01032
Drink plenty of fluids.,DB01032
Take with food. Food reduces irritation.,DB01032
Drink plenty of fluids.,DB01033
Take on an empty stomach.,DB01033
Avoid alcohol.,DB01035
Take with food. Food reduces irritation.,DB01035
Take with food.,DB01036
"Avoid tyramine-containing foods and supplements. Consuming foods containing tyramine such as yogurt, aged cheese, ripe bananas, wine, and sourdough bread may increase the risk of having an uncontrolled hypertensive reaction.",DB01037
Take before a meal. Take selegiline oral disintegrating tablets before breakfast and at least 5 minutes before or after any food or drink. Taking selegiline with food reduces the AUC by approximately 60%.,DB01037
Take with food. Take selegiline capsules or tablets with breakfast and lunch. Food can increase the exposure to selegiline by 3-4 fold.,DB01037
Take with food. Bioavailability is increased 2- to 3-fold when taken with food.,DB01039
Avoid alcohol. Ingesting alcohol may increase the drowsiness caused by thalidomide.,DB01041
Take after a meal. Wait at least 1 hour after eating before taking thalidomide.,DB01041
Drink plenty of fluids.,DB01042
Take on an empty stomach. Food decreases absorption and decreases bioavailabilty by approximately 30%.,DB01042
Take with a full glass of water.,DB01043
Take with or without food. The absorption is unaffected by food.,DB01043
Drink plenty of fluids.,DB01044
Take with or without food. The absorption is unaffected by food.,DB01044
Avoid alcohol.,DB01045
Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.,DB01045
Take with a full glass of water.,DB01045
Take with a full glass of water.,DB01046
Take with food. Taking lubiprostone with food may reduce nausea.,DB01046
Avoid alcohol. Alcohol increases the systemic exposure to the drug.,DB01048
Take with or without food. The absorption is unaffected by food.,DB01048
Take with or without food. Taking ergoloid mesylate with food may reduce gastrointestinal upset.,DB01049
Avoid alcohol.,DB01050
Take with food. Food reduces irritation.,DB01050
Avoid grapefruit products.,DB01058
Take with food.,DB01058
Drink plenty of fluids.,DB01059
Limit caffeine intake.,DB01059
Take on an empty stomach.,DB01059
Take with food.,DB01060
Avoid alcohol.,DB01062
Take with or without food.,DB01062
Avoid alcohol. Ingesting alcohol may reduce the effects of melatonin.,DB01065
Take after a meal. Administration of melatonin after eating slows the absorption and reduces the Cmax of melatonin.,DB01065
"Avoid multivalent ions. Avoid antacids containing magnesium and aluminum hydroxides when possible, otherwise separate the administration of antacids and this drug by several hours.",DB01066
Avoid excessive or chronic alcohol consumption. The risk of hypoglycemia is increased when alcohol is ingested.,DB01067
Take before a meal. Take 30-60 minutes before breakfast.,DB01067
Avoid alcohol.,DB01068
Limit caffeine intake.,DB01068
Take with or without food. The absorption is unaffected by food.,DB01068
Avoid alcohol. Alcohol may increase the sedation caused by promethazine.,DB01069
Take with food. Food increases product absorption and reduces pharmacokinetic variability.,DB01072
"Take with or without food. Administration with food delays absorption, but not to a clinically significant extent.",DB01073
Avoid alcohol.,DB01075
Take before a meal. Take 30 minutes before a meal or 30 minutes before departure for motion sickness.,DB01075
Avoid grapefruit products. Grapefruit products may increase the risk for atorvastatin related adverse effects such as myopathy and rhabdomyolysis.,DB01076
Take with or without food. Food decreases absorption but not to a clinically significant extent.,DB01076
Avoid multivalent ions. Separate administration from multivalent ions by at least two hours.,DB01077
Take on an empty stomach.,DB01077
Take with a full glass of water.,DB01077
"Take before a meal. To increase absorption, take 30 minutes before a meal.",DB01079
Take with or without food.,DB01080
Take with plain water. Only mix vigabatrin oral solution powder with plain water.,DB01080
Avoid alcohol.,DB01081
Take with food.,DB01081
Take with food. Take with meals or up to 1 hour after a meal. Doses may be skipped for missed meals or fat-free meals.,DB01083
Take with or without food. The Cmax of pilocarpine is slightly reduced when taken with food.,DB01085
Take with food. Food decreases irritation.,DB01087
Take with or without food. Should be taken consistently in regards to meals.,DB01095
Take with or without food. The absorption is unaffected by food.,DB01097
Take with or without food. Co-administration with food does not affect absorption.,DB01098
"Avoid grapefruit products. Grapefruit inhibits CYP3A4 and, therefore, may increase pimozide serum levels.",DB01100
Exercise caution with St. John's Wort.,DB01100
Take with food. Take within 30 minutes of the end of breakfast and dinner.,DB01101
Avoid St. John's Wort.,DB01104
Take with or without food.,DB01104
Take with or without food. The absorption is unaffected by food.,DB01107
Administer calcium supplement. This drug decreases calcium levels.,DB01109
"Avoid herbs and supplements with anticoagulant/antiplatelet activity. Examples include ginger, garlic, ginseng, green tea, and evening primrose.",DB01109
Take with food. Food increases absorption.,DB01112
Avoid alcohol.,DB01114
Take with food.,DB01114
Avoid excessive or chronic alcohol consumption.,DB01115
"Avoid grapefruit products. Grapefruit down-regulates post-translational expression of CYP3A4, the major metabolizing enzyme of nifedipine. Grapefruit, in all forms (e.g. whole fruit, juice and rind), can significantly increase serum levels of nifedipine and may cause toxicity. Avoid grapefruit products while on this medication.",DB01115
Avoid natural licorice.,DB01115
Take with or without food.,DB01115
Take with food. Administration with a meal significantly enhances bioavailability.,DB01117
"Avoid grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of amiodarone.",DB01118
Avoid St. John's Wort. This herb induces the CYP3A4 metabolism of amiodarone. Therefore it may reduce the serum concentration and effectiveness of amiodarone.,DB01118
Take with or without food. The absorption is unaffected by food.,DB01118
Avoid alcohol.,DB01120
Take with or without food. Consistent food intake reduces the risk of hypoglycemia.,DB01120
Take with or without food. Co-administration with food may reduce gastrointestinal upset.,DB01121
"Avoid alcohol. Ingesting alcohol may precipitate a disulfiram-like reaction (flushing, nausea), or hypoglycemia.",DB01124
Take with or without food.,DB01124
Take with or without food. The absorption is unaffected by food.,DB01126
Take at the same time every day.,DB01128
Take with or without food. Food does not significantly affect absorption.,DB01128
"Take with or without food. Food delays drug absorption, but not to a clinically significant extent.",DB01129
Take with food.,DB01131
"Take with or without food. Food delays drug absorption, but not to a clinically significant extent.",DB01132
Take at least 2 hours before or after calcium supplements.,DB01133
Take on an empty stomach. Take at least 2 hours before or after meals.,DB01133
Take separate from antacids. Take at least 2 hours before or after antacids. The bioavailability of this medication is significantly reduced when administered with aluminum or magnesium containing antacids.,DB01133
Take with a full glass of water.,DB01133
Take with food. Food slows the absorption and reduces the incidence of adverse effects.,DB01136
Take with or without food. Food slightly alters kinetics but not to any clinically significant extent.,DB01137
Take with food.,DB01138
Take with or without food. Administration with food may be helpful in diminishing potential gastrointestinal complaints occasionally associated with oral cephalosporin therapy.,DB01140
Avoid alcohol. Co-administration may enhance CNS adverse effects such as drowsiness and sedation.,DB01142
Avoid St. John's Wort. Co-administration may lead to decreased serum concentrations of doxepin.,DB01142
"Increase consumption of potassium-rich foods. Diclofenamide may cause hypokalemia, therefore consuming more potassium-rich foods may help prevent hypokalemia.",DB01144
Take on an empty stomach.,DB01147
Take with or without food. The absorption is unaffected by food.,DB01148
Avoid alcohol.,DB01149
Take at the same time every day.,DB01149
Take with or without food.,DB01149
Take with or without food. The absorption is unaffected by food.,DB01150
Avoid alcohol.,DB01151
Limit caffeine intake.,DB01151
Take with food. Food reduces irritation.,DB01151
Take with or without food. The absorption is unaffected by food.,DB01155
