kind,value,source,parent_key
logP,1.7,,DB00449
Water Solubility,4.21 mg/L,,DB00450
Melting Point,145-146.5,"Janssen, P.A.J. and Gardocki, J.F.; U.S. Patent 3,141,823; July 21, 1964; assigned to Research Laboratorium Dr. C. Janssen NV, Belgium.
Januen, P.A.J.; U.S. Patent 3,161,645; December 15,1964: assigned to Research Laboratorium Dr. C. Janssen NV, Belgium.",DB00450
logP,3.50,SANGSTER (1993),DB00450
pKa,7.46,SANGSTER (1994),DB00450
Water Solubility,0.105 mg/mL,,DB00451
Melting Point,235.5 °C,PhysProp,DB00451
logP,4,,DB00451
logP,-7.8,,DB00452
logP,0.2,,DB00453
Water Solubility,3220 mg/L (at 30 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00454
Melting Point,270 °C,PhysProp,DB00454
logP,2.72,SANGSTER (1994),DB00454
logS,-1.89,"ADME Research, USCD",DB00454
pKa,8.59,SANGSTER (1994),DB00454
Water Solubility,<1 mg/ml at 25°C,https://www.chemicalbook.com/ChemicalProductProperty_US_CB5283770.aspx,DB00455
Melting Point,134-136 °C,https://www.chemicalbook.com/ChemicalProductProperty_US_CB5283770.aspx,DB00455
Water Solubility,158 mg/L,,DB00456
Melting Point,160-160.5 °C,PhysProp,DB00456
logP,0.00,"HANSCH,C ET AL. (1995)",DB00456
Water Solubility,1.4 mg/mL,https://www.sigmaaldrich.com/content/dam/sigma-aldrich/docs/Sigma/Product_Information_Sheet/1/p7791pis.pdf,DB00457
Melting Point,277-280,https://www.chemicalbook.com/ChemicalProductProperty_US_CB6120870.aspx,DB00457
Boiling Point,638.366,http://www.chemspider.com/Chemical-Structure.4724.html,DB00457
logP,1.3,https://pubchem.ncbi.nlm.nih.gov/compound/prazosin,DB00457
pKa,6.54,https://www.sigmaaldrich.com/content/dam/sigma-aldrich/docs/Sigma/Product_Information_Sheet/1/p7791pis.pdf,DB00457
Water Solubility,18.2 mg/L (at 24 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00458
Melting Point,174-175,"U.S. Patent 2,554,736.",DB00458
Boiling Point,160 °C at 1.00E-01 mm Hg,PhysProp,DB00458
logP,4.80,"HANSCH,C ET AL. (1995)",DB00458
logS,-4.19,"ADME Research, USCD",DB00458
caco2 Permeability,-4.85,"ADME Research, USCD",DB00458
pKa,9.4,SANGSTER (1994),DB00458
Water Solubility,0.0729 mg/L,,DB00459
Melting Point,228-230 °C,PhysProp,DB00459
logP,6.40,SANGSTER (1993),DB00459
logP,2.1,,DB00460
Water Solubility,Practically insoluble,"FDA Label, Eon Labs Inc.",DB00461
Melting Point,78-82,"Health Canada Product Monograph, AA Pharma Inc.",DB00461
logP,2400,"FDA Label, Eon Labs Inc.",DB00461
Water Solubility,Freely soluble,,DB00462
Melting Point,225 °C,,DB00462
logP,-2.58,,DB00462
caco2 Permeability,-6.16,"ADME Research, USCD",DB00462
Water Solubility,1980 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00463
Melting Point,150.5 °C,PhysProp,DB00463
logP,1.15,"HANSCH,C ET AL. (1995)",DB00463
logS,-2.23,"ADME Research, USCD",DB00463
pKa,8.01 (at 25 °C),"HANSCH,C & LEO,AJ (1985)",DB00463
Water Solubility,200 g/l (tromethamine salt),Ketorolac thromethamine MSDS,DB00465
Melting Point,162-165 °C (tromethamine salt),Ketorolac tromethamine MSDS,DB00465
logP,2.1,,DB00465
Water Solubility,4100 mg/L,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00466
Melting Point,203.5 °C,PhysProp,DB00466
logP,-2.229,,DB00466
Water Solubility,3.43 g/L,,DB00467
Melting Point,220-224 °C,PhysProp,DB00467
logP,-0.20,SANGSTER (1994) (ION-CORRECT),DB00467
Water Solubility,500 mg/L (at 15 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00468
Melting Point,57 °C,PhysProp,DB00468
logP,3.44,"HANSCH,C ET AL. (1995)",DB00468
logS,-2.76,"ADME Research, USCD",DB00468
Water Solubility,14.1 mg/L,,DB00469
Melting Point,211 dec °C,PhysProp,DB00469
logP,1.9,,DB00469
Water Solubility,2800 mg/L (at 23 °C),NIH NTP Reports web-site,DB00470
Melting Point,200 °C at 2.00E-02 mm Hg,,DB00470
logP,5.648,,DB00470
pKa,10.6,PHYSICIAN'S DESK REFERENCE (1998),DB00470
Water Solubility,"mixes with water (>100 mg/ml, 25 C)",msds,DB00471
Melting Point,275.9 F,msds,DB00471
logP,7.9,,DB00471
Water Solubility,insoluble,https://www.lookchem.com/Fluoxetine/,DB00472
Melting Point,193 - 197 °C,MSDS,DB00472
Boiling Point,395.1°C at 760 mmHg,https://www.lookchem.com/Fluoxetine/,DB00472
logP,4.05,"ADLARD,M ET AL. (1995)",DB00472
Melting Point,177-178.5,"U.S. Patent 2,486,374.",DB00473
logP,3.9,,DB00473
logP,1.8,,DB00474
Water Solubility,2000 mg/L,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00475
Melting Point,236-236.5,"Sternbach, L.H.; US. Patent 2,893,992; July 7,1959; assigned to Hoffmann-LaRoche, Inc.",DB00475
logP,2.44,"HANSCH,C ET AL. (1995)",DB00475
pKa,4.8,MERCK INDEX (1996),DB00475
logP,4,,DB00476
Water Solubility,2.55 mg/L (at 24 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00477
Melting Point,177-178,"Charpentier, P.; U S . Patent 2,645,640; July 14, 1953; assigned to Societe des Usines Chimiques Rhone-Poulenc, France",DB00477
Boiling Point,200-205 °C at 8.00E-01 mm Hg,PhysProp,DB00477
logP,5.41,"AVDEEF,A (1995)",DB00477
logS,-5.01,"ADME Research, USCD",DB00477
caco2 Permeability,-4.7,"ADME Research, USCD",DB00477
pKa,9.3 (at 25 °C),"HANSCH,C & LEO,AJ (1985)",DB00477
Water Solubility,Hydrochloride salt freely soluble (50 mg/ml at 20 °C),,DB00478
Melting Point,>300 °C,,DB00478
logP,3.6,,DB00478
Water Solubility,50 mg/ml,https://www.sigmaaldrich.com/content/dam/sigma-aldrich/docs/Sigma/Product_Information_Sheet/a1774pis.pdf,DB00479
Melting Point,214,MSDS,DB00479
Boiling Point,632.23,https://www.chemicalbook.com/ChemicalProductProperty_US_CB8146049.aspx,DB00479
logS,-0.5,"ADME Research, USCD: https://pubchem.ncbi.nlm.nih.gov/compound/amikacin#section=Solubility",DB00479
pKa,8.1,http://www.druginfosys.com/drug.aspx?drugcode=45&type=1,DB00479
Water Solubility,"Soluble in organic solvent/water mixtures, and buffered aqueous solvents. Lenalidomide is more soluble in organic solvents and low pH solutions. Solubility was significantly lower in less acidic buffers, ranging from about 0.4 to 0.5 mg/mL.",,DB00480
logP,-0.4,,DB00480
Water Solubility,Insoluble,MSDS,DB00481
Melting Point,268-272,MSDS,DB00481
logP,5.2,,DB00481
Water Solubility,Poorly soluble,https://www.lclabs.com/products/c-1502-celecoxib,DB00482
Melting Point,157-159,https://www.trc-canada.com/product-detail/?C251000,DB00482
Boiling Point,529.0±60.0,http://www.chemspider.com/Chemical-Structure.2562.html,DB00482
logP,3.53,https://s3-us-west-2.amazonaws.com/drugbank/msds/DB00482.pdf?1530223672,DB00482
caco2 Permeability,13,https://www.tandfonline.com/doi/full/10.3109/10717544.2014.916767,DB00482
pKa,11.1,https://www.pfizermedicalinformation.com/en-us/celebrex/description,DB00482
Water Solubility,Soluble,,DB00483
Melting Point,152-153,"Fourneau, E.; U.S.Patent 2,544,076; March 6, 1951; assigned to Societe des Usines Chimiques Rhone-Poulenc, France.",DB00483
logP,3.5,,DB00483
Water Solubility,34 mg/mL,Sandoz Canada Product Monograph,DB00484
Melting Point,207.5 °C,Sandoz Canada Product Monograph,DB00484
pKa,7.78,Sandoz Canada Product Monograph,DB00484
Water Solubility,3.63 mg/L,,DB00485
logP,2.91,"HANSCH,C ET AL. (1995)",DB00485
logP,6.8,,DB00486
Water Solubility,11.4 mg/mL at 25 °C,,DB00487
Melting Point,271 dec °C,PhysProp,DB00487
logP,0.27,"HANSCH,C ET AL. (1995)",DB00487
Water Solubility,91 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00488
Melting Point,168,"von Brachel, H. and Kindler, H.; U.S. Patent 3,424,752; January 28, 1969; assigned to Casella Farbwerke Mainkur AG",DB00488
logP,2.73,"HANSCH,C ET AL. (1995)",DB00488
Melting Point,206.75,http://www.chemspider.com/Chemical-Structure.5063.html,DB00489
Boiling Point,443.3,http://www.chemspider.com/Chemical-Structure.5063.html,DB00489
Melting Point,201.5-202.5,Buspirone hydrochloride (B7148) - Sigma Aldrich  Product Information Sheet,DB00490
logP,2.63,"TAKACS-NOVAK,K 1995 (IN PRESS)",DB00490
Water Solubility,Soluble,,DB00491
Melting Point,114 °C,,DB00491
logP,-2.7,,DB00491
pKa,5.9,,DB00491
Water Solubility,Insoluble,,DB00492
Melting Point,149-153 °C,,DB00492
logP,6.3,,DB00492
Water Solubility,Soluble,,DB00493
logP,-0.5,,DB00493
logP,2.8,,DB00494
Water Solubility,2.01E+004 mg/L (at 25 °C),PHYSICIANS DESK REFERENCE (2003),DB00495
Melting Point,113-115 °C,PhysProp,DB00495
logP,0.05,"HANSCH,C ET AL. (1995)",DB00495
caco2 Permeability,-5.16,"ADME Research, USCD",DB00495
logP,4.5,,DB00496
Water Solubility,166mg/mL,http://www.chemspider.com/Chemical-Structure.4447649.html,DB00497
Melting Point,219,http://www.chemspider.com/Chemical-Structure.4447649.html,DB00497
logP,0.7,https://www.ncbi.nlm.nih.gov/pubmed/8159633,DB00497
Water Solubility,27 mg/L (at 20 °C),,DB00498
Melting Point,150 °C,PhysProp,DB00498
logP,2.90,"HANSCH,C ET AL. (1995)",DB00498
Water Solubility,9.45 mg/L,,DB00499
Melting Point,111.5-112.5,"Gold, E.H.; U.S. Patent 3,847,988; November 12, 1974; assigned to Schering Corp.",DB00499
logP,3.35,"MORRIS,JJ ET AL. (1991)",DB00499
Water Solubility,222 mg/L,,DB00500
Melting Point,156 dec °C,PhysProp,DB00500
logP,2.79,SANGSTER (1993),DB00500
pKa,3.5,,DB00500
Water Solubility,9380 mg/L (at 25 °C),"MCFARLAND,JW ET AL. (2001)",DB00501
Melting Point,142 °C,PhysProp,DB00501
logP,0.40,"HANSCH,C ET AL. (1995)",DB00501
logS,-1.35,"ADME Research, USCD",DB00501
caco2 Permeability,-5.89,"ADME Research, USCD",DB00501
pKa,6.8,"TOMLINSON,E & HAFKENSCHEID,TL (1986)",DB00501
Water Solubility,14 mg/L (at 25 °C),https://pubchem.ncbi.nlm.nih.gov/compound/haloperidol,DB00502
Melting Point,148,MSDS,DB00502
logP,4.3,https://pubchem.ncbi.nlm.nih.gov/compound/haloperidol,DB00502
logS,-4.43,https://pubchem.ncbi.nlm.nih.gov/compound/haloperidol,DB00502
pKa,8.66,"EL TAYAR,N ET AL. (1985)",DB00502
Water Solubility,Practically insoluble,FDA Label,DB00503
logP,3.9,,DB00503
Water Solubility,633 mg/L,,DB00504
Melting Point,181 °C,PhysProp,DB00504
logP,3.48,"HANSCH,C ET AL. (1995)",DB00504
Water Solubility,11 mg/mL,,DB00505
Melting Point,181.5 °C,,DB00505
logP,1.17,,DB00505
Water Solubility,1.89e-04,[L1417],DB00507
Melting Point,202 °C ,[L1417],DB00507
Boiling Point,394,[L1417],DB00507
logP,1.63 ,[L1417],DB00507
logP,5.54,BIOBYTE (1995),DB00508
logS,-5.3,"ADME Research, USCD",DB00508
Melting Point,235-236 °C,,DB00509
logP,4,,DB00509
Water Solubility,0.0274 mg/L at 25 °C,"MEYLAN,WM et al. (1996)",DB00511
logP,3.7,,DB00511
logP,-3.1,,DB00512
Water Solubility,5.05E+005 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00513
Melting Point,205 °C,PhysProp,DB00513
logP,-2.95,"HANSCH,C ET AL. (1995)",DB00513
pKa,4.43 (at 25 °C),"KORTUM,G ET AL (1961)",DB00513
Water Solubility,74.7 mg/L,,DB00514
Melting Point,122-124,"Schnider, O. and Grussner, A,; US. Patent 2,676,177; April 20, 1954; assigned to Hoffrnann-La Roche Inc.",DB00514
logP,3.6,,DB00514
Water Solubility,2530 mg/L (at 25 °C),"AMUNDSEN,AR & STERN,EW (1982)",DB00515
Melting Point,270 dec °C,PhysProp,DB00515
logP,-2.19,"HANSCH,C ET AL. (1995)",DB00515
Water Solubility,Soluble,,DB00516
Water Solubility,1600 mg/L,,DB00517
Melting Point,329 °C,"Weiner, N. and Gordon, S.M.; US. Patent 2,962,499; November 29,1960; assigned to Endo
Laboratories, Inc.",DB00517
logP,0.60,,DB00517
Water Solubility,Practically insoluble,,DB00518
Melting Point,208-210,"Gyurik, R.J. and Theodorides, VJ.; US. Patent 3,915,986; October 28,1975; assigned to
Smith Kline Corp.",DB00518
logP,2.7,,DB00518
Melting Point,119-123 °C,,DB00519
logP,3.5,,DB00519
logP,0,,DB00520
logP,1.1,,DB00521
Melting Point,240-242,"DeBenneville, P.L.and Greenberger, N.J.; U.S. Patent 3,745,212; July 10,1973; assigned to
Rohm & Haas Co.",DB00522
logP,3.3,,DB00522
Water Solubility,0.6 mg/L,,DB00523
Melting Point,189-190 °C,,DB00523
logP,4.2,,DB00523
Water Solubility,60.3 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00524
Melting Point,256 °C,PhysProp,DB00524
logP,2.5,,DB00524
logS,-3.78,"ADME Research, USCD",DB00524
Water Solubility,7.02e-05 mg/mL at 25 °C,"MEYLAN,WM et al. (1996)",DB00525
Melting Point,111 °C,PhysProp,DB00525
logP,5.1,,DB00525
Water Solubility,42 mg/L (at 21 °C),BEILSTEIN,DB00527
Melting Point,99-101 °C (HCl salt),,DB00527
logP,4.40,"HANSCH,C ET AL. (1995)",DB00527
logS,-3.7,"ADME Research, USCD",DB00527
pKa,8.85,SANGSTER (1994),DB00527
logP,6.4,,DB00528
Water Solubility,Complete,,DB00529
Melting Point,88.06 °C,,DB00529
logP,-2.1,,DB00529
Water Solubility,Very slightly soluble (hydrochloride salt - maximal solubility of approximately 0.4 mg/mL occurs at a pH of approximately 2),,DB00530
logP,2.7,,DB00530
Water Solubility,Soluble. 1-5 g/100 mL at 23 °C,,DB00531
Melting Point,48-49,"Arnold, H., Brock, N. and Bourseaux, F.; U S . Patent 3,018,302; January 23,1962; assigned to Asta-Werke A.G. Chemische Fabrik (W. Germany).",DB00531
logP,0.8,,DB00531
Water Solubility,1270 mg/L,,DB00532
Melting Point,135 °C,PhysProp,DB00532
logP,1.69,SANGSTER (1994),DB00532
pKa,8.51,"TOMLINSON,E & HAFKENSCHEID,TL (1986)",DB00532
Water Solubility,Insoluble,,DB00533
logP,3.2,,DB00533
Water Solubility,1.1E+004 mg/L (at 25 °C),MERCK INDEX (1996),DB00534
Melting Point,152.5 °C,PhysProp,DB00534
logP,-0.80,"HALBACH,S (1985)",DB00534
Water Solubility, 8.85 ± 0.87 mg/mL,https://www.mdpi.com/1420-3049/22/2/280/htm,DB00535
Melting Point,>135,https://www.trc-canada.com/product-detail/?CatNum=C242670,DB00535
Boiling Point,708.82,https://cymitquimica.com/products/45-1097614/213978-34-8/cefdinir/,DB00535
logP,-3.47,https://aac.asm.org/content/47/2/689,DB00535
pKa,9.7,https://www.chemicalbook.com/ChemicalProductProperty_US_CB7483101.aspx,DB00535
Water Solubility,1840 mg/L (at 20 °C),"GREENWALD,I (1926)",DB00536
Melting Point,50 °C,PhysProp,DB00536
logP,-0.6,,DB00536
pKa,12.5,,DB00536
Water Solubility,<1mg/mL,http://www.chemspider.com/Chemical-Structure.2662.html,DB00537
Melting Point,255-257 °C,http://www.chemspider.com/Chemical-Structure.2662.html,DB00537
logP,0.28,"TAKACS-NOVAK,K ET AL. (1992)",DB00537
pKa,6.09,"TORNIANEN,K ET AL. (1996)",DB00537
Melting Point,108-110 °C,,DB00539
logP,6.8,,DB00539
Water Solubility,0.00087 g/L,http://www.hmdb.ca/metabolites/HMDB0014680,DB00540
Melting Point,58,https://www.chemicalbook.com/ChemicalProductProperty_US_CB1317147.aspx,DB00540
Boiling Point,396.62,https://www.chemicalbook.com/ChemicalProductProperty_US_CB1317147.aspx,DB00540
logP,3.9,Lead Optimization for Medicinal Chemists (2012),DB00540
logS,-5.5,http://www.hmdb.ca/metabolites/HMDB0014680,DB00540
pKa,9.7,https://www.chemicalbook.com/ChemicalProductProperty_US_CB1317147.aspx,DB00540
Melting Point,220 °C,PhysProp,DB00541
logP,2.82,"HANSCH,C ET AL. (1995)",DB00541
pKa,5,MERCK INDEX (1996),DB00541
Water Solubility,19mg/mL,http://www.chemspider.com/Chemical-Structure.4514935.html,DB00542
Melting Point,148.5,http://www.chemspider.com/Chemical-Structure.4514935.html,DB00542
Boiling Point,691.2,http://www.chemspider.com/Chemical-Structure.4514935.html,DB00542
Melting Point,175-176,"Howell, C.F., Hardy, R.A., Jr. and Quinones, N.Q.; US. Patent 3,663,696; May 16, 1972; assigned to American Cyanamid Company
Howell, C.F., Hardy, R.A., Jr. and Quinones, N.Q.; U.S. Patent 3,681,357; August 1, 1972; assigned to American Cyanamid Company",DB00543
logP,3.4,,DB00543
Water Solubility,1.11E+004 mg/L (at 22 °C),"BURR,A & BUNDGAARD,H (1985)",DB00544
Melting Point,282-283,"Heidelberger, C. and Duschinsky, R.; US. Patent 2,802,005; August 6, 1957. Heidelberger, C. and Duschinsky, R.; U.S.Patent 2,885,396; May 5, 1959.",DB00544
logP,-0.89,"HANSCH,C ET AL. (1995)",DB00544
logS,-1.07,"ADME Research, USCD",DB00544
pKa,8.02,SANGSTER (1994),DB00544
Melting Point,153 °C,,DB00545
logP,1.554,,DB00545
logP,4.4,,DB00546
Water Solubility,42.1 mg/L,,DB00547
Melting Point,217 °C,PhysProp,DB00547
logP,2.35,"HANSCH,C ET AL. (1995)",DB00547
Water Solubility,2400 mg/L (at 20 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00548
Melting Point,106.5 °C,PhysProp,DB00548
Boiling Point,286.5 °C at 1.00E+02 mm Hg,PhysProp,DB00548
logP,1.57,"HANSCH,C ET AL. (1995)",DB00548
logS,-1.89,"ADME Research, USCD",DB00548
pKa,4.55 (at 25 °C),"KORTUM,G ET AL (1961)",DB00548
Melting Point,139 °C,,DB00549
logP,5.4,,DB00549
Water Solubility,1200 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00550
Melting Point,219 °C,PhysProp,DB00550
logP,0.4,,DB00550
logS,-2.15,"ADME Research, USCD",DB00550
Water Solubility,1E+006 mg/L,,DB00551
Melting Point,90.5 °C,PhysProp,DB00551
logP,-1.59,"HANSCH,C ET AL. (1995)",DB00551
pKa,8.7 (at 25 °C),"SERJEANT,EP & DEMPSEY,B (1979)",DB00551
Water Solubility,30 mg/mL,,DB00552
Melting Point,220 °C,PhysProp,DB00552
logP,-1.1,,DB00552
pKa,5.2,MERCK INDEX (1996),DB00552
Water Solubility,47.6 mg/L (at 30 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00553
Melting Point,148 °C,PhysProp,DB00553
logP,1.7,,DB00553
logS,-3.66,"ADME Research, USCD",DB00553
Water Solubility,23 mg/L (at 22 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00554
Melting Point,198-200 °C,PhysProp,DB00554
logP,3.06,"AVDEEF,A (1997)",DB00554
logS,-4.16,"ADME Research, USCD",DB00554
caco2 Permeability,-4.45,"ADME Research, USCD",DB00554
pKa,6.3,SANGSTER (1994),DB00554
Water Solubility,0.17 mg/mL,FDA label,DB00555
Melting Point,177-181,https://www.chemicalbook.com/ChemicalProductProperty_US_CB4166704.aspx,DB00555
Boiling Point,503.1±60.0,https://www.chemicalbook.com/ChemicalProductProperty_US_CB4166704.aspx,DB00555
logP,1.93,http://www.t3db.ca/toxins/T3D2570,DB00555
pKa,5.7,FDA label,DB00555
Water Solubility,5.7 mg/L (at 15 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00556
Melting Point,-147.6 °C,PhysProp,DB00556
Boiling Point,-36.6 °C,PhysProp,DB00556
logP,3,,DB00556
Melting Point,200C,Canadian Label,DB00557
logP,-3,,DB00558
Water Solubility,Poorly soluble in water (1.0 mg/100 ml) and in aqueous solutions at low pH (0.1 mg/100 ml at pH 1.1 and 4.0; 0.2 mg/100 ml at pH 5.0). Solubility increases at higher pH values (43 mg/100 ml at pH 7.5).,,DB00559
logP,3.7,,DB00559
caco2 Permeability,-5.98,"ADME Research, USCD",DB00559
logP,0.8,,DB00560
Water Solubility,Sparingly soluble,,DB00561
Melting Point,217-219,"Lunsford, C.D. and Cale, A.D. Jr.; U S . Patent 3,192,230; June 29, 1965; assigned to A.H. Robins Company, Inc.",DB00561
logP,3.6,,DB00561
Water Solubility,8.91 mg/L,,DB00562
Melting Point,210-211,"McLamore, W.M. and Laubach, G.D.; U.S. Patent 3,111,517; November 19, 1963; assigned
to Chas. Pfizer & Co., Inc.",DB00562
logP,1.73,"BERTHOD,A ET AL. (1999)",DB00562
pKa,6,"BERTHOD,A ET AL. (1999)",DB00562
Melting Point,195 °C,http://www.chemspider.com/Chemical-Structure.112728.html?rid=5b5d388b-5afb-4024-803b-99539fa66a77,DB00563
logP,-1.85,"HANSCH,C ET AL. (1995)",DB00563
caco2 Permeability,-5.92,"ADME Research, USCD",DB00563
pKa,4.7,SANGSTER (1994),DB00563
Melting Point,189-192,https://www.lookchem.com/Carbamazepine/,DB00564
Boiling Point,399.6±45.0,https://www.lookchem.com/Carbamazepine/,DB00564
logP,2.77,http://www.t3db.ca/toxins/T3D2826,DB00564
logS,-3.2,http://www.t3db.ca/toxins/T3D2826,DB00564
pKa,"15.96, -3.8",http://www.t3db.ca/toxins/T3D2826,DB00564
Melting Point,193 °C,PhysProp,DB00566
logP,-0.3,,DB00566
Water Solubility,10mg/mL,http://www.chemspider.com/Chemical-Structure.25541.html,DB00567
Melting Point,326.8 °C,http://www.chemspider.com/Chemical-Structure.25541.html,DB00567
Boiling Point,727.4,http://www.chemspider.com/Chemical-Structure.25541.html,DB00567
logP,0.65,"HANSCH,C ET AL. (1995)",DB00567
Water Solubility,750 mg/L (at 25 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00568
logP,5.77,BIOBYTE (1995),DB00568
logP,0.4,,DB00569
Water Solubility,Negligible,,DB00570
Melting Point,267 °C,,DB00570
logP,3.70,SANGSTER (1994),DB00570
Water Solubility,61.7 mg/L (at 25 °C),"MCFARLAND,JW ET AL. (2001)",DB00571
Melting Point,96 °C,PhysProp,DB00571
logP,3.48,"AVDEEF,A (1997)",DB00571
caco2 Permeability,-4.58,"ADME Research, USCD",DB00571
pKa,9.42,SANGSTER (1994),DB00571
Water Solubility,2200 mg/L (at 25 °C),"DEHN,WM (1917)",DB00572
Melting Point,118.5 °C,PhysProp,DB00572
logP,1.83,"HANSCH,C ET AL. (1995)",DB00572
logS,-2.12,"ADME Research, USCD",DB00572
pKa,9.43,SANGSTER (1994),DB00572
Water Solubility,Slight (calcium salt),,DB00573
Melting Point,168-171,"Marshall, W.S.; U.S. Patent 3,600,437; August 17, 1971; assigned to Eli Lilly and Company.",DB00573
logP,3.1,,DB00573
pKa,4.5,,DB00573
Water Solubility,412 mg/L,,DB00574
Melting Point,108-112 °C at 1.20E+01 mm Hg,,DB00574
logP,3.36,SANGSTER (1993),DB00574
Melting Point,130,http://www.chemspider.com/Chemical-Structure.2701.html?rid=816613e6-a54a-46f0-8152-4a93e09e4170,DB00575
logP,1.59,"HANSCH,C & LEO,AJ (1985)",DB00575
caco2 Permeability,-4.59,"ADME Research, USCD",DB00575
pKa,8.05 (at 25 °C),"KONTTURI,K & MURTOMAKI,L (1992)",DB00575
Water Solubility,1050 mg/L (at 37 °C),"YALKOWSKY,SH & DANNENFELSER,RM (1992)",DB00576
Melting Point,208 °C,PhysProp,DB00576
logP,0.54,"HANSCH,C ET AL. (1995)",DB00576
logS,-2.41,"ADME Research, USCD",DB00576
Water Solubility,174 mg/mL at 25 degrees Celsius,https://www.accessdata.fda.gov/drugsatfda_docs/label/2005/020487s007rel2_lbl.pdf,DB00577
Melting Point,170-172,https://www.chemicalbook.com/ChemicalProductProperty_US_CB8430566.aspx,DB00577
logP,-0.3,https://pubchem.ncbi.nlm.nih.gov/compound/valacyclovir#section=Vapor-Density,DB00577
pKa,"1.90, 7.47, and 9.43",https://www.accessdata.fda.gov/drugsatfda_docs/label/2005/020487s007rel2_lbl.pdf,DB00577
Water Solubility,451 mg/L,,DB00578
logP,1.13,"HANSCH,C ET AL. (1995)",DB00578
Melting Point,198-199,"U.S. Patents 3,597,445 and 3,763,178.",DB00579
logP,3.7,,DB00579
logP,3.2,,DB00580
Water Solubility,"Soluble in cold water, hot water. Solubility in water: 76.4% @ 30 deg. C",MSDS,DB00581
Melting Point,169 °C,http://www.hmdb.ca/metabolites/HMDB0000740,DB00581
logP,-4.3,http://www.hmdb.ca/metabolites/HMDB0000740,DB00581
Water Solubility,Low,,DB00582
Melting Point,127-130 °C,,DB00582
logP,1,,DB00582
Water Solubility,2500 mg/mL,,DB00583
Melting Point,195-198,"Noguchi, J. and Sakota, N.; US. Patent 3,135,788; June 2,1964; assigned to Nihon Zoki Seiyaku Kabushikikaisha (Japan).",DB00583
pKa,3.8,,DB00583
Water Solubility,1.64E+004 mg/L,"MCFARLAND,JW ET AL. (2001)",DB00584
Melting Point,143-144.5,MSDS,DB00584
logP,0.07,"HANSCH,C ET AL. (1995)",DB00584
caco2 Permeability,-5.64,"ADME Research, USCD",DB00584
Water Solubility,10-33mg/mL,,DB00585
Melting Point,130-132 °C,PhysProp,DB00585
logP,1.1,,DB00585
Water Solubility,2.37 mg/L (at 25 °C),"FINI,A ET AL. (1986)",DB00586
Melting Point,283-285 °C,,DB00586
logP,4.51,"AVDEEF,A (1997)",DB00586
pKa,4.15,SANGSTER (1994),DB00586
logP,4,,DB00587
Water Solubility,Insoluble,[MSDS],DB00588
Melting Point,261-273 °C,[MSDS],DB00588
logP,2.78,[MSDS],DB00588
logP,2.2,,DB00589
Water Solubility,0.8%,https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/019668s021lbl.pdf,DB00590
Melting Point,275-277,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB3285710.htm,DB00590
Boiling Point,718,https://www.scbt.com/scbt/product/doxazosin-mesylate-77883-43-3,DB00590
logP,2.1,https://pubchem.ncbi.nlm.nih.gov/compound/Doxazosin,DB00590
pKa,6.52,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL707/,DB00590
Water Solubility,Insoluble,'MSDS',DB00591
Melting Point,266-268,"Mills, J.S. and Bowers, A.; U.S. Patent 3,014,938; December 26, 1961; assigned to Syntex SA, Mexico.",DB00591
logP,2.48,"HANSCH,C ET AL. (1995)",DB00591
pKa,13.9,Graham P. (2013). An Introduction to Medicinal Chemistry.  Fifth ed. Oxford.,DB00591
Water Solubility,1E+006 mg/L (at 25 °C),MERCK INDEX (1996),DB00592
Melting Point,106 °C,PhysProp,DB00592
Boiling Point,146 °C,PhysProp,DB00592
logP,-1.50,"HANSCH,C ET AL. (1995)",DB00592
logS,1.07,"ADME Research, USCD",DB00592
pKa,9.73,"PERRIN,DD (1972)",DB00592
Water Solubility,39.2 g/L,,DB00593
Melting Point,64.5 °C,PhysProp,DB00593
logP,0.38,"ATKINSON,HC & BERG,EJ (1988)",DB00593
Water Solubility,Slightly soluble,,DB00594
Melting Point,240.5-241.5,"Cragoe, E.J., Jr.; US. Patent 3,313,813; April 11,1967; assigned to Merck 81 Co., Inc.",DB00594
