atc_code,level_1,code_1,level_2,code_2,level_3,code_3,level_4,code_4,drugbank-id
D11AX22,Other dermatologicals,D11AX,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11,DERMATOLOGICALS,D,DB00602
G03DA02,Pregnen (4) derivatives,G03DA,PROGESTOGENS,G03D,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00603
L02AB02,Progestogens,L02AB,HORMONES AND RELATED AGENTS,L02A,ENDOCRINE THERAPY,L02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00603
G03AC06,Progestogens,G03AC,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03A,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00603
A03FA02,Propulsives,A03FA,PROPULSIVES,A03F,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03,ALIMENTARY TRACT AND METABOLISM,A,DB00604
M01AB02,Acetic acid derivatives and related substances,M01AB,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01A,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01,MUSCULO-SKELETAL SYSTEM,M,DB00605
G01AE10,Sulfonamides,G01AE,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00606
C03AB09,Thiazides and potassium in combination,C03AB,"LOW-CEILING DIURETICS, THIAZIDES",C03A,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB00606
C03AA09,"Thiazides, plain",C03AA,"LOW-CEILING DIURETICS, THIAZIDES",C03A,DIURETICS,C03,CARDIOVASCULAR SYSTEM,C,DB00606
J01CR50,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00607
J01CF06,Beta-lactamase resistant penicillins,J01CF,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01C,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00607
P01BA01,Aminoquinolines,P01BA,ANTIMALARIALS,P01B,ANTIPROTOZOALS,P01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00608
J04AD03,Thiocarbamide derivatives,J04AD,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00609
C01CA09,Adrenergic and dopaminergic agents,C01CA,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01C,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB00610
N02AF01,Morphinan derivatives,N02AF,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00611
C07FX04,"Beta blocking agents, other combinations",C07FX,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07F,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00612
C07BB07,"Beta blocking agents, selective, and thiazides",C07BB,BETA BLOCKING AGENTS AND THIAZIDES,C07B,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00612
C07AB07,"Beta blocking agents, selective",C07AB,BETA BLOCKING AGENTS,C07A,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00612
C09BX02,"ACE inhibitors, other combinations",C09BX,"ACE INHIBITORS, COMBINATIONS",C09B,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00612
C07FB07,Beta blocking agents and calcium channel blockers,C07FB,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07F,BETA BLOCKING AGENTS,C07,CARDIOVASCULAR SYSTEM,C,DB00612
P01BF03,"Artemisinin and derivatives, combinations",P01BF,ANTIMALARIALS,P01B,ANTIPROTOZOALS,P01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00613
P01BA06,Aminoquinolines,P01BA,ANTIMALARIALS,P01B,ANTIPROTOZOALS,P01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00613
G01AX06,Other antiinfectives and antiseptics,G01AX,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00614
J04AB04,Antibiotics,J04AB,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04A,ANTIMYCOBACTERIALS,J04,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00615
N03AC01,Oxazolidine derivatives,N03AC,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03,NERVOUS SYSTEM,N,DB00617
J01AA01,Tetracyclines,J01AA,TETRACYCLINES,J01A,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00618
D06AA01,Tetracycline and derivatives,D06AA,ANTIBIOTICS FOR TOPICAL USE,D06A,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06,DERMATOLOGICALS,D,DB00618
J01AA20,Tetracyclines,J01AA,TETRACYCLINES,J01A,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00618
L01XE01,Protein kinase inhibitors,L01XE,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00619
D07AB09,"Corticosteroids, moderately potent (group II)",D07AB,"CORTICOSTEROIDS, PLAIN",D07A,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00620
R01AD11,Corticosteroids,R01AD,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01A,NASAL PREPARATIONS,R01,RESPIRATORY SYSTEM,R,DB00620
R03BA06,Glucocorticoids,R03BA,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03B,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00620
D07BB03,"Corticosteroids, moderately potent, combinations with antiseptics",D07BB,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",D07B,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00620
A01AC01,Corticosteroids for local oral treatment,A01AC,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A,DB00620
H02AB08,Glucocorticoids,H02AB,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02A,CORTICOSTEROIDS FOR SYSTEMIC USE,H02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00620
D07CB01,"Corticosteroids, moderately potent, combinations with antibiotics",D07CB,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",D07C,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00620
S01BA05,"Corticosteroids, plain",S01BA,ANTIINFLAMMATORY AGENTS,S01B,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00620
D07XB02,"Corticosteroids, moderately potent, other combinations",D07XB,"CORTICOSTEROIDS, OTHER COMBINATIONS",D07X,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00620
S02CA04,Corticosteroids and antiinfectives in combination,S02CA,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S02C,OTOLOGICALS,S02,SENSORY ORGANS,S,DB00620
C05AA12,Corticosteroids,C05AA,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05A,VASOPROTECTIVES,C05,CARDIOVASCULAR SYSTEM,C,DB00620
A14AA08,Androstan derivatives,A14AA,ANABOLIC STEROIDS,A14A,ANABOLIC AGENTS FOR SYSTEMIC USE,A14,ALIMENTARY TRACT AND METABOLISM,A,DB00621
C08CA04,Dihydropyridine derivatives,C08CA,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08C,CALCIUM CHANNEL BLOCKERS,C08,CARDIOVASCULAR SYSTEM,C,DB00622
N05AB02,Phenothiazines with piperazine structure,N05AB,ANTIPSYCHOTICS,N05A,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00623
G03BA03,3-oxoandrosten (4) derivatives,G03BA,ANDROGENS,G03B,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00624
G03EA02,Androgens and estrogens,G03EA,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,G03E,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00624
J05AR06,"Antivirals for treatment of HIV infections, combinations",J05AR,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00625
J05AG03,Non-nucleoside reverse transcriptase inhibitors,J05AG,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00625
J05AR11,"Antivirals for treatment of HIV infections, combinations",J05AR,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00625
J01XX10,Other antibacterials,J01XX,OTHER ANTIBACTERIALS,J01X,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00626
D06AX05,Other antibiotics for topical use,D06AX,ANTIBIOTICS FOR TOPICAL USE,D06A,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06,DERMATOLOGICALS,D,DB00626
R02AB04,Antibiotics,R02AB,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02,RESPIRATORY SYSTEM,R,DB00626
C10AD02,Nicotinic acid and derivatives,C10AD,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00627
C10AD52,Nicotinic acid and derivatives,C10AD,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00627
C10BA01,HMG CoA reductase inhibitors in combination with other lipid modifying agents,C10BA,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00627
C04AC01,Nicotinic acid and derivatives,C04AC,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04,CARDIOVASCULAR SYSTEM,C,DB00627
M05BB03,"Bisphosphonates, combinations",M05BB,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05B,DRUGS FOR TREATMENT OF BONE DISEASES,M05,MUSCULO-SKELETAL SYSTEM,M,DB00630
M05BA04,Bisphosphonates,M05BA,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05B,DRUGS FOR TREATMENT OF BONE DISEASES,M05,MUSCULO-SKELETAL SYSTEM,M,DB00630
M05BB06,"Bisphosphonates, combinations",M05BB,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05B,DRUGS FOR TREATMENT OF BONE DISEASES,M05,MUSCULO-SKELETAL SYSTEM,M,DB00630
M05BB05,"Bisphosphonates, combinations",M05BB,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05B,DRUGS FOR TREATMENT OF BONE DISEASES,M05,MUSCULO-SKELETAL SYSTEM,M,DB00630
L01BB06,Purine analogues,L01BB,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00631
D06BB11,Antivirals,D06BB,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06B,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06,DERMATOLOGICALS,D,DB00632
N05CM18,Other hypnotics and sedatives,N05CM,HYPNOTICS AND SEDATIVES,N05C,PSYCHOLEPTICS,N05,NERVOUS SYSTEM,N,DB00633
D10AF06,Antiinfectives for treatment of acne,D10AF,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10A,ANTI-ACNE PREPARATIONS,D10,DERMATOLOGICALS,D,DB00634
S01AB04,Sulfonamides,S01AB,ANTIINFECTIVES,S01A,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00634
G01AE10,Sulfonamides,G01AE,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00634
A07EA03,Corticosteroids acting locally,A07EA,INTESTINAL ANTIINFLAMMATORY AGENTS,A07E,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB00635
H02AB07,Glucocorticoids,H02AB,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02A,CORTICOSTEROIDS FOR SYSTEMIC USE,H02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00635
C10AB01,Fibrates,C10AB,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00636
R06AX11,Other antihistamines for systemic use,R06AX,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00637
V04CH01,Tests for renal function and ureteral injuries,V04CH,OTHER DIAGNOSTIC AGENTS,V04C,DIAGNOSTIC AGENTS,V04,VARIOUS,V,DB00638
G01AF20,Imidazole derivatives,G01AF,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00639
G01AF15,Imidazole derivatives,G01AF,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00639
C01EB10,Other cardiac preparations,C01EB,OTHER CARDIAC PREPARATIONS,C01E,CARDIAC THERAPY,C01,CARDIOVASCULAR SYSTEM,C,DB00640
A10BH51,Dipeptidyl peptidase 4 (DPP-4) inhibitors,A10BH,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10B,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00641
C10AA01,HMG CoA reductase inhibitors,C10AA,"LIPID MODIFYING AGENTS, PLAIN",C10A,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00641
C10BX04,"HMG CoA reductase inhibitors, other combinations",C10BX,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00641
C10BA02,HMG CoA reductase inhibitors in combination with other lipid modifying agents,C10BA,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00641
C10BX01,"HMG CoA reductase inhibitors, other combinations",C10BX,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00641
C10BA04,HMG CoA reductase inhibitors in combination with other lipid modifying agents,C10BA,"LIPID MODIFYING AGENTS, COMBINATIONS",C10B,LIPID MODIFYING AGENTS,C10,CARDIOVASCULAR SYSTEM,C,DB00641
L01BA04,Folic acid analogues,L01BA,ANTIMETABOLITES,L01B,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00642
P02CA51,Benzimidazole derivatives,P02CA,ANTINEMATODAL AGENTS,P02C,ANTHELMINTICS,P02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00643
P02CA01,Benzimidazole derivatives,P02CA,ANTINEMATODAL AGENTS,P02C,ANTHELMINTICS,P02,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P,DB00643
V04CM01,Tests for fertility disturbances,V04CM,OTHER DIAGNOSTIC AGENTS,V04C,DIAGNOSTIC AGENTS,V04,VARIOUS,V,DB00644
H01CA01,Gonadotropin-releasing hormones,H01CA,HYPOTHALAMIC HORMONES,H01C,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00644
N01BX02,Other local anesthetics,N01BX,"ANESTHETICS, LOCAL",N01B,ANESTHETICS,N01,NERVOUS SYSTEM,N,DB00645
R02AD04,"Anesthetics, local",R02AD,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02,RESPIRATORY SYSTEM,R,DB00645
D01AA01,Antibiotics,D01AA,ANTIFUNGALS FOR TOPICAL USE,D01A,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01,DERMATOLOGICALS,D,DB00646
G01AA01,Antibiotics,G01AA,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00646
A07AA02,Antibiotics,A07AA,INTESTINAL ANTIINFECTIVES,A07A,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07,ALIMENTARY TRACT AND METABOLISM,A,DB00646
G01AA51,Antibiotics,G01AA,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00646
N02AC04,Diphenylpropylamine derivatives,N02AC,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00647
N02AC54,Diphenylpropylamine derivatives,N02AC,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00647
N02AC74,Diphenylpropylamine derivatives,N02AC,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00647
L01XX23,Other antineoplastic agents,L01XX,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00648
J05AF04,Nucleoside and nucleotide reverse transcriptase inhibitors,J05AF,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00649
J05AR07,"Antivirals for treatment of HIV infections, combinations",J05AR,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00649
V03AF06,Detoxifying agents for antineoplastic treatment,V03AF,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00650
V03AF03,Detoxifying agents for antineoplastic treatment,V03AF,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00650
R03DA20,Xanthines,R03DA,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00651
R03DB01,Xanthines and adrenergics,R03DB,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00651
R03DA51,Xanthines,R03DA,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00651
R03DA01,Xanthines,R03DA,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00651
N02AD01,Benzomorphan derivatives,N02AD,OPIOIDS,N02A,ANALGESICS,N02,NERVOUS SYSTEM,N,DB00652
A06AD04,Osmotically acting laxatives,A06AD,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06,ALIMENTARY TRACT AND METABOLISM,A,DB00653
V04CC02,Tests for bile duct patency,V04CC,OTHER DIAGNOSTIC AGENTS,V04C,DIAGNOSTIC AGENTS,V04,VARIOUS,V,DB00653
D11AX05,Other dermatologicals,D11AX,OTHER DERMATOLOGICAL PREPARATIONS,D11A,OTHER DERMATOLOGICAL PREPARATIONS,D11,DERMATOLOGICALS,D,DB00653
B05XA05,Electrolyte solutions,B05XA,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B,DB00653
A12CC02,Magnesium,A12CC,OTHER MINERAL SUPPLEMENTS,A12C,MINERAL SUPPLEMENTS,A12,ALIMENTARY TRACT AND METABOLISM,A,DB00653
S01EE01,Prostaglandin analogues,S01EE,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01E,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00654
G03CC04,"Estrogens, combinations with other drugs",G03CC,ESTROGENS,G03C,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00655
G03CA07,"Natural and semisynthetic estrogens, plain",G03CA,ESTROGENS,G03C,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00655
N06AX05,Other antidepressants,N06AX,ANTIDEPRESSANTS,N06A,PSYCHOANALEPTICS,N06,NERVOUS SYSTEM,N,DB00656
C02BB01,Secondary and tertiary amines,C02BB,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",C02B,ANTIHYPERTENSIVES,C02,CARDIOVASCULAR SYSTEM,C,DB00657
V03AE02,Drugs for treatment of hyperkalemia and hyperphosphatemia,V03AE,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00658
N07BB03,Drugs used in alcohol dependence,N07BB,DRUGS USED IN ADDICTIVE DISORDERS,N07B,OTHER NERVOUS SYSTEM DRUGS,N07,NERVOUS SYSTEM,N,DB00659
C09BB10,ACE inhibitors and calcium channel blockers,C09BB,"ACE INHIBITORS, COMBINATIONS",C09B,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,CARDIOVASCULAR SYSTEM,C,DB00661
C08DA51,Phenylalkylamine derivatives,C08DA,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08D,CALCIUM CHANNEL BLOCKERS,C08,CARDIOVASCULAR SYSTEM,C,DB00661
C08DA01,Phenylalkylamine derivatives,C08DA,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08D,CALCIUM CHANNEL BLOCKERS,C08,CARDIOVASCULAR SYSTEM,C,DB00661
R06AA10,Aminoalkyl ethers,R06AA,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06,RESPIRATORY SYSTEM,R,DB00662
D07AB03,"Corticosteroids, moderately potent (group II)",D07AB,"CORTICOSTEROIDS, PLAIN",D07A,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00663
D07BB01,"Corticosteroids, moderately potent, combinations with antiseptics",D07BB,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",D07B,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00663
S02CA02,Corticosteroids and antiinfectives in combination,S02CA,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S02C,OTOLOGICALS,S02,SENSORY ORGANS,S,DB00663
D07CB05,"Corticosteroids, moderately potent, combinations with antibiotics",D07CB,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",D07C,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00663
D07XB01,"Corticosteroids, moderately potent, other combinations",D07XB,"CORTICOSTEROIDS, OTHER COMBINATIONS",D07X,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07,DERMATOLOGICALS,D,DB00663
G01AE10,Sulfonamides,G01AE,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01A,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00664
J01ED02,Long-acting sulfonamides,J01ED,SULFONAMIDES AND TRIMETHOPRIM,J01E,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00664
L02BB02,Anti-androgens,L02BB,HORMONE ANTAGONISTS AND RELATED AGENTS,L02B,ENDOCRINE THERAPY,L02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00665
H01CA02,Gonadotropin-releasing hormones,H01CA,HYPOTHALAMIC HORMONES,H01C,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00666
A01AD01,Other agents for local oral treatment,A01AD,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A,DB00668
R03AK01,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",R03AK,"ADRENERGICS, INHALANTS",R03A,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00668
B02BC09,Local hemostatics,B02BC,VITAMIN K AND OTHER HEMOSTATICS,B02B,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B,DB00668
