category,mesh-id,parent_key
Bronchodilator Agents,D001993,DB01064
Cardiac Stimulants Excl. Cardiac Glycosides,,DB01064
Cardiac Therapy,,DB01064
Cardiotonic Agents,D002316,DB01064
Cardiovascular Agents,D002317,DB01064
Catecholamines,D002395,DB01064
Catechols,D002396,DB01064
"Compounds used in a research, industrial, or household setting",D020313,DB01064
Drugs for Obstructive Airway Diseases,,DB01064
Ethanolamines,D004983,DB01064
Neurotransmitter Agents,D018377,DB01064
Non-selective Beta-adrenergic Agonists,,DB01064
Peripheral Nervous System Agents,D018373,DB01064
Phenols,D010636,DB01064
Protective Agents,D020011,DB01064
Respiratory System Agents,D019141,DB01064
Sympathomimetics,D013566,DB01064
Amines,D000588,DB01065
Antioxidants,D000975,DB01065
Biogenic Amines,D001679,DB01065
Biogenic Monoamines,D015306,DB01065
Central Nervous System Agents,D002491,DB01065
Central Nervous System Depressants,D002492,DB01065
"Compounds used in a research, industrial, or household setting",D020313,DB01065
Cytochrome P-450 CYP1A2 Substrates,,DB01065
Cytochrome P-450 CYP2C19 Substrates,,DB01065
Cytochrome P-450 CYP2C9 Substrates,,DB01065
Cytochrome P-450 Substrates,,DB01065
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01065
Hormones,D006728,DB01065
"Hormones, Hormone Substitutes, and Hormone Antagonists",D006730,DB01065
Hypnotics and Sedatives,D006993,DB01065
Indoles,D007211,DB01065
Melatonin Receptor Agonists,,DB01065
"Melatonin, agonists",,DB01065
"Melatonin, antagonists & inhibitors",,DB01065
Nervous System,D009420,DB01065
OAT3/SLC22A8 Inhibitors,,DB01065
Protective Agents,D020011,DB01065
Psycholeptics,,DB01065
Tryptamines,D014363,DB01065
Amides,D000577,DB01066
Anti-Bacterial Agents,D000900,DB01066
Anti-Infective Agents,D000890,DB01066
Antibacterials for Systemic Use,,DB01066
Antiinfectives for Systemic Use,,DB01066
beta-Lactams,D047090,DB01066
Cephalosporins,D002511,DB01066
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01066
Lactams,D007769,DB01066
Nephrotoxic agents,,DB01066
Sulfur Compounds,D013457,DB01066
Thiazines,D013843,DB01066
Third-Generation Cephalosporins,,DB01066
Alimentary Tract and Metabolism,,DB01067
Blood Glucose Lowering Agents,D007004,DB01067
BSEP/ABCB11 Substrates,,DB01067
Cytochrome P-450 CYP2C9 Substrates,,DB01067
Cytochrome P-450 CYP3A Substrates,,DB01067
Cytochrome P-450 Substrates,,DB01067
Drugs that are Mainly Renally Excreted,,DB01067
Drugs Used in Diabetes,,DB01067
Hypoglycemia-Associated Agents,,DB01067
Sulfones,D013450,DB01067
Sulfonylureas,D013453,DB01067
Sulfur Compounds,D013457,DB01067
UGT1A1 Substrates,,DB01067
Anticonvulsants,D000927,DB01068
Benzazepines,D001552,DB01068
Benzodiazepines and benzodiazepine derivatives,D001569,DB01068
Benzodiazepinones,D001570,DB01068
Central Nervous System Agents,D002491,DB01068
Central Nervous System Depressants,D002492,DB01068
Cytochrome P-450 CYP2E1 Inhibitors,D065691,DB01068
Cytochrome P-450 CYP2E1 Inhibitors (strength unknown),,DB01068
Cytochrome P-450 CYP3A Substrates,,DB01068
Cytochrome P-450 CYP3A4 Substrates,,DB01068
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01068
Cytochrome P-450 Substrates,,DB01068
Drugs that are Mainly Renally Excreted,,DB01068
GABA Agents,D018682,DB01068
GABA Modulators,D018757,DB01068
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01068
Muscle Relaxants,,DB01068
"Muscle Relaxants, Centrally Acting Agents",D009125,DB01068
Nervous System,D009420,DB01068
Acid Reducers,,DB01069
Agents producing tachycardia,,DB01069
Agents that reduce seizure threshold,,DB01069
Amines,D000588,DB01069
Anti-Allergic Agents,D018926,DB01069
Anticholinergic Agents,D018680,DB01069
Antidepressive Agents,D000928,DB01069
Antidotes,D000931,DB01069
Antihistamines for Systemic Use,,DB01069
Antihistamines for Topical Use,,DB01069
Antipruritics,D000982,DB01069
"Antipruritics, Incl. Antihistamines, Anesthetics, Etc.",,DB01069
Antipsychotic Agents,D014150,DB01069
Central Nervous System Depressants,D002492,DB01069
Cytochrome P-450 CYP2B6 Substrates,,DB01069
Cytochrome P-450 CYP2C9 Inhibitors,D065688,DB01069
Cytochrome P-450 CYP2C9 Inhibitors (strength unknown),,DB01069
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB01069
Cytochrome P-450 CYP2D6 Inhibitors (strength unknown),,DB01069
Cytochrome P-450 CYP2D6 Substrates,,DB01069
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01069
Cytochrome P-450 Substrates,,DB01069
Dermatologicals,D003879,DB01069
Dopamine Antagonists,D018492,DB01069
Dopamine D2 Receptor Antagonists,D065127,DB01069
Drugs causing inadvertant photosensitivity,,DB01069
Drugs that are Mainly Renally Excreted,,DB01069
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01069
Histamine Agents,D018494,DB01069
Histamine Antagonists,D006633,DB01069
Histamine H1 Antagonists,D006634,DB01069
Histamine H2 Antagonists,D006635,DB01069
Miscellaneous Anxiolytics Sedatives and Hypnotics,,DB01069
Muscarinic Antagonists,D018727,DB01069
Neurotoxic agents,,DB01069
Neurotransmitter Agents,D018377,DB01069
P-glycoprotein inhibitors,,DB01069
Phenothiazine Derivatives,,DB01069
Phenothiazines,D010640,DB01069
Photosensitizing Agents,D017319,DB01069
Potential QTc-Prolonging Agents,,DB01069
Propylamines,D011437,DB01069
QTc Prolonging Agents,,DB01069
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,D020230,DB01069
Serotonin Agents,D018490,DB01069
Serotonin Modulators,,DB01069
Sulfur Compounds,D013457,DB01069
Alimentary Tract and Metabolism,,DB01070
Bone Density Conservation Agents,D050071,DB01070
Cholestanes,D002776,DB01070
Cholestenes,D002782,DB01070
"Diet, Food, and Nutrition",D000066888,DB01070
Food,D005502,DB01070
Food and Beverages,D019602,DB01070
Fused-Ring Compounds,D000072473,DB01070
Growth Substances,D006133,DB01070
Lipids,D008055,DB01070
Membrane Lipids,D008563,DB01070
Micronutrients,D018977,DB01070
Physiological Phenomena,D010829,DB01070
Secosteroids,D012632,DB01070
Steroids,D013256,DB01070
Sterols,D013261,DB01070
Vitamin D and Analogues,D004100,DB01070
Vitamins,D014815,DB01070
Vitamins (Fat Soluble),,DB01070
Anti-Allergic Agents,D018926,DB01071
Antihistamines for Systemic Use,,DB01071
Bronchodilator Agents,D001993,DB01071
Cytochrome P-450 CYP2D6 Substrates,,DB01071
Cytochrome P-450 CYP3A Inhibitors,D065692,DB01071
Cytochrome P-450 CYP3A4 Inhibitors,D065692,DB01071
Cytochrome P-450 CYP3A4 Inhibitors (strength unknown),,DB01071
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01071
Cytochrome P-450 Substrates,,DB01071
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01071
Histamine Agents,D018494,DB01071
Histamine Antagonists,D006633,DB01071
Histamine H1 Antagonists,D006634,DB01071
Neurotransmitter Agents,D018377,DB01071
Phenothiazine Derivatives,,DB01071
Potential QTc-Prolonging Agents,,DB01071
QTc Prolonging Agents,,DB01071
Sulfur Compounds,D013457,DB01071
"Amino Acids, Peptides, and Proteins",D000602,DB01072
Anti-HIV Agents,D019380,DB01072
Anti-Infective Agents,D000890,DB01072
Anti-Retroviral Agents,D044966,DB01072
Antiinfectives for Systemic Use,,DB01072
Antiviral Agents,D000998,DB01072
Antivirals for Systemic Use,,DB01072
BSEP/ABCB11 Substrates,,DB01072
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB01072
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB01072
Cytochrome P-450 CYP2C8 Inhibitors,D065687,DB01072
Cytochrome P-450 CYP2C8 Inhibitors (weak),,DB01072
Cytochrome P-450 CYP2C9 Inhibitors,D065688,DB01072
Cytochrome P-450 CYP2C9 Inhibitors (strength unknown),,DB01072
Cytochrome P-450 CYP2C9 Substrates,,DB01072
Cytochrome P-450 CYP3A Inhibitors,D065692,DB01072
Cytochrome P-450 CYP3A Substrates,,DB01072
Cytochrome P-450 CYP3A4 Inhibitors,D065692,DB01072
Cytochrome P-450 CYP3A4 Inhibitors (strong),,DB01072
Cytochrome P-450 CYP3A4 Substrates,,DB01072
Cytochrome P-450 CYP3A4 Substrates (strength unknown),,DB01072
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01072
Cytochrome P-450 Substrates,,DB01072
Direct Acting Antivirals,,DB01072
Enzyme Inhibitors,D004791,DB01072
HIV Protease Inhibitors,D017320,DB01072
Hyperglycemia-Associated Agents,,DB01072
Nephrotoxic agents,,DB01072
OATP1B1/SLCO1B1 Inhibitors,,DB01072
OATP1B3 inhibitors,,DB01072
Oligopeptides,D009842,DB01072
P-glycoprotein inducers,,DB01072
P-glycoprotein inhibitors,,DB01072
P-glycoprotein substrates,,DB01072
Peptides,D010455,DB01072
Potential QTc-Prolonging Agents,,DB01072
Protease Inhibitors,D011480,DB01072
Pyridines,D011725,DB01072
QTc Prolonging Agents,,DB01072
UDP Glucuronosyltransferases Inhibitors,,DB01072
UGT1A1 Inhibitors,,DB01072
Adenine Nucleotides,D000227,DB01073
Antimetabolites,D000963,DB01073
Antineoplastic Agents,D000970,DB01073
Antineoplastic and Immunomodulating Agents,,DB01073
Arabinonucleosides,D001087,DB01073
Arabinonucleotides,D001088,DB01073
Carbohydrates,D002241,DB01073
Cardiotoxic antineoplastic agents,,DB01073
"DNA (Cytosine-5-)-Methyltransferases, antagonists & inhibitors",,DB01073
Enzyme Inhibitors,D004791,DB01073
Glycosides,D006027,DB01073
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01073
Immunologic Factors,D007155,DB01073
Immunosuppressive Agents,D007166,DB01073
Myeloablative Agonists,D019653,DB01073
Myelosuppressive Agents,,DB01073
Narrow Therapeutic Index Drugs,,DB01073
Noxae,D009676,DB01073
Nucleic Acid Synthesis Inhibitors,D019384,DB01073
"Nucleic Acids, Nucleotides, and Nucleosides",D009706,DB01073
Nucleoside Metabolic Inhibitor,,DB01073
Nucleosides,D009705,DB01073
Nucleotides,D009711,DB01073
Purine Analogues,,DB01073
Purine Nucleosides,D011684,DB01073
Purine Nucleotides,D011685,DB01073
Purines,D011687,DB01073
Ribonucleosides,D012263,DB01073
Ribonucleotides,D012265,DB01073
Toxic Actions,D004786,DB01073
Agents causing hyperkalemia,,DB01074
Antiarrhythmic agents,D000889,DB01074
Bradycardia-Causing Agents,,DB01074
Calcium Channel Blockers,D002121,DB01074
Calcium-Regulating Hormones and Agents,D000077264,DB01074
Cardiovascular Agents,D002317,DB01074
Cytochrome P-450 CYP2B6 Substrates,,DB01074
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB01074
Cytochrome P-450 CYP2D6 Inhibitors (moderate),,DB01074
Cytochrome P-450 CYP2D6 Substrates,,DB01074
Cytochrome P-450 CYP3A Substrates,,DB01074
Cytochrome P-450 CYP3A4 Substrates,,DB01074
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01074
Cytochrome P-450 Substrates,,DB01074
Membrane Transport Modulators,D049990,DB01074
Non-Selective Calcium Channel Blockers,,DB01074
Piperidines,D010880,DB01074
Potential QTc-Prolonging Agents,,DB01074
QTc Prolonging Agents,,DB01074
Vasodilating Agents,D014665,DB01074
Agents producing tachycardia,,DB01075
Amines,D000588,DB01075
Aminoalkyl Ethers,,DB01075
Anesthetics,D000777,DB01075
"Anesthetics, Local",D000779,DB01075
Anti-Allergic Agents,D018926,DB01075
Anticholinergic Agents,D018680,DB01075
Antiemetics,D000932,DB01075
Antihistamines for Systemic Use,,DB01075
Antihistamines for Topical Use,,DB01075
"Antipruritics, Incl. Antihistamines, Anesthetics, Etc.",,DB01075
Benzene Derivatives,D001555,DB01075
Benzhydryl Compounds,D001559,DB01075
Central Nervous System Agents,D002491,DB01075
Central Nervous System Depressants,D002492,DB01075
Cytochrome P-450 CYP2C19 Substrates,,DB01075
Cytochrome P-450 CYP2C9 Substrates,,DB01075
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB01075
Cytochrome P-450 CYP2D6 Inhibitors (strength unknown),,DB01075
Cytochrome P-450 CYP2D6 Substrates,,DB01075
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01075
Cytochrome P-450 Substrates,,DB01075
Dermatologicals,D003879,DB01075
Drugs causing inadvertant photosensitivity,,DB01075
Ethanolamine Derivatives,,DB01075
Ethylamines,D005021,DB01075
First Generation Antihistamines,,DB01075
Gastrointestinal Agents,D005765,DB01075
Histamine Agents,D018494,DB01075
Histamine Antagonists,D006633,DB01075
Histamine H1 Antagonists,D006634,DB01075
Hypnotics and Sedatives,D006993,DB01075
Muscarinic Antagonists,D018727,DB01075
OCT2 Inhibitors,,DB01075
Photosensitizing Agents,D017319,DB01075
Potential QTc-Prolonging Agents,,DB01075
QTc Prolonging Agents,,DB01075
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,D020230,DB01075
"Sleep Aids, Pharmaceutical",D000068776,DB01075
Agents Causing Muscle Toxicity,,DB01076
Anticholesteremic Agents,D000924,DB01076
BSEP/ABCB11 Substrates,,DB01076
Cytochrome P-450 CYP2B6 Inducers,D065695,DB01076
Cytochrome P-450 CYP2B6 Inducers (strength unknown),,DB01076
Cytochrome P-450 CYP2C19 Inhibitors,D065689,DB01076
Cytochrome P-450 CYP2C19 inhibitors (strength unknown),,DB01076
Cytochrome P-450 CYP2C8 Inhibitors,D065687,DB01076
Cytochrome P-450 CYP2C8 Inhibitors (strength unknown),,DB01076
Cytochrome P-450 CYP2C8 Substrates,,DB01076
Cytochrome P-450 CYP2C9 Inhibitors,D065688,DB01076
Cytochrome P-450 CYP2C9 Inhibitors (strength unknown),,DB01076
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB01076
Cytochrome P-450 CYP2D6 Inhibitors (strength unknown),,DB01076
Cytochrome P-450 CYP3A Inducers,D065701,DB01076
Cytochrome P-450 CYP3A Substrates,,DB01076
Cytochrome P-450 CYP3A4 Substrates,,DB01076
Cytochrome P-450 CYP3A5 Substrates,,DB01076
Cytochrome P-450 CYP3A7 Substrates,,DB01076
Cytochrome P-450 Enzyme Inducers,D065693,DB01076
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01076
Cytochrome P-450 Substrates,,DB01076
Enzyme Inhibitors,D004791,DB01076
Fatty Acids,D005227,DB01076
Heptanoic Acids,D006538,DB01076
Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,DB01076
Hypolipidemic Agents,D000960,DB01076
Hypolipidemic Agents Indicated for Hyperlipidemia,,DB01076
Lipid Modifying Agents,,DB01076
"Lipid Modifying Agents, Plain",,DB01076
Lipid Regulating Agents,D057847,DB01076
Lipids,D008055,DB01076
OATP1B1/SLCO1B1 Inhibitors,,DB01076
OATP1B1/SLCO1B1 Substrates,,DB01076
OATP1B3 substrates,,DB01076
P-glycoprotein inhibitors,,DB01076
P-glycoprotein substrates,,DB01076
Toxic Actions,D004786,DB01076
UGT1A1 Substrates,,DB01076
UGT1A3 substrates,,DB01076
Bisphosphonates,D004164,DB01077
Bone Density Conservation Agents,D050071,DB01077
Drugs Affecting Bone Structure and Mineralization,,DB01077
Drugs for Treatment of Bone Diseases,,DB01077
Musculo-Skeletal System,,DB01077
Organophosphonates,D063065,DB01077
Organophosphorus Compounds,D009943,DB01077
Antiarrhythmic agents,D000889,DB01078
Carbohydrates,D002241,DB01078
Cardanolides,D002297,DB01078
Cardenolides,D002298,DB01078
Cardiac Glycosides,D002301,DB01078
Cardiac Therapy,,DB01078
Cardiotonic Agents,D002316,DB01078
Cardiovascular Agents,D002317,DB01078
"Compounds used in a research, industrial, or household setting",D020313,DB01078
Digitalis Glycosides,D004071,DB01078
Enzyme Inhibitors,D004791,DB01078
Fused-Ring Compounds,D000072473,DB01078
Glycosides,D006027,DB01078
Lanatosides,D007799,DB01078
Protective Agents,D020011,DB01078
Steroids,D013256,DB01078
Alimentary Tract and Metabolism,,DB01079
BCRP/ABCG2 Substrates,,DB01079
Cytochrome P-450 CYP1A2 Inhibitors,D065609,DB01079
Cytochrome P-450 CYP1A2 Inhibitors (strength unknown),,DB01079
Cytochrome P-450 CYP2C8 Inhibitors,D065687,DB01079
Cytochrome P-450 CYP2C8 Inhibitors (weak),,DB01079
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB01079
Cytochrome P-450 CYP2D6 Inhibitors (moderate),,DB01079
Cytochrome P-450 CYP2D6 Substrates,,DB01079
Cytochrome P-450 CYP2E1 Inhibitors,D065691,DB01079
Cytochrome P-450 CYP2E1 Inhibitors (weak),,DB01079
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01079
Cytochrome P-450 Substrates,,DB01079
Drugs for Constipation,,DB01079
Gastrointestinal Agents,D005765,DB01079
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01079
Laxatives,D054368,DB01079
P-glycoprotein substrates,,DB01079
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,D020230,DB01079
"Acids, Acyclic",D000144,DB01080
Aminobutyrates,D000613,DB01080
Anti-epileptic Agent,,DB01080
Anticonvulsants,D000927,DB01080
Butyrates,D002087,DB01080
Central Nervous System Agents,D002491,DB01080
Central Nervous System Depressants,D002492,DB01080
Cytochrome P-450 CYP2C9 Inducers,D065698,DB01080
Cytochrome P-450 CYP2C9 Inducers (strength unknown),,DB01080
Cytochrome P-450 Enzyme Inducers,D065693,DB01080
Enzyme Inhibitors,D004791,DB01080
Fatty Acid Derivatives,,DB01080
Fatty Acids,D005227,DB01080
GABA Agents,D018682,DB01080
Lipids,D008055,DB01080
Miscellaneous Anticonvulsants,,DB01080
Nervous System,D009420,DB01080
Neurotransmitter Agents,D018377,DB01080
Alimentary Tract and Metabolism,,DB01081
Analgesics,D000700,DB01081
Antidiarrheals,D000930,DB01081
"Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",,DB01081
Antipropulsives,,DB01081
Central Nervous System Agents,D002491,DB01081
Central Nervous System Depressants,D002492,DB01081
Gastrointestinal Agents,D005765,DB01081
Isonipecotic Acids,D007540,DB01081
Opioids,D000701,DB01081
Peripheral Nervous System Agents,D018373,DB01081
Piperidines,D010880,DB01081
Sensory System Agents,D018689,DB01081
Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome,D020230,DB01081
Agents that produce neuromuscular block (indirect),,DB01082
Alimentary Tract and Metabolism,,DB01082
Aminoglycoside Antibacterials,D000617,DB01082
Anti-Bacterial Agents,D000900,DB01082
Anti-Infective Agents,D000890,DB01082
Antibacterials for Systemic Use,,DB01082
"Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents",,DB01082
Antiinfectives for Systemic Use,,DB01082
Antimycobacterials,,DB01082
Carbohydrates,D002241,DB01082
Drugs for Treatment of Tuberculosis,,DB01082
Drugs that are Mainly Renally Excreted,,DB01082
Drugs that are Mainly Renally Excreted with Narrow Therapeutic Index,,DB01082
Enzyme Inhibitors,D004791,DB01082
Glycosides,D006027,DB01082
Intestinal Antiinfectives,,DB01082
Narrow Therapeutic Index Drugs,,DB01082
Nephrotoxic agents,,DB01082
OAT1/SLC22A6 inhibitors,,DB01082
Protein Synthesis Inhibitors,D011500,DB01082
Streptomycins,,DB01082
Alimentary Tract and Metabolism,,DB01083
Anti-Obesity Agents,D019440,DB01083
"Antiobesity Preparations, Excl. Diet Products",,DB01083
Cytochrome P-450 CYP3A Inducers,D065701,DB01083
Cytochrome P-450 CYP3A4 Inducers,D065701,DB01083
Cytochrome P-450 CYP3A4 Inducers (strength unknown),,DB01083
Cytochrome P-450 Enzyme Inducers,D065693,DB01083
Enzyme Inhibitors,D004791,DB01083
Intestinal Lipase Inhibitor,,DB01083
Lactones,D007783,DB01083
Lipase Inhibitors,,DB01083
Lipid Regulating Agents,D057847,DB01083
Miscellaneous GI Drugs,,DB01083
Peripherally Acting Antiobesity Products,,DB01083
Anti-Allergic Agents,D018926,DB01084
Decongestants and Antiallergics,,DB01084
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01084
Histamine Agents,D018494,DB01084
Histamine Antagonists,D006633,DB01084
Histamine H1 Antagonists,D006634,DB01084
Histamine H1 Inhibitors,,DB01084
Moderate Risk QTc-Prolonging Agents,,DB01084
Neurotransmitter Agents,D018377,DB01084
Ophthalmologicals,,DB01084
QTc Prolonging Agents,,DB01084
Sensory Organs,,DB01084
Alkaloids,D000470,DB01085
Antiglaucoma Preparations and Miotics,,DB01085
Autonomic Agents,D001337,DB01085
Cholinergic Agents,D018678,DB01085
Cholinergic Agonists,D018679,DB01085
Cholinergic Receptor Agonist,,DB01085
Cytochrome P-450 CYP2A6 Inhibitors,,DB01085
Cytochrome P-450 CYP2A6 Inhibitors (strong),,DB01085
Cytochrome P-450 CYP3A Inhibitors,D065692,DB01085
Cytochrome P-450 CYP3A4 Inhibitors,D065692,DB01085
Cytochrome P-450 CYP3A4 Inhibitors (strength unknown),,DB01085
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01085
Miotics,D008916,DB01085
Muscarinic Agonists,D018721,DB01085
Nervous System,D009420,DB01085
Neurotransmitter Agents,D018377,DB01085
Ophthalmologicals,,DB01085
Parasympathomemetic (Cholinergic) Agents,,DB01085
Parasympathomimetics,D010277,DB01085
Peripheral Nervous System Agents,D018373,DB01085
Sensory Organs,,DB01085
"Acids, Carbocyclic",D000146,DB01086
Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use,,DB01086
Aminobenzoates,D062365,DB01086
Anesthetics,D000777,DB01086
Anesthetics for Topical Use,,DB01086
"Anesthetics, Local",D000779,DB01086
Antipruritics and Local Anesthetics,,DB01086
"Antipruritics, Incl. Antihistamines, Anesthetics, Etc.",,DB01086
Benzene Derivatives,D001555,DB01086
Benzoates,D001565,DB01086
Cell-mediated Immunity,,DB01086
Central Nervous System Agents,D002491,DB01086
Dermatologicals,D003879,DB01086
Esters of Aminobenzoic Acid,,DB01086
Increased Histamine Release,,DB01086
Methemoglobinemia Associated Agents,,DB01086
Nervous System,D009420,DB01086
P-glycoprotein inhibitors,,DB01086
para-Aminobenzoates,D062366,DB01086
Peripheral Nervous System Agents,D018373,DB01086
Sensory System Agents,D018689,DB01086
Standardized Chemical Allergen,,DB01086
Throat Preparations,,DB01086
Vasoprotectives,,DB01086
Aminoquinolines,D000634,DB01087
Anti-Infective Agents,D000890,DB01087
Antibiotics for Pneumocystis Pneumonia,,DB01087
Antimalarials,D000962,DB01087
Antiparasitic Agents,D000977,DB01087
"Antiparasitic Products, Insecticides and Repellents",,DB01087
Antiprotozoals,D000981,DB01087
Cytochrome P-450 CYP1A2 Inducers,D065694,DB01087
Cytochrome P-450 CYP1A2 Inducers (strength unknown),,DB01087
Cytochrome P-450 CYP1A2 Substrates,,DB01087
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB01087
Cytochrome P-450 CYP2D6 Inhibitors (moderate),,DB01087
Cytochrome P-450 CYP2D6 Inhibitors (weak),,DB01087
Cytochrome P-450 CYP3A Inhibitors,D065692,DB01087
Cytochrome P-450 CYP3A Substrates,,DB01087
Cytochrome P-450 CYP3A4 Inhibitors,D065692,DB01087
Cytochrome P-450 CYP3A4 Inhibitors (moderate),,DB01087
Cytochrome P-450 CYP3A4 Substrates,,DB01087
Cytochrome P-450 Enzyme Inducers,D065693,DB01087
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01087
Cytochrome P-450 Substrates,,DB01087
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01087
Methemoglobinemia Associated Agents,,DB01087
Moderate Risk QTc-Prolonging Agents,,DB01087
P-glycoprotein inhibitors,,DB01087
QTc Prolonging Agents,,DB01087
Quinolines,D011804,DB01087
Agents Causing Muscle Toxicity,,DB01088
Anticoagulants,D000925,DB01088
Antiplatelet agents,D010975,DB01088
Autacoids,D012898,DB01088
Biological Factors,D001685,DB01088
Blood and Blood Forming Organs,,DB01088
Cardiovascular Agents,D002317,DB01088
Eicosanoids,D015777,DB01088
Fatty Acids,D005227,DB01088
"Fatty Acids, Unsaturated",D005231,DB01088
Fibrinolytic Agents,D005343,DB01088
Hematologic Agents,D006401,DB01088
Hypotensive Agents,,DB01088
Inflammation Mediators,D018836,DB01088
Lipids,D008055,DB01088
Platelet Aggregation Inhibitors Excl. Heparin,,DB01088
Prostacyclin Analogues,,DB01088
Prostaglandins,D011453,DB01088
"Prostaglandins, Synthetic",D011465,DB01088
Vasodilating Agents,D014665,DB01088
Alkaloids,D000470,DB01089
"Antiadrenergic Agents, Centrally Acting",,DB01089
Antihypertensive Agents,D000959,DB01089
Catecholamine-depleting Sympatholytic,,DB01089
Decreased Sympathetic Activity,,DB01089
"Heterocyclic Compounds, Fused-Ring",D000072471,DB01089
Indole Alkaloids,D026121,DB01089
Indoles,D007211,DB01089
Secologanin Tryptamine Alkaloids,D046948,DB01089
Anticholinergic Agents,D018680,DB01090
Antihypertensive Agents,D000959,DB01090
Autonomic Agents,D001337,DB01090
Cardiovascular Agents,D002317,DB01090
Cholinergic Agents,D018678,DB01090
Ganglion Blockers,D005730,DB01090
Neurotransmitter Agents,D018377,DB01090
Nicotinic Antagonists,D018733,DB01090
Peripheral Nervous System Agents,D018373,DB01090
Pyrrolidines,D011759,DB01090
Amines,D000588,DB01091
Anti-Infective Agents,D000890,DB01091
Antifungal Agents,D000935,DB01091
Antifungals for Dermatological Use,,DB01091
Antifungals for Topical Use,,DB01091
Benzene Derivatives,D001555,DB01091
Benzyl Compounds,D001593,DB01091
Benzylamine Antifungal,,DB01091
Benzylamines,D001596,DB01091
Dermatologicals,D003879,DB01091
Carbohydrates,D002241,DB01092
Cardanolides,D002297,DB01092
Cardenolides,D002298,DB01092
Cardiac Glycosides,D002301,DB01092
Cardiac Therapy,,DB01092
Cardiotonic Agents,D002316,DB01092
Cardiovascular Agents,D002317,DB01092
"Compounds used in a research, industrial, or household setting",D020313,DB01092
Enzyme Inhibitors,D004791,DB01092
Fused-Ring Compounds,D000072473,DB01092
Glycosides,D006027,DB01092
OAT3/SLC22A8 Inhibitors,,DB01092
OATP1B1/SLCO1B1 Inhibitors,,DB01092
OATP1B1/SLCO1B1 Substrates,,DB01092
OATP1B3 substrates,,DB01092
Protective Agents,D020011,DB01092
Steroids,D013256,DB01092
Strophanthins,D013328,DB01092
Strophanthus Glycosides,,DB01092
Antioxidants,D000975,DB01093
"Compounds used in a research, industrial, or household setting",D020313,DB01093
Cryoprotective Agents,D003451,DB01093
Cytochrome P-450 CYP2C19 Inhibitors,D065689,DB01093
Cytochrome P-450 CYP2C19 inhibitors (strength unknown),,DB01093
Cytochrome P-450 CYP2D6 Inhibitors,D065690,DB01093
Cytochrome P-450 CYP2D6 Inhibitors (strength unknown),,DB01093
Cytochrome P-450 CYP3A Inhibitors,D065692,DB01093
Cytochrome P-450 CYP3A4 Inhibitors,D065692,DB01093
Cytochrome P-450 CYP3A4 Inhibitors (strength unknown),,DB01093
Cytochrome P-450 Enzyme Inhibitors,D065607,DB01093
Drugs that are Mainly Renally Excreted,,DB01093
Free Radical Scavengers,D016166,DB01093
Genito Urinary System and Sex Hormones,,DB01093
Miscellaneous Therapeutic Agents,,DB01093
Musculo-Skeletal System,,DB01093
Protective Agents,D020011,DB01093
Solvents,D012997,DB01093
Sulfoxides,D013454,DB01093
Sulfur Compounds,D013457,DB01093
Topical Products for Joint and Muscular Pain,,DB01093
Urologicals,,DB01093
BCRP/ABCG2 Inhibitors,,DB01094
Benzopyrans,D001578,DB01094
Chromones,D002867,DB01094
Cytochrome P-450 CYP1A2 Substrates,,DB01094
Cytochrome P-450 Substrates,,DB01094
Flavanones,D044950,DB01094
