Organisation Name,Dept,Service Cat Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 02/07/2015,�5.81,DAL0262956,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 16/07/2015,�1.02,DAL0263335,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 02/07/2015,�5.46,DAL0262956,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 02/07/2015,�0.90,DAL0262956,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 30/07/2015,�2.70,DAL0263678,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 30/07/2015,�296.02,DAL0263678,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 16/07/2015,�543.55,DAL0263335,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 02/07/2015,"�1,091.19",DAL0262956,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 02/07/2015,�1.65,DAL0262956,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 30/07/2015,�4.20,DAL0263678,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 16/07/2015,�5.91,DAL0263335,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 16/07/2015,�0.90,DAL0263335,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 30/07/2015,�105.19,DAL0263678,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 02/07/2015,�345.46,DAL0262956,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 16/07/2015,�489.53,DAL0263335,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 23/07/2015,�298.25,DAL0263548,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,ROYAL MAIL GROUP LIMITED,A0002281, 30/07/2015,�1.43,DAL0263678,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Telephones : Direct,REMGUARD LTD,A0002338, 09/07/2015,�140.00,OPS0263063,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 16/07/2015,"�2,200.00",OPS0263286,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,STANLEY BROTHERS (TIPPERS) LTD,A0002422, 02/07/2015,�120.00,OPS0262921,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Veterinary Fees,STANLEY HOUSE VETERINARY GROUP,A0002423, 16/07/2015,�12.50,OPS0263206,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Veterinary Fees,STANLEY HOUSE VETERINARY GROUP,A0002423, 16/07/2015,�34.45,OPS0263207,No,N/A,N,n/A,
Pendle Borough Council,Directorate,Supplies and Services,Printing & Stationery,CITRUS OFFICE SOLUTIONS,A0002441, 16/07/2015,�14.99,MAN0263260,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Reference Books Acts,SHELTER,A0002511, 23/07/2015,�67.00,AAS0263531,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 16/07/2015,�8.00,PCO0263342,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 16/07/2015,�35.00,PCO0263342,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,SPALDINGS (UK) LTD,A0002537, 16/07/2015,�80.00,PCO0263343,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Support Services,Bank Charges,G4S CASH SOLUTIONS (UK) LIMITED,A0002616, 23/07/2015,�233.20,AAS0263533,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627, 30/07/2015,�80.00,EST0263670,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627, 30/07/2015,�270.00,EST0263670,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627, 16/07/2015,�120.00,PCO0263290,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627, 16/07/2015,�480.00,PCO0263290,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 23/07/2015,�140.00,HED0263562,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 23/07/2015,�60.00,HED0263577,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 23/07/2015,�155.00,HED0263592,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 23/07/2015,�300.00,HED0263577,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,T & F STEEL DESIGNS LTD,A0002627, 23/07/2015,�480.00,HED0263592,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,T & F STEEL DESIGNS LTD,A0002627, 30/07/2015,�136.00,PCO0263624,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,T & F STEEL DESIGNS LTD,A0002627, 16/07/2015,�46.66,PCO0263273,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,T & F STEEL DESIGNS LTD,A0002627, 16/07/2015,�46.66,PCO0263273,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,T & F STEEL DESIGNS LTD,A0002627, 16/07/2015,�46.68,PCO0263273,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,T & F STEEL DESIGNS LTD,A0002627, 30/07/2015,�112.00,PCO0263625,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,T & F STEEL DESIGNS LTD,A0002627, 16/07/2015,�56.00,PCO0263274,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Consultants Fees,LEXIS NEXIS,A0002634, 16/07/2015,�360.45,HED0263361,No,N/A,N,n/A,
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,JOHNSONS TEXICARE LTD,A0002665, 09/07/2015,�71.60,ENV0263185,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,TRAVIS PERKINS TRADING CO LTD,A0002709, 02/07/2015,�29.30,PCO0262937,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,TRAVIS PERKINS TRADING CO LTD,A0002709, 02/07/2015,�55.89,PCO0262936,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,TRAVIS PERKINS TRADING CO LTD,A0002709, 30/07/2015,�123.60,PCO0263617,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,TEXT STYLES UK LIMITED,A0002725, 30/07/2015,�480.00,HED0263650,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,TRISTAR PRINTERS LTD,A0002731, 16/07/2015,�138.75,PCO0263192,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,YORKSHIRE WATER,A0002808, 23/07/2015,�23.52,EST0263602,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,TOWNSON BROS,A0005683, 23/07/2015,"�1,865.00",PCO0263456,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 23/07/2015,�128.00,EST0263559,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 23/07/2015,�161.59,EST0263559,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 23/07/2015,�30.00,EST0263561,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 23/07/2015,�45.00,EST0263561,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 23/07/2015,�118.00,EST0263557,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,FAST GLASS LIMITED,A0005903, 23/07/2015,�180.00,EST0263557,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,FAST GLASS LIMITED,A0005903, 30/07/2015,�155.00,HED0263728,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,MASTERCLEAN 96 LIMITED,A0006178, 09/07/2015,�30.00,EST0263168,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Indirect Employee Expenses,Staff Refreshments,VENDA VALET (MACHINES) LTD,A0009649, 16/07/2015,�70.00,EST0263384,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Indirect Employee Expenses,Staff Refreshments,VENDA VALET (MACHINES) LTD,A0009649, 02/07/2015,�216.67,EST0263023,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Indirect Employee Expenses,Staff Refreshments,VENDA VALET (MACHINES) LTD,A0009649, 30/07/2015,�216.67,EST0263677,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,POLICE & CRIME COMMISSIONER FOR LANCASHIRE,A0009816, 09/07/2015,"�16,500.00",COR0263156,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Electricity,LHT ENTERPRISES LIMITED,A0010288, 16/07/2015,�87.01,PCO0263197,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,BRIAN SUTCLIFFE PACKAGING LTD,A0010895, 09/07/2015,�308.40,REG0263245,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,CPC PROP & GARDENING SERV LTD,A0011770, 30/07/2015,�110.00,HED0263727,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CPC PROP & GARDENING SERV LTD,A0011770, 23/07/2015,"�1,034.73",OPS0263499,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Premises Related Expense,Rents,PENDLE LEISURE LTD,A0012961, 23/07/2015,�309.16,DAL0263566,No,N/A,N,n/A,
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,PENDLE LEISURE LTD,A0012961, 30/07/2015,�225.00,PER0263685,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,PENDLE LEISURE LTD,A0012961, 30/07/2015,�167.71,DAL0263720,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,"-�2,338.55",DAL4004672,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,�827.63,DAL0263333,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,"�1,510.92",DAL0263332,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,"�2,338.55",DAL0263331,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,"-�2,167.92",DAL4004672,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,-�600.00,DAL4004672,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,�600.00,DAL0263331,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,�600.00,DAL0263334,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,"�2,167.92",DAL0263331,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,PENDLE LEISURE LTD,A0012961, 16/07/2015,"�2,167.92",DAL0263334,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Supplies and Services,Subscriptions & Donations,PENDLE LEISURE LTD,A0012961, 02/07/2015,"�1,125.00",AAS0263038,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,PENDLE LEISURE LTD,A0012961, 16/07/2015,�25.00,REG0263420,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 30/07/2015,�18.00,PCO0263680,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 30/07/2015,�90.00,PCO0263680,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�100.00,PCO0263055,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�188.00,PCO0263055,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�8.00,PCO0263056,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�75.00,PCO0263056,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�18.00,PCO0263106,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�125.00,PCO0263106,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�18.00,PCO0263107,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,BROWNS ENGINEERING SERVICES,A0012980, 23/07/2015,�18.00,PCO0263473,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,BROWNS ENGINEERING SERVICES,A0012980, 09/07/2015,�75.00,PCO0263107,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,BROWNS ENGINEERING SERVICES,A0012980, 23/07/2015,�150.00,PCO0263473,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANDSCAPE ENGINEERING LTD,A0013135, 02/07/2015,"�1,490.00",PCO0262927,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANDSCAPE ENGINEERING LTD,A0013135, 02/07/2015,"�2,000.00",PCO0262927,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANDSCAPE ENGINEERING LTD,A0013135, 02/07/2015,�500.00,PCO0262927,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANDSCAPE ENGINEERING LTD,A0013135, 02/07/2015,�380.00,PCO0262924,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,WM SMITH & SONS (BARNARD CASTLE),A0013824, 09/07/2015,�601.35,HED0263240,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,WM SMITH & SONS (BARNARD CASTLE),A0013824, 23/07/2015,�660.71,HED0263570,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,WM SMITH & SONS (BARNARD CASTLE),A0013824, 09/07/2015,�134.63,HED0263240,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,WM SMITH & SONS (BARNARD CASTLE),A0013824, 23/07/2015,�154.47,HED0263573,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,WM SMITH & SONS (BARNARD CASTLE),A0013824, 09/07/2015,�75.22,HED0263240,No,N/A,N,n/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,SPAIN BUILDING & MAINTENANCE,A0015325, 30/07/2015,"�6,552.02",HMR0263732,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 09/07/2015,"�1,178.10",OPS0263123,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 23/07/2015,"�1,285.20",OPS0263503,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 30/07/2015,"�1,341.90",OPS0263652,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 02/07/2015,"�1,455.30",OPS0262984,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,ORCHARD RECYCLING SERVICE,A0015803, 16/07/2015,"�1,638.00",OPS0263315,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,ORCHARD RECYCLING SERVICE,A0015803, 23/07/2015,�150.00,OPS0263503,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Agency Costs,Fast Action Response,ORCHARD RECYCLING SERVICE,A0015803, 23/07/2015,�150.00,OPS0263503,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,,Other Grants & Contributions,ORCHARD RECYCLING SERVICE,A0015803, 09/07/2015,�30.00,OPS0263123,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 30/07/2015,-�333.00,HED0263649,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 09/07/2015,-�257.25,HED0263224,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 30/07/2015,-�75.00,HED0263665,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 30/07/2015,�75.00,HED0263665,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 09/07/2015,�257.25,HED0263224,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,LCC Levy (Admins Costs),JACOBS,A0016294, 30/07/2015,�333.00,HED0263649,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,EARBY COMMUNITY MINI-BUS,A0018380, 30/07/2015,�76.80,COR0263704,No,N/A,N,n/A,
Pendle Borough Council,Human Resources,,Payroll deductions,HEALTHSHIELD,A0018488, 16/07/2015,-�5.29,PER0263430,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,CROWN OIL LTD T/A COOKE FUELS,A0019019, 23/07/2015,�40.00,PCO0263190,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,CROWN OIL LTD T/A COOKE FUELS,A0019019, 23/07/2015,"�1,897.00",PCO0263190,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,WALTON SUMMIT TRUCK  CENTRE LTD,A0020983, 30/07/2015,�20.24,PCO0263619,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,WALTON SUMMIT TRUCK  CENTRE LTD,A0020983, 23/07/2015,�133.57,PCO0263478,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,WALTON SUMMIT TRUCK  CENTRE LTD,A0020983, 23/07/2015,�182.45,PCO0263454,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,ASPEN VALLEY KENNELS & CATTERY,A0022106, 16/07/2015,�724.00,OPS0263312,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,ASPEN VALLEY KENNELS & CATTERY,A0022106, 16/07/2015,�946.50,OPS0263311,No,N/A,N,n/A,
Pendle Borough Council,Operational Services,Supplies and Services,Miscellaneous : Other,ASPEN VALLEY KENNELS & CATTERY,A0022106, 16/07/2015,"�1,319.50",OPS0263310,No,N/A,N,n/A,
Pendle Borough Council,Economic Development & Tourism,Premises Related Expense,Grounds : R & M : Day to Day : Routine,ECOGEN,A0022890, 09/07/2015,"�2,240.00",REG0263136,No,N/A,N,n/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,E.ON,A0023073, 23/07/2015,�130.83,HED0263552,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,E.ON,A0023073, 23/07/2015,�12.32,AAS0263537,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,E.ON,A0023073, 23/07/2015,�17.46,EST0263568,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,E.ON,A0023073, 30/07/2015,�3.96,EST0263673,No,N/A,N,n/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,E.ON,A0023073, 16/07/2015,�5.40,EST0263380,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,E.ON,A0023073, 02/07/2015,�9.79,AAS0263034,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,NORTHSTAR CREATIVE DESIGN & ADVERTISING LLP,A0025031, 30/07/2015,�48.00,DAL0263709,No,N/A,N,n/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Other Expenses,NORTHSTAR CREATIVE DESIGN & ADVERTISING LLP,A0025031, 30/07/2015,�48.00,DAL0263710,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/07/2015,�244.87,AAS0263641,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/07/2015,-�175.00,AAS4004679,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/07/2015,�175.00,AAS0263642,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,RIPON FARM SERVICES,A0025562, 16/07/2015,�998.54,PCO0263281,No,N/A,N,n/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,RIPON FARM SERVICES,A0025562, 16/07/2015,"�2,067.10",PCO0263282,No,N/A,N,n/A,
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,GRADKO INTERNATIONAL LTD,A0025806, 30/07/2015,�4.65,ENV0263721,No,N/A,N,n/A,
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,GRADKO INTERNATIONAL LTD,A0025806, 30/07/2015,�216.55,ENV0263721,No,N/A,N,n/A,
Pendle Borough Council,Chief Executives Policy Unit,Premises Related Expense,Grounds : R & M : Day to Day : Routine,CONCEPT 4 CREATIVE,A0026524, 16/07/2015,�700.00,COR0263422,No,N/A,N,n/A,
Pendle Borough Council,Financial Services,Premises Related Expense,Service Charge,BARNFIELD INVESTMENT PROPERTIES LTD,A0026595, 16/07/2015,�709.75,AAS0263408,No,N/A,N,n/A,
