 Reference Number , Title of Agreement , Department Responsible , Description of Goods and/or Services , Supplier , Total Contract Value , Start Date ,End Date, Award Method , SME 
 701511I , Sunnyfield & Deansbrook Re-roofing , CSG , Sunnyfield & Deansbrook Re-roofing , M & J Group Construction & Roofing ,"£130,122", 14-Oct-2016 ,01/09/2017, ITQ , N/A 
 701521I , Installation & Implementation of , Commissioning Group , Open Library Technology , Bibliotheca Ltd ,"£31,879", 14-Apr-2016 ,01/07/2022, ITT , N/A 
 701522I , IT Technical Assurance , Assurance , IT Technical Assurance , Leidos Innovations UK ,"£164,716", 31-Oct-2016 ,31/03/2020, ITQ , N/A 
 701523I , Specialist Librarian Recruitment Agency , Adults and Communities , Specialist Librarian Recuitment Agency  , Sue Hill Recruitment & Services Ltd ,"£140,000", 01-Aug-2016 ,31/03/2018, ITQ , N/A 
 701526I , DOLS BIA 2016-19 , Children's Service , DOLS BIA 2016-19 , CLG Social Care Ltd ,"£30,000", 01-Apr-2016 ,31/03/2019, OJEU , N/A 
 701527I , DOLS BIA 2016-19 , Adults and Communities , DOLS BIA 2016-19 , Eduhez Ltd ,"£30,000", 01-Apr-2016 ,31/03/2019, OJEU , N/A 
 701528I , DOLS BIA 2016-19 , Adults and Communities , DOLS BIA 2016-19 , Empowering Social Work Ltd ,"£30,000", 01-Apr-2016 ,31/03/2019, OJEU , N/A 
 701529I , DOLS BIA 2016-19 , Children's Service , DOLS BIA 2016-19 , HCL Social Care Ltd ,"£105,000", 01-Apr-2016 ,31/03/2019, OJEU , N/A 
 701530I , DOLS BIA 2016-19 , Adults and Communities , DOLS BIA 2016-19 , Favore Didio Ltd ,"£20,000", 01-Apr-2016 ,31/03/2019, OJEU , N/A 
 701535I , DOLS BIA 16-19 , Adults and Communities ,  assessments to meet statutory requirements , Peaceable Habitation Ltd ,"£30,000", 01-Apr-2016 ,31/03/2019, OJEU , N/A 
 701536I , NASS SEN , CHildren's Service , NASS , Kerem School ,"£91,200", 24-Mar-2016 ,31/03/2019, Framework , N/A 
 701537I , Home From Hospital (AD) , Adults and Communities , umbrella agreement for neighbourhood services , Age UK Barnet ,"£113,400", 01-May-2016 ,30/04/2019, ITT , N/A 
 701538I , NASS SEN (Wilds Lodge School) , Children's Service , NASS , Wilds Lodge School ,"£270,000", 24-Mar-2016 ,31/07/2019, Framework , N/A 
 701540I , Lot 2: Perinatal Health Coaches , Children's Service , Families experiencing Dom Violence (CS) , Home Start Barnet ,"£96,506", 01-Apr-2016 ,31/03/2018, ITT , N/A 
 701541I , Lot 3: Domestic Violence and Abuse , Children's Service , Families experiencing Dom Violence (CS) , Home Start Barnet ,"£54,693", 01-Apr-2016 ,31/03/2018, ITT , N/A 
 701542I , NASS SEN (North London Grammar School) , Children's Service , SEN , North London Grammar School ,"£131,140", 01-Apr-2016 ,31/07/2019, Framework , N/A 
 701544I , LOT 4: Support Service for PVI Early , Children's Service , Stonegrove Childrens Centre , Barnet Pre-school Learning Alliance ,"£117,300", 01-Apr-2016 ,31/03/2018, ITT , N/A 
 701551I , Adult Social Care , Adults and Communities , Adult Social care , Residential Care services (Franklyn ,"£223,548", 06-Nov-2015 ,31/03/2019, Other , N/A 
 701552I , School Nursing Contract , Children's Service , Childrens Occupational Therapy (SEN) , Central London Community Healthcare NHS Trust ,"£2,474,357", 01-Apr-2016 ,31/03/2018, SLA , N/A 
 701553I , LD Campus Closure Section 75 (AD) , Commissioning Group , LD Campus Closure Section 75 , Hertforshire Partnership ,"£1,352,231", 01-Apr-2016 ,31/03/2018," Non- Procurement, Court Ordered ", N/A 
 701554I , Thames Water Utilities , CSG , Thames Water Utilities , Thames Water Utilities Ltd ,"£22,488", 06-Jul-2016 ,06/07/2018, Non procurement activity , N/A 
 701556I , Dementia Support Services , Adults and Communities , preventative services and café , Alzheimers Society ,"£950,931", 01-Apr-2016 ,31/03/2019, ITT , N/A 
 701569I , Communications Focus Groups - Alpha , Commissioning Group , Communications focus groups - alpha , Alpha Research Services Ltd ,"£20,400", 11-Jul-2016 ,20/12/2017, ITQ , N/A 
 701574I , Residents' Perception Survey , Adults and Communities , Residents' Perception Survey , Westco Ltd ,"£57,000", 10-Nov-2016 ,10/11/2018, ITQ , N/A 
 701576I , Young Persons Survey , Commissioning Group , young persons survey , Westco Ltd ,"£45,000", 10-Mar-2017 ,10/03/2019, ITQ , N/A 
 701580I , East Barnet School Changing Rooms & , Children's Service , East Barnet school changing rooms , East Barnet School ,"£338,829", 01-Sep-2016 ,01/09/2018, Other , N/A 
 701582I , Fabrication Contract 2017 - 20 , CSG , Fabrication contract 2017-2020 , R M Countryside Services Ltd ,"£1,000,000", 30-Jan-2017 ,30/01/2020, works ITQ , N/A 
 701583I , Substance Misuse Service , Adults and Communities , substance misuse service , Westminster Drugs Project ,"£228,000", 01-Apr-2015 ,31/03/2018, Other , N/A 
 701586I , NASS Special Educational Needs Placement , Children's Service , NASS , The Finches School ,"£150,000", 01-Sep-2016 ,01/07/2019, Framework , N/A 
 701587I , NASS Special Educational Needs Placement , Children's Service , NASS , The Sheiling ,"£504,756", 01-Sep-2016 ,31/07/2019, Framework , N/A 
 701589I , NASS SEN (The Independent School) , Children's Service , SEN , The Independent School ,"£80,000", 01-Sep-2016 ,01/07/2019, Framework , N/A 
 701590I , NASS SEN (Leaways School) , Children's Service , SEN , Leaways School ,"£151,200", 01-Sep-2016 ,31/07/2019, Framework , N/A 
 701591I , NASS SEN (Limespring School) , Children's Service , SEN , Limespring School ,"£181,800", 01-Sep-2016 ,01/07/2019, Framework , N/A 
 701594I , SEN (Tashbar of Edgware) , Children's Service , SEN , Tashbar of Edgware Primary School ,"£116,790", 01-Sep-2016 ,31/07/2019, Framework , N/A 
 701595I ," Removal, Disposable and Recycling ", Street Scene ," Removal, Disposable and recycling  ", Harrow Green ,"£1,000,000", 24-Nov-2016 ,28/02/2020, Inhouse service provision , N/A 
 701597I , Training (Social Marketing Gateway) , Adults and Communities , Training (social marketing gateway)  , Social Marketing Gateway ,"£22,782", 08-Aug-2016 ,07/08/2017, Other , N/A 
 701600I , SEN (Priors Court Foundation) , CHildren's Service , Priors court foundation  , Priors Court Foundation ,"£181,000", 01-Aug-2016 ,31/07/2019, Framework , N/A 
 701601I , SEN (Alternative Centre of Education) , Children's Service , Alternative centre of Education  , Alternative Centre of Education ,"£56,000", 01-Nov-2016 ,31/07/2019, Framework , N/A 
 701605I , Shelving & Furniture for Libraries , Adults and Communities , Shelving and furniture for libraries , Demco Europe ,"£27,270", 15-Feb-2017 ,31/08/2017, ESPO Framework , N/A 
 701609I , Special Educational Needs Placements , Children's Service , SEN , Tiferes High School ,"£106,100", 01-Jan-2016 ,31/03/2019, Framework , N/A 
 701616I , Family Group Conferences , Adults and Communities , Family group conferences , Your Family Matters ,"£75,000", 01-Apr-2017 ,31/03/2018, OJEU , N/A 
 701632I , Therapeutic Support & Training to Foster , CHildren's Service , Therapeutic Support & Training to Foster , Simply Fostering Consultancy Ltd ,"£10,000", 09-Jan-2017 ,08/01/2018, ITQ , N/A 
 701636I , Soma Healthcare (Blitz Cleaning) , Adults and Communities , Blitz cleaning  , Soma Healthcare Ltd ,"£40,000", 03-Nov-2014 ,02/11/2017, OJEU , N/A 
 701637I , Oak Hill Depot - Proposed Building , CSG , Oak hill depot proposed building , Cleveland Sitesafe Ltd ,"£75,351", 08-May-2017 ,31/12/2018, ITQ , N/A 
 701638I , Stroke Support Services (CLCH NHS Trust) , Children's Service , Childrens Occupational Therapy (SEN) , Central London Community Healthcare NHS Trust ,"£104,970", 01-Apr-2017 ,31/03/2018, SLA , N/A 
 701640I , Care Analytics Ltd , Adults and Communities , Social Care (Amegreen Children) , Care Analytics Ltd ,"£19,200", 01-Mar-2017 ,01/09/2017, Other , N/A 
 701651I , Reconfiguration works to Edgware Library , Adults and Communities , Reconfiguration works to Edqware Library , Mulalley and Company Ltd ,"£311,688", 15-May-2017 ,21/08/2017, ITQ , N/A 
 701652I ," Information, Advice and Guidance (Barnet ", Adults and Communities , Supported living framework , Barnet Mencap ,"£40,000", 01-Apr-2017 ,31/03/2021, ITT , N/A 
 701653I , Parenting Programmes for Parent Carers , Adults and Communities , Supported living framework , Barnet Mencap ,"£35,000", 01-Apr-2017 ,31/03/2021, ITT , N/A 
 701654I , Interpretation and Translation Serivces , Adults and Communities , Interpretation and translation services , DA Languages Ltd ,"£568,768", 01-May-2017 ,31/03/2020, OJEU , N/A 
 701656I , Specialist 1:1 Mentoring Support , Children's Service , Families experiencing Dom Violence (CS) , Home Start Barnet ,"£15,000", 01-Apr-2017 ,31/03/2018, ITT , N/A 
 701658I , Specialist 1:1 mentoring , Children's Service , Independent Visitor Scheme , Sova ,"£25,000", 01-Apr-2017 ,31/03/2018, ITT , N/A 
 701693I , Vehicle Hire - ESPO 271 Dawsons , Street Scene , Vehicle hire , Dawson Rentals Bus & Coach Ltd ,"£270,000", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701694I , Vehicle Hire ESPO 271 - N D Brown , Street Scene , Vehicle hire , N D Brown Ltd ,"£87,800", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701695I , Vehicle Hire ESPO 271 - SHB Hire , Street Scene , Vehicle hire , SHB Hire Ltd ,"£10,000", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701696I , Vehicle Hire ESPO 271 - Northgate , Street Scene , Vehicle hire , Northgate Vehicle Hire ,"£21,000", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701697I , Vehicle Hire ESPO 271 - Enterprise Flex , Street Scene , Vehicle hire , Enterprise Flex-E-Rent ,"£96,000", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701698I , Vehicle Hire ESPO 271 - Riverside Truck , Street Scene , Vehicle hire , Riverside Truck Rental Ltd ,"£5,000", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701699I , Vehicle Hire ESPO 271 - London Hire , Street Scene , Vehicle hire , London Hire Ltd ,"£250,000", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701700I , Vehicle Hire ESPO 271 - Car Hire (Day of , Street Scene , Vehicle hire , Car Hire (Day of Swansea) Ltd t/a Days ,"£25,000", 01-Mar-2017 ,31/03/2018, ITT , N/A 
 701701I , Provision of Parts for Council Fleet & , Street Scene , Vehicle hire , Fleet Factors Ltd ,"£1,375,000", 15-Feb-2017 ,31/12/2018, ITT , N/A 
 701702I , Telecare Services (PA Consulting , Adults and Communities , Vehicle hire , PA Consulting Services Ltd ,"£2,784,125", 01-Apr-2017 ,31/03/2020, ITT , N/A 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,, p i ,,,,,,
