OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,StartDate,EndDate,ReviewDate,Appraisaldate,Displayuntildate,ExtensionPeriod,ExtensionsTaken,EstimatedValue,IrrecoverableVAT,SupplierName,ContactName,ProcessType,OJEU,Framework type,Keywords
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN197272 (CONTRACT-A63K-AEAL9F),Heatlease Buyouts (Quasi),N/A,Heatlease buyouts facilitated by Capita Treasury Services.,01/04/2015,31/05/2017,30/04/2017,,30/06/2017,0,0,"�2,135,714.00",�0.00,Please view tab 2 on excel sheet,Philippa Elliott,Not provided,No,N/A,"Heatlease, Capita, Treasury"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN230412,Henry Can�t Wait Strategy,Public Health,To facilitate a young mothers� group/service (South Leeds) to build self-esteem and aspirations in order that young mothers make positive and healthy choices for themselves and their children.,01/04/2017,31/03/2019,01/04/2018,,30/04/2019,24,0,"�49,460.00",�0.00,Please view tab 2 on excel sheet,Mrs Kate Daly,RFQ,No,N/A,"HENRY, Obesity, Overweight, Pathway"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190349 (CONTRACT-9QDM-3PQTF0),Higher Level Teaching Assistant Programme,Childrens Services,"The purpose of the service is to provide a six-day programme, which 
prepares delegates to be assessed against the national HLTA standards, leading 
to the award of HLTA status. The aim of the programme is not only to prepare 
candidates to be assessed but also to equip HLTAs for the added 
responsibilities they may take on in their role.",01/11/2014,31/08/2017,31/05/2016,,30/09/2017,12,1,"�98,720.00",�0.00,Please view tab 2 on excel sheet,Ms Michelle Whippey,RFQ,No,N/A,"higher, level, teaching"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN188538 (CONTRACT-9LPV-YV0R0Y),"Highway Drainage Maintenance West Yorkshire Contract KMCHS-148, 1 February 2015 � 31 January 2019",Streetscene and Housing,"The �works,� will consist of the provision of labour/resources, plant, to carry 
out all works associated with the Highway Drainage Maintenance West Yorkshire 
Contract on both highway and non-highway sites within the administrative areas 
of the relevant Contracting Authority. The sucessful contractor(s) will also be 
expected to undertake the traffic management operations associated with their 
workings.",01/02/2015,31/01/2019,01/06/2018,,31/01/2020,0,0,"�5,002,000.00",�0.00,Please view tab 2 on excel sheet,Beverley Martin,Not provided,Yes,Framework,"Drainage, Drain Jetting, Gully Cleaning"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN205946 (CONTRACT-YORE-94XLG5),Highway Fencing Maintenance 2013,City Development,"To provide maintenance for existing highway safety fencing and provision of 
small quantities of safety and other�fencing within the West Yorkshire 
Authorities",20/05/2013,19/05/2017,19/11/2016,,30/06/2017,36,2,"�470,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Anne Sweeting,RFQ,No,Framework,"highways, fencing, maintenance, safety fencing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN215507,Highways Works Term Contract 2017/2019,City Development,Highways Works Term Contract 2017/2019,01/04/2017,31/03/2019,30/09/2019,,30/04/2019,12,0,"�25,000,000.00",�0.00,Please view tab 2 on excel sheet,Mrs Anne Sweeting,RFQ,No,N/A,"highway, work, term"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN212665,Hire of Road Sweepers,Civic Enterprise Leeds,Hire of Road Sweeping Vehicles,11/02/2016,30/09/2018,01/07/2018,,30/09/2018,0,0,"�2,455,144.00",�0.00,Please view tab 2 on excel sheet,Mr Carl Snowden,RFQ,No,N/A,"Hire, Vehicle"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193291 (CONTRACT-9W2D-4UXM2K),Hire of Vehicles,Strategy and Resources,Hire of Vehicles for various departments across Leeds City Council,07/02/2016,06/02/2018,06/02/2017,,06/03/2018,24,0,"�5,000,000.00",�0.00,Please view tab 2 on excel sheet,Carl Snowden,Not provided,No,N/A,"vehicle, hire"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN209386 (CONTRACT-YORE-9BWCET),HIV Prevention and Community Testing Service,Public Health,"HIV Prevention and Community Testing Service: 
Lot 1 Black African Communities (BAC) 
Lot 2 Men that have Sex with Men (MSM) 
� 
Background 
� 
Sexual health is an important area of Public Health. Most of the adult 
population of England are sexually active and access to quality sexual health 
services improves the health and wellbeing of both individuals and 
populations. 
� 
Sexual ill health is not equally distributed within the population. STI 
rates including HIV infection in the UK disproportionately affects MSM and 
Black Africans. Some groups at higher risk of poor sexual health face stigma 
and discrimination, which can influence their ability to access services.  
� 
In 2011, 1,062 residents of Leeds received HIV treatment and care. This 
figure is broken down into acquired infection routes as 27% sex between men, 
69% heterosexual with the remaining 4% via intravenous drug use, blood products 
and mother to child transmission routes. 
 
It is estimated that 2.7% of adult males aged 15-49 have genital contact 
with another man in an urban population (CHAPS, 2003:09). When applied 
to the Leeds 15-49 male population this gives an approximate estimate of 5,751 
men engaging in sex with other men in the City. If we look at the full male 
population (15+ 304,200) this gives us a slightly higher estimate of 8,213 as a 
group defined as MSM. 
� 
In Yorkshire and the Humber, 52 per 100,000 people of Black African or 
Caribbean ethnicity are living with the infection in comparison to 4 per 
100,000 people of white ethnicity living with HIV. 
� 
HIV is a long term medical condition and for many is effectively managed via 
treatment. Early diagnosis plays a massive role in both the quality of life for 
the individual and the prevention agenda, heavily reducing the likelihood of 
onward transmission and improving the health outcomes for those testing 
positive. Knowing their status also helps them gain access to further 
knowledge, resources and skills that can help improve their overall health and 
wellbeing.  
� 
Lot 1 Black African communities HIV prevention and community testing 
service 
� 
Scope of this service 
� 
Leeds City Council is seeking to procure a HIV prevention and community 
testing service for Black African Communities (BAC) in Leeds.  
� 
The service is concerned with the provision of services which operate in 
ways to ensure that all Black Africans in the Leeds area; particularly those 
who find it difficult to access information, services and support have targeted 
support around preventing HIV and supporting access to early HIV testing. This 
service will also provide access to information and resources to allow Black 
Africans to make informed choices about their sexual health and general 
wellbeing. The service will also provide HIV community testing sessions and 
will work in partnership with the HIV prevention & community testing 
service provider for MSM and the Integrated Sexual Health Service in relation 
to clinical governance. 
For the purpose of this contract the provider will work in a variety of ways 
to engage with Black African Communities in Leeds including; 
�� Provide HIV prevention and sexual health promotion in locations 
and settings where BAC live and socialise across Leeds.���  
�� Deliver innovative campaigns specific to BAC which increase 
access into sexual health services and promote behaviour change and reduce 
stigma associated with HIV 
�� Deliver weekly community HIV testing targeting BAC 
�� Increase the numbers of BAC accessing HIV/STI testing at the 
Integrated Sexual Health Services 
�� Ensure provision of free condoms and lubricant in Black African 
community settings 
�� Facilitate, enable and promote personal change through 1 to 
1�s, group work and community work 
�� Encourage and empower Black African�s to feel confident and 
comfortable to undertake HIV testing  
�� Support those newly diagnosed to access HIV treatment services 
and Social Care support 
� 
Key service outcomes 
� 
The service will support delivery against the one main sexual health Public 
Health Outcome Framework measures:�  
�� People presenting with HIV at a late stage of infection  
� 
In addition it will deliver the following outcomes to improve sexual health 
of the BAC population in Leeds: 
�� A reduction in the time between infection and diagnosis of HIV 
for BAC 
�� A reduction in the number of undiagnosed HIV infections in BAC 
 
�� A long term reduction in BAC newly acquiring STIs 
�� A reduction in the newly acquired HIV infection rates in 
BAC 
�� A reduction in risk taking behaviours in BAC through a 
self-reported increase in sexual health knowledge, confidence and self-esteem 
and a reduction in risk taking behaviour.  
�� BAC communities in Leeds will be supported to live healthier 
lives  
� 
Contract value and timescales 
� 
The value of this contract is �110,000.00 per annum. 
� 
It is intended that the contract will commence in October 2014 for a 
duration of 4 � years with the option to extend for a further 4 x 12 
month periods.  
� 
� 
� 
� 
� 
Lot 2 Men that have sex with men HIV prevention and community testing 
service 
� 
Scope of this service 
� 
Leeds City Council is seeking to procure a sexual health prevention service 
for Men who have Sex with Men (MSM) in Leeds. This includes the provision of a 
community HIV/STI testing service. The service will work in partnership with 
the HIV prevention and community testing service provider for Black African 
Communities and the Integrated Sexual Health Service in relation to clinical 
governance. 
� 
The service is concerned with the provision of services which operate in 
ways to ensure that all MSM in the Leeds area; particularly those who find it 
difficult to access information, services and support have improved sexual 
health. This service will also provide access to information and resources to 
allow MSM to make informed choices about their sexual health and general 
wellbeing.  
� 
For the purpose of this contract the provider will work in a variety of ways 
to engage with MSM communities in Leeds including; 
�� Provision and promotion of MSM community testing for HIV, 
Chlamydia and Gonorrhoea  
�� Ensure MSM in Leeds are aware of their HIV status 
�� Promote behaviour change and the skills development in MSM 
population to enable self- management for positive sexual wellbeing 
�� Provide access to appropriate sexual health information and 
resources  
�� Target those MSM groups who find it difficult to access 
information, services and support  
�� Increase MSM access into sexual health testing services  
�� Deliver innovative campaigns which increase access into sexual 
health services and promote behaviour change amongst MSM 
� 
Key service outcomes 
� 
The service will support delivery against the one main sexual health Public 
Health Outcome Framework measures:�  
�� People presenting with HIV at a late stage of infection  
� 
In addition it will deliver the following outcomes to improve sexual health 
of the MSM population in Leeds: 
�� A reduction in the time between infection and diagnosis of HIV 
for MSM  
�� A reduction in the number of undiagnosed HIV infections in MSM 
 
�� A long term reduction in MSM newly acquiring STIs 
�� A reduction in the newly acquired HIV infection rates in 
MSM 
�� A reduction is risk taking behaviours in MSM through a 
self-reported increase in sexual health knowledge, confidence and self-esteem 
and a reduction in risk taking behaviour.  
�� MSM communities in Leeds will be supported to live healthier 
lives  
� 
� 
� 
� 
� 
� 
Contract value and timescales 
� 
The value of this contract is �160,000.00 per annum. 
It is intended that the contract will commence in October 2014 for a 
duration of 4 � years with the option to extend for a further 3 x 12 
month periods.  
� 
TUPE 
� 
TUPE may apply to both of these services/contracts. Individual bidders will 
need to seek their own legal advice.� Workforce information from the 
current service provider will be released to those organisations shortlisted 
and invited to tender, on receipt of a signed confidentiality agreement.",01/06/2014,31/03/2019,30/09/2018,,31/03/2019,12,0,"�1,303,644.00",�0.00,Please view tab 2 on excel sheet,Kate Daly,Not provided,No,N/A,"hiv, prevention, community, testing, msm, bac"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN240729,HIV/AIDS Social Care Support Service - Leeds Skyline,Public Health,HIV/AIDS Social Care Support Service - Leeds Skyline,01/04/2017,31/03/2018,01/09/2017,,30/04/2018,N/A,0,"�293,455.00",�0.00,Please view tab 2 on excel sheet,Ms Sinead Cregan,RFQ,No,N/A,"HIV, AIDS, Support, Skyline"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN196559 (CONTRACT-A4EJ-6CTOC7),"Holbeck, South Bank Regeneration - Legal Advisors",City Development,"The precise nature of the services required cannot be defined in full 
however�the expected areas of legal expertise that the Council expect to 
draw down upon include: Property and Land (both strategic and 
detailed);��� Compulsory Purchase & Compensation;� 
Planning; Litigation;General Commercial and Contract;� Telecommunications 
Act;���� Local Government; State Aid; Funding 
Agreements;Insurance, VAT;European Regulations.",04/01/2016,03/01/2019,01/08/2018,,03/02/2019,12,0,"�6,000,000.00",�0.00,Please view tab 2 on excel sheet,Lee Arnell,Not provided,No,N/A,"Holbeck, Regeneration, South Bank, Legal Advice"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN228847,Hollybush Primary School expansion,Childrens Services,Works to facilitate expansion from 2FE to FE,12/12/2016,04/09/2017,04/07/2017,,04/10/2017,N/A,0,"�2,870,818.15",�0.00,Please view tab 2 on excel sheet,Mr Nigel Wilson,RFQ,No,N/A,"hollybush, school, expansion"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN250827,Home Group - South Leeds Tenancy Sustainment Service short term contract,Public Health,Supported accommodation for people with an offending background.,01/04/2017,30/06/2017,26/06/2017,,01/08/2017,N/A,0,"�19,965.00",�0.00,Please view tab 2 on excel sheet,Mr Simon Pickering,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198087 (CONTRACT-A7EF-RPA0UL),Housing ICT Solutions,"Projects, Programmes & Procurement Unit",Housing ICT Solutions,30/01/2017,29/01/2024,29/01/2023,,29/01/2024,12,0,"�2,316,664.00",�0.00,Please view tab 2 on excel sheet,Mrs Karen Batty,RFQ,No,N/A,"systems, ict, database, housing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN193302 (CONTRACT-9W2H-V5FUJI),Housing Leeds - Managed Stores,ALMO's,"The provision of a Managed Stores service for Housing Leeds (Construction 
Services)",01/04/2015,31/03/2019,,,31/03/2019,0,0,"�16,000,000.00",�0.00,Please view tab 2 on excel sheet,Paul Reeves,Not provided,No,N/A,"materials, warehouse"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN228807,Housing Market Assessments and Housing Research Consultancy,City Development,Housing Market Assessments and Housing Research Consultancy,01/04/2017,31/03/2018,30/09/2017,,30/04/2018,12,0,"�70,717.00",�0.00,Please view tab 2 on excel sheet,Mrs Rachael Grimes,RFQ,No,N/A,"housing, consultancy"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN251743,Hub and Overnight Service,Adult Social Care,Accommodation and Support for Homeless People,01/04/2017,31/03/2022,31/03/2021,,30/04/2022,36,0,"�806,100.00",�0.00,Please view tab 2 on excel sheet,Ms Shazia Nazir,RFQ,No,N/A,"Homeless, People, Support, Accommodation"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199138 (CONTRACT-A9DB-MWJTBK),Hub Solutions Support and Maintenance Contract,Environment and Neighbourhoods,"Support and maintenance for Anti Social Behaviour, Estate Management and 
Tenancy Support modules for Environments and Housing Directorate.",31/03/2016,31/12/2018,01/01/2018,,31/01/2019,6,0,"�15,489.00",�0.00,Please view tab 2 on excel sheet,Mrs Karen Batty,RFQ,No,N/A,"ICT, Systems, Software, Housing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN204207 (CONTRACT-DSIN-93VAKZ),ICTSW100108 - Capita Software Services,Resources - ICT,Capita Software Services,28/02/2011,27/02/2020,01/01/2018,,27/03/2020,12,4,"�799,597.00",�0.00,Please view tab 2 on excel sheet,Mr Robert Greaves,RFQ,No,N/A,"software, academy"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195177 (CONTRACT-9ZKP-G6W2EW),Ideas that change lives investment fund,Adult Social Care,"Leeds City Council is seeking a�Contractor� to manage and promote 
the Ideas that Change Lives (ItCL) Investment Fund to potential applicants and 
provide independent business support to social entrepreneurs and enterprising 
third sector organisations to develop and implement their ideas.",21/10/2015,20/10/2018,01/06/2017,,20/11/2018,0,0,"�89,700.00",�0.00,Please view tab 2 on excel sheet,Trudie Canavan,Not provided,No,N/A,"Support, management, Social enterprise, investment, grant"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN234709,Improving the Health of Women involved in the Commercial Sex Scene,Public Health,The purpose is to support women to have access to information and resources allowing them to make informed choices about their sexual health and overall wellbeing.,01/04/2017,31/03/2018,30/09/2017,,30/04/2018,N/A,0,"�36,520.00",�0.00,Please view tab 2 on excel sheet,Mrs Kate Daly,RFQ,No,N/A,"Health, Sexual, Wellbeing"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN191611 (CONTRACT-9SYN-PVZLYQ),In House Fostering - Payments made through the Post Office (Quasi),N/A,Payments made to internal foster carers via the Post Office.,01/09/2014,31/08/2019,31/08/2018,,31/08/2019,0,0,"�1,000,000.00",�0.00,Please view tab 2 on excel sheet,Iain Dunn,Not provided,No,N/A,"post, office, carers"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198658 (CONTRACT-A8CJ-FXIJ9B),Income Management System - Support and Maintenance,Strategy and Resources,,14/11/2016,13/11/2021,13/11/2020,,13/12/2021,36,0,"�50,000.00",�0.00,Please view tab 2 on excel sheet,David Levitt,Not provided,No,N/A,"Northgate, Income, software, ict"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN259603,INDEPENDENT ADOPTION SUPPORT SERVICES- PAC UK,Childrens Services,INDEPENDENT ADOPTION SUPPORT SERVICES- PAC UK,01/04/2017,31/03/2018,01/12/2017,,30/04/2018,6,0,"�158,904.00",�0.00,Please view tab 2 on excel sheet,Mr Luke Myers,RFQ,No,N/A,
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN195598 (CONTRACT-A2LB-WWN5CU),Independent Chair for the Leeds Safeguarding Children Board,Childrens Services,Independent Chair for the Leeds Safeguarding Children Board,24/09/2015,23/09/2017,23/03/2017,,23/10/2017,12,1,"�88,500.00",�0.00,Please view tab 2 on excel sheet,Mr Bryan Gocke,RFQ,No,N/A,"Chair, Safeguarding"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN207690 (CONTRACT-YORE-992LML),Independent Mental Capacity Advocacy Service (IMCA),Adult Social Care,"Independent Mental Capacity Advocacy Service (IMCA)� Leeds City Council 
are looking for an organisation to provide Advocates for the above 
service.",01/04/2014,31/03/2017,30/09/2017,,31/03/2018,12,0,"�1,596,000.00",�0.00,Please view tab 2 on excel sheet,Ms Shazia Nazir,RFQ,No,N/A,"Advocate, advocacy, mental, independent"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198456 (CONTRACT-A7XG-L5Q9RG),Independent Person and Independent Investigating Service,Adult Social Care,"The Provision Of Independent Investigating Officers and Independent Persons in 
registered complaints under The Local Authority Social Services and National 
Health Service Complaints (England) Regulations 2009 and the Provision of 
Independent Investigating Officer and Independent Persons as required under 
under Section 26 (Paragraphs 3 - 8 ) Of The Children Act 1989.",01/06/2016,31/05/2019,01/06/2018,,30/06/2019,12,0,"�230,780.00",�0.00,Please view tab 2 on excel sheet,Judith Kasolo,Not provided,No,N/A,"investigation, independent, compliment, complaint"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN189186 (CONTRACT-9MWE-SMNB7Y),Independent Support Worker for Disabled Children,Childrens Services,"Independent support worker for disabled children.� Please note that this 
is a secondary framework to support YORE-936EWQ.� All referrals will 
initially be made to the primary framework, with referrals being offered to 
this framework if they cannot meet the requirements.",01/01/2015,31/12/2017,01/06/2017,,31/01/2018,12,0,"�1,450,000.00",�0.00,Please view tab 2 on excel sheet,Ms Michelle Whippey,RFQ,No,Framework,"independent, support, disabled, children"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN200678 (CONTRACT-ABKH-8NW5FE),Independent Travel Training (Travel Buddy),"Projects, Programmes & Procurement Unit","The purpose of the contracted provision will be to provide �Travel Buddies�, who will support and assist children, young people or vulnerable adults with special educational needs and disabilities (SEND) (hereafter referred to as service users) in travelling on public transport until they gain the skills, experience and confidence necessary to enable them to achieve independence with travel",01/01/2017,31/12/2019,31/07/2019,,30/01/2020,12,0,"�750,000.00",�0.00,Please view tab 2 on excel sheet,Mr Gary Bristol,RFQ,No,N/A,"Travel, Buddy, Buddies, Independent, Transport, taxi"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN192384 (CONTRACT-9UAJ-ZUFQ90),Individual Care - Leeds and York Partnership NHS Foundation Trust (Quasi),Adult Social Care,Care for individuals with health needs.,01/11/2014,31/10/2017,31/07/2017,,30/11/2017,0,0,"�576,000.00",�0.00,Please view tab 2 on excel sheet,Mr Tony Bailey,RFQ,No,N/A,"Health, Quasi, Leeds, York, Partnership"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN211953 (CONTRACT-YORE-9H4FKX),Individual Support Package for Two Young Women,Adult Social Care,Individual Support Package for Two Young Women,01/09/2014,30/06/2017,01/01/2017,,30/07/2017,12,0,"�450,000.00",�0.00,Please view tab 2 on excel sheet,Janet  Wright,Not provided,No,N/A,"Complex, Needs, Learning Difficulties"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN187752 (CONTRACT-9K9D-ZFN5R2),Information and Signposting Service for Adults with Learning Disabilities,Adult Social Care,"The Information and Signposting Service will form an information hub to enable 
�� people with learning disabilities, their families/carers and other 
stakeholders to ��������� access 
information about services, support, leisure opportunities, travel, employment 
���� and volunteering options across Leeds.� The 
service is open access and users do not need to demonstrate FACS eligible 
needs, or be referred, to access support.",01/04/2015,31/03/2018,01/10/2017,,31/03/2018,12,0,"�227,513.00",�0.00,Please view tab 2 on excel sheet,Lisa Keenan,Not provided,No,N/A,"information, signposting, adults, learning, disabilities"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN190870 (CONTRACT-9RJ7-KXXQ8E),In-House Fostering - Foster Carers Paid through Bacs (Quasi),N/A,"The provision of� Fostering Services provided by internally recruited 
foster carers.",01/09/2014,31/08/2019,30/11/2018,,31/08/2019,0,0,"�60,000,000.00",�0.00,Please view tab 2 on excel sheet,Gary Bristol,Not provided,No,Framework,"Foster, Carer, Services"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN187741 (CONTRACT-9K6L-BR3AH5),Installation and Operation of a Biomass District Heating System in the Clydes and Phil May Court as part of the Energy In Deprived Communities ERDF programme,Environment and Neighbourhoods,"This specification sets out the City Council�s requirements in respect of 
Installation and Operation of a Biomass led District Heating System in the 
Clyde�s and Phil May Court.",18/08/2014,17/08/2017,,,17/08/2017,12,0,"�2,563,597.00",�0.00,Please view tab 2 on excel sheet,Jon Andrews,Not provided,No,N/A,"Bio, Mass, Biomass, Boiler"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN191651 (CONTRACT-9T2F-69YAX3),Installation and Repair of Inductive Loops and Counter Cabinets 2015/19,City Development,"Installation and Repair of Inductive loops and counter cabintes on rods across 
West Yorkshire. Also the supply of counter cabinets.",04/05/2015,03/05/2019,30/11/2018,,03/06/2019,0,0,"�160,000.00",�0.00,Please view tab 2 on excel sheet,Anne Sweeting,Not provided,No,N/A,"installation, inductive, loops"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN194553 (CONTRACT-9YFB-5D3POX),Installation Maintenance & Data Collection Collection of Electric Metering Services,N/A,"Installation Maintenance & Data Collection Collection of Electric Metering 
Services",12/02/2016,11/02/2021,,,11/02/2021,12,0,"�425,000.00",�0.00,Please view tab 2 on excel sheet,Derek Prest,Not provided,No,N/A,"electricity, meters, data, inatallation, maintenance"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN189716 (CONTRACT-9P7D-X3DEDL),Insurance - The Provision of Loss Adjusting Services,N/A,"The council is looking to contract for Loss Adjusting Services to be 
provided� in connection with a number of insurances where claims are 
received from council departments, schools or members of the public.",10/12/2014,09/12/2019,01/02/2019,,09/01/2020,0,0,"�65,000.00",�0.00,Please view tab 2 on excel sheet,Matthew Southwell,Not provided,No,N/A,insurance
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN206607 (CONTRACT-YORE-96TER5),Integrated Sexual Health Service,Public Health,"Background 
Leeds City Council is mandated to commission �open access� sexual health 
services. National direction recommends that sexual health services should be 
reconfigured or remodelled to meet the service user�s needs. A series of 
consultations in Leeds has identified clearly what service users now want and 
expect from services.� This will require the integration of sexual health 
services.  
The key feature of integration is that it will provide contraception and 
Human Immunodeficiency Virus / Sexually Transmitted Infections (HIV/STI) 
testing in one visit. This will eliminate the need for multiple services, 
remove duplication and provide an opportunity for the optimum sharing of skills 
and resources. Using this approach will significantly improve the service user 
experience. 
An integrated sexual health service will also lead to better health outcomes 
by reducing unintended conceptions and by reducing the amount of sexually 
transmitted infections in the population. 
Scope of this procurement 
Leeds City Council is seeking to procure an integrated sexual health service 
for Leeds, offering both contraception and Human Immunodeficiency Virus / 
Sexually Transmitted Infections (HIV/STI) testing services. Patients will be 
able to access these services through one, holistic appointment.� The 
service will be open access, confidential and patients will experience rapid 
access to appointments. There will also be a focus on triaging patients to the 
most appropriate level of care. The integrated service will provide a city 
centre hub, plus clinics in areas with the highest rates of poor sexual health 
as indicated in the Leeds Joint Strategic Needs Assessment. The service will be 
delivered in broad accordance with the Level 1, 2 and 3 service model which is 
well established for sexual health service provision. 
The service will provide a leadership role in sexual health within the local 
area and work with all other relevant clinical and non-clinical sexual health 
and healthcare providers to support seamless service provision and health 
promotion. Prevention will be a key priority for the service.  
Key service outcomes 
The service will support delivery against the three main sexual health 
Public Health Outcome Framework measures:�  
 
 Under 18 conceptions 
 Chlamydia diagnoses (15-24 year olds) 
 People presenting with HIV at a late stage of infection 
 
In addition it will deliver the following outcomes to improve sexual health 
in the Leeds population as a whole:  
 
 Improved access to services among those at highest risk of sexual ill 
health 
 Reduced sexual health inequalities amongst young people and young adults 

 Reduced sexual health inequalities amongst BME and MSM groups 
 Reduced unplanned pregnancies by increasing the uptake of effective 
methods of contraception. 
 Increased diagnosis and effective management of sexually transmitted 
infections 
 Increased uptake of HIV testing with particular emphasis on first time 
service users and repeat testing of those that remain at risk 
 Improved quality across all sexual health services in Leeds through 
clinical leadership",01/07/2015,30/06/2020,30/12/2019,,30/06/2020,12,0,"�29,256,575.00",�0.00,Please view tab 2 on excel sheet,Kate Daly,Not provided,No,N/A,"integrated, sexual, health, gum, cash, health"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN199026 (CONTRACT-A96H-YG85W8),Intensive and Dispersed Accommodation Service,"Projects, Programmes & Procurement Unit","The key aim of the Intensive and Dispersed Accommodation Service is to develop an integrated model of accommodation that has the provision for intensive supported environments and dispersed supported accommodation, which is outcome focused and supports vulnerable people to move on to sustain independent living. 
Please download the tender documentation for further information. You should register your interest in this contract (contract ID: A96H-YG85W8) on YORtender to access the tender documentation.   
A bidder�s information session will be held on 14 June 2016, for all interested tenderers, at a Leeds city centre location.  Arrival and refreshments from 1.00pm for a 1.15pm start.  If you would like to register a place at the bidder�s event please email supporting.people@leeds.gov .uk.  
Additional housing management information, in relation to the properties identified as available for this service (detailed in specification appendix 2), will be made available to interested tenderers after the bidders event on 14 June 2016, on receipt of a request made through the discussions link in YORtender",01/07/2017,30/06/2022,01/07/2021,,31/07/2022,36,0,"�5,597,900.35",�0.00,Please view tab 2 on excel sheet,Mrs Stacey Gilman,RFQ,No,N/A,"accommodation, homelessness, independent, living, floating"
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,19/06/2017,DN198636 (CONTRACT-A8BM-MR86W7),Interim contract for Extra Care Housing onsite care presence plus planned care at Assisi Place,Adult Social Care,"Provision of �268 hours per week of planned care and support and 190 hours 
towards 24-7 wellbeing support",01/04/2016,31/03/2018,31/03/2017,,30/04/2018,0,0,"�569,838.00",�0.00,Please view tab 2 on excel sheet,Mark Phillott,Not provided,No,N/A,"Extra, Care, Housing"
