Organisation Name,Effective Date,Service,Supplier Name,Date Paid,Net Amount (£),Purpose,Transaction Number
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£3,805.44",INDIVIDUAL SERVICE FUND,V000987020
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£5,270.64",INDIVIDUAL SERVICE FUND,V000987021
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£5,798.64",INDIVIDUAL SERVICE FUND,V000987022
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£5,957.04",INDIVIDUAL SERVICE FUND,V000987023
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,161.60",INDIVIDUAL SERVICE FUND,V000987024
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£7,057.08",INDIVIDUAL SERVICE FUND,V000987025
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£3,277.44",INDIVIDUAL SERVICE FUND,V000987026
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£5,728.36",INDIVIDUAL SERVICE FUND,V000987027
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£7,258.32",INDIVIDUAL SERVICE FUND,V000987028
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£3,805.44",INDIVIDUAL SERVICE FUND,V000987029
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£4,333.44",INDIVIDUAL SERVICE FUND,V000987030
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,11/03/2016,"£2,357.72",INDIVIDUAL SERVICE FUND,V000987031
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,"£1,468.53",SUPPORTED LIVING,V000987032
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,"£1,971.28",INDIVIDUAL SERVICE FUND,V000987034
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£708.72,INDIVIDUAL SERVICE FUND,V000987035
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,"£2,975.56",INDIVIDUAL SERVICE FUND,V000987036
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,£859.96,INDIVIDUAL SERVICE FUND,V000987037
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,11/03/2016,"£2,121.00",SUPPORTED LIVING,V000987038
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£583.84,INDIVIDUAL SERVICE FUND,V000987039
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£2,296.52",INDIVIDUAL SERVICE FUND,V000987040
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£2,692.80",INDIVIDUAL SERVICE FUND,V000987041
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,11/03/2016,"£4,944.00",INDIVIDUAL SERVICE FUND,V000987054
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"-£2,085.18",INDIVIDUAL SERVICE FUND,V000987055
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,11/03/2016,"£1,946.20",INDIVIDUAL SERVICE FUND,V000987056
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,11/03/2016,£880.00,INDIVIDUAL SERVICE FUND,V000987057
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£533.08,INDIVIDUAL SERVICE FUND,V000987058
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,"£7,270.80",INDIVIDUAL SERVICE FUND,V000987059
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,115.76",INDIVIDUAL SERVICE FUND,V000987060
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,"£2,597.24",INDIVIDUAL SERVICE FUND,V000987061
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,£781.20,INDIVIDUAL SERVICE FUND,V000987062
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,"£3,859.52",INDIVIDUAL SERVICE FUND,V000987064
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,"£2,597.24",INDIVIDUAL SERVICE FUND,V000987065
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,£634.96,INDIVIDUAL SERVICE FUND,V000987066
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,"£3,285.80",INDIVIDUAL SERVICE FUND,V000987067
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£842.80,INDIVIDUAL SERVICE FUND,V000987068
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,11/03/2016,"£5,010.00",INDIVIDUAL SERVICE FUND,V000987069
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,11/03/2016,"£7,222.48",INDIVIDUAL SERVICE FUND,V000987070
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,11/03/2016,-£608.00,INDIVIDUAL SERVICE FUND,V000987072
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,"£4,404.84",INDIVIDUAL SERVICE FUND,V000987073
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,£882.00,INDIVIDUAL SERVICE FUND,V000987074
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£508.00,INDIVIDUAL SERVICE FUND,V000987075
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LINKABILITY ISF,11/03/2016,£522.92,INDIVIDUAL SERVICE FUND,V000987076
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,11/03/2016,"£1,329.52",SUPPORTED LIVING,V000987077
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,524.00",INDIVIDUAL SERVICE FUND,V000987079
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,"£3,121.52",INDIVIDUAL SERVICE FUND,V000987080
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,FUTURE DIRECTIONS CIC,11/03/2016,"£2,379.75",SUPPORTED LIVING,V000987081
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,STEPPING STONES SERVICES LTD,11/03/2016,"£5,075.00",INDIVIDUAL SERVICE FUND,V000987082
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£812.80,INDIVIDUAL SERVICE FUND,V000987083
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£558.80,INDIVIDUAL SERVICE FUND,V000987084
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,147.16",INDIVIDUAL SERVICE FUND,V000987085
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,"£5,193.48",INDIVIDUAL SERVICE FUND,V000987086
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,11/03/2016,"£8,241.40",INDIVIDUAL SERVICE FUND,V000987087
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,NEWBARN LTD,11/03/2016,"£1,932.80",INDIVIDUAL SERVICE FUND,V000987088
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,MOUNTBATTON CARE,11/03/2016,"£8,358.00",INDIVIDUAL SERVICE FUND,V000987090
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,478.40",INDIVIDUAL SERVICE FUND,V000987091
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£762.00,INDIVIDUAL SERVICE FUND,V000987092
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£712.63,INDIVIDUAL SERVICE FUND,V000987093
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,813.96",INDIVIDUAL SERVICE FUND,V000987094
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,813.96",INDIVIDUAL SERVICE FUND,V000987095
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,813.96",INDIVIDUAL SERVICE FUND,V000987096
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,813.96",INDIVIDUAL SERVICE FUND,V000987097
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,813.96",INDIVIDUAL SERVICE FUND,V000987098
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,813.96",INDIVIDUAL SERVICE FUND,V000987099
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,422.40",INDIVIDUAL SERVICE FUND,V000987100
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£3,470.56",INDIVIDUAL SERVICE FUND,V000987101
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£571.16,INDIVIDUAL SERVICE FUND,V000987102
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,11/03/2016,"£5,825.00",INDIVIDUAL SERVICE FUND,V000987103
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,025.60",INDIVIDUAL SERVICE FUND,V000987104
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,025.60",INDIVIDUAL SERVICE FUND,V000987105
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,11/03/2016,"£5,825.00",INDIVIDUAL SERVICE FUND,V000987106
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,267.20",INDIVIDUAL SERVICE FUND,V000987107
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,809.24",INDIVIDUAL SERVICE FUND,V000987108
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,ROYAL MENCAP SOCIETY,11/03/2016,"£4,083.20",INDIVIDUAL SERVICE FUND,V000987109
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,373.20",INDIVIDUAL SERVICE FUND,V000987110
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,995.76",INDIVIDUAL SERVICE FUND,V000987111
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,BESPOKE SUPPORTED LIVING LTD,11/03/2016,"£3,325.00",SUPPORTED LIVING,V000987112
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£558.80,INDIVIDUAL SERVICE FUND,V000987115
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£762.00,INDIVIDUAL SERVICE FUND,V000987116
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,COMFORT CALL LTD,11/03/2016,"£1,036.00",INDIVIDUAL SERVICE FUND,V000987117
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£558.80,INDIVIDUAL SERVICE FUND,V000987118
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,11/03/2016,"£2,704.00",INDIVIDUAL SERVICE FUND,V000987121
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC TRADING,11/03/2016,"£1,711.80",DIRECT PAYMENTS,V000987122
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£507.68,INDIVIDUAL SERVICE FUND,V000987123
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,11/03/2016,£556.60,INDIVIDUAL SERVICE FUND,V000987124
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£762.00,INDIVIDUAL SERVICE FUND,V000987125
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£3,113.32",INDIVIDUAL SERVICE FUND,V000987126
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,11/03/2016,£520.00,INDIVIDUAL SERVICE FUND,V000987127
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,11/03/2016,"£3,903.28",INDIVIDUAL SERVICE FUND,V000987128
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,278.40",INDIVIDUAL SERVICE FUND,V000987129
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,404.12",INDIVIDUAL SERVICE FUND,V000987130
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£509.52,INDIVIDUAL SERVICE FUND,V000987131
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,082.36",INDIVIDUAL SERVICE FUND,V000987132
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,304.64",INDIVIDUAL SERVICE FUND,V000987133
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£780.00,INDIVIDUAL SERVICE FUND,V000987134
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,BLUE PITS HOUSING ACTION,11/03/2016,£560.00,SUPPORTED LIVING,V000987140
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,371.60",INDIVIDUAL SERVICE FUND,V000987141
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,11/03/2016,"£1,582.00",SUPPORTED LIVING,V000987142
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,280.76",INDIVIDUAL SERVICE FUND,V000987144
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£5,432.48",INDIVIDUAL SERVICE FUND,V000987145
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£2,483.32",INDIVIDUAL SERVICE FUND,V000987146
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,"£1,203.51",SUPPORTED LIVING,V000987147
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£989.16,INDIVIDUAL SERVICE FUND,V000987148
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,11/03/2016,"£2,306.52",INDIVIDUAL SERVICE FUND,V000987149
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£813.68,INDIVIDUAL SERVICE FUND,V000987151
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,PROTEA CARE MANCHESTER LTD,11/03/2016,"£3,066.64",SUPPORTED LIVING,V000987152
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,757.48",INDIVIDUAL SERVICE FUND,V000987153
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,-£640.38,INDIVIDUAL SERVICE FUND,V000987154
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"-£1,280.76",INDIVIDUAL SERVICE FUND,V000987155
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"-£1,280.76",INDIVIDUAL SERVICE FUND,V000987156
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"-£1,280.76",INDIVIDUAL SERVICE FUND,V000987157
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987158
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,UNITED RESPONSE,11/03/2016,"£1,591.00",INDIVIDUAL SERVICE FUND,V000987159
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987160
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£2,446.96",INDIVIDUAL SERVICE FUND,V000987161
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,224.40",INDIVIDUAL SERVICE FUND,V000987162
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987163
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,280.76",INDIVIDUAL SERVICE FUND,V000987164
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£2,067.96",INDIVIDUAL SERVICE FUND,V000987165
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,280.76",INDIVIDUAL SERVICE FUND,V000987166
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,585.24",INDIVIDUAL SERVICE FUND,V000987167
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987168
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987169
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,280.76",INDIVIDUAL SERVICE FUND,V000987170
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,667.52",INDIVIDUAL SERVICE FUND,V000987171
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,608.00",INDIVIDUAL SERVICE FUND,V000987172
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,LIFEWAYS COMMUNITY CARE LTD,11/03/2016,"£1,618.00",INDIVIDUAL SERVICE FUND,V000987173
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£520.40,INDIVIDUAL SERVICE FUND,V000987174
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,151.96",INDIVIDUAL SERVICE FUND,V000987175
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987177
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987178
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£2,797.56",INDIVIDUAL SERVICE FUND,V000987179
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987180
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987181
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,£849.24,INDIVIDUAL SERVICE FUND,V000987182
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,POSSABILITIES CIC ISF,11/03/2016,"£1,110.92",INDIVIDUAL SERVICE FUND,V000987183
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,11/03/2016,"£4,429.76",INDIVIDUAL SERVICE FUND,V000987184
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,11/03/2016,"£2,314.83",SUPPORTED LIVING,V000987185
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,NEWBARN LTD,11/03/2016,"£2,028.00",SUPPORTED LIVING,V000987191
ROCHDALE BOROUGH COUNCIL,11/03/2016,LEARNING DIS & MENTAL HEALTH,ROYAL MENCAP SOCIETY,11/03/2016,"£3,299.65",SUPPORTED LIVING,V000987192
ROCHDALE BOROUGH COUNCIL,11/03/2016,PHYSICAL DIS & OLDER PEOPLE,POSSABILITIES CIC TRADING,11/03/2016,"£3,155.44",SUPPORTED LIVING,V000987194
