Contract Title,Council,Description,Start Date,End Date,Review Date,Option To Extend,Available Extension,Estimated Total Contract Value,Irrecoverable VAT,Contact Details,Organisational Unit,Contract Reference,Category,Supplier Name,Company Registration/ Charity Commission No - Information not currently collected,Supplier Classification,Process Type
Legal Fees - Housing,Leeds City Council,259-Consultancy Services,30/09/2014,,,,,"93,000",,,ENVIRONMENT & HOUSING,WG/SAP/LEWIS,,"Spencer & Fisch Solicitors, 64-66 Austhorpe Road, Crossgates, LEEDS, LS15 8DZ",,Micro,Other
LLBHH PFI - Eradication of Japanese knotweed,Leeds City Council,265-Other Hired And Contracted Services,05/09/2014,,,,,"21,250",,Rebecca Hemingway,ENVIRONMENT & HOUSING,INV-010151,,"Akers Land And Ecology Ltd, 2 Garth Grove, Menston  Ilkley, LEEDS, LS29 6LJ",,Medium-sized Organisation (50-249 employees),Received Quotes
Medical provision as per spec,Leeds City Council,277-Bought In Professional Services,22/09/2014,,,,,"16,677",,Samantha Sole,CITY DEVELOPMENT,3799,,"Showmed, Unit 1 Wold Farm Ind Park, Broughton Road   Old, NORTHAMPTON, NN6 9RH",,Large Organisation (250+ employees),Received Quotes
mobile CP unit ,Leeds City Council,mobile CP unit ,29/09/2014,,,,,"22,998",,Carolyne Thrippleton,ADULT SOCIAL CARE,453645,,"Andy Loos Ltd, Unit 22  Hartlebury Trading Estate, Crown Lane, HARTLEBURY, DY10 4JB",,Medium-sized Organisation (50-249 employees),Other
Replacemant  bus shelter,Leeds City Council,Replacemant  bus shelter,10/09/2014,,,,,"9,956",,Janice Connolly,CITY DEVELOPMENT,SI01-28086,,"West Yorkshire Combined Authority, Wellington House, 40/50 Wellington Street, LEEDS, LS1 2DE",,Large Organisation (250+ employees),Other
Contribution to Solar works ,Leeds City Council,626-Direct Payments,11/09/2014,,,,,"5,264",,Sajda Khaliq,ENVIRONMENT & HOUSING,1479,,"Nationwide Solar Ltd, Unit 1 Maple Court, Maple Road  Tankersley, BARNSLEY, S75 3DP",,Medium-sized Organisation (50-249 employees),Other
Contruction - Hunslet Carr Primary School,Leeds City Council,265-Other Hired And Contracted Services,12/09/2014,,,,,"28,637",,,CENTRAL & CORPORATE,9369,,"Conlon Construction Ltd, Charnley Fold Lane, Bamber Bridge, PRESTON, PR5 6BE",,Large Organisation (250+ employees),Received Quotes
Portakabin - Windmill Primary,Leeds City Council,265-Other Hired And Contracted Services,26/09/2014,,,,,"35,000",,,CENTRAL & CORPORATE,342566,,"S & S Site Services (Nationwide) Limited, Unit 51 Warfield Road, Kellythorpe Industrial Estate, DRIFFIELD, YO25 9DJ",,Small Organisation (10-49 employees),Other
Portakabin - Richmond Hill,Leeds City Council,265-Other Hired And Contracted Services,26/09/2014,,,,,"20,000",,,CENTRAL & CORPORATE,342666,,"S & S Site Services (Nationwide) Limited, Unit 51 Warfield Road, Kellythorpe Industrial Estate, DRIFFIELD, YO25 9DJ",,Small Organisation (10-49 employees),Other
Demolition works - Denbigh Heights,Leeds City Council,265-Other Hired And Contracted Services,12/09/2014,,,,,"5,158",,Ashleigh Mallinson,ENVIRONMENT & HOUSING,1036E,,"Frescrete Ltd, Unit 2 Springwell Court, Holbeck Lane, LEEDS, LS12 1AL",,Medium-sized Organisation (50-249 employees),Other
Bramley War Memorial,Leeds City Council,205-Operational Materials,10/09/2014,,,,,"6,150",,ELIZABETH THOMAS,ENVIRONMENT & HOUSING,2014-600,,"Antonia Stowe, 3 West Park Avenue, , LEEDS, LS8 2HG",,Micro,Received Quotes
Mortgage - reposession costs,Leeds City Council,Mortgage - reposession costs,30/09/2014,,,,,"18,750",,,ENVIRONMENT & HOUSING,LDBS02000134,,"Ascent Performance Group Ltd, Bauhaus Rossetti Place, 27 Quay Street, MANCHESTER, M3 4AW",,Medium-sized Organisation (50-249 employees),Other
Venting condenser and warranty,Leeds City Council,265-Other Hired And Contracted Services,08/09/2014,,,,,"7,228",,,CENTRAL & CORPORATE,SI+117893,,"Ddc Dolphin Ltd, The Fulcrum  Vantage Way, Mannings Heath, POOLE, BH12 4NU",,Medium-sized Organisation (50-249 employees),Other
