RATEPAYER,Property Address,PROPREF,RV,Property Description,RELIEF_CODE
Royds Properties Ltd,"Unit 8, Wellington Business Park, Quebec Street, Elland              HX5 9AS",56196713,3900,Warehouse And Premises,12
Kelland Precision Tooling Ltd,"Quebec Street, Elland, HX5 9BX",56196722,9500,Workshop And Premises,21
Royds Properties Ltd,"Telecommunication Mast H3G, Wellington Mills, Quebec Street, Elland               HX5 9AS",56196730,8400,Communication Station and Premises,17
Royds Properties Ltd,"Unit 15 Wellington Mills, Quebec Street, Elland, HX5 9AS",56196738,370,Store,13
Royds Properties Ltd,"First Floor Unit 9, Wellington Mills, Quebec Street, Elland               HX5 9BX",56196743,5500,Workshop And Premises,21
Royds Properties Ltd,"First Floor, Unit 5 Wellington Mills, Quebec Street, Elland               HX5 9AS",56196751,10750,Warehouse And Premises,21
Royds Properties Ltd,"Unit 6 First Floor, Wellington Mills, Quebec Street, Elland               HX5 9AS",56196757,7600,Offices And Premises,21
Warmco Space Heating Ltd,"Unit 1 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212718,2550,Warehouse And Premises,6
Warmco Space Heating Ltd,"Unit 2 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212719,3000,Warehouse And Premises,6
Warmco Space Heating Ltd,"Unit 3B Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212721,2500,Warehouse And Premises,6
Warmco Space Heating Ltd,"Unit 101 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212722,355,Store And Premises,6
Warmco Space Heating Ltd,"Unit 104 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212725,600,Store And Premises,6
Warmco Space Heating Ltd,"Unit 106 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212727,1000,Store And Premises,6
Warmco Space Heating Ltd,"Unit 203 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212733,310,Store And Premises,13
Warmco Space Heating Ltd,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212734,370,Store And Premises,6
Warmco Space Heating Ltd,"Unit 207 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212736,620,Store And Premises,6
Warmco Space Heating Ltd,"Unit 206 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212739,620,Store And Premises,6
Warmco Space Heating Ltd,"Unit 208 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212740,830,Store And Premises,6
Warmco Space Heating Ltd,"Unit 301 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212741,177,Store And Premises,13
Warmco Space Heating Ltd,"Unit 304 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212743,187,Store And Premises,6
Warmco Space Heating Ltd,"Unit 305A 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212745,720,Store And Premises,6
Warmco Space Heating Ltd,"Unit 307 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212747,1000,Store And Premises,6
Warmco Space Heating Ltd,"Unit 309 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212749,600,Store And Premises,6
Warmco Space Heating Ltd,"Unit 4A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212753,1275,Store And Premises,6
Warmco Space Heating Ltd,"Unit 4F Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212759,1225,Store And Premises,6
Warmco Space Heating Ltd,"Unit 5A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212761,880,Store And Premises,6
Warmco Space Heating Ltd,"Unit 6 Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212762,5200,Warehouse And Premises,6
Warmco Space Heating Ltd,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212764,260,Store And Premises,13
Warmco Space Heating Ltd,"4TH Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212765,2700,Warehouse And Premises,6
Heathleigh Ltd,"1st Floor Over Unit 1, Woodman Works, South Lane, Elland              HX5 0HQ",56220722,1300,Workshop And Premises,13
Heathleigh Ltd,"Unit 3, Woodman Works, South Lane, Elland               HX5 0PA",56220723,7400,Workshop And Premises,21
Heathleigh Ltd,"Unit 8A Woodman Works, South Lane, Elland, HX5 0PA",56220739,4700,Warehouse And Premises,21
Heathleigh Ltd,"Unit 9A Woodman Works, South Lane, Elland, HX5 0PA",56220742,7700,Warehouse And Premises,21
Heathleigh Ltd,"Adj Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",56220748,920,Office and Premises,13
Heathleigh Ltd,"Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",56220759,2425,Cafe and Premises,13
Heathleigh Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220770,335,Workshop And Premises,13
Heritage Lofts Ltd (In Administration),"Office 8, James Street Mills, South Lane, Elland               HX5 0HB",56220791,1500,Office,13
Standard Life Trustee Company Ltd,"14 Southgate, Elland, HX5 0BW",56224014,7000,Shop and Premises,21
Rubens Hair & Beauty Ltd (In Liquidation),"66 Southgate, Elland, HX5 0PS",56224066,5800,Hairdressing Salon and Premises,21
,"3 Crown Yard, Southgate, Elland, HX5 0DQ",56224702,2500,Offices and Premises,13
,"1 Crown Yard, Southgate, Elland, HX5 0DQ",56224703,4500,Offices and Premises,21
,"77 Southgate, Elland, HX5 0EP",56224715,6800,Post Office And Premises,6
,"65/67 Southgate, Elland, HX5 0DQ",56224722,6000,Offices and Premises,6
,"6 Crown Yard, Southgate, Elland, HX5 0DQ",56224731,3200,Offices and Premises,21
,"75 Southgate, Elland, HX5 0DQ",56224736,3500,Offices and Premises,21
,"73 Southgate, Elland, HX5 0DQ",56224745,5300,Shop and Premises,21
,"1ST Floor, 58/60 Southgate, Elland, HX5 0DQ",56224751,1950,Letting Rooms and Premises,18
,"1/2 Town Hall Buildings, Elland, HX5 9AJ",56236002,6700,Hairdressing Salon and Premises,6
,"5 Town Hall Buildings, Elland, HX5 9AJ",56236005,2375,Shop and Premises,6
,"6 Town Hall Buildings, Elland, HX5 9AJ",56236006,2150,Shop and Premises,6
,"11 Town Hall Buildings, Elland, HX5 0EU",56236011,5700,Shop and Premises,6
,"Town Hall Buildings, Elland, HX5 9AJ",56236700,12750,Gymnasium And Premises,6
,"R/O 7-10 Town Hall Buildings, Elland, HX5 0EU",56236704,4150,Store and Premises,21
Armytage Sykes Llp,"8 Victoria Road, Elland, HX5 0PU",56244008,5300,Offices and Premises,21
,"Ellen Royd, Westgate, Elland, HX5 0EE",56252703,13500,Health Centre and Premises,21
,"Offices At Ellen Royd Clinic, Westgate, Elland, HX5 0BB",56252704,7700,Offices and Premises,21
,"1 Whitwell Grove, Elland, HX5 9EJ",56260001,2250,Shop and Premises,13
,"3 Whitwell Grove, Elland, HX5 9EJ",56260003,2250,Shop and Premises,13
Integrated Mechanical Ltd,"Integrated House, 1 Wistons Lane, Elland, HX5 9DT",56264700,28000,Offices And Premises,21
,"Trafalgar Inn, Aachen Way, Halifax, HX1 3ND",64004701,12250,Public House and Premises,21
Crossley Evans Ltd,"Boston Street, Halifax, HX1 4ND",64024704,8300,Workshop And Premises,21
Bytes Software Services Ltd,"Park House, Aked's Road, Halifax, HX1 2TR",64028701,21750,Offices and Premises,21
Pennine Housing 2000,"Unit 1, Akroyd Court, Halifax, HX3 6DG",64032700,11500,Garage And Premises,21
,"Basement, 10A Akroyd Place, Halifax, HX1 1YH",64036010,920,Store And Premises,13
R Collett & Sons (Transport) Ltd,"Unit 2 Victoria Terminal, Albert Road, Halifax, HX2 0BY",64040724,2175,Store And Premises,18
Thrum Hall Industrial Park Ltd,"Unit 10, Thrum Hall Business Park, Albert Road, Halifax              HX2 0DB",64040746,8700,Warehouse And Premises,12
Due West Ltd,"First Floor, 4/6/8 Albion Street, Halifax, HX1 1DU",64052004,5500,Offices and Premises,21
Due West Ltd,"10 Albion Street, Halifax, HX1 1DU",64052010,20750,Amusement Arcade And Premises,21
Atmosphere Bars & Clubs Ltd (In Administration),"17 Alexandra Street, Halifax, HX1 1BS",64056017,4150,Shop and Premises,6
Atmosphere Bars & Clubs Ltd (In Administration),"13/15 Alexandra Street, Halifax, HX1 1BS",64056700,18500,Restaurant and Premises,6
Homeguard Properties Ltd,"Arundel Street, Halifax, HX1 4LE",64084704,2450,Warehouse And Premises,13
Homeguard Properties Ltd,"2nd Floor, Arundel Street, Halifax, HX1 4LE",64084707,1025,Store And Premises,13
,"103a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096703,2550,Shop and Premises,13
Nestle Uk Ltd,"Bailey Hall Mills, Bailey Hall Road, Halifax, HX3 9XT",64124720,37250,Warehouse And Premises,6
S.N.J Mini Market Ltd,"14 Bank Edge Road, Halifax, HX2 8JU",64136014,1800,Shop and Premises,13
,"2 Bank Terrace, Luddenden, Halifax, HX2 6PJ",64140001,1225,Shop and Premises,13
Bibi Investments Ltd,"Battinson Road Mills, Battinson Road, Halifax, HX1 5PR",64176704,35500,Warehouse And Premises,21
,"Baxter Lane Works, Northowram, Halifax, HX3 7EF",64180700,2350,Workshop And Premises,13
,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF",64184703,2950,Store And Premises,21
Qc Supplies Retirement Benefit Scheme,"Unit 1 Quarry Court (Empty), Beacon Hill Road, Halifax, HX3 6AQ",64184709,66500,Warehouse And Premises,21
Pennine Housing 2000 Ltd,"5 Beech Grove, Lightcliffe, Halifax, HX3 8UU",64196005,2450,Shop and Premises,13
Pennine Housing 2000 Ltd,"6 Beech Grove, Lightcliffe, Halifax, HX3 8UU",64196006,2275,Shop and Premises,13
Pennine Housing 2000 Ltd,"7 Beech Grove, Lightcliffe, Halifax, HX3 8UU",64196007,2300,Shop and Premises,13
,"1st Floor, 32 Bell Hall Terrace, Halifax, HX1 3EE",64228700,930,Store And Premises,13
J & G Ainley Tow Bar Ltd,"Unit 9, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236706,2125,Workshop And Premises,18
J & G Ainley Tow Bar Ltd,"Unit 7, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",64236710,1675,Workshop,18
J & G Ainley (Tow Bars) Ltd,"Telecommunications Mast 3G, Site HX0001 Eastfield Mills, Belmont Street, Halifax              HX3 6AT",64236717,5600,Communication Station and Premises,17
Halifax Opportunities Trust,"Office 17 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242715,1375,Offices and Premises,18
Halifax Opportunities Trust,"Office 19 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242717,1425,Offices and Premises,18
Halifax Opportunities Trust,"Office 34 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242731,5400,Offices and Premises,3
Halifax Opportunities Trust,"Office 40 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242737,1425,Offices and Premises,3
Global Commercial Investments Ltd,"First Floor Unit H, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax              HX1 5JH",64242747,5400,Warehouse And Premises,21
Halifax Opportunities Trust,"Office 26 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242751,2200,Offices and Premises,13
Halifax Opportunities Trust,"Office 1,2ND Floor Bond Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",64242767,10500,Offices And Premises,21
Maramar Holdings Ltd,"Unit 1A, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242783,5700,Workshop And Premises,21
Maramar Holdings Ltd,"Unit 1, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",64242784,10500,Offices And Premises,21
,"101B Hopwood Lane, Halifax, HX1 4HB",64242808,1600,Shop And Premises,18
Global Commercial Investments Ltd,"Front Part Unit H, Craven Edge Ent Centre, Hopwood Lane, Halifax              HX1 5JH",64242817,3400,Warehouse And Premises,21
,"Ground & Lower Ground Floor, Berwick Mill, Berwick Street, Halifax              HX1 1QG",64244701,7600,Workshop And Premises,21
,"33A Stainland Road, Greetland, Halifax, HX4 8AD",64254752,6500,Shop and Premises,21
B W Sipp Trustees Limited,"1 The Long Mill, Bowes Yard, Stainland Road, Greetland            HX4 8AD",64254756,8300,Store And Premises,12
Hird & Partners Llp,"10 Blackwall, Halifax, HX1 2BE",64268010,11750,Surgery And Premises,21
Property Holdings Executive Scheme,"Trinity House, Blackwall, Halifax, HX1 2QR",64268709,6500,Offices and Premises,6
Property Holdings Executive Scheme,"Trinity House, Blackwall, Halifax, HX1 2QR",64268710,65000,Offices and Premises,6
Calderdale Mbc Community Services,"Boothtown Road, Halifax, HX3 6ET",64284700,990,Public Conveniences,13
Calderdale Mbc Markets Manager,"40/42 Borough Market, Halifax, HX1 1DY",64288705,9500,Market Stall And Premises,6
Calderdale Mbc Markets Manager,"Market Stall 104-107, Market Hall, Borough Market, Halifax             HX1 1DZ",64288748,5300,Market Stall And Premises,6
Calderdale Mbc Markets Manager,"Cellar Store 1, Borough Market, Halifax, HX1 1DZ",64288770,149,Store And Premises,13
Calderdale Mbc Markets Manager,"Cellar Store 2, Borough Market, Halifax, HX1 1DZ",64288771,149,Store And Premises,13
Calderdale Mbc Markets Manager,"Cellar Store 3, Borough Market, Halifax, HX1 1DZ",64288772,300,Store And Premises,13
Calderdale Mbc Markets Manager,"Cellar Store 4, Borough Market, Halifax, HX1 1DZ",64288773,149,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store 2, Borough Market, Halifax, HX1 1DZ",64288775,193,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store 3, Borough Market, Halifax, HX1 1DZ",64288776,167,Store And Premises,6
Calderdale Mbc Markets Manager,"Balcony Store 5, Borough Market, Halifax, HX1 1DZ",64288777,167,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store 10, Borough Market, Halifax, HX1 1DZ",64288782,750,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store 12, Borough Market, Halifax, HX1 1DZ",64288784,570,Store And Premises,6
Calderdale Mbc Markets Manager,"Balcony Store 14, Borough Market, Halifax, HX1 1DZ",64288786,530,Store And Premises,6
Calderdale Mbc Markets Manager,"Balcony Store 18, Borough Market, Halifax, HX1 1DZ",64288789,1000,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store 19, Borough Market, Halifax, HX1 1DZ",64288790,680,Store And Premises,6
Calderdale Mbc Markets Manager,"Balcony Store 20, Borough Market, Halifax, HX1 1DZ",64288791,485,Store And Premises,6
Calderdale Mbc Markets Manager,"Balcony Store 21, Borough Market, Halifax, HX1 1DZ",64288792,630,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store 31, Borough Market, Halifax, HX1 1DZ",64288803,240,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store 32, Borough Market, Halifax, HX1 1DZ",64288804,133,Store And Premises,13
Calderdale Mbc Markets Manager,"Balcony Store, 29 Borough Market, Halifax, HX1 1DZ",64288817,455,Store And Premises,6
Calderdale Mbc Markets Manager,"Market Stall 108-109, Market Hall, Borough Market, Halifax              HX1 1DZ",64288818,4000,Market Stall And Premises,6
Calderdale Mbc Markets Manager,"Market Stall 119, Market Hall, Borough Market, Halifax              HX1 1DZ",64288820,3800,Shop and Premises,6
Calderdale Mbc Markets Manager,"1ST Flr Market Stall 77-79, Market Hall, Borough Market, Halifax              HX1 1DZ",64288822,1575,Store And Premises,6
Calderdale Mbc - Chief Executives Office,"Office Suite G3, Dean Clough Mills, Halifax, HX3 5AX",64296714,104000,Offices and Premises,6
Dean Clough Ltd,"Office Suite T4, Dean Clough Mills, Halifax, HX3 5AX",64296717,1550,Offices And Premises,6
Dean Clough Ltd,"Firestation (Empty), Dean Clough Mills, Halifax, HX3 5AX",64296729,16750,Offices And Premises,6
Dean Clough Ltd,"Office Suite D107, Dean Clough Mills, Halifax, HX3 5AX",64296734,1325,Offices And Premises,13
Dean Clough Ltd,"Unit 2 F Mill Courtyard, Dean Clough Mills, Halifax, HX3 5AX",64296736,5200,Retail Area & Premises,3
Dean Clough Ltd,"Unit 1 F Mill Courtyard, Dean Clough Mills, Halifax, HX3 5AX",64296738,13500,Retail Area & Premises,3
Dean Clough Ltd,"Pt Grd 4TH & 5TH Flrs F Mill, Dean Clough Mills, Halifax, HX3 5AX",64296740,302500,Offices And Premises,3
Uno Ali Ltd,"3 Waterhouse Street, Halifax, HX1 1XX",64304707,29250,Restaurant and Premises,21
,"Hough Mills, Bradford Road, Halifax, HX3 7BN",64332701,27500,Warehouse And Premises,21
Edgar Dickinson Properties Ltd,"Unit 76 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344732,3300,Offices and Premises,21
Edgar Dickinson Properties Ltd,"Unit 73 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344736,4100,Offices and Premises,21
Edgar Dickinson Properties Ltd,"Unit 72 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344757,1775,Offices And Premises,18
Marrtree Ltd,"Unit 12, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA",64352717,12500,Workshop And Premises,12
Marrtree Ltd,"Unit 11, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL",64352736,15500,Warehouse And Premises,12
,"Unit 2 Riverside Works, Luddendenfoot, Halifax, HX2 6HU",64356702,6400,"Warehouse, Offices and Premises",21
,"Unit 9 Lower Brearley Mill, Luddendenfoot, Halifax, HX2 6HU",64356713,4400,Offices and Premises,21
Keswickton Securities Ltd,"Unit 2 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF",64376742,6300,Warehouse And Premises,21
Trustees Of B Holmes Discretionary Settlement,"37/39 Broad Street, Halifax, HX1 1YA",64400720,8300,Restaurant And Premises,21
,"Brookfoot Lane, Southowram, Halifax, HX3 9SX",64408700,940,Club House And Premises,13
Johnston Publishing Ltd,"Ground Floor Store, Below Courier Offices, Bull Close Lane, Halifax              HX1 2SH",64432711,16750,Store And Premises,21
,"23C Bull Close Lane, Halifax, HX1 2EF",64432715,1500,Shop and Premises,13
Kevin F Crowley & Co,"10 Bull Green, Halifax, HX1 5AB",64436010,7300,Shop and Premises,3
Copperplan Limited,"38 Bull Green, Halifax, HX1 5AB",64436038,8900,Hairdressing Salon and Premises,21
Pennine Housing 2000,"Bar Number Fifteen, Bull Green, Halifax, HX1 2DZ",64436713,16500,Public House and Premises,21
,"13/15 Bull Green, Halifax, HX1 2EB",64436716,8300,Shop And Premises,21
,"8 Bull Green, Halifax, HX1 5AB",64436803,22000,Restaurant and Premises,3
,"1ST & 2ND Floors, 34 Bull Green, Halifax, HX1 5AB",64436808,2375,Store And Premises,13
,"The Conservatory Village, Burnley Road, Halifax, HX2 7LW",64444702,3800,Sales Site And Premises,21
,"Car Sales Site, Junction Of Trimmingham Lane, Burnley Road, Halifax              HX2 7JG",64444707,1800,Car Sales Site and Premises,18
Gradon Estates Ltd,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",64448706,5100,Public House and Premises,6
Brogan Business Parks Ltd,"Units B8 & B10, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448737,5700,Workshop And Premises,21
Trustees Of The Damika Ltd Pension Fund,"Upperfoot Farm Shop, Burnley Road, Luddendenfoot, Halifax              HX2 6HL",64448755,4650,Shop and Premises,21
Brogan Business Parks Ltd,"Unit B3, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448769,1725,Offices and Premises,18
Brogan Business Parks Ltd,"Unit C7, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",64448786,3250,Store And Premises,21
Brogan Business Parks Ltd,"Unit G5, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ",64448790,3400,Workshop And Premises,12
Brogan Business Parks Ltd,"Security Office, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",64448833,465,Office,13
Edwards Excavations Ltd,"Unit 1 Springwood Bsnss Pk, Brookwoods Industrial Estate, Burrwood Way, Holywell Green       HX4 9BH",64456712,19250,Warehouse And Premises,21
,"Edwards Road Post Office, Edwards Road, Halifax, HX2 7DL",64472002,6700,Shop and Premises,21
B W Sipp Trustees Limited,"Calder Street, West Vale, Halifax, HX4 8AQ",64480701,1550,Land Used For Storage and Premises,13
S Sheard & Sons Ltd,"Calder Street, West Vale, Halifax, HX4 8AQ",64480703,9600,Workshop And Premises,21
,"Office 1, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480709,1225,Office,13
,"Office 2, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480710,2225,Office,18
,"Office 3, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ",64480711,3600,Office,6
,"6 Carlton Place, Halifax, HX1 2SB",64484006,6000,Hotel And Premises,21
,"8 Carlton Place, Halifax, HX1 2SB",64484706,34000,Restaurant And Premises,21
Viney Becks Ltd,"Ground Floor, 3 Carlton Place, Halifax, HX1 2SB",64484708,12500,Offices And Premises,21
,"1ST & 2ND Floors, 3 Carlton Place, Halifax, HX1 2SB",64484709,26000,Offices And Premises,21
,"9 Carlton Street, Halifax, HX1 2AL",64488709,5300,Offices and Premises,21
Due West Limited,"Old Sunday School, Carlton Street, Halifax, HX1 2AD",64488710,9300,Dance School And Premises,21
,"12 Carr House Road, Shelf, Halifax, HX3 7QY",64500012,4600,Shop and Premises,21
,"19 Charles Street, Halifax, HX1 1QW",64500019,47500,Showroom And Premises,21
Eco Windows Ltd,"5-7 Central Street, Halifax, HX1 1HU",64524708,21250,Restaurant and Premises,21
Lister Horsfall Ltd,"4 Cheapside, Halifax, HX1 1TQ",64552004,12750,Shop and Premises,21
Lister Horsfall Ltd,"6 Cheapside, Halifax, HX1 1TQ",64552006,18250,Shop And Premises,21
,"Pellon Community Centre, Church Lane, Mount Pellon, Halifax             HX2 0JG",64564701,7700,Community Centre And Premises,21
Royal London Mutual Insurance Society Ltd,"Church St Filling Station, Church Street, Halifax, HX1 1QY",64572703,3000,Store And Premises,21
,"Basement, Empire Buildings, Church Street, Halifax             HX1 1QY",64572705,1850,Warehouse And Premises,13
Royal London Mutual Insurance Society Ltd,"Unit A, Church Street Garage, Church Street, Halifax             HX1 1QY",64572708,5800,Workshop And Premises,21
Royal London Mutual Insurance Society Ltd,"Church Street, Halifax, HX1 1QY",64572710,27750,Showroom And Premises,21
Royal London Mutual Insurance Society Ltd,"Former Filling Station, Church Street, Halifax, HX1 1QY",64572711,13250,Offices and Premises,21
S Sheard & Son Ltd,"Prospect Mill, Church Street, Greetland, Halifax              HX4 8LY",64576702,62500,Warehouse And Premises,21
,"Room 1,2nd Floor, 3 Clare Road, Halifax, HX1 2HX",64584743,1100,Office and Premises,13
,"Room 2, 3 Clare Road, Halifax, HX1 2HX",64584748,1100,Offices and Premises,13
,"Room 3,2nd Floor, 3 Clare Road, Halifax, HX1 2HX",64584750,1075,Offices and Premises,13
Halifax Chiropractic Centre Ltd,"First Floor, 20 Clare Road, Halifax, HX1 2HX",64584787,3800,Offices And Premises,21
Southdale Homes Ltd,"Ground Floor, 18 Clare Road, Halifax, HX1 2JP",64584791,7400,Offices And Premises,21
Janjua Associates Ltd,"1ST & 2ND Flrs, 32 Clare Road, Halifax, HX1 2HX",64584802,8400,Offices And Premises,21
Maramar Holdings Ltd,"295 Claremount Road, Halifax, HX3 6AW",64592295,3700,Shop and Premises,21
,"38 Clough Lane, Mixenden, Halifax, HX2 8SN",64612038,2750,Shop and Premises,21
Leeds & Bradford Properties Ltd,"28 Clough Lane, Mixenden, Halifax, HX2 8SN",64612712,2375,Hairdressing Salon and Premises,18
Bizspace Ltd,"The Gatehouse, Unit 22, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628716,1625,Offices and Premises,13
Bizspace Ltd,"Unit 1A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628730,4650,Offices and Premises,21
Bizspace Ltd,"Unit 8C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628746,3100,Offices and Premises,21
Bizspace Ltd,"Unit 10b, Calderdale Business Park, Club Lane, Halifax             HX2 8AX",64628748,930,Office,13
Bizspace Ltd,"Unit 10c, Calderdale Business Park, Club Lane, Halifax             HX2 8AX",64628749,960,Office,18
Bizspace Ltd,"Unit 6E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628764,2325,Store,18
Bizspace Ltd,"Unit 6F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628765,2425,Workshop,18
Bizspace Ltd,"Unit 6G, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",64628766,1950,Store,13
Bizspace Ltd,"Unit 6A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628773,2325,Store,18
Bizspace Ltd,"Unit 16E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628791,1250,Offices and Premises,13
Bizspace Ltd,"Unit 16H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628792,5500,Offices and Premises,21
Bizspace Ltd,"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628797,2750,Offices and Premises,21
Bizspace Ltd,"Unit 8H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628798,2750,Offices and Premises,21
Bizspace Ltd,"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628799,1050,Offices and Premises,13
Bizspace Ltd,"Unit 7, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628800,7000,Offices and Premises,21
Bizspace Ltd,"Unit 4F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628806,3000,Store And Premises,21
Bizspace Ltd,"Unit 7A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628810,1450,Offices and Premises,13
Bizspace Ltd,"Unit 8D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628811,1725,Offices and Premises,13
Bizspace Ltd,"Unit 8B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628812,3900,Offices and Premises,21
Bizspace Ltd,"Unit 4G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628816,41250,Warehouse And Premises,21
Bizspace Ltd,"Unit 16I & Unit 16J, Calderdale Business Park, Club Lane, Halifax              HX2 8DB",64628820,4650,Offices and Premises,21
Bizspace Ltd,"Unit 16K, Calderdale Buslness Park, Club Lane, Halifax              HX2 8AX",64628824,5200,Offices and Premises,21
Bizspace Ltd,"Unit 16A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628833,1175,Office,13
Bizspace Ltd,"Unit 16B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628835,1750,Office,13
Bizspace Ltd,"Unit 16D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628837,1675,Office,13
Bizspace Ltd,"Unit 10E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628840,2500,Office,13
Bizspace Ltd,"Unit 10F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628841,970,Office,18
Bizspace Ltd,"Unit 10G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628844,550,Offices And Premises,13
Bizspace Ltd,"Unit 10A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628847,1150,Office,18
Bizspace Ltd,"Unit 10D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628848,770,Office,18
