OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,8869,Annual Support & Maintenance for Eros,CENTRAL & CORPORATE,214-Computer Software & Equipment,,24/03/2015,,,,,"13,570.62",,"HALAROSE LIMITED Goring House Beechwood Court Long Toll WOODCOTE, OXFORDSHIRE RG8 0RR",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,S7516,Hemingways Open Space,STRATEGIC LANDLORD,114-Other,,20/03/2015,,,,,"7,287.53",,GROUNDWORK LEEDS Environmental & Business Services Merlyn-Rees Avenue MORLEY  LEEDS LS27 9SL,,d) Medium,,Mark Wheelwright,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,IN-65227-1,ICT Agency Fees,CENTRAL & CORPORATE,,,05/03/2015,,,,,"9,700.00",,GCS Recruitment Specialists Ltd 2 Wesley Gate  70-74 Queens Road NULL READING RG1 4AP,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,5968,"Remove existing ramps, prefabricate",CENTRAL & CORPORATE,,,04/03/2015,,,,,"6,500.00",,G & S PINPLATES AND ENGINEERING LTD City Works Melbourne Street MORLEY    LEEDS LS27 8BG,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,413715,Repose Mattress / Repose Foot Protectors,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,203-Operational Furniture And Equipment,,27/03/2015,,,,,"9,073.35",,FRONTIER THERAPEUTICS LIMITED Newbridge Road Industrial Estate Blackwood SOUTH WALES NP12 2YN,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,596037,Legal fees,CENTRAL & CORPORATE,277-Bought In Professional Services,,19/03/2015,,,,,"8,738.40",,FORD & WARREN SOLICITORS Westgate Point Westgate LEEDS LS1 2AX,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,2009001227,Leeds International Film Festival Venue Hire,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,04/03/2015,,,,,"5,000.00",,"Everyman Media Limited 2 Downshire Hill Studio 4, Hampstead LONDON NW3 1NR",,Other/Not known,,Alexander King,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,0537/0634,Leeds Pupil Population Study/Craven District demographic study,CENTRAL & CORPORATE,277-Bought In Professional Services,,30/03/2015,,,,,"10,000.00",,EDGE ANALYTICS LTD Leeds Innovations Centre 103 Clarendon Road LEEDS LS2 9DF,,b) Micro,,Peter Storrie,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1518829,Legal Fees,INSURANCE,265-Other Hired And Contracted Services,,19/03/2015,,,,,"5,612.07",,DWF LLP Scott Place 2 Hardman Street NULL MANCHESTER M3 3AA,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,9100708443,Replace fire shutter,CITY DEVELOPMENT,,,05/03/2015,,,,,"6,260.10",,DORMA UK LIMITED Wilbury Way Hitchin HERTS SG4 0AB,,e) Large,,Graham Cain / Chris Ashby,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,INVDO60,Legal Fees,CHILDRENS SERVICES,411-Legal Disbursements,,11/03/2015,,,,,"6,845.57",,David Orbaum Sovereign Chambers 46 Park Place LEEDS LS1 2RY,,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,91585,Call charges,CENTRAL & CORPORATE,213-Telephones,,03/03/2015,,,,,"7,185.14",,DAMOVO UK LTD Broadlands Business Park Langhurstwood Road HORSHAM WEST SUSSEX RH12 4QP,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1434,UV Films and Blinds at Lotherton Hall,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,20/03/2015,,,,,"8,700.00",,CSC Window Films Riverlands Main Street Gunthorpe NOTTINGHAM NG14 7EU,,b) Micro,,Wendy Shuttleworth,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,155249,Supply SL1000 Digital microphones,CITY DEVELOPMENT,214-Computer Software & Equipment,,18/03/2015,,,,,"8,300.00",,COVERGOLD 39 Tenter Road Moulton Park NORTHAMPTON NN3 6AX,,c) Small,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,INV-782231141,Bar Refurbishment,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,25/03/2015,,,,,"26,814.74",,Cornel Building Services Ltd. 7 Broad Cut Road Caldergrove WAKEFIELD WF4 3DR,,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,SI-168187,Rothwell Build - New Trampoline,ADULT SOCIAL CARE,,,11/03/2015,,,,,"5,793.27",,CONTINENTAL SPORTS LTD Millgate Paddock HUDDERSFIELD HD1 4SD,,d) Medium,,Carolyne Thrippleton,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1146,Funding for Safetalk Training.,CENTRAL & CORPORATE,526-Public Health Commissioned Services,,27/03/2015,,,,,"8,666.00",,Community Links (Northern)  Ltd Unit 3 Limewood Business Park Limewood Way LEEDS LS14 1AB,,d) Medium,,Phil Slavin,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,675,Contribution to the Partners Project,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,06/03/2015,,,,,"5,000.00",,COGS Ltd Ebor Court  Skinner Street NULL LEEDS LS1 4ND,,b) Micro,,Anne McMaster,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,111174,Subscription,CITY DEVELOPMENT,206-Books & Audio-Visual Materials,,27/03/2015,,,,,"9,995.00",,COBWEB INFORMATION LTD Unit 9 Bankside The Watermark NULL GATESHEAD NE11 9SY,,b) Micro,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,1029,Mind Management Workshops,CHILDRENS SERVICES,277-Bought In Professional Services,,31/03/2015,,,,,"10,200.00",,CHIMP Management Newlyn  Crossings Road NULL CHAPEL -EN - LE -FIRTH SK23 9RY,,Other/Not known,,Paul Brennan,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,54542003,Subscription,CITY DEVELOPMENT,206-Books & Audio-Visual Materials,,20/03/2015,,,,,"6,714.75",,CENGAGE LEARNING (EMEA) LTD Cheriton House North Way Andover HAMPSHIRE SP10 5BE,,d) Medium,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,SIN000336,Payment for the City of Birmingham Symphony Orchestra,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,27/03/2015,,,,,"25,000.00",,CBSO SOCIETY LIMITED Cbso Centre Berkley Street BIRMINGHAM B1 2LF,,d) Medium,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,R0019893,E-Bulk Licence for DBS System,CENTRAL & CORPORATE,214-Computer Software & Equipment,,04/03/2015,,,,,"5,000.00",,CAPITA Resourcing Ltd Cross And Pillory House Cross And Pillory Lane ALTON GU34 1HL,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,LCC476,Various building works,STRATEGIC LANDLORD,265-Other Hired And Contracted Services,,16/03/2015,,,,,"5,881.14",,C D ROBINSON BUILDING & PLASTERING Unit 8 Ashton Road Ind Estate Ashton Road LEEDS LS8 5BZ,,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,285049,Legal Fees,INSURANCE,265-Other Hired And Contracted Services,,12/03/2015,,,,,"68,586.58",,BROWNE JACOBSON Mowbray House Castle Meadow Road NOTTINGHAM NG2 1BJ,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,5697,Performance at Leeds Town Hall,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,06/03/2015,,,,,"14,710.00",,Britten Sinfonia Ltd 13 Sturton Street NULL CAMBRIDGE CB1 2SN,,Other/Not known,,Matthew Sims,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,90003727,Payment for the BBC Philharmonic,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,12/03/2015,,,,,"22,000.00",,BBC PUBLIC SERVICES BRDC Po Box 482 NULL MANCHESTER M14 0EP,,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,14643,Business Start-Up Reports,CENTRAL & CORP FUNC ADMINIST (NON LCC),265-Other Hired And Contracted Services,,31/03/2015,,,,,"8,500.00",,BankSearch Information Consultancy Ltd 1 Violet Close NULL RUGBY CV23 0UD,,b) Micro,,Lynn Cooper,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,3389,Ecological surveys for roofing scheme,ENVIRONMENT & HOUSING,,,25/03/2015,,,,,"6,325.00",,B E Brooks Ecological Unit A 1 Station Road Guiseley LEEDS LS20 8BX,,Other/Not known,,Paul Rounding,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,11177,Complete Audio Visual System,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,04/03/2015,,,,,"108,590.83",,Auditel Rental And Service Ltd 4 Parkhouse Business Centre Desborough Park Road HIGH WYCOMBE HP12 3DJ,,c) Small,,Mick Judge,DDN/Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,INV25251,Queensview - Sprinkler system,STRATEGIC LANDLORD,265-Other Hired And Contracted Services,,27/03/2015,,,,,"30,500.00",,ARMSTRONG PRIESTLEY LTD 77 Holbeck Lane Holbeck LEEDS LS11 9UL,,d) Medium,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,8448,Redecoration to School Library,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,04/03/2015,,,,,"5,900.00",,Alfred Bagnall & Sons (Leeds) Ltd 6 Manor Lane Shipley BRADFORD BD18 3RD,,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,SHR/FARLEY/324256.00,Legal Fees - Empty Property Buy Back,ENVIRONMENT & HOUSING,,,09/03/2015,,,,,"85,000.00",,Advantage Property Lawyers Hurley House 1 Dewsbury Road LEEDS LS11 5DQ,,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,3003268277,SAP Maintenance,CENTRAL & CORPORATE,259-Consultancy Services,,13/03/2015,,,,,"5,162.60",,ACCENTURE (UK) LTD 30 Fenchurch Street NULL LONDON EC3M 3BD,,e) Large,,Suzanne Hopes,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,31/03/2015,7989,Comfort Turn Alternating / Low Air Matress.,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,203-Operational Furniture And Equipment,,06/03/2015,,,,,"5,030.00",,1ST CALL MOBILITY LTD Baros House Elizabeth Way HARLOW ESSEX CM19 5AR,,c) Small,,Evelyn Cryer,Other
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
