Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2017,VO Code,Property Description,Empty,Empty From,Charity,Disc,Mand,SBRR
Ref: 10835201190072,MR TERENCE CAIN                 ,                                ,06.04.2011                                               ,UNIT 3                          ,                                ,MEADOWCROFT MILL                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4AU,1875,IF3  ,WORKSHOP AND PREMISES                                       ,Y    ,06.04.2011                                               , ,0,0, 
Ref: 10835201220009,,,01.04.2005                                               ,UNIT 6                          ,                                ,MEADOWCROFT MILL                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4AU,6900,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0,Y
Ref: 10835201750051,,,01.04.2015                                               ,                                ,                                ,841 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4AA,9200,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10835201870041,,,28.04.2005                                               ,HARE AND HOUNDS                 ,                                ,865 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4AA,15000,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
Ref: 10835210399364,SIMPSON SPENCE & YOUNG LTD      ,                                ,01.06.2005                                               ,                                ,                                ,1ST FLR BURY ROAD                  ,559,ROCHDALE                        ,LANCASHIRE                      ,OL11 4DQ,4150,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 10835211089527,RJ & RA BUCKLEY LTD             ,                                ,01.02.2008                                               ,GND FLR                         ,                                ,563 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,14250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10835218728476,,,01.04.2005                                               ,UNIT 3 1ST FLOOR                ,                                ,MEADOWCROFT MILL                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4AU,1200,CW   ,WAREHOUSE AND PREMISES                                      ,Y    ,01.04.2005                                               , ,0,0, 
Ref: 10835230999805,G T S SHEET METAL LTD           ,                                ,01.04.2005                                               ,REDBROOK MILL G T S             ,FABRICATIONS                    ,BURY ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,15000,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10835238412592,THE BEAUTY CLINIC LTD           ,                                ,17.07.2006                                               ,                                ,                                ,1ST FLR BURY ROAD                  ,563,ROCHDALE                        ,LANCASHIRE                      ,OL11 4DQ,3850,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0,Y
Ref: 10835247836299,MANSFIELD SOFT FURNISHINGS      ,LTD(L)                          ,06.08.2007                                               ,UNIT 1 1ST FLOOR                ,                                ,MEADOWCROFT MILL                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,1075,CW   ,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
Ref: 10835255205756,TEZPATA LTD                     ,                                ,06.01.2017                                               ,GND FLR                         ,                                ,559 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,12250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10835287797796,,,25.01.2015                                               ,                                ,                                ,UNIT 4A MEADOWCROFT MILL           ,BURY ROAD                          ,ROCHDALE                        ,                                ,OL11 4AU,4200,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10835287797797,,,15.07.2016                                               ,                                ,                                ,UNIT 4 MEADOWCROFT MILL            ,BURY ROAD                          ,ROCHDALE                        ,                                ,OL11 4AU,3150,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10835290056221,NIGHTINGALE SUPPLIES (2014) LTD ,                                ,02.02.2017                                               ,                                ,                                ,BAMFORD WINES                      ,575 BURY ROAD                      ,ROCHDALE                        ,                                ,OL11 4DQ,12500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10835290420031,FLOWERS BY HARRIS UK LTD        ,                                ,08.07.2011                                               ,                                ,                                ,509-511 BURY ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DG,19250,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10835291311876,CARDPOINT PLC                   ,                                ,01.04.2005                                               ,BANK OF SCOTLAND ATM            ,                                ,AT 531 BURY ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DG,3750,CX   ,SITE OF ATM AND PREMISES                                    ,     ,                                                         , ,0,0, 
Ref: 10835291607831,,,01.04.2005                                               ,                                ,                                ,1ST FLR 571                        ,BURY ROAD                          ,ROCHDALE                        ,LANCASHIRE                      ,OL11 4DQ,5700,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 10835293214521,INPOST UK LIMITED               ,                                ,06.10.2014                                               ,                                ,                                ,INPOST PARCEL LOCKER UKROC11290    ,BURY ROAD                          ,ROCHDALE                        ,                                ,OL11 4DG,1500,CX   ,SITE OF ELECTRONIC DELIVERY LOCKER & PREMISES               ,     ,                                                         , ,0,0, 
Ref: 10835293220264,MJ TOTAL SECURITY LTD           ,                                ,01.07.2011                                               ,                                ,                                ,207 BURY ROAD                      ,ROCHDALE                           ,                                ,                                ,OL11 4EE,6500,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10835293479544,QUESTMEAD LTD                   ,                                ,15.11.2012                                               ,                                ,                                ,GND FLR THE LODGE                  ,MEADOWCROFT MILL                   ,ROCHDALE                        ,                                ,OL11 4AU,8700,CW   ,WAREHOUSE OFFICES AND PREMISES                              ,     ,                                                         , ,0,0,Y
Ref: 10835293745694,,,01.04.2005                                               ,                                ,                                ,563A BURY ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,4750,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0,Y
Ref: 10835293774595,THE ITALIAN ROOM BAR &          ,RESTAURANT LTD                  ,03.02.2014                                               ,                                ,                                ,567 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,18750,CR   ,RESTAURANT AND PREMISES                                     ,     ,                                                         , ,0,0, 
Ref: 10835294248029,,,03.09.2008                                               ,PT GND FLR FRONT 571            ,                                ,BURY ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,10750,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10835294739906,,,01.09.2015                                               ,                                ,                                ,217 BURY ROAD                      ,ROCHDALE                           ,                                ,                                ,OL11 4EE,6100,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10835294739907,,,01.01.2018                                               ,                                ,                                ,217A BURY ROAD                     ,ROCHDALE                           ,                                ,                                ,OL11 4EE,6400,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 10835295415145,PEOPLEPRINT COMMUNITY MEDIA     ,WORKSHOP                        ,01.08.2015                                               ,                                ,                                ,UNIT 2 1ST FLR REDBROOK MILL       ,BURY ROAD                          ,ROCHDALE                        ,                                ,OL11 4EE,7000,CW3O ,"STORE, OFFICE AND PREMISES                                  ",     ,                                                         ,Y,100,0, 
Ref: 10835295415147,CYCLE ADDICTS UK LTD            ,                                ,01.08.2015                                               ,                                ,                                ,UNIT 3 1ST FLR REDBROOK MILL       ,BURY ROAD                          ,ROCHDALE                        ,                                ,OL11 4EE,7600,IF3  ,"SHOWRROM, WORKSHOP AND PREMISES                             ",     ,                                                         , ,0,0,Y
Ref: 10835295653195,,,01.10.2014                                               ,                                ,                                ,219 BURY ROAD                      ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4EE,4300,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10835296064392,BOND BOARD LTD                  ,F.A.O SANDRA BARRATT            ,01.07.2011                                               ,                                ,                                ,209-211 BURY ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,10500,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         ,Y,20,80, 
Ref: 10835297073680,,,01.04.2005                                               ,PT GND FLR REAR 571             ,                                ,BURY ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,2325,CO   ,OFFICE                                                      ,     ,                                                         , ,0,0, 
Ref: 10835297294405,SUNDERLAND AND WILD SCREENPRINTS,LTD                             ,01.04.2005                                               ,REDBROOK MILL                   ,                                ,BURY ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,11500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10835297351648,MOBILE BROADBAND NETWORK LTD    ,                                ,28.01.2014                                               ,T-MOBILE (52072)                ,                                ,BURY ROAD DNS                      ,BURY ROAD                          ,                                ,                                ,OL11 5HW,4600,MT1  ,COMMUNICATION STATION AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 10835297638416,,,01.04.2016                                               ,GND FLR 573                     ,                                ,BURY ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,13500,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 10835298134913,,,30.09.2015                                               ,                                ,                                ,SECTION 2C                         ,UNIT 2 REDBROOK MILL               ,BURY ROAD                       ,ROCHDALE                        ,OL11 4EE,5600,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10835298135627,LINK JOINERY & BUILDING LTD     ,                                ,30.09.2015                                               ,                                ,                                ,SECTION 2D                         ,UNIT 2 REDBROOK MILL               ,BURY ROAD                       ,ROCHDALE                        ,OL11 4EE,3450,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10835298137549,VITA DE LUSSO LTD               ,                                ,30.09.2015                                               ,                                ,                                ,SECTION 2A                         ,UNIT 2 REDBROOK MILL               ,BURY ROAD                       ,ROCHDALE                        ,OL11 4EE,5800,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10835298138146,BUONO CAPELLI LTD               ,                                ,30.09.2015                                               ,                                ,                                ,SECTION 2B                         ,UNIT 2 REDBROOK MILL               ,BURY ROAD                       ,ROCHDALE                        ,OL11 4EE,5300,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10835298153309,PRO-FRICTION LTD                ,                                ,16.04.2011                                               ,PRO-FRICTION LTD                ,LWR GND FLR                     ,MEADOWCROFT MILL                   ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4AU,5300,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10835298836356,HOYLE LTD                       ,                                ,01.03.2011                                               ,                                ,                                ,1ST FLR BURY ROAD                  ,567,ROCHDALE                        ,LANCASHIRE                      ,OL11 4DQ,5000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10835299159371,CLEAR CHANNEL UK LIMITED        ,                                ,01.04.2005                                               ,GABLE FORRESTERS ARMS           ,                                ,211 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,1450,CA   ,ADVERTISING RIGHT AND PREMISES                              ,     ,                                                         , ,0,0, 
Ref: 10838700080099,,,29.10.2015                                               ,                                ,                                ,262-266 BURY ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,18500,MH   ,SURGERY AND PREMISES                                        ,     ,                                                         , ,0,0, 
Ref: 10838700360083,,,14.04.2014                                               ,                                ,                                ,336 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EB,3300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10838700660014,,,19.04.2008                                               ,Mr Halstead former oakenrod     ,service station                 ,BURY ROAD                          ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4EB,1400,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
Ref: 10838700690039,,,11.03.2014                                               ,                                ,                                ,412 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5EU,9800,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10838700950087,,,22.08.2008                                               ,CEMETERY HOTEL                  ,                                ,470 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5EU,19200,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
Ref: 10838700960055,ROCHDALE MBC                    ,                                ,01.04.2005                                               ,DP620 1341 RMBC                 ,                                ,BURY ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,147200,MC1  ,CREMATORIUM AND PREMISES                                    ,     ,                                                         , ,0,0, 
Ref: 10838701191875,,,05.05.2017                                               ,DENTAL SURGERY                  ,                                ,518 BURY ROAD                      ,ROCHDALE                           ,                                ,                                ,OL11 4DQ,8400,MH   ,SURGERY AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10838701520048,,,26.10.2017                                               ,ELEPHANT AND CASTLE             ,                                ,608 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4AU,21675,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
Ref: 10838791147100,,,12.10.2015                                               ,CAR WASH AT FORMER OAKENROAD    ,SERVICE STATION                 ,BURY ROAD                          ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4EB,7000,CX   ,CAR WASH AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10838791310763,ORANGE PERSONAL COMMUNICATIONS  ,SERVICES LTD                    ,01.04.2005                                               ,ORANGE PCS SITE REF GMN 7059    ,                                ,ADJ WINSTON CHURCHILL BURY ROAD    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4DQ,4300,MT1  ,COMMUNICATION STATION AND PREMISES                          ,Y    ,30.06.2012                                               , ,0,0, 
Ref: 10838796428049,,,01.04.2005                                               ,                                ,                                ,334 BURY ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EB,2900,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 10838799159312,CLEAR CHANNEL (UK) LTD          ,                                ,01.04.2005                                               ,GABLE REDBROOK MILL             ,                                ,BURY ROAD                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4EE,1050,CA   ,ADVERTISING RIGHT AND PREMISES                              ,     ,                                                         , ,0,0, 
Ref: 10842694585004,WBD (KINGSWAY MANAGEMENT) LTD   ,                                ,17.06.2010                                               ,Marketing Pod                   ,                                ,KINGSWAY BUSINESS PARK             ,SIR ISAAC NEWTON WAY               ,ROCHDALE                        ,                                ,OL16 4NG,5900,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 10842698864621,DAVID WILSON HOMES LTD          ,                                ,12.09.2011                                               ,SHOWHOUSE                       ,                                ,SIR ISAAC NEWTON WAY               ,ROCHDALE                           ,LANCS                           ,                                ,OL16 4NG,1025,CX   ,SALES CABIN                                                 ,     ,                                                         , ,0,0, 
Ref: 10842699975732,GREENE KING BREWING & RETAILING ,LTD                             ,10.03.2014                                               ,                                ,                                ,THE HORNET                         ,KINGSWAY BUSINESS PARK             ,SIR ISAAC NEWTON WAY            ,ROCHDALE                        ,OL16 4NG,76650,CL   ,PUBLIC HOUSE AND PREMISES                                   ,     ,                                                         , ,0,0, 
Ref: 10883300220047,APPLICATION TAPE CO LTD         ,                                ,01.11.2009                                               ,                                ,                                ,APPLICATION TAPE CO LTD            ,CALF HEY SOUTH                     ,ROCHDALE                        ,                                ,OL11 2JS,12000,CWO  ,"WAREHOUSE, OFFICE AND PREMISES                              ",     ,                                                         , ,0,0, 
Ref: 10904500020055,APPLICATION TAPE CO LTD         ,                                ,07.11.2006                                               ,UNIT 11                         ,                                ,CANAL STREET WORKS                 ,CANAL STREET                       ,ROCHDALE                        ,                                ,OL11 1AB,2900,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 10904500060048,SALT SEPARATION SERVICES LTD    ,                                ,18.12.2015                                               ,ACACIA PACKAGING LTD (FORMERLY) ,                                ,7 CANAL STREET WORKS               ,CANAL STREET                       ,ROCHDALE                        ,                                ,OL11 1AB,9800,CW   ,WAREHOUSE AND PREMISES                                      ,Y    ,18.12.2015                                               , ,0,0, 
Ref: 10940400360089,,,01.04.2005                                               ,CASTLEMERE BANQUETING HALL      ,                                ,CASTLEMERE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3SW,16500,LC   ,BANQUETTING HALL AND PREMISES                               ,     ,                                                         , ,0,0, 
Ref: 10940499186457,ROCHDALE BOROUGHWIDE            ,HOUSING LTD                     ,26.03.2012                                               ,H3051 1341 RMBC                 ,                                ,BOUNDARY STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3SW,1275,LS4  ,KICK PITCH AND PREMISES                                     ,     ,                                                         , ,0,0, 
Ref: 10940499192778,,,01.04.2005                                               ,THE DOJO                        ,                                ,CASTLEMERE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1EF,6600,LX   ,MARTIAL ARTS CENTRE AND PREMISES                            ,     ,                                                         , ,0,0,Y
Ref: 10943900070014,ROCHDALE MBC                    ,                                ,01.04.2005                                               ,S0196 1341 RONALD GORTON CENTRE ,                                ,CASTLEMERE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3SW,15750,LC   ,COMMUNITY CENTRE AND PREMISES                               ,Y    ,06.07.2012                                               , ,0,0, 
Ref: 10949800010081,F WAINWRIGHT & CO. LTD.         ,                                ,01.04.2005                                               ,F WAINWRIGHT AND CO             ,                                ,MANCHESTER ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2UY,11750,CG2  ,GARAGE AND PREMISES                                         ,     ,                                                         , ,0,0,Y
Ref: 10958595609669,THE SAMARITANS                  ,                                ,21.04.2006                                               ,                                ,                                ,5 CATON STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QJ,13000,CO   ,OFFICES AND PREMISES                                        ,     ,                                                         ,Y,20,80, 
Ref: 10968093625784,,,01.10.2017                                               ,                                ,                                ,UNIT 2 AT CLOVER GARAGE            ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,4450,IF3  ,WORKSHOP                                                    ,     ,                                                         , ,0,0, 
Ref: 10968096258745,,,01.01.2017                                               ,                                ,                                ,UNIT 5B                            ,CLOVER GARAGE                      ,CAYLEY STREET                   ,ROCHDALE                        ,OL16 5DJ,2800,CW3  ,STORE AND PREMISES                                          ,     ,                                                         , ,0,0,Y
Ref: 10968096952487,,,01.07.2013                                               ,                                ,                                ,UNIT 3 AT CLOVER GARAGE            ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,5300,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10968097668973,,,01.04.2014                                               ,                                ,                                ,UNIT 4B                            ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,3900,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10968097860193,,,01.08.2013                                               ,                                ,                                ,UNIT 4A                            ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,3900,IF3  ,WORKSHOP                                                    ,     ,                                                         , ,0,0,Y
Ref: 10968098571452,,,12.06.2017                                               ,                                ,                                ,UNIT 1 AT CLOVER GARAGE            ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,6100,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10968098579184,,,01.04.2014                                               ,                                ,                                ,UNIT 4                             ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,7700,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10968099635834,,,23.10.2012                                               ,                                ,                                ,UNIT 5 CLOVER GARAGE               ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,6900,CG1  ,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0,Y
Ref: 10968099635844,,,19.12.2016                                               ,                                ,                                ,UNIT 5A CLOVER GARAGE              ,CAYLEY STREET                      ,ROCHDALE                        ,                                ,OL16 5DJ,3550,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 10979400020058,MAYFIELD SPORTS CENTRE          ,                                ,23.06.2005                                               ,CASTLETON GABRIELS FC           ,                                ,CHADWICK LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 3BY,13750,LS5  ,FOOTBALL GROUND AND PREMISES                                ,     ,                                                         , ,0,0,Y
Ref: 10982296994432,BRITANNIA METALS (ROCHDALE) LTD ,                                ,01.04.2005                                               ,CALF HEY WORKS                  ,                                ,CHADWICK STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5HD,9400,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0,Y
Ref: 11012300010088,ROCHDALE BC                     ,                                ,01.04.2013                                               ,                                ,                                ,2 CHARTER STREET                   ,ROCHDALE                           ,                                ,                                ,OL16 4TQ,2600,CS   ,SHOP AND PREMISES                                           ,Y    ,01.04.2013                                               , ,0,0, 
Ref: 11036700035873,ECB ONLINE FASHION LTD          ,                                ,12.07.2017                                               ,                                ,                                ,9 CHEETHAM STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1DG,3000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11036700070013,BAMFORD CONTRACT SERVICES LTD   ,                                ,01.04.2005                                               ,                                ,                                ,17 CHEETHAM STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,9100,CS   ,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0,Y
Ref: 11036700080091,,,01.12.2016                                               ,                                ,                                ,19 CHEETHAM STREET                 ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1DG,4800,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11036729579947,21ST CENTURY TATTOO LTD         ,                                ,04.07.2008                                               ,                                ,                                ,1-5 CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PQ,6300,CO   ,TATOO STUDIO & PREMISES                                     ,     ,                                                         , ,0,0,Y
Ref: 11036746339312,,,01.04.2005                                               ,                                ,                                ,7 CHEETHAM STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,3700,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11036760324581,WATSON PROPERTY SERVICES LTD T/A,MARTIN & CO                     ,01.01.2010                                               ,                                ,                                ,15B CHEETHAM STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,8400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11036792681679,,,01.03.2013                                               ,                                ,                                ,15A CHEETHAM STREET                ,ROCHDALE                           ,                                ,                                ,OL16 1DG,5600,CS3  ,HAIRDRESSING SALON AND PREMISES                             ,     ,                                                         , ,0,0,Y
Ref: 11036794117002,,,26.04.2008                                               ,                                ,                                ,4 CHEETHAM STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DL,6400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11036796652808,,,01.07.2013                                               ,R/O 15                          ,                                ,CHEETHAM STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,7600,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11036798581543,SPORT4REAL LTD                  ,                                ,01.05.2017                                               ,                                ,                                ,13 CHEETHAM STREET                 ,ROCHDALE                           ,                                ,                                ,OL16 1DG,6000,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11036798586487,FACE2FACE ESTATE AGENTS LTD     ,T/A JONATHAN SWIRE ESTATE AGENTS,25.07.2016                                               ,                                ,                                ,11 CHEETHAM STREET                 ,ROCHDALE                           ,                                ,                                ,OL16 1DG,5300,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
Ref: 11036799152513,BURFORD & BROOKS ESTATES LTD    ,                                ,02.10.2017                                               ,                                ,                                ,15 CHEETHAM STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DG,6400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11039100010082,,,01.08.2013                                               ,                                ,                                ,2A CHEETHAM STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DL,5400,CS   ,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0,Y
Ref: 11039100030029,A PROPERTIES HOLDINGS LTD       ,                                ,07.04.2016                                               ,SPREAD EAGLE 10                 ,                                ,CHEETHAM STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DL,0,CL   ,Property undergoing development                             ,Y    ,07.04.2016                                               , ,0,0, 
Ref: 11039185797698,,,06.11.2012                                               ,SITE OF                         ,20-24                           ,CHEETHAM STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DL,4800,CP   ,CAR PARK                                                    ,     ,                                                         , ,0,0,Y
Ref: 11039197469831,,,05.02.2013                                               ,                                ,                                ,1ST FLR 12-16                      ,CHEETHAM STREET                    ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1DL,7000,CO   ,TANNING SALON AND PREMISES                                  ,     ,                                                         , ,0,0,Y
Ref: 11073400000193,GREATER MANCHESTER COMBINED     ,WASTE AND RECYCLING LTD         ,25.09.2017                                               ,G M WASTE DISPOSAL AUTHORITY    ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,23250,IMX  ,CIVIC AMENITY SITE AND PREMISES                             ,     ,                                                         , ,0,0, 
Ref: 11073400030023,EDWARD KEIRBY & CO LTD          ,                                ,01.04.2005                                               ,E KEIRBY AND CO LTD             ,                                ,CHICHESTER STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,29500,IF3  ,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
Ref: 11073400080094,JAMES GAUGHAN & SONS LTD        ,                                ,01.04.2005                                               ,PLOT                            ,                                ,8 CHICHESTER STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,10250,CW1  ,LAND USED FOR STORAGE AND PREMISES                          ,     ,                                                         , ,0,0, 
Ref: 11073400090062,JAMES GAUGHAN & SONS LTD        ,                                ,28.10.2011                                               ,PLOT                            ,                                ,9 CHICHESTER STREET                ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2AU,7600,CW1  ,LAND USED FOR STORAGE AND PREMISES                          ,     ,                                                         , ,0,0, 
