PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
56084116,Shop and Premises,"116 Elland Lane, Elland, HX5 9ER",,2650,25/07/2014,SBR
56084700,Store And Premises,"Unit 1 & 2 Ground Floor, Marshall Hall Mills, Elland Lane, Elland              HX5 9DX",,4300,01/04/1990,SBR
56084704,Workshop And Premises,"1 Elland Lane, Elland, HX5 9DU",,7300,24/09/2015,ER
56084706,Shop and Premises,"Elland Lane, Elland, HX5 9ER",,8500,09/06/1992,SBR
56084707,Hospital And Premises,"Elland Independent Hospital, Elland Lane, Elland, HX5 9EB",Classic Hospitals Ltd,155000,17/07/2005,
56084709,Offices and Premises,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",,8600,01/04/1990,SBR
56084711,Workshop And Premises,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",,14750,01/04/1993,SBR
56084712,Workshop And Premises,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",D.M.D Design & Marketing Ltd,8800,31/01/2003,SBR
56084714,Workshop And Premises,"Quebec Works, Elland Lane, Elland, HX5 9DU",,9000,01/04/1990,SBR
56084716,Warehouse And Premises,"Units 14 & 15, Marshall Hall Mills, Elland Lane, Elland              HX5 9DX",Quality Ceilings Ltd,13750,01/04/1990,SBR
56084717,Public House and Premises,"The Drop Inn, 12 Elland Lane, Elland, HX5 9DU",Ossett Brewery Pub Co Ltd,2900,20/03/2006,SBR
56084718,Public House and Premises,"Spring Gardens Inn, 45 Elland Lane, Elland, HX5 9EP",,6400,17/09/2003,SBR
56084720,Factory and Premises,"Lower Edge, Elland Lane, Elland, HX5 9EP",Martin Moore Manufacturing Ltd,129000,18/01/2006,
56084721,Workshop And Premises,"Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",R & D Electrical Contractors(Yorkshire) Ltd,2225,01/05/2015,SBR
56084730,Shop and Premises,"Spring Gardens Takeaway, Elland Lane, Elland, HX5 9ER",,1975,01/04/2013,SBR
56084735,Studio And Premises,"Unit 1 Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",Storm Brand Design Ltd,11750,04/09/2010,SBR
56084736,Warehouse And Premises,"Unit 2 Marshall Hall Mills, Elland Lane, Elland, HX5 9DU",Portfolio Display Ltd,11750,24/11/2011,SBR
56084737,Warehouse And Premises,"Unit 3 Grove Mills, Elland Lane, Elland, HX5 9DZ",Broomhouse Investments Ltd,49750,26/09/2011,
56084738,Warehouse And Premises,"Unit 1 & 2 Grove Mills, Elland Lane, Elland, HX5 9DZ",James Clay & Sons,66000,29/11/2006,
56084739,Shop and Premises,"Buttifull, 90 Elland Lane, Elland, HX5 9ER",,1325,17/08/2011,SBR
56084740,Workshop And Premises,"Unit 1, Elland Lane, Elland, HX5 9DZ",Nu-Fit Windows & Doors Ltd,42500,01/04/2009,
56084741,Workshop And Premises,"Unit 1A, Elland Lane, Elland, HX5 9DZ",Brook Miller Mobility Ltd,47250,01/12/2008,
56084747,Offices And Premises,"Unit 16A Grove Mills, Elland Lane, Elland, HX5 9DZ",Cannon Colbeck Llp,7600,10/03/2014,SBR
56084748,Factory And Premises,"Grove Mills, Elland Lane, Elland, HX5 9DZ",Waxman Holdings Ltd,233000,27/06/2014,
56084749,Warehouse And Premises,"Unit 25 Grove Mills, Elland Lane, Elland, HX5 9DZ",Premier Pipeline Supplies Ltd,38000,27/06/2014,
56084750,Workshop And Premises,"Unit B, Marshall Hall Mills, Elland Lane, Elland               HX5 9DU",Firebelly Stoves Ltd,16000,20/09/2014,SBR
56084751,Warehouse And Premises,"Unit A, Marshall Hall Mills, Elland Lane, Elland               HX5 9DU",Energy Controls Ltd,11750,20/09/2014,SBR
56084753,Land Used For Storage And Premises,"Cpd Unit Ab M'shall H Mill, Elland Mills, Elland, HX5 9DU",Brook Miller Mobility Ltd,3100,18/07/2014,SBR
56088500,Clubhouse And Premises,"500 Elland Road, Elland, HX5 9JB",Badger Sports And Social Club,9100,01/11/2007,MAR
56088700,Garage And Premises,"W T Knowles & Sons Ltd (Tip), Elland Road, Elland, HX5 9JA",W T Knowles & Sons Ltd,14250,01/04/1990,SBR
56088701,Brickworks And Premises,"Ash Grove Works, 500 Elland Road, Elland, HX5 9JA",W T Knowles & Sons Ltd,47750,01/04/1990,
56088705,Warehouse And Premises,"Unit 3, Ashday Works Business Park, Elland Road, Elland               HX5 9JD",Ultrasyntec Ltd,7400,01/12/2008,SBR
56088709,Office and Premises,"Office G5, Ashgrove House, Elland Road, Elland               HX5 9JB",Landowne Ltd,2000,05/01/2009,SBR
56088711,Warehouse And Premises,"Units 1-2 & 4-6, Ashday Works Business Park, Elland Road, Elland               HX5 9JD",Malosa Medical Ltd,59000,01/03/2012,
56092012,Shop and Premises,"12 Elsinore Avenue, Elland, HX5 0LT",,5900,01/04/1990,SBR
56096700,Camping Site And Premises,"Caravan Park, Elland Hall Farm, Exley Lane, Elland              HX5 0SN",J S Morton & Sons,1325,01/04/1990,SBR
56096701,Cemetery And Premises,"Elland Cemetery, Exley Lane, Elland, HX5 0SW",Director Of Safer & Stronger Communities,3100,01/04/1990,SBR
56096704,Workshop And Premises,"Unit 1 The Old Station Yard, Exley Lane, Elland, HX5 0SW",Joseph Dobson & Sons Ltd,35000,15/01/2013,
56096705,Communication Station and Premises,"Telecommunications Mast, Site Ref Wyk 0017, Exley Lane, Elland               HX5 0SW",Everything Everywhere Ltd,7700,01/04/1997,SBR
56096707,Factory And Premises,"Unit 3 The Old Station Yard, Exley Lane, Elland, HX5 0SW",,21750,01/03/2011,
56104703,Workshop And Premises,"The Wharf, Gas Works Lane, Elland, HX5 9HH",,4450,01/04/1990,SBR
56104704,Mooring And Premises,"The Wharf, Gas Works Lane, Elland, HX5 9HH",Lockside Estates Ltd,3400,01/04/1990,EX
56104710,Offices And Premises,"The Warehouse, Elland Wharf, Gas Works Lane, Elland               HX5 9HH",Reactiv Media Limited,46000,17/05/2010,EX
56104711,Land Used For Storage And Premises,"Crow Bottom, Gas Works Lane, Elland, HX5 9HJ",,8400,10/04/2014,SBR
56108700,Land Used For Storage and Premises,"Adj Parkfield Garage, George Street, Elland, HX5 0NE",Mel Green Construction Ltd,1175,01/04/1990,SBR
56108701,Vehicle Repair Workshop And Premises,"Parkfield Garage, George Street, Elland, HX5 0NE",A & G Motor Engineers Ltd,11250,01/04/1990,SBR
56108703,Workshop And Premises,"Unit 4, George Street Garage & Store, George Street, Elland               HX5 0NE",,3200,01/04/2011,SBR
56108705,Workshop And Premises,"Unit 5, George Street, Elland, HX5 0NE",Ererco Doors And Loading Bay Solutions Ltd,2950,10/11/2014,SBR
56108706,Store And Premises,"Unit 12, George Street, Elland, HX5 0NE",,1725,01/04/2014,SBR
56108707,Workshop And Premises,"Unit 3, George Street, Elland, HX5 0NE",,3250,01/04/2014,SBR
56112700,Garage And Premises,"Gordon Street, Elland, HX5 0AG",,1750,01/04/2009,EX
56116701,Workshop And Premises,"Long Lea Mills, Halifax Road, Elland, HX5 0SH",,15250,01/01/2008,SBR
56116702,Workshop And Premises,"Long Lea Mills, Halifax Road, Elland, HX5 0SH",A Orme & Co,18750,01/09/2004,
56116710,Advertising Right and Premises,"Advertising Right, Halifax Road, Elland, HX5 0SH",Clear Channel (Uk) Ltd,1150,01/04/1990,SBR
56116711,Workshop And Premises,"Spata Ironworks, Halifax Road, Elland, HX5 0SH",,1650,06/04/1999,SBR
56116712,Garage And Premises,"Woodside Garage, Halifax Road, Elland, HX5 0SH",,4500,01/04/1990,SBR
56116714,Garage And Premises,"Woodside Mills, Halifax Road, Elland, HX5 0SH",,2550,01/07/2005,SBR
56116715,Studio And Premises,"Adj Lockwoods Carpets, Halifax Road, Elland, HX5 0SH",,2650,23/06/2015,ER
56116721,Workshop And Premises,"Woodside Mills, Halifax Road, Elland, HX5 0SH",T Severn [Fibreglass Products Ltd],14750,01/04/2008,SBR
56116722,Showroom And Premises,"Elland Bed & Suite Centre, Riverside Works, Halifax Road, Elland               HX5 0SH",Elland Bed Centre Ltd,26250,01/07/2009,
56116723,Workshop And Premises,"Basement Riverside Works, Halifax Road, Elland, HX5 0SH",,7300,01/07/2009,SBR
56116724,Workshop And Premises,"Unit 1 The Maltings, Halifax Road, Elland, HX5 0SH",,2900,01/01/2012,SBR
56116725,Showroom And Premises,"The Maltings, Halifax Road, Elland, HX5 0SH",,52000,23/06/2015,ER
56116726,Training Rooms And Premises,"5 Halifax Road (Basement), Elland, HX5 0SH",Compass Fostering North West Ltd,2650,01/04/2015,SBR
56124702,Golf Course And Premises,"Elland Golf Club, Hammerstones Leach Lane, Elland, HX5 0TA",Elland Golf Club,24750,01/07/2000,
56124703,Sports Ground and Premises,"Playing Fields, Hammerstones Leach Lane, Elland, HX5 0TA",Brooksbank School And Sports College,2475,01/07/2014,MCR
56128701,Workshop And Premises,"Unit 1, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Waxman Holdings Ltd,12500,07/04/2016,EX
56128702,Workshop And Premises,"Unit 6, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",,8000,05/05/2007,SBR
56128703,Brewery And Premises,"Units 3-5, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Elland Brewery Ltd,16000,30/04/2002,SBR
56128704,Workshop And Premises,"Unit 7, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Envirolectrics Ltd,8400,18/02/2008,SBR
56128705,Workshop And Premises,"Unit 2, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Waxman Holdings Ltd,13000,01/12/2015,ER
56128708,Workshop And Premises,"Unit 12/14/15, Heathfield Industrial Estate, Heathfield Street, Elland               HX5 9AE",Ths Industrial Textiles Ltd,64000,01/04/2008,
56128709,Workshop And Premises,"Workshop, Heathfield Business Park, Heathfield Street, Elland               HX5 9AU",T.B.T Joinery Ltd,16750,16/05/2015,SBR
56128710,Warehouse And Premises,"Unit 4, Heathfield Business Park, Heathfield Street, Elland               HX5 9AU",Universal Office Solutions Ltd,22750,03/09/2009,
56128713,Warehouse And Premises,"Unit 9 Heathfield Ind Estate, Heathfield Street, Elland, HX5 9AE",Falconer Print & Packaging Ltd,15000,19/05/2014,SBR
56128714,Warehouse And Premises,"Unit 8 Heathfield Ind Estate, Heathfield Street, Elland, HX5 9AE",Apm Site Services Ltd,9700,22/08/2014,SBR
56132015,Surgery And Premises,"Bankfield Surgery, 15 Huddersfield Road, Elland, HX5 9BA",,39750,14/10/1991,
56132052,Shop and Premises,"Unit A, 52 Huddersfield Road, Elland, HX5 9AH",Million Hairs Ltd,5900,15/04/2015,SBR
56132056,Shop and Premises,"56 Huddersfield Road, Elland, HX5 9AA",J R Property And Restorations Ltd,4600,07/03/2016,SBR
56132058,Shop and Premises,"58 Huddersfield Road, Elland, HX5 9AA",,3550,01/09/2011,SBR
56132060,Shop And Premises,"60 Huddersfield Road, Elland, HX5 9AA",,3900,19/01/2013,SBR
56132068,Hairdressing Salon and Premises,"68 Huddersfield Road, Elland, HX5 9AA",,7300,16/02/2008,SBR
56132074,Shop and Premises,"76 Huddersfield Road, Elland, HX5 9AA",,2300,31/01/2014,SBR
56132078,Shop and Premises,"78 Huddersfield Road, Elland, HX5 9AA",,2700,07/01/2015,ER
56132080,Shop and Premises,"80 Huddersfield Road, Elland, HX5 9AA",,4050,12/01/2005,SBR
56132700,Warehouse And Premises,"Ainley House, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",Drive Medical Ltd,191000,20/02/2006,
56132701,Factory and Premises,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",Walker Bros (Elland) Ltd,52000,03/11/1990,
56132702,Workshop And Premises,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",Archway Engineering (Uk) Ltd,78500,01/04/1990,
56132706,Workshop And Premises,"Huddersfield Road, Elland, HX5 0EE",,4450,01/04/1990,SBR
56132707,Workshop And Premises,"Rosemount Estate, Huddersfield Road, Elland, HX5 0EE",Early Excellence Ltd,23250,01/10/2011,
56132711,Workshop And Premises,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",P Bairstow Ltd,61000,18/02/2013,
56132713,Shop and Premises,"Huddersfield Road, Elland, HX5 9AH",B & M Retail Ltd,170000,07/03/2016,
56132714,Land Used For Storage and Premises,"Huddersfield Road, Elland, HX5 9BZ",Tru Property Investments Ltd,13250,01/02/2016,EX
56132717,Warehouse And Premises,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",Henry Shaw & Sons Ltd,47000,01/04/1990,
56132719,Factory and Premises,"Bays 2-4, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Andy Thornton Ltd,149000,01/04/1990,
56132721,Club House And Premises,"Cartwheel Club, Huddersfield Road, Elland, HX5 9DW",,5700,01/05/1997,DCR MCR
56132724,Factory and Premises,"Britannia House, Huddersfield Road, Elland, HX5 9JR",Weir Valves & Controls Uk Ltd,335000,01/10/2005,
56132725,Club and Premises,"Bankfield House, Huddersfield Road, Elland, HX5 9DW",,11750,01/04/1990,SBR
56132729,Chilled Foods Workshop and Premises,"Ebony House, Ainleys Industrial Estate, Huddersfield Road, Elland              HX5 9JP",Matthews Group Ltd,105000,02/01/2002,
56132731,Store And Premises,"Norman Street, Huddersfield Road, Elland, HX5 9BS",,8400,01/04/1990,SBR
56132733,Offices and Premises,"Providence Chapel, Huddersfield Road, Elland, HX5 9AH",B J Melia & Sons,19250,06/10/2003,
56132735,Factory and Premises,"Bay 1, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Provision System Build Ltd (In Administration),54500,15/10/2015,EX
56132737,Vehicle Repair Workshop And Premises,"Unit 1, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,2100,01/03/1993,SBR
56132738,Vehicle Repair Workshop And Premises,"Unit 2 The Ainleys, Huddersfield Road, Elland, HX5 9JR",Wright Morris Projects Ltd,2175,18/08/2014,SBR
56132739,Warehouse And Premises,"Unit 3, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,1425,01/04/2013,SBR
56132740,Garage And Premises,"Unit 4 The Ainleys, Huddersfield Road, Elland, HX5 9JP",,2325,01/06/2005,SBR
56132743,Workshop And Premises,"The Storth, Huddersfield Road, Elland, HX5 9JR",Briggs & Partner Ltd,22500,01/04/1990,
56132744,Warehouse And Premises,"Unit 1, Fordsall House, Huddersfield Road, Elland              HX5 9DW",Elland Tyre & Exhaust Services Ltd,7100,01/10/1997,SBR
56132745,Workshop And Premises,"Unit 13, Ainleys Industrial Estate, Huddersfield Road, Elland              HX5 9JP",Andy Thornton Contracts Ltd,112000,06/01/2012,
56132753,Workshop And Premises,"Ainleys Industrial Estate, Huddersfield Road, Elland, HX5 9JP",Resdev Ltd,68000,01/04/1990,
56132757,Warehouse And Premises,"Units 1-8, The Ainleys, Huddersfield Road, Elland              HX5 9JR",Surfachem Ltd,119000,01/04/1990,
56132760,Shop and Premises,"18 Huddersfield Road, Elland, HX5 9DW",Elland Pharmco Ltd,10750,01/01/2012,SBR
56132762,Public House and Premises,"Travellers Rest, 99 Huddersfield Road, Elland, HX5 9AA",Quality Taverns Limited,6800,01/03/2016,SBR
56132763,Workshop And Premises,"69a Huddersfield Road, Elland, HX5 9AA",Asda Stores Ltd,10250,01/04/2008,ER
56132764,Workshop And Premises,"69a Huddersfield Road, Elland, HX5 9AA",Asda Stores Ltd,3150,01/04/2008,ER
56132765,Store And Premises,"69a Huddersfield Road, Elland, HX5 9AA",Asda Stores Ltd,1475,01/04/2008,EX
56132772,Advertising Right and Premises,"Adj 99 Huddersfield Road, Elland, HX5 9AA",Clear Channel (Uk) Ltd,980,01/04/1990,SBR
56132773,Workshop And Premises,"Rear 59 Huddersfield Road, Elland, HX5 9AA",,2550,01/01/1997,SBR
56132775,Shop and Premises,"37/39 Huddersfield Road, Elland, HX5 9AH",,7100,14/01/2013,SBR
56132776,Cafe and Premises,"64 Huddersfield Road, Elland, HX5 9AA",,3750,12/10/2013,SBR
56132778,Warehouse And Premises,"Roche Audio Visual, Ainleys Industrial Estate, Huddersfield Road, Elland              HX5 9JP",Julian Roche Associates Ltd,40000,01/04/1990,
56132779,Warehouse And Premises,"Habergham Works, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",A-Safe (Uk) Ltd,193000,10/08/2011,
56132781,Advertising Right and Premises,"Board No. 0303-01, Huddersfield Road, Elland, HX5 9DW",Clear Channel (Uk) Ltd,1725,01/04/1991,SBR
56132783,Workshop And Premises,"Unit 11, The Ainleys, Huddersfield Road, Elland              HX5 9DW",Obl Contacts Ltd,2950,01/10/2014,SBR
56132784,Workshop And Premises,"Unit 9, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,2950,01/10/2012,SBR
56132785,Workshop And Premises,"Unit 10, The Ainleys, Huddersfield Road, Elland              HX5 9JR",M Stainthorp (Solid Fuel) Ltd,2650,01/06/2011,SBR
56132792,Workshop And Premises,"Unit 7 The Ainleys, Huddersfield Road, Elland, HX5 9JR",,3050,01/04/2008,SBR
56132797,Offices and Premises,"60a Huddersfield Road, Elland, HX5 9AA",Fostering Solutions Ltd,15250,26/10/2003,SBR
56132800,Shop and Premises,"72 Huddersfield Road, Elland, HX5 9AA",,3750,01/04/2013,SBR
56132801,Shop and Premises,"74 Huddersfield Road, Elland, HX5 9AA",,2900,06/01/2015,SBR
56132810,Warehouse And Premises,"Units A/B, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",Zenith Hygiene Systems Ltd,59000,01/04/2012,
56132813,Factory and Premises,"Bays 5 & 6 Rosemount Works, Huddersfield Road, Elland, HX5 0EE",P.T.G Heavy Industries Ltd,53000,28/06/2008,
56132814,Land Used For Storage and Premises,"The Old Stockyard, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",Tourer World (2015) Limited,13750,14/10/2015,SBR
56132815,Land Used For Storage,"Yard 1 & 2 Rosemount Estate, Huddersfield Road, Elland, HX5 9DW",W J North Ltd,9900,01/12/2015,SBR
56132819,Workshop And Premises,"Unit 8A The Ainleys, Huddersfield Road, Elland, HX5 9JB",,1375,01/05/2006,SBR
56132820,Workshop And Premises,"Unit 8B The Ainleys, Huddersfield Road, Elland, HX5 9JB",,1325,01/05/2006,SBR
56132821,Garage And Premises,"Unit 5 The Ainleys, Huddersfield Road, Elland, HX5 9JP",V B T Engineering Ltd,2325,01/04/2013,SBR
56132822,Store And Premises,"Unit 6 The Ainleys, Huddersfield Road, Elland, HX5 9JP",I.V.S International Ltd,2325,20/08/2009,SBR
56132824,Showroom And Premises,"69 Huddersfield Road, Elland, HX5 9AA",Rapid Tool Hire [Brighouse] Ltd,12250,01/04/2005,SBR
56132830,Factory and Premises,"Fitting Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 9DW",Valvetec Ltd,61000,01/05/2006,
56132831,Warehouse And Premises,"Fitting Shop Annexe, Rosemount Estate, Huddersfield Road, Elland               HX5 9DW",Decon Engineering Ltd,16250,01/07/2013,SBR
56132833,Warehouse And Premises,"The Engineering Workshop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Andy Thornton Ltd,11250,01/06/2015,SBR
56132834,Warehouse And Premises,"Central Unit 2, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Early Excellence Ltd,13750,01/12/2015,SBR
56132835,Factory and Premises,"Huddersfield Road, Elland, HX5 9BW",Marshall Group Services Ltd,207000,01/04/2005,
56132836,Communication Station and Premises,"Telecommunication Mast, Ref WYK70402 Ainley Bottom, Huddersfield Road, Elland               HX5 9JP",Everything Everywhere Ltd,2800,01/04/2005,EX
56132840,Warehouse And Premises,"Unit C, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",New Ivory Ltd,30250,28/11/2014,
56132841,Store And Premises,"Unit 12 The Ainleys, Huddersfield Road, Elland, HX5 9JP",,2325,29/04/2014,EX
56132842,Workshop And Premises,"Huddersfield Road, Elland, HX5 9JP",Freshroast Coffee Co Ltd,66500,01/04/2005,
56132843,Land Used For Storage and Premises,"Land At The Ainleys, Huddersfield Road, Elland, HX5 9JR",K & M Hulme Ltd,2750,01/08/2007,SBR
56132844,Shop and Premises,"66 Huddersfield Road, Elland, HX5 9AA",,3550,01/03/2014,SBR
56132848,Offices And Premises,"1ST & 2ND Flr  Rosemount Hse, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",Credit Resource Solutions Ltd,53000,01/06/2009,
56132850,Garage And Premises,"Unit 2, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9AA",W J Road Markings Ltd,53500,01/06/2010,
56132851,Civic Amenity Site And Premises,"Household Waste, Recycling Centre, Huddersfield Road, Elland               HX5 9JR",S.I.T.A. (Uk) Ltd,15500,01/04/2009,SBR
56132853,Warehouse And Premises,"First Floor Old Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 9DW",P.T.G Heavy Industries Ltd,6600,01/04/2011,SBR
56132857,Offices And Premises,"Ground Floor, The Clock House, Huddersfield Road, Elland               HX5 0EE",Freudenberg Nonwovens L.P.,23500,08/04/2013,
56132858,Offices And Premises,"First Floor, The Clock House, Huddersfield Road, Elland               HX5 0EE",Early Excellence Ltd,23250,14/11/2011,
56132859,Offices And Premises,"Portacabin At Depot, Huddersfield Road, Elland, HX5 9JR",Calderdale Mbc,5700,12/04/2013,SBR
56132860,Surgery And Premises,"Ground Floor Rosemount House, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",Meadow Dale Group Practice,25250,02/07/2012,
56132861,Petrol Filling Station And Premises,"Yorks Cooperatives Ltd, Filling Station, Huddersfield Road, Elland               HX5 9AA",Co-Operative Group Ltd,22500,01/04/2010,
56132862,Site Of Atm And Premises,"Atm Site, Yorks Coop Filling Station, Huddersfield Road, Elland               HX5 9AA",Co-Operative Group Ltd,3750,01/04/2010,SBR
56132863,Warehouse And Premises,"Tech Services Dept, Huddersfield Road, Elland, HX5 9JR",Calderdale Mbc,58000,12/04/2013,
56132864,Warehouse And Premises,"Rear Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Elland Rifle & Pistol Club,11000,03/12/2014,DOR SBR
56132865,Warehouse And Premises,"Old Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Andy Thornton Ltd,8200,01/02/2016,SBR
56132867,Warehouse And Premises,"Units D/E, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",Resdev Ltd,61000,17/11/2014,
56132868,Warehouse And Premises,"Unit F, Ainleys Industrial Estate, Huddersfield Road, Elland               HX5 9JP",J T M Contracts [Uk] Ltd,30750,16/09/2014,
56132869,Warehouse And Premises,"Newcombe Mill, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",A B S Uk Limited,24250,09/03/2015,
56132870,Shop and Premises,"Unit B, 52 Huddersfield Road, Elland, HX5 9AH",,3700,01/04/2015,SBR
56132872,Communication Station and Premises,"02 Telecommunications Mast, Rosemount Ind Estate, Huddersfield Road, Elland               HX5 0EE",Telefonica Uk Ltd,8400,01/04/2015,SBR
56136700,Warehouse And Premises,"Hullen Edge Hall, Hullen Edge Lane, Elland, HX5 0QS",Exors Of Mr R Naylor,5800,24/04/2014,EX
56140700,Sports Ground And Premises,"Baines Hall, Hullen Edge Road, Elland, HX5 0QY",,23250,01/04/1990,DOR MAR
56140702,School and Premises,"St Patricks Rcj & I School, Hullen Edge Road, Elland, HX5 0QY",St Patrick's Catholic Primary School,33250,01/04/1999,MCR
56140703,Hospice and Premises,"Overgate Hospice, 28-30 Hullen Edge Road, Elland, HX5 0QY",Overgate Hospice,54000,22/02/2010,MCR
56144051,Store And Premises,"51 James Street, Elland, HX5 0HB",Autoweigh Scales (Uk) Ltd,9400,01/04/1990,SBR
56144700,Car Park and Premises,"James Street, Elland, HX5 0HB",,1500,20/03/2014,SBR
56144707,Warehouse And Premises,"Unit 2, James Street, Elland, HX5 0HB",,17750,01/05/2014,SBR
56144708,Factory and Premises,"Opp Victoria Mill, James Street, Elland, HX5 0HB",A Fawcett Toolmakers (1983) Ltd,25000,01/04/1990,
56144717,Vehicle Repair Workshop And Premises,"Lambert Street Repair Centre, James Street, Elland, HX5 0HB",,3350,01/09/2008,SBR
56144718,Vehicle Repair Workshop And Premises,"James Street Auto Services, James Street, Elland, HX5 0HB",,2650,01/09/2008,SBR
56144719,Vehicle Repair Workshop And Premises,"Grove Garage, James Street, Elland, HX5 0HB",I Haigh Forklift Solutions Ltd,990,11/07/2014,SBR
56144724,Warehouse And Premises,"2ND Floor James Street Mills, James Street, Elland, HX5 0HB",Ramsdens Solicitors Llp,4800,01/03/2011,SBR
56144728,Store And Premises,"Part James Street Mills, James Street, Elland, HX5 0HB",Viewstone Ltd,5000,01/04/2014,ER
56144729,Warehouse And Premises,"Pendleton Mills, James Street, Elland, HX5 0HB",C J Morton & Co Ltd,30000,01/04/2010,
56144732,Warehouse And Premises,"Unit 2 1ST Floor, James Street Mills, James Street, Elland               HX5 0HB",,4700,01/08/2013,SBR
56144733,Warehouse And Premises,"Unit 1A & Unit 1B 1ST Floor, James Street Mills, James Street, Elland               HX5 0HB",Ramsdens Solicitors Llp,4600,01/04/2015,SBR
56148701,Hall And Premises,"Wainwright Hall, Jepson Lane, Elland, HX5 0PY",Director Of Safer & Stronger Communities,4850,01/04/1990,SBR
56152700,Offices and Premises,"Bedford House, 9/11 John Street, Elland, HX5 0AW",,2500,26/11/2015,EX
56156071,Shop and Premises,"71A Langdale Street, Elland, HX5 0JE",,3750,16/07/2008,SBR
56156700,Shop and Premises,"St Pauls Buildings, Langdale Street, Elland, HX5 0EX",Lorna Stewart Hair Ltd,2175,05/08/2006,SBR
56156701,Shop and Premises,"6A St Pauls Buildings, Langdale Street, Elland, HX5 0EX",,2200,25/04/1997,SBR
56156703,Store And Premises,"Adj 69 Langdale Street, Elland, HX5 0JE",,1100,01/04/1990,SBR
56160700,Store And Premises,"Garage 2, Lime Tree Avenue, Elland, HX5 9BE",Mr Phillip E Jones,1875,01/04/1990,SBR
56164700,Cricket Club And Premises,"Blackley Cricket Club, Lindley Road, Blackley, Elland              HX5 0TE",,3850,01/04/1990,SBR
56164701,Public House and Premises,"Golden Fleece Inn, Lindley Road, Blackley, Elland              HX5 0TE",,12000,08/11/2011,SBR
56172703,School and Premises,"Old Earth J & I School, Lower Edge Road, Elland, HX5 9PL",Old Earth School,55500,01/09/2011,MCR
56174700,Offices and Premises,"Unit A1, Old Power Way, Lowfields Business Park, Elland              HX5 9DE",Legal & General Assn [Pens Mgmt] Ltd,49750,09/02/2015,ER
56174701,Offices and Premises,"Unit A4 (First Floor), Old Power Way, Lowfields Business Park, Elland              HX5 9DE",Hexstone Ltd,31750,22/11/2002,
56174705,Offices and Premises,"Jephson House, Unit A2 Old Power Way, Lowfields Business Park, Elland              HX5 9DE",Stonewater (2) Ltd,55500,19/04/1996,MCR
56174707,Factory and Premises,"Unit C Old Power Way, Lowfields Business Park, Elland, HX5 9DE",Caffe Shop Ltd,29750,01/02/2010,
56174709,Offices and Premises,"Unit B2, Lowfields Close, Lowfields Business Park, Elland               HX5 9DX",Wynne Systems Uk Ltd,52000,01/04/2016,ER
56174711,Warehouse And Premises,"Unit B6, Warhurst Road, Lowfields Business Park, Elland               HX5 9DF",Cask Express Ltd,56500,03/11/2009,
56174712,Warehouse And Premises,"Unit B5 Warhurst Road, Lowfields Business Park, Elland, HX5 9DE",Huddersfield Fine Worsteds Ltd,49750,11/09/2009,
56174714,Factory and Premises,"Carrington House, Lowfields Way, Lowfields Business Park, Elland              HX5 9DX",Decorative Panels Holdings Ltd,730000,01/04/2012,
