Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N),
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 24/08/2017,EST0282468,48.25,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 24/08/2017,EST0282470,0.56,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Premises Related Expense,Rents,2301,E.ON,A0023073, 24/08/2017,DAL0282374,24.84,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON UK PLC,A0044040, 10/08/2017,EST0282120,319.57,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,EARBY TOWN COUNCIL,A0001004, 10/08/2017,HED0282160,5000.00,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,EARBY TOWN COUNCIL,A0001004, 24/08/2017,HMR0282438,5000.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ECOGEN,A0022890, 31/08/2017,HED0282534,60.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ECOGEN,A0022890, 31/08/2017,HED0282533,82.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ECOGEN,A0022890, 31/08/2017,HED0282534,100.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ECOGEN,A0022890, 31/08/2017,HED0282533,400.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,EIGHT IMAGING,A0057511, 03/08/2017,REG0282000,500.00,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,4301,ELECTORAL REFORM SERVICES,A0041321, 03/08/2017,DAL0281998,571.19,N,N/A,N,N/A,
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ELECTORAL REFORM SERVICES,A0041321, 03/08/2017,DAL0281998,89.58,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,ELITE PLUMBING,A0084584, 03/08/2017,HMR0281980,900.00,N,N/A,N,N/A,
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Seminars etc All Costs,4601,EMPTY HOMES NETWORK,A0077493, 17/08/2017,HMR0282222,95.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0002,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,PCO0282050,151.92,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,OPS0282111,180.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,10.02,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281943,11.60,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,11.60,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,13.46,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,26.92,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,26.92,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281943,35.64,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 24/08/2017,PCO0282409,35.64,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,40.38,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,59.10,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,59.10,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,75.96,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281943,112.50,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 24/08/2017,PCO0282354,151.92,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,177.30,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,177.30,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 03/08/2017,PCO0281946,265.86,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 17/08/2017,REG0282084,27.00,N,N/A,N,N/A,
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 17/08/2017,REG0282083,54.00,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 24/08/2017,HED0282289,44.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,OPS0282111,3.50,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,OPS0282111,32.02,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,OPS0282111,32.02,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,OPS0282111,37.98,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,OPS0282111,38.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 10/08/2017,OPS0282111,39.40,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 24/08/2017,OPS0282393,747.54,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,F G ROWLAND LIMITED,A0006489, 24/08/2017,PCO0282392,1198.70,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,33.60,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,156.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,33.60,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,156.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,25.72,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,182.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,100.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,110.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 03/08/2017,EST0281997,250.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 03/08/2017,EST0281997,550.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,3.15,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,3.15,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,136.50,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,136.50,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,59.24,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 24/08/2017,EST0282452,416.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 03/08/2017,EST0281997,610.25,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 03/08/2017,EST0281997,298.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 03/08/2017,EST0281997,702.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 24/08/2017,EST0282454,25.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 24/08/2017,EST0282455,50.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 24/08/2017,EST0282457,50.00,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 24/08/2017,EST0282456,85.00,N,N/A,N,N/A,
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,4705,FIDELITI LIMITED,A0052058, 10/08/2017,PER0282137,51.93,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Gas,2202,FIRST UTILITY LIMITED,A0090510, 03/08/2017,EST0281989,35.51,N,N/A,N,N/A,
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,FIRST UTILITY LIMITED,A0090510, 03/08/2017,EST0281989,6.42,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Legal Fees,4402,FORBES SOLICITORS,A0054697, 17/08/2017,AAS0282265,195.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Legal Fees,4402,FORBES SOLICITORS,A0054697, 17/08/2017,AAS0282260,854.50,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Legal Fees,4402,FORBES SOLICITORS,A0054697, 17/08/2017,AAS0282262,1307.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Legal Fees,4402,FORBES SOLICITORS,A0054697, 17/08/2017,AAS0282264,1322.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Legal Fees,4402,FORBES SOLICITORS,A0054697, 17/08/2017,AAS0282261,1796.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Supplies and Services,Legal Fees,4402,FORBES SOLICITORS,A0054697, 17/08/2017,AAS0282263,2112.25,N,N/A,N,N/A,
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,FOULRIDGE PARISH COUNCIL,A0077715, 10/08/2017,HED0282060,1000.00,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,FREIGHT TRANSPORT ASSOCIATION,A0001124, 03/08/2017,OPS0281962,33.20,N,N/A,N,N/A,
Pendle Borough Council,Operational Services,Supplies and Services,Seminars etc All Costs,4601,FREIGHT TRANSPORT ASSOCIATION,A0001124, 10/08/2017,OPS0282128,735.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FRESH FIRE AND SECURITY LIMITED,A0091168, 17/08/2017,PCO0282208,1000.00,N,N/A,N,N/A,
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,FRESH FIRE AND SECURITY LIMITED,A0091168, 17/08/2017,PCO0282208,995.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,32.42,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,40.83,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,41.25,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,42.73,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,46.78,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,50.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,52.41,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,54.17,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,58.31,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,60.77,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,64.21,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,68.57,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,71.30,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,74.98,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,80.96,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,84.63,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,88.78,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,89.07,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,96.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,97.82,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,137.51,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,151.93,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,167.42,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,187.56,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,216.73,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,251.58,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,257.38,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,291.34,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,299.88,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,157.03,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,211.58,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,222.89,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,226.01,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,230.79,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,115.49,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,185.10,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,188.64,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,192.51,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,223.51,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,235.98,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,239.88,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,240.07,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,244.91,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,250.48,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,87.88,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,136.35,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,220.61,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,227.33,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,253.22,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,120.33,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,137.69,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,162.56,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,184.78,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,196.07,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,17.33,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,21.83,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,26.97,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,43.74,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,73.27,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,91.49,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,94.84,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,107.58,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,108.75,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,148.17,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,168.69,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,190.38,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,40.38,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,108.56,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,112.90,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 22/08/2017,AAS0282743,190.00,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,227.23,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 15/08/2017,AAS0282612,197.53,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 29/08/2017,AAS0282752,204.92,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 01/08/2017,AAS0282610,227.26,N,N/A,N,N/A,
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 08/08/2017,AAS0282611,247.17,N,N/A,N,N/A,
