Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,PLACE-REF,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,CHARITY-RLF-,ANALYSIS-CD,RV,Liable Person,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV�
,5880,V,6039.25,LQ,4111053059,0,159.25,0,,0,,0,0,IF3O,12250,BANKFAIR LTD,C/O REGISTERED OFFICE,23 WINDMERE ROAD,WHITEHAVEN,CUMBRIA,,CA28 9LY,07/03/2011,UNIT 17,HURSTFIELD INDUSTRIAL ESTATE,HURST STREET,REDDISH,STOCKPORT,SK5 7BB,"WORKSHOP, OFFICES AND PREMISES"
RETAIL,12000,O,0,,5098301039,0,325,0,,0,,0,0,CL1,25000,BAR ONE (HAZEL GROVE)  LTD,33 TIDESWELL ROAD,HAZEL GROVE,STOCKPORT,,,SK7 6JF,06/07/2006,301-305 LONDON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 4PS,WINE BAR AND PREMISES
RETAIL,10560,O,0,,8507027009,0,286,0,,0,,0,0,CS3,22000,BARARD HAIRDRESSING TLD,66 GROVE STREET,WILMSLOW,CHESHIRE,,,SK9 1DS,26/09/1997,27 WOODFORD ROAD,BRAMHALL,STOCKPORT,,,SK7 1JN,HAIRDRESSING SALON AND PREMISES
RETAIL,3360,O,0,,5469406039,-1,0,2800,,0,,0,0,CS,7000,BARBARA WOOLLEY T/A LAPWING LAUNDRETTE,1 SEDGE CLOSE,OFF FELLTOP DRIVE,REDDISH,STOCKPORT,,SK5 6YT,20/10/2014,406B MANCHESTER ROAD,STOCKPORT,,,,SK4 5BX,SHOP AND PREMISES
,6240,O,0,,2779261039,-1,0,0,,0,,0,0,IF3,13000,BARBERS BODYSHOP LTD,,,,,,,01/04/1990,263 EDGELEY ROAD,CHEADLE HEATH,STOCKPORT,,,SK3 0TR,WORKSHOP AND PREMISES
,1440,O,0,,8511006019,-1,0,1440,,0,,0,0,CS,3000,BARCLAY SIGNS LTD,,,,,,,30/06/2001,6A WOODHALL ROAD,SOUTH REDDISH,STOCKPORT,,,SK5 7QH,SHOP AND PREMISES
,8640,V,0,,1615109019,0,234,0,,0,,0,0,CS1,18000,BARCLAYS BANK LTD,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,109-113 CASTLE STREET,EDGELEY,STOCKPORT,,,SK3 9AR,BANK AND PREMISES
,11520,O,0,,7872010009,0,312,0,,0,,0,0,CS1,24000,BARCLAYS BANK LTD,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,10 THE HOLLINS,MARPLE,STOCKPORT,,,SK6 6AY,BANK AND PREMISES
,7680,O,0,,5098136009,0,0,0,,0,,0,0,CS1,16000,BARCLAYS BANK LTD,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,136 LONDON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 4DJ,BANK AND PREMISES
,4608,O,0,,6076001009,0,0,0,,0,,0,0,CS1,9600,BARCLAYS BANK LTD,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,1 NORTHENDEN ROAD,GATLEY,CHEADLE,,,SK8 4EN,BANK AND PREMISES
,4224,O,0,,1805010009,0,0,0,,0,,0,0,CS1,8800,BARCLAYS BANK PLC,C/O  CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,10 COMPSTALL ROAD,ROMILEY,STOCKPORT,,,SK6 4DS,BANK AND PREMISES
,12000,O,0,,3981072009,0,325,0,,0,,0,0,CS1,25000,BARCLAYS BANK PLC,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,72 HIGH STREET,CHEADLE,,,,SK8 1AE,BANK AND PREMISES
,90720,O,0,,873001009,0,2457,0,,0,,0,0,CS1,189000,BARCLAYS BANK PLC,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,1 BRIDGE STREET,PORTWOOD,STOCKPORT,,,SK1 1XR,BANK AND PREMISES
,3168,O,0,,6478001009,0,0,0,,0,,0,0,CP,6600,BARCLAYS BANK PLC,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/2002,PERCY STREET,LANCASHIRE HILL,STOCKPORT,,,SK1 1XP,CAR PARK
,34320,O,0,,8507014009,0,929.5,0,,0,,0,0,CS1,71500,BARCLAYS BANK PLC,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,14 WOODFORD ROAD,BRAMHALL,STOCKPORT,,,SK7 1JJ,BANK AND PREMISES
,6480,O,0,,6826430009,0,0,0,,0,,0,0,CS1,13500,BARCLAYS BANK PLC,C/O CBRE CORPORATE OUTSOURCING LTD,55 TEMPLE ROW,BIRMINGHAM,,,B2 5LS,01/04/1990,426-430 REDDISH ROAD,REDDISH,STOCKPORT,,,SK5 7AA,BANK AND PREMISES
,30480,O,0,,1888021009,0,825.5,0,,0,,0,0,IMX,63500,BARDON ROADSTONE LTD,GERALD EVES LLP,35 KINGS HALL AVENUE,WEST MALLING,KENT,,ME19 4DN,01/03/1996,COATING PLANT,CROMWELL ROAD,BREDBURY,STOCKPORT,,SK6 2RF,COATING PLANT AND PREMISES
,12600,O,0,,3981017009,0,341.25,0,MAN,10353,,0,0,CS,26250,BARNARDO'S,PROPERTY & FACILITIES MANAGEMENT,JOHN HOSLER,TANNERS LANE,BARKINGSIDE ILFORD,ESSEX,IG6 1QG,01/11/2007,17 HIGH STREET,CHEADLE,,,,SK8 1AX,SHOP AND PREMISES
,9120,O,0,,3981076009,0,247,0,MAN,7493.6,,0,0,CS,19000,BARNARDO'S,PROPERTY & FACILITIES MANAGEMENT,JOHN HOSLER,TANNERS LANE,BARKINGSIDE ILFORD,ESSEX,IG6 1QG,12/10/2011,76 HIGH STREET,CHEADLE,,,,SK8 1AE,SHOP AND PREMISES
,4080,O,0,,5098211019,0,110.5,0,MAN,3352.4,,0,0,CS,8500,BARNARDO'S,PROPERTY & FACILITIES MANAGEMENT,JOHN HOSLER,TANNERS LANE,BARKINGSIDE ILFORD,ESSEX,IG6 1QG,12/10/2011,209-211 LONDON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 4HS,SHOP AND PREMISES
,3792,O,0,,5098127009,0,102.7,0,MAN,3115.76,,0,0,CS,7900,BARNARDO'S,PROPERTY & FACILITIES MANAGEMENT,JOHN HOSLER,TANNERS LANE,BARKINGSIDE ILFORD,ESSEX,IG6 1QG,12/10/2011,127 LONDON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 4HH,SHOP AND PREMISES
,6120,O,0,,5495020009,0,165.75,0,MAN,5028.6,,0,0,CS,12750,BARNARDO'S,PROPERTY & FACILITIES MANAGEMENT,JOHN HOSLER,TANNERS LANE,BARKINGSIDE ILFORD,ESSEX,IG6 1QG,12/10/2011,20 MARKET STREET,MARPLE,STOCKPORT,,,SK6 7AD,SHOP AND PREMISES
,9120,O,0,,7885004029,0,247,0,MAN,7493.6,,0,0,CS,19000,BARNARDO'S,PROPERTY & FACILITIES MANAGEMENT,JOHN HOSLER,TANNERS LANE,BARKINGSIDE ILFORD,ESSEX,IG6 1QG,01/04/2006,4-6 THE PRECINCT,CASTLE STREET,STOCKPORT,,,SK3 9AL,SHOP AND PREMISES
,840,V,862.75,MINRV,5468000009,0,22.75,0,,0,,0,0,MX,1750,BARNES ESTATES LTD,25 ROCHDALE ROAD,MANCHESTER,,,,M4 4HT,16/12/2000,BARNES HOSPITAL,MANCHESTER ROAD,CHEADLE,,,SK8 2NY,FORMER HOSPITAL & PREMISES
,2736,O,0,,205171099,0,0,0,,0,,0,0,CWO,5700,BARRATTS EVENT CATERERS LTD,,,,,,,23/03/2006,UNIT 9,AVONDALE IND ESTATE,AVONDALE ROAD,EDGELEY,STOCKPORT,SK3 0UD,"STORE, OFFICE AND PREMISES"
,3888,O,0,,205171129,0,0,0,,0,,0,0,CW,8100,BARRATTS EVENT CATERERS LTD,,,,,,,05/04/2006,UNIT 8,AVONDALE INDUSTRIAL ESTATE,AVONDALE ROAD,EDGELEY,STOCKPORT,SK3 0UD,WAREHOUSE AND PREMISES
,5400,O,0,,205171059,0,0,0,,0,,0,0,CW,11250,BARRATTS EVENT CATERERS LTD,,,,,,,01/04/2011,UNIT 5,AVONDALE IND ESTATE,AVONDALE ROAD,EDGELEY,STOCKPORT,SK3 0UD,WAREHOUSE AND PREMISES
,7440,V,0,,1743094009,0,201.5,0,,0,,0,0,CO,15500,BARRY HOOK ASSOCIATES LTD,15 ALLDIS STREET,STOCKPORT,,,,SK2 7PA,01/04/1990,94-94A CHURCHGATE,STOCKPORT,,,,SK1 1YJ,OFFICES AND PREMISES
RETAIL,2880,O,0,,825134009,0,0,0,,0,,0,0,CS,6000,BARWOODS BEDROOMS LTD,,,,,,,01/05/2012,134 BRAMHALL LANE,HEAVILEY,STOCKPORT,,,SK3 8SB,SHOP AND PREMISES
,1440,O,0,,1640059029,0,0,0,,0,,0,0,CW,3000,BASSAIRE LTD,31A CHADKIRK BUSINESS PARK,VALE ROAD,CHADKIRK,ROMILEY,STOCKPORT,SK6 3NE,13/12/2005,31A CHADKIRK BUSINESS PARK,CHADKIRK,ROMILEY,STOCKPORT,,SK6 3NE,WAREHOUSE AND PREMISES
,4800,O,0,,113027019,0,0,0,,0,,0,0,CG1,10000,BATESTONE MOTORS LTD,,,,,,,20/03/2004,ARCHER STREET GARAGE,3 ARCHER STREET,STEPPING HILL,STOCKPORT,,SK2 7PN,VEHICLE REPAIR WORKSHOP AND PREMISES
,2544,O,0,,1931429019,-1,0,2544,,0,,0,0,CS,5300,BATHROOMS BY DESIGN (NORTH WEST) LTD,,,,,,,17/04/2005,429 CHESTER ROAD,WOODFORD,STOCKPORT,,,SK7 1QP,SHOP AND PREMISES
,984,O,0,,7393132029,-1,0,984,,0,,0,0,CO,2050,BATHROOMS ETC INSTALLATION LTD,,,,,,,01/04/2013,1ST FLOOR,132 STOCKPORT ROAD,CHEADLE,,,SK8 2DP,OFFICES AND PREMISES
,30960,O,0,,2751099009,0,838.5,0,,0,,0,0,CWO,64500,BAULE UK LTD,BAULE HOUSE,EARL ROAD,STANLEY GREEN TRADING ESTATE,CHEADLE HULME,CHEADLE,SK8 6PT,01/05/2003,WAREHOUSE OFFICES & PREMS,EARL ROAD,CHEADLE HULME,CHEADLE,,SK8 6PT,"WAREHOUSE, OFFICE AND PREMISES"
,15600,O,0,,739009049,0,422.5,0,,0,,0,0,IF3,32500,BAUMULLER (UK) LTD,,,,,,,23/05/2012,UNIT 9,RUGBY PARK,BLETCHLEY ROAD,HEATON MERSEY,STOCKPORT,SK4 3EJ,WORKSHOP AND PREMISES
,25680,O,0,,1897006009,0,695.5,0,,0,,0,0,IF3O,53500,BAXTER HEALTHCARE LTD,BAXTER SHARED SERVICE & COM LTD,ACCOUNTS PAYABLE,UNIT 2 DEANSGRANGE BUSINESS PARK,BLACKROCK,DUBLIN,,28/11/2003,UNIT 1,BOUNDARY COURT,CROSSLEY ROAD,HEATON CHAPEL,STOCKPORT,SK4 5GA,"WORKSHOP, OFFICES AND PREMISES"
,948,O,0,,1897006019,0,0,0,,0,,0,0,CP,1975,BAXTER HEALTHCARE LTD,BAXTER SHARED SERVICE & COM LTD,ACCOUNTS PAYABLE,UNIT 2 DEANSGRANGE BUSINESS PARK,BLACKROCK,DUBLIN,,09/07/2014,CAR PARK OFF,CROSSLEY ROAD,HEATON CHAPEL,STOCKPORT,,SK4 5GA,CAR PARK
,2448,O,0,,3143246059,-1,0,2448,,0,,0,0,CO,5100,BE IT  RECRUITEMENT LTD,THE OLD COUNTY POLICE STATION,NEWHEY ROAD,ROCHDALE,,,OL16 3PS,11/05/2007,MERCURY HOUSE,246A FINNEY LANE,HEALD GREEN,CHEADLE,,SK8 3DQ,OFFICES AND PREMISES
,3552,O,0,,5674203019,0,96.2,0,MAN,2918.56,,0,0,CO,7400,BEACON COUNSELLING LTD,203 MOSS LANE,BRAMHALL,STOCKPORT,,,SK7 1BA,21/11/2005,203 MOSS LANE,BRAMHALL,STOCKPORT,,,SK7 1BA,OFFICES AND PREMISES
,2352,O,0,,3464053019,0,63.7,0,MAN,1932.56,,0,0,CO,4900,BEACON COUNSELLING LTD,203 MOSS LANE,BRAMHALL,STOCKPORT,,,SK7 1BA,16/11/2012,53 GREEK STREET,STOCKPORT,,,,SK3 8AX,OFFICES AND PREMISES
,924,O,0,,7395999019,0,0,0,,0,,0,0,CA,1925,BEACON OUTDOOR LTD,13-15 WORCESTER ROAD,BROMSGROVE,WORC,,,B61 7DL,01/07/2009,ADJ BULKELEY ARMS,STOCKPORT ROAD,CHEADLE HEATH,STOCKPORT,,SK3 0HP,ADVERTISING RIGHT
,1968,O,0,,6438099229,-1,0,1968,,0,,0,0,CO,4100,BEADMAN SOLUTIONS LTD,,,,,,,01/09/2012,HUB 21,PEPPER HOUSE,1 PEPPER ROAD,HAZEL GROVE,STOCKPORT,SK7 5DP,OFFICES AND PREMISES
,1344,O,0,,6438099219,0,0,0,,0,,0,0,CO,2800,BEADMAN SOLUTIONS LTD,,,,,,,01/11/2014,HUB 20,PEPPER HOUSE,1 PEPPER ROAD,HAZEL GROVE,STOCKPORT,SK7 5DP,OFFICES AND PREMISES
,34080,O,0,,2776011009,0,923,0,,0,,0,0,CO,71000,BEARDSELLS LTD,,,,,,,28/05/2004,VIENNA HOUSE,EDEN PLACE,CHEADLE,,,SK8 1AT,OFFICES AND PREMISES
,720,O,0,,3981099499,0,0,0,,0,,0,0,CP1,1500,BEARDSELLS LTD,VIENNA HOUSE,EDEN PLACE,CHEADLE,,,SK8 1AT,01/04/2010,CAR PARKING  SPACES 17-21,HAW BANK HOUSE,HIGH STREET,CHEADLE,,SK8 1AL,CAR PARKING SPACES
,5040,O,0,,8576029039,-1,0,1259.06,,0,,0,0,CS,10500,BEAUTY SPARKLE LTD,T/A LA BELLE,29 WILMSLOW ROAD,CHEADLE,,,SK8 2HQ,05/04/2014,29 WILMSLOW ROAD,CHEADLE,,,,SK8 1NE,SHOP AND PREMISES
,73920,O,0,,5595033009,0,2002,0,,0,,0,0,CS,154000,BEAVERBROOKS THE JEWELLERS LTD,ADELE HOUSE,PARK ROAD,ST ANNS ON SEA,LANCS,,FY8 1RE,01/04/1990,33 MERSEYWAY,STOCKPORT,,,,SK1 1PW,SHOP AND PREMISES
,1392,V,0,,5136040019,0,37.7,0,,0,,0,0,CS,2900,BECKHALL PROPERTIES LTD,C/O INSPIRE LIVING,125 EGERTON ROAD SOUTH,CHORLTON,MANCHESTER,,M21 0XN,02/02/2009,40A LOWER HILLGATE,STOCKPORT,,,,SK1 1JE,SHOP AND PREMISES
,1920,V,0,,5136030029,0,52,0,,0,,0,0,CS,4000,BECKHALL PROPERTIES LTD,C/O INSPIRE LIVING,125 EGERTON ROAD SOUTH,CHORLTON,MANCHESTER,,M21 0XN,09/08/2013,30 LOWER HILLGATE,STOCKPORT,,,,SK1 1JE,SHOP AND PREMISES
,588,V,603.93,MINRV,3983006009,0,15.93,0,,0,,0,0,CO,1225,BECKHALL PROPERTIES LTD,C/O INSPIRE LIVING,125 EGERTON ROAD SOUTH,CHORLTON,MANCHESTER,,M21 0XN,12/10/2012,6-10 HIGH STREET,STOCKPORT,,,,SK1 1EG,SHOP AND PREMISES
,5040,V,0,,5136038009,0,136.5,0,,0,,0,0,CS,10500,BECKHALL PROPERTIES LTD,C/O INSPIRE LIVING,125 EGERTON ROAD SOUTH,CHORLTON,MANCHESTER,,M21 0XN,17/09/2013,38-40 LOWER HILLGATE,STOCKPORT,,,,SK1 1JE,SHOP AND PREMISES
,2688,O,0,,4048000039,0,0,0,,0,,0,0,IF3,5600,BEDFORD ENGINEERING CO (MANCHESTER) LTD,HOLLINGWORTH ROAD,BREDBURY,STOCKPORT,,,SK6 2AU,01/04/1990,HOLLINGWORTH ROAD,BREDBURY,STOCKPORT,,,SK6 2AU,WORKSHOP AND PREMISES
,14520,O,0,,5620099009,0,393.25,0,,0,,0,0,MH,30250,BEECHES CONSULTING CENTRE,,,,,,,01/04/1990,MILL LANE,CHEADLE,,,,SK8 2NT,SURGERY AND PREMISES
,9240,O,0,,5520099009,0,250.25,0,MAN,7592.2,,0,0,LC,19250,BEECHWOOD CANCER CARE CENTRE,BEECHWOOD CANCER CARE CENTRE,CHELFORD GROVE,STOCKPORT,,,SK3 8LS,30/09/1991,CHELFORD GROVE/,MARTON GREEN,ADSWOOD,STOCKPORT,,SK3 8LT,CARE CENTRE AND PREMISES
RETAIL,5400,O,0,,826028009,0,146.25,0,MAN,4437,,0,0,CS,11250,BEECHWOOD CANCER CARE CENTRE,BEECHWOOD CANCER CARE CENTRE,CHELFORD GROVE,STOCKPORT,,,SK3 8LS,01/08/1996,28 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,,SK7 1AF,SHOP AND PREMISES
RETAIL,5640,O,0,,3143220009,0,152.75,0,MAN,4634.2,,0,0,CS,11750,BEECHWOOD CANCER CARE CENTRE,BEECHWOOD CANCER CARE CENTRE,CHELFORD GROVE,STOCKPORT,,,SK3 8LS,13/08/2003,220 FINNEY LANE,HEALD GREEN,CHEADLE,,,SK8 3QA,SHOP AND PREMISES
RETAIL,2448,O,0,,8522013009,0,66.3,0,MAN,2011.44,,0,0,CS,5100,BEECHWOOD CANCER CARE CENTRE,BEECHWOOD CANCER CARE,CHELFORD GROVE,ADSWOOD,STOCKPORT,,SK3 8LS,28/06/1993,13 WOODLEY PRECINCT,WOODLEY,STOCKPORT,,,SK6 1RJ,SHOP AND PREMISES
RETAIL,3360,O,0,,1615059009,0,91,0,MAN,2760.8,,0,0,CS,7000,BEECHWOOD CANCER CARE CENTRE,CHELFORD GROVE,STOCKPORT,,,,SK3 8LS,05/12/1999,59 CASTLE STREET,EDGELEY,STOCKPORT,,,SK3 9AT,SHOP AND PREMISES
,95280,O,0,,1009073009,0,2580.5,0,,0,,0,0,CL,198500,BEEFEATER BERNI INNS LTD,C/O GERALDEVE,35 KINGS HILL AVENUE,WEST MALLING,KENT,,ME19 4DN,28/05/1991,BAMFORD ARMS,73 BUXTON ROAD,STOCKPORT,,,SK2 6NB,"PUBLIC HOUSE,HOTEL AND PREMISES"
,24240,O,0,,9932006009,0,656.5,0,,0,,0,0,CO,50500,BEELEY & CO LTD,,,,,,,29/11/2012,UNIT 6,RHINO COURT,STATION VIEW,HAZEL GROVE,STOCKPORT,SK7 5ER,OFFICES AND PREMISES
,374.4,O,0,,2561045359,0,0,0,,0,,0,0,CO,780,BEERS 2 GO LIMITED,,,,,,,01/11/2014,UNIT 12,CLIMAX WORKS,DURHAM STREET,NORTH REDDISH,STOCKPORT,SK5 6YZ,OFFICES AND PREMISES
,5040,O,0,,1897001789,0,0,0,,0,,0,0,IF3,10500,BELLE VUE (MANCHESTER) LTD,,,,,,,01/09/2008,DISCOVERY PARK,CROSSLEY ROAD,HEATON CHAPEL,STOCKPORT,,SK4 5BB,WORKSHOP AND PREMISES
,4608,O,0,,1897001799,0,0,0,,0,,0,0,CW1,9600,BELLE VUE (MANCHESTER) LTD,,,,,,,01/09/2008,DISCOVERY PARK,CROSSLEY ROAD,HEATON CHAPEL,STOCKPORT,,SK4 5BB,LAND USED FOR VEHICLE PARKING
,5400,O,0,,1897010039,0,0,0,,0,,0,0,CW2,11250,BELLE VUE (MANCHESTER) LTD,,,,,,,01/10/2005,DISCOVERY PARK,CROSSLEY ROAD,HEATON CHAPEL,STOCKPORT,,SK4 5DZ,DEPOT AND PREMISES
,1368,O,0,,715003919,-1,0,1368,,0,,0,0,CO,2850,BELLTECH LTD,BLOCK 67 S13,EUROPA BUSINESS PARK,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0RT,01/03/2015,BLOCK 67 S5,EUROPA BUSINESS PARK,BIRD HALL LANE,CHEADLE HEATH,STOCKPORT,SK3 0RT,OFFICES AND PREMISES
,12000,O,0,,974064009,0,325,0,,0,,0,0,CX,25000,BELLWAY HOMES LTD,THE GENESIS CENTRE,GARRETT FIELD,BIRCHWOOD,WARRINGTON,,WA3 7BH,02/05/2014,64 BUCKINGHAM ROAD,HEATON MOOR,STOCKPORT,,,SK4 4QY,SHOW HOME AND PREMISES
,11520,O,0,,9973002009,0,312,0,,0,,0,0,CX,24000,BELLWAY HOMES LTD,THE GENESIS CENTRE,GARRETT FIELD,BIRCHWOOD,WARRINGTON,,WA3 7BH,02/05/2014,2 HARROW DRIVE,STOCKPORT,,,,SK4 4SA,SHOW HOME AND PREMISES
,8640,O,0,,9983001009,0,234,0,,0,,0,0,CX,18000,BELLWAY HOMES LTD,THE GENESIS CENTRE,GARRETT FIELD,BIRCHWOOD,WARRINGTON,,WA3 7BH,29/11/2014,1 RAISBECK ROAD,STOCKPORT,,,,SK2 7BF,SHOW HOME
,8640,O,0,,9983003009,0,234,0,,0,,0,0,CX,18000,BELLWAY HOMES LTD,THE GENESIS CENTRE,GARRETT FIELD,BIRCHWOOD,WARRINGTON,,WA3 7BH,29/11/2014,3 RAISBECK ROAD,STOCKPORT,,,,SK2 7BF,SHOW HOME
,21206.56,V,21780.9,IN,974061039,0,574.34,0,,0,,0,0,CW,52500,BELLWAY HOMES LTD,THE GENESIS CENTRE,GARRETT FIELD,BIRCHWOOD,WARRINGTON,,WA3 7BH,29/05/2015,BUCKINGHAM ROAD,HEATON MOOR,STOCKPORT,,,SK4 4QZ,WAREHOUSE AND PREMISES
,15248.52,V,15661.5,3MTHS,974061049,0,412.98,0,,0,,0,0,CW,37750,BELLWAY HOMES LTD,THE GENESIS CENTRE,GARRETT FIELD,BIRCHWOOD,WARRINGTON,,WA3 7BH,29/05/2015,BUCKINGHAM ROAD,HEATON MOOR,STOCKPORT,,,SK4 4QZ,WAREHOUSE LAND AND PREMISES
RETAIL,3408,O,0,,3935155009,0,0,0,,0,,0,0,CS,7100,BELLY BUTTON DESIGNS LTD,UNIT 1-3 THE OAKFIELD CENTRE,HARLING ROAD,SHARSTON IND ESTATE,MANCHESTER,,M22 4UX,03/11/2009,155 HEATON MOOR ROAD,STOCKPORT,,,,SK4 4HY,SHOP AND PREMISES
,480,O,0,,908301429,-1,0,480,,0,,0,0,CO,1000,BELLYFLOP TV LTD,,,,,,,15/05/2014,SUITE 326 3RD FLOOR,BROADSTONE HOUSE,BROADSTONE ROAD,STOCKPORT,,SK5 7DL,OFFICES AND PREMISES
,441.6,O,0,,7229025579,-1,0,441.6,,0,,0,0,CW3,920,BELMONT CONSTRUCTION LTD,,,,,,,20/04/2013,UNIT 18.3,SCHOOL STREET TRADING ESTATE,SCHOOL STREET,HAZEL GROVE,STOCKPORT,SK7 4RA,STORE AND PREMISES
,4368,V,0,,5469230009,0,118.3,0,,0,,0,0,CO,9100,BELMONTE BUSINESS EQUIPMENT LTD,UNIT 18,HAIGH PARK,HAIGH AVE,STOCKPORT,,SK4 1QR,15/03/1995,230 MANCHESTER ROAD,STOCKPORT,,,,SK4 1NN,OFFICES AND PREMISES
,6360,O,0,,3805098009,0,0,0,,0,,0,0,IF3O,13250,BELMONTE BUSINESS EQUIPMENT LTD,UNIT 18,HAIGH PARK,HAIGH AVE,STOCKPORT,,SK4 1QR,16/01/2009,UNIT 18,HAIGH PARK,HAIGH AVENUE,STOCKPORT,,SK4 1QR,"WORKSHOP, OFFICES AND PREMISES"
,5640,O,0,,3464027019,-1,0,232.53,,0,,0,0,CO,11750,BELSHAWS SOLICITORS LTD,,,,,,,06/05/2004,27 GREEK STREET,STOCKPORT,,,,SK3 8AX,OFFICES AND PREMISES
,11520,O,0,,3467067019,0,312,0,,0,,0,0,IF3,24000,BENCHMARK BUILDING SUPPLIES LTD,GREEN LANE,ROMILEY,STOCKPORT,,,SK6 3JG,30/04/1996,WORKSHOP & OFFICES AT,GREEN LANE,ROMILEY,STOCKPORT,,SK6 3JG,WORKSHOP OFFICES AND PREMISES
,4920,O,0,,2510010039,0,0,0,,0,,0,0,CW1,10250,BENCHMARK BUILDING SUPPLIES LTD,GREEN LANE,ROMILEY,STOCKPORT,,,SK6 3JG,01/04/2005,WYEVALE GARDEN CENTRE,DOOLEY LANE,MARPLE,STOCKPORT,,SK6 7HE,LAND USED FOR STORAGE AND DISPLAY
,8280,O,0,,176099009,-1,0,0,,0,,0,0,CO,17250,BENJAMIN ARMITAGE (HYDE) LTD T/A ARMITAG,,,,,,,11/07/2007,TECHNOLOGY HOUSE,ASHTON ROAD,BREDBURY,STOCKPORT,,SK6 2QN,OFFICES AND PREMISES
,168,O,0,,3983999029,0,0,0,,0,,0,0,CP1,350,BENNETT VERBY & CO LTD,THE BEATTIE PARTNERSHIP,MADISON HOUSE,37 LITTLE PETER STREET,MANCHESTER,,M15 4QJ,01/07/2000,ADJ OLD MANSION HOUSE,HIGH STREET,LOWER HILLGATE,STOCKPORT,,SK1 1EG,CAR PARKING SPACE
,16680,O,0,,7192007079,0,451.75,0,,0,,0,0,CO,34750,BENNETT VERBY & CO LTD,THE BEATTIE PARTNERSHIP,MADISON HOUSE,37 LITTLE PETER STREET,MANCHESTER,,M15 4QJ,03/02/2003,7 ST PETERSGATE,STOCKPORT,,,,SK1 1EB,OFFICES AND PREMISES
,168,O,0,,3983999019,0,0,0,,0,,0,0,CP1,350,BENNETT VERBY & CO LTD,THE BEATTIE PARTNERSHIP,MADISON HOUSE,37 LITTLE PETER STREET,MANCHESTER,,M15 4QJ,13/06/2000,CAR PARKING SPACE ADJ,OLD MANSION HOUSE,HIGH STREET,LOWER HILLGATE,STOCKPORT,SK1 1EG,CAR PARKING SPACE
,11160,V,0,,7192007009,0,302.25,0,,0,,0,0,CS,23250,BENNETT VERBY & CO LTD,THE BEATTIE PARTNERSHIP,MADISON HOUSE,37 LITTLE PETER STREET,MANCHESTER,,M15 4QJ,01/02/2008,9 ST PETERSGATE,STOCKPORT,,,,SK1 1HD,SHOP AND PREMISES
,2376,O,0,,5082028009,-1,0,2376,,0,,0,0,CS,4950,BENOL VENTURES LTD,,,,,,,07/06/2012,28 LITTLE UNDERBANK,STOCKPORT,,,,SK1 1JT,SHOP AND PREMISES
,34800,O,0,,1007031099,0,942.5,0,,0,,0,0,CS10,72500,BENSON CARPETS LTD,C/O UNITED CARPETS (PROPERTY) LTD,MOORHEAD HOUSE,MOORHEAD WAY,BRAMLEY,,S66 1YY,26/07/2014,33 BUXTON ROAD,HAZEL GROVE,STOCKPORT,,,SK7 6AF,RETAIL WAREHOUSE AND PREMISES
,1296,O,0,,2452022019,-1,0,1296,,0,,0,0,CO,2700,BENSON ENTERPRISES LTD,SECOND FLOOR,22 DEANERY WAY,STOCKPORT,,,SK1 1NA,31/03/2012,SECOND FLOOR,22 DEANERY WAY,STOCKPORT,STOCKPORT,,SK1 1NA,OFFICE AND PREMISES
