ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (�),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072805
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,09/12/2016,620.74,RESIDENTIAL LONG TERM,V001072807
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072808
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BEECH HOUSE,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072810
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072813
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,THE JOSEPH COX CHARITY,09/12/2016,784.4,RESIDENTIAL LONG TERM,V001072814
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072815
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,09/12/2016,602.12,RESIDENTIAL LONG TERM,V001072817
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,541.08,NURSING LONG TERM,V001072819
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,-533.52,RESIDENTIAL LONG TERM,V001072821
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,-533.52,RESIDENTIAL LONG TERM,V001072822
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,-533.52,RESIDENTIAL LONG TERM,V001072823
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELIZABETH HOUSE OLDHAM LTD,09/12/2016,576.28,RESIDENTIAL LONG TERM,V001072824
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072825
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,09/12/2016,600.12,RESIDENTIAL LONG TERM,V001072826
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072827
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001072828
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,622.44,RESIDENTIAL LONG TERM,V001072830
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,537.76,RESIDENTIAL LONG TERM,V001072831
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,STANSFIELD HALL REST HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072833
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CHADDERTON TOTAL CARE UNIT LTD,09/12/2016,618.6,NURSING LONG TERM,V001072835
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,FOUR SEASONS HEALTHCARE,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072836
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,09/12/2016,587.02,RESIDENTIAL LONG TERM,V001072837
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,728.9,NURSING LONG TERM,V001072839
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ROSEMARY CARE HOME,09/12/2016,552.72,RESIDENTIAL LONG TERM,V001072843
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072845
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072846
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001072847
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001072848
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,09/12/2016,601.34,RESIDENTIAL LONG TERM,V001072849
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,599.96,NURSING LONG TERM,V001072850
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,583.04,RESIDENTIAL LONG TERM,V001072851
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HALF ACRE HOUSE,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072853
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,859.52,NURSING LONG TERM,V001072854
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BRIARMEDE CARE LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072856
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE SERVICES,09/12/2016,1976,NURSING LONG TERM,V001072858
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,LILY CARE LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072860
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BEECH HOUSE,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072861
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072862
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,585.94,RESIDENTIAL LONG TERM,V001072863
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072864
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BELVOIR CARE HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072865
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,09/12/2016,859.52,NURSING LONG TERM,V001072866
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,614.02,RESIDENTIAL LONG TERM,V001072868
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,608.2,RESIDENTIAL LONG TERM,V001072869
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,MERIDIAN HEALTHCARE LTD,09/12/2016,924,RESIDENTIAL LONG TERM,V001072871
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072872
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,09/12/2016,609.18,RESIDENTIAL LONG TERM,V001072873
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,605.3,RESIDENTIAL LONG TERM,V001072874
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,539.3,RESIDENTIAL LONG TERM,V001072876
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,590.62,RESIDENTIAL LONG TERM,V001072879
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,601.12,RESIDENTIAL LONG TERM,V001072880
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072881
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,WOODLANDS RESIDENTIAL CARE HOME LTD,09/12/2016,1018,RESIDENTIAL LONG TERM,V001072883
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072885
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,09/12/2016,606.12,RESIDENTIAL LONG TERM,V001072886
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,601.08,RESIDENTIAL LONG TERM,V001072887
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,594.12,RESIDENTIAL LONG TERM,V001072888
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,LIVING AMBITIONS LTD,09/12/2016,2773.26,RESIDENTIAL LONG TERM,V001072889
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,09/12/2016,536.76,RESIDENTIAL LONG TERM,V001072890
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CANTERBURY CARE HOMES LTD,09/12/2016,583.46,NURSING LONG TERM,V001072891
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072892
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,599.3,RESIDENTIAL LONG TERM,V001072897
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,547.32,RESIDENTIAL LONG TERM,V001072898
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,568.22,RESIDENTIAL LONG TERM,V001072899
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072901
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,09/12/2016,1916.58,RESIDENTIAL LONG TERM,V001072902
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072903
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,HEATHCOTES GROUP,09/12/2016,3596.34,RESIDENTIAL LONG TERM,V001072904
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,625.3,RESIDENTIAL LONG TERM,V001072905
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072906
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,697.4,NURSING LONG TERM,V001072907
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,572.06,RESIDENTIAL LONG TERM,V001072908
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,595.96,RESIDENTIAL LONG TERM,V001072909
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072910
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072913
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HURSTEAD HOUSE CARE HOME,09/12/2016,597.54,NURSING LONG TERM,V001072914
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001072915
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FIELDHOUSE NURSING HOME,09/12/2016,566.4,RESIDENTIAL LONG TERM,V001072917
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,541.06,RESIDENTIAL LONG TERM,V001072918
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ARCHMOOR CARE HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072919
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ATLANTIS MEDICARE LTD,09/12/2016,556.3,RESIDENTIAL LONG TERM,V001072920
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,FIELDHOUSE NURSING HOME,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072921
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ELDERCARE LANCS LIMITED,09/12/2016,540.6,RESIDENTIAL LONG TERM,V001072922
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,DOVE CARE LTD,09/12/2016,920,RESIDENTIAL LONG TERM,V001072923
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,09/12/2016,616.34,RESIDENTIAL LONG TERM,V001072924
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,AS CARE SOLUTIONS LTD,09/12/2016,2900,RESIDENTIAL LONG TERM,V001072925
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,714.5,NURSING LONG TERM,V001072926
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072927
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,CHADDERTON TOTAL CARE UNIT LTD,09/12/2016,645.88,RESIDENTIAL LONG TERM,V001072928
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,859.52,NURSING LONG TERM,V001072929
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072930
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,627.3,RESIDENTIAL LONG TERM,V001072931
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,09/12/2016,575.14,RESIDENTIAL LONG TERM,V001072932
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ASHBOURNE NURSING HOME,09/12/2016,581.98,RESIDENTIAL LONG TERM,V001072933
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LEIGHTON HOUSE RETIREMENT HOME LIMITED,09/12/2016,593.7,RESIDENTIAL LONG TERM,V001072934
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,09/12/2016,566.1,RESIDENTIAL LONG TERM,V001072935
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,541.42,RESIDENTIAL LONG TERM,V001072936
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,597.48,RESIDENTIAL LONG TERM,V001072937
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,MBI SOCIAL CARE LTD,09/12/2016,874.9,NURSING LONG TERM,V001072938
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LILY CARE LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072939
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,MARSHMEAD LIMITED,09/12/2016,774.46,RESIDENTIAL LONG TERM,V001072940
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,651.26,NURSING LONG TERM,V001072941
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001072942
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,DENTAK CARE AND SERVICES LIMITED,09/12/2016,859.52,NURSING LONG TERM,V001072943
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,ELDERCARE HALIFAX LTD,09/12/2016,1238.6,RESIDENTIAL LONG TERM,V001072944
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,09/12/2016,2100,RESIDENTIAL LONG TERM,V001072945
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HORIZON  RESIDENTIAL HOMES LTD,09/12/2016,572.3,RESIDENTIAL LONG TERM,V001072946
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001072947
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072948
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072949
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,CLEGGSWORTH CARE HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072950
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,09/12/2016,859.52,RESIDENTIAL LONG TERM,V001072951
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,DEAFWAY,09/12/2016,2500,RESIDENTIAL LONG TERM,V001072952
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072953
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,548.16,RESIDENTIAL LONG TERM,V001072954
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,DENTAK CARE AND SERVICES LIMITED,09/12/2016,549.58,NURSING LONG TERM,V001072955
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,HC ONE LTD,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001072956
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,524.64,RESIDENTIAL LONG TERM,V001072957
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ORCHARD CARE HOMES,09/12/2016,663.34,RESIDENTIAL LONG TERM,V001072958
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,WESTVALE HOUSE,09/12/2016,726.6,NURSING LONG TERM,V001072959
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,608.12,RESIDENTIAL LONG TERM,V001072960
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,533.3,NURSING LONG TERM,V001072961
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072962
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001072963
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FINBROOK LIMITED,09/12/2016,523.46,RESIDENTIAL LONG TERM,V001072964
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072965
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,588.04,RESIDENTIAL LONG TERM,V001072966
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS HEALTHCARE,09/12/2016,623.3,RESIDENTIAL LONG TERM,V001072968
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ST GEORGES NURSING HOME OLDHAM LTD,09/12/2016,1831.2,NURSING LONG TERM,V001072969
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAGLE CARE HOMES LTD,09/12/2016,585.02,RESIDENTIAL LONG TERM,V001072970
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,551.6,RESIDENTIAL LONG TERM,V001072971
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,09/12/2016,512.3,RESIDENTIAL LONG TERM,V001072972
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,LEIGHTON HOUSE RETIREMENT HOME LIMITED,09/12/2016,590.5,RESIDENTIAL LONG TERM,V001072973
ROCHDALE BOROUGH COUNCIL,09/12/2016,LEARNING DIS & MENTAL HEALTH,BUPA CARE HOMES LIMITED,09/12/2016,859.52,NURSING LONG TERM,V001072975
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,555.4,NURSING LONG TERM,V001072976
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001072977
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,09/12/2016,598.12,NURSING LONG TERM,V001072978
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072979
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,FOUR SEASONS,09/12/2016,540.52,RESIDENTIAL LONG TERM,V001072980
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,BRIARMEDE CARE LTD,09/12/2016,557.14,RESIDENTIAL LONG TERM,V001072981
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,09/12/2016,598.12,RESIDENTIAL LONG TERM,V001072982
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,09/12/2016,573.4,RESIDENTIAL LONG TERM,V001072984
ROCHDALE BOROUGH COUNCIL,09/12/2016,PHYSICAL DIS & OLDER PEOPLE,STAMFORD HOUSE REST HOME LIMITED,09/12/2016,566.16,RESIDENTIAL LONG TERM,V001072985
