Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Net Amount (J),Transaction Number (I),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Information Services,Supplies and Services,EFM : Office and computer equipment,4002,CHESS ICT BURNLEY LIMITED,A0091033, 13/07/2017,169.78,ITS0281571,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CHESS ICT BURNLEY LIMITED,A0091033, 13/07/2017,22.38,ITS0281574,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CHESS ICT BURNLEY LIMITED,A0091033, 13/07/2017,65.68,ITS0281573,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CHESS ICT BURNLEY LIMITED,A0091033, 13/07/2017,79.96,ITS0281574,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CHESS ICT BURNLEY LIMITED,A0091033, 13/07/2017,169.78,ITS0281572,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CHESS ICT BURNLEY LIMITED,A0091033, 13/07/2017,893.94,ITS0281574,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CIPFA,A0000563, 13/07/2017,151,AAS0281575,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CIPFA,A0000563, 13/07/2017,235,AAS0281552,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CJS EVENT SOLUTIONS,A0090136, 27/07/2017,100,AAS0281897,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,3202,COOKE FUELS,A0019019, 06/07/2017,1799,PCO0281371,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,-263.33,AAS4005650,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,-224.04,AAS4005649,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,-223.71,AAS4005651,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,-216.13,AAS4005652,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,-176.97,AAS4005653,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,-140.67,AAS4005654,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,112.01,AAS0281936,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,128.75,AAS0281935,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,156.38,AAS0281934,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,182.39,AAS0281933,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,188.49,AAS0281932,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,194.24,AAS0281930,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 24/07/2017,221.44,AAS0281931,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED,A0070869, 06/07/2017,2400,OPS0281363,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED,A0070869, 06/07/2017,4800,OPS0281363,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED,A0070869, 13/07/2017,4800,OPS0281515,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Renewals & Repairs Fund,4801,CYCLING DEVELOPMENT PENDLE PARTNERSHIP,A0090830, 27/07/2017,2345.14,PCO0281722,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Recruitment,1221,DBS,A0072958, 20/07/2017,440,AAS0281741,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,DBS,A0072958, 20/07/2017,1100,AAS0281741,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,DEWHURST DECORATING SUPPLIES,A0000879, 27/07/2017,27.51,PCO0281835,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 20/07/2017,5.75,REG0281594,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 20/07/2017,20.38,REG0281595,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 20/07/2017,148.13,REG0281597,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 20/07/2017,223.49,REG0281596,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 13/07/2017,103.6,OPS0281518,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 13/07/2017,103.6,OPS0281519,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 27/07/2017,18.38,PCO0281838,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 27/07/2017,44.2,PCO0281838,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 27/07/2017,64.56,PCO0281838,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 27/07/2017,18.37,PCO0281838,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,3202,DICK LEIGH,A0001675, 27/07/2017,40.01,PCO0281838,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,3202,DICK LEIGH,A0001675, 13/07/2017,183.2,PCO0281507,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,DICK LEIGH,A0001675, 13/07/2017,29.68,PCO0281503,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,DOVER VANGUARD ROLLER SHUTTERS LIMITED,A0091002, 06/07/2017,1000,EST0281377,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,DOVER VANGUARD ROLLER SHUTTERS LIMITED,A0091002, 06/07/2017,330,EST0281377,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,DUE NORTH LIMITED - PROACTIS,A0072574, 27/07/2017,2140,AAS0281899,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Consultants Fees,4401,DWF LLP,A0084385, 20/07/2017,2000,HED0281584,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 27/07/2017,43.86,AAS0281903,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON,A0023073, 06/07/2017,48.24,EST0281435,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,E.ON UK PLC,A0044040, 13/07/2017,68.32,AAS0281576,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON UK PLC,A0044040, 13/07/2017,309.26,EST0281538,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,E.ON UK PLC,A0044040, 27/07/2017,513.54,COR0281791,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Capital Costs,Capital : Payments,CD14,ECO WORLD ENERGY LIMITED,A0091239, 13/07/2017,3000,REG0281568,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ECOGEN,A0022890, 20/07/2017,80,HED0281620,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ECOGEN,A0022890, 20/07/2017,2480,HED0281619,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,EIGHT IMAGING,A0057511, 06/07/2017,120,REG0281315,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,4301,ELECTORAL REFORM SERVICES,A0041321, 06/07/2017,29.22,DAL0281431,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,4301,ELECTORAL REFORM SERVICES,A0041321, 20/07/2017,1348.75,DAL0281591,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ELECTORAL REFORM SERVICES,A0041321, 06/07/2017,185.06,DAL0281431,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,4501,ELECTORAL REFORM SERVICES,A0041321, 20/07/2017,1107.73,DAL0281591,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Premises Related Expense,Bldgs : R & M : Day To Day,2001,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,36,REG0281608,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,4003,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,-54.18,OPS4005648,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Other Equipment,4003,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,632.1,OPS0281694,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,35.42,PCO0281836,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,37.98,PCO0281845,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,38,PCO0281845,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,116,PCO0281845,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,25.6,PCO0281845,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,29.17,PCO0281836,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,5.9,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,15.25,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,24,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,24,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,25.25,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,25.25,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,28.25,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,32.02,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,39.4,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,41.8,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,41.8,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,41.8,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,41.8,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,50.4,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,72.5,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,72.5,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,75.96,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,75.96,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,75.96,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,80.05,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,90,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 27/07/2017,90,OPS0281794,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,97.5,OPS0281692,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 20/07/2017,113.94,OPS0281691,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,ENTERPRISE LANCASHIRE LIMITED,A0090413, 06/07/2017,900,REG0281316,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 13/07/2017,120,EST0281529,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 13/07/2017,300,EST0281529,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 13/07/2017,171.88,EST0281529,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 13/07/2017,364,EST0281529,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 27/07/2017,15,PCO0281859,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS GLAZING LIMITED,A0005903, 27/07/2017,80,PCO0281859,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,4705,FIDELITI LIMITED,A0052058, 13/07/2017,55.93,PER0281524,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,4705,FIDELITI LIMITED,A0052058, 27/07/2017,68.45,PER0281896,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,FST CONSUMABLES LIMITED,A0000004, 27/07/2017,39.93,PCO0281846,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,17.26,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,30.7,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,35.86,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,45.56,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,46.53,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,52.58,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,61.4,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,64.12,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,64.22,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,95.36,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,100.2,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,100.59,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,126.96,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,131.43,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,164.81,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,176.23,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,209.05,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,251.38,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,269.62,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,290.09,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,55.23,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,180.46,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,99.6,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,228.12,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,239.29,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,163.29,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,244.29,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,261.93,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,195.69,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,215.96,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,223.23,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,129.8,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,148,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,181.89,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,207.97,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,211.35,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,267.8,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,238.7,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,240.01,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,247.69,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,140.17,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,142.9,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,176.82,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,164.93,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,180.85,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,208.84,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,121.71,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,163.99,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,200.07,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,109.15,AAS0281735,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,111.65,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,170.23,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,85.03,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,102.82,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 11/07/2017,90.54,AAS0281734,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 04/07/2017,120.64,AAS0281733,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,3202,FUELMATE LTD,A0090265, 18/07/2017,123.21,AAS0281735,N,N/A,N,N/A
