PROPREF,PROPERTY_DESCRIPTION,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_XMPT_PKG.GET_RELIEFS_AS
29116704,Childrens Centre And Premises,"Childrens Centre, Field Lane J & I School, Burnsall Road, Rastrick             HD6 3JT",North Halifax Partnership Ltd,31250,01/07/2014,MCR
29116705,School and Premises,"Field Lane J & I School, Burnsall Road, Rastrick, Brighouse            HD6 3JT",Brighter Futures Academy Trust,26250,01/11/2013,MCR
29120700,Tennis Club And Premises,"Bute Avenue, Brighouse, HD6 2JA",,1100,01/04/1990,DOR MAR
29124706,Car Park,"Opp Victoria Works, (Torringtons), Calder Street, Brighouse            HD6 1LZ",,2000,29/09/2012,SBR
29124707,Car Park,"Opp Victoria Works, Calder Street, Brighouse, HD6 1LZ",,7500,29/09/2012,EX
29124711,Store And Premises,"Unit 4C, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,2050,01/10/2013,EX
29124713,Factory and Premises,"Units 2-3, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,15250,01/04/2014,ER
29124715,Warehouse And Premises,"Units 7-8, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,15000,01/05/2014,ER
29124719,Workshop And Premises,"Unit 1, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,12000,01/09/2014,ER
29124720,Workshop And Premises,"Unit 6, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,8400,01/09/2014,ER
29124725,Warehouse And Premises,"Unofficial Address, Unit 4B Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,3150,16/12/2014,ER
29124726,Store And Premises,"Unofficial Address, Unit 4A Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,2175,01/02/2015,EX
29124728,Office and Premises,"Unofficial Address, Unit 201 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,2125,09/02/2015,EX
29124730,Office and Premises,"Unofficial Address, Unit 101 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,3550,09/02/2015,ER
29124732,Warehouse And Premises,"Unofficial Address, Unit 5 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,3750,01/04/2015,ER
29124734,Office and Premises,"Unofficial Address, Unit 202 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,610,01/10/2015,EX
29124735,Office and Premises,"Unofficial Address, Unit 101A Victoria Works B P, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,680,01/10/2015,EX
29124736,Office and Premises,"Unofficial Address, Unit 203 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,700,01/10/2015,EX
29124737,Office and Premises,"Unofficial Address, Unit 204 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,2175,01/10/2015,EX
29124738,Offices and Premises,"Unoff Address Units 4DEFGH, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,5500,01/10/2015,ER
29124742,Offices and Premises,"'Unofficial' Unit 301 -302, Victoria Works Business Park, Calder Street, Brighouse            HD6 1LZ",Warmco Space Heating Ltd,3850,07/08/2014,ER
29128701,Car Park and Premises,"Bethel Street, Brighouse, HD6 1JR",Regeneration And Development,23250,01/04/1990,SBR
29128702,Restaurant and Premises,"Canal Street, Brighouse, HD6 1JX",,10500,01/03/2004,SBR
29128703,Shop and Premises,"5 Canal Street, Brighouse, HD6 1NR",Treble Clef Ltd,8800,01/04/2014,SBR
29132700,School and Premises,"Carr Green Junior School, Carr Green Lane, Rastrick, Brighouse           HD6 3LT",Carr Green Junior & Infants School,66500,01/04/2001,
29132701,Tennis Club And Premises,"Rastrick Tennis Club, Carr Green Lane, Rastrick, Brighouse           HD6 3LT",,9200,01/04/1990,SBR
29132702,Store And Premises,"The Former Chapel, Carr Green Cemetery, Carr Green Lane, Rastrick             HD6 3LT",,2275,01/08/2007,SBR
29136701,Shop and Premises,"5 Carr Street, Brighouse, HD6 4AZ",Duckworth Installations Ltd,5600,01/06/2003,SBR
29140001,Shop and Premises,"1 Castle Avenue, Brighouse, HD6 3HT",,5500,16/04/2006,SBR
29140003,Shop and Premises,"Castle Avenue Fisheries, Castle Avenue, Brighouse, HD6 3HT",,2550,01/04/2003,SBR
29140038,Surgery And Premises,"Longroyde Surgery, 38 Castle Avenue, Brighouse, HD6 3HT",,9600,01/04/1990,SBR
29140701,Shop and Premises,"2 Castle Avenue, Brighouse, HD6 3HT",Lotech Pharmacia Ltd,7200,09/11/2009,SBR
29144700,Club House And Premises,"Model Railway Club, Cawcliffe Road, Brighouse, HD6 2HP",,1575,01/04/1990,SBR
29144701,Self Catering Holiday Unit And Premises,"Ravensprings, Cawcliffe Road, Brighouse, HD6 2HP",,10750,01/04/2009,SBR
29148002,Offices and Premises,"2 Chapel Court, Park Street, Brighouse, HD6 1JH",,2750,01/04/2007,EX
29150001,Health Centre and Premises,"Health Centre, Chapel Croft, Brighouse, HD6 3NA",Nhs Property Services Ltd,20250,01/04/2013,SBR
29152017,Shop and Premises,"17 Charles Street, Brighouse, HD6 2DX",,7200,24/05/2014,SBR
29156001,Surgery And Premises,"1 Church Lane, Brighouse, HD6 1AT",,3700,10/08/2014,SBR
29156703,Surgery And Premises,"Rydings Hall, Church Lane, Brighouse, HD6 1AT",,34500,19/07/1990,SBR
29156705,Shop and Premises,"35 Church Lane, Brighouse, HD6 1AT",L Rowland & Co [Retail] Ltd,21500,06/05/1991,SBR
29156710,Offices and Premises,"16A Church Lane, Brighouse, HD6 1AT",Peritus Health Management Ltd,7800,13/03/2015,SBR
29156712,Communication Station and Premises,"Telecommunication Mast, Site Ref H D 0010, Church Lane, Brighouse            HD6 1DL",Hutchinson 3G Uk Ltd,11500,01/04/2005,EX
29156725,Surgery And Premises,"Church Lane Surgery, Church Lane, Brighouse, HD6 1AT",Church Lane Surgery,26500,28/06/2012,SBR
29156726,Shop and Premises,"Brighouse Pharmacy, 24 Church Lane, Brighouse, HD6 1AT",Healthpharm Yorkshire Ltd,29750,28/06/2012,SBR
29156731,Offices and Premises,"First Floor 1-4, 16 Church Lane, Brighouse, HD6 1AT",Turning Point Counselling Service,6600,01/09/2014,MCR
29156732,Offices and Premises,"Ground Floor 2-3, 16 Church Lane, Brighouse, HD6 1AT",Pickles Architects,2800,19/12/2014,SBR
29156733,Offices and Premises,"Ground Floor 1 4 & 6, 16 Church Lane, Brighouse, HD6 1AT",Lindley Financial Management Limited,4100,19/12/2014,SBR
29156734,Arts Studio,"St Martins School, Church Lane, Brighouse, HD6 1AT",,5700,05/09/2015,SBR
29156735,Day Nursery,"St Martins School, Church Lane, Brighouse, HD6 1AT",Little Learners Pre School Day Care,11250,05/09/2015,MCR
29156736,"Offices, Office And Premises","St Martins School, Church Lane, Brighouse, HD6 1AT",The Wakefield Diocesan Board Of Education,20250,05/09/2015,EX
29160004,Shop and Premises,"4 Church Street, Brighouse, HD6 3NF",,6000,13/12/1993,SBR
29160005,Club and Premises,"5 Church Street, Brighouse, HD6 3NF",,3850,01/04/1990,SBR
29160007,Hairdressing Salon and Premises,"7 Church Street, Brighouse, HD6 3NF",,3950,03/09/2014,SBR
29160008,Shop and Premises,"8 Church Street, Brighouse, HD6 3NF",,2550,24/02/2011,SBR
29160009,Shop and Premises,"9 Church Street, Brighouse, HD6 3NF",,3650,01/06/2013,SBR
29160010,Surgery And Premises,"10 Church Street, Brighouse, HD6 3NF",,3150,01/04/1990,SBR
29160701,Shop and Premises,"2 Church Street, Brighouse, HD6 3NF",,8000,20/05/2013,SBR
29160703,Dance Studio And Premises,"15 Church Street, Brighouse, HD6 3NF",,5700,20/04/2015,SBR
29164028,Shop and Premises,"28 Churchfields Road, Brighouse, HD6 1DH",,2550,14/11/2011,EX
29164700,Workshop And Premises,"Churchfield Works, Churchfields Road, Brighouse, HD6 1DH",Vernon Moss (Electroplating)Ltd,14000,01/06/1992,SBR
29172001,Shop and Premises,"1 Cliffe Road, Brighouse, HD6 1HE",,3200,21/02/2015,SBR
29172009,Club and Premises,"Cliffe Hall, 9 Cliffe Road, Brighouse, HD6 1HE",The Cliffe Hall Club Ltd,3750,01/04/1990,SBR
29172700,Warehouse And Premises,"Jubilee House, Cliffe Road, Brighouse, HD6 1HE",G R D Precision Ltd,18000,24/02/2009,SBR
29172701,Workshop And Premises,"Cliffe Works, Cliffe Road, Brighouse, HD6 1HE",,4550,25/12/1993,SBR
29172702,Workshop And Premises,"Cliffe Works, Cliffe Road, Brighouse, HD6 1HE",A & R Sheet Metal & Fabrication Ltd,23250,10/10/1997,SBR
29176004,Shop and Premises,"4 Clifton Common, Clifton, Brighouse, HD6 1QW",,2175,01/03/2013,SBR
29176700,Public House and Premises,"Armytage Arms, Clifton Common, Clifton, Brighouse           HD6 4JG",Mitchells And Butlers Retail Ltd,68000,07/02/2007,
29180700,Workshop And Premises,"Little John Mill, Clifton Road, Brighouse, HD6 1SL",Willow Valley Engineering Ltd,13000,01/11/2008,SBR
29180705,Workshop And Premises,"Little John Mill, Clifton Road, Brighouse, HD6 1SL",Clark Quarmby Ltd,11750,01/11/2008,SBR
29180708,Factory and Premises,"Brooksmouth Mills, Clifton Road, Brighouse, HD6 1SL",J W Lister Ltd,22000,01/04/1990,SBR
29180724,Advertising Right and Premises,"Gable Of The Round Tavern, 2 Clifton Road, Brighouse, HD6 1SL",Brearleys Solicitors,1725,23/09/2008,SBR
29184700,Sports Ground And Premises,"Rastrick Cricket Club, Clough Lane, Rastrick, Brighouse           HD6 3QL",,8700,01/04/1990,MAR
29184701,Public House and Premises,"Roundhill Inn, 75 Clough Lane, Rastrick, Brighouse           HD6 3QL",,16250,16/09/2006,SBR
29184703,Communication Station and Premises,"Telecommunication Mast, Site Ref 4890, Clough Lane, Brighouse            HD6 3QL",Tefonica O2 (Uk) Ltd,11500,01/04/2005,SBR
29184704,Communication Station and Premises,"Telecommunication Mast, Site Ref 35515, Clough Lane, Rastrick             HD6 3QL",Vodafone Ltd,8400,01/04/2005,SBR
29184705,Communication Station and Premises,"Telecommunication Mast, Site Ref 99613, Clough Lane, Rastrick             HD6 3QL",Mobile Broadband Network Ltd,8700,28/08/2009,SBR
29184706,Communication Station and Premises,"Telecommunication Mast, Site Ref H D 0017, Clough Lane, Rastrick             HD6 3QL",Hutchinson 3G Uk Ltd,8100,01/04/2005,EX
29184707,Fire Station And Premises,"Rastrick Fire Station, Clough Lane, Rastrick, Brighouse            HD6 3QH",West Yorkshire Fire & Civil Defence Authority,76000,17/06/2015,
29188700,Scout Hut And Premises,"Scout Meeting Rooms, Coach Road, Brighouse, HD6 2LN",,4450,01/04/1990,DCR MCR
29188701,Golf Course And Premises,"Coach Road, Brighouse, HD6 2LN",Crow Nest Park G C Ltd,35500,01/06/1995,SBR
29192700,Hotel And Premises,"Holiday Inn, Coalpit Lane, Clifton, Brighouse            HD6 4HW",Kew Green Holdings Ltd,213000,01/09/2014,
29196003,Shop and Premises,"3 Commercial Street, Brighouse, HD6 1AF",Sean Custance Master Butchers Ltd,8900,01/10/2006,SBR
29196004,Shop and Premises,"4 Commercial Street, Brighouse, HD6 1AQ",T G Webster [Insurance Services] Ltd,9300,14/04/2000,SBR
29196005,Shop and Premises,"5A Commercial Street, Brighouse, HD6 1AF",,11250,07/06/1998,SBR
29196006,Shop and Premises,"6 Commercial Street, Brighouse, HD6 1AQ",Huddersfield Leather Goods Ltd,5500,01/04/1990,SBR
29196007,Shop and Premises,"7 Commercial Street, Brighouse, HD6 1AF",Norths Sk Ltd,14750,11/08/2014,SBR
29196011,Shop and Premises,"11 Commercial Street, Brighouse, HD6 1AF",Just Books [Yorkshire] Ltd,13250,01/07/1997,SBR
29196013,Shop and Premises,"13 Commercial Street, Brighouse, HD6 1AF",,15250,15/04/2016,SBR
29196015,Shop and Premises,"15 Commercial Street, Brighouse, HD6 1AF",Greggs Plc,14000,24/06/2000,SBR
29196017,Shop and Premises,"17 Commercial Street, Brighouse, HD6 1AF",,12250,28/11/2014,SBR
29196021,Shop and Premises,"21 Commercial Street, Brighouse, HD6 1AF",United Co-Op Travel Group,14000,16/02/2013,SBR
29196023,Shop and Premises,"23 Commercial Street, Brighouse, HD6 1AF",Tui Uk Ltd,16250,01/04/1990,SBR
29196025,Dance School And Premises,"First Floor, 25 Commercial Street, Brighouse, HD6 1AF",,7700,08/01/2007,SBR
29196028,Shop and Premises,"28 Commercial Street, Brighouse, HD6 1AQ",Cartridge World [Yorks] Ltd,10000,13/03/2013,SBR
29196029,Shop and Premises,"29 Commercial Street, Brighouse, HD6 1AF",,17250,10/10/1991,MCR
29196030,Shop and Premises,"30 Commercial Street, Brighouse, HD6 1AQ",,8600,01/04/1990,MCR
29196032,Shop and Premises,"32/34 Commercial Street, Brighouse, HD6 1AQ",Sportswift Ltd,18750,18/03/2015,SBR
29196033,Shop and Premises,"33 Commercial Street, Brighouse, HD6 1AF",Grabal Alok (Uk) Ltd,47000,16/01/2011,SBR
29196035,Shop and Premises,"35 Commercial Street, Brighouse, HD6 1AF",Mind (The National Association For Mental Health),18000,30/12/2002,MCR
29196044,Shop and Premises,"44 Commercial Street, Brighouse, HD6 1AQ",,14250,16/09/2016,SBR
29196046,Shop and Premises,"46 Commercial Street, Brighouse, HD6 1AQ",,11750,23/11/1998,SBR
29196049,Shop and Premises,"49 Commercial Street, Brighouse, HD6 1AF",,27000,03/08/2005,SBR
29196051,Shop and Premises,"51 Commercial Street, Brighouse, HD6 1AF",Kash News & Gifts Ltd,11750,09/09/2012,SBR
29196055,Shop and Premises,"55 Commercial Street, Brighouse, HD6 1AF",Specsavers Optical Superstores Ltd,30000,15/01/2016,SBR
29196058,Shop and Premises,"58 Commercial Street, Brighouse, HD6 1AQ",Fine Design Products Ltd,12500,14/04/1994,SBR
29196059,Shop and Premises,"59 Commercial Street, Brighouse, HD6 1AF",Boots Uk Ltd,45000,01/04/1990,SBR
29196060,Shop and Premises,"60 Commercial Street, Brighouse, HD6 1AQ",,11500,30/10/2012,SBR
29196066,Shop and Premises,"66 Commercial Street, Brighouse, HD6 1AQ",The Laptop Store Brighouse Ltd,8500,10/10/2015,SBR
29196067,Shop and Premises,"67 Commercial Street, Brighouse, HD6 1AF",Tosca North East Ltd,15500,14/02/2017,EX
29196068,Shop and Premises,"68 Commercial Street, Brighouse, HD6 1AQ",Cheque Centre Properties Ltd,14750,03/07/2014,SBR
29196070,Amusement Arcade And Premises,"70 Commercial Street, Brighouse, HD6 1AQ",The Novomatic Group,26250,01/04/1990,SBR
29196072,Shop and Premises,"72 Commercial Street, Brighouse, HD6 1AQ",Superdrug Stores Plc,31750,01/04/1990,SBR
29196074,Shop and Premises,"74 Commercial Street, Brighouse, HD6 1AQ",Liric Limited (In Liquidation),15000,18/04/2012,SBR
29196076,Shop and Premises,"76 Commercial Street, Brighouse, HD6 1AQ",Every Bite Right Ltd,16250,10/08/2015,SBR
29196078,Shop and Premises,"78 Commercial Street, Brighouse, HD6 1AQ",W B H Lord & Sons Ltd,16750,01/04/1990,SBR
29196082,Shop and Premises,"82 Commercial Street, Brighouse, HD6 1AQ",,12000,18/05/2001,SBR
29196094,Shop and Premises,"84-94 Commercial Street, Brighouse, HD6 1AQ",Websters (Brighouse) Ltd,67500,01/04/1990,
29196096,Shop and Premises,"Ground Floor, 96 Commercial Street, Brighouse, HD6 1AQ",Sandy & Bielby Ltd,8100,11/08/2014,SBR
29196098,Shop and Premises,"98 Commercial Street, Brighouse, HD6 1AQ",L Rowland & Co (Retail) Ltd,9900,01/04/1990,SBR
29196100,Shop and Premises,"100 Commercial Street, Brighouse, HD6 1AQ",,8700,01/04/2016,SBR
29196102,Office and Premises,"102 Commercial Street, Brighouse, HD6 1AQ",Peter David Properties Brighouse Ltd,9000,01/04/2015,SBR
29196104,Shop and Premises,"104 Commercial Street, Brighouse, HD6 1AQ",,7300,03/10/2008,SBR
29196106,Shop and Premises,"106 Commercial Street, Brighouse, HD6 1AQ",,8500,01/08/2014,SBR
29196108,Shop and Premises,"108 Commercial Street, Brighouse, HD6 1AQ",,8700,01/07/2013,SBR
29196110,Office and Premises,"110 Commercial Street, Brighouse, HD6 1AQ",,7100,13/10/1993,SBR
29196112,Shop and Premises,"112 Commercial Street, Brighouse, HD6 1AQ",,4350,01/08/2012,SBR
29196114,Shop and Premises,"114 Commercial Street, Brighouse, HD6 1AQ",,4550,01/10/2012,SBR
29196700,Car Park,"Adj Bethel Methodist Church, Commercial Street, Brighouse, HD6 1AQ",Calderdale Mbc,6000,01/04/1990,SBR
29196701,Public House and Premises,"George Hotel, 2 Commercial Street, Brighouse, HD6 1AQ",The Craft Union Pub Company Ltd,22000,08/06/2016,ER
29196702,Shop and Premises,"9 Commercial Street, Brighouse, HD6 1AF",,11250,24/06/2015,SBR
29196704,Cafe and Premises,"31 Commercial Street, Brighouse, HD6 1AQ",Merrie England Coffee Shops Ltd,16000,01/04/1990,SBR
29196705,Hairdressing Salon and Premises,"7a Commercial Street, Brighouse, HD6 1AF",E.P.I.C Plc,5100,09/10/2014,ER
29196706,Bank And Premises,"25a Commercial Street, Brighouse, HD6 1AF",Coral Racing Ltd,26500,02/05/2013,SBR
29196707,Shop and Premises,"25b Commercial Street, Brighouse, HD6 1AF",Fawcett Cards & Gifts Ltd,17250,01/04/1990,SBR
29196709,Offices and Premises,"1ST Floor, 72A/74A Commercial Street, Brighouse, HD6 1AQ",,6700,24/06/2011,SBR
29196711,Shop and Premises,"80a Commercial Street, Brighouse, HD6 1AQ",,13000,17/10/2016,ER
29196716,Shop and Premises,"56 Commercial Street, Brighouse, HD6 1AQ",F M N T Trading Ltd,13000,15/08/2008,MCR
29196717,Shop and Premises,"53 Commercial Street, Brighouse, HD6 1AF","R.S.P.C.A. Halifax, Huddersfield",15250,02/02/2015,DCR MCR
29196718,Office and Premises,"116 Commercial Street, Brighouse, HD6 1AQ",,12750,08/03/2004,SBR
29196719,Shop and Premises,"3A Commercial Street, Brighouse, HD6 1AF",,6600,27/09/2004,SBR
29196721,Shop and Premises,"78A/80 Commercial Street, Brighouse, HD6 1AQ",,26250,26/07/2006,SBR
29196725,Bank And Premises,"24/26 Commercial Street, Brighouse, HD6 1AQ",Santander U.K Plc,20750,19/02/2007,SBR
29196726,Gym And Premises,"First Floor, 24/26 Commercial Street, Brighouse, HD6 1AQ",Santander,8300,26/01/2013,ER
29196727,Shop and Premises,"63 Commercial Street, Brighouse, HD6 1AF",Money Penny's Team Ltd,9100,14/11/2011,SBR
29196728,Shop and Premises,"65 Commercial Street, Brighouse, HD6 1AF",Tosca North East Ltd,10000,21/08/2016,ER
29196729,Shop and Premises,"62/64 Commercial Street, Brighouse, HD6 1AQ",Thomas Cook Group,15000,01/04/2011,SBR
29196730,Offices and Premises,"1ST Floor, 96 Commercial Street, Brighouse, HD6 1AQ",G Property,1250,11/08/2014,EX
29196731,Shop and Premises,"19 Commercial Street, Brighouse, HD6 1AF",E P I C Plc,13750,01/12/2016,ER
29196732,Offices and Premises,"1ST & 2ND Floors, 19 Commercial Street, Brighouse, HD6 1AF",E.P.I.C Plc,2850,29/02/2016,EX
29200128,Shop and Premises,"128 Crowtrees Lane, Brighouse, HD6 3NH",,3750,06/12/1990,SBR
29200701,Library And Premises,"Rastrick Library, Crowtrees Lane, Brighouse, HD6 3NE",Calderdale Mbc Leisure Services,12000,01/04/1990,SBR
29200702,Warehouse And Premises,"Sovereign House, Crowtrees Lane, Brighouse, HD6 3NE",Sovereign Lubricants (Yorkshire) Ltd,15000,01/04/1990,SBR
29200704,Public House and Premises,"Greyhound Inn, 132 Crowtrees Lane, Brighouse, HD6 3NH",Mucky Dog Inns Ltd,8400,09/06/2016,SBR
29200710,Shop and Premises,"1/2 Crowtrees Parade, Crowtrees Lane, Brighouse, HD6 3XE",,13750,13/08/2010,SBR
29208700,School and Premises,"Woodhouse J & I School, Daisy Road, Brighouse, HD6 3SX",Woodhouse Primary School,57500,01/04/2001,
29208702,Day Nursery and Premises,"Day Nursery, At Woodhouse Primary School, Daisy Road, Brighouse           HD6 3SX",,3400,26/08/1991,MCR
29208703,Day Nursery and Premises,"24A Daisy Road, Brighouse, HD6 3SX",,16250,01/04/2008,SBR
29212700,Car Park,"Car Park, Daisy Street, Brighouse, HD6 1EL",Regeneration And Development,20250,01/04/1990,SBR
29224700,Library And Premises,"Bailiff Bridge Library, Devon Way, Bailiff Bridge, Brighouse           HD6 4DT",Calderdale Mbc Leisure Services,5500,01/04/1990,SBR
29228700,Cricket Club And Premises,"Dewsbury Road, Brighouse, HD6 3QB",Thornhill Estates,890,17/12/2012,EX
29228702,Warehouse And Premises,"Unit 3 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB",Northern Truss Joists Limited,23000,12/08/2015,SBR
29228706,Workshop And Premises,"Units 1 & 2 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB",Northern Truss Joists Limited,19250,01/02/2014,SBR
29232702,Garage And Premises,"Units E & F, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,7000,01/04/2016,SBR
29232703,Factory and Premises,"Calder Wire Mills, Foundry Street, Brighouse, HD6 1LT",Siddal & Hilton Products Ltd,137000,01/04/2011,
29232704,Factory and Premises,"Foundry Street, Brighouse, HD6 1LT",Root Candles Europe Ltd,20750,01/08/2015,SBR
29232706,Store And Premises,"Unit J, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,2500,01/04/2013,SBR
29232707,Warehouse And Premises,"Units C & D, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,6400,16/05/2016,SBR
29232709,Warehouse And Premises,"Dyehouse Lane, Brighouse, HD6 1LL",,23250,28/07/1992,SBR
29232710,Factory and Premises,"Unit 3, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",Flow Solutions Uk Ltd,21250,11/02/2014,SBR
29232712,Club House And Premises,"Unit O, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,4250,01/05/2010,SBR
29232713,Vehicle Repair Workshop And Premises,"Unit 1, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",P S M Tyres & Services Centres Ltd,12500,17/08/2016,SBR
29232714,Warehouse And Premises,"Unit K, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",G A Valves Sales Ltd,23250,16/12/2008,SBR
29232717,Workshop And Premises,"Unit 4, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,6400,04/11/2014,SBR
29232719,Workshop And Premises,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",Inter Motors Ltd,6600,16/04/2013,SBR
29232723,Workshop And Premises,"Unit 2, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",Smart Display & Exhibitions Ltd,12000,01/12/2015,SBR
29232724,Workshop And Premises,"Unit G, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",,8300,01/06/2010,SBR
29232727,Warehouse And Premises,"Unit 3 Royd Business Park, Dyehouse Lane, Brighouse, HD6 1LB",Pass The Parcel Overnight Ltd,16250,01/04/2008,SBR
29232731,Warehouse And Premises,"Units 1 & 2, Royd Business Park, Dyehouse Lane, Brighouse            HD6 1LL",Pass The Parcel Overnight Ltd,94000,01/04/2010,
29232732,Warehouse And Premises,"Units 5-6, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",Amg Sealing Ltd,23250,01/09/2012,SBR
29236098,Shop and Premises,"98 Elland Road, Brighouse, HD6 2QR",,7700,01/02/2013,SBR
29236703,Concrete Batching Plant And Premises,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",Hope Cement Ltd,17250,07/01/2013,SBR
29236705,Water Ski Club And Premises,"Cromwell Lake, Elland Road, Brighouse, HD6 2RG",,3000,01/04/1990,SBR
29236710,Warehouse And Premises,"Tag Lock Works, Elland Road, Brighouse, HD6 2RG",Brighouse Pallets Ltd,14750,01/04/2007,SBR
29236711,Public House and Premises,"Red Rooster, 123 Elland Road, Brighouse, HD6 2QR",Barge Leisure Company Ltd,18250,07/03/2014,SBR
29236715,Advertising Right and Premises,"Nr 106 Elland Road, Brighouse, HD6 2QR",Primesight Ltd,1550,01/09/2009,SBR
29236727,Workshop And Premises,"Nissen Hut No.1, Brookfoot Mills, Elland Road, Brighouse           HD6 2RW",Avocet Hardware (Uk) Limited,2650,01/02/2014,SBR
29236744,Advertising Right and Premises,"Site No 845, Elland Road, Brighouse, HD6 2QS",Clear Channel (Uk) Ltd,3700,01/06/1993,SBR
29236746,Offices and Premises,"Office  No. T08, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",Coverall Flooring Ltd,2800,01/08/2011,SBR
29236747,Offices and Premises,"Office No. T06, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",Bestmed On Line Ltd,1300,01/10/2013,SBR
29236748,Offices and Premises,"Office No. T07, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",Bestmed On Line Ltd,1850,01/10/2013,SBR
29236750,Warehouse And Premises,"Vine Industrial Estate, Elland Road, Brighouse, HD6 2QS",Bapp Industrial Supplies (Hudds) Ltd,45000,03/01/2006,SBR
29236751,Public House and Premises,"Casa Del Lago, Elland Road, Brighouse, HD6 2AB",Casa Events Limited,50500,13/02/2012,SBR
29236752,Workshop And Premises,"Unit 11, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Halifax Fan Ltd,125000,06/06/2003,
29236753,Offices and Premises,"Unit 4, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Younger Homes [Northern] Ltd,17000,01/07/2011,SBR
29236754,Workshop And Premises,"Unit 2, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Renson Products Uk Ltd (In Administartion 09/09/16),26250,10/09/2016,EX
29236756,Warehouse And Premises,"Unit 10, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Axis Printing Ltd,41000,01/08/2006,SBR
29236759,Warehouse And Premises,"Unit 1, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Nma (Agencies) Ltd,61000,22/12/2015,
29236760,Warehouse And Premises,"Unit 9, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Renson Products Uk Ltd (In Administartion 09/09/16),33750,10/09/2016,EX
29236763,Store And Premises,"7B Brookfoot Business Park, Elland Road, Brighouse, HD6 2SD",Lm Health Care Ltd,5100,30/07/2013,SBR
29236764,Workshop And Premises,"Unit 5, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Renson Products Uk Ltd (In Administartion 09/09/16),9300,10/09/2016,EX
29236765,Warehouse And Premises,"Unit 12, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",S.O Fabrications Ltd,38750,01/01/2006,SBR
29236770,Offices and Premises,"Unit 1, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",Edwards Towbars (Brighouse) Ltd,3100,01/07/2004,SBR
29236776,Workshop And Premises,"Units 2/3, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",,7300,01/02/2016,SBR
29236778,Warehouse And Premises,"Brookfoot Business Centre, Elland Road, Brighouse, HD6 2RW",Morton Meadow Logistics Ltd,108000,04/05/2005,
29236782,Warehouse And Premises,"Unit 2 Springvale Works, Elland Road, Brighouse, HD6 2RN",Wardray Premise Ltd,62500,01/03/2017,
