Body,Body name,Service label,Service divison label,Expenditure category,Detailed expenses type,Detailed expense code,Date paid,Transaction number,Net amount,Capital or revenue,Supplier name 
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,01-Jun-2012,1206-00613,485.07,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00614,488.40,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00615,489.11,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,08-Jun-2012,1206-00616,500.24,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00617,506.88,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00618,507.00,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00619,520.88,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00620,520.96,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00621,520.96,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00622,539.09,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00623,539.09,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00624,554.63,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00625,554.63,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,01-Jun-2012,1206-00626,574.60,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,08-Jun-2012,1206-00627,595.73,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00628,602.36,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,01-Jun-2012,1206-00629,602.36,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00630,602.36,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00631,608.40,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00632,613.46,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00633,613.46,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00634,614.40,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,08-Jun-2012,1206-00635,614.40,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00636,614.40,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00637,614.40,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00638,616.85,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,08-Jun-2012,1206-00639,625.30,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00640,627.89,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00641,633.75,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00642,633.75,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00643,633.75,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,01-Jun-2012,1206-00644,633.75,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00645,644.86,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00646,649.10,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00647,670.32,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,01-Jun-2012,1206-00648,702.26,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,08-Jun-2012,1206-00649,702.26,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00650,1700.00,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Customer And Tenancy,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00651,1716.10,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,29-Jun-2012,1206-00652,450.00,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,08-Jun-2012,1206-00653,450.00,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00654,456.25,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,01-Jun-2012,1206-00655,462.50,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,01-Jun-2012,1206-00656,500.24,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,15-Jun-2012,1206-00657,500.24,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,11-Jun-2012,1206-00658,500.24,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,West - North West ,West - North West,Property And Maintenance,Employees,Temporary Staff-Basic,009,22-Jun-2012,1206-00659,507.00,R,Badenoch & Clark Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,28-Jun-2012,1206-00660,565.25,R,Ball Colegrave Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,22-Jun-2012,1206-00661,6376.16,R,Ball Colegrave Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,13-Jun-2012,1206-00662,8102.25,R,Ball Colegrave Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Materials,205,11-Jun-2012,1206-00663,19436.51,R,Ball Colegrave Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Plant Spares,346,01-Jun-2012,1206-00664,1190.21,R,Balmers Garden Machinery
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Asset Management Services,Capital,Construction,3,28-Jun-2012,1206-00665,4201846.00,C,Bam Construction Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Highways,Capital,Construction,3,29-Jun-2012,1206-00666,2064.00,C,Banner Plant Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Transfer Payments,Personalised Budgets,627,06-Jun-2012,1206-00667,579.00,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Third Party Payments,Services Rendered By Voluntary Sector,505,29-Jun-2012,1206-00668,6250.00,R,Barca Leeds
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Payments To Voluntary Organisations,561,22-Jun-2012,1206-00669,8687.67,R,Barnardo Services Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Adults Under 65 Mental/Dis,Third Party Payments,Payments To Voluntary Organisations,561,22-Jun-2012,1206-00670,17375.33,R,Barnardo Services Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Services Rendered By Voluntary Sector,505,21-Jun-2012,1206-00671,13456.00,R,Barnardo Services Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Services Rendered By Voluntary Sector,505,21-Jun-2012,1206-00672,26912.67,R,Barnardo Services Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Services Rendered By Voluntary Sector,505,28-Jun-2012,1206-00673,44288.00,R,Barnardo Services Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Third Party Payments,Independent Fostering Agencies,509,07-Jun-2012,1206-00674,723.00,R,Barnardos Yorkshire
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Supplies and Services,Non-Recurring Grants,227,20-Jun-2012,1206-00675,3750.00,R,Barnardos Yorkshire
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,18-Jun-2012,1206-00676,1296.00,R,Barnardos Yorkshire
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Income,Admissions  Booking Fees & Ticket Sales,933,28-Jun-2012,1206-00677,-4574.00,R,Barnsley Mbc
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Income,Admissions  Booking Fees & Ticket Sales,933,08-Jun-2012,1206-00678,-4574.00,R,Barnsley Mbc
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Income,Other Income,973,28-Jun-2012,1206-00679,-2083.33,R,Barnsley Mbc
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Statutory Housing,Income,Other Income,973,08-Jun-2012,1206-00680,-2083.33,R,Barnsley Mbc
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Transfer Payments,Personalised Budgets,627,06-Jun-2012,1206-00681,661.88,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Supplies and Services,Non-Recurring Grants,227,01-Jun-2012,1206-00682,6000.00,R,Basement Arts Project
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist,Supplies and Services,Advertising,211,06-Jun-2012,1206-00683,2509.10,R,Bauer Radio Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,15-Jun-2012,1206-00684,1960.50,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,20-Jun-2012,1206-00685,2023.20,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,20-Jun-2012,1206-00686,3362.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,22-Jun-2012,1206-00687,11189.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,14-Jun-2012,1206-00688,11258.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,15-Jun-2012,1206-00689,11342.44,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,13-Jun-2012,1206-00690,11553.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,13-Jun-2012,1206-00691,11638.23,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,01-Jun-2012,1206-00692,11654.67,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,22-Jun-2012,1206-00693,16768.50,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,20-Jun-2012,1206-00694,17181.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,19-Jun-2012,1206-00695,20284.24,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,14-Jun-2012,1206-00696,20545.20,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,20-Jun-2012,1206-00697,20652.55,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,29-Jun-2012,1206-00698,22244.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,19-Jun-2012,1206-00699,24657.60,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,14-Jun-2012,1206-00700,25110.80,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,13-Jun-2012,1206-00701,25306.60,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,29-Jun-2012,1206-00702,39483.10,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,22-Jun-2012,1206-00703,39542.34,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,12-Jun-2012,1206-00704,40519.70,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Fuel (Non LCC Supplies),321,20-Jun-2012,1206-00705,40519.70,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Learning Skills & Universal,Premises,Oil,122,06-Jun-2012,1206-00706,2684.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Premises,Oil,122,15-Jun-2012,1206-00707,669.64,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Premises,Oil,122,29-Jun-2012,1206-00708,808.90,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Premises,Oil,122,07-Jun-2012,1206-00709,1112.16,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Premises,Oil,122,20-Jun-2012,1206-00710,1237.95,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Libraries  Arts & Heritage,Premises,Oil,122,20-Jun-2012,1206-00711,1360.20,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,12-Jun-2012,1206-00712,-2858.52,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,21-Jun-2012,1206-00713,983.25,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,08-Jun-2012,1206-00714,1023.90,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,29-Jun-2012,1206-00715,1269.51,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,29-Jun-2012,1206-00716,1297.40,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,22-Jun-2012,1206-00717,1352.12,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,20-Jun-2012,1206-00718,1361.20,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,29-Jun-2012,1206-00719,1939.45,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,21-Jun-2012,1206-00720,2614.00,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,20-Jun-2012,1206-00721,2858.52,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,29-Jun-2012,1206-00722,2910.15,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,14-Jun-2012,1206-00723,2988.74,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,08-Jun-2012,1206-00724,3241.60,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,26-Jun-2012,1206-00725,3357.09,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,06-Jun-2012,1206-00726,6299.70,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Transport,Fuel (Non LCC Supplies),321,22-Jun-2012,1206-00727,17801.08,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Transport,Fuel (Non LCC Supplies),321,18-Jun-2012,1206-00728,657.40,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Streetscene Environmental Services,Transport,Fuel (Non LCC Supplies),321,22-Jun-2012,1206-00729,2586.80,R,Bayford Oil
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Third Party Payments,Residential,580,06-Jun-2012,1206-00730,7984.00,R,Baylis Place
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,06-Jun-2012,1206-00731,1207.20,R,Beech Lodge Residential Home
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Executive Support,Supplies and Services,Well Being Small Grants Projects,228,11-Jun-2012,1206-00732,1000.00,R,Beeston In Bloom
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,07-Jun-2012,1206-00733,3022.00,R,Bell Group Uk
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Support And Facilities Trading Services,Supplies and Services,Other Hired And Contracted Services,265,08-Jun-2012,1206-00734,1036.00,R,Bell Group Uk
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Payments To Voluntary Organisations,561,29-Jun-2012,1206-00735,26054.75,R,Belle Isle Elderly Winter Aid
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Strategy & Commissioning,Third Party Payments,Supporting Ppl - Block Gross Chargeable,514,15-Jun-2012,1206-00736,1740.31,R,Belle Isle Tenant Management
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Safeguarding Targeted & Specialist  ,Third Party Payments,Pathways / UASC grants,556,28-May-2012,1206-00737,500.00,R,Bells Domestic Appliance
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Transfer Payments,Personalised Budgets,627,06-Jun-2012,1206-00738,506.04,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Transfer Payments,Personalised Budgets,627,06-Jun-2012,1206-00739,773.36,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,29-Jun-2012,1206-00740,561.74,R,Benfield Ford Leeds (Parts Invs)
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,13-Jun-2012,1206-00741,599.41,R,Benfield Ford Leeds (Parts Invs)
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Transport,Vehicle Spares,345,29-Jun-2012,1206-00742,-550.00,R,Benfield Ford Leeds (Parts Invs)
http://statistics.data.gov.uk/doc/local-authority/00DA,East - North East ,East - North East,Construction Services,Transport,Miscellaneous Transport Expenses,324,27-Jun-2012,1206-00743,15599.00,R,Benfield Ford Leeds (Veh Purch)
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People Under 65 P/Dis,Transfer Payments,Personalised Budgets,627,06-Jun-2012,1206-00744,7667.40,R,REDACTED PERSONAL DATA
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential Care Dementia,571,06-Jun-2012,1206-00745,11126.59,R,Berkley Court
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Residential,580,06-Jun-2012,1206-00746,19254.65,R,Berkley Court
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Environment & Neighbourhoods,Belle Isle,Capital,Construction,3,21-Jun-2012,1206-00747,4900.00,C,Bermar Building Company Ltd
