LIABILITY_TYPE,RATEPAYER,Property Address,Billing Address,PROPREF,2010 Rating list value,Rates Payable,LIABILITY_START
C,Dean Clough Foundation,"Office Suite D108, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite D182, Dean Clough, Halifax, HX3 5AX",64788749,1475,694.73,01/04/2007
I,,"Basement, 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA","23 The Avenue, Lightcliffe, Halifax, HX3 8NP",64852703,2075,977.33,01/04/2007
C,W H Greenwood Ltd,"Unit 1, 25 Square Road, Halifax, HX1 1QG","25 Square Road, Halifax, HX1 1QG",68708707,1950,918.45,01/04/2007
I,E G & E R Taylor,"2 Chapel Court, Park Street, Brighouse, HD6 1JH",,29148002,2550,1201.05,01/04/2007
I,,"Hoo Hole Farm Cottage, Cragg Vale, Hebden Bridge, HX7 5HA",,76164703,195,91.85,01/04/2007
I,,"5 Town Hall Buildings, Elland, HX5 9AJ","926 Stockport Road, Manchester, M19 3AB",56236005,2375,1118.63,01/07/2007
I,,"2 Bank Terrace, Luddenden, Halifax, HX2 6PJ","Shawcroft, Luddenden Lane, Luddendenfoot, Halifax, HX2 6PE",64140001,1225,576.98,17/09/2005
C,Dean Clough Ltd,"Crossleys Mill (Grd Flr), Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64788834,7500,3532.5,02/04/2001
C,Heathleigh Ltd,"1st Floor Over Unit 1, Woodman Works, South Lane, Elland              HX5 0HQ","Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",56220722,1300,612.3,24/01/2004
C,Calderdale Mbc Markets Manager,"Cellar Store 1, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288770,149,70.18,17/09/2005
C,Calderdale Mbc Markets Manager,"Cellar Store 2, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288771,149,70.18,17/09/2005
C,Calderdale Mbc Markets Manager,"Cellar Store 3, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288772,300,141.3,17/09/2005
C,Calderdale Mbc Markets Manager,"Balcony Store 5, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288777,167,78.66,17/09/2005
C,Calderdale Mbc Markets Manager,"Cellar Store 4, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288773,149,70.18,17/09/2005
C,Calderdale Mbc Markets Manager,"Balcony Store 2, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288775,193,90.9,18/03/2001
C,Calderdale Mbc Markets Manager,"Balcony Store 10, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288782,750,353.25,17/09/2005
C,Calderdale Mbc Markets Manager,"Balcony Store 18, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288789,1000,471,17/09/2005
C,Calderdale Mbc Markets Manager,"Balcony Store 21, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288792,630,296.73,08/07/2005
C,Calderdale Mbc Markets Manager,"Balcony Store 31, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288803,240,113.04,17/09/2005
C,Calderdale Mbc Markets Manager,"Balcony Store 32, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288804,133,62.64,17/09/2005
C,Westfield Properties,"Unit 10, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ","1st Floor, 4 West Street, Todmorden, OL14 5HY",65164730,1850,871.35,14/04/2000
C,Westfield Properties Ltd,"Unit 28, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ","1st Floor, 4 West Street, Todmorden, OL14 5HY",65164748,1675,788.93,01/12/2003
C,Westfield Properties Ltd,"Units 4 & 5, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ","1st Floor, 4 West Street, Todmorden, OL14 5HY",65164753,1625,765.38,17/09/2005
I,,"41 Mount Pellon, Pellon, Halifax, HX2 0EE","Pinder House, 38/40 Mount Pellon, Pellon, Halifax, HX2 0EE",65876041,2325,1095.08,17/09/2005
I,,"149 Shay Lane, Halifax, HX3 6RR","29 Crossley Hill, Salterhebble, Halifax, HX3 0PL",68536724,8800,4144.8,05/03/2002
I,,"Basement Unit 18, Hebble End Mill, Hebble End, Hebden Bridge       HX7 6HJ","C/O Innovation, Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",76256731,430,202.53,17/09/2005
I,,"Unit 12a Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ","C/O Innovation, Bridge Mill, St George's Square, Hebden Bridge, HX7 8ET",76256733,1000,471,30/04/2002
C,Units To Let [Northern] Ltd,"Unit 30A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77024730,700,329.7,18/09/2005
C,Units To Let [Northern] Ltd,"Unit 7c, Mill House Works, Triangle, Sowerby Bridge      HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77352723,1675,788.93,17/09/2005
C,Industrial Supplies Todmorden Ltd,"Part 1ST Floor, St Aidens Works, Bacup Road, Todmorden           OL14 7PJ","Part 1st Floor, St Aidens Works, Bacup Road, Todmorden, OL14 7PJ",78024734,1725,812.48,01/04/2005
C,Grantham House Properties Ltd,"Unit 5b, Grantham House, Grantham Road, Halifax             HX3 6PL","C/O James Garside & Son Ltd, Grantham Works, Grantham Road, Halifax, HX3 6PL",65192712,1150,541.65,17/09/2005
I,,"Unit 4B, Catherine Street, Elland, HX5 0EZ","Catherine Street, Elland, HX5 0EZ",56032709,3200,1507.2,14/04/2007
C,Ideal Boats Company Ltd,"Woodbottom Mill, Todmorden, OL14 6PG","Harley Mill, Harley Street, Todmorden, OL14 5JE",78224701,10000,4673.52,06/06/2007
C,Dean Clough Ltd,"Unit B M G / A 2, Bowling Mill, Dean Clough Industrial Park, Halifax              HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64784725,2700,1271.7,01/06/2007
C,Units To Let [Northern] Ltd,"Mearclough Road, Sowerby Bridge, HX6 3LF","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77340703,700,329.7,01/04/2007
C,Calderdale Mbc Markets Manager,"Balcony Store 19, Borough Market, Halifax, HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",64288790,680,320.28,01/04/2006
C,Blackshaw Holdings Ltd,"Unit 30 Birkby House, Birkby Lane, Brighouse, HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",29056726,1975,930.23,03/10/2007
I,,"Southedge Works, Brighouse Road, Hipperholme, Halifax              HX3 8EF",,64376727,930,438.03,01/04/2007
I,,"Mill Fold Canteen, Mill Fold, Ripponden, Sowerby Bridge       HX6 4DJ","P O Box 36, Manchester, M60 1TF",77348708,1300,612.3,01/04/2007
C,Tia Greyhound & Lurcher Rescue,"Moorside Farm, Weather Hill Lane, Cragg Vale, Hebden Bridge        HX7 5TY","Moorside Farm, Coppy Nook Lane, Cragg Vale, Hebden Bridge, HX7 5RJ",76659701,8500,4003.5,01/11/2005
I,,"2 Range Lane, Halifax, HX3 6DL","27 Boothtown Road, Boothtown, Halifax, HX3 6EU",68336002,2600,1224.6,06/10/2002
C,Industrial Supplies Todmorden Ltd,"Part Second Floor, St Aidens Works, Bacup Road, Todmorden           OL14 7PJ","Part 1st Floor, St Aidens Works, Bacup Road, Todmorden, OL14 7PJ",78024738,400,188.4,01/04/2004
I,,"Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW","Dancroft Mill, Gauxholme Fold, Todmorden, OL14 7PW",78176700,1600,753.6,17/09/2005
C,P & M Services Ltd,"Stoneswood Mill, Bacup Road, Todmorden, OL14 7HG","New House, Colden, Hebden Bridge, HX7 7HD",78024701,10500,4945.5,01/04/1990
C,E.P.I.C Plc,"Above, 353-359 Skircoat Green Road, Halifax, HX3 0RP","Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",68596700,1800,847.8,01/04/2007
C,Calderdale Mbc,"9 The Colonade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Westgate House, Westgate, Halifax, HX1 1PS",68252767,2550,1201.05,02/06/2007
I,,"Part Albion Iron Works, Beacon Hill Road, Halifax, HX3 6AF","Hallas Grange, Hallas Bridge, Cullingworth, BD13 5BT",64184703,2950,1389.45,01/04/2007
C,S B Homes Ltd,"Room 2 First Floor, Barclays Bank Chambers, 21 Town Hall Street, Sowerby Bridge      HX6 2EA","4 Brougham Road, Marsden, Huddersfield, HD7 6BN",77600711,1275,600.53,16/12/2006
C,S B Homes Ltd,"Rooms 9 & 10 2nd Floor, Barclays Bank Chambers, 21 Town Hall Street, Sowerby Bridge      HX6 2EA","4 Brougham Road, Marsden, Huddersfield, HD7 6BN",77600712,980,461.58,16/12/2006
I,,"Unit U1, Pear Street, Halifax, HX1 3UA","49 Pear Street, Halifax, HX1 3UA",68232706,2200,1036.2,01/04/2007
I,,"Part 1st Floor, Fenton Road, Halifax, HX1 3SQ","18 Holdsworth Road, Holmfield, Halifax, HX2 9TH",65072709,2650,1248.15,01/04/2007
C,Johnson Cleaners Uk Ltd,"10 Commercial Street, Halifax, HX1 1TA","C/O Bellrock F M Ltd, Enterprise House, Sunningdale Road, Leicester, LE3 1UR",64660010,6800,3202.8,01/04/2007
I,,"179 King Cross Road, Halifax, HX1 3LN","C/O 5 Marlborough Square, Benrhydding, Ilkley, LS29 8PU",65516179,1950,918.45,31/10/2004
C,Dean Clough Ltd,"Office Suite D110, Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64784855,2350,1106.85,26/08/2006
C,Units To Let [Northern] Ltd,"Unit 16, Mill House Works, Mill House Lane, Triangle            HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77352707,1775,836.03,17/09/2005
C,J Speak & Co Ltd,"Unit 5, North Dean Mills, Stainland Road, Greetland           HX4 8LS","North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",68772726,1425,671.18,17/09/2005
C,J Speak & Co Ltd,"Unit 6, North Dean Mills, Stainland Road, Greetland           HX4 8LS","North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",68772727,5200,2449.2,01/04/2001
C,Units To Let [Northern] Ltd,"Mill House Works, Mill House Lane, Triangle, HX6 3LN","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77352735,530,249.63,02/04/2000
C,J Speak & Co Ltd,"Adj Unit 3, North Dean Mills, Greetland, Halifax             HX4 8LS","North Dean Mills, Stainland Road, Greetland, Halifax, HX4 8LS",68772713,850,400.35,01/04/1990
C,Binns & Sons (Greetland) Ltd,"Brian Royd Mills, Brian Royd Lane, Greetland, Halifax              HX4 8NF","Brian Royd Mills, Saddleworth Road, Greetland, Halifax, HX4 8NF",68444731,455,214.31,17/09/2005
C,Binns & Sons (Greetland) Ltd,"4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF","Brian Royd Mills, Saddleworth Road, Greetland, Halifax, HX4 8NF",68444733,1525,718.28,17/09/2005
C,Binns & Sons (Greetland) Ltd,"Pt 4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF","Brian Royd Mills, Saddleworth Road, Greetland, Halifax, HX4 8NF",68444742,2075,977.33,17/09/2005
C,E.T.E Fordsall House Ltd,"Unit 7, Fordsall House, Huddersfield Road, Elland              HX5 9DW",,56132752,2250,1059.75,01/05/2003
I,,"3 Battinson Road, Halifax, HX1 5PR","28 Broadway, Barnsley, S70 6QL",64176003,2150,1012.65,29/07/2006
I,,"Gordon Street, Boothtown, Halifax, HX3 6NU",,65188700,1575,741.83,17/09/2005
I,Elim Foursquare Gospel Alliance,"44 Illingworth Road, Illingworth, Halifax, HX2 9EN","Hall Street, Halifax, HX1 5AY",65424044,2600,1224.6,25/07/2007
C,Himmat Ltd,"Raglan Street, Halifax, HX1 5QZ","34/36 Hanson Lane, Halifax, HX1 5NX",68316708,6900,3249.9,01/10/2006
C,Pennine Housing 2000 Ltd,"33 Stanningley Road, Mixenden, Halifax, HX2 8RJ","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",68804033,1100,518.1,06/08/2007
C,Foodmac International Ltd,"Pt Stoodley Bridge Mill, Stoodley Lane, Todmorden, OL14 6HA","The Sycamores, 3 Henshaw Woods, Todmorden, OL14 6RA",78468701,5700,2684.7,01/04/2007
C,,"19b School Lane, Todmorden, OL14 5AP","19 The Paddock, Rufford, Lancs, L40 1UL",78412702,2225,1047.98,01/04/2007
I,,"Watson Mill Lane, Sowerby Bridge, HX6 3BW","164 Halifax Road, Ripponden, Sowerby Bridge, HX6 4AH",77644716,710,334.41,17/09/2005
I,,"2 Boston Street, Sowerby Bridge, HX6 1DP",,77080002,1875,883.13,17/09/2005
C,Dean Clough Ltd,"Office Suite D175, Dean Clough, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64788805,10750,5063.25,28/11/2007
I,,"62 Haugh Shaw Road, Halifax, HX1 3LE","56 Summergate Place, Halifax, HX1 3QL",65284062,2500,1177.5,22/04/2006
I,,"Carlton Works, Rear Of 24 Savile Park Road, Halifax, HX1 2EN","24 Savile Park Road, Halifax, HX1 2EN",68472700,810,381.51,01/04/2005
C,Lowgate Properties Ltd,"9 Commercial Street, Brighouse, HD6 1AF","C/O Dacre Son & Hartley, 9 York Place, Leeds, West Yorkshire, LS1 2DS",29196009,6300,2967.3,19/09/2006
I,,"Ground Floor, Unit 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA","23 The Avenue, Lightcliffe, Halifax, HX3 8NP",64852702,2150,1012.65,17/09/2005
I,,"First And Second Floors, Unit 1b Dunkirk Mills, Dunkirk Lane, Halifax             HX1 3TA","23 The Avenue, Lightcliffe, Halifax, HX3 8NP",64852706,2175,1024.43,17/09/2005
I,,"Unit 1A 2ND Floor, Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA","23 The Avenue, Lightcliffe, Halifax, HX3 8NP",64852700,1850,871.35,17/09/2005
C,Brighouse Roofing Ltd,"28 Churchfields Road, Brighouse, HD6 1DH","44 Wherwell Road, Brighouse, HD6 3TZ",29164028,2450,1153.95,01/04/2007
I,,"21 Hanson Lane, Halifax, HX1 5NX",,65264021,1525,718.28,17/09/2005
C,Brook Pharmacy Ltd,"1ST & 2ND Floors, 236 Queens Road, Halifax, HX1 4NE","C/O Suite L The Courtyard, Earl Rd , Stanley Green, Cheadle Hulme, Cheshire, SK8 6GN",68308727,1575,741.83,01/04/2007
C,S B Homes Ltd,"Room 1 First Floor, Barclays Bank Chambers, 21 Town Hall Street, Sowerby Bridge      HX6 2DY","4 Brougham Road, Marsden, Huddersfield, HD7 6BN",77600713,1525,718.28,16/12/2006
C,S B Homes Ltd,"Barclays Bank Chambers, 21 Town Hall Street, Sowerby Bridge, HX6 2DX","4 Brougham Road, Marsden, Huddersfield, HD7 6BN",77600715,1125,529.88,16/12/2006
C,Pennine Housing 2000 Ltd,"124 Oak Avenue, Todmorden, OL14 5PD","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",78340124,2025,953.78,20/09/2005
C,Pennine Housing 2000 Ltd,"118 Oak Avenue, Todmorden, OL14 5PD","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",78340118,1925,906.68,20/09/2005
C,Homeguard Properties Ltd,"2nd Floor, Arundel Street, Halifax, HX1 4LE","Black Dyke Mills, Brighouse Road, Queensbury, Bradford, BD13 1QA",64084707,1025,482.78,01/04/2007
I,,"Pear Street, Halifax, HX1 3UA","49 Pear Street, Halifax, HX1 3UA",68232701,1150,541.65,17/09/2005
C,Homeguard Properties Ltd,"Arundel Street, Halifax, HX1 4LE","Black Dyke Mills, Brighouse Road, Queensbury, Bradford, BD13 1QA",64084704,2450,1153.95,01/04/2007
I,,"Unit U3, Pear Street, Halifax, HX1 3UA","49 Pear Street, Halifax, HX1 3UA",68232708,1950,918.45,01/04/2003
I,,"Unit B1, 49 Pear Street, Halifax, HX1 3UA","49 Pear Street, Halifax, HX1 3UA",68232710,2200,1036.2,17/09/2005
C,Roch Valley Homes Ltd,"Rear Hollins Mill, Rochdale Road, Todmorden, OL14 6SJ","2nd Floor, Hollins Mill, Walsden, Todmorden, OL14 6SA",78400702,4800,2260.8,20/09/2005
I,,"Quality Works, Rochdale Road, Todmorden, OL14 7NA","5 Wood Cottages, Todmorden, OL14 6PS",78400786,610,287.31,20/09/2005
I,,"Part 1ST Floor, Thornton Works, Fenton Road, Halifax             HX1 3PP","18 Holdsworth Road, Holmfield, Halifax, HX2 9TH",65072710,3200,1507.2,01/04/2007
I,,"Arden Works, Fenton Road, Halifax, HX1 3PP","7A Battison Road, Halifax, HX1 5PR",65072700,7900,3720.9,17/09/2005
I,,"43 Hanson Lane, Halifax, HX1 5NX","23 Gladstone Road, Halifax, HX1 5LJ",65264720,1275,600.53,17/09/2005
C,Units To Let [Northern] Ltd,"Unit 2 (1st Floor), Mearclough Works, Mearclough Road, Sowerby Bridge      HX6 3LF","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",77340710,630,273.18,29/06/2007
C,Overgate Hospice,"Room 4, 47 Bethel Street, Brighouse, HD6 1JR","30 Hullen Edge Road, Elland, HX5 0QY",29048732,930,438.03,25/06/2007
C,Halifax Property Services Ltd,"West Parade Ind Est, West Parade, Halifax, HX1 2TE","Fagley Lane, Eccleshill, Bradford, BD2 3NT",69360709,2075,977.33,01/01/2008
I,,"1st Floor, 6 King Cross Street, Halifax, HX1 2SH","5 Craven Edge, Hopwood Lane, Halifax, HX1 5EG",65520721,5500,2590.5,01/06/2007
I,,"8 King Cross Street, Halifax, HX1 2SH","5 Craven Edge, Hopwood Lane, Halifax, HX1 5EG",65520709,6800,3202.8,01/06/2007
C,The National Trust,"Gibson Mill, Hardcastle Crags, Hebden Bridge, HX7 7AW","Transaction Processing Unit, Epsom Court, Epsom Road,, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XF",76248701,5600,2637.6,01/09/2005
C,Dean Clough Ltd,"Office Suite E 145, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64784842,1625,765.38,23/08/2007
C,Pennine Housing 2000 Ltd,"37/39 Stanningley Road, Mixenden, Halifax, HX2 8RJ","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",68804701,2225,1047.98,01/04/2005
C,Global Commercial Investments Ltd,"Units C & D, Craven Edge Enterprise Cntr, Hopwood Lane, Halifax             HX1 5EH","Unit 4, Fast Food Business Centre, Pride Buildings, Hall Lane, Bradford, BD4 7AB",65652716,9200,4333.2,01/01/2007
I,,"Room 5 & 7, At 47 Bethel Street, Brighouse, HD6 1JR","Unit 3a St Georges Court, Kirkham, Lancs, PR4 2EF",29048730,2475,1165.73,01/09/2007
I,,"Buckland Place, Gibraltar Road, Halifax, HX1 4HJ","29 Gibraltar Road, Halifax, HX1 4EG",65168705,2200,1036.2,02/01/2007
C,Shah Walayat Foundation,"Heathroyde, Francis Street, Halifax, HX1 5JY","Heathroyde House, 16-18 Francis Street, Halifax, HX1 5JN",65104710,4200,1978.2,01/04/2005
I,Halifax Sailing Club,"Fly Flats Reservoir, Warley Moor, Halifax, HX2 7TR","(Hon.Treas), 13 Clumber Drive, Gomersal, Cleckheaton, BD19 4RP",69272700,6700,3155.7,01/04/1990
C,Kirklees Youth Training,"Unit 7, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA","Carlton Mill, Hirst Road, Dewsbury, WF13 2AD",64352733,2800,1318.8,13/03/2006
I,Pickles Printing Co Ltd,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN","24 Savile Park Road, Halifax, HX1 2EN",68472715,1675,788.93,17/09/2005
I,Pickles Printing Co Ltd,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN","24 Savile Park Road, Halifax, HX1 2EN",68472712,1425,671.18,01/04/2000
I,Pickles Printing Co Ltd,"Carlton Works, The Boulevard, Savile Park Road, Halifax             HX1 2EN","24 Savile Park Road, Halifax, HX1 2EN",68472703,1800,847.8,17/09/2005
I,Pickles Printing Co Ltd,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN","24 Savile Park Road, Halifax, HX1 2EN",68472709,2175,1024.43,01/04/2003
I,Pickles Printing Co Ltd,"Carlton Works, The Boulevard, R/O 24 Savile Park Road, Halifax             HX1 2EN","24 Savile Park Road, Halifax, HX1 2EN",68472711,3000,1413,17/09/2005
I,,"Woodgate, 164 King Cross Road, Halifax, HX1 3LN","C/O 2a Mayfield Avenue, Halifax, HX1 3XE",65516712,2150,1012.65,01/04/2006
I,,"1 Whitehall Street, Hipperholme, Halifax, HX3 8NB","16 Waverley Terrace, Hipperholme, Halifax, HX3 8DX",69436001,2500,1177.5,05/05/2006
I,,"R/O 18 Corporation Street, Sowerby Bridge, HX6 2QQ","40 Stone Lea, Barkisland, Halifax, HX4 0HD",77160702,270,127.17,01/04/2007
C,Finestreet Ltd,"21e Halifax Road, Todmorden, OL14 5AG","21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",78192776,1375,647.63,01/04/2008
C,Brittania Developments Ltd,"Old Lane Dyeworks, Old Lane, Halifax, HX3 6TQ","Lawns House, Lawns Lane, Farnley, Leeds, LS12 5ET",68132721,10500,4945.5,03/03/2008
I,,"Basement, Waterloo House Two, West Parade, Halifax             HX1 2TE","Waterloo House Day Nursery, 3 West Parade, Halifax, HX1 2TE",69360719,2950,1389.45,01/04/2005
C,Halifax Opportunities Trust,"Community Enterprise Centre, Hanson Lane, Halifax, HX1 5PG","The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",65264728,7100,3344.1,19/04/2005
C,Calderdale Mbc,"39 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Westgate House, Westgate, Halifax, HX1 1PS",68252751,2600,1224.6,01/10/2006
C,Hutchison 3G Uk Limited,"Spectrasite Transco, Mill Lane, Brighouse, HD6 1PA","C/O Gva, C/O Business Rates (Tm), Po Box 16097, 3 Brindley Place, Birmingham, B2 2UY",29420719,6900,3249.9,27/06/2003
C,Burwell Ltd,"Unit 6B Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ","Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",65164851,8100,3815.1,15/09/2007
I,,"17A King Cross Street, Halifax, HX1 2SH","347a Skircoat Green, Skircoat Green, Halifax, HX3 0LX",65520726,4050,1907.55,01/10/2007
C,City Centre Restaurants (Uk) Ltd,"Above Waterhouse Street, Halifax, HX1 1UG","C/O Suite 24, 30 Churchill Square, West Malling, Kent, ME19 4YU",69304704,1325,624.08,01/04/2007
C,Dr. Kuldip S Hunjan & Associates,"First Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL","3 Westgate, Halifax, HX1 1DJ",68652703,1900,894.9,07/04/2007
C,Pennine Housing 2000,"Unit 3, Range Court, Halifax, HX3 6DJ","Bull Green House, Bull Green, Halifax, HX1 2EB",68332701,7000,3297,01/02/2008
I,,"1 Oak Terrace, Stainland, Halifax, HX4 9EY","235 Stainland Road, Holywell Green, Halifax, HX4 9AJ",68112001,1775,836.03,02/08/2001
C,Mark Mercer Electronics Ltd (In Liquidation),"Victoria Road, Sowerby Bridge, HX6 3AQ","Victoria Road, Sowerby Bridge, HX6 3AQ",77624708,19750,5416.5,01/03/2008
C,Due West Ltd,"Offices (1st Floor ), 26 Horton Street, Halifax, HX1 1QE","C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",65388704,3900,1836.9,16/11/2007
C,Asda Stores Ltd,"69a Huddersfield Road, Elland, HX5 9AA","G L Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",56132764,3150,1483.65,01/04/2008
I,,"Unit 5, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD","Tresillian, Stubbing Drive, Hebden Bridge, HX7 6LR",76088876,1825,859.58,14/01/2008
C,Denroyd Ltd,"Offices 6 & 7, Premier House, Holmes Road, Sowerby Bridge       HX6 3LD","Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",77284736,1125,529.88,01/07/2006
C,Denroyd Ltd,"Office 1G, Premier House, Holmes Road, Sowerby Bridge       HX6 3LD","Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD",77284735,530,249.63,01/07/2006
I,,"Unit 6, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD","Tresillian, Stubbing Drive, Hebden Bridge, HX7 6LR",76088872,2000,942,14/01/2008
I,,"Units 1&3 (3rd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX","38 Parkinson Lane, Halifax, HX1 3XL",65164764,7300,3438.3,01/11/2007
C,Pennine Housing 2000 Ltd,"122 Oak Avenue, Todmorden, OL14 5PD","Finance Section, Bull Green House, Bull Green, Halifax, HX1 2EB",78340122,2325,1095.08,29/07/2003
C,Calderdale Mbc,"33 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Westgate House, Westgate, Halifax, HX1 1PS",68252744,2500,1177.5,15/06/2006
I,,"282B Gibbet Street, Halifax, HX1 4LT","264 Gibbet Street, Halifax, HX1 4LT",65164794,1400,659.4,26/09/2006
I,,"1 Raven Street, Halifax, HX1 4NB","27 Gladstone Road, Halifax, HX1 5LJ",68340705,1475,694.73,01/04/2005
C,The National Trust,"Hollin Hall Office, Hollin Hall Farm, Wadsworth, Hebden Bridge        HX7 7AP","Transaction Processing Unit, Epsom Court, Epsom Road,, White Horse Business Park, Trowbridge, Wiltshire, BA14 0XF",76270702,7900,3720.9,29/01/2006
I,,"111 Haley Hill, Halifax, HX3 6EE",,65224111,1725,812.48,17/09/2005
C,Dean Clough Ltd,"29 Cross Hills, Halifax, HX1 1XQ","Op 14 -20, Dean Clough Office Park, Halifax, HX3 5AY",64716029,2050,965.55,17/09/2005
C,Butterworth Properties Ltd,"Second Floor, Old Town Mill, Wadsworth, Hebden Bridge       HX7 8SP","The Paddock, Old Town Mill, Wadsworth, Hebden Bridge, HX7 8SW",76420704,960,452.16,01/10/2004
I,,"Whitegate Fisheries, Whitegate Road, Siddal, Halifax             HX3 9AD","The China Rose, The Old Vicarage, 735 Manchester Road, Milnsbridge, Huddersfield, HD4 5SL",69432700,1950,918.45,24/06/2003
I,,"R/O 18 Corporation Street, Sowerby Bridge, HX6 2QQ","40 Stone Lea, Barkisland, Halifax, HX4 0HD",77160701,680,320.28,01/04/2007
C,S B Homes Ltd,"Room 3 4 & 5 First Floor, Barclays Bank Chambers, 21 Town Hall Street, Sowerby Bridge      HX6 2DY","4 Brougham Road, Marsden, Huddersfield, HD7 6BN",77600716,2300,1083.3,01/04/2007
C,Calderdale Mbc Community Services,"Boothtown Road, Halifax, HX3 6ET","Westgate House, Westgate, Halifax, HX1 1PD",64284700,990,466.29,01/04/2007
C,Dean Clough Ltd,"Office Suite D205, Dean Clough Mills, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",64788830,1650,777.15,01/04/2008
C,,"Second Floor Offices, Warwick Chambers, 37 Southgate, Halifax              HX1 1DL","3 Westgate, Halifax, HX1 1DJ",68652704,2950,1389.45,15/04/2008
C,Burrwood Garage Ltd,"Miall Street Mills, Miall Street, Halifax, HX1 4AE","Pellon Lane, Halifax, HX1 4AA",65788701,1950,918.45,01/04/2007
