Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,CONTRACT TYPE,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332E,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,,,,ALI SYSTEMS LIMITED,3566155,,66037,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332G,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,3935,,,AMR ELECTRICAL SERVICES LIMITED,4922158,,924777,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332H,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,43195,,,ANACO AIR CONDITIONING LIMITED,4117360,,100756,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332I,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,,,,REDACTED - PERSONAL DATA,,,143560,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332J,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,1684,,,ANGLIA AIR CONDITIONING LIMITED,452160,,80619,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332L,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,1600,,,ANGLIAN DEMOLITION & ASBESTOS LIMITED,5405140,,141065,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332M,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/06/2013,31/01/2019,,31/01/2019,5887,,,ANGLIAN ENVIRONMENTAL SOLUTIONS LIMITED,7003827,,1147760,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332N,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,,,,ANGLIAN INSULATIONS LIMITED,3726880,,125979,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332O,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/02/2015,31/01/2019,,31/01/2019,,,,ARAN SERVICES LTD,,,1529810,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332P,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,04/03/2015,31/01/2019,,31/01/2019,138247,,,BASE BUILDING SOLUTIONS LIMITED,8609705,,1254791,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332Q,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,04/03/2015,31/01/2019,,31/01/2019,,,,BELL DECORATING GROUP LIMITED,SC114142,,1529812,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332R,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,04/03/2015,31/01/2019,,31/01/2019,3651,,,REDACTED - PERSONAL DATA,,,81005,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332S,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,04/03/2015,31/01/2019,,31/01/2019,20149,,,BLOOM CONSTRUCTION LTD,4774984,,176697,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332U,,Building Maintenance only - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance only - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,26/04/2017,31/01/2019,,31/01/2019,769,,,BREEDON SOUTHERN LTD,,,2306348,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332V,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,04/03/2015,31/01/2019,,31/01/2019,14952,,,BRITTON PAINTING CONTRACTORS,,,81159,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON45332Z,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,04/03/2015,31/01/2019,,31/01/2019,1645,,,C SMITH & SON PLUMBING & HEATING,,,1529817,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON49997,,Restoration Services to Water Damaged Properties - NCCT41177,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Restoration Services to Water Damaged Properties - NCCT41177,FM-BUILDING MAINTENANCE,,,,,08/11/2016,31/01/2019,,31/01/2019,,,,THE REVIVAL COMPANY (UK) LTD,,,2180106,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AON54332BA,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/04/2015,31/01/2019,,31/01/2019,677,,,G & G FENCING LIMITED,4104238,,69119,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GAN42553,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,OTHER,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,12/02/2014,31/01/2019,,31/01/2019,205439,,,T. M. BROWNE LIMITED,4443068,,75202,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GPN40423,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/10/2012,31/01/2019,,31/01/2019,335451,,,THE ALARM COMPANY (NORWICH) LIMITED,2739209,,66000,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,WDN43080B,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,OTHER,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,01/04/2012,31/01/2019,,31/01/2019,119192,,,TP FIRE & SECURITY LTD,2476883,,172967,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,WON42057F,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Building Maintenance & Works Framework - Terms of NCCT40610 apply,FM-BUILDING MAINTENANCE,,,,,13/09/2011,31/01/2019,,31/01/2019,2621221,,,T.GILL & SON(NORWICH)LIMITED,513973,,75157,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50195,,Hosting and support for the BACS submissions service,SINGLE AWARD CONTRACT,,,,Hosting and support for the BACS submissions service,ICT-SOFTWARE & SAAS,,,,,13/01/2017,31/01/2019,,31/01/2019,55413,,,BOTTOMLINE TECHNOLOGIES LIMITED,8098450,,788804,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BMN51864,,Adults - Enhanced Home Support Service,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - Enhanced Home Support Service,DOMICILIARY CARE,SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,,,,05/02/2018,04/02/2019,,04/02/2023,351123,,,Nestor Primecare Services Ltd t/a Allied Healthcare,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BMN51864A,,Adults - Enhanced Home Support Service,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - Enhanced Home Support Service,DOMICILIARY CARE,SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,,,,05/02/2018,04/02/2019,,04/02/2023,310439,,,CAREWATCH CARE SERVICES LIMITED,,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BMN51864B,,Adults - Enhanced Home Support Service,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - Enhanced Home Support Service,DOMICILIARY CARE,SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,,,,05/02/2018,04/02/2019,,04/02/2023,168287,,,"Carers Trust Cambridgeshire, Peterborough, Norfolk",,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GFN40115,,Fire- Ground handheld radios,SINGLE AWARD CONTRACT,COMMUNITIES,,,Fire- Ground handheld radios,"ICT-NETWORKS, TELEPHONY & RADIOCOMMS",,,,,09/02/2015,08/02/2019,,08/02/2019,4860,,,RADIOCOMS SYSTEMS LIMITED,4544886,,117360,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50661,,Contribute towards the funding of a Principal Communications Officer for Norfolk Waste Partnership,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Contribute towards the funding of a Principal Communications Officer for Norfolk Waste Partnership,,,,,,09/02/2017,09/02/2019,,09/02/2019,40000,,,BROADLAND DISTRICT COUNCIL,,,81165,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AQN42607B,,Transport of Fine Art,SINGLE AWARD CONTRACT,COMMUNITIES,,,Transport of Fine Art,MUSEUMS-OBJECT HANDLING/ART TRANSPORT,,,,,26/02/2014,25/02/2019,,25/02/2019,,,,CROWN FINE ART,,,1133759,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON44931,,Public Health - integrated sexual health service,SINGLE AWARD CONTRACT,COMMUNITIES,,,Public Health - integrated sexual health service,PUBLIC HEALTH,850000009,Health and social work services,Healthcare - Public Health,151510,01/03/2015,28/02/2020,,28/02/2024,59910957,,,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,,,1138778,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BON48868,,Adults - housing with care at The Old Maltings and Saxon House,SINGLE AWARD CONTRACT,ADULT SOCIAL CARE,,,Adults - housing with care at The Old Maltings and Saxon House,ADULT CARE-HOUSING WITH CARE,SOCIAL WORK SERVICES WITHOUT ACCOMMODATION,853120009,Social Community Care Supplies & Services - Adult / Independent Supported Living / Extra Care,321810,29/02/2016,28/02/2019,,28/02/2023,2884639,,,HALES GROUP LIMITED,3756814,,145876,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,ACN40415,,Advertising services,SINGLE AWARD CONTRACT,,,,Advertising services,ADVERTISING,,,,,01/03/2011,01/03/2019,,01/03/2019,1879625,,,HAVAS PEOPLE LIMITED,2793794,,1020859,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON40013,,Leasing of vehicles and equipment,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Leasing of vehicles and equipment,VEHICLE & PLANT LEASING/RENTAL,,,,,13/02/2012,28/03/2019,,28/03/2019,68936,,,VIRTUAL LEASE SERVICES LIMITED,gb/03864839,,506469,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AFN48678,,Total Building Supplies Solution,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Total Building Supplies Solution,HIGHWAYS-SUPPLIES & EQUIPMENT,,,,,17/03/2015,31/03/2019,,31/03/2019,261954,,,WOLSELEY UK LIMITED,636445,,76320,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AGN51016,,Cycle Loan Maintenance Scheme,GRANT AGREEMENT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Cycle Loan Maintenance Scheme,,,,,,01/08/2017,31/03/2019,,31/03/2019,19521,,,BICYCLE LINKS CIC,,,831778,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN44820,,Advertising,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Advertising,ADVERTISING,,,,,01/11/2014,31/03/2019,,31/03/2019,10911,,,YOUR LOCAL PAPER,,,1132779,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN49228,,Subscription,SINGLE AWARD CONTRACT,CHILDREN'S SERVICES,,,Subscription,SUBSCRIPTIONS,,,,,,31/03/2019,,31/03/2019,101497,,,FOSTERING NETWORK,,,82864,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN49393,,Provider of unique data acquired through their portal,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Provider of unique data acquired through their portal,,,,,,01/04/2016,31/03/2019,,31/03/2019,7493,,,NORFOLK FREEGLE,,,496480,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN49616,,Child Sexual Exploitation Analyst Post - PH/Police,SINGLE AWARD CONTRACT,COMMUNITIES,,,Child Sexual Exploitation Analyst Post - PH/Police,,,,,,28/06/2016,31/03/2019,,31/03/2019,48153,,,NORFOLK POLICE AUTHORITY,,,85302,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50445,,Video and animation work for education and youth engagement at museums,SINGLE AWARD CONTRACT,COMMUNITIES,,,Video and animation work for education and youth engagement at museums,,,,,,27/02/2017,31/03/2019,,31/03/2019,,,,REDACTED - PERSONAL DATA,,,120906,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50467,,2 x Celestix appliances and  implementation consultancy services,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,2 x Celestix appliances and  implementation consultancy services,,,,,,21/03/2017,31/03/2019,,31/03/2019,57335,,,RISUAL LTD,,,2260324,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50839,,CCTV Maintenance,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,CCTV Maintenance,,,,,,01/04/2017,31/03/2019,,31/03/2019,60777,,,TYCO FIRE & INTEGRATED SOLUTIONS (UK) LIMITED,1952517,,1820759,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50845,,Telephone Lines for all stations and Control,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Telephone Lines for all stations and Control,"ICT, NETWORK PRINTING AND PHOTOCOPYING",,,,,01/04/2017,31/03/2019,,31/03/2019,87158,,,DAISY COMMUNICATIONS LTD.,4145329,,213835,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50914,,To provide installation and decommissioning of radio communications systems for emergency services vehicles,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,To provide installation and decommissioning of radio communications systems for emergency services vehicles,VEHICLE & PLANT PARTS MECH REPAIR & MTCE,,,,,01/04/2017,31/03/2019,,31/03/2019,,,,G M - C VEHICLE COMMUNICATIONS LIMITED,3554727,,69364,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN50737,,PharmOutcomes Multiple Service Licence for Public Health services,SINGLE AWARD CONTRACT,COMMUNITIES,,,PharmOutcomes Multiple Service Licence for Public Health services,ICT-SOFTWARE & SAAS,,,,,01/04/2017,31/03/2019,,31/03/2019,3271,,,PINNACLE HEALTH PARTNERSHIP LLP,OC347501,,1649794,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,APN51162,,Training and DVSA testing for LGV Licence Categories C and C+E,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Training and DVSA testing for LGV Licence Categories C and C+E,HR-TRAINING,,,,,18/08/2017,31/03/2019,,31/03/2019,17464,,,EAST COAST DRIVER TRAINING,,,1011787,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AQN45436,,"Servicing of plant at Norfolk Partnership Laboratory (including all parts, labour and mileage)",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Servicing of plant at Norfolk Partnership Laboratory (including all parts, labour and mileage)",VEHICLE & PLANT PARTS MECH REPAIR & MTCE,,,,,19/02/2015,31/03/2019,,31/03/2019,64624,,,ALAN BACON ENGINEERING,,,1616760,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AUN49049,,Purchase of parking permits for support workers visiting service users,SINGLE AWARD CONTRACT,COMMUNITIES,,,Purchase of parking permits for support workers visiting service users,STAFF TRAVEL,,,,,22/04/2016,31/03/2019,,31/03/2019,16880,,,NORWICH CITY COUNCIL,,,79988,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AXN44709,,Repair and servicing of assistive technologies,OTHER,ADULT SOCIAL CARE,,,Repair and servicing of assistive technologies,"ASSISTIVE TECHNOLOGY, ADAPTATIONS & TELECARE",,,,,28/11/2014,31/03/2019,,31/03/2019,9634,,,MANGAR INTERNATIONAL LIMITED,1623146,,84816,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AXN44917,,Facilities management fees for Heartsease Academy,OTHER,CHILDREN'S SERVICES,,,Facilities management fees for Heartsease Academy,FM-BUILDING MAINTENANCE,,,,,09/01/2015,31/03/2019,,31/03/2019,,,,KIER FACILITIES SERVICES LIMITED,2624887,,178777,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AYN44013,,"Rent payments for Tuckswood library, Norwich",OTHER,COMMUNITIES,,,"Rent payments for Tuckswood library, Norwich",FM-RENT & RATES,,,,,27/08/2014,31/03/2019,,31/03/2019,43648,,,NHS PROPERTY SERVICES LTD,,,1212773,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,AYN44742,,Service charge for Lawrence House,OTHER,POLICY AND RESOURCES,,,Service charge for Lawrence House,FM-RENT & RATES,,,,,04/12/2014,31/03/2019,,31/03/2019,,,,BIDWELLS S/ORDER,,,1020806,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,BSN40388,,Finance for LED Retrofit project,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Finance for LED Retrofit project,FINANCE-LEASE PAYMENTS,,,,,01/04/2012,31/03/2019,,31/03/2019,275305,,,SIEMENS FINANCIAL SERVICES LIMITED,646166,,74579,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GFN44734,,Hire of specialist vehicles - terms of ESPO contract 271 apply,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Hire of specialist vehicles - terms of ESPO contract 271 apply,VEHICLE & PLANT LEASING/RENTAL,,,,,14/08/2014,31/03/2019,,31/03/2019,182031,,,ENTERPRISE RENT A CAR UK LIMITED,,,68738,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GFN50503,,Washroom Services - Terms of ESPO Contract 239 Apply,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Washroom Services - Terms of ESPO Contract 239 Apply,FM-CLEANING & WASHROOM SUPPLIES,,,,,01/04/2016,31/03/2019,,31/03/2019,15388,,,INITIAL WASHROOM SOLUTIONS,,,135373,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON41194,,Washroom Services - Terms of ESPO Contract 239 Apply,SINGLE AWARD CONTRACT,POLICY AND RESOURCES,,,Washroom Services - Terms of ESPO Contract 239 Apply,FM-CLEANING & WASHROOM SUPPLIES,,,,,01/04/2016,31/03/2019,,31/03/2019,95010,,,PHS GROUP PLC,gb/05384799,,73070,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GON43895,,"Road sign supply and delivery, terms of ESPO 221 apply",SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,"Road sign supply and delivery, terms of ESPO 221 apply",HIGHWAYS-SUPPLIES & EQUIPMENT,,,,,17/07/2014,31/03/2019,,31/03/2019,835440,,,LIMELIGHT SIGNS LIMITED,2468261,,1319777,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GQN45454,,Purchase of vehicles on behalf of Norse,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Purchase of vehicles on behalf of Norse,VEHICLE & PLANT PURCHASE,,,,,06/03/2015,31/03/2019,,31/03/2019,,,,JOHN GROSE GROUP LIMITED,1491537,,70608,,,,Procurement systems team,procm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,17/04/2018,GQN49417,,Supply of Dichloromethane (Methylene Chloride) in 20L containers,SINGLE AWARD CONTRACT,ENVIRONMENT DEVELOPMENT AND TRANSPORT,,,Supply of Dichloromethane (Methylene Chloride) in 20L containers,HIGHWAYS-SUPPLIES & EQUIPMENT,,,,,21/07/2016,31/03/2019,,31/03/2019,9613,,,ABBEY CHEMICALS,,,191783,,,,Procurement systems team,procm@norfolk.gov.uk,
