ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,THE LAKES CARE CENTRE,01/07/2016,1679.2,NURSING LONG TERM,V001023483
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,01/07/2016,5367.92,RESIDENTIAL LONG TERM,V001023484
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,01/07/2016,-1216.24,RESIDENTIAL LONG TERM,V001023485
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,PASSMONDS NURSING HOME,01/07/2016,-1216.24,RESIDENTIAL LONG TERM,V001023486
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,1216.24,RESIDENTIAL LONG TERM,V001023487
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,1216.24,RESIDENTIAL LONG TERM,V001023488
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,1216.24,RESIDENTIAL LONG TERM,V001023489
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,1333.44,RESIDENTIAL LONG TERM,V001023490
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,01/07/2016,756.52,PERSONAL BUDGETS - MANAGED,V001023491
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,-1600,RESIDENTIAL LONG TERM,V001023492
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,-1600,RESIDENTIAL LONG TERM,V001023493
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,1600,RESIDENTIAL LONG TERM,V001023494
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,1600,RESIDENTIAL LONG TERM,V001023495
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,1600,RESIDENTIAL LONG TERM,V001023496
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,2186.48,RESIDENTIAL LONG TERM,V001023497
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,01/07/2016,-1090.08,RESIDENTIAL LONG TERM,V001023498
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,BELVOIR CARE HOME LIMITED,01/07/2016,-1090.08,RESIDENTIAL LONG TERM,V001023499
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BELVOIR CARE HOME LIMITED,01/07/2016,1090.08,RESIDENTIAL LONG TERM,V001023500
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BELVOIR CARE HOME LIMITED,01/07/2016,1090.08,RESIDENTIAL LONG TERM,V001023501
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,-2297.6,RESIDENTIAL LONG TERM,V001023502
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,-2297.6,RESIDENTIAL LONG TERM,V001023503
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,2297.6,RESIDENTIAL LONG TERM,V001023504
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,2297.6,RESIDENTIAL LONG TERM,V001023505
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,2297.6,RESIDENTIAL LONG TERM,V001023506
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,-1142.4,RESIDENTIAL LONG TERM,V001023507
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,-1142.4,RESIDENTIAL LONG TERM,V001023508
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,1142.4,RESIDENTIAL LONG TERM,V001023509
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,1142.4,RESIDENTIAL LONG TERM,V001023510
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,SUNNYBANK P R S LTD,01/07/2016,1142.4,RESIDENTIAL LONG TERM,V001023511
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,-1359.48,RESIDENTIAL LONG TERM,V001023512
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,-1359.48,RESIDENTIAL LONG TERM,V001023513
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,1359.48,RESIDENTIAL LONG TERM,V001023514
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,1359.48,RESIDENTIAL LONG TERM,V001023515
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,1359.48,RESIDENTIAL LONG TERM,V001023516
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,MORNINGTON HOUSE W E F,01/07/2016,3731.68,RESIDENTIAL LONG TERM,V001023517
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,APSLEY HOUSE,01/07/2016,3644.44,RESIDENTIAL LONG TERM,V001023518
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,STRATHMORE HOUSE,01/07/2016,1325.64,RESIDENTIAL LONG TERM,V001023519
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,MR S MUNBODHOWA,01/07/2016,-1251.68,RESIDENTIAL LONG TERM,V001023520
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,MR S MUNBODHOWA,01/07/2016,-1251.68,RESIDENTIAL LONG TERM,V001023521
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,MR S MUNBODHOWA,01/07/2016,1251.68,RESIDENTIAL LONG TERM,V001023522
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,MR S MUNBODHOWA,01/07/2016,1251.68,RESIDENTIAL LONG TERM,V001023523
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,MR S MUNBODHOWA,01/07/2016,1251.68,RESIDENTIAL LONG TERM,V001023524
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,2230.2,RESIDENTIAL LONG TERM,V001023525
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,-1397.24,RESIDENTIAL LONG TERM,V001023526
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,-1397.24,RESIDENTIAL LONG TERM,V001023527
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,1397.24,RESIDENTIAL LONG TERM,V001023528
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,1397.24,RESIDENTIAL LONG TERM,V001023529
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,1397.24,RESIDENTIAL LONG TERM,V001023530
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,4626.2,RESIDENTIAL LONG TERM,V001023531
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,01/07/2016,1080,PERSONAL BUDGETS - MANAGED,V001023532
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,01/07/2016,1464,PERSONAL BUDGETS - MANAGED,V001023533
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,01/07/2016,1421.6,NURSING LONG TERM,V001023534
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CHOICE LIMITED,01/07/2016,7130.52,RESIDENTIAL LONG TERM,V001023535
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,RESPITE NORTH WEST LIMITED,01/07/2016,1080,PERSONAL BUDGETS - MANAGED,V001023536
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,01/07/2016,-1196.24,RESIDENTIAL LONG TERM,V001023537
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,01/07/2016,-1196.24,RESIDENTIAL LONG TERM,V001023538
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,01/07/2016,1196.24,RESIDENTIAL LONG TERM,V001023539
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,01/07/2016,1196.24,RESIDENTIAL LONG TERM,V001023540
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLEBOROUGH CARE HOME LIMITED,01/07/2016,1196.24,RESIDENTIAL LONG TERM,V001023541
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,WELLESLEY HOUSE,01/07/2016,3403.36,RESIDENTIAL LONG TERM,V001023542
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,01/07/2016,-1246.6,RESIDENTIAL LONG TERM,V001023543
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,01/07/2016,-1246.6,RESIDENTIAL LONG TERM,V001023544
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,01/07/2016,1246.6,RESIDENTIAL LONG TERM,V001023545
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,01/07/2016,1246.6,RESIDENTIAL LONG TERM,V001023546
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,BUPA CARE HOMES LIMITED,01/07/2016,1246.6,RESIDENTIAL LONG TERM,V001023547
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,MOORHAVEN NURSING HOME,01/07/2016,-1074.56,RESIDENTIAL LONG TERM,V001023548
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,MOORHAVEN NURSING HOME,01/07/2016,-1074.56,RESIDENTIAL LONG TERM,V001023549
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,MOORHAVEN NURSING HOME,01/07/2016,1074.56,RESIDENTIAL LONG TERM,V001023550
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,MOORHAVEN NURSING HOME,01/07/2016,1074.56,RESIDENTIAL LONG TERM,V001023551
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,MOORHAVEN NURSING HOME,01/07/2016,1074.56,RESIDENTIAL LONG TERM,V001023552
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,01/07/2016,-1183.36,NURSING LONG TERM,V001023553
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,01/07/2016,-1183.36,NURSING LONG TERM,V001023554
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,01/07/2016,1183.36,NURSING LONG TERM,V001023555
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,01/07/2016,1183.36,NURSING LONG TERM,V001023556
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,EAST AND WEST HEALTHCARE LIMITED,01/07/2016,1183.36,NURSING LONG TERM,V001023557
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,01/07/2016,-1130.36,RESIDENTIAL LONG TERM,V001023558
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,01/07/2016,-1130.36,RESIDENTIAL LONG TERM,V001023559
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,01/07/2016,1130.36,RESIDENTIAL LONG TERM,V001023560
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,01/07/2016,1130.36,RESIDENTIAL LONG TERM,V001023561
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,D & A C FITTON,01/07/2016,1130.36,RESIDENTIAL LONG TERM,V001023562
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,01/07/2016,2301.6,PERSONAL BUDGETS - MANAGED,V001023563
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,01/07/2016,723.24,PERSONAL BUDGETS - MANAGED,V001023564
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,-1397.24,RESIDENTIAL LONG TERM,V001023565
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,-1397.24,RESIDENTIAL LONG TERM,V001023566
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,1397.24,RESIDENTIAL LONG TERM,V001023567
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,1397.24,RESIDENTIAL LONG TERM,V001023568
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,PASSMONDS NURSING HOME,01/07/2016,1397.24,RESIDENTIAL LONG TERM,V001023569
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,01/07/2016,-2140.64,NURSING LONG TERM,V001023570
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,01/07/2016,-2140.64,NURSING LONG TERM,V001023571
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,01/07/2016,2140.64,NURSING LONG TERM,V001023572
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,01/07/2016,2140.64,NURSING LONG TERM,V001023573
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HC ONE LTD,01/07/2016,2140.64,NURSING LONG TERM,V001023574
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,-1433.6,RESIDENTIAL LONG TERM,V001023575
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,-1433.6,RESIDENTIAL LONG TERM,V001023576
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,1433.6,RESIDENTIAL LONG TERM,V001023577
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,1433.6,RESIDENTIAL LONG TERM,V001023578
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROOKWOOD,01/07/2016,1433.6,RESIDENTIAL LONG TERM,V001023579
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ROCHDALE GATEWAY LEISURE LIMITED,01/07/2016,602.56,PERSONAL BUDGETS - MANAGED,V001023580
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,01/07/2016,-1196.24,RESIDENTIAL LONG TERM,V001023586
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,01/07/2016,-1196.24,RESIDENTIAL LONG TERM,V001023587
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,01/07/2016,1196.24,RESIDENTIAL LONG TERM,V001023588
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LITTLE HEATON CARE HOME,01/07/2016,1196.24,RESIDENTIAL LONG TERM,V001023589
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LIMITED,01/07/2016,-1218,RESIDENTIAL LONG TERM,V001023590
ROCHDALE BOROUGH COUNCIL,01/07/2016,PHYSICAL DIS & OLDER PEOPLE,LEYTON HEALTHCARE NO 12 LIMITED,01/07/2016,-1218,RESIDENTIAL LONG TERM,V001023591
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 12 LIMITED,01/07/2016,1218,RESIDENTIAL LONG TERM,V001023592
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 12 LIMITED,01/07/2016,1218,RESIDENTIAL LONG TERM,V001023593
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LEYTON HEALTHCARE NO 12 LIMITED,01/07/2016,1218,RESIDENTIAL LONG TERM,V001023594
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,LIVING AMBITIONS LTD,01/07/2016,4941.64,RESIDENTIAL LONG TERM,V001023595
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,01/07/2016,-1364,RESIDENTIAL LONG TERM,V001023596
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,01/07/2016,-1364,RESIDENTIAL LONG TERM,V001023597
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,01/07/2016,1364,RESIDENTIAL LONG TERM,V001023598
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,01/07/2016,1364,RESIDENTIAL LONG TERM,V001023599
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALYCARE LTD,01/07/2016,1364,RESIDENTIAL LONG TERM,V001023600
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,3501.02,RESIDENTIAL LONG TERM,V001023601
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5159.4,RESIDENTIAL LONG TERM,V001023602
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5159.4,RESIDENTIAL LONG TERM,V001023603
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5159.4,RESIDENTIAL LONG TERM,V001023604
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5159.4,RESIDENTIAL LONG TERM,V001023605
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5159.4,RESIDENTIAL LONG TERM,V001023606
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5146.2,RESIDENTIAL LONG TERM,V001023610
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,1397.24,RESIDENTIAL LONG TERM,V001023611
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,ORCHARD CARE HOMES,01/07/2016,1473.6,NURSING LONG TERM,V001023613
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,-2677.2,RESIDENTIAL LONG TERM,V001023615
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,-2677.2,RESIDENTIAL LONG TERM,V001023616
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,2677.2,RESIDENTIAL LONG TERM,V001023617
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,2677.2,RESIDENTIAL LONG TERM,V001023618
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,2677.2,RESIDENTIAL LONG TERM,V001023619
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,FITZROY,01/07/2016,4245.92,RESIDENTIAL LONG TERM,V001023620
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5114.2,RESIDENTIAL LONG TERM,V001023621
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,HEALEY CARE LTD,01/07/2016,5162.2,RESIDENTIAL LONG TERM,V001023622
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,AUTISM INITIATIVES,01/07/2016,5956.12,RESIDENTIAL LONG TERM,V001023623
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,-1196.24,NURSING LONG TERM,V001023624
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,-1196.24,NURSING LONG TERM,V001023625
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,1196.24,NURSING LONG TERM,V001023626
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,1196.24,NURSING LONG TERM,V001023627
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BROWFIELD RESIDENTIAL HOME,01/07/2016,1196.24,NURSING LONG TERM,V001023628
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,-2565.2,RESIDENTIAL LONG TERM,V001023629
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,-2565.2,RESIDENTIAL LONG TERM,V001023630
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,2565.2,RESIDENTIAL LONG TERM,V001023631
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,2565.2,RESIDENTIAL LONG TERM,V001023632
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,BRIAR HOUSE,01/07/2016,2565.2,RESIDENTIAL LONG TERM,V001023633
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,1938.84,RESIDENTIAL LONG TERM,V001023635
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,1938.84,RESIDENTIAL LONG TERM,V001023636
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,1938.84,RESIDENTIAL LONG TERM,V001023637
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,-1938.84,RESIDENTIAL LONG TERM,V001023638
ROCHDALE BOROUGH COUNCIL,01/07/2016,LEARNING DIS & MENTAL HEALTH,CALTON SYSTEMS LIMITED,01/07/2016,-1938.84,RESIDENTIAL LONG TERM,V001023639
