Organisation Name (A),Department (B),Service Cat Label (C),Purpose of Spend (D),Expenditure-CIPFA Sub Group (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount  (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,47,CHIPSIDE LTD,A0068587, 18/08/2016,HED0273509,37.88,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Fees Income : Non-VATable,93,CHIPSIDE LTD,A0068587, 25/08/2016,HED0273591,294.78,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Fees Income : Non-VATable,93,CHIPSIDE LTD,A0068587, 25/08/2016,HED0273592,323.68,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Fees Income : Non-VATable,93,CHIPSIDE LTD,A0068587, 25/08/2016,HED0273588,46.2,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Fees Income : Non-VATable,93,CHIPSIDE LTD,A0068587, 25/08/2016,HED0273589,68.53,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,CPC PROP & GARDENING SERV LTD,A0011770, 11/08/2016,HED0273258,1015,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,CPC PROP & GARDENING SERV LTD,A0011770, 11/08/2016,HED0273308,90,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD,CRAEMER UK LIMITED,A0070869, 11/08/2016,OPS0273239,2800,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Recruitment,12,DBS,A0072958, 26/08/2016,AAS0273761,1276,N,N/A,N,N/A
Pendle Borough Council,Financial Services,,Other Income : Non-VATable,93,DBS,A0072958, 26/08/2016,AAS0273761,616,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 18/08/2016,OPS0273391,10.01,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 04/08/2016,OPS0273049,20.02,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 04/08/2016,OPS0273048,427.2,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 04/08/2016,OPS0273047,534,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 18/08/2016,OPS0273391,534,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,DHRB LIMITED T/A DRIVER HIRE (45680),A0003556, 11/08/2016,OPS0273243,604.07,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 18/08/2016,PCO0273490,11.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 18/08/2016,PCO0273490,36.3,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 11/08/2016,PCO0273222,65.56,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 11/08/2016,PCO0273222,85,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 11/08/2016,PCO0273222,21.46,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,DICK LEIGH,A0001675, 11/08/2016,PCO0273222,61.3,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Lubricants,32,DICK LEIGH,A0001675, 04/08/2016,PCO0273142,49.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Lubricants,32,DICK LEIGH,A0001675, 18/08/2016,PCO0273485,165.75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,E.ON,A0023073, 11/08/2016,HED0273306,15.84,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,E.ON,A0023073, 11/08/2016,HED0273309,129.17,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 25/08/2016,AAS0273603,30.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/08/2016,AAS0273530,1.75,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/08/2016,EST0273524,40.19,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/08/2016,EST0273518,43.02,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/08/2016,EST0273519,63.18,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/08/2016,EST0273523,68.23,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 18/08/2016,EST0273520,204.4,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 25/08/2016,EST0273610,32.98,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 25/08/2016,EST0273618,76.01,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON,A0023073, 25/08/2016,EST0273608,0.35,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Premises Related Expense,Rents,23,E.ON,A0023073, 25/08/2016,DAL0273637,25.11,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,22,E.ON UK PLC,A0044040, 11/08/2016,EST0273342,253.79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,43,ELECTORAL REFORM SERVICES,A0041321, 11/08/2016,DAL0273252,15.73,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Postages,45,ELECTORAL REFORM SERVICES,A0041321, 11/08/2016,DAL0273252,37.51,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD,ELITE PLUMBING,A0084584, 25/08/2016,HMR0273577,300,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,ELITE PLUMBING,A0084584, 18/08/2016,HMR0273500,1355,N,N/A,N,225.83
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,ELITE PLUMBING,A0084584, 18/08/2016,HMR0273457,3360,N,N/A,N,560
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,OPS4005090,-57.52,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,OPS0273463,8.7,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,OPS0273463,14.93,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,22.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,OPS0273463,37.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/08/2016,OPS0272953,57.52,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,PCO0273395,19.66,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,PCO0273395,141.75,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/08/2016,PBC0273173,23.45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/08/2016,PCO0273167,82.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,42,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273350,37.5,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/08/2016,COR0273150,16.5,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 04/08/2016,COR0273101,127.09,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273347,27,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273350,30.12,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273350,32.55,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273350,32.55,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273350,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,38,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,45.6,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,55.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,55.92,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273350,61.05,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,64.04,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,64.04,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,OPS0273463,64.04,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 18/08/2016,OPS0273463,64.04,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,76,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,90,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Stock : Purchases,PJ,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 11/08/2016,OPS0273355,297.04,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,47,EQUIFAX LIMITED,A0058121, 11/08/2016,AAS0273386,8.45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,42,F G ROWLAND LIMITED,A0006489, 18/08/2016,PCO0273397,1030,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 25/08/2016,EST0273619,48,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 25/08/2016,EST0273619,50,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 18/08/2016,EST0273506,36.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 25/08/2016,EST0273620,36.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 25/08/2016,EST0273621,36.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 18/08/2016,EST0273504,45,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,FAST GLASS GLAZING LIMITED,A0005903, 25/08/2016,EST0273622,60,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,FENLAND LEISURE PRODUCTS LIMITED,A0072950, 18/08/2016,PCO0273406,55,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,FENLAND LEISURE PRODUCTS LIMITED,A0072950, 18/08/2016,PCO0273406,120,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,FENLAND LEISURE PRODUCTS LIMITED,A0072950, 18/08/2016,PCO0273406,525,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Other Expenses,47,FIDELITI LIMITED,A0052058, 18/08/2016,PER0273536,72.71,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,FLEET (LINE MARKERS) LIMITED,A0075352, 11/08/2016,PCO0273226,35.15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,FLEET (LINE MARKERS) LIMITED,A0075352, 11/08/2016,PCO0273226,146.9,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,FLEET (LINE MARKERS) LIMITED,A0075352, 11/08/2016,PCO0273225,1322.1,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM Materials,40,FOULRIDGE CANAL CRUISES LTD,A0001134, 18/08/2016,REG0273447,91,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,FOULRIDGE PARISH COUNCIL,A0077715, 18/08/2016,AAS0273409,100,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,47,FRED HAMER FUNERAL SVCS - HAVENCARE MGT LTD,A0075504, 11/08/2016,ENV0273276,887,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,FREIGHT TRANSPORT ASSOCIATION,A0001124, 11/08/2016,OPS0273205,12,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,FREIGHT TRANSPORT ASSOCIATION,A0001124, 11/08/2016,OPS0273205,67.4,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,FREIGHT TRANSPORT ASSOCIATION,A0001124, 11/08/2016,OPS0273209,150,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,FRIENDS OF CRAVENSIDE,A0090907, 25/08/2016,HED0273561,1745.92,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,FRIENDS OF LORD STREET PRIMARY SCHOOL,A0090881, 04/08/2016,HED0273160,500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,FST CONSUMABLES LIMITED,A0000004, 18/08/2016,PCO0273480,18.6,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,FST CONSUMABLES LIMITED,A0000004, 18/08/2016,PCO0273480,28.64,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,FST CONSUMABLES LIMITED,A0000004, 18/08/2016,PCO0273480,40.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,FST CONSUMABLES LIMITED,A0000004, 18/08/2016,PCO0273480,68.08,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,FST CONSUMABLES LIMITED,A0000004, 18/08/2016,PCO0273481,193.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,36.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,43.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,46.47,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,47.11,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,50,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,56.25,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,73.55,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,74.67,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,78.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,80.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,90.92,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,138.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,143.21,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,230.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,268.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,277.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,285.6,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,290.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,195.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,216.99,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,217.81,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,241.21,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,250.15,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,127.49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,142.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,153.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,159.18,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,221.82,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,159.62,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,166.74,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,203.32,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,219.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,258.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,171.39,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,203.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,228.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,229.73,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,231.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,68.46,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,99.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,110.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,127.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,199.83,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,37.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,41.97,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,43.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,47.65,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,51.91,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,56.39,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 16/08/2016,AAS0273686,61.42,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,63.55,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,71.19,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 09/08/2016,AAS0273681,75.45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 30/08/2016,AAS0273763,94.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 23/08/2016,AAS0273687,114.92,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Diesel Oil,32,FUELMATE LTD,A0090265, 02/08/2016,AAS0273680,119.98,N,N/A,N,N/A
