UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Company/ Charity Number,Postcode,Council Directorate
535,Stockport Council,271200-Information Communication Technology : Hardware : , IT Hardware Solutions,OJEU,Contract,01/05/2012,36,36,01/11/2015,No,31/10/2015,02/02/2015,,,Viglen,Other,1208441,AL22DQ,Stockport- Corporate & Support Services
535,Stockport Council,271200-Information Communication Technology : Hardware : , IT Hardware Solutions,OJEU,Contract,02/05/2012,36,36,02/11/2015,No,31/10/2015,02/02/2015,,,SCC,SME,01714613,B112LE,Stockport- Corporate & Support Services
535,Stockport Council,271200-Information Communication Technology : Hardware : , IT Hardware Solutions,OJEU,Contract,03/05/2012,36,36,03/11/2015,No,31/10/2015,02/02/2015,,,Equanet,Other,,,Stockport- Corporate & Support Services
535,Stockport Council,271200-Information Communication Technology : Hardware : , IT Hardware Solutions,OJEU,Contract,04/05/2012,36,36,04/11/2015,No,31/10/2015,02/02/2015,,,Stone Computers,Other,02658501,ST15 0SR,Stockport- Corporate & Support Services
535,Stockport Council,271200-Information Communication Technology : Hardware : , IT Hardware Solutions,OJEU,Contract,05/05/2012,36,36,05/11/2015,No,31/10/2015,02/02/2015,,,Probrand,Other,02653446,B1 3BP,Stockport- Corporate & Support Services
563,Stockport Council,111200-Catering : Food & Beverages : ,"Milk, Dairy Products, Fresh Fruit and Vegetables",OJEU,Contract,19/08/2013,24,48,18/08/2015,Yes,18/08/2017,15/05/2015,"£880,000.00","£3,520,000.00",Set Produce,SME,08110232,SK8 2PN,Solutions SK
583,Stockport Council,111200-Catering : Food & Beverages : ,Drinking Water Supply Services ,RFQ,Contract,01/04/2015,12,12,31/03/2016,No,31/03/2016,01/01/2016,"£10,000.00","£10,000.00",MAESTRO PRESSURE COOLERS LTD,SME,03787032,SE28 0BQ,Stockport- Corporate & Support Services
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Mental Health Home Support Service,OJEU,Contract,01/04/2013,36,60,31/03/2016,No,31/03/2018,01/04/2015,"£216,666.67","£1,083,333.33",Richmond Fellowship,Other,662712,N7 8JG,Stockport- Services to People
637,Stockport Council,271000-Information Communication Technology : Call Systems : ,Electronic Call Monitoring ,RFQ,Contract,19/12/2014,36,36,18/12/2017,No,18/12/2017,01/01/2017,"£150,000.00","£450,000.00",CM2000,SME,6494697,B74 2TZ,Stockport- Corporate & Support Services
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,RFQ,Contract,12/09/2013,36,60,11/09/2016,No,11/09/2017,01/08/2016,"£15,000.00","£75,000.00",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,01/11/2013,36,48,31/10/2016,No,31/10/2017,01/08/2016,N/A- framework,N/A- framework,Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,02/11/2013,36,48,01/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Alternative Futures Group Ltd,",Other,1008587,L34 1BN,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,03/11/2013,36,48,02/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Autism Care UK,",Other,03997337,SE1 0AS,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,04/11/2013,36,48,03/11/2016,No,31/10/2017,01/08/2016,,,BROTHERS OF CHARITY MERSEYSIDE,VCSE,234252,L14 7NY,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,05/11/2013,36,48,04/11/2016,No,31/10/2017,01/08/2016,,,"Future Directions CIC,",Other,08041420,BB7 9PE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,06/11/2013,36,48,05/11/2016,No,31/10/2017,01/08/2016,,,"CHOICE SUPPORT,",Other,298149,SE1 7XA,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,07/11/2013,36,48,06/11/2016,No,31/10/2017,01/08/2016,,,"Community Integrated Care,",VCSE,"Company: 2225727 
Charity: 519996",C.I.Care: WA87SP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,08/11/2013,36,48,07/11/2016,No,31/10/2017,01/08/2016,,,"Craegmoor Supporting You,",OTher, 07480152,W14 8UD,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,09/11/2013,36,48,08/11/2016,No,31/10/2017,01/08/2016,£0.00,£0.00,"Creative Support Ltd,",VCSE,27440R,M1 2HF,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,10/11/2013,36,48,09/11/2016,No,31/10/2017,01/08/2016,,,FitzRoy supported living,VCSE,"charity: 1011290
company: 2699902",PO7 7SE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,11/11/2013,36,48,10/11/2016,No,31/10/2017,01/08/2016,,,HF Trust Ltd (HFT),VCSE,"Company: 734984
Charity: 313069", BS16 7FL,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,12/11/2013,36,48,11/11/2016,No,31/10/2017,01/08/2016,,,"Cherrytree Vale Ltd (t/a Home Focus), ",Other,03079096,M30 0DL,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,13/11/2013,36,48,12/11/2016,No,31/10/2017,01/08/2016,,,"Imagine Act and Succeed,",VCSE,1141823,WN7 2DB,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,14/11/2013,36,48,13/11/2016,No,31/10/2017,01/08/2016,,,"Independent Options (North West), ",SME,"company: 02560910
charity:  1022680",SK7 5PE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,15/11/2013,36,48,14/11/2016,No,31/10/2017,01/08/2016,,,"KeyRing  Living Support Networks , ",VCSE,1054234,E8 2NG,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,16/11/2013,36,48,15/11/2016,No,31/10/2017,01/08/2016,,,"MacIntyre,",VCSE,250840,MK9 2JA,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,17/11/2013,36,48,16/11/2016,No,31/10/2017,01/08/2016,,,"Mears Care Limited,",VCSE,3232863,GL3 4AH,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,18/11/2013,36,48,17/11/2016,No,31/10/2017,01/08/2016,,,Royal Mencap Society,SME,00889191,PE7 8HP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,19/11/2013,36,48,18/11/2016,No,31/10/2017,01/08/2016,,,"North West Community Services Ltd,",Other,02068130 ,PR2 9ZG,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,20/11/2013,36,48,19/11/2016,No,31/10/2017,01/08/2016,,,"Perthyn, ",Other,"Company: 3017158
Charity: 1046763",SA7 9FG,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,21/11/2013,36,48,20/11/2016,No,31/10/2017,01/08/2016,,,"Respite North West Ltd,",SME,04186179,OL10  1JP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,22/11/2013,36,48,21/11/2016,No,31/10/2017,01/08/2016,,,"Sevacare (UK) Ltd,",Other,03615347,WV9 5HD,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,23/11/2013,36,48,22/11/2016,No,31/10/2017,01/08/2016,,,"Stockport, East Cheshire, High Peak , Urmston and District Cerebral Palsy Society,",VCSE,1009768,SK7 5BW,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,24/11/2013,36,48,23/11/2016,No,31/10/2017,01/08/2016,,,"Thera North,",Other,"company: 03593418
charity: 1090163",NG31 7XT,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,25/11/2013,36,48,24/11/2016,No,31/10/2017,01/08/2016,,,ubu,Other,,M28 3LY,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,26/11/2013,36,48,25/11/2016,No,31/10/2017,01/08/2016,,,"United Response, ",Other,"company: 01133776
charity: 265249",SW19 8UX,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,27/11/2013,36,48,26/11/2016,No,31/10/2017,01/08/2016,,,Voyage Care,Other,9141139,WS14 0QP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,28/11/2013,36,48,27/11/2016,No,31/10/2017,01/08/2016,,,"CHOICE SUPPORT,",VCSE,298149,SK56DA,Stockport- Services to People
662,Stockport Council,321111-Social Community Care Supplies & Services - Children : Specialist Needs : Adoption Services,Inter country adoption pre-assessment service,RFQ,Contract,01/05/2014,24,36,30/04/2016,Yes,30/04/2017,17/03/2016,£750.00,"£2,250.00",Inter Country Adoption Centre,SME,3344762,EN5 4HZ,Stockport- Services to People
670,Stockport Council,321117-Social Community Care Supplies & Services - Children : Residential Services : Residential Care,Greater Manchester Residential Framework 2014,OJEU,Contract,01/04/2014,24,48,31/03/2016,Yes,31/03/2017,30/01/2016,"£1,245,640.00","£4,982,560.00",Various,Various,Various,Various,Stockport- Services to People
671,Stockport Council,321117-Social Community Care Supplies & Services - Children : Residential Services : Residential Care,North West Foster Care Framework 2014,OJEU,Contract,01/04/2014,24,48,31/03/2016,Yes,31/03/2017,31/01/2016,"£666,884.00","£2,667,536.00",Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Stockport- Services to People
675,Stockport Council,SOCIAL CARE SERVICES : Adult,LD Development Fund,RFQ,Contract,01/04/2013,24,36,30/04/2015,Yes,31/03/2016,01/11/2015,"£13,500.00","£40,500.00",Pure Innovations,VCSE,5241249,SK3 0RF,Stockport- Services to People
726,Stockport Council,171113-Education : Library Books : ,Greater Manchester Consortium,OJEU,Contract,01/04/2013,36,48,31/03/2016,Yes,31/03/2017,01/06/2016,"£84,000.00","£336,000.00",Dandy,SME,4846829,NW6 7UP,Stockport- Services to People
728,Stockport Council,371200-Utilities : Heating Oil : ,Heating Oil,RFQ,Contract,01/10/2013,24,24,30/09/2016,No,30/09/2016,01/11/2015,"£419,224.00","£838,448.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Corporate & Support Services
728,Stockport Council,371200-Utilities : Heating Oil : ,Heating Oil,RFQ,Contract,02/10/2013,24,24,01/10/2016,No,30/09/2016,01/11/2015,"£419,224.00","£838,448.00",GB Oils (Now certas energy),Other,04168225,WA3 6XG,Stockport- Corporate & Support Services
728,Stockport Council,371200-Utilities : Heating Oil : ,Heating Oil,RFQ,Contract,03/10/2013,24,24,02/10/2016,No,30/09/2016,01/11/2015,"£419,224.00","£838,448.00",Hall Fuels,Other,00594001,EC4M 7WS,Stockport- Corporate & Support Services
728,Stockport Council,371200-Utilities : Heating Oil : ,Heating Oil,RFQ,Contract,04/10/2013,24,24,03/10/2016,No,30/09/2016,01/11/2015,"£419,224.00","£838,448.00",Harvest,Other,2999020,W1H 7JT,Stockport- Corporate & Support Services
728,Stockport Council,371200-Utilities : Heating Oil : ,Heating Oil,RFQ,Contract,05/10/2013,24,24,04/10/2016,No,30/09/2016,01/11/2015,"£419,224.00","£838,448.00",Rix,Other,557133,HU8 7JR,Stockport- Corporate & Support Services
728,Stockport Council,371200-Utilities : Heating Oil : ,Heating Oil,RFQ,Contract,06/10/2013,24,24,05/10/2016,No,30/09/2016,01/11/2015,"£419,224.00","£838,448.00",Tate Oil,Other,1301975,LS21 3BB,Stockport- Corporate & Support Services
758,Stockport Council,201800-Financial Services : Insurance : ,Insurance - All Risk,RFQ,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£43,035.00","£215,175.00",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
759,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Contractors All Risk,Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£11,471.67","£57,358.33",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
760,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Directors and Officers,Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£8,126.67","£40,633.33",Risk Management Partners,Other,02989025,EC4N 8AW,Stockport- Corporate & Support Services
761,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Engineering Inspection ,RFQ,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£72,473.33","£362,366.67",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
762,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Fidelity Guarantee,OJEU,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£43,638.33","£218,191.67",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
763,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Liability ,Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£461,010.00","£2,305,050.00",Risk Management Partners,Other,02989025,EC4N 8AW,Stockport- Corporate & Support Services
764,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Motor Fleet,OJEU,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£840,738.33","£4,203,691.67",Risk Management Partners,Other,02989025,EC4N 8AW,Stockport- Corporate & Support Services
765,Stockport Council,201800-Financial Services : Insurance : ,Insurance - Personal Accident / Travel,OJEU,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£29,885.00","£149,425.00",ACE,Other,3410547,OL4 3JY,Stockport- Corporate & Support Services
766,Stockport Council,201800-Financial Services : Insurance : ,"Insurance - Property, Property Owners and Business Interruptions",Tender,Contract,29/11/2012,36,60,28/11/2016,Yes,28/11/2017,01/10/2016,"£687,793.33","£3,438,966.67",Zurich Municipal Insurance,Other,13460,GU14 0NJ,Stockport- Corporate & Support Services
798,Stockport Council,201800-Financial Services : Insurance : ,Leaseholders Property Insurance ,Tender,Contract,01/04/2014,36,60,31/03/2017,No,31/03/2019,01/10/2016,"£50,000.00","£250,000.00",legal & General Insurance C/O Arthur J Gallagher Housing Ltd,Other,01417162,EC2 12 5AA,Stockport- Corporate & Support Services
806,Stockport Council,ENVIRONMENT : Services,Managed Workspace,Tender,Contract,01/09/2010,60,79,23/08/2015,Yes,30/06/2017,01/06/2016,"£80,000.00","£526,666.67",Regus,SME,4868977,W2 2AQ ,Stockport- Corporate & Support Services
816,Stockport Council,271400-Information Communication Technology : Office & Reprographics Equipment : ,Printing Equipment MFD Fleet,RFQ,Contract,18/11/2013,24,48,17/11/2015,Yes,17/11/2017,20/06/2016,"£274,000.00","£1,096,000.00",Xerox (UK) Ltd,Other,00330754,UB8 1HS,Stockport- Corporate & Support Services
830,Stockport Council,271800-Information Communication Technology : Telecommunications : Mobile,Mobile Telephony,Mini Competition,Contract,01/10/2013,24,24,30/09/2016,No,30/09/2016,01/01/2016,"£220,000.00","£440,000.00",EE,Other,02382161,AL10 9BW,Stockport- Corporate & Support Services
847,Stockport Council,340000-Stationery :  ,Office Stationery,RFQ,Contract,05/07/2010,48,48,31/08/2016,No,31/08/2016,02/02/2015,"£111,000.00","£444,000.00",Egan Reid ,SME,00593651,SK6 2SU,Stockport- Corporate & Support Services
857,Stockport Council,341000-Stationery : Paper : ,Paper,RFQ,Contract,28/11/2012,48,48,27/11/2016,No,27/11/2016,28/11/2015,"£96,729.39","£386,917.57",Banner,Other,03658750,S9 1XU,Stockport- Corporate & Support Services
867,Stockport Council,269999-Human Resources : Not Elsewhere Classified : ,Physiotherapy Services,RFQ,Contract,05/11/2014,12,20,31/07/2016,Yes,31/07/2016,02/02/2016,"£80,000.00","£133,333.33",Manchester Physio,SME,06745784,M3 4DN,Stockport- Corporate & Support Services
875,Stockport Council,271501-Information Communication Technology : Services : ,Procurement System,OJEU,Contract,01/01/2003,60,60,31/12/2015,No,31/12/2015,23/02/2015,"£63,000.00","£315,000.00",Elcom Systems Ltd,SME,02838561,N1C 4AX,Stockport- Corporate & Support Services
882,Stockport Council,301200-Mail Services : Postage : ,Outbound Mail Services Revs and Bens ,Tender,Contract,16/12/2013,36,36,15/12/2016,No,15/12/2016,15/06/2016,"£131,000.00","£393,000.00",DSI,SME,03823171,RM9 6BF,Stockport- Corporate & Support Services
891,Stockport Council,MEDICAL: Consumables,"Sanitary, Medical & Sharps Etc",Tender,Contract,01/06/2013,36,36,31/05/2016,No,31/05/2016,01/06/2015,"£20,000.00","£60,000.00",PHS Group ,SME,00770813,CF83 1XH,Stockport- Corporate & Support Services
904,Stockport Council,192213-Facilities & Management Services : Security : Manned Guarding,Security Guarding SSK ,OJEU,Contract,15/10/2014,24,36,14/10/2016,No,14/10/2016,14/08/2016,"£555,000.00","£1,665,000.00",Manpower Direct (uk) Ltd,Other,4632279,RM10 7DF,Stockport- Services to Place
908,Stockport Council,151000-Consultancy : Business : ,Service Support for Business Incubator,RFQ,Contract,01/09/2013,60,96,31/08/2018,No,31/08/2018,01/01/2018,"£260,302.00","£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
909,Stockport Council,271501-Information Communication Technology : Services : ,SIMS Top Up Support,OJEU,Contract,01/04/2013,24,48,31/03/2017,No,31/03/2017,31/03/2016,"£29,988.00","£119,952.00",School ICT Services Ltd,SME,06884143,LS15 4TA,Stockport- Corporate & Support Services
924,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Software for Email Alert Service ,RFQ,Contract,01/04/2014,24,24,31/03/2016,No,31/03/2016,01/04/2015,£0.00,£0.00,GovDelivery ,SME,06747478,NW1 3ER,Stockport- Corporate & Support Services
942,Stockport Council,271800-Information Communication Technology : Telecommunications : Mobile,Stockport Market Wi-Fi,RFQ,Contract,01/09/2014,12,24,31/08/2015,No,31/08/2015,01/09/2015,"£44,680.00","£89,360.00",Pinacl Solutions UK Ltd,SME,05217374,LL17 OJD,Stockport- Corporate & Support Services
952,Stockport Council,SOCIAL CARE SERVICES: SUPPLIES,Supply of Complex Aids for Daily Living ,OJEU,Contract,01/10/2015,30,54,31/03/2018,No,31/03/2020,30/04/2017,"£600,000.00","£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
963,Stockport Council,271700-Information Communication Technology : Telecommunications : Fixed,Telephony Fixed Line & Call Costs ,Mini Competition,Contract,01/01/2012,24,36,31/12/2015,Yes,31/12/2016,01/06/2016,"£128,000.00","£384,000.00",Virgin Media ,Other,02591237,RG27 9UP,Stockport- Corporate & Support Services
975,Stockport Council,200000-Financial Services :  ,Treasury Management Services ,RFQ,Contract,01/10/2012,36,48,30/09/2015,Yes,30/09/2016,01/03/2016,"£15,000.00","£60,000.00",Sector Treasury Services ,Other,20181330,EC3A 7NH,Stockport- Corporate & Support Services
988,Stockport Council,271501-Information Communication Technology : Services : ,Voice Recording ,RFQ,Contract,15/11/2012,36,60,14/11/2015,No,14/11/2015,14/11/2016,"£82,117.00","£410,585.00",Liquid Voice ,SME,05014558,LS10 1NZ,Stockport- Corporate & Support Services
1006,Stockport Council,101100-Building Construction Materials : Electrical : ,"Electrical and Security components, related accessories and ancillary items ",RFQ,Framework Agreement,11/11/2013,24,48,24/10/2016,Yes,24/10/2017,24/10/2016,"£11,049.88","£44,199.51",Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Various- See supplier Tab,Solutions SK
1010,Stockport Council,241500-Horticultural : Tools & Equipment : ,"Highways and Horticultural Tools, Equipment and Road Signs",Tender,Contract,01/06/2014,24,24,31/05/2016,No,31/05/2018,01/03/2016,"£273,073.30","£546,146.60",PF Cusack (Tool Supplies) Ltd,SME,2404505,BL5 3XU,Solutions SK
1086,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Xpress - Elections Management System (EMS),Exemption,Contract,01/04/2015,12,12,31/03/2016,No,31/03/2016,01/01/2016,"£11,500.00","£11,500.00",Xpress Software Solutions Ltd,SME,04152280,N8 ONW,Stockport- Corporate & Support Services
1090,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Insurance Claims Database (Local Authority Claims Handling Database - LACHS),Tender,Contract,01/05/2014,12,12,30/04/2016,No,30/04/2016,01/10/2015,"£4,008.00","£4,008.00",,,,,Stockport- Corporate & Support Services
1104,Stockport Council,171010-Education : Adult & Further Education Services : ,Bikeability Cycle Training - Stockport ,Tender,Contract,20/04/2015,12,24,31/03/2016,Yes,31/03/2017,01/10/2016,"£49,760.00","£99,520.00",Cycle Training Scheme (CTL),SME,07903754,NE6 1BU,Stockport- Corporate & Support Services
1118,Stockport Council,201100-Financial Services : Audit : ,External Audit ,Call Off (External),Contract,01/04/2012,60,60,31/03/2018,Yes,31/03/2017,10/07/2017,"£168,000.00","£840,000.00",Grant Thornton UK LLP,Other,OC307742 ,NW1 2EP,Stockport- Corporate & Support Services
1119,Stockport Council,201800-Financial Services : Insurance : ,Insurance Claims Handling Service,OJEU,Contract,29/11/2012,36,60,28/11/2017,No,28/11/2017,09/02/2017,"£114,760.00","£573,800.00",Gallagher Bassett,SME,08158284,B77 4DU,Stockport- Corporate & Support Services
1121,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,BACS Payment System,RFQ,Contract,01/07/2014,12,12,30/06/2015,No,30/06/2015,09/02/2015,"£7,493.00","£7,493.00",Bottomline Technologies,Other,08098450,RG1 7JX,Stockport- Corporate & Support Services
1122,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Systems Audit Service,RFQ,Contract,01/04/2014,12,12,31/03/2015,No,31/03/2015,09/02/2015,"£12,600.00","£12,600.00",Salford City Council,VCSE,n/a,M27 5AW,Stockport- Corporate & Support Services
1123,Stockport Council,201200-Financial Services : Banking : ,Bill Payments Services,OJEU,Contract,01/04/2013,36,58,31/03/2017,Yes,31/01/2018,01/10/2016,"£125,000.00","£604,166.67",Co-operative Bank ,Other,00990937,M60 4EP,Stockport- Corporate & Support Services
1142,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",HIV Support,Local Services,Contract,01/04/2014,12,12,31/03/2015,Yes,31/03/2017,09/02/2015,,£0.00,George House Trust,VCSE,"Company House: 07575379
Charity: 1143138",M12 6FX ,Stockport- Services to People
1143,Stockport Council,311600-Healthcare : Services : ,Chlamydia Screening,Local Services,Contract,01/04/2014,12,12,31/03/2015,Yes,31/03/2017,09/02/2015,,£0.00,RU Clear NHS,NHS,NHS - National Health Service,M25 3BL,Stockport- Services to People
1148,Stockport Council,271300-Information Communication Technology : Services : Maintenance & Support,IT - Computer Infection Management System - Annual Maintainence,RFQ,Framework Agreement,01/04/2014,24,24,31/03/2016,No,31/03/2016,09/02/2015,"£2,250.00","£4,500.00",IC NET,Other,04017696,GL3 54AB,Stockport- Corporate & Support Services
1150,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Healthy Stockport IT Resoruce,OJEU,Contract,01/04/2014,12,12,31/03/2015,No,31/03/2015,09/02/2015,"£20,333.00","£20,333.00",A N Computing,SME,03713343,L3 9TX,Stockport- Corporate & Support Services
1151,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Quit Bus (Smoking Cessation),RFQ,Contract,01/04/2014,,,31/03/2015,,31/03/2016,09/02/2015,,£0.00,Greater Manchester Public Health Network,NHS,NHS - National Health Service,M25 3BL,Stockport- Services to People
1153,Stockport Council,SOCIAL CARE SERVICES : Adult,Mental Health Prevention Through Peer Support,RFQ,Contract,01/04/2012,36,72,30/09/2015,Yes,31/03/2018,01/04/2017,"£200,000.00","£1,200,000.00",Trafford Centre for Independent Living (TCIL),VCSE,5879337,SK1 3NP,Stockport- Services to People
1155,Stockport Council,152100-Consultancy : Strategic Planning : ,South East Manchester Multi Modal Strategy (A6 Development Consultation),RFQ,Contract,11/07/2012,60,60,31/12/2017,No,31/12/2017,31/12/2016,"£71,510.00","£357,550.00",WSP UK Ltd/CMS(CIRCA 2014),Other,1383511,WC2A1AF,Stockport- Services to Place
1160,Stockport Council,152100-Consultancy : Strategic Planning : ,Bridgefield (HCA),OJEU,Framework Agreement,02/04/2013,24,59,01/04/2018,No,01/04/2018,01/04/2017,,£0.00,Gardiner and Theobald LLP ,Other,6434650,B12JB,Stockport- Services to Place
1162,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Compostable Liners,OJEU,Contract,01/04/2014,36,60,31/03/2019,No,31/03/2019,31/03/2016,"£240,000.00","£1,200,000.00",BioBag,SME,4151564,PR133HP,Stockport- Services to Place
1166,Stockport Council,271501-Information Communication Technology : Services : ,RFID Support and Maintenance,RFQ,Contract,,12,12,,No,,01/08/2016,,£0.00,Bibliotheca,SME,02983151,SK8 7BS,Stockport- Corporate & Support Services
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,36,31/03/2016,Yes,31/03/2017,30/09/2016,"£138,000.00","£414,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,24,31/03/2016,Yes,31/03/2017,30/09/2016,,"£16,324.00",Leisure for Autism,SME,1076305,WA3 2QL,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,24,31/03/2016,Yes,31/03/2017,30/09/2016,,"£20,818.00",Lisburne School,SME,,SK2 5LB,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,24,31/03/2016,Yes,31/03/2017,30/09/2016,,"£30,000.00",Pure Innovations Ltd,SME,05241249,SK3 0RF,
1175,Stockport Council,320000-  ,Aiming High 2015 Grant ,OJEU,Contract,01/04/2015,12,24,31/03/2016,Yes,31/03/2017,30/09/2016,"£45,000.00","£11,400.00",Seashell Trust,VCSE,"company: 04216714
charity: 1092655",SK8 6RQ,
